,name,bar_code,brand,labels,sales_countries,ingredients_list,ingredients_analysis,nutriment_energy-kj_tr,nutriment_energy-kcal_tr,nutriment_fat_tr,nutriment_carbohydrates_tr,nutriment_proteins_tr,nutriment_energy_tr,nutriment_saturated-fat_tr,nutriment_sugars_tr,nutriment_salt_tr,nutriment_sodium_tr,eco_score,packaging,categories,additives,allergens,nova_score,nutriment_energy-kj_tr_diff,nutriment_energy-kcal_tr_diff,nutriment_fat_tr_diff,nutriment_carbohydrates_tr_diff,nutriment_proteins_tr_diff,Agriculture,Transformation,Conditionnement,Transport,Distribution,Consommation,Score_ACV,fats_lipids_quantity,fats_lipids_comment,saturated_acids_quantity,saturated_acids_comment,sugar_quantity,sugar_comment,salt_quantity,salt_comment,nutriment_energy_tr_diff,nutriment_saturated-fat_tr_diff,nutriment_sugars_tr_diff,nutriment_salt_tr_diff,nutriment_sodium_tr_diff,nutriment_nutrition-score-fr_tr,nutriment_nutrition-score-fr_tr_diff,nutriment_nutriscore_tr,nutriment_nutriscore_tr_diff,quantity,ingredients_origins,markets,traceability_code,manufacturing,link,generic_name,palm_ingredients,brand_owner,producer_info
768,GREEK - Olives vert citron et origan - GAEA - 150g,52016718002473,['GAEA'],,['France'],"['Olives vertes ', '93%', 'sel', 'jus de citron ', '2%', 'marinade ', ""huile d'olive extra vierge"", 'origan', 'ail', 'coriandre et zeste de citron']","['Sans huile de palme', 'Végétalien', 'Végétarien']",?,101,"9,5","2,9","1,1",423 kj(101 kcal),"2,4","0,1",,,,['Bocal'],"['Produits à tartiner', 'Produits à tartiner salés']",,,3,,-66%,-64%,-17%,-87%,,,,,,,,9.5 g,en quantité modérée,2.4 g,en quantité modérée,0.1 g,en faible quantité,,,-66%,-69%,-92%,,,,,,,150 g,['Grèce'],"['Super U', 'Intermarché', 'Monoprix', 'Auchan', 'Leclerc']",,['Grèce'],,,,,
769,Pâté aux châtaignes d'Ardèche - 220g,3700238304914,,,['France'],[],[],?,1055,22,"1,8",12,4414 kj(1055 kcal),11,"0,5","1,7","0,68",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,220 g,,,"['FR 47.326.015 CE', 'Virazeil (Lot-et-Garonne, France)']",,,,,,
770,Bananes cavendish bio,2220165010104,,"['Bio', 'Bio européen', 'FR-BIO-01']",['France'],[],[],?,?,?,?,?,,,,,,B,,"['Aliments et boissons à base de végétaux', ""Aliments d'origine végétale"", 'Aliments à base de fruits et de légumes', 'Fruits et produits dérivés', 'Fruits', 'Fruits tropicaux', 'Bananes']",,,,,,,,,63.7%,0.0%,0.0%,23.1%,9.9%,3.2%,95,,,,,,,,,,,,,,,,,,,,,,,,,,,
771,Orange,3324700004968,,,['France'],[],[],?,43,"0,2",9,"0,7",180 kj(43 kcal),"0,04",9,"0,001",0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
772,Pain de campagne aux noix -,0230219007877,,,['France'],[],[],?,329,"8,6",51,"9,4",1377 kj(329 kcal),"0,9","2,7","0,34","0,136",,,"['Aliments et boissons à base de végétaux', ""Aliments d'origine végétale"", 'Céréales et pommes de terre', 'Pains', 'Pains de campagne', 'Pains aux noix']",,,,,+19%,+2%,+19%,+5%,,,,,,,,8.6 g,en quantité modérée,0.9 g,en faible quantité,2.7 g,en faible quantité,0.34 g,en quantité modérée,+19%,-2%,+35%,-69%,-69%,0,-100%,B,-100%,,,,,,,,,,
773,Bio vitalité - L’Autre Thé - 20sachets,3683080096551,['L’Autre Thé'],"['Bio', 'Bio européen', 'Agriculture UE/Non UE', 'FR-BIO-10']",['France'],[],[],?,?,?,?,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,20 sachets,,,"['EMB 84104C', 'Sablet (Vaucluse, France)']",,,,,,
774,7500746105227,7500746105227,,,['France'],[],[],?,?,?,?,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
775,les coquillettes bio - Ferme du Chat Blanc - 500g,3760259010188,['Ferme du Chat Blanc'],"['Bio', 'Bio européen', 'AB Agriculture Biologique', 'Agriculture France']",['France'],"['Semoule de BLE dur bio', 'eau']","['Sans huile de palme', 'Végétalien', 'Végétarien']",?,?,?,?,?,,,,,,B,,"['Aliments et boissons à base de végétaux', ""Aliments d'origine végétale"", 'Céréales et pommes de terre', 'Céréales et dérivés', 'Pâtes alimentaires', 'Pâtes sèches', 'Pâtes de blé dur', 'Coquillettes', 'Coquillettes de blé dur']",,['Gluten'],1,,,,,,65.0%,21.6%,6.8%,3.5%,3.1%,0.0%,74,,,,,,,,,,,,,,,,,,500 g,['France'],,,,,,,,
776,Freshpak Teabags Rooib Strip Packs 1 x 10`S (Single),6001156900101,,,['France'],[],[],?,?,?,?,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
777,Pain céréales et graines,0203050009256,,,['France'],[],[],?,290,"3,8",48,13,1213 kj(290 kcal),"0,6","1,3",3,"1,2",,,"['Aliments et boissons à base de végétaux', ""Aliments d'origine végétale"", 'Céréales et pommes de terre', 'Pains']",,,,,-12%,-38%,-12%,+37%,,,,,,,,3.8 g,en quantité modérée,0.6 g,en faible quantité,1.3 g,en faible quantité,3 g,en quantité élevée,-12%,-49%,-67%,+134%,+134%,13,+155%,D,+155%,,,,,,,,,,
778,Red Bull,90376023,['Red Bull'],,['France'],[],[],?,?,?,?,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
779,Merlot vin rouge,3569401009830,,,['France'],[],[],?,?,?,?,?,,,,,,D,,"['Boissons', 'Boissons alcoolisées', 'Vins', 'Vins rouges']",,,,,,,,,38.9%,16.2%,33.0%,8.1%,2.4%,1.3%,43,,,,,,,,,,,,,,,,,,,,,,,,,,,
780,Farci poitevin,3574317357012,,,['France'],[],[],?,0,12,"6,8","4,1",0 kj(0 kcal),"3,9","1,9","0,94","0,376",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
781,Yoplait,11376286,"['Yoplait', 'Perle de Lait']",,['France'],[],[],?,?,?,?,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"['FR 72.181.001 CE', 'Mans (Sarthe, France)']",,,,,,
782,assortiment de confiserie,2010000024928,,,['France'],[],[],?,351,"2,7",77,"3,9",1469 kj(351 kcal),"1,3",63,"0,4","0,16",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
783,Sauce BBQ (pour Côtes Et Poulet) - 1,0059284123479,['Sauce BBQ'],,"['Canada', 'France']",[],[],?,200,0,"46,667",1,837 kj(200 kcal),0,"36,667",2,"0,8",,['Bouteille'],"['Epicerie', 'Sauces']",,,,,-16%,-100%,+371%,-63%,,,,,,,,0 g,en faible quantité,0 g,en faible quantité,36.7 g,en quantité élevée,2 g,en quantité élevée,-15%,-100%,+468%,-17%,-17%,18,+55%,D,+55%,1,,,,,,,,,
784,Cassoulet  de Castelnaudary - Secrets d'Éleveurs,3277160800000,"[""Secrets d'Éleveurs""]","['Sans colorants', 'Sans conservateurs']",['France'],[],[],?,?,?,?,?,,,,,,C,,"['Plats préparés', 'Produits à la viande', 'Plats préparés à la viande', 'Plats à la volaille', 'Plats à base de haricots', 'Plats au canard', 'Cassoulets', 'Cassoulets au confit de canard', 'Cassoulets de Castelnaudary']",,,,,,,,,66.0%,17.7%,6.2%,5.5%,2.7%,2.0%,72,,,,,,,,,,,,,,,,,,,,,,,,,,,
785,Chipolata de poulet,2279538058588,,,['France'],[],[],?,162,"10,2","0,6","16,9",678 kj(162 kcal),"6,9",0,"1,9","0,76",E,,"['Viandes', 'Charcuteries', 'Saucisses', 'Saucisses françaises', 'Chipolatas']",,,,,-32%,-46%,-49%,+10%,86.2%,9.9%,1.8%,1.2%,0.7%,0.2%,24,10.2 g,en quantité modérée,6.9 g,en quantité élevée,0 g,en faible quantité,1.9 g,en quantité élevée,-32%,-4%,-100%,+6%,+6%,16,-4%,D,-4%,,,,,,,,,,
786,Thiriet,3292590850081,['Thiriet'],,['France'],[],[],?,?,?,?,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,['Thiriet'],,,,,,,
787,Cookie chocolat,,,,['France'],[],[],?,?,?,?,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
788,Decoupe de poulet,2481630035293,,,['France'],[],[],?,?,?,?,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
789,chocolat noir Pérou - Ivoria - 100g,17585309,['Ivoria'],"['Bio', 'Bio européen', 'Commerce équitable', 'FR-BIO-01', 'Max Havelaar']",['France'],"['İNGREDIENTS : pate de cacao', 'origine Pérou', 'beurre de cacao', 'poudre de caca dégraissé ', 'origine Perou', ""sucre Ingrédients issus de L'agriculture biologique et du commerc équitable"", ' traces éventuelles de : céréales contenant du gluten', 'oeufs', 'lait', 'soja et fruits']",[],?,?,?,?,?,,,,,,D,"['papier aluminium', 'Carton']","['Snacks', 'Snacks sucrés', 'Cacao et dérivés', 'Chocolats', 'Chocolats noirs']",,,3,,,,,,85.3%,9.9%,1.2%,3.2%,0.4%,0.0%,24,,,,,,,,,,,,,,,,,,100g,,,"['EMB 42218', 'Saint-Étienne (Loire, France)']",,,,,,
790,Brioches pralines - Repère - 2,3523200000146,['Repère'],,['France'],[],[],?,?,?,?,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,,
791,roasted curry powder - suryaa - 900g,8901792000167,['Suryaa'],,['France'],[],[],?,440,16,0,?,1840 kj(440 kcal),2,0,0,0,,['Poudre'],"['Aliments et boissons à base de végétaux', ""Aliments d'origine végétale"", 'Epicerie', 'Condiments', 'Epices']",,,,,+236%,+373%,-100%,,,,,,,,,16 g,en quantité modérée,2 g,en quantité modérée,0 g,en faible quantité,0 g,en faible quantité,+218%,+214%,-100%,-100%,-100%,,,,,900g,,,,,,,,,
792,Teisseire,3092718663681,['Teisseire'],"['Sans arômes artificiels', 'Sans colorants']",['France'],[],[],?,?,?,?,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
793,Jambon blanc choix 4TR,2408515035421,,,['France'],[],[],?,?,?,?,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
794,PurSoup’ Velouté de poireaux pommes de terre à la crème fraîche. - Liebig - 1Litre,112302652,['Liebig'],,['France'],[],[],?,?,?,?,?,,,,,,B,,"['Aliments et boissons à base de végétaux', ""Aliments d'origine végétale"", 'Aliments à base de fruits et de légumes', 'Plats préparés', 'Soupes', 'Soupes de légumes']",,,,,,,,,25.5%,33.0%,16.0%,11.0%,10.2%,4.3%,97,,,,,,,,,,,,,,,,,,1 Litre,,,,,,,,,
795,"Houblon Elusanes,Boite 30 Gelules Naturactive - baruractive",3700026996864,['Baruractive'],,['France'],[],[],?,?,?,?,?,,,,,,,['Carton'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
796,"Qi Organic White Tea & Goji Berry 20 Bag x 1, 15% OFF! -",0653783000479,,['Bio'],['France'],[],[],?,?,?,?,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,20,,,,,,,,,
797,Bonbon saveur violette,3663350057062,,,['France'],[],[],?,396,"0,5",97,"0,5",1657 kj(396 kcal),"0,1",65,"0,01","0,004",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
798,Croutons ail - La Trinitaine - 75g,3260260206674,['La Trinitaine'],,['France'],[],[],?,551,35,50,"7,4",2305 kj(551 kcal),17,4,"2,2","0,88",D,,"['Aliments et boissons à base de végétaux', ""Aliments d'origine végétale"", 'Céréales et pommes de terre', 'Pains', 'Croûtons']",,,,,+16%,+71%,-15%,-21%,87.8%,8.3%,1.9%,1.8%,0.2%,0.0%,35,35 g,en quantité élevée,17 g,en quantité élevée,4 g,en faible quantité,2.2 g,en quantité élevée,+16%,+465%,+8%,+13%,+13%,25,+71%,E,+71%,75 g,,,,,,,,,
799,Sardine à la sauce tomate -,8436015204539,,,['France'],[],[],?,138,"5,2","8,1",15,577 kj(138 kcal),"2,7","1,3",1,"0,4",D,,"['Conserves', 'Produits de la mer', 'Poissons', 'Poissons en conserve', 'Sardines', 'Sardines en conserve', ""Sardines à l'huile"", ""Sardines à l'huile de tournesol"", 'Sardines à la tomate']",,,,,-37%,-63%,+1226%,-30%,26.4%,30.5%,28.5%,13.5%,0.9%,0.3%,52,5.2 g,en quantité modérée,2.7 g,en quantité modérée,1.3 g,en faible quantité,1 g,en quantité modérée,-36%,-18%,+402%,+10%,+10%,2,-46%,B,-46%,,,,,,,,,,
800,Vin blanc sec,3660989067950,,,['France'],[],[],?,?,?,?,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
801,4 Andouillettes Pur Porc,3219350099399,,,['France'],[],[],?,212,17,"0,5",15,887 kj(212 kcal),"7,5","0,5",1,"0,4",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
802,Cuisses poulet fermier - Carrefour Bio,0287568027810,['Carrefour Bio'],['Bio'],['France'],[],[],?,?,?,?,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,['Carrefour'],,,,,,,
803,Sauce soja,2002657024925,,,['France'],[],[],?,73,0,7,11,305 kj(73 kcal),0,"1,3","16,3","6,52",B,,"['Epicerie', 'Condiments', 'Sauces', 'Sauces au soja']",,,,,-34%,-100%,-61%,+72%,21.5%,31.6%,20.1%,15.9%,8.6%,2.3%,97,0 g,en faible quantité,0 g,en faible quantité,1.3 g,en faible quantité,16.3 g,en quantité élevée,-33%,-100%,-90%,+36%,+36%,5,-55%,C,-55%,,,,,,,,,,
804,Curry Pulver Geröstet Scharf 500 G Leela Sri Lanka Currypulver,4792064015521,,,['France'],[],[],?,104,"0,26","4,57","1,08",435 kj(104 kcal),"0,15","0,04","5,44","2,176",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
805,Tomme de montagne,15817739,,,['France'],[],[],?,343,26,"3,2",24,1435 kj(343 kcal),17,"0,4","1,7","0,68",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
806,Huile vierge sesame - Mille et Une Huiles,3700073111111,['Mille et Une Huiles'],,['France'],[],[],?,?,?,?,?,,,,,,C,,"['Aliments et boissons à base de végétaux', ""Aliments d'origine végétale"", 'Céréales et pommes de terre', 'Matières grasses', 'Céréales et dérivés', 'Matières grasses végétales', 'Huiles', 'Huiles de céréales', 'Huiles de sésame']",,,,,,,,,89.1%,2.2%,4.4%,2.1%,2.2%,0.0%,55,,,,,,,,,,,,,,,,,,,,,,,,,,,
807,Gaufrettes vanilles,6111242330689,,,['France'],[],[],?,501,0,71,"4,8",2096 kj(501 kcal),0,22,"3,2","1,28",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
808,6 aiguillettes de pouleut blanc,0253097018506,,,['France'],[],[],?,104,"1,3",0,23,435 kj(104 kcal),"0,4",0,"0,11","0,044",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
809,"Erdnüsse, Gewürzt, Geröstet Und Gesalzen",4056546191029,,,['France'],[],[],?,606,"49,6","7,9","27,2",2536 kj(606 kcal),"9,2","3,7","1,5","0,6",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
810,Mimi viennoiserie,0201808011742,,,['France'],[],[],?,375,21,41,"7,4",1569 kj(375 kcal),13,12,"0,87","0,348",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
811,Mix pencils,5060380691569,,"['Végétarien', 'Végétalien']",['France'],[],"['Végétalien', 'Végétarien']",?,385,"6,1","76,6","2,1",1611 kj(385 kcal),"4,5","50,4","0,1","0,04",E,,"['Snacks', 'Snacks sucrés', 'Confiseries', 'Bonbons']",,,,,+8%,+228%,-8%,-1%,90.3%,5.0%,2.2%,2.0%,0.5%,0.0%,34,6.1 g,en quantité modérée,4.5 g,en quantité modérée,50.4 g,en quantité élevée,0.1 g,en faible quantité,+7%,+325%,-13%,-17%,-17%,18,+25%,D,+25%,,,,,,,,,,
812,2243757063630,2243757063630,,,['France'],[],[],?,?,?,?,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
813,Tapolive verte au basilic,2800997010567,,,['France'],[],[],?,?,?,?,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
814,Les saladières - Saupiquet - 160g,3165950217438,['Saupiquet'],,['France'],[],[],?,?,?,?,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,160g,,,,,,,,,
815,Batido de iogurte e fruta - Mimosa,5603722514999,['Mimosa'],,['France'],[],[],?,81,"1,3",14,"2,9",339 kj(81 kcal),"0,9",12,"0,13","0,052",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
816,Choucroute cuisinée,2433186014567,,,['France'],[],[],?,165,"2,9","2,2","0,5",690 kj(165 kcal),"0,3","0,3","0,6","0,24",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"['FR 88.470.003 CE', 'Tholy (Vosges, France)']",,,,,,
817,Soucoupe - Little Extra,3664382106902,['Little Extra'],,['France'],[],[],?,374,"0,1","88,8","0,01",1565 kj(374 kcal),0,"60,8","1,1","0,44",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
818,Thé sencha fruits rouges - Thé vert Sencha de Chine - 1,901110,['Thé vert Sencha de Chine'],,['France'],[],[],?,?,?,?,?,,,,,,B,,"['Aliments et boissons à base de végétaux', 'Boissons', 'Boissons chaudes', 'Boissons à base de végétaux', 'Thés', 'Thés verts', 'Thé vert de Chine']",,,,,,,,,66.6%,0.0%,1.4%,1.6%,0.3%,30.1%,100,,,,,,,,,,,,,,,,,,1,,,,,,,,,
819,United Biscuits,01643794,['United Biscuits'],,['France'],[],[],?,?,?,?,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
820,Nesquik - Nestlé,05405038,['Nestlé'],['en:gluten-free'],['France'],[],[],?,70,"1,8","9,8","3,6",293 kj(70 kcal),1,"9,5","0,14","0,056",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
821,Mini BN à la pulpe de fraise -,13363341,,,['France'],[],[],?,430,"13,1","73,1","5,1",1799 kj(430 kcal),"5,9","35,5","0,69","0,276",C,,"['Snacks', 'Snacks sucrés', 'Biscuits et gâteaux', 'Biscuits', 'Biscuits fourrés', 'Biscuits à la fraise']",,,,,+8%,+39%,+0%,-0%,80.3%,11.4%,3.7%,2.4%,2.2%,0.0%,58,13.1 g,en quantité modérée,5.9 g,en quantité élevée,35.5 g,en quantité élevée,0.69 g,en quantité modérée,+7%,+44%,-10%,+71%,+71%,20,+21%,E,+21%,,,,,,,Biscuits aux fruits fourrés à la fraise,,,
822,Soupe tomate sarriette - Atelier Potpote - 25cl,3770009761314,['Atelier Potpote'],"['Bio', 'Bio européen', 'AB Agriculture Biologique']",['France'],[],[],60,?,"0,5","2,1","0,6",60 kj(14 kcal),"0,1","1,9","0,38","0,152",B,,"['Aliments et boissons à base de végétaux', ""Aliments d'origine végétale"", 'Aliments à base de fruits et de légumes', 'Plats préparés', 'Soupes', 'Soupes de légumes', 'Soupes de tomate']",,,,-68%,,-69%,-63%,-43%,25.5%,33.0%,16.0%,11.0%,10.2%,4.3%,97,0.5 g,en faible quantité,0.1 g,en faible quantité,1.9 g,en faible quantité,0.38 g,en quantité modérée,-66%,-78%,-37%,-49%,-49%,1,-33%,B,-33%,25 cl,,,,,,,,,
823,Gesiers de volaille,3432770002767,,,['France'],[],[],?,80,"1,8",0,16,335 kj(80 kcal),"0,7",0,"1,4","0,56",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
824,taillefine aux fruits - danone - 8x125g,3033491213427,['Danone'],,['France'],[],[],?,?,?,?,?,,,,,,,['X8'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8x125g,,,,,,,,,
825,Gouda graines de cumin,0275597012075,,,['France'],[],[],?,?,?,?,?,,,,,,D,,"['Produits laitiers', 'Produits fermentés', 'Produits laitiers fermentés', 'Fromages', 'Fromages des Pays-Bas', 'Goudas', 'Goudas au cumin']",,,,,,,,,82.8%,8.1%,3.5%,3.6%,1.6%,0.4%,49,,,,,,,,,,,,,,,,,,,,,,,,,,,
826,Eyguebelle Sirop Mandarine 70 CL - Eyquebelle,3242611110137,['Eyquebelle'],,['France'],"['sucre de canne', 'eau  jus de mandarine à base de concentré ', '10%', 'acidifiant: acide citrique', 'arômes naturels de mandarine', 'extrait de carthame', 'stabilisant: gomme ester', 'colorants: anthocyanes - acide carminique', 'conservateur: sorbate de potassium']","['Non végétalien', 'Non végétarien']",?,?,?,?,?,,,,,,,['bouteille verre'],['Sirops'],"['E330 - Acide citrique', 'E445 - Esters glycériques de résine de bois', 'E163 - Anthocyanes', 'E120 - Acide carminique', 'E202 - Sorbate de potassium', '', 'Risque élevé de sur-exposition']",,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,70 cl,,,,,http://www.eyguebelle.com,,,,
827,Andouillette canard,2202063024605,,,['France'],[],[],?,216,16,"0,6",17,904 kj(216 kcal),"6,2","0,2","1,4","0,56",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
828,Amalias olive oil,3760206180018,,,['France'],[],[],?,824,77,0,0,3448 kj(824 kcal),13,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
829,Hediard,3418321264891,['Hediard'],,['France'],[],[],?,?,?,?,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
830,Salade fromagère à la ricotta,0205921019692,,,['France'],[],[],?,224,15,14,"8,2",937 kj(224 kcal),"4,9","9,8",1,"0,4",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
831,Paves en tournedos - Charal,2444975064748,['Charal'],,['France'],[],[],?,113,"2,3",0,23,473 kj(113 kcal),"0,8",0,"0,17","0,068",,,"['Viandes', 'Bœuf', 'Tournedos de boeuf']",,,,,-37%,-76%,-100%,+14%,,,,,,,,2.3 g,en faible quantité,0.8 g,en faible quantité,0 g,en faible quantité,0.17 g,en faible quantité,-37%,-80%,-100%,-85%,-85%,-4,-176%,A,-176%,,,,,,,,,,
832,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
833,Cake cake sucré myrtille,3581088619003,,,['France'],[],[],?,417,"23,8","45,2",5,1745 kj(417 kcal),"3,2","27,4","0,385","0,154",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
834,McVities,5000168198477,"['McVities', ""McVitie's""]","['Sans arômes artificiels', 'Sans colorants']",['France'],[],[],?,?,?,?,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
835,Paté de tête,0200275021452,,,['France'],[],[],?,176,13,"0,6",15,736 kj(176 kcal),"4,06","0,6","2,4","0,96",D,,"['Viandes', 'Charcuteries', 'Charcuteries diverses', 'Pâté', 'Pâtés de tête']",,,,,-10%,-5%,-21%,-2%,76.6%,14.8%,4.7%,2.2%,1.3%,0.4%,42,13 g,en quantité modérée,4.06 g,en quantité modérée,0.6 g,en faible quantité,2.4 g,en quantité élevée,-6%,-22%,+69%,+39%,+39%,16,+36%,D,+36%,,,,,,,,,,
836,Saucisson sec pur porc,2378580037463,,,['France'],[],[],?,?,?,?,?,,,,,,D,,"['Viandes', 'Charcuteries', 'Saucissons', 'Saucissons secs', 'Saucissons secs pur porc']",,,,,,,,,79.0%,17.2%,0.6%,1.8%,1.1%,0.3%,36,,,,,,,,,,,,,,,,,,,,,"['FR 04.008.001 CE', 'Annot (Alpes-de-Haute-Provence, France)']",,,,,,
837,Pur jus de pommes bio - Vergers de la montagne Anne Monnier - 1L,,['Vergers de la montagne Anne Monnier'],['Bio'],['France'],[],[],?,?,?,?,?,,,,,,C,,"['Aliments et boissons à base de végétaux', 'Boissons', 'Boissons à base de végétaux', 'Boissons aux fruits', 'Jus et nectars', 'Jus de fruits', 'Jus de fruits pur jus', 'Jus de pomme', 'Jus de pommes pur jus']",,,,,,,,,52.8%,9.4%,18.4%,14.0%,5.4%,0.0%,70,,,,,,,,,,,,,,,,,,1L,,,,,,,,,
838,Jambon blanc,2900111002000,,"['Bio', 'Bio européen', 'AB Agriculture Biologique']",['France'],[],[],?,?,?,?,?,,,,,,D,,"['Viandes', 'Charcuteries', 'Jambons', 'Jambons blancs']",,,,,,,,,80.5%,11.8%,4.9%,1.6%,0.9%,0.3%,33,,,,,,,,,,,,,,,,,,,,,,,,,,,
839,Ha Kao crevette,3503040300415,,,['France'],[],[],?,166,"5,7","21,6","7,2",695 kj(166 kcal),"0,1",1,"0,375","0,15",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
840,Bananes bio,0211236010507,,"['Bio', 'Bio européen', 'Commerce équitable', 'FR-BIO-10', 'Max Havelaar']",['France'],[],[],?,?,?,?,?,,,,,,B,,"['Aliments et boissons à base de végétaux', ""Aliments d'origine végétale"", 'Aliments à base de fruits et de légumes', 'Fruits et produits dérivés', 'Fruits', 'Fruits tropicaux', 'Bananes']",,,,,,,,,63.7%,0.0%,0.0%,23.1%,9.9%,3.2%,95,,,,,,,,,,,,,,,,,,,,,,,,,,,
841,Michel Cluizel,0659253128896,['Michel Cluizel'],,['France'],[],[],?,?,?,?,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
842,MAGIC,5907471413313,,,['France'],[],[],?,551,0,78,0,2305 kj(551 kcal),0,44,"0,19","0,076",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
843,Cuisse de poulet rotie - Maître Coq,0215144022966,['Maître Coq'],,['France'],[],[],?,167,8,"2,7",21,699 kj(167 kcal),"2,3",0,"1,2","0,48",D,,"['Viandes', 'Volailles', 'Poulets', 'Cuisses de poulet']",,,,,-13%,-35%,+749%,+14%,83.4%,9.5%,2.7%,2.7%,1.4%,0.4%,44,8 g,en quantité modérée,2.3 g,en quantité modérée,0 g,en faible quantité,1.2 g,en quantité modérée,-13%,-31%,-100%,+58%,+58%,4,+13%,C,+13%,,,,,,,,,,
844,Croissant au beurre Charentes Poitou AOP,0260204018373,,,['France'],[],[],?,224,15,"33,9","7,4",937 kj(224 kcal),10,"4,6","0,82","0,328",C,,"['Snacks', 'Snacks sucrés', 'Viennoiseries', 'Croissants', 'Croissants au beurre']",,,,,-42%,-31%,-17%,-1%,78.5%,13.2%,5.3%,2.6%,0.4%,0.0%,69,15 g,en quantité modérée,10 g,en quantité élevée,4.6 g,en faible quantité,0.82 g,en quantité modérée,-42%,-30%,-35%,-17%,-17%,15,-20%,D,-20%,,,,,,,,,,
