,name,bar_code,brand,markets,sales_countries,ingredients_list,additives,allergens,ingredients_analysis,nova_score,nutriment_energy-kj_tr,nutriment_energy-kcal_tr,nutriment_energy_tr,nutriment_fat_tr,nutriment_saturated-fat_tr,nutriment_carbohydrates_tr,nutriment_sugars_tr,nutriment_proteins_tr,nutriment_salt_tr,nutriment_sodium_tr,eco_score,generic_name,quantity,packaging,categories,labels,ingredients_origins,traceability_code,fats_lipids_quantity,fats_lipids_comment,saturated_acids_quantity,saturated_acids_comment,sugar_quantity,sugar_comment,salt_quantity,salt_comment,nutriment_energy-kj_tr_diff,nutriment_energy-kcal_tr_diff,nutriment_energy_tr_diff,nutriment_fat_tr_diff,nutriment_saturated-fat_tr_diff,nutriment_carbohydrates_tr_diff,nutriment_sugars_tr_diff,nutriment_proteins_tr_diff,nutriment_salt_tr_diff,nutriment_sodium_tr_diff,nutriment_nutrition-score-fr_tr,nutriment_nutrition-score-fr_tr_diff,nutriment_nutriscore_tr,nutriment_nutriscore_tr_diff,Agriculture,Transformation,Conditionnement,Transport,Distribution,Consommation,Score_ACV,manufacturing,palm_ingredients,link
1183,Mozzarella - Valmartin,3262470010126,['Valmartin'],,['France'],"['lait 96,6%', 'antimottant : fécule', 'sel', 'ferments lactiques', ""enzyme coagulante d'origine microbienne""]",,['Lait'],['Non végétalien'],3,?,301,1259 kj(301 kcal),21,14,"2,9",1,24,"1,4","0,56",D,,,['Frais'],"['Produits laitiers', 'Produits fermentés', 'Produits laitiers fermentés', 'Fromages', 'Fromages italiens', 'Fromages à pâte filée', 'Mozzarella']",,,,21 g,en quantité élevée,14 g,en quantité élevée,1 g,en faible quantité,1.4 g,en quantité modérée,,+16%,+17%,+1%,0%,+182%,+33%,+43%,+108%,+108%,14,+37%,D,+37%,84.0%,5.8%,4.0%,4.0%,1.8%,0.5%,54,,,
1184,Emmental - Valmartin,3262470030186,['Valmartin'],,['France'],[],,,[],,?,362,1515 kj(362 kcal),27,19,"2,3","0,1",27,"0,83","0,332",D,,,,"['Produits laitiers', 'Produits fermentés', 'Produits laitiers fermentés', 'Fromages', 'Fromages à pâte pressée cuite', 'Fromages de vache', 'Emmentals']",['Bio'],,,27 g,en quantité élevée,19 g,en quantité élevée,0.1 g,en faible quantité,0.83 g,en quantité modérée,,-4%,-4%,-8%,-4%,+244%,-76%,-2%,+27%,+27%,12,+5%,D,+5%,82.8%,8.1%,3.5%,3.6%,1.6%,0.4%,49,,,
1185,Mozzarella cosette - Valmartin,3262470051730,['Valmartin'],,['France'],"['lait 96,6%', 'antimottant : fécule', 'sel', 'ferments lactiques', ""enzyme coagulante d'origine rnicrobienne""]",,['Lait'],['Non végétalien'],3,?,301,1259 kj(301 kcal),21,14,"2,9",1,24,"1,4","0,56",D,,,['Frais'],"['Produits laitiers', 'Produits fermentés', 'Produits laitiers fermentés', 'Fromages', 'Fromages italiens', 'Fromages à pâte filée', 'Mozzarella']",,,,21 g,en quantité élevée,14 g,en quantité élevée,1 g,en faible quantité,1.4 g,en quantité modérée,,+16%,+17%,+1%,0%,+182%,+33%,+43%,+108%,+108%,14,+37%,D,+37%,84.0%,5.8%,4.0%,4.0%,1.8%,0.5%,54,"['Elaboré au Danemark', 'Conditionné en France', 'Danemark', 'France']",,
1186,Emmental Tranchette - Valmartin - 240g e,3262470051969,['Valmartin'],,['France'],"['Lait de vache pasteurisé', 'sel', 'ferments lactiques', ""enzyme coagulante d'origine microbienne""]",,['Lait'],"['Sans huile de palme', 'Non végétalien', 'Peut-être végétarien']",3,?,379,1586 kj(379 kcal),29,19,"0,5","0,5",29,"0,7","0,28",C,,240 g e,"['Frais', 'Plastique']","['Produits laitiers', 'Produits fermentés', 'Produits laitiers fermentés', 'Fromages', 'Fromages à pâte pressée cuite', 'Fromages de vache', 'Emmentals', 'Fromages en tranches']","['Bio', 'Bio européen', 'Agriculture UE', 'FR-BIO-01']",,"['FR 68.223.001 CE', 'Muhlbach-sur-Munster (Haut-Rhin, France)']",29 g,en quantité élevée,19 g,en quantité élevée,0.5 g,en faible quantité,0.7 g,en quantité modérée,,+11%,+12%,+8%,+4%,-51%,-27%,+26%,-59%,-59%,12,-24%,D,-24%,82.8%,8.1%,3.5%,3.6%,1.6%,0.4%,49,,,
1187,Fromage fondu Râpé Fondant - Valmartin - 150g e,3262470052119,['Valmartin'],,['France'],"['Fromages', 'eau', 'beurre', 'protéines de lait', ' amidon modifié ', 'pomme de terre', 'sels émulsifiants ', 'E331', 'E452', 'conservateur : E202']","['E14XX - Amidons modifiés', 'E331 - Citrates de sodium', 'E452 - Polyphosphates', '', 'Risque élevé de sur-exposition', 'E202 - Sorbate de potassium', '', 'Risque élevé de sur-exposition']",['Lait'],"['Sans huile de palme', 'Non végétalien', 'Peut-être végétarien']",4,?,279,1167 kj(279 kcal),23,23,"3,8",0,24,"1,1","0,44",D,,150 g e,['Sachet'],"['Produits laitiers', 'Produits fermentés', 'Produits laitiers fermentés', 'Fromages', 'Fromages râpés', 'Fromages fondus']",['Point Vert'],,"['FR 68.223.001 CE', 'Muhlbach-sur-Munster (Haut-Rhin, France)']",23 g,en quantité élevée,23 g,en quantité élevée,0 g,en faible quantité,1.1 g,en quantité modérée,,+10%,+10%,+14%,+72%,-30%,-100%,+105%,-45%,-45%,12,-23%,D,-23%,79.5%,12.0%,2.9%,3.6%,1.6%,0.4%,49,,,
1188,Cocktail tropical,3262720270058,,,['France'],[],,,[],,?,45,188 kj(45 kcal),0,0,11,10,"0,5","0,01","0,004",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1189,Nectar Tamarin - Royal - 1L,3262720380047,['Royal'],,['France'],"['Eau', 'purée de tamarin à base de purée concentré', 'sucre']",,,[],3,224,?,224 kj(54 kcal),"< 0,1","< 0,04","13,2","12,1","< 0,6","0,005","0,002",D,Nectar de tamarin à base de purée concentrée.,1 L,"['Brique', 'Frais']","['Aliments et boissons à base de végétaux', 'Boissons', 'Boissons à base de végétaux', 'Boissons aux fruits', 'Jus et nectars', 'Nectars de fruits']","['Sans arômes artificiels', 'Sans colorants', 'Sans conservateurs', 'Sans colorants ou conservateurs']",,,0.1 g,en faible quantité,0.04 g,en faible quantité,12.1 g,en quantité élevée,0.00508 g,en faible quantité,+19%,,+11%,-44%,+37%,+16%,+13%,+90%,-47%,-47%,17,+25%,E,+25%,58.5%,3.8%,10.1%,20.0%,6.0%,1.7%,51,,,
1190,Nectar Mandarine - Royal,3262720380160,['Royal'],,['France'],[],,,[],,?,50,209 kj(50 kcal),0,0,12,12,0,,,D,,,,"['Aliments et boissons à base de végétaux', 'Boissons', 'Boissons à base de végétaux', 'Boissons aux fruits', 'Jus et nectars', 'Nectars de fruits', 'Nectars de mandarine']",,,,0 g,en faible quantité,0 g,en faible quantité,12 g,en quantité élevée,,,,+2%,+3%,-100%,-100%,+5%,+12%,-100%,,,,,,,58.5%,3.8%,10.1%,20.0%,6.0%,1.7%,51,,,
1191,Cotronnade - Royal - 1L e,3262720380290,['Royal'],,['France'],"['Eau', ' jus de citrons verts pressés ', '10 %', ' sucre', ' antioxydant : E300']",['E300 - Acide ascorbique'],,[],3,?,41,172 kj(41 kcal),0,0,"9,6","9,6",0,0,0,,Boisson citron vert,1 L e,"['Brique', 'Frais', 'Carton', 'Plastique']","['Boissons', 'Boissons avec sucre ajouté', 'Citronnades']","['Sans colorants', 'Sans conservateurs']",,,0 g,en faible quantité,0 g,en faible quantité,9.6 g,en quantité élevée,0 g,en faible quantité,,+28%,+26%,-100%,-100%,+20%,+28%,-100%,-100%,-100%,13,+29%,E,+29%,,,,,,,,,,
1192,Anches De Saxophone Alto Vandoren Java Rouge Filed Red Cut 3 - Leader Price,3262720381006,['Leader Price'],['Leader Price'],['France'],[],,,[],,?,47,197 kj(47 kcal),"0,5","0,5",11,11,"0,5","0,01","0,004",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1193,Nectar orange passion - Leader Price - 1L,3262720381020,['Leader Price'],['Leader Price'],['France'],"['Eau', ""jus d'orange "", '30%', ' et fruit de la passion ', '10%', ' à base de jus concentrés', 'sucre']",,,['Sans huile de palme'],3,?,47,197 kj(47 kcal),"< 0,5",0,11,11,"< 0,5","< 0,01","0,004",D,,1L,,"['Aliments et boissons à base de végétaux', 'Boissons', 'Boissons à base de végétaux', 'Boissons aux fruits', 'Jus et nectars', 'Nectars de fruits', 'Boissons avec sucre ajouté']",,,,0.5 g,en faible quantité,0 g,en faible quantité,11 g,en quantité élevée,0.01 g,en faible quantité,,-4%,-2%,+179%,-100%,-4%,+3%,+58%,+4%,+4%,15,+10%,E,+10%,58.5%,3.8%,10.1%,20.0%,6.0%,1.7%,51,,,
1194,Nectar Orange Cerise Péyi Acerola - Leader Price - 1L,3262720381044,['Leader Price'],['Leader Price'],['France'],[],,,[],,?,46,192 kj(46 kcal),"0,01","0,01",11,11,"0,5","0,01","0,004",D,Nectar de fruits,1 L,['Brique'],"['Aliments et boissons à base de végétaux', 'Boissons', 'Boissons à base de végétaux', 'Boissons aux fruits', 'Jus et nectars', 'Nectars de fruits']",,,,0.01 g,en faible quantité,0.01 g,en faible quantité,11 g,en quantité élevée,0.01 g,en faible quantité,,-6%,-5%,-94%,-66%,-4%,+3%,+58%,+4%,+4%,15,+10%,E,+10%,58.5%,3.8%,10.1%,20.0%,6.0%,1.7%,51,,,
1195,Boisson Orange Litchi - Leader Price,3262720381051,['Leader Price'],['Leader Price'],['France'],[],,,[],,?,49,205 kj(49 kcal),"0,5","0,5",12,12,"0,5","0,01","0,004",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1196,Boisson Ananas Coco 1 l - Leader Price,3262720381068,['Leader Price'],['Leader Price'],['France'],"['Eau', ""jus d'ananas à base de jus concentré "", '28%', 'crème de coco ', '6%', 'sucre', 'stabilisant : gomme de xanthane ', 'E415 ', 'arôme', 'acidifiant : acide citrique ', 'E330', 'co orant : curcumine ', 'El 00']","['E415 - Gomme xanthane', 'E330 - Acide citrique', 'E100 - Curcumine']",,[],4,?,63,264 kj(63 kcal),"1,1",1,13,13,"0,5","0,01","0,004",,,,,"['Boissons', 'Boissons avec sucre ajouté']",,,,1.1 g,en faible quantité,1 g,en quantité modérée,13 g,en quantité élevée,0.01 g,en faible quantité,,-26%,-29%,+193%,+502%,-34%,-29%,-7%,-73%,-73%,18,+51%,E,+51%,,,,,,,,,,
1197,Nectar ananas goyave - Leader Price,3262720381082,['Leader Price'],['Leader Price'],['France'],"['8 Eau', ""jus d'ananas "", '28%', ' à base de jus concentré', 'purée de goyave ', ' 12%', 'sucre', ' ', ' Conditions de conservation Avant ouverture :']",,,[],3,?,46,192 kj(46 kcal),"0,5","0,5",11,11,"0,5","0,01","0,004",D,,,,"['Aliments et boissons à base de végétaux', 'Boissons', 'Boissons à base de végétaux', 'Boissons aux fruits', 'Jus et nectars', 'Nectars de fruits', 'Boissons avec sucre ajouté']",,,,0.5 g,en faible quantité,0.5 g,en faible quantité,11 g,en quantité élevée,0.01 g,en faible quantité,,-6%,-5%,+179%,+1606%,-4%,+3%,+58%,+4%,+4%,15,+10%,E,+10%,58.5%,3.8%,10.1%,20.0%,6.0%,1.7%,51,,,
1198,Confiture extra Carambole - Royal,3262720511038,['Royal'],,['France'],"['Pulpe de carambole ', '45%', ' sucre', 'gélifiant : pectine de fruits ', 'E440', ' acidifiant : acide citrique ', 'E330']","['E440 - Pectines', 'E330 - Acide citrique']",,[],4,?,245,1025 kj(245 kcal),"0,5",0,56,50,"0,5","0,04","0,016",D,,,,"['Aliments et boissons à base de végétaux', ""Aliments d'origine végétale"", 'Produits à tartiner', 'Petit-déjeuners', 'Pâtes à tartiner végétales', 'Produits à tartiner sucrés', 'Confitures et marmelades', 'Confitures']",,,,0.5 g,en faible quantité,0 g,en faible quantité,50 g,en quantité élevée,0.04 g,en faible quantité,,+10%,+10%,+91%,-100%,+5%,-2%,-3%,+72%,+72%,12,+29%,D,+29%,75.0%,7.5%,10.3%,5.1%,1.7%,0.4%,50,,,
1199,Marmelade Citron vert - Royal,3262720511045,['Royal'],,['France'],"['sucre', 'citrons verts ', '30%', 'eau']",,,"['Sans huile de palme', 'Végétalien', 'Végétarien']",3,?,266,1113 kj(266 kcal),"0,8","0,5",66,61,"0,5","0,01","0,004",,,,,"['Aliments et boissons à base de végétaux', ""Aliments d'origine végétale"", 'Produits à tartiner', 'Petit-déjeuners', 'Pâtes à tartiner végétales', 'Produits à tartiner sucrés', 'Confitures et marmelades', 'Marmelades', 'Marmelades de citrons verts']",,,,0.8 g,en faible quantité,0.5 g,en faible quantité,61 g,en quantité élevée,0.01 g,en faible quantité,,+11%,+11%,+332%,+1055%,+12%,+9%,+40%,-67%,-67%,12,0%,D,0%,,,,,,,,,,
1200,Gelée extra Groseille pays - Royal,3262720511113,['Royal'],,['France'],"[""Gelée extra d'hibiscus"", ' Ingrédients : hibiscus : extraits acqueux ', '48%', 'sucre', 'gélifiant: pectine de fruit ', 'E440']",['E440 - Pectines'],,[],4,?,247,1033 kj(247 kcal),0,0,61,56,"0,5","0,02","0,008",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1201,Confiture d'Acérola - Royal - 330g,3262720511168,['Royal'],,['France'],"['pulpe acérola ', '45%', 'sucre', 'gélifiant : pectine de fruits ', 'E440', 'acidifia!lt : acide citrique ', 'E330', ' Poids ret : Net Weight: 33 ge 11,640Z A conServer au frais apr? ', '9 Refrigerate after opening A consommer de préférence avant le : voir capsule', 'Best before : see bottom Service Consommateurs Denel S', 'A', 'S', '- 97213 Gros Morne Martinique - www', 'denelmartiniqu']","['E440 - Pectines', 'E330 - Acide citrique']",,[],4,?,228,954 kj(228 kcal),"0,5",0,57,51,"0,5","0,03","0,012",D,,330 g,,"['Aliments et boissons à base de végétaux', ""Aliments d'origine végétale"", 'Aliments à base de fruits et de légumes', 'Produits à tartiner', 'Petit-déjeuners', 'Fruits et produits dérivés', 'Pâtes à tartiner végétales', 'Produits à tartiner sucrés', 'Confitures et marmelades', 'Confitures', ""Confitures d'acérola""]",,,,0.5 g,en faible quantité,0 g,en faible quantité,51 g,en quantité élevée,0.03 g,en faible quantité,,+3%,+3%,+91%,-100%,+7%,-0%,-3%,+29%,+29%,9,-3%,C,-3%,75.0%,7.5%,10.3%,5.1%,1.7%,0.4%,50,,,
1202,Gelée piment doux - 330g,3262720511182,,,['France'],[],,,[],,?,255,1067 kj(255 kcal),"0,8",0,63,56,"0,5",,,,,330 g,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1203,Confiture De Papaye 330G - Royal - 330g,3262720511199,['Royal'],['Hyper U le Rond point'],"['France', 'Martinique']","['purée de papaye ', '55%', 'sucre', 'gélifiant : pectine de fruits', 'acidifiant: acide citrique', 'affermissant:citrate de calcium']","['E440 - Pectines', 'E330 - Acide citrique', 'E333 - Citrates de calcium']",,"['Sans huile de palme', 'Végétalien', 'Végétarien']",4,?,224,937 kj(224 kcal),"0,01","0,01",52,52,"0,4","0,127","0,051",C,,330 g,['pot en verre'],"['Aliments et boissons à base de végétaux', ""Aliments d'origine végétale"", 'Aliments à base de fruits et de légumes', 'Produits à tartiner', 'Petit-déjeuners', 'Fruits et produits dérivés', 'Pâtes à tartiner végétales', 'Produits à tartiner sucrés', 'Confitures et marmelades', 'Confitures']",,,,0.01 g,en faible quantité,0.01 g,en faible quantité,52 g,en quantité élevée,0.127 g,en faible quantité,,+1%,+1%,-96%,-80%,-3%,+2%,-23%,+447%,+447%,7,-25%,C,-25%,75.0%,7.5%,10.3%,5.1%,1.7%,0.4%,50,['Martinique'],,
1204,Confiture Litchi - Royal,3262720511236,['Royal'],,['France'],"['lychee puree ', '70%', 'sugar', 'gelling agent : fruits pectine ', 'E440', 'acidifying : citric acid ', 'E330', 'Ginger ', '0,5%', 'antixidant : ascorbic acid ', 'E300', 'strengthening : calcium citrate ', 'E333']","['E440 - Pectines', 'E330 - Acide citrique']",,[],4,?,296,1238 kj(296 kcal),"0,1","0,1",72,47,"0,7","0,01","0,004",D,,,,"['Aliments et boissons à base de végétaux', ""Aliments d'origine végétale"", 'Aliments à base de fruits et de légumes', 'Produits à tartiner', 'Petit-déjeuners', 'Fruits et produits dérivés', 'Pâtes à tartiner végétales', 'Produits à tartiner sucrés', 'Confitures et marmelades', 'Confitures', 'Confitures de fruits tropicaux', 'Confitures de litchis']",,,,0.1 g,en faible quantité,0.1 g,en faible quantité,47 g,en quantité élevée,0.01 g,en faible quantité,,+30%,+30%,-69%,+68%,+33%,-9%,+29%,-76%,-76%,11,+14%,D,+14%,75.0%,7.5%,10.3%,5.1%,1.7%,0.4%,50,,,
1205,Confiture giraumon - Royal,3262720511243,['Royal'],,['France'],[],,,[],,?,244,1021 kj(244 kcal),"0,3","0,1",60,49,"0,7",0,0,D,,,,"['Aliments et boissons à base de végétaux', ""Aliments d'origine végétale"", 'Aliments à base de fruits et de légumes', 'Produits à tartiner', 'Petit-déjeuners', 'Légumes et dérivés', 'Pâtes à tartiner végétales', 'Produits de la plante de courge', 'Produits à tartiner sucrés', 'Confitures et marmelades', 'Confitures', 'Courges et dérivés', 'Confitures de citrouille']",,,"['EMB 97212', 'Gros-Morne (Martinique, France)']",0.3 g,en faible quantité,0.1 g,en faible quantité,49 g,en quantité élevée,0 g,en faible quantité,,+190%,+194%,-43%,-47%,+219%,+268%,-34%,-100%,-100%,11,,D,,75.0%,7.5%,10.3%,5.1%,1.7%,0.4%,50,,,
1206,Royal compote - 1.080kg,3262720511304,['Royal'],['Hyper U le Rond point'],['France'],"['Pomme ', '96%', ' ', 'sucre', 'antioxydant : acide ascorbique']",['E300 - Acide ascorbique'],,"['Sans huile de palme', 'Végétalien', 'Végétarien']",3,?,62,259 kj(62 kcal),"0,5","0,1",14,11,"0,5","0,025","0,01",B,,1.080 kg,['poche en plastique'],"['Aliments et boissons à base de végétaux', ""Aliments d'origine végétale"", 'Desserts', 'Aliments à base de fruits et de légumes', 'Fruits et produits dérivés', 'Compotes', 'Compotes à boire']",,,,0.5 g,en faible quantité,0.1 g,en faible quantité,11 g,en quantité modérée,0.0254 g,en faible quantité,,0%,-2%,+37%,-24%,+3%,-12%,+23%,+172%,+172%,-8,,A,,35.2%,26.4%,14.9%,14.0%,7.5%,2.0%,96,['Martinique'],,
1207,Confiture allégée mangue - Royal - 315g,3262720533047,['Royal'],,['France'],"['Purée de mangue ', '70%', 'sucre', 'gélifiant : pectine de fruits ', 'E440i', 'acidifiant : acide citrique ', 'E330', 'Citrate de calcium ', 'E333']","['E440 - Pectines', 'E440i - Pectine non amidée', 'E330 - Acide citrique']",,"['Sans huile de palme', 'Végétalien', 'Végétarien']",4,?,201,841 kj(201 kcal),"0,5",0,44,44,"0,5","0,005","0,002",D,,315 g,,"['Aliments et boissons à base de végétaux', ""Aliments d'origine végétale"", 'Aliments à base de fruits et de légumes', 'Produits à tartiner', 'Petit-déjeuners', 'Fruits et produits dérivés', 'Pâtes à tartiner végétales', 'Produits à tartiner sucrés', 'Confitures et marmelades', 'Confitures', 'Confitures de fruits tropicaux', 'Confitures de mangues']","['Peu ou pas de sucre', 'Peu de sucre', 'Allégé en sucre']",,,0.5 g,en faible quantité,0 g,en faible quantité,44 g,en quantité élevée,0.005 g,en faible quantité,,-4%,-4%,+68%,-100%,-15%,-13%,+26%,-83%,-83%,9,-8%,C,-8%,75.0%,7.5%,10.3%,5.1%,1.7%,0.4%,50,,,
1208,Confiture extra ananas - Royal,3262720555018,['Royal'],,['France'],[],,,[],,?,244,1021 kj(244 kcal),"0,4",0,59,52,"0,4","0,04","0,016",D,,,,"['Aliments et boissons à base de végétaux', ""Aliments d'origine végétale"", 'Produits à tartiner', 'Petit-déjeuners', 'Pâtes à tartiner végétales', 'Produits à tartiner sucrés', 'Confitures et marmelades', 'Confitures', 'Confitures de fruits tropicaux', ""Confitures d'ananas""]",,,,0.4 g,en faible quantité,0 g,en faible quantité,52 g,en quantité élevée,0.04 g,en faible quantité,,+6%,+6%,-12%,-100%,+5%,-3%,-8%,+9%,+9%,12,+36%,D,+36%,75.0%,7.5%,10.3%,5.1%,1.7%,0.4%,50,,,
1209,Gelée extra Goyave Rose - Royal,3262720555131,['Royal'],,['France'],[],,,[],,?,244,1021 kj(244 kcal),0,0,60,60,"0,4",,,D,,,,"['Aliments et boissons à base de végétaux', ""Aliments d'origine végétale"", 'Produits à tartiner', 'Petit-déjeuners', 'Pâtes à tartiner végétales', 'Produits à tartiner sucrés', 'Confitures et marmelades', 'Gelées de fruits', 'Gelées de goyave']",,,,0 g,en faible quantité,0 g,en faible quantité,60 g,en quantité élevée,,,,-0%,-1%,-100%,-100%,0%,+5%,+8%,,,,,,,75.0%,7.5%,10.3%,5.1%,1.7%,0.4%,50,,,
1210,Nectar Ananas Goyave - Leader Price,3262723001086,['Leader Price'],['Leader Price'],['France'],[],,,[],,?,46,192 kj(46 kcal),"0,5","0,5",11,11,"0,5","0,01","0,004",D,,,,"['Aliments et boissons à base de végétaux', 'Boissons', 'Boissons à base de végétaux', 'Boissons aux fruits', 'Jus et nectars', 'Nectars de fruits']",,,,0.5 g,en faible quantité,0.5 g,en faible quantité,11 g,en quantité élevée,0.01 g,en faible quantité,,-6%,-5%,+179%,+1606%,-4%,+3%,+58%,+4%,+4%,15,+10%,E,+10%,58.5%,3.8%,10.1%,20.0%,6.0%,1.7%,51,,,
1211,Ananas du Gros Morne,3262728815053,,,['France'],[],,,[],,?,181,757 kj(181 kcal),"0,5",0,45,42,"0,5","0,01","0,004",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1212,Côtes du Rhône - Les chais Beaucairois - 75cl,3262850002888,['Les chais Beaucairois'],,['France'],[],,,[],,?,?,,?,,?,,?,,,C,,75cl,,"['Boissons', 'Boissons alcoolisées', 'Vins', 'Vins français', 'Côtes du Rhône']",,['France'],,,,,,,,,,,,,,,,,,,,,,,,46.9%,6.6%,27.8%,12.7%,4.8%,1.3%,43,,,
1213,Rose fraise fruits & wine moncigale,3262850041245,,,['France'],[],,,[],,?,5,21 kj(5 kcal),2,"0,6",9,3,27,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1214,Fruits and wine blanc pomme - 1,3262850041993,['Fruits and wine'],,['France'],[],,,[],,?,?,,?,,?,,?,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1215,Rosé Pêche bio - Fruits and Wine - 75cl,3262850042105,"['Fruits and Wine', 'Fruits and Wine by Moncigale']",,['France'],[],,,[],,?,?,,?,,?,,?,,,D,,75 cl,"['Bouteille', 'Verre']","['Boissons', 'Boissons alcoolisées', 'Vins', 'Vins rosés']","['Bio', 'en:saveurs-de-l-annee-france', ""Saveurs de l'Année 2015""]",,,,,,,,,,,,,,,,,,,,,,,,,46.7%,3.7%,29.6%,13.4%,5.1%,1.4%,45,,,
1216,Rosé cassis - Moncigale - 75cl,3262850043249,['Moncigale'],,['France'],"['Vin rosé ', 'sulfites', ' eau', 'sucrer jus de cassis à base de concentré ', '2%', ' arôme cassis', 'aïòme natutel', 'conservateur : E202']","['E202 - Sorbate de potassium', '', 'Risque élevé de sur-exposition']",['Anhydride sulfureux et sulfites'],[],4,?,0,0 kj(0 kcal),0,0,0,0,0,0,0,,,75 cl,,['Boissons'],,,,0 g,en faible quantité,0 g,en faible quantité,0 g,en faible quantité,0 g,en faible quantité,,-100%,-100%,-100%,-100%,-100%,-100%,-100%,-100%,-100%,0,-100%,B,-100%,,,,,,,,,,
1217,Olives vertes facies aux poivrons LE BRIN D'OLIVIER,3262880104712,['Le brin d olivier'],,['France'],"['OLIVES ', 'origine Espagne', 'eau', 'farce au poivron 15%', 'sel', 'acidifiant E330', 'exhausteur de goût E621']","['E330 - Acide citrique', 'E621 - Glutamate monosodique', '', 'Risque élevé de sur-exposition']",,[],4,?,183,766 kj(183 kcal),"18,9","3,73","4,1",0,"1,1","2,1","0,84",B,,,,"['Aliments et boissons à base de végétaux', ""Aliments d'origine végétale"", 'Pickles', ""Produits de l'olivier"", ""Pickles d'origine végétale"", 'Olives', 'Olives vertes', 'Olives farcies', 'Olives vertes farcies', 'Olives vertes farcies au poivron']",['Point Vert'],,"['EMB 26220C', 'Nyons (Drôme, France)']",18.9 g,en quantité modérée,3.73 g,en quantité modérée,0 g,en faible quantité,2.1 g,en quantité élevée,,+29%,+28%,+36%,+62%,+117%,-100%,0%,-40%,-40%,10,-11%,C,-11%,33.7%,0.2%,40.3%,17.4%,6.7%,1.8%,95,,,
1218,Filets d'anchois à l'huile d'olive MAXIMAR,3262963312348,['Maximar'],,['France'],[],,,[],,?,201,841 kj(201 kcal),"10,1",1,2,"0,3",25,"13,5","5,4",B,,,,"['Produits de la mer', 'Poissons', 'Anchois', 'Filets de poissons', ""Filets d'anchois"", ""Filets d'anchois marinés"", ""Filets d'anchois marinés à l'huile végétale""]",,,,10.1 g,en quantité modérée,1 g,en faible quantité,0.3 g,en faible quantité,13.5 g,en quantité élevée,,-1%,-3%,-20%,-59%,+39%,+13%,+20%,+99%,+99%,12,-4%,D,-4%,57.5%,14.4%,6.7%,17.0%,3.4%,0.9%,81,,,
1219,Delice de yaourt poires - Alsace Lait - 500g (4x125g),3262970001136,['Alsace Lait'],,['France'],"['Lait* partiellement concentré', 'sucre 8,1 %', 'purée de poire 6 %', 'poire 4 %', 'amidon', 'arôme naturel', 'jus concentré de citron', 'épaississant : pectine', 'ferments lactiques', ' * Origine : France']",['E440 - Pectines'],['Lait'],[],4,396,94,396 kj(94 kcal),"2,8","1,9","14,1","13,2","2,9","0,14","0,056",C,Yaourt à la poire,500 g (4x125g),,"['Produits laitiers', 'Produits fermentés', 'Produits laitiers fermentés', 'Yaourts', 'Yaourts aux fruits', 'Yaourts à la poire']",,,,2.8 g,en faible quantité,1.9 g,en quantité modérée,13.2 g,en quantité élevée,0.14 g,en faible quantité,,-1%,-2%,-11%,-8%,+7%,+6%,-12%,+26%,+26%,3,+2%,C,+2%,79.1%,8.8%,4.4%,4.5%,2.5%,0.7%,69,,,
1220,Lait Frais Pasteurisé Demi-écrémé issu de vaches nourries sans OGM - Alsace lait - 1L,3262970040012,['Alsace lait'],,['France'],"[""Lait* frais pasteurisé demi-écrémé issu d'animaux nourris dans OGM <0"", '9%', ' * Origine : France']",,['Lait'],[],,193,46,193 kj(46 kcal),"1,5",1,"4,6","4,6","3,5","0,12","0,048",D,Lait Frais Pasteurisé Demi-écrémé,1 L,,"['Produits laitiers', 'Laits', 'Laits demi-écrémés', 'Laits frais', 'Laits pasteurisés']",,,,1.5 g,en faible quantité,1 g,en faible quantité,4.6 g,en faible quantité,0.12 g,en faible quantité,-2%,-19%,-16%,-37%,-31%,-3%,+4%,+7%,+21%,+21%,-1,-311%,A,-311%,78.7%,1.1%,11.0%,6.0%,3.2%,0.0%,54,"['67723', 'Hoerdt', 'France']",,
1221,Lait frais demi-écrémé pasteurisé issu de vaches nourries sans OGM - Alsace Lait - 1.5L,3262970100242,['Alsace Lait'],,['France'],"[""Lait* frais pasteurisé demi-écrémé issus d'animaux nourris sans OGM <0"", '9%', ' * Origine : France']",,['Lait'],[],,193,43,193 kj(43 kcal),"1,5",1,"4,6","4,6","3,5","0,12","0,048",D,Lait frais demi-écrémé pasteurisé,1.5 L,,"['Produits laitiers', 'Laits']",,,,1.5 g,en faible quantité,1 g,en faible quantité,4.6 g,en faible quantité,0.12 g,en faible quantité,-27%,-35%,-30%,-27%,-16%,-24%,-15%,-1%,-3%,-3%,-1,-274%,A,-274%,78.7%,1.1%,11.0%,6.0%,3.2%,0.0%,54,"['67723', 'Hoerdt', 'France']",,
