,name,bar_code,brand,markets,sales_countries,ingredients_list,ingredients_analysis,nutriment_energy-kj_tr,nutriment_energy-kcal_tr,nutriment_energy_tr,nutriment_fat_tr,nutriment_saturated-fat_tr,nutriment_carbohydrates_tr,nutriment_sugars_tr,nutriment_proteins_tr,nutriment_salt_tr,nutriment_sodium_tr,eco_score,generic_name,quantity,packaging,categories,additives,allergens,nova_score,fats_lipids_quantity,fats_lipids_comment,saturated_acids_quantity,saturated_acids_comment,sugar_quantity,sugar_comment,salt_quantity,salt_comment,nutriment_energy-kj_tr_diff,nutriment_energy-kcal_tr_diff,nutriment_energy_tr_diff,nutriment_fat_tr_diff,nutriment_saturated-fat_tr_diff,nutriment_carbohydrates_tr_diff,nutriment_sugars_tr_diff,nutriment_proteins_tr_diff,nutriment_salt_tr_diff,nutriment_sodium_tr_diff,nutriment_nutrition-score-fr_tr,nutriment_nutrition-score-fr_tr_diff,nutriment_nutriscore_tr,nutriment_nutriscore_tr_diff,Agriculture,Transformation,Conditionnement,Transport,Distribution,Consommation,Score_ACV,labels,ingredients_origins,manufacturing,traceability_code,palm_ingredients,link,producer_info,brand_owner
1173,Crème entière,5410488822578,,,"['Belgique', 'France']",[],[],?,140.4,587 kj(140 kcal),"12,8","9,2","5,2","5,2","0,84","0,04","0,016",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1174,Mousse au chocolat noir vegan - Casino - 2x 70g,3222477066229,['Casino'],['Casino'],['France'],"['Eau - chocolat noir 23% ', 'pâte de cacao - sucre - émulsifiant : lécithines de soja - arôme naturel de vanille', "" - sucre - poudre de cacao - peptides de pois - graisse de coprah - purée d'amandes émondées - fibre d'agrumes - émulsifiant : mono - et diglycérides d'acides gras - arôme naturel de vanille - stabilisant : gomme xanthane"", 'fabriqué dans un atelier utilisant du lait']","[""Pourrait contenir de l'huile de palme"", 'Végétalien', 'Végétarien']",1090,261,1090 kj(261 kcal),13,"7,9",25,23,"8,4","0,46","0,184",B,Mousse au chocolat noir végétale,2 x 70 g,,"['Desserts', 'Desserts végétaliens', 'Desserts au soja']","['E322i - Lécithine', ""E471 - Mono- et diglycérides d'acides gras alimentaires"", 'E415 - Gomme xanthane']","['Lait', 'Fruits à coque', 'Soja']",4,13 g,en quantité modérée,7.9 g,en quantité élevée,23 g,en quantité élevée,0.46 g,en quantité modérée,+190%,+197%,+191%,+522%,+1663%,+84%,+109%,+147%,+287%,+287%,12,+1564%,D,+1564%,24.3%,36.0%,14.5%,14.8%,8.1%,2.2%,96,"['Végétarien', 'Végétalien']",,,,,,,
1175,L'Élixir - chic des plantes - 25cl,3701086500954,['chic des plantes'],['TGV'],['France'],"[""infusion de plantes L'Elixir "", 'citron', 'combava', 'gingembre ', '0,47% ', ""feuilles d'oranger*"", 'basilic ', '0,4%', 'miel*', 'jus de citron', "" Produits issus de l'agriculture biologique""]",['Non végétalien'],?,8,33 kj(8 kcal),"0,1","0,1","2,2","2,1","0,1","0,1","0,04",,,25 cl,['bouteille en verre'],"['Aliments et boissons à base de végétaux', 'Boissons', 'Boissons à base de végétaux']",,,3,0.1 g,en faible quantité,0.1 g,en faible quantité,2.1 g,en faible quantité,0.1 g,en faible quantité,,-80%,-80%,-66%,+72%,-74%,-72%,-74%,+310%,+310%,2,-66%,C,-66%,,,,,,,,"['Bio', 'Bio européen', 'Agriculture UE/Non UE', 'FR-BIO-01', 'Fabriqué en France']",,['France'],,,http://www uma.paris,,
1176,Sauce crudités façon Thaï - Auchan,3596710467440,['Auchan'],['Auchan'],['France'],[],[],?,89,372 kj(89 kcal),"0,5","0,1",22,19,"0,5","0,9","0,36",D,,,,"['Epicerie', 'Sauces', 'Sauces crudités']",,,,0.5 g,en faible quantité,0.1 g,en faible quantité,19 g,en quantité élevée,0.9 g,en quantité modérée,,-69%,-69%,-98%,-96%,+265%,+397%,-42%,-58%,-58%,8,-42%,C,-42%,80.2%,9.6%,5.0%,3.2%,1.6%,0.4%,49,,,,,,,,
1177,Feuilleté chèvre sainte maure,3181580280680,,,['France'],[],[],?,?,,?,,?,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,['Sans conservateurs'],,,,,,,
1178,Sucre en poudre Bûchette - Auchan,3596710466771,['Auchan'],['Auchan'],"['Belgique', 'France']",[],[],?,400,1674 kj(400 kcal),0,0,100,100,0,0,0,B,,,,"['Édulcorants', 'Sucres', 'Sucres en poudre']",,,,0 g,en faible quantité,0 g,en faible quantité,100 g,en quantité élevée,0 g,en faible quantité,,+0%,-0%,-100%,-100%,+0%,+0%,-100%,-100%,-100%,14,-2%,D,-2%,65.2%,10.9%,13.4%,7.2%,3.3%,0.0%,94,"['Nutriscore', 'Nutriscore D']",,,,,,,
1179,Crème praliné - Les Petites Laiteries,3483130046440,['Les Petites Laiteries'],,['France'],[],[],?,?,,?,,?,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"['FR 44.087.001 CE', 'Machecoul (Loire-Atlantique, France)']",,,,
1180,Coca cola Cherry ZERO SUCRE,5000112639391,['Coca-Cola'],,"['France', 'Allemagne']",[],[],?,1,4 kj(1 kcal),"0,3",0,0,0,0,"0,2","0,08",,,,['Flasche'],"['Boissons', 'Boissons gazeuses', 'Boissons édulcorées', 'Sodas', 'Boissons light', 'Sodas au cola', 'Sodas light']",,,,0.3 g,en faible quantité,0 g,en faible quantité,0 g,en faible quantité,0.2 g,en quantité modérée,,0%,0%,+920%,-100%,-100%,-100%,-100%,+1127%,+1127%,1,-11%,B,-11%,,,,,,,,,,,,,,,
1181,Agavendicksaft Dunkel - enerBiO - 250ml,4305615571508,"['enerBiO', 'ener BiO']",['Denner'],"['France', 'Allemagne', 'Suisse']",['100 % Agavendicksaft*\r*aus kontrolliert biologischem Anbau'],"['Sans huile de palme', 'Végétalien', 'Végétarien']",1275,300,1275 kj(300 kcal),"< 0,5","< 0,1",75,75,"< 0,5","0,03","0,012",,,250 ml,['Bouteille'],"['Édulcorants', 'Sirops', 'Sirops simples', ""Sirops d'agave""]",,,1,0.5 g,en faible quantité,0.1 g,en faible quantité,75 g,en quantité élevée,0.03 g,en faible quantité,-2%,-3%,-2%,+114%,+485%,-2%,+3%,+568%,-39%,-39%,13,+1%,D,+1%,,,,,,,,"['Bio', 'Bio européen', 'Végétarien', 'Végétalien', 'DE-ÖKO-001', 'Vegan-bio']",,,,,,,
1182,Foie gras de canard entier du Sud-Ouest au sauternes IGP - Monoprix Gourmet - 160g,3350033458024,"['Monoprix Gourmet', 'Monoprix']",['Monoprix'],['France'],"['foie gras de canard du Sud-Ouest - sel - Sauternes ', '0,97%', ' - poivre blanc - sucre']","['Sans huile de palme', 'Non végétalien', 'Non végétarien']",2240,544,2240 kj(544 kcal),56,24,"2,2","0,9","7,5","1,25","0,5",B,,160 g,,"['Poissons et viandes et oeufs', 'Foies gras', 'Foies gras de canard', 'Foies gras entiers']",,,3,56 g,en quantité élevée,24 g,en quantité élevée,0.9 g,en faible quantité,1.25 g,en quantité modérée,+2%,+3%,+1%,+3%,+4%,-9%,-33%,-1%,+4%,+4%,21,+1%,E,+1%,70.7%,8.0%,8.5%,7.3%,4.3%,1.2%,89,"['Sans conservateurs', 'IGP']",,,"['FR 40.281.001 CE', 'Saint-Pierre-du-Mont (Landes, France)', 'EMB 40281A', 'Saint-Pierre-du-Mont (Landes, France)']",,,,
1183,Kinder bueno mini mix - Ferrero - 245g,8000500312452,"['Ferrero', 'Kinder']",,['France'],"['Chocolat au lait 31 % ', 'sucre', 'beurre de cacao', 'pâte de cacao', 'lait écrémé en poudre', 'beurre concentré', 'émulsifiants: lécithines [soja]', 'vanilline', 'sucre', 'huile de palme', 'farine de froment', 'noisettes 10,8%', 'lait écrémé en poudre', 'lait en poudre', 'chocolat noir ', 'sucre', 'pâte de cacao', 'beurre de cacao', 'émulsifiants: lécithines [soja]', 'vanilline', 'cacao maigre', 'émulsifiants: lécithines [soja]', 'poudres à lever ', 'carbonate acide de sodium', ""carbonate acide d'ammonium"", 'sel', 'vanilline']","['Huile de palme', 'Non végétalien']",2384,?,2384 kj(570 kcal),"37,3","17,3","49,5","41,2","8,6","0,272","0,109",,,245 g,,,"['E322i - Lécithine', 'E500ii - Carbonate acide de sodium', ""E503ii - Carbonate acide d'ammonium""]","['Gluten', 'Lait', 'Fruits à coque', 'Soja']",4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,['Huile de palme'],,,
1184,Herta - 120g,7613036662604,['Herta'],,['France'],[],[],?,?,,?,,?,,?,,,,,120 g,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"['en:gluten-free', 'Fabriqué en France']",,,,,,,
1185,savon d'alep - NAJEL - 185g,3760061222236,['NAJEL'],,['France'],"[""WAlhRESAVOWNIER Cvetatle omenre ne Dentate3otpes spee 00 pour e rtles nenun s nius fapites e Re ess the Alepr SDA IS S ECcaly made to e De most kaple of skms 3En wahes orzenten Wohltast diese Aleppo-Seie sIECel etwicket um besonbers en Zo feparerem atoncenteto de autentices benetouosST bon 8T2heou DIs 'WAT BDon etialmente tormulstio a7 8/3 DARSa 2 R de Alepo estä especia frägiles ven concenitato i beneizhe"", ' 204ST 0ne Aleppo è concepito speciaimenE 2N TE 2loiTa cos ba 2 233 Dials ANGREDIESNTS SODIM CUVATE SODIONGuaursATE DUR ATERL GLYCERIN SODIUM CHLCRDESTON HYRODE Made in AleppolSyris']",[],?,?,,?,,?,,?,,,,,185g,['Film en plastique'],"['Non alimentaire', 'Open Beauty Facts']",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1186,Rhum Spieced Gold,5000281053028,,,['France'],[],[],?,?,,?,,?,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1187,Les desserts de Maître Papilles,3701002403369,,,['France'],[],[],?,77,322 kj(77 kcal),"0,5","0,1",17,17,"0,9",0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"['EMB 47326B', 'Virazeil (Lot-et-Garonne, France)']",,,,
1188,Zumo de Piña Ecológico - Don Simon - 1l,8410261613086,['Don Simon'],"['Carrefour', 'Abasthosur']","['France', 'Espagne']",['Zumo de piña elaborado con piñas cultivadas de acuerdo con las normas de producción ecológica'],[],196,46,196 kj(46 kcal),0,0,11,11,"0,2","0,01","0,004",C,,1 l,"['Brick', 'Cartón', 'Plástico']","['Aliments et boissons à base de végétaux', 'Boissons', 'Boissons à base de végétaux', 'Boissons aux fruits', 'Jus et nectars', 'Jus de fruits', ""Jus d'ananas"", 'Jus de fruits pur jus', ""Jus d'ananas pur jus""]",,,,0 g,en faible quantité,0 g,en faible quantité,11 g,en quantité élevée,0.01 g,en faible quantité,-7%,-8%,-5%,-100%,-100%,-6%,-4%,-42%,+56%,+56%,5,-4%,C,-4%,58.5%,3.8%,10.1%,20.0%,6.0%,1.7%,51,"['Bio', 'Bio européen', 'Agriculture non UE', 'Produit compensé carbone', 'Empreinte carbone', 'es:100\xa0% Reciclable', 'Empreinte carbone', 'Empreinte carbone', 'Empreinte carbone', 'Empreinte carbone', 'Empreinte carbone']",,"['Gádor (Almería)', 'España']",,,,,
1189,Maoam,3103220044780,,,['France'],[],[],?,394,1648 kj(394 kcal),"6,4","3,2",84,60,1,"0,02","0,008",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1190,Pancake de légumineuses aux pois casses - La Vie Claire - 200g,3266191053394,['La Vie Claire'],['La Vie Claire'],['France'],"['Eau pois cassés précuits* 18,3%', ""son d'avoine*"", 'farine de riz complet*', 'lait écrémé poudre', 'huile de tournesol désodorisée*', 'flocons de pomme de terre*', ""blanc d'ceuf en poudre"", 'fines herbes* ', 'basilic*', 'persil*', ' 2,6%', 'ail*', 'sel de mer', 'poivre* poudreà lever ', 'carbonates de sodium et tartrates de potassium', ""amidon de blé* '"", ""Ingrédients agricoles issus de l'Agriculture Biologique"", ' Peut contenir des traces de moutarde', 'céleri', 'sésame', 'fruits à coque et soja', ' en']",[],?,185,774 kj(185 kcal),"6,1","0,7",24,"2,8","7,1","0,83","0,332",,,200 g,,['Pancakes'],['E336 - Tartrates de potassium'],,3,6.1 g,en quantité modérée,0.7 g,en faible quantité,2.8 g,en faible quantité,0.83 g,en quantité modérée,,-39%,-39%,-34%,-65%,-42%,-83%,-23%,-18%,-18%,-1,-109%,A,-109%,,,,,,,,"['Bio', 'Bio européen', 'AB Agriculture Biologique']",,,,,,,
1191,Häagen-Dazs Chocolat Salted Caramel,3415587308710,['Häagen-Dazs'],,"['France', 'Espagne']",[],[],?,310,1297 kj(310 kcal),"18,7","11,8","30,6","29,5",4,"0,5","0,2",B,,,,"['Desserts', 'Surgelés', 'Desserts glacés', 'Glaces et sorbets', 'Glaces']",,,,18.7 g,en quantité modérée,11.8 g,en quantité élevée,29.5 g,en quantité élevée,0.5 g,en quantité modérée,,+33%,+33%,+60%,+55%,+10%,+26%,+27%,+233%,+233%,20,+49%,E,+49%,60.7%,19.6%,5.6%,5.1%,5.7%,3.3%,80,,,,"['FR 62.817.030 CE', 'Tilloy-lès-Mofflaines (Pas-de-Calais, France)']",,,,
1192,Aqua Carpatica: Still Water - 1.5LTR,5942326400025,,,"['France', 'Roumanie']",[],[],?,?,,?,,?,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1193,Coco cuisine - Casino,3222477207202,['Casino'],['Casino'],['France'],[],[],?,89,372 kj(89 kcal),"8,8","8,2","1,5",1,"0,9","0,08","0,032",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1194,Lait,5410812008210,,,['France'],[],[],?,47,197 kj(47 kcal),"1,55","0,97",5,"4,8","3,5","0,13","0,052",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1195,Saumur La Cave d'Augustin Florent,3245412982491,,,['France'],[],[],?,?,,?,,?,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1196,Fritté mistral dit pesce - Picard,3270160890934,['Picard'],['Picard'],['France'],[],[],?,233,975 kj(233 kcal),13,"1,2",19,1,"9,3",2,"0,8",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1197,Smoothie avocat banane citron vert - Monoprix - 135grammes,3350033638464,['Monoprix'],['Monoprix'],['France'],"[""Puree de pomme 32%-avocat 26%-jus d'orange à base de concentré 18%-flocons d'avoine 6%-purée de banane 4,5%-graine de lin jaune 2,5%-noisettes grillées hachées 2,5% raisins secs - juss de citron vert à base de concentré 1,49%-uile de calza-antioxydant acide ascorbique - sel-corecteur dacidite acide citrique"", "" G K Fabrique dans un steller qui utlise d'autres fruits à coque"", 'graines de sésame', 'lait euts et soja COO Les informations en gras sont destinéeL personnes intolérantes du alleraiques']",[],?,137,573 kj(137 kcal),5,1,16,13,2,"0,08","0,032",,,135 grammes,['boîte'],['Desserts'],,['Graines de sésame'],,5 g,en quantité modérée,1 g,en faible quantité,13 g,en quantité élevée,0.08 g,en faible quantité,,-23%,-22%,-26%,-72%,-32%,-29%,-37%,-40%,-40%,2,-70%,B,-70%,,,,,,,,,,,,,,,
1198,volvic infusion,3057640507823,['Volvic'],,['France'],[],[],?,10,42 kj(10 kcal),"0,5",0,"2,3","2,3","0,5","0,01","0,004",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"['Bio', 'Bio européen', 'Agriculture UE/Non UE', 'FR-BIO-01']",,,,,,,
1199,Confiture de fraises - Monoprix - 750g,3350033595088,['Monoprix'],['Monoprix'],['France'],"['Sucre - fraises - gélifiant: pectines - acidifiant : acide citrique', ' Preparée avec 50 g de fruits pour 100 g de produit fini']","['Sans huile de palme', 'Végétalien', 'Végétarien']",?,246,1029 kj(246 kcal),0,0,61,59,"0,5",0,0,D,,750 g,,"['Aliments et boissons à base de végétaux', ""Aliments d'origine végétale"", 'Aliments à base de fruits et de légumes', 'Produits à tartiner', 'Petit-déjeuners', 'Fruits et produits dérivés', 'Pâtes à tartiner végétales', 'Produits à tartiner sucrés', 'Confitures et marmelades', 'Confitures', 'Confitures de fruits rouges', 'Confitures de fraises']","['E440 - Pectines', 'E330 - Acide citrique']",,4,0 g,en faible quantité,0 g,en faible quantité,59 g,en quantité élevée,0 g,en faible quantité,,+13%,+13%,-100%,-100%,+15%,+16%,+13%,-100%,-100%,12,+37%,D,+37%,75.0%,7.5%,10.3%,5.1%,1.7%,0.4%,50,,,,"['EMB 19123', 'Malemort-sur-Corrèze (Corrèze, France)']",,,,
1200,Brassé végétal au lait d'amande poire-Good Gout-90g,3760269310766,['Good Gout'],,['France'],"['61% poires Williams bio', ""35% lait d'amande bio "", 'amandes bio', 'eau', ""2% farine d'amande bio"", '2% farine de riz bio', 'jus de citron bio concentré', ""\r Peut contenir des traces d'autres fruits à coques""]",[],?,53,222 kj(53 kcal),1,"0,1","8,8","6,6","1,7",0,0,,Spécialité végétale brassée pour bébé à base d'avoine,90g,"['Plastique', 'Gourde', 'température ambiante']","['Aliments pour bébé', 'Dès 6 mois', 'Aliments végétaux', 'Brassés végétaux']",,,1,,,,,,,,,,-45%,-39%,-37%,-84%,-35%,-12%,-21%,-100%,-100%,,,,,,,,,,,,"['Bio', 'Bio européen', 'AB Agriculture Biologique', 'en:es-eco-018']",,['France'],,,https://www.goodgout.fr/bebe/recette-bebe-6-mois/brasse-vegetal-amande-poire-145.html,,
1201,Sauce soja - ez cook - 150ML,3527570062414,['ez cook'],,['France'],[],[],?,20,84 kj(20 kcal),0,0,"2,1","0,5","2,8","6,7","2,68",B,,150 ML,,"['Epicerie', 'Condiments', 'Sauces', 'Sauces au soja']",,,,0 g,en faible quantité,0 g,en faible quantité,0.5 g,en faible quantité,6.7 g,en quantité élevée,,-82%,-82%,-100%,-100%,-88%,-96%,-56%,-44%,-44%,9,-20%,C,-20%,21.5%,31.6%,20.1%,15.9%,8.6%,2.3%,97,,['Chine'],['Chine'],,,,,
1202,Fisherman's friend framboise,96183502,"[""Fisherman's Friend"", 'Lofthouse']",,['France'],[],[],?,249,1042 kj(249 kcal),"1,2","1,1",98,"0,5","0,5","0,01","0,004",,,,,"['Snacks', 'Snacks sucrés', 'Confiseries']",,,,1.2 g,en faible quantité,1.1 g,en faible quantité,0.5 g,en faible quantité,0.01 g,en faible quantité,,-41%,-41%,-92%,-83%,+47%,-99%,-88%,-93%,-93%,4,-78%,C,-78%,,,,,,,,,,,,,,,
1203,Cubanisto,5410228253488,,,['France'],[],[],?,?,,?,,?,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1204,Crevettes bio -  - 300g,3700156955502,,,['France'],"[""crevettes Penaeus monodon issues de l'aquaculture biologique"", 'sel', 'conservateur: disulfite de sodium', 'acidifiant: acide citrique']",[],?,101,423 kj(101 kcal),"0,8","0,2","0,6","0,5",23,"1,7","0,68",D,,300 g,['Plastic'],"['Produits de la mer', 'Crustacés', 'Crevettes', 'Crevettes cuites']","['E223 - Disulfite de sodium', '', 'Risque élevé de sur-exposition', 'E330 - Acide citrique']","['Crustacés', 'Anhydride sulfureux et sulfites']",3,0.8 g,en faible quantité,0.2 g,en faible quantité,0.5 g,en faible quantité,1.7 g,en quantité élevée,,-6%,-5%,-47%,-56%,+28%,+100%,+20%,-6%,-6%,3,-23%,C,-23%,78.1%,0.0%,4.9%,11.3%,2.5%,3.2%,38,"['Bio', 'Bio européen', 'FR-BIO-10', 'Sans colorants', 'AB Agriculture Biologique']",,,"['FR 62.474.100 CE', 'Isques (Pas-de-Calais, France)']",,,,
1205,Sugarel - Krüger,4052700623658,['Krüger'],,['France'],[],[],?,31,130 kj(31 kcal),0,0,"1,4","1,4","0,1","34,14","13,656",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1206,Herman lay's sea salt,3168930158592,"[""Lay's""]",,['France'],[],[],?,473,1979 kj(473 kcal),"21,8","1,8","59,8","0,5","6,8","1,2","0,48",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1207,Denner Instant Cafe,7610029111910,['Denner'],,"['France', 'Suisse']",[],[],?,?,,?,,?,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1208,BOS,6009880817986,,,['France'],[],[],?,20,84 kj(20 kcal),0,0,5,"4,7","0,5","0,01","0,004",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,['Bio'],,,,,,,
1209,Tagliatelles aux œufs frais - Lustucru,3240931544144,['Lustucru'],,['France'],[],[],?,267,1117 kj(267 kcal),"1,9","0,6",51,1,10,"0,8","0,32",,,,,"['Aliments et boissons à base de végétaux', ""Aliments d'origine végétale"", 'Céréales et pommes de terre', 'Céréales et dérivés', 'Nouilles', 'Nouilles aux oeufs', 'Tagliatelles aux œufs']",,,,1.9 g,en faible quantité,0.6 g,en faible quantité,1 g,en faible quantité,0.8 g,en quantité modérée,,-12%,-11%,-27%,-13%,-10%,-44%,-10%,+388%,+388%,1,,B,,,,,,,,,,,,,,,,
1210,Chocolate Easter squad - Favorina - 120g,20670450,['Favorina'],,['France'],[],[],?,?,,?,,?,,?,,,,,120 g,,"['Snacks', 'Snacks sucrés', 'Cacao et dérivés', 'Chocolats', 'Assortiments de chocolats']",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,['Fabriqué en Belgique'],,,,,,,
1211,Riz au lait - Casino,3222477066564,['Casino'],['Casino'],"['France', 'Monaco']",[],[],?,537,2247 kj(537 kcal),"2,9","2,1",21,11,"4,3","0,23","0,092",B,,,,"['Desserts', 'Puddings', 'Riz au lait']",,,,2.9 g,en faible quantité,2.1 g,en quantité modérée,11 g,en quantité modérée,0.23 g,en faible quantité,,+270%,+275%,-23%,-8%,-7%,-19%,+26%,+78%,+78%,11,+173%,D,+173%,63.9%,15.4%,7.4%,8.1%,4.1%,1.1%,87,,,,,,,,
1212,Magret de canard du sud-ouest fumé - Delpeyrat,3067163641065,['Delpeyrat'],,['France'],[],[],?,349,1460 kj(349 kcal),30,11,"0,7","0,6",20,"3,7","1,48",E,,,['Plastique'],"['Viandes', 'Plats préparés', 'Produits à la viande', 'Plats préparés à la viande', 'Volailles', 'Plats à la volaille', 'Plats au canard', 'Canards', 'Magrets de canard', 'Magrets de canard fumés', 'Magrets de canard du sud-ouest']",,,,30 g,en quantité élevée,11 g,en quantité élevée,0.6 g,en faible quantité,3.7 g,en quantité élevée,,-1%,-1%,+1%,+6%,-40%,-18%,+2%,+23%,+23%,24,+3%,E,+3%,78.4%,9.2%,2.0%,2.1%,1.0%,7.2%,27,,,,,,,,
1213,Crème fraiche au lait de brebis - Le Petit Basque,3280249303002,['Le Petit Basque'],,['France'],"['Crème pasteurisée de brebis ', 'origine:France', ' - ferments lactiques ', 'dont lait']",['Non végétalien'],?,295,1234 kj(295 kcal),30,"20,5","2,4","2,4","3,9","0,1","0,04",B,,,,"['Produits laitiers', 'Produits fermentés', 'Crèmes', 'Produits laitiers fermentés', 'Crèmes épaisses', 'Crèmes fraîches']",,['Lait'],3,30 g,en quantité élevée,20.5 g,en quantité élevée,2.4 g,en faible quantité,0.1 g,en faible quantité,,+1%,+3%,+1%,+3%,-27%,-16%,+65%,+18%,+18%,13,0%,D,0%,68.4%,19.8%,4.5%,4.0%,2.6%,0.7%,70,['Point Vert'],,,"['FR 33.448.002 CE', ""Saint-Médard-d'Eyrans (Gironde, France)"", 'EMB 33448B', ""Saint-Médard-d'Eyrans (Gironde, France)""]",,,,
1214,Guacamole offre découverte - Blini,3292070009350,['Blini'],,['France'],"[""avocat 90% - poivron rouge 3% - oignon - sel - coriandre - piment Jalapeno rouge-sucre jus de citron vert concentré - cumin en poudre-piment fort - extrait d'épices - épaississant : E415 - conservateur : E202 - antioxydant : E300 - correcteur d'acidité : E330"", ' Traces éventuelles de : Céréales contenant du gluten', 'crustacés', 'œufs', 'poissons', 'soja', 'lait', 'céleri', 'moutarde', 'graines de sésame et mollusques']",[],?,155,649 kj(155 kcal),"14,6","3,7","1,4","0,7","1,6","1,13","0,452",C,,,,"['Epicerie', 'Sauces', 'Guacamoles']","['E415 - Gomme xanthane', 'E202 - Sorbate de potassium', '', 'Risque élevé de sur-exposition', 'E300 - Acide ascorbique', 'E330 - Acide citrique']",,4,14.6 g,en quantité modérée,3.7 g,en quantité modérée,0.7 g,en faible quantité,1.13 g,en quantité modérée,,-4%,-3%,+19%,+43%,-77%,-66%,-8%,+3%,+3%,-1,-120%,A,-120%,75.9%,9.1%,4.3%,8.3%,1.9%,0.5%,56,,,,"['FR 14.712.042 CE', 'Troarn (Calvados, France)']",,,,
1215,Snacketti Dancer Cream - Denner,7610095110206,['Denner'],,"['France', 'Suisse']",[],[],?,471,1971 kj(471 kcal),20,"1,5",0,0,"4,5","3,4","1,36",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1216,Tartines craquantes sarrasin et riz - Franprix - 100g,3263851862112,['Franprix'],['Franprix'],['France'],[],[],?,358,1498 kj(358 kcal),"2,4","0,1","68,8","0,8","12,3","0,51","0,204",B,,100 g,,"['Aliments et boissons à base de végétaux', ""Aliments d'origine végétale"", 'Céréales et pommes de terre', 'Pains', 'Tartines craquantes']",,,,2.4 g,en faible quantité,0.1 g,en faible quantité,0.8 g,en faible quantité,0.51 g,en quantité modérée,,-6%,-6%,-47%,-90%,-3%,-86%,+24%,-42%,-42%,1,-67%,B,-67%,65.1%,19.7%,8.5%,5.9%,0.7%,0.0%,90,"['en:gluten-free', 'Sans sucre ajouté']",,,,,,,
1217,Noix de cajou - Leader Price,3263853163514,['Leader Price'],['Leader Price'],['France'],[],[],?,617,2582 kj(617 kcal),49,"9,4","20,1","5,3","19,9","0,8","0,32",D,,,,"['Aliments et boissons à base de végétaux', ""Aliments d'origine végétale"", 'Fruits à coques et dérivés', 'Fruits à coques', 'Noix de cajou']",,,,49 g,en quantité élevée,9.4 g,en quantité élevée,5.3 g,en quantité modérée,0.8 g,en quantité modérée,,+3%,+3%,+6%,+11%,-21%,-18%,+6%,+28%,+28%,10,+32%,C,+32%,85.9%,1.5%,2.7%,6.9%,1.9%,1.2%,21,"['Bio', 'Bio européen', 'AB Agriculture Biologique']",,,,,,,
1218,Chorizo,20238445,,,['France'],[],[],?,390,1632 kj(390 kcal),30,12,7,2,23,"3,6","1,44",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1219,Chipolatas bio - Socopa,3039050633040,['Socopa'],,['France'],[],[],?,239,1000 kj(239 kcal),19,"7,3","0,9","0,5",16,"1,7","0,68",D,,,,"['Viandes', 'Charcuteries', 'Saucisses', 'Saucisses françaises', 'Chipolatas']",,,,19 g,en quantité modérée,7.3 g,en quantité élevée,0.5 g,en faible quantité,1.7 g,en quantité élevée,,0%,0%,+1%,+1%,-23%,-21%,+4%,-6%,-6%,16,-4%,D,-4%,86.2%,9.9%,1.8%,1.2%,0.7%,0.2%,24,"['Bio', 'Bio européen', 'AB Agriculture Biologique', 'Agriculture UE/Non UE', 'FR-BIO-10', 'Sans additifs']",,,,,,,
1220,Falafels,3701035101409,,,['France'],[],[],?,117,490 kj(117 kcal),"5,5","0,5",13,"4,7","2,9","0,45","0,18",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
