,name,bar_code,eco_score,brand,categories,traceability_code,markets,sales_countries,ingredients_list,ingredients_analysis,fats_lipids_quantity,fats_lipids_comment,saturated_acids_quantity,saturated_acids_comment,sugar_quantity,sugar_comment,salt_quantity,salt_comment,nutriment_energy-kj_tr,nutriment_energy-kj_tr_diff,nutriment_energy-kcal_tr,nutriment_energy-kcal_tr_diff,nutriment_energy_tr,nutriment_energy_tr_diff,nutriment_fat_tr,nutriment_fat_tr_diff,nutriment_saturated-fat_tr,nutriment_saturated-fat_tr_diff,nutriment_carbohydrates_tr,nutriment_carbohydrates_tr_diff,nutriment_sugars_tr,nutriment_sugars_tr_diff,nutriment_proteins_tr,nutriment_proteins_tr_diff,nutriment_salt_tr,nutriment_salt_tr_diff,nutriment_sodium_tr,nutriment_sodium_tr_diff,nutriment_nutrition-score-fr_tr,nutriment_nutrition-score-fr_tr_diff,nutriment_nutriscore_tr,nutriment_nutriscore_tr_diff,Agriculture,Transformation,Conditionnement,Transport,Distribution,Consommation,Score_ACV,quantity,labels,additives,allergens,nova_score,brand_owner,generic_name,packaging,palm_ingredients,manufacturing,link,ingredients_origins
1076,Délice au riesling et champignons,3301091005293,,,,,,['France'],[],[],,,,,,,,,?,,303,,1268 kj(303 kcal),,18,,"9,7",,24,,"1,5",,12,,"1,2",,"0,48",,,,,,,,,,,,,,,,,,,,,,,,
1077,Chateau la maragne,3438910871408,C,,"['Boissons', 'Boissons alcoolisées', 'Vins', 'Vins rouges', 'Vins français']",,,['France'],[],[],,,,,,,,,?,,?,,,,?,,,,?,,,,?,,,,,,,,,,46.9%,6.6%,27.8%,12.7%,4.8%,1.3%,43,,,,,,,,,,,,['France']
1078,Bonbons samia pasteques,3276650627332,,['Samia'],,,,['France'],[],[],,,,,,,,,?,,341,,1427 kj(341 kcal),,"0,2",,"0,2",,80,,55,,"4,4",,"0,13",,"0,052",,,,,,,,,,,,,,['Halal'],,,,,,,,,,
1079,Filets de bacon fumé - 0.085kg,3700118306748,,,,"['FR 12.063.026 CE', 'Cavalerie (Aveyron, France)']",,['France'],[],[],,,,,,,,,?,,121,,506 kj(121 kcal),,"3,4",,"1,36",,"0,48",,"0,48",,22,,"2,9",,"1,16",,,,,,,,,,,,,0.085 kg,,,,,,,,,,,
1080,Maître Coq,0215243025127,,['Maître Coq'],,,,['France'],[],[],,,,,,,,,?,,?,,,,?,,,,?,,,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1081,Grain d'amour vin de france,3586610002230,,,"['Boissons', 'Boissons alcoolisées', 'Vins']",,,['France'],[],[],,,,,,,,,?,,?,,,,?,,,,?,,,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1082,Bolino Italie - Maggi,7613036194860,,['Maggi'],,,,['France'],[],[],,,,,,,,,?,,391,,1636 kj(391 kcal),,"9,1",,"4,5",,62,,10,,13,,"3,9",,"1,56",,,,,,,,,,,,,,,,,,,,,,,,
1083,Rillettes de lapin - Comtesse du Barry,3660806020779,,['Comtesse du Barry'],"['Viandes', 'Produits à tartiner', 'Charcuteries', 'Produits à tartiner salés', 'Rillettes', 'Rillettes de viande', 'Rillettes de viande blanche', 'Rillettes de lapin']",,,['France'],[],[],,,,,,,,,?,,?,,,,?,,,,?,,,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1084,Picon,5010103914567,,,,,,['France'],[],[],,,,,,,,,?,,?,,,,?,,,,?,,,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1085,Thon entier au naturel - Petit navire,7363337463935,D,['Petit navire'],"['Conserves', 'Produits de la mer', 'Poissons', 'Poissons en conserve', 'Thons', 'Thons en conserve']",,,['France'],"['Thon', 'eau', 'sel']","['Sans huile de palme', 'Non végétalien', 'Non végétarien']",1 g,en faible quantité,0.5 g,en faible quantité,0 g,en faible quantité,1 g,en quantité modérée,?,,109,-45%,456 kj(109 kcal),-44%,1,-91%,"0,5",-72%,0,-100%,0,-100%,25,+11%,1,-4%,"0,4",-4%,0,-100%,B,-100%,86.9%,0.0%,2.5%,9.0%,1.2%,0.3%,41,,,,['Poisson'],3,,,['Boite de conserve'],,,,
1086,Pâte à pizza,0202692012143,B,,['Pâtes à pizza'],,,['France'],[],[],,,,,,,,,?,,?,,,,?,,,,?,,,,?,,,,,,,,,,36.8%,19.3%,11.5%,8.6%,5.0%,18.8%,92,,,,,,,,,,,,
1087,Cup Noodle,4902105242988,,,,,,['France'],[],[],,,,,,,,,?,,?,,,,?,,,,?,,,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1088,A cappellina,3760211460068,,,,,,['France'],[],[],,,,,,,,,?,,823,,3443 kj(823 kcal),,"91,5",,"12,6",,0,,0,,0,,"0,002",,"0,001",,,,,,,,,,,,,,,,,,,,,,,,
1089,Panier poulet champignon,3512030014898,,,,,,['France'],[],[],,,,,,,,,?,,245,,1025 kj(245 kcal),,"13,5",,"8,4",,"23,3",,"2,5",,"6,9",,"0,89",,"0,356",,,,,,,,,,,,,,,,,,,,,,,,
1090,Véritable Merguez x6,2654212025320,,,,"['FR 56.094.013 CE', 'Kervignac (Morbihan, France)']",,['France'],[],[],,,,,,,,,?,,247,,1033 kj(247 kcal),,21,,10,,"1,4",,"0,8",,13,,2,,"0,8",,,,,,,,,,,,,,,,,,,,,,,,
1091,Miel cremeux de champagne - Miel Besacier,3110770003136,B,['Miel Besacier'],"['Produits à tartiner', 'Petit-déjeuners', 'Produits de la ruche', ""Produits d'élevages"", 'Produits à tartiner sucrés', 'Édulcorants', 'Miels', 'Miels crémeux']",,,['France'],[],[],,,,,,,,,?,,?,,,,?,,,,?,,,,?,,,,,,,,,,87.9%,0.0%,7.7%,3.1%,1.3%,0.0%,82,,,,,,,,,,,,['France']
1092,Pesto alla genovese,8033945804084,C,,"['Epicerie', 'Sauces', 'Sauces Pesto', 'Pestos au basilic']",,,['France'],[],[],52 g,en quantité élevée,8.4 g,en quantité élevée,3.2 g,en faible quantité,3.2 g,en quantité élevée,?,,543,+21%,2272 kj(543 kcal),+21%,52,+18%,"8,4",+29%,11,+86%,"3,2",+40%,"6,8",+43%,"3,2",+30%,"1,28",+30%,24,+23%,E,+23%,77.0%,10.9%,4.6%,4.2%,2.0%,1.4%,56,,,,,,,,,,,,
1093,Ananas deshydrate en cube,2600126024348,,,,,,['France'],[],[],,,,,,,,,?,,338,,1414 kj(338 kcal),,0,,0,,83,,75,,0,,"0,52",,"0,208",,,,,,,,,,,,,,,,,,,,,,,,
1094,Amandes grillés - Walima,3760197943173,,['Walima'],,,,['France'],[],[],,,,,,,,,?,,627,,2623 kj(627 kcal),,53,,"4,4",,"15,8",,"4,1",,"25,7",,"0,72",,"0,288",,,,,,,,,,,,,,,,,,,,,,,,
1095,Madhu - capsule de miel,5407003033212,,,,,,['France'],[],[],,,,,,,,,?,,307,,1284 kj(307 kcal),,"0,1",,0,,"71,8",,69,,"5,4",,"0,09",,"0,036",,,,,,,,,,,,,,,,,,,,,,,,
1096,Véritable andouille de vire,2252662057924,,,,"['FR 14.762.023 CE', 'Vire (Calvados, France)']",,['France'],[],[],,,,,,,,,?,,230,,962 kj(230 kcal),,14,,"7,7",,"0,5",,"0,5",,26,,"2,3",,"0,92",,,,,,,,,,,,,,,,,,,,,,,,
1097,Hamburger,0206712006235,,,,,,['France'],[],[],,,,,,,,,?,,?,,,,?,,,,?,,,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1098,Huile désodorisée raffinée,4820078572102,,,,,,['France'],[],[],,,,,,,,,?,,899,,3761 kj(899 kcal),,"99,9",,10,,0,,0,,0,,0,,0,,,,,,,,,,,,,,,,,,,,,,,,
1099,Cantuccini Toscani IGP alle mandorle -  - 200g,8033891910198,C,,"['Snacks', 'Snacks sucrés', 'Biscuits et gâteaux', 'Biscuits', 'Biscuits secs', 'Cantucci', 'it:Cantucci Toscani']",,,['France'],"['Wheat flour soft type 00', ' Sugar', ' Almonds ', '21%', ' Eggs', ' Egg yolk', ' Butter', ' wildflower honey', ' Leavening agent: disodium diphosphate', 'sodium hydrogen carbonate', 'corn starch', ' Salt', ' May contain traces of nuts']",['Non végétalien'],12.7 g,en quantité modérée,2.4 g,en quantité modérée,31 g,en quantité élevée,0.28 g,en faible quantité,?,,395,-11%,1653 kj(395 kcal),-11%,"12,7",-20%,"2,4",-25%,"62,1",-1%,31,+4%,"11,5",+5%,"0,28",-27%,"0,112",-27%,13,-4%,D,-4%,80.3%,11.4%,3.7%,2.4%,2.2%,0.0%,58,200 g,['IGP'],"['E450i - Pyrophosphate de sodium acide', 'E500ii - Carbonate acide de sodium']","['Œufs', 'Lait', 'Fruits à coque']",4,,,,,,,
1100,Tea Green MOROCCAN,2021820799996,B,,"['Aliments et boissons à base de végétaux', 'Boissons', 'Boissons chaudes', 'Boissons à base de végétaux', 'Thés', 'Thés verts']",,,['France'],[],[],,,,,,,,,?,,?,,,,?,,,,?,,,,?,,,,,,,,,,66.6%,0.0%,1.4%,1.6%,0.3%,30.1%,100,,,,,,,,,,,,
1101,Le Chartreux,2691663029910,,,,,,['France'],[],[],,,,,,,,,?,,366,,1531 kj(366 kcal),,30,,23,,"1,1",,"0,4",,24,,1,,"0,4",,,,,,,,,,,,,,,,,,,,,,,,
1102,Aloe,0799439187672,,,,,,['France'],[],[],,,,,,,,,?,,32,,134 kj(32 kcal),,0,,0,,8,,7,,0,,"0,3",,"0,12",,,,,,,,,,,,,,,,,,,,,,,,
1103,Comté,2671325029267,D,,"['Produits laitiers', 'Produits fermentés', 'Produits laitiers fermentés', 'Fromages', 'Fromages à pâte pressée cuite', 'Fromages de France', 'Comté', 'en:aoc-cheeses', 'en:labeled-cheeses']",,,['France'],[],[],34.6 g,en quantité élevée,22.5 g,en quantité élevée,0 g,en faible quantité,0.817 g,en quantité modérée,?,,418,+5%,1749 kj(418 kcal),+6%,"34,6",+6%,"22,5",+4%,0,-100%,0,-100%,"26,7",+6%,"0,817",-16%,"0,327",-16%,13,-3%,D,-3%,82.8%,8.1%,3.5%,3.6%,1.6%,0.4%,49,,,,,,,,,,,,
1104,Ficello,9011099991552,,,,,,['France'],[],[],,,,,,,,,?,,304,,1272 kj(304 kcal),,"22,5",,14,,"2,5",,1,,23,,"1,9",,"0,76",,,,,,,,,,,,,,,,,,,,,,,,
1105,Sauce Burger,9001372000972,D,,"['Epicerie', 'Sauces', 'Sauces burger']",,,['France'],[],[],21 g,en quantité élevée,1.8 g,en quantité modérée,8.9 g,en quantité modérée,1.5 g,en quantité modérée,?,,248,-39%,1038 kj(248 kcal),-38%,21,-47%,"1,8",-46%,10,-17%,"8,9",-3%,1,-16%,"1,5",-20%,"0,6",-20%,11,-34%,D,-34%,80.2%,9.6%,5.0%,3.2%,1.6%,0.4%,49,,,,,,,,,,,,
1106,Polenta instantanee au speck,8020740059436,,,,,,['France'],[],[],,,,,,,,,?,,384,,1607 kj(384 kcal),,"3,6",,"0,7",,76,,"1,5",,"10,5",,"0,3",,"0,12",,,,,,,,,,,,,,,,,,,,,,,,
1107,Bulgur - Marmara,4012625434210,,['Marmara'],,,,['France'],[],[],,,,,,,,,?,,360,,1506 kj(360 kcal),,"1,2",,"0,2",,71,,"0,2",,12,,"0,03",,"0,012",,,,,,,,,,,,,,,,,,,,,,,,
1108,Emincé de saumon,5400742901910,,,,,,['France'],[],[],,,,,,,,,?,,228,,954 kj(228 kcal),,"15,1",,"5,6",,"0,6",,"0,3",,"22,4",,"3,3",,"1,32",,,,,,,,,,,,,,,,,,,,,,,,
1109,Page 24,3760090974335,,,,,,['France'],[],[],,,,,,,,,?,,?,,,,?,,,,?,,,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1110,topping framboise,5412852301429,,,,,,['France'],[],[],,,,,,,,,?,,251,,1050 kj(251 kcal),,"0,5",,"0,1",,61,,54,,"0,5",,"0,02",,"0,008",,,,,,,,,,,,,,,,,,,,,,,,
1111,Chute saumon norvegien fume,3378550000007,E,,"['Produits de la mer', 'Poissons', 'Saumons', 'Poissons fumés', 'Saumons fumés']",,,['France'],[],[],9.5 g,en quantité modérée,2.2 g,en quantité modérée,0.5 g,en faible quantité,2.2 g,en quantité élevée,?,,178,-4%,745 kj(178 kcal),-4%,"9,5",-10%,"2,2",+7%,1,+102%,"0,5",+50%,22,-0%,"2,2",-22%,"0,88",-22%,13,-1%,D,-1%,96.2%,0.0%,1.6%,1.4%,0.7%,0.2%,24,,,,,,,,,,,,
1112,Terrine Au Porc Noir - Comtesse du Barry - 70g,3660806014587,,['Comtesse du Barry'],,,,['France'],[],[],,,,,,,,,?,,?,,,,?,,,,?,,,,?,,,,,,,,,,,,,,,,,70 g,"['Sans colorants', 'Sans conservateurs']",,,,,,,,,,
1113,Tiramisu fruits rouges,3701138143498,,,,,,['France'],[],[],,,,,,,,,?,,1003,,4197 kj(1003 kcal),,"18,2",,"12,2",,"31,85",,"26,01",,"2,43",,"0,04",,"0,016",,,,,,,,,,,,,,,,,,,,,,,,
1114,Thé vert Richesse des sous bois,3760275430120,,,,,,['France'],[],[],,,,,,,,,?,,?,,,,?,,,,?,,,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1115,"Hamlet, poule chocolat au lait - 55g",5400265037011,,['Hamlet'],,,,['France'],"['sucre', 'lait entier en poudre', 'beurre de cacao', 'pâte de cacao', 'colorants: E100', 'E120 et E160 émulsifiant: lécithine de soja', 'arôme: vanille', ' Cacao: 50% min', ' ', 'dans le chocolat', ' Cacao: 29% min', ' ', 'dans le chocolat au lait', ' Cacao: 23% min', ' ', 'dans le chocolat blanc']","['Non végétalien', 'Non végétarien']",,,,,,,,,?,,?,,,,?,,,,?,,,,?,,,,,,,,,,,,,,,,,55 g,['Fabriqué en Belgique'],"['E100 - Curcumine', 'E120 - Acide carminique', 'E160 - Caroténoïdes', 'E322i - Lécithine']",,4,,,,,,,
1116,PIEMONTAISE NATURE - Transgourmet,3554983005615,,['Transgourmet'],,,,['France'],[],[],,,,,,,,,?,,107,,448 kj(107 kcal),,7,,"0,6",,8,,1,,2,,1,,"0,4",,,,,,,,,,,,,,,,,,,,,,,,
1117,Palets bretons - U,3256220210522,C,['U'],"['Snacks', 'Snacks sucrés', 'Biscuits et gâteaux', 'Biscuits', 'Biscuits sablés', 'Palets']",,,['France'],[],[],25 g,en quantité élevée,15 g,en quantité élevée,25 g,en quantité élevée,0.6 g,en quantité modérée,?,,508,+2%,2125 kj(508 kcal),+2%,25,-2%,15,-9%,64,+6%,25,-3%,6,+2%,"0,6",-32%,"0,24",-32%,23,-5%,E,-5%,80.5%,11.6%,3.5%,2.3%,2.1%,0.0%,56,,,,,,,,,,,,
1118,Happy drink - Hochwald,4003490366089,,['Hochwald'],,['DE RP-221 EG'],,['France'],[],[],,,,,,,,,?,,74,,310 kj(74 kcal),,"1,7",,"1,1",,"10,6",,"10,2",,"3,6",,"0,15",,"0,06",,,,,,,,,,,,,,,,,,,,,,,,
1119,Sucre en poudre,3100000001377,,,,,,['France'],[],[],,,,,,,,,?,,400,,1674 kj(400 kcal),,0,,0,,100,,100,,0,,0,,0,,,,,,,,,,,,,,,,,,,,,,,,
1120,Quiche loreaine × 2,3700196615312,D,,"['Plats préparés', 'Pizzas tartes salées et quiches', 'Quiches', 'Quiches lorraines']",,,['France'],[],[],15.3 g,en quantité modérée,7.9 g,en quantité élevée,2.6 g,en faible quantité,1 g,en quantité modérée,?,,268,+2%,1121 kj(268 kcal),+2%,"15,3",-6%,"7,9",-9%,24,+24%,"2,6",+13%,"8,6",-7%,1,-4%,"0,4",-4%,14,-1%,D,-1%,75.2%,13.0%,2.5%,2.6%,1.4%,5.3%,45,,,,,,,,,,,,
1121,Morbier,0225172036736,D,,"['Produits laitiers', 'Produits fermentés', 'Produits laitiers fermentés', 'Fromages', 'Fromages de vache', 'Fromages de France', 'Fromages à pâte pressée non cuite', 'Morbiers']",,,['France'],[],[],29 g,en quantité élevée,20 g,en quantité élevée,0 g,en faible quantité,1.6 g,en quantité élevée,?,,354,0%,1481 kj(354 kcal),+0%,29,+1%,20,+3%,0,-100%,0,-100%,22,-3%,"1,6",+12%,"0,64",+12%,16,+7%,D,+7%,82.8%,8.1%,3.5%,3.6%,1.6%,0.4%,49,,,,,,,,,,,,
1122,cheddar 450g,8436039433816,,,,,,['France'],[],[],,,,,,,,,?,,406,,1699 kj(406 kcal),,34,,21,,0,,0,,25,,1,,"0,4",,,,,,,,,,,,,,,,,,,,,,,,
1123,Pur chèvre fermier,3760180160082,,,,,,['France'],[],[],,,,,,,,,?,,0,,0 kj(0 kcal),,0,,0,,0,,0,,0,,0,,0,,,,,,,,,,,,,,,,,,,,,,,,
1124,Massepain - 100g,5400265036106,,,,,,['France'],[],[],,,,,,,,,?,,456,,1908 kj(456 kcal),,19,,"1,5",,60,,53,,"7,9",,"0,02",,"0,008",,,,,,,,,,,,,100 g,['Fabriqué en Belgique'],,,,,,,,,,
1125,Marguerite graine,0200022016991,,,,,,['France'],[],[],,,,,,,,,?,,?,,,,?,,,,?,,,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1126,Saucisson pur porc,2274785033326,,,,,,['France'],[],[],,,,,,,,,?,,0,,0 kj(0 kcal),,"37,1",,"14,4",,"4,6",,"0,9",,"25,7",,"5,2",,"2,08",,,,,,,,,,,,,,,,,,,,,,,,
1127,Täfelchen mini bars,4013900979006,,,,,,['France'],[],[],,,,,,,,,?,,566,,2368 kj(566 kcal),,37,,35,,54,,53,,"3,1",,"0,17",,"0,068",,,,,,,,,,,,,,,,,,,,,,,,
1128,Ndujetta,2773390002944,,,,,,['France'],[],[],,,,,,,,,?,,480,,2008 kj(480 kcal),,"44,2",,17,,3,,2,,16,,"4,5",,"1,8",,,,,,,,,,,,,,['en:gluten-free'],,,,,,,,,,
1129,Champignons de paris - Carrefour,3560070134762,B,['Carrefour'],"['Aliments et boissons à base de végétaux', ""Aliments d'origine végétale"", 'Aliments à base de fruits et de légumes', 'Légumes et dérivés', 'Frais', 'Champignons et produits dérivés', 'Aliments à base de plantes frais', 'Champignons', 'Champignons de Paris']",,['Carrefour'],['France'],[],[],0 g,en faible quantité,0 g,en faible quantité,0.4 g,en faible quantité,0.7 g,en quantité modérée,?,,19,-21%,79 kj(19 kcal),-18%,0,-100%,0,-100%,"0,6",-51%,"0,4",+2%,"2,2",+2%,"0,7",+62%,"0,28",+62%,-3,,A,,56.0%,0.0%,0.0%,16.0%,22.9%,5.1%,98,,,,,,,,,,,,
1130,Lou Maset,3760087640021,,,,,,['France'],[],[],,,,,,,,,?,,?,,,,?,,,,?,,,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1131,Bretzels,,B,,"['Snacks', 'Snacks salés', 'Apéritif', 'Biscuits apéritifs', 'Bretzels']",,,['France'],[],[],,,,,,,,,?,,?,,,,?,,,,?,,,,?,,,,,,,,,,60.4%,21.2%,8.3%,6.3%,3.8%,0.0%,82,,,,,,,,,,,,
1132,Jack Daniels barbecue sauce - Jack Daniel's - 19oz,74745661,B,"[""Jack Daniel's""]","['Epicerie', 'Sauces', 'Sauces barbecue']",,,['France'],[],[],0 g,en faible quantité,0 g,en faible quantité,29.4 g,en quantité élevée,2.1 g,en quantité élevée,?,,147,-6%,615 kj(147 kcal),-7%,0,-100%,0,-100%,"35,3",+14%,"29,4",+13%,0,-100%,"2,1",+4%,"0,84",+4%,16,+10%,D,+10%,42.3%,24.8%,16.7%,9.7%,5.1%,1.3%,92,19 oz,,,,,,,,,,,
1133,Pasta di gragnano I.G.P - Afeltra - 500g,8033140533604,,['Afeltra'],,,,['France'],[],[],,,,,,,,,?,,351,,1469 kj(351 kcal),,1,,"0,2",,71,,3,,13,,"0,022",,"0,009",,,,,,,,,,,,,500 g,,,,,,,,,,,
1134,Kouign-Amann,3336340000088,,,,,,['France'],[],[],,,,,,,,,?,,421,,1761 kj(421 kcal),,23,,16,,54,,27,,"4,1",,"0,8",,"0,32",,,,,,,,,,,,,,['Sans colorants'],,,,,,,,,,
1135,Cocktail de canneberge - Fruit d'Or,0662166001019,,"[""Fruit d'Or""]",,,,['France'],[],[],,,,,,,,,?,,22,,92 kj(22 kcal),,0,,0,,"5,4",,5,,0,,2,,"0,8",,,,,,,,,,,,,,,,,,,,,,,,
1136,Flan nappé de caramel,3175244107550,,,,,,['France'],[],[],,,,,,,,,?,,94,,393 kj(94 kcal),,"0,9",,"0,6",,19,,17,,"2,3",,"0,1",,"0,04",,,,,,,,,,,,,,,,,,,,,,,,
1137,Cabernet sauvignon,7804414008446,,,,,,['France'],[],[],,,,,,,,,?,,?,,,,?,,,,?,,,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1138,Oeuf Fourres Praline,2600286022635,,,,,,['France'],[],[],,,,,,,,,?,,549,,2297 kj(549 kcal),,32,,23,,61,,60,,"3,5",,"0,16",,"0,064",,,,,,,,,,,,,,,,,,,,,,,,
1139,Confiserie Orange/Citron,3389682001091,,,,,,['France'],[],[],,,,,,,,,?,,400,,1674 kj(400 kcal),,0,,0,,98,,77,,0,,0,,0,,,,,,,,,,,,,,,,,,,,,,,,
1140,David K,3560000490296,,,,,,['France'],[],[],,,,,,,,,?,,239,,1000 kj(239 kcal),,"0,1",,0,,"55,7",,"55,7",,"0,7",,0,,0,,,,,,,,,,,,,,"['Bio', 'Bio européen', 'Agriculture UE/Non UE', 'FR-BIO-07']",,,,,,,,,,
1141,Equilibrio - Via Nature,8410171011842,,['Via Nature'],,,,['France'],[],[],,,,,,,,,?,,48,,201 kj(48 kcal),,"0,1",,0,,11,,"8,6",,"0,7",,0,,0,,,,,,,,,,,,,,,,,,,,,,,,
1142,1/6 Jambon sec desosse,2868696069477,E,,"['Viandes', 'Charcuteries', 'Jambons', 'Jambons crus', 'Jambons secs']",,,['France'],[],[],6 g,en quantité modérée,2.2 g,en quantité modérée,0.5 g,en faible quantité,5.7 g,en quantité élevée,?,,159,-32%,665 kj(159 kcal),-32%,6,-53%,"2,2",-55%,"0,5",-15%,"0,5",+33%,26,-10%,"5,7",+14%,"2,28",+14%,13,-22%,D,-22%,81.4%,16.7%,0.3%,0.9%,0.5%,0.3%,7,,,,,,,,,,,,
1143,Huile de noix - GAEC de Riquetière,2001140003027,D,['GAEC de Riquetière'],"['Aliments et boissons à base de végétaux', ""Aliments d'origine végétale"", 'Matières grasses', 'Fruits à coques et dérivés', 'Matières grasses végétales', 'Huiles', 'Huiles de fruits à coques', 'Huiles de noix']",,,['France'],[],[],100 g,en quantité élevée,10 g,en quantité élevée,0 g,en faible quantité,0 g,en faible quantité,?,,864,-2%,3615 kj(864 kcal),-1%,100,+2%,10,+6%,0,-100%,0,-100%,0,-100%,0,-100%,0,-100%,6,+12%,C,+12%,92.8%,2.3%,2.5%,1.3%,1.2%,0.0%,36,,"['Concours général agricole', ""Médaille d'argent du Concours général agricole"", ""Médaille d'argent du concours général agricole 2013""]",,,,,,,,,,
1144,Master sélection,5410976173014,,,,,,['France'],[],[],,,,,,,,,?,,532,,2226 kj(532 kcal),,34,,19,,48,,48,,"6,3",,"0,15",,"0,06",,,,,,,,,,,,,,,,,,,,,,,,
1145,Huile olive,3490090071009,,,,,,['France'],[],[],,,,,,,,,?,,900,,3766 kj(900 kcal),,100,,17,,0,,0,,0,,0,,0,,,,,,,,,,,,,,"['Bio', 'Bio européen', 'Agriculture UE/Non UE', 'FR-BIO-01', 'AB Agriculture Biologique']",,,,,,,,,,
1146,Mélange kefta à la libanaise - Sainte Lucie - 30g,3162050043134,B,['Sainte Lucie'],"['Aliments et boissons à base de végétaux', ""Aliments d'origine végétale"", 'Epicerie', 'Condiments', 'Epices', ""Mélanges d'épices""]","['EMB 60282A', 'Gouvieux (Oise, France)']",,['France'],"['Epices et plantes aromatiques ', 'oignon ', 'sulfites', 'ail ', 'sulfites', 'menthe', 'cumin', 'coriandre', 'gingembre', 'poivre blanc', 'girofle', 'curcuma', 'thym', 'cannelle', 'fenouil', 'piments', 'poivre noir', 'fenugrec', 'cardamome', 'amidon modifié', 'tomate', 'sel', 'poivron', ""huile d'olive"", 'sucre\rcaramélisé sur maltodextrine']",[],,,,,,,,,?,,?,,,,?,,,,?,,,,?,,,,,,,,,,57.6%,0.0%,22.5%,15.7%,4.2%,0.0%,86,30 g,,['E14XX - Amidons modifiés'],['Anhydride sulfureux et sulfites'],4,,,['Sachet plastique'],,,,
1147,Healthy'Lollipop Marssi,5906874986219,,,,,,['France'],[],[],,,,,,,,,?,,233,,975 kj(233 kcal),,"0,5",,"0,1",,95,,"0,5",,"0,2",,"0,1",,"0,04",,,,,,,,,,,,,,,,,,,,,,,,
1148,Ravioli tomates sechees et burrata - Tesco,5057545807279,,['Tesco'],,,,['France'],[],[],,,,,,,,,?,,228,,954 kj(228 kcal),,"11,4",,"4,2",,"22,4",,"2,2",,"7,6",,"0,5",,"0,2",,,,,,,,,,,,,,['Fabriqué en Italie'],,,,,,,,,,
1149,Chocolatine x3,3700462060204,,,,,,['France'],[],[],,,,,,,,,?,,380,,1590 kj(380 kcal),,22,,14,,39,,12,,"6,5",,"0,83",,"0,332",,,,,,,,,,,,,,,,,,,,,,,,
1150,La PHILMORE,3770006416040,,,,,,['France'],[],[],,,,,,,,,?,,?,,,,?,,,,?,,,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1151,Cold Kicker,0024606958060,,,,,,['France'],[],[],,,,,,,,,?,,55,,230 kj(55 kcal),,"0,42",,0,,"13,5",,"9,7",,"0,84",,"0,002",,"0,001",,,,,,,,,,,,,,"['Sans sucre ajouté', 'Sans additifs']",,,,,,,,,,
1152,Arkopharma,17423960,,['Arkopharma'],,,,['France'],[],[],,,,,,,,,?,,?,,,,?,,,,?,,,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1153,Soya - Isola Bio,92942950,,['Isola Bio'],,,,['France'],[],[],,,,,,,,,?,,47,,197 kj(47 kcal),,"1,3",,"0,2",,"5,5",,"4,8",,3,,"0,09",,"0,036",,,,,,,,,,,,,,"['Bio', 'Sans gluten']",,,,,,,,,,
1154,Cake cacao bio,5413401005249,,,,,,['France'],[],[],,,,,,,,,?,,416,,1741 kj(416 kcal),,21,,"1,4",,50,,33,,"5,6",,"0,33",,"0,132",,,,,,,,,,,,,,"['Bio', 'Sans gluten', 'Sans lactose']",,,,,,,,,,
1155,Beurre demi sel,32756975,E,,"['Produits laitiers', 'Matières grasses', 'Produits à tartiner', 'Matières grasses à tartiner', 'Matières grasses animales', 'Matière grasse laitière', 'Produits laitiers à tartiner', 'Beurres', 'Beurres demi-sel']",,,['France'],[],[],80 g,en quantité élevée,55 g,en quantité élevée,0.6 g,en faible quantité,2 g,en quantité élevée,?,,725,+1%,3033 kj(725 kcal),+1%,80,+1%,55,+2%,"0,6",-19%,"0,6",-3%,"0,7",+3%,2,-3%,"0,8",-3%,27,+2%,E,+2%,91.5%,4.9%,1.3%,1.2%,0.8%,0.2%,27,,['Bio'],,,,,,,,,,
