,name,bar_code,eco_score,brand,categories,traceability_code,markets,sales_countries,ingredients_list,ingredients_analysis,fats_lipids_quantity,fats_lipids_comment,saturated_acids_quantity,saturated_acids_comment,sugar_quantity,sugar_comment,salt_quantity,salt_comment,nutriment_energy-kj_tr,nutriment_energy-kj_tr_diff,nutriment_energy-kcal_tr,nutriment_energy-kcal_tr_diff,nutriment_energy_tr,nutriment_energy_tr_diff,nutriment_fat_tr,nutriment_fat_tr_diff,nutriment_saturated-fat_tr,nutriment_saturated-fat_tr_diff,nutriment_carbohydrates_tr,nutriment_carbohydrates_tr_diff,nutriment_sugars_tr,nutriment_sugars_tr_diff,nutriment_proteins_tr,nutriment_proteins_tr_diff,nutriment_salt_tr,nutriment_salt_tr_diff,nutriment_sodium_tr,nutriment_sodium_tr_diff,nutriment_nutrition-score-fr_tr,nutriment_nutrition-score-fr_tr_diff,nutriment_nutriscore_tr,nutriment_nutriscore_tr_diff,Agriculture,Transformation,Conditionnement,Transport,Distribution,Consommation,Score_ACV,quantity,labels,additives,allergens,nova_score,brand_owner,generic_name,packaging,palm_ingredients,manufacturing,link,ingredients_origins
457,L'Unique figue - Confiture Parisienne,3770005999827,,['Confiture Parisienne'],,,,['France'],[],[],,,,,,,,,?,,240,,1004 kj(240 kcal),,"0,1",,0,,57,,57,,"0,4",,0,,0,,,,,,,,,,,,,,['Sans conservateurs'],,,,,,,,,,
458,Cerneau de noix,3663859000903,D,,"['Aliments et boissons à base de végétaux', ""Aliments d'origine végétale"", 'Fruits à coques et dérivés', 'Fruits à coques', 'Noix', 'Cerneaux de noix']",,,['France'],[],[],63.8 g,en quantité élevée,5.7 g,en quantité élevée,3 g,en faible quantité,0.01 g,en faible quantité,?,,688,+0%,2879 kj(688 kcal),+0%,"63,8",-0%,"5,7",-3%,"10,8",+11%,3,-6%,"14,7",-2%,"0,01",-37%,"0,004",-37%,3,+16%,C,+16%,87.8%,0.0%,4.7%,2.4%,3.2%,2.0%,36,,,,,,,,,,,,
459,La torta di Super Mario - Balocco,8001100068756,,['Balocco'],,,,['France'],[],[],,,,,,,,,?,,423,,1770 kj(423 kcal),,21,,9,,50,,25,,8,,"0,6",,"0,24",,,,,,,,,,,,,,,,,,,,,,,,
460,Yab!,3760220140616,,,,,,['France'],[],[],,,,,,,,,?,,96,,402 kj(96 kcal),,"2,4",,"1,54",,10,,9,,"3,54",,"0,1",,"0,04",,,,,,,,,,,,,,['Bio'],,,,,,,,,,
461,Oeufs - Auchan,3596710416523,,['Auchan'],,,['Auchan'],['France'],[],[],,,,,,,,,?,,?,,,,?,,,,?,,,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,
462,Nucellina,15630934,,,,,,['France'],[],[],,,,,,,,,?,,576,,2410 kj(576 kcal),,"37,6",,"9,2",,"51,4",,"47,4",,"7,92",,"0,235",,"0,094",,,,,,,,,,,,,,"['Bio', 'Bio européen', 'Sans arômes artificiels', 'Sans gluten', 'Sans huile de palme']",,,,,,,,,,
463,Biscuit sablé au citron,3760003781722,,,,,,['France'],[],[],,,,,,,,,?,,463,,1937 kj(463 kcal),,"18,2",,11,,"65,3",,"28,8",,"7,4",,"0,31",,"0,124",,,,,,,,,,,,,,,,,,,,,,,,
464,Gelée Royale Bio Ampoules Défenses Et Tonus - Propos Nature,3760103750710,,,,,,['France'],[],[],,,,,,,,,?,,70,,293 kj(70 kcal),,0,,0,,15,,0,,2,,0,,0,,,,,,,,,,,,,,['Bio'],,,,,,,,,,
465,Sucaryl,7792129002203,,,,,,['France'],[],[],,,,,,,,,?,,60,,251 kj(60 kcal),,0,,0,,"2,95",,0,,0,,"1,1",,"0,44",,,,,,,,,,,,,,,,,,,,,,,,
466,Boule de campagne,,,,,,,['France'],[],[],,,,,,,,,?,,?,,,,?,,,,?,,,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,
467,Quenelles lyonnaises de brochet,29031993,,,"['Plats préparés', 'Plats préparés au poisson', 'Quenelles', 'Quenelles de poisson', 'Quenelles de brochet']","['FR 69.204.005 CE', 'Saint-Genis-Laval (Rhône, France)']",,['France'],[],[],15 g,en quantité modérée,8.8 g,en quantité élevée,0.6 g,en faible quantité,1.3 g,en quantité modérée,?,,229,+19%,958 kj(229 kcal),+19%,15,+22%,"8,8",+74%,15,+16%,"0,6",-22%,"8,5",+16%,"1,3",+26%,"0,52",+26%,15,+79%,D,+79%,,,,,,,,,,,,,,,,,,,
468,Snack balls chia cranberry citron,4260453710284,,,,,,['France'],[],"['Végétalien', 'Végétarien']",,,,,,,,,?,,395,,1653 kj(395 kcal),,19,,"2,9",,47,,38,,9,,"0,04",,"0,016",,,,,,,,,,,,,,"['Végétarien', 'Végétalien']",,,,,,,,,,
469,Pur Jus de POMME FRAMBOISE - Terre de l'Alpe,3760165988236,C,"[""Terre de l'Alpe""]","['Aliments et boissons à base de végétaux', 'Boissons', 'Boissons à base de végétaux', 'Boissons aux fruits', 'Jus et nectars', 'Jus de fruits', 'Jus multifruits']",,,['France'],"['Jus de pomme*', 'jus de framboise* ', '10%', "" *Produit issu de l'agriculture biologique""]","['Sans huile de palme', 'Végétalien', 'Végétarien']",0.1 g,en faible quantité,0.1 g,en faible quantité,9.74 g,en quantité élevée,0.5 g,en quantité modérée,?,,43,-10%,180 kj(43 kcal),-10%,"0,1",-43%,"0,1",+282%,10,-9%,"9,74",-6%,"0,2",-49%,"0,5",+5370%,"0,2",+5370%,5,+12%,C,+12%,58.5%,3.8%,10.1%,20.0%,6.0%,1.7%,51,,"['Bio', 'Bio européen']",,,1,,,,,,,
470,Pain au mais entier,2005929028393,,,,,,['France'],[],[],,,,,,,,,?,,?,,,,?,,,,?,,,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,
