,name,bar_code,quantity,packaging,brand,sales_countries,ingredients_list,ingredients_analysis,nutriment_energy-kj_tr,nutriment_energy-kcal_tr,nutriment_fat_tr,nutriment_carbohydrates_tr,nutriment_proteins_tr,categories,labels,markets,nutriment_energy-kj_tr_diff,nutriment_energy-kcal_tr_diff,nutriment_fat_tr_diff,nutriment_carbohydrates_tr_diff,nutriment_proteins_tr_diff,eco_score,Agriculture,Transformation,Conditionnement,Transport,Distribution,Consommation,Score_ACV,allergens,nova_score,nutriment_energy_tr,nutriment_saturated-fat_tr,nutriment_sugars_tr,nutriment_salt_tr,nutriment_sodium_tr,manufacturing,fats_lipids_quantity,fats_lipids_comment,saturated_acids_quantity,saturated_acids_comment,sugar_quantity,sugar_comment,salt_quantity,salt_comment,nutriment_energy_tr_diff,nutriment_saturated-fat_tr_diff,nutriment_sugars_tr_diff,nutriment_salt_tr_diff,nutriment_sodium_tr_diff,nutriment_nutrition-score-fr_tr,nutriment_nutrition-score-fr_tr_diff,nutriment_nutriscore_tr,nutriment_nutriscore_tr_diff,additives,traceability_code,brand_owner,ingredients_origins,generic_name,link,palm_ingredients
207,3760025560558,3760025560558,,,,['France'],[],[],?,?,?,?,?,,['AOP'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
208,Concentré de jus de poires - biofarm - 250g,7611631338078,250 g,['pot plastique'],['Biofarm'],"['France', 'Suisse']","['100% concentré de jus de poires suisses', 'en partie désacidifié ', ""issu de l'agriculture biologique""]",[],?,320,0,79,0,['Concentré de jus de fruits'],"['Bio', 'Bio européen', 'Bio Suisse', 'CH-BIO-006']",,,,,,,,,,,,,,,,,1339 kj(320 kcal),0,,"0,25","0,1",['Suisse'],0 g,en faible quantité,0 g,en faible quantité,,,0.25 g,en faible quantité,,,,,,,,,,,,,['Suisse'],,,
209,Jambon supérieur avec couenne 2 tranches - 80g,3483190012799,80 g,,,['France'],[],[],?,184,"11,2","0,7","20,1","['Viandes', 'Charcuteries', 'Jambons', 'Jambons blancs', 'Jambon avec couenne', 'Jambon cuit avec couenne', 'Jambon supérieur avec couenne']","['Bio', 'Bio européen']",,,+39%,+133%,+5%,-5%,D,80.5%,11.8%,4.9%,1.6%,0.9%,0.3%,33,,,770 kj(184 kcal),"3,9","0,7","1,93","0,772",,11.2 g,en quantité modérée,3.9 g,en quantité modérée,0.7 g,en faible quantité,1.93 g,en quantité élevée,+41%,+112%,+18%,+3%,+3%,13,+84%,D,+84%,,,,,,,
210,Milford thé mandarine,9002221011699,,,['Milford'],['France'],[],[],?,?,?,?,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
211,12 Paquets De Méli - Mélo,3254950008426,,,,['France'],[],[],?,475,"22,4","61,3","5,9",,,,,,,,,,,,,,,,,,,1987 kj(475 kcal),"11,1","33,4","0,53","0,212",,,,,,,,,,,,,,,,,,,,,,,,,
212,Buddha Bowl poulet tandoori - Delhaize - 295g,5400119525398,295 g,,['Delhaize'],['France'],[],[],?,125,"7,3","4,4","7,8","['Plats préparés', 'Salades', 'Salades composées', 'Buddha Bowl']",['Nutriscore'],['Delhaize'],,-14%,+11%,-67%,+54%,,,,,,,,,,,523 kj(125 kcal),"0,7","1,6","0,8","0,32",,7.3 g,en quantité modérée,0.7 g,en faible quantité,1.6 g,en faible quantité,0.8 g,en quantité modérée,-14%,-35%,-44%,+27%,+27%,0,-100%,B,-100%,,,,,,,
213,Quinoa Puffs cheeky chicken flavour - macro - 108g,9339687072873,108 g,['6 packets'],['Macro'],"['Australie', 'France']","['quinoa flour 40%', 'maize flour', 'wholegrain sorghum flour 10%', 'chickpea flour', 'chickpea fibre', 'rice flour', 'sunflower oil', 'natural flavouring', 'salt', 'onion powder', 'garlic powder', 'potassium chloride', 'sugar', 'dehydrated chicken powder', 'spices', 'vegetable oil']","[""Pourrait contenir de l'huile de palme"", 'Non végétalien', 'Non végétarien']",?,380,"3,6","67,3","13,6","['Snacks', 'Snacks salés', 'Apéritif', 'Chips et frites', 'Chips', 'Chips au quinoa']","['en:gluten-free', 'en:50% whole grain']",['Woolworths'],,-26%,-88%,+24%,+138%,,,,,,,,,,4,1590 kj(380 kcal),< 1,"1,5","0,996","0,398",['Australia'],3.6 g,en quantité modérée,1 g,en faible quantité,1.5 g,en faible quantité,0.996 g,en quantité modérée,-26%,-68%,-36%,-25%,-25%,-2,-117%,A,-117%,,,,['Australie'],,,
214,Galette Maïs chocolat au lait - Gerblé,3245681213807,,,['Gerblé'],['France'],[],[],?,455,14,74,"7,2",,,,,,,,,,,,,,,,,,,1904 kj(455 kcal),"8,4",21,"0,05","0,02",,,,,,,,,,,,,,,,,,,,,,,,,
215,Chocolat suisse - Edeka,4311501651889,,,['Edeka'],['France'],[],[],?,513,"28,4","56,8",0,"['Snacks', 'Snacks sucrés', 'Cacao et dérivés', 'Chocolats', 'Chocolats suisses']","['Agriculture durable', 'en:UTZ Certified']",,,-7%,-20%,+16%,-100%,,,,,,,,,,,2146 kj(513 kcal),"15,5","51,8","0,16","0,064",,28.4 g,en quantité élevée,15.5 g,en quantité élevée,51.8 g,en quantité élevée,0.16 g,en faible quantité,-7%,-22%,+13%,+34%,+34%,26,+10%,E,+10%,,,,,,,
216,Groseille - Les gelées de Sandrine - 350g,09250218,350g,,['Les gelées de Sandrine'],['France'],[],[],?,?,?,?,?,"['Aliments et boissons à base de végétaux', ""Aliments d'origine végétale"", 'Produits à tartiner', 'Petit-déjeuners', 'Pâtes à tartiner végétales', 'Produits à tartiner sucrés', 'Confitures et marmelades', 'Gelées de fruits', 'Gelées de groseilles']",,,,,,,,D,75.0%,7.5%,10.3%,5.1%,1.7%,0.4%,50,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
217,Pâte à tartiner chocolat au lait noisettes,0641243799964,,,,['France'],[],[],?,?,?,?,?,"['Produits à tartiner', 'Petit-déjeuners', 'Produits à tartiner sucrés', 'Pâtes à tartiner', 'Pâtes à tartiner aux noisettes', 'Pâtes à tartiner au chocolat', 'Pâtes à tartiner aux noisettes et au cacao']",,,,,,,,D,82.7%,11.5%,2.8%,2.4%,0.6%,0.0%,40,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
218,Mini viennoiseries x 12,,,,,['France'],[],[],?,?,?,?,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
219,Café Moulu Saint Domingue - U Saveurs - 250g,3368959608782,250g,,['U Saveurs'],['France'],[],[],?,?,?,?,?,"['Aliments et boissons à base de végétaux', ""Aliments d'origine végétale"", 'Cafés', 'Cafés moulus']",,['Magasins U'],,,,,,E,96.9%,0.9%,0.7%,1.3%,0.2%,0.0%,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
220,Pois du Cap,3513081000137,,,,['France'],[],[],?,?,?,?,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
221,Donut Framboise -,5411823866134,,,,['France'],"['Farine de blé', 'fourrage ', '20', '7%', ' ', 'framboise ', '50%', 'sucre', 'eau', 'amidon modifié ', 'E1442', 'gélifiant ', 'E440ii', ""correcteur d'acidité "", 'E330', 'arôme', 'conservateur ', 'E202', 'eau', 'huiles et graisse végétale ', 'palme', 'colza', 'glaçage ', '9', '6%', ' ', 'sucre', 'huile et graisses végétales ', 'palmiste', 'palme', 'coco', ' émulsifiant ', 'E322', 'colorant ', 'E120', 'sucre', 'levure', 'sel', 'émulsifiants ', 'E471-E472e-E481', 'gluten', 'poudre à lever ', 'E450i-E500ii', 'dextrose', 'stabilisant ', 'E412', 'lactosérum en poudre', 'lactose', 'jus de citron']","['Huile de palme', 'Non végétalien', 'Non végétarien']",?,373,19,45,4,"['Biscuits et gâteaux', 'Gâteaux', 'Donuts']",,,,-9%,-17%,+0%,-32%,B,65.3%,17.3%,8.4%,4.6%,4.4%,0.0%,87,"['Gluten', 'Lait']",4,1561 kj(373 kcal),11,18,"0,85","0,34",,19 g,en quantité modérée,11 g,en quantité élevée,18 g,en quantité élevée,0.85 g,en quantité modérée,-9%,+4%,+7%,-11%,-11%,19,-3%,E,-3%,"['E14XX - Amidons modifiés', 'E1442 - Phosphate de diamidon hydroxypropyle', 'E440ii - Pectine amidée', 'E330 - Acide citrique', 'E202 - Sorbate de potassium', '', 'Risque élevé de sur-exposition', 'E322 - Lécithines', 'E120 - Acide carminique', ""E471 - Mono- et diglycérides d'acides gras alimentaires"", ""E472e - Ester Monoacéthyltartrique de mono- et diglycérides d'acides gras"", 'E481 - Stéaroyl-2-lactylate de sodium', '', 'Risque élevé de sur-exposition', 'E450i - Pyrophosphate de sodium acide', 'E500ii - Carbonate acide de sodium', 'E412 - Gomme de guar']",,,,,,
222,Miel d'acacia,3309069000028,,,,['France'],[],[],?,?,?,?,?,"['Produits à tartiner', 'Petit-déjeuners', 'Produits de la ruche', ""Produits d'élevages"", 'Produits à tartiner sucrés', 'Édulcorants', 'Miels', ""Miels d'acacia""]",,,,,,,,B,87.9%,0.0%,7.7%,3.1%,1.3%,0.0%,82,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
223,Lait,3597680001306,,,,['France'],[],[],?,46,"1,6","4,8","3,2",,,,,,,,,,,,,,,,,,,192 kj(46 kcal),1,"4,8","0,1","0,04",,,,,,,,,,,,,,,,,,,,"['FR 62.767.030 CE', 'Saint-Pol-sur-Ternoise (Pas-de-Calais, France)']",,,,,
224,3600520977768,3600520977768,,,,['France'],[],[],?,?,?,?,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
225,4007295028012,4007295028012,,,,['France'],[],[],?,?,?,?,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
226,Oreo original - 176g,7622010001858,176g,,['Oreo'],['France'],[],[],?,?,?,?,?,"['Snacks', 'Snacks sucrés', 'Biscuits et gâteaux', 'Biscuits']",,,,,,,,C,80.3%,11.4%,3.7%,2.4%,2.2%,0.0%,58,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
227,8711197116031,8711197116031,,,,['France'],[],[],?,?,?,?,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
228,Cacao+ instantáneo - Carrefour,8431876114140,,,['Carrefour'],"['France', 'Espagne']",[],[],?,378,"2,8",81,"4,1","['Cacao et dérivés', 'Cacaos et chocolats en poudre', 'Cacaos en poudre']",,['Carrefour'],,+8%,-80%,+212%,-76%,E,94.3%,2.4%,0.9%,2.1%,0.3%,0.0%,17,,,1582 kj(378 kcal),"1,3",80,"0,33","0,132",,2.8 g,en faible quantité,1.3 g,en faible quantité,80 g,en quantité élevée,0.33 g,en quantité modérée,+8%,-84%,+648%,+206%,+206%,16,+74%,D,+74%,,,,,,,
229,Wachtelbohnen - Suntat - 800g,8690804406508,800 g,['Dose(n)'],['Suntat'],"['France', 'Allemagne']",[],[],?,?,?,?,?,"['Aliments et boissons à base de végétaux', ""Aliments d'origine végétale"", 'Légumineuses et dérivés', 'Légumineuses', 'Graines', 'Graines de légumineuses', 'Légumes secs', 'Haricots', 'Haricots pinto']",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
230,Préparation cookies Chocolat au Lait - ookies,3760298611742,,,['Ookies'],['France'],"['Sachet de préparation ', '255g', ' : Farine de ble*', 'sucre de canne blond*', 'amidon de mais*', ""poudre d'amande*"", 'sel de Guérande', ' Sachet de Chocolat au lait Bio ', '65g', ' : Sucre de canne*', 'beurre de cacao""', 'poudre de lait entier*', 'masse de cacao*', 'extrait de vanille*', ' ', ""*Issu de l'agriculture biologique"", ' PEUT CONTENIR DES TRACES DE FRUITS A COQUE ET DE SESAME']",['Non végétalien'],?,414,"9,4",73,8,"['Aides culinaires', 'Préparations pour desserts']",,,,+26%,+42%,+29%,+62%,,,,,,,,,['Gluten'],3,1732 kj(414 kcal),"4,9",37,"0,2","0,08",,,,,,,,,,+26%,+73%,+22%,-52%,-52%,,,,,,,,,,,
231,Pur jus pomme myrtille bio - Savoie - 1litre,3448552000180,1 litre,,['Savoie'],['France'],[],[],?,48,"0,2","10,1","0,1","['Aliments et boissons à base de végétaux', 'Boissons', 'Boissons à base de végétaux', 'Boissons aux fruits', 'Jus et nectars', 'Jus de fruits']",['Bio'],,,+4%,+18%,-5%,-74%,D,58.5%,3.8%,10.1%,20.0%,6.0%,1.7%,51,,,201 kj(48 kcal),"0,02","9,76","0,005","0,002",,0.2 g,en faible quantité,0.02 g,en faible quantité,9.76 g,en quantité élevée,0.005 g,en faible quantité,+5%,-29%,+1%,-49%,-49%,4,+5%,C,+5%,,,,,,,
232,Mélange 5 baies - Bedros,3580281892053,,,['Bedros'],['France'],[],[],?,?,?,?,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
233,2238522037985,2238522037985,,,,['France'],[],[],?,?,?,?,?,,['Sans colorants'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"['FR 28.027.005 CE', 'Bazoche-Gouet (Eure-et-Loir, France)']",,,,,
234,La Baronnie Des Lys Infusion Bio Ventre Plat. BT,3760243750113,,,,['France'],[],[],?,?,?,?,?,,['Bio'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
235,Chouquettes - Carrefour,0202071006565,,,['Carrefour'],['France'],[],[],?,4,5,6,12,,,['Carrefour'],,,,,,,,,,,,,,,,17 kj(4 kcal),0,5,3,"1,2",,,,,,,,,,,,,,,,,,,,,,,,,
236,Rosé pamplemouse de Floride,3662076228572,,,,['France'],[],[],?,?,?,?,?,,,,,,,,,,,,,,,,,,,,,,0,0,,,,,,,,,,,,,,,,,,,,,,,,,
237,Kupela jus de pomme,3760289610150,,,,['France'],[],[],?,60,"0,5",15,"0,5",,['Bio'],,,,,,,,,,,,,,,,,251 kj(60 kcal),"0,1",12,"0,01","0,004",,,,,,,,,,,,,,,,,,,,,,,,,
238,Gemüse Allrounder - Just Spices - 75g,4260446098276,75g,,['Just Spices'],"['France', 'Allemagne']",[],[],?,?,?,?,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
239,"Emincé de Poulet, Façon Gyros - L’étal du volailler - 400g",29888061,400g,,['L’étal du volailler'],['France'],[],[],?,?,?,?,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
240,Fitness Rührei Gewürz - 35g,4260431672573,35 g,['Beutel'],,"['France', 'Allemagne']",[],[],?,?,?,?,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
241,Dulce de Batata con Chocolate - Arcor,7790580504809,,,['Arcor'],['France'],[],[],?,260,"3,2",60,1,,,,,,,,,,,,,,,,,,,1088 kj(260 kcal),0,28,"0,04","0,016",,,,,,,,,,,,,,,,,,,,,,,,,
242,Le Fameux Cake Marbré - ookies - 415g,3760298612824,415 g,,['Ookies'],['France'],[],[],?,406,"7,6","76,5","6,8",,['Bio'],,,,,,,,,,,,,,,,,1699 kj(406 kcal),"4,3",48,"0,44","0,176",,,,,,,,,,,,,,,,,,,,,,,,,
243,Trinkpulver - 108g,4260418020038,108 g,,,"['France', 'Allemagne']",[],[],?,?,?,?,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
244,Original wok ail naturel panion lemongrass - Go tan,8710605027075,,,['Go tan'],['France'],[],[],?,81,"2,7","12,6","1,1",,,,,,,,,,,,,,,,,,,339 kj(81 kcal),"0,3","7,8","2,6","1,04",,,,,,,,,,,,,,,,,,,,,,,,,
245,Mloukhia la Bizertine,3760096290446,,,,['France'],[],[],?,?,?,?,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
246,Volaé,08668220,,,['Volaé'],['France'],[],[],?,?,?,?,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
247,Sulfurik,3701281300298,,,,['France'],[],[],?,?,?,?,?,,,,,,,,,,,,,,,,,,,,,,0,0,,,,,,,,,,,,,,,,,,,,,,,,,
248,24409063,24409063,,,,['France'],[],[],?,?,?,?,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
249,Orange amère,3349550003046,,,,['France'],[],[],?,?,?,?,?,"['Aliments et boissons à base de végétaux', ""Aliments d'origine végétale"", 'Aliments à base de fruits et de légumes', 'Produits à tartiner', 'Petit-déjeuners', 'Fruits et produits dérivés', 'Pâtes à tartiner végétales', 'Produits à tartiner sucrés', 'Confitures et marmelades', 'Confitures', ""Confitures d'agrumes"", ""Confitures d'oranges amères""]",['Sans colorants'],,,,,,,D,75.0%,7.5%,10.3%,5.1%,1.7%,0.4%,50,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
250,Les terrines d'augustine A l'andouille de Vire - la chaiseronne - 90g,3460778561900,90g,['Bocal verre'],['la chaiseronne'],['France'],"[""viande et foie de porc de Normandie élevé à la farine d'orge"", 'andouille de Vire ', '10%', 'oignons', 'amidon modifié de mais', 'oeufs', 'sel', 'poivre']",['Non végétalien'],?,253,"19,8","3,8",15,"['Viandes', 'Charcuteries']","['en:gluten-free', 'Sans colorants', 'Sans conservateurs', 'Saveurs de Normandie']",['Biscuiterie Sainte Mère Église'],,-3%,+3%,+159%,-20%,,,,,,,,,['Œufs'],4,1059 kj(253 kcal),"7,1","0,7","1,8","0,72",['Brecey'],19.8 g,en quantité modérée,7.1 g,en quantité élevée,0.7 g,en faible quantité,1.8 g,en quantité élevée,-2%,-2%,-12%,-24%,-24%,17,+6%,D,+6%,['E14XX - Amidons modifiés'],"['FR 50.074.001 CE', 'Brécey (Manche, France)']",,"['France', 'Normandie']",,www.lachaiseronne,
251,Verveine citronnée et citron vert,3770010046448,,,,['France'],[],[],?,38,"0,4","7,2","0,4",,"['Sans colorants', 'Sans arômes ajoutés', 'Sans conservateurs']",,,,,,,,,,,,,,,,,159 kj(38 kcal),"0,01","5,9","0,005","0,002",,,,,,,,,,,,,,,,,,,,,,,,,
252,3598560405689,3598560405689,,,,['France'],[],[],?,?,?,?,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
253,Tapas Riviera - Palais Des Mets,3760089333198,,,['Palais Des Mets'],['France'],[],[],?,?,?,?,?,,['Fabriqué en Italie'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
254,8005825000060,8005825000060,,,,['France'],[],[],?,?,?,?,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
255,Royco,00176620,,,['Royco'],['France'],[],[],?,?,?,?,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
256,0638097718548,0638097718548,,,,['France'],[],[],?,?,?,?,?,,"['Bio', 'Bio européen', 'FR-BIO-01']",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
257,Terrine de magret de canard du Périgord aux figues - Domaine de la Peyrouse - 130g,3424830000318,130g,,['Domaine de la Peyrouse'],['France'],[],[],?,?,?,?,?,"['Viandes', 'Charcuteries', 'Charcuteries diverses', 'Pâté', 'Pâtés de canard']",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
258,Fondants au chocolat au Blé noir - Bertel - 180g,3337040002570,180 g,,['Bertel'],['France'],[],[],?,475,29,46,"6,2",,['Produit en Bretagne'],,,,,,,,,,,,,,,,,1987 kj(475 kcal),18,31,"0,4","0,16",,,,,,,,,,,,,,,,,,,,,,,,,
259,bulles de fruits par Badoit - 1l,12663608,1l,,['Badoit'],['France'],"['eau minérale naturelle gazéifiée de St Alban ', '88%', 'jus de fruits à base de concentré 7%', 'citron 5,1% citron vert 1,9%', 'sucre', '4,7%', 'acidifiant : acide citrique', 'arôme naturel de citron-citron vert', 'arômes naturels', 'édulcorant : glucosides de steviol']",[],?,21,"< 0,5","4,9","< 0,5",['Boissons'],,['Auchan'],,-62%,+44%,-57%,+1%,,,,,,,,,,4,88 kj(21 kcal),0,"4,9","0,06","0,024",['Evian'],0.5 g,en faible quantité,0 g,en faible quantité,4.9 g,en quantité modérée,0.06 g,en faible quantité,-63%,-100%,-48%,+45%,+45%,7,-9%,D,-9%,"['E330 - Acide citrique', 'E960 - Glucosides de stéviol', '', 'Risque modéré de sur-exposition']",,,['France'],,,
260,4 Part Baked Crusty Rolls - Morrisons,5010251759461,,['ldpe-bag'],['Morrisons'],['France'],[],[],?,285,"1,1","58,8","8,5",,,,,,,,,,,,,,,,,,,1192 kj(285 kcal),"0,2","3,8","1,1","0,44",,,,,,,,,,,,,,,,,,,,,,,,,
261,3661498000353,3661498000353,,,,['France'],[],[],?,?,?,?,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
262,3770009091022,3770009091022,,,,['France'],[],[],?,?,?,?,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
263,Pause Café - Daniel Stoffel - 900g,3367279999358,900g,,['Daniel Stoffel'],['France'],[],[],?,566,43,31,"7,6","['Snacks', 'Snacks sucrés', 'Cacao et dérivés', 'Chocolats', 'Chocolats noirs', 'Chocolats noirs extra fin']",,,,+2%,+10%,-20%,-1%,E,85.3%,9.9%,1.2%,3.2%,0.4%,0.0%,24,,,2368 kj(566 kcal),26,27,"0,02","0,008",,43 g,en quantité élevée,26 g,en quantité élevée,27 g,en quantité élevée,0.02 g,en faible quantité,+3%,+11%,-19%,-49%,-49%,22,+1%,E,+1%,,,,,,,
264,Causalité vinosource -  - 40ml,3522930001119,40 ml,,,['France'],[],[],?,?,?,?,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
265,bonbons suisses aux plantes - ricola - 70g,5619521601624,70 g,['sac de bonbons enveloppés'],['Ricola'],['France'],['Isomalt arômes naturel de 13 plantes sorbitol édulcorants'],[],?,235,0,98,0,"['Snacks', 'Snacks sucrés', 'Confiseries', 'Suisses']",,['hyper u'],,-44%,-100%,+47%,-100%,,,,,,,,,,4,983 kj(235 kcal),0,0,0,0,,0 g,en faible quantité,0 g,en faible quantité,0 g,en faible quantité,0 g,en faible quantité,-44%,-100%,-100%,-100%,-100%,2,-89%,B,-89%,['E953 - Isomalt'],,,,,,
266,30270530011766,30270530011766,,,,['France'],[],[],?,?,?,?,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
267,00822770,00822770,,,,['France'],[],[],?,?,?,?,?,,"['Bio', 'Bio européen', 'FR-BIO-01', 'AB Agriculture Biologique']",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
268,3537670004078,3537670004078,,,,['France'],[],[],?,?,?,?,?,,"['Bio', 'Bio européen', 'FR-BIO-01']",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
269,Aceite de oliva virgen extra - Can Rich - 25cl,8437003058974,25 cl,['Bouteille'],['Can Rich'],"['France', 'Espagne']",['ACEITE ECOLÓGICO'],"[""Pourrait contenir de l'huile de palme"", 'Peut-être végétalien', 'Peut-être végétarien']",?,999,99,0,0,"['Aliments et boissons à base de végétaux', ""Aliments d'origine végétale"", 'Matières grasses', 'Matières grasses végétales', ""Produits de l'olivier"", 'Huiles', ""Huiles d'olive"", ""Huiles d'olive d'Espagne"", ""Huiles d'olive vierges"", ""Huiles d'olive vierges extra""]","['Bio', 'Bio européen', 'ES-ECO-013-IB', 'Point Vert']",,,+13%,+1%,,,C,88.1%,4.5%,3.6%,2.0%,1.7%,0.0%,47,,2,4180 kj(999 kcal),"20,5",0,0,0,,99 g,en quantité élevée,20.5 g,en quantité élevée,0 g,en faible quantité,0 g,en faible quantité,+15%,+40%,,,,7,+13%,C,+13%,,,,,,,
270,graines de chia noires - as l'aliment sain - 125g,98261062,125g,['Plastique'],"[""as l'aliment sain""]",['France'],"[""graines de chia noires **issu de l'agriculture biologique""]",[],?,?,?,?,?,"['Aliments et boissons à base de végétaux', ""Aliments d'origine végétale"", 'Céréales et pommes de terre', 'Graines', 'Céréales et dérivés', 'Céréales en grains', 'Chia']","['Bio', 'Bio européen', 'AB Agriculture Biologique']",['Bio'],,,,,,D,88.0%,0.0%,4.6%,2.4%,3.1%,1.9%,35,,,,,,,,,,,,,,,,,,,,,,,,,,,,,['Amérique du Sud Dijon'],,,
271,Atún Chanca - La chanca - 125g,8436008374829,125g,,['La chanca'],['France'],"['Tuna ', 'fish Thunnus albacares', 'olive oil and salt', ' Valor energético / Ener Grasas / Fat De las cuales saturadas Hidratos de carbono/ De los cuales azúcares Proteínas / Protein Sal/Salt PESO NETO 125 g', ' NET WEIGHT PESO ESCURRIDO 85 g DRAINED WEIGHT']",[],?,182,"8,5",0,"26,3","['Conserves', 'Produits de la mer', 'Poissons', 'Poissons en conserve', 'Thons', 'Thons en conserve', ""Thons à l'huile"", ""Thons à l'huile d'olive""]",,,,-28%,-51%,-100%,+11%,E,66.2%,13.9%,12.9%,6.2%,0.4%,0.4%,22,['Poisson'],,761 kj(182 kcal),"1,2",0,"2,8","1,12",,8.5 g,en quantité modérée,1.2 g,en faible quantité,0 g,en faible quantité,2.8 g,en quantité élevée,-28%,-60%,-100%,+187%,+187%,13,+141%,D,+141%,,,,,,,
272,Granola chocolat coco et éclats de frambroise - celnat - 375g,19721945,375 g,['Sachet'],['Celnat'],['France'],"[""flocons d'avoine* cacaotés enrobés "", 'dont sucre de canne*', 'cacao*', 'maltodextrine', 'sel de mer', ""flocons d'avoine* croustillants"", 'chocolat* noir 13% ', 'pâte de cacao*', 'sucre de canne*', 'beurre de cacao*', 'extrait de vanille*', 'lamelles de noix de Coco* ', '6%', 'framboises* ', '2%']",[],?,429,13,61,0,"['Aliments et boissons à base de végétaux', ""Aliments d'origine végétale"", 'Céréales et pommes de terre', 'Petit-déjeuners', 'Céréales et dérivés', 'Céréales pour petit-déjeuner', 'Flocons', 'Flocons de céréales', 'Céréales extrudées', 'Flocons extrudés', 'Pétales multicéréales']",['Bio'],['bio c bon'],,+3%,+6%,-2%,-100%,C,74.0%,13.1%,5.1%,5.5%,2.3%,0.0%,60,,3,1795 kj(429 kcal),"6,2","12,6","0,15","0,06",['France'],13 g,en quantité modérée,6.2 g,en quantité élevée,12.6 g,en quantité élevée,0.15 g,en faible quantité,+3%,+91%,-29%,-35%,-35%,8,+54%,C,+54%,,,,"['Union européenne', 'Non Union Européenne']",,,
273,3478700005002,3478700005002,,,,['France'],[],[],?,?,?,?,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
274,Fauchon espresso grande crema,7617014182375,,,,['France'],[],[],?,?,?,?,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
275,8426963934084,8426963934084,,,,['France'],[],[],?,?,?,?,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
276,>solaire Bio - 120 Comprimés - Laboratoire Phytoceutic,3492270005415,,,,['France'],[],[],?,?,?,?,?,,"['Bio', 'Bio européen', 'FR-BIO-10']",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
