,name,bar_code,quantity,packaging,brand,sales_countries,ingredients_list,ingredients_analysis,nutriment_energy-kj_tr,nutriment_energy-kcal_tr,nutriment_fat_tr,nutriment_carbohydrates_tr,nutriment_proteins_tr,categories,labels,markets,nutriment_energy-kj_tr_diff,nutriment_energy-kcal_tr_diff,nutriment_fat_tr_diff,nutriment_carbohydrates_tr_diff,nutriment_proteins_tr_diff,eco_score,Agriculture,Transformation,Conditionnement,Transport,Distribution,Consommation,Score_ACV,allergens,nova_score,nutriment_energy_tr,nutriment_saturated-fat_tr,nutriment_sugars_tr,nutriment_salt_tr,nutriment_sodium_tr,manufacturing,fats_lipids_quantity,fats_lipids_comment,saturated_acids_quantity,saturated_acids_comment,sugar_quantity,sugar_comment,salt_quantity,salt_comment,nutriment_energy_tr_diff,nutriment_saturated-fat_tr_diff,nutriment_sugars_tr_diff,nutriment_salt_tr_diff,nutriment_sodium_tr_diff,nutriment_nutrition-score-fr_tr,nutriment_nutrition-score-fr_tr_diff,nutriment_nutriscore_tr,nutriment_nutriscore_tr_diff,additives,traceability_code,brand_owner,ingredients_origins,generic_name,link,palm_ingredients
43,Famille Potofeu - Fleurus - 1234g,9782215167150,1234g,,['Fleurus'],['France'],[],[],?,?,?,?,?,"['Aliments et boissons à base de végétaux', ""Aliments d'origine végétale"", 'Epicerie', 'Condiments', 'Aliments à base de fruits et de légumes', 'Plantes condimentaires', 'Légumes et dérivés', 'Ail et dérivés', 'Ail']",,,,,,,,B,58.5%,0.0%,0.0%,19.1%,16.5%,5.8%,98,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
44,Isla delice wings bbq - 400g,3512690004710,400 g,,['Isla Délice'],['France'],"['Manchons de poulet halal 85,6%', 'eau', 'fécule de pomme de terre', 'fibre de pois', 'plantes aromatiques', 'sucre', 'sel', 'dextrose', 'épices', 'sel fumé', 'vinaigre blanc', 'tomates déshydratées', 'arômes naturel', 'protéine de SOJA', 'farine de BLÉ', 'épaississant E412', ""régulateur d'acidité E450"", 'exhausteur de goût E621', 'poivre', 'antioxydant E316', 'piment', 'huile de colza', 'Produit contient du GLUTEN et du SOJA', 'Produit peut contenir ', ' des ŒUFS', 'LAIT,', 'LACTOSE', 'CÉLERI', 'MOUTARDE']",['Non végétalien'],?,152,"8,4","6,25","14,3",,['Halal'],,,,,,,,,,,,,,,"['Gluten', 'Soja']",4,636 kj(152 kcal),"2,5","2,8","1,6","0,64",,,,,,,,,,,,,,,,,,,"['E412 - Gomme de guar', 'E450 - Diphosphates', '', 'Risque élevé de sur-exposition', 'E621 - Glutamate monosodique', '', 'Risque élevé de sur-exposition', 'E316 - Érythorbate de sodium']",,,,ID WINGS de Poulet BBQ 400g,,
45,faux filet 250g - 250g,333086501668208382,250 g,,,['France'],[],[],?,?,?,?,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"['FR 42.187.001 CE', 'Roanne (Loire, France)']",,,,,
46,Pastèque - Florette,3280221408183,,,['Florette'],['France'],[],[],?,39,"0,3",8,"0,8","['Aliments et boissons à base de végétaux', ""Aliments d'origine végétale"", 'Aliments à base de fruits et de légumes', 'Fruits et produits dérivés', 'Fruits', 'Melons et pastèques', 'Pastèques']","['Nutriscore', 'Sans conservateurs', 'Nutriscore A']",['Auchan'],,+39%,-57%,-21%,-67%,,,,,,,,,,,163 kj(39 kcal),"0,1","6,7","0,01","0,004",,0.3 g,en faible quantité,0.1 g,en faible quantité,6.7 g,en quantité modérée,0.01 g,en faible quantité,+37%,+652%,-0%,-77%,-77%,-4,,A,,,,,,,,
47,"Chocolate Sticks, Cappuccino - Mister Choc",20293574,,,['Mister Choc'],"['France', 'États-Unis']","['Sugar', 'cocoa butter', 'whole milk', 'chocolate liquor', 'lactose', 'skim milk', 'coffee', 'sunflower lecithin', 'natural flavor']","['Sans huile de palme', 'Non végétalien', 'Peut-être végétarien']",?,513,"28,21","58,97","7,69","['Snacks', 'Snacks sucrés', 'Biscuits et gâteaux', 'Biscuits']",,,,+8%,+36%,-8%,+18%,C,80.3%,11.4%,3.7%,2.4%,2.2%,0.0%,58,['Lait'],4,2146 kj(513 kcal),"17,95","56,41",0,0,,28.2 g,en quantité élevée,17.9 g,en quantité élevée,56.4 g,en quantité élevée,0 g,en faible quantité,+8%,+78%,+91%,-100%,-100%,24,+21%,E,+21%,['E322i - Lécithine'],,NOT A BRANDED ITEM,,,,
48,Fettuccini -  - 350g,3250392728731,350g,,,['France'],"['Semoule de blé dur de qualité supérieure 77%', 'eau', 'oeufs frais 10', '8% ', ""soit 140g d'oeufs/kg de semoule""]",['Non végétalien'],?,280,"2,3","53,4","10,3","['Aliments et boissons à base de végétaux', ""Aliments d'origine végétale"", 'Céréales et pommes de terre', 'Céréales et dérivés', 'Pâtes alimentaires', 'Pâtes fraîches', 'Fettucini']",,,,+9%,+17%,+19%,+9%,,,,,,,,,['Œufs'],1,1172 kj(280 kcal),"0,6","1,4","0,05","0,02",,2.3 g,en faible quantité,0.6 g,en faible quantité,1.4 g,en faible quantité,0.05 g,en faible quantité,+9%,+15%,-1%,-88%,-88%,-4,,A,,,"['EMB 73065A', 'Chambéry (Savoie, France)']",,,pates aux oeufs frais,,
49,entrecôte,333086501665823823,,,,['France'],[],[],?,?,?,?,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
50,Chorizo Iberico,8410843112495,,,,['France'],[],[],?,477,45,"4,5","13,5",,,,,,,,,,,,,,,,,,,1996 kj(477 kcal),17,"2,5","2,8","1,12",,,,,,,,,,,,,,,,,,,,,,,,,
51,Légumes lentilles corail,8422791009857,,,,['France'],[],[],?,?,?,?,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
52,travers de porc,035511000025579119,,,,['France'],[],[],?,?,?,?,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
