,name,bar_code,eco_score,brand,categories,sales_countries,ingredients_list,ingredients_analysis,fats_lipids_quantity,fats_lipids_comment,saturated_acids_quantity,saturated_acids_comment,sugar_quantity,sugar_comment,salt_quantity,salt_comment,nutriment_energy-kj_tr,nutriment_energy-kj_tr_diff,nutriment_energy-kcal_tr,nutriment_energy-kcal_tr_diff,nutriment_energy_tr,nutriment_energy_tr_diff,nutriment_fat_tr,nutriment_fat_tr_diff,nutriment_saturated-fat_tr,nutriment_saturated-fat_tr_diff,nutriment_carbohydrates_tr,nutriment_carbohydrates_tr_diff,nutriment_sugars_tr,nutriment_sugars_tr_diff,nutriment_proteins_tr,nutriment_proteins_tr_diff,nutriment_salt_tr,nutriment_salt_tr_diff,nutriment_sodium_tr,nutriment_sodium_tr_diff,nutriment_nutrition-score-fr_tr,nutriment_nutrition-score-fr_tr_diff,nutriment_nutriscore_tr,nutriment_nutriscore_tr_diff,Agriculture,Transformation,Conditionnement,Transport,Distribution,Consommation,Score_ACV,generic_name,quantity,packaging,labels,allergens,nova_score,manufacturing,traceability_code,markets,additives,ingredients_origins,link,palm_ingredients,brand_owner
771,Salade vigneronne,3433700015130,,,,['France'],[],[],,,,,,,,,?,,271,,1134 kj(271 kcal),,26,,"7,5",,"1,6",,"0,3",,"10,6",,"1,51",,"0,604",,,,,,,,,,,,,,,,,,,,,,,,,,
772,Chorizo - Sainsbury's,01738339,D,"[""Sainsbury's""]","['Viandes', 'Charcuteries', 'Saucissons', 'Chorizo']","['France', 'Royaume-Uni']","['Pork', 'Paprika ', '2', '5%', 'Salt', 'Garlic', 'Preservatives ', 'Sodium Nitrite', 'Potassium Nitrate', 'Rosemary Extract']","['Sans huile de palme', 'Non végétalien', 'Non végétarien']",43 g,en quantité élevée,15 g,en quantité élevée,0.6 g,en faible quantité,3.7 g,en quantité élevée,?,,481,+18%,2013 kj(481 kcal),+18%,43,+26%,15,+16%,"0,9",-69%,"0,6",-66%,22,-4%,"3,7",-1%,"1,48",-1%,26,+9%,E,+9%,76.1%,16.6%,0.6%,1.8%,1.0%,3.9%,35,,,['mixed plastic film-packet'],,,3,,,,"['E250 - Nitrite de sodium', '', 'Risque élevé de sur-exposition', 'E252 - Nitrate de potassium', '', 'Risque élevé de sur-exposition']",,,,
773,Miel fleurs du printemps - Le rucher de Bellevue - 500g,3770000651034,B,['Le rucher de Bellevue'],"['Produits à tartiner', 'Petit-déjeuners', 'Produits de la ruche', ""Produits d'élevages"", 'Produits à tartiner sucrés', 'Édulcorants', 'Miels', 'Miels de fleurs', 'Miels français']",['France'],[],[],,,,,,,,,?,,?,,,,?,,,,?,,,,?,,,,,,,,,,87.9%,0.0%,7.7%,3.1%,1.3%,0.0%,82,,500 g,['Pot en verre'],,,,,,,,['Vendée'],,,
774,Grès d' Alsace - 125g,3700443642849,,,,['France'],[],[],,,,,,,,,?,,365,,1527 kj(365 kcal),,26,,"16,5",,"0,5",,0,,21,,"1,8",,"0,72",,,,,,,,,,,,,,125 g,,,,,,"['FR 68.023.001 CE', 'Beblenheim (Haut-Rhin, France)']",,,,,,
775,French smoked sausage,20681043,,,,['France'],[],[],,,,,,,,,?,,323,,1351 kj(323 kcal),,"26,3",,"11,1",,"4,1",,"4,1",,"17,5",,0,,0,,,,,,,,,,,,,,,,,,,,,,,,,,
776,3760161790437,3760161790437,,,,['France'],[],[],,,,,,,,,?,,?,,,,?,,,,?,,,,?,,,,,,,,,,,,,,,,,,,,"['Bio', 'Agriculture UE/Non UE']",,,,,,,,,,
777,Emmental Français Netto,2611787021843,D,,"['Produits laitiers', 'Produits fermentés', 'Produits laitiers fermentés', 'Fromages', 'Fromages à pâte pressée cuite', 'Fromages de vache', 'Emmentals', 'Fromages de France', 'Emmentals français']",['France'],[],[],29 g,en quantité élevée,20 g,en quantité élevée,0.5 g,en faible quantité,0.51 g,en quantité modérée,?,,369,-3%,1544 kj(369 kcal),-2%,29,-2%,20,+1%,"0,5",-18%,"0,5",+6%,27,-3%,"0,51",-13%,"0,204",-13%,11,-2%,D,-2%,82.8%,8.1%,3.5%,3.6%,1.6%,0.4%,49,,,,,,,,,,,,,,
778,Squidgy pouches,25465082,,,,['France'],"['raspberry: yogurt ', '85%', ' ', 'milk', 'raspberry purée ', '6%', 'sugar', 'modified maize starch', 'natural flavourings', 'plant extracts ', 'chokeberry concentrate', 'concentrated elderberry juice', 'acidity regulator: lactic acid', 'colour: anthocyanins', 'calcium phosphate', 'concentrated lemon juice', 'vitamin d', 'allergy advice: for allergens see ingredients in bold', 'dietary advice: suitable for vegetarians', 'no artificial colours', 'flavourings or preservatives', 'no artificial sweeteners', 'no fruity bits', 'n of fi vit per']",['Non végétalien'],,,,,,,,,?,,84,,351 kj(84 kcal),,3,,2,,11,,"9,9",,"3,5",,"0,13",,"0,052",,,,,,,,,,,,,,,,"['Sans édulcorant artificiel', 'Sans colorants artificiels']",['Lait'],4,,,,"['E270 - Acide lactique', 'E163 - Anthocyanes']",,,,
779,Croustillant végé - Gardein - 300g,0842234000872,,['Gardein'],,"['Canada', 'France']",['chlorhydrate de pyridoxine'],"['Végétalien', 'Végétarien']",,,,,,,,,?,,180,,753 kj(180 kcal),,"4,67",,"0,33",,26,,"12,6",,10,,"0,48",,"0,192",,,,,,,,,,,,,,300 g,,"['Végétarien', 'Végétalien']","['Gluten', 'Soja']",4,,,,"['E340ii - Phosphate dipotassique', 'E1400 - Dextrines', ""E414 - Gomme d'acacia""]",,,,
780,Morri Bio,3363790606065,,,,['France'],[],[],,,,,,,,,?,,?,,,,?,,,,?,,,,?,,,,,,,,,,,,,,,,,,,,['Bio'],,,,,,,,,,
781,Ultra Crème Cuisson -,0055872750553,,,,"['Canada', 'France']","['CRÈME', 'LAIT', 'CARBOXYMÉTHYLCELLULOSE', 'GOMME DE GUAR', 'GOMME DE CAROUBE', 'MONO ET DIGLYCÉRIDES', 'CARRAGHÉNINE']",['Non végétalien'],,,,,,,,,?,,50,,209 kj(50 kcal),,5,,3,,1,,0,,"0,3",,0,,0,,,,,,,,,,,,,,,['creme friche Canada'],,['Lait'],4,,,,"['E466 - Carboxyméthylcellulose', 'E412 - Gomme de guar', 'E410 - Gomme de caroube', 'E407 - Carraghénanes', '', 'Risque élevé de sur-exposition']",,,,
782,Lait entier,7612300001941,D,,"['Produits laitiers', 'Laits']","['France', 'Allemagne']",[],[],3.6 g,en quantité modérée,2.2 g,en quantité modérée,4.9 g,en faible quantité,0.1 g,en faible quantité,?,,270,+309%,1130 kj(270 kcal),+312%,"3,6",+75%,"2,2",+85%,"4,9",-19%,"4,9",-10%,"3,2",-10%,"0,1",-19%,"0,04",-19%,5,+770%,C,+770%,78.7%,1.1%,11.0%,6.0%,3.2%,0.0%,54,,,,,,,,,,,,,,
783,Riz long étuvé - U - 1kg,25623826,,['U'],,['France'],[],[],,,,,,,,,?,,?,,,,?,,,,?,,,,?,,,,,,,,,,,,,,,,,,1kg,,,,,,,,,,,,
784,Délice poulet - Qualité & Prix,7613379445155,,"['Qualité & Prix', 'Coop']",,"['France', 'Allemagne', 'Suisse']",[],[],,,,,,,,,?,,201,,841 kj(201 kcal),,"12,5",,"3,5",,15,,"1,9",,"18,8",,"1,6",,"0,64",,,,,,,,,,,,,,,['stück'],,,,,,,,,,,
785,Lait demi-écrémé,8716200280792,D,,"['Produits laitiers', 'Laits', 'Laits homogénéisés', 'Laits demi-écrémés', 'Laits UHT']",['France'],[],[],1.5 g,en faible quantité,1.1 g,en faible quantité,4.8 g,en faible quantité,0.048 g,en faible quantité,?,,48,+2%,201 kj(48 kcal),+2%,"1,5",-11%,"1,1",+7%,"4,8",0%,"4,8",+0%,"3,6",+11%,"0,048",-57%,"0,019",-57%,0,-100%,B,-100%,78.7%,1.1%,11.0%,6.0%,3.2%,0.0%,54,,,,,,,,,,,,,,
786,Hummus - President's Choice - 454g,0060383035822,B,"[""President's Choice""]","['Aliments et boissons à base de végétaux', ""Aliments d'origine végétale"", 'Produits à tartiner', 'Produits à tartiner salés', 'Pâtes à tartiner végétales', 'Houmous']","['Canada', 'France']","['POIS CHICHES', 'EAU', 'TAHINI ', 'PÂTE DE GRAINES DE SÉSAME', 'HUILE DE CANOLA', 'JUS DE CITRON CONCENTRÉ', 'SEL DE MER', 'AIL', 'ACIDE CITRIQUE']","['Sans huile de palme', 'Végétalien', 'Végétarien']",20 g,en quantité modérée,3.33 g,en quantité modérée,0 g,en faible quantité,1.02 g,en quantité modérée,?,,267,+2%,1120 kj(267 kcal),+2%,20,-1%,"3,33",+35%,"16,7",+58%,0,-100%,10,+54%,"1,02",-2%,"0,406",-2%,0,-100%,B,-100%,51.0%,18.6%,11.1%,13.1%,4.9%,1.3%,91,,454 g,['Plastic'],['Végétarien'],,3,,,['real Canadian Superstore'],['E330 - Acide citrique'],,,,
787,Silicium Source Végétale 100% naturel - ABIOCOM - 3×500ml,3760177501348,,['ABIOCOM'],['Compléments alimentaires'],['France'],['eau osmosée dynamisée'],"['Végétalien', 'Végétarien']",,,,,,,,,?,,0,-100%,0 kj(0 kcal),-100%,?,,,,?,,,,?,,,,,,,,,,,,,,,,,,3×500ml,['bouteilles plastiques'],"['Végétarien', 'Végétalien', 'Source naturelle de calcium']",,,['31880 la Salvetat St Gilles'],['3 760177 501348'],['Marcel & Fils'],,['France'],,,
788,Hubert Rochebois Fine Calvados - Itinéraire des saveurs - 70cl,3250391300099,B,['Itinéraire des saveurs'],"['Boissons', 'Boissons alcoolisées', 'Vins', 'Alcools forts', 'Eaux-de-vie', 'Vins français', 'Eaux-de-vie françaises', 'Calvados']",['France'],[],[],,,,,,,,,?,,?,,,,?,,,,?,,,,?,,,,,,,,,,0.0%,42.1%,42.8%,11.4%,3.6%,0.0%,58,,70cl,['bouteille verre'],,,,,,['Intermarché'],,['France'],,,
789,Cocoaland Lot 100 Mango Gummy - 150g,9556296301488,,['Cocoaland'],,['France'],[],[],,,,,,,,,?,,329,,1377 kj(329 kcal),,0,,0,,"74,6",,"63,5",,"7,4",,"0,1",,"0,04",,,,,,,,,,,,,,150g,,,,,,,,,,,,
790,Arôme Banane - La Pateliere,3278584146002,,['La Pateliere'],,['France'],[],[],,,,,,,,,?,,?,,,,?,,,,?,,,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
791,Ancient grains and nuts granola - Trader Joe’s - 12oz,00563048,,['Trader Joe’s'],,"['France', 'États-Unis']",[],[],,,,,,,,,?,,440,,1841 kj(440 kcal),,20,,8,,58,,16,,10,,"0,3",,"0,12",,,,,,,,,,,,,,12 oz,,,,,,,"[""Trader Joe's""]",,,,,
792,Poule prête à cuire,3280310114223,,,,['France'],[],[],,,,,,,,,?,,150,,628 kj(150 kcal),,7,,"1,5",,1,,"0,5",,21,,"0,1",,"0,04",,,,,,,,,,,,,,,,,,,,,,,,,,
793,Capes dolé menthe,3328720000474,,,"['Boissons', 'Boissons sans alcool']",['France'],[],[],,,,,,,,,?,,?,,,,?,,,,?,,,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
794,Caramels Bretons au beurre salé - La Maison d'Armorine,3561770000074,,"[""La Maison d'Armorine""]",,['France'],[],[],,,,,,,,,?,,418,,1749 kj(418 kcal),,"12,5",,7,,72,,"47,4",,"4,3",,"1,08",,"0,432",,,,,,,,,,,,,,,,,,,,,,,,,,
795,Miel,5060298570215,,,,['France'],[],[],,,,,,,,,?,,333,,1393 kj(333 kcal),,"0,5",,"0,1",,83,,70,,"0,5",,"0,02",,"0,008",,,,,,,,,,,,,,,,"['Bio', 'Bio européen', 'GB-ORG-05']",,,,,,,,,,
796,green qi - modere - 120g,16023,,['Modere'],['Compléments alimentaires'],['France'],"['Rijk aan vezels ', 'activated pre sprouted barley""', 'lijnzaadpoeder ', 'Linum usitatissimum', 'sirdina poeder ', 'Spirulina platensis', 'chlorella poeder ', 'Chiorela vulgaris', 'gerstegras poeder ', 'Hordeum vulgare', 'frambozenbladpoeder ', 'Rubus idaeus', 'blauwe bosbessenpoeder ', 'Vaccinium myrtillus', 'natie NGREDIENTEN: Poeder uit voorgekiemde gerst ', 'Hordeum vulgare 30 GEBRUIKSAANWZING: Meng een volle lepel ', '4 gr', ' met 200 ml water OPELET: Niet gebruiken tijdens de zwangerschap', ' Raadpleeg Uwarts BEWARING: GOED GESLOTEN HOUDEN']",[],,,,,,,,,?,,?,,,,?,,,,?,,,,?,,,,,,,,,,,,,,,,,,120 g,,"['Bio', 'Riche en fibres']",,,,,,,,,,
797,Myrtilles organic bio eco - Pur natur - 250g,5410986059421,D,['Pur natur'],"['Aliments et boissons à base de végétaux', ""Aliments d'origine végétale"", 'Aliments à base de fruits et de légumes', 'Produits à tartiner', 'Petit-déjeuners', 'Fruits et produits dérivés', 'Pâtes à tartiner végétales', 'Produits à tartiner sucrés', 'Confitures et marmelades', 'Confitures', 'Confitures de fruits rouges', 'Confitures de myrtilles']",['France'],[],[],0 g,en faible quantité,0 g,en faible quantité,59 g,en quantité élevée,0 g,en faible quantité,?,,225,+3%,941 kj(225 kcal),+2%,0,-100%,0,-100%,63,+18%,59,+16%,"0,3",-23%,0,-100%,0,-100%,11,+19%,D,+19%,75.0%,7.5%,10.3%,5.1%,1.7%,0.4%,50,,250 g,,['Bio'],,,,,,,,,,
798,Beurre de baratte fermier - La Ferme de la Sablonnière - 250g,3760093420051,E,['La Ferme de la Sablonnière'],"['Produits laitiers', 'Matières grasses', 'Produits à tartiner', 'Matières grasses à tartiner', 'Matières grasses animales', 'Matière grasse laitière', 'Produits laitiers à tartiner', 'Beurres', 'Beurres demi-sel', 'Beurres crus']",['France'],"['lait', 'ferment', 'sel']","['Sans huile de palme', 'Non végétalien', 'Peut-être végétarien']",,,,,,,,,?,,?,,,,?,,,,?,,,,?,,,,,,,,,,91.5%,4.9%,1.3%,1.2%,0.8%,0.2%,27,,250g,['Frais'],,['Lait'],2,,"['FR 35.129.008 CE', 'Guipry (Ille-et-Vilaine, France)']",,,,,,
799,lait hydra-nourrissant - SOTHYS - 400ml,3454221131949,,['SOTHYS'],,['France'],[],[],,,,,,,,,?,,?,,,,?,,,,?,,,,?,,,,,,,,,,,,,,,,,,400 ml,,,,,,,['esthétique'],,,,,
800,Neuradapt -,3401548255360,,,,['France'],[],[],,,,,,,,,?,,?,,,,?,,,,?,,,,?,,,,,,,,,,,,,,,,,,,,['Sans colorants'],,,,,,,,,,
801,Thym chicorée - Avec Plaisir !,3067140037232,,['Avec Plaisir !'],"['Aliments et boissons à base de végétaux', ""Aliments d'origine végétale"", 'Epicerie', 'Condiments', 'Plantes condimentaires', 'Plantes aromatiques']",['France'],[],[],,,,,,,,,?,,?,,,,?,,,,?,,,,?,,,,,,,,,,,,,,,,,,,,"['Bio', 'Bio européen', 'AB Agriculture Biologique']",,,,,,,,,,
802,Rose Wisdom,8716716060178,,,,['France'],[],[],,,,,,,,,?,,?,,,,?,,,,?,,,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
803,Blé Integral au miel - Salutem - 250g,5601557025628,,['Salutem'],"['Aliments et boissons à base de végétaux', ""Aliments d'origine végétale"", 'Céréales et pommes de terre', 'Graines', 'Céréales et dérivés', 'Céréales en grains', 'Blés']","['France', 'Espagne']",[],[],7.8 g,en quantité modérée,3.7 g,en quantité modérée,45.2 g,en quantité élevée,0.013 g,en faible quantité,?,,432,+32%,1807 kj(432 kcal),+30%,"7,8",+208%,"3,7",+745%,"84,8",+42%,"45,2",+1848%,"4,7",-61%,"0,013",-81%,"0,005",-81%,18,,D,,,,,,,,,,250 g,,,,,,,,,,,,
804,Magret de canard,2872485053073,E,,"['Viandes', 'Plats préparés', 'Produits à la viande', 'Plats préparés à la viande', 'Volailles', 'Plats à la volaille', 'Plats au canard', 'Canards', 'Magrets de canard']",['France'],[],[],,,,,,,,,?,,?,,,,?,,,,?,,,,?,,,,,,,,,,81.9%,9.6%,2.1%,2.2%,1.1%,3.1%,28,,,,['IGP'],,,,"['FR 40.119.007 CE', 'Hagetmau (Landes, France)']",,,,,,
805,Gazpacho Andaluz,8437001133246,B,,"['Aliments et boissons à base de végétaux', ""Aliments d'origine végétale"", 'Aliments à base de fruits et de légumes', 'Plats préparés', 'Soupes', 'Soupes de légumes', 'Soupes froides', 'Gaspacho']",['France'],[],[],4.3 g,en quantité modérée,0.7 g,en faible quantité,3.1 g,en faible quantité,0.8 g,en quantité modérée,?,,62,+51%,259 kj(62 kcal),+50%,"4,3",+76%,"0,7",+81%,"4,2",+25%,"3,1",+22%,"0,9",+14%,"0,8",+20%,"0,32",+20%,3,+152%,C,+152%,8.9%,40.5%,20.0%,12.5%,12.7%,5.4%,98,,,,,,,,,,,,,,
806,Myrtilles sauvages séchées bio - Direct Producteurs Fruits Secs - 100g,3760159011834,A,['Direct Producteurs Fruits Secs'],"['Aliments et boissons à base de végétaux', ""Aliments d'origine végétale"", 'Aliments à base de fruits et de légumes', 'Fruits et produits dérivés', 'Produits déshydratés', 'Fruits', 'Aliments à base de plantes séchées', 'Fruits rouges', 'Fruits secs', 'Myrtilles']",['France'],"['myrtilles', 'sucre', 'huile de tournesol']","['Sans huile de palme', 'Végétalien', 'Végétarien']",2.8 g,en faible quantité,0.2 g,en faible quantité,55 g,en quantité élevée,0 g,en faible quantité,?,,284,+358%,1188 kj(284 kcal),+359%,"2,8",+680%,"0,2",+377%,55,+272%,55,+330%,"2,8",+379%,0,-100%,0,-100%,2,,B,,90.0%,0.0%,0.0%,5.0%,4.8%,0.2%,87,Myrtilles sauvages séchées,100 g,['Sachet'],"['Bio', 'Bio européen', 'AB Agriculture Biologique']",,3,['Finlande'],,['Magasins bio'],,,http://www.directproducteursfruitssecs.com/fruitsec/?produit=myrtilles&id=54,,
807,Crunch Biscuit - Nestle - 100g,8000300339413,,['Nestle'],,['France'],[],[],,,,,,,,,?,,522,,2184 kj(522 kcal),,28,,"17,2",,62,,51,,"5,9",,"0,44",,"0,176",,,,,,,,,,,,,,100 g,,,,,,,,,,,,
808,Chiafrön,7312631203204,,,,['France'],[],[],,,,,,,,,?,,440,,1841 kj(440 kcal),,31,,3,,6,,"0,4",,16,,"0,05",,"0,02",,,,,,,,,,,,,,,,,,,,,,,,,,
809,100% Pur jus Raisin rouge - La Vie Claire,3266191440033,D,['La Vie Claire'],"['Aliments et boissons à base de végétaux', 'Boissons', 'Boissons à base de végétaux', 'Boissons aux fruits', 'Jus et nectars', 'Jus de fruits', 'Jus de raisin', 'Jus de fruits pur jus', 'Jus de raisin pur jus']",['France'],[],[],,,,,,,,,?,,?,,,,?,,,,?,,,,?,,,,,,,,,,58.5%,3.8%,10.1%,20.0%,6.0%,1.7%,51,,,,['Bio'],,,,,['La Vie Claire'],,,,,
810,Pruneau,2609916031498,E,,"['Aliments et boissons à base de végétaux', ""Aliments d'origine végétale"", 'Aliments à base de fruits et de légumes', 'Fruits et produits dérivés', 'Produits déshydratés', 'Aliments à base de plantes séchées', 'Fruits secs', 'Pruneaux']",['France'],[],[],0.5 g,en faible quantité,0.1 g,en faible quantité,35 g,en quantité élevée,0 g,en faible quantité,?,,245,+3%,1025 kj(245 kcal),+2%,"0,5",+35%,"0,1",-19%,55,+4%,35,-3%,2,+6%,0,-100%,0,-100%,4,+80%,C,+80%,73.8%,22.6%,1.7%,0.7%,1.2%,0.0%,24,,,,,,,,,,,,,,
811,"Saucisse pistache à cuire, LES BRASERADES, barquette",3387620034200,,,,['France'],[],[],,,,,,,,,?,,232,,971 kj(232 kcal),,20,,"7,9",,"0,7",,"0,7",,13,,2,,"0,8",,,,,,,,,,,,,,,,,,,,,,,,,,
812,Flocon d'avoine - Nutridia,5400910300231,B,['Nutridia'],"['Aliments et boissons à base de végétaux', ""Aliments d'origine végétale"", 'Céréales et pommes de terre', 'Petit-déjeuners', 'Céréales et dérivés', 'Céréales pour petit-déjeuner', 'Flocons', 'Flocons de céréales', 'Flocons laminés', ""Flocons d'avoine""]",['France'],[],[],7 g,en quantité modérée,1.2 g,en faible quantité,1 g,en faible quantité,0.025 g,en faible quantité,?,,381,+3%,1594 kj(381 kcal),+3%,7,-1%,"1,2",-4%,62,+4%,1,-39%,"13,5",+10%,"0,025",-19%,"0,01",-19%,0,,B,,82.4%,1.1%,6.8%,7.0%,2.7%,0.0%,79,,,,['Bio'],,,,,,,,,,
813,Tortillas,3700952001236,,,,['France'],[],[],,,,,,,,,?,,298,,1247 kj(298 kcal),,"7,6",,2,,"49,7",,"2,1",,"7,3",,"1,2",,"0,48",,,,,,,,,,,,,,,,,,,,,,,,,,
814,Langue de bœuf sauce piquante - 2X225g,3274470001868,E,,"['Viandes', 'Bœuf', 'Préparations de viande', 'Préparations de viande bovine', 'Langues de bœuf', 'Langues de bœuf sauce piquante']",['France'],[],[],9.9 g,en quantité modérée,4 g,en quantité modérée,0.4 g,en faible quantité,0.93 g,en quantité modérée,?,,147,-1%,615 kj(147 kcal),-1%,"9,9",+0%,4,+0%,"3,3",-17%,"0,4",-69%,"10,8",+3%,"0,93",-6%,"0,372",-6%,3,-35%,C,-35%,97.7%,0.4%,0.8%,0.7%,0.4%,0.1%,10,,2X225 g,,,,,,,,,,,,
815,Fromage brebis petit basque,0201415099447,,,,['France'],[],[],,,,,,,,,?,,413,,1728 kj(413 kcal),,"35,9",,"25,5",,"0,2",,"0,2",,"22,3",,"1,8",,"0,72",,,,,,,,,,,,,,,,,,,,,,,,,,
816,Kraky Salted Crackers,0776992500131,,,,['France'],[],[],,,,,,,,,?,,360,,1506 kj(360 kcal),,10,,6,,56,,8,,8,,"0,5",,"0,2",,,,,,,,,,,,,,,,,,,,,,,,,,
817,Croquants à la framboise - Jules Destrooper,5410471909774,C,['Jules Destrooper'],"['Snacks', 'Snacks sucrés', 'Biscuits et gâteaux', 'Biscuits']","['Belgique', 'France']","['Farine de blé', 'sucre', 'beurre ', '18%', ' ', 'lait', 'préparation de framboises ', '4,4%', ' ', 'purée de framboises', 'sirop de fructose-glucose', 'sirop de glucose', 'sucre', 'fibre de blé', 'gélifiant pectines concentrer ', 'carotte', 'cassis', 'myrtille', ""correcteur d'acidité: acide citrique"", 'acide malique', 'arôme naturel', 'oeufs de poules élevées au sol', 'sirop de candi', 'amidon de pomme de terre', 'poudre à lever: bicarbonate de sodium', ' arôme naturel', 'sel marin', 'cannelle']",[],16 g,en quantité modérée,9.9 g,en quantité élevée,34 g,en quantité élevée,0.19 g,en faible quantité,?,,424,-11%,1774 kj(424 kcal),-11%,16,-23%,"9,9",-2%,65,+2%,34,+15%,"4,8",-26%,"0,19",-68%,"0,076",-68%,21,+6%,E,+6%,80.3%,11.4%,3.7%,2.4%,2.2%,0.0%,58,Biscuits à la framboise,,,['Pur beurre'],,,,,,,,,,
818,Petits pois carottes - Findus,7613035802193,B,['Findus'],"['Aliments et boissons à base de végétaux', ""Aliments d'origine végétale"", 'Aliments à base de fruits et de légumes', 'Surgelés', 'Légumes et dérivés', 'Aliments à base de plantes surgelés', 'Légumes surgelés', 'Petits pois et carottes surgelés']","['France', 'Suisse']",[],[],0.3 g,en faible quantité,0 g,en faible quantité,1.5 g,en faible quantité,0.03 g,en faible quantité,266,,63,+17%,266 kj(63 kcal),+21%,"0,3",-28%,0,-100%,"10,4",+50%,"1,5",-59%,"4,1",+18%,"0,03",-55%,"0,012",-55%,-8,,A,,40.5%,21.3%,10.4%,11.0%,10.7%,6.2%,94,,,['Sachet plastique'],,,,,,,,,,,
819,"Spinazie à La Creme Portie 83 Gram Zak 2,5 Kilo - Bonduelle",3083680592505,,['Bonduelle'],,['France'],[],[],,,,,,,,,?,,36,,151 kj(36 kcal),,"1,5",,"0,7",,"2,4",,"0,6",,"2,2",,"0,6",,"0,24",,,,,,,,,,,,,,,,,,,,,,,,,,
820,Assortiment Favoritas Gran Seleccion,8411192030010,,,,['France'],[],[],,,,,,,,,?,,?,,,,?,,,,?,,,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
821,Mélange sans gluten pain aux graines,4250093330027,,,,['France'],[],[],,,,,,,,,?,,245,,1025 kj(245 kcal),,8,,"1,5",,"38,1",,"0,3",,"3,5",,"1,65",,"0,66",,,,,,,,,,,,,,,,['en:gluten-free'],,,,,,,,,,
822,6 Oeufs,3760058480113,,,,['France'],[],[],,,,,,,,,?,,?,,,,?,,,,?,,,,?,,,,,,,,,,,,,,,,,,,,"['Bio', 'Bio européen', 'FR-BIO-09', 'AB Agriculture Biologique']",,,,,,,,,,
823,Tapas de Poulpes au caviar d'aubergines et poivrons - Pêcheur de Saveurs,3418840570367,,['Pêcheur de Saveurs'],"['Aliments et boissons à base de végétaux', ""Aliments d'origine végétale"", 'Produits à tartiner', 'Pâtes à tartiner végétales', ""Caviars d'aubergine""]",['France'],[],[],9.2 g,en quantité modérée,0.9 g,en faible quantité,1.2 g,en faible quantité,1 g,en quantité modérée,?,,158,-15%,661 kj(158 kcal),-14%,"9,2",-45%,"0,9",-57%,"1,3",-75%,"1,2",-60%,17,+990%,1,-12%,"0,4",-12%,0,-100%,B,-100%,,,,,,,,,,,"['Sans colorants', 'Sans conservateurs', 'en:produced-in-bretagne']",,,,,,,,,,
824,Poulet fermier roti labelrouge,0202169051828,,,,['France'],[],[],,,,,,,,,?,,?,,,,?,,,,?,,,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
825,Flan pâtissier - Pâturages - 400g (4×100g),01223411,B,['Pâturages'],"['Biscuits et gâteaux', 'Pâtisseries', 'Flans pâtissiers']",['France'],"['lait entier 68%', 'œufs entiers extra frais pasteurisés 18%', 'sucre', 'amidon modifié de maïs', 'arôme', 'poudre de lait écrémé', 'gélifiants ', 'carraghénanes', 'épaississant ', 'farine de graines de caroube', 'colorants ', 'curcumine', 'rocou']","['Sans huile de palme', 'Non végétalien', 'Peut-être végétarien']",4.5 g,en quantité modérée,2.5 g,en quantité modérée,15 g,en quantité élevée,,,531,-44%,?,,531 kj(127 kcal),-40%,"4,5",-42%,"2,5",-46%,16,-45%,15,-15%,5,+37%,,,,,,,,,71.0%,14.6%,7.1%,3.5%,3.7%,0.0%,81,Flan pâtissier,400 g (4×100 g),['Cardboard'],,"['Œufs', 'Lait']",4,,,['Intermarché'],"['E14XX - Amidons modifiés', 'E407 - Carraghénanes', '', 'Risque élevé de sur-exposition', 'E410 - Gomme de caroube', 'E100 - Curcumine', 'E160b - Rocou']",,,,
826,"Farinade Francine Pour Poisson 120 gr, 3 Sachets - 2",3068112201613,,['Francine'],,['France'],[],[],,,,,,,,,?,,?,,,,?,,,,?,,,,?,,,,,,,,,,,,,,,,,,2,,,,,,,,,,,,
