,name,bar_code,eco_score,brand,categories,sales_countries,ingredients_list,ingredients_analysis,fats_lipids_quantity,fats_lipids_comment,saturated_acids_quantity,saturated_acids_comment,sugar_quantity,sugar_comment,salt_quantity,salt_comment,nutriment_energy-kj_tr,nutriment_energy-kj_tr_diff,nutriment_energy-kcal_tr,nutriment_energy-kcal_tr_diff,nutriment_energy_tr,nutriment_energy_tr_diff,nutriment_fat_tr,nutriment_fat_tr_diff,nutriment_saturated-fat_tr,nutriment_saturated-fat_tr_diff,nutriment_carbohydrates_tr,nutriment_carbohydrates_tr_diff,nutriment_sugars_tr,nutriment_sugars_tr_diff,nutriment_proteins_tr,nutriment_proteins_tr_diff,nutriment_salt_tr,nutriment_salt_tr_diff,nutriment_sodium_tr,nutriment_sodium_tr_diff,nutriment_nutrition-score-fr_tr,nutriment_nutrition-score-fr_tr_diff,nutriment_nutriscore_tr,nutriment_nutriscore_tr_diff,Agriculture,Transformation,Conditionnement,Transport,Distribution,Consommation,Score_ACV,generic_name,quantity,packaging,labels,allergens,nova_score,manufacturing,traceability_code,markets,additives,ingredients_origins,link,palm_ingredients,brand_owner
20,The glace bali - Dammann Frères,3259920007669,,['Dammann Frères'],,['France'],[],[],,,,,,,,,?,,?,,,,?,,,,?,,,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
21,Café Biologique - Agrobio test - 150g,0055789050777,,['Agrobio test'],"['en:Tests', 'Tests']","['Canada', 'France']",[],[],0 g,en faible quantité,0 g,en faible quantité,1 g,en faible quantité,0 g,en faible quantité,?,,5,-98%,21 kj(5 kcal),-98%,0,-100%,0,-100%,2,-90%,1,-87%,"0,1",-98%,0,-100%,0,-100%,0,,B,,,,,,,,,,150g,,['Bio'],,,,,,,,,,
22,Eco Blåbärssylt - ICA - 400g,7318690003298,D,['ICA'],"['Aliments et boissons à base de végétaux', ""Aliments d'origine végétale"", 'Aliments à base de fruits et de légumes', 'Produits à tartiner', 'Petit-déjeuners', 'Fruits et produits dérivés', 'Pâtes à tartiner végétales', 'Produits à tartiner sucrés', 'Confitures et marmelades', 'Confitures', 'Confitures de fruits rouges', 'Confitures de myrtilles']",['France'],"['Blåbär', 'socker', 'vatten', 'förtjockningsmedel ', 'pektin', ' citronjuice', ' *KRAV-ekologisk ingrediens', ' ""Ekologisk ingrediens', ' Ursprung blåbar: Sverige Bärmängd: 55 g per 100 g sylt', ' Total mängd socker 41g,varav tillsatt socker 36g per 100g sylt']",[],0.5 g,en faible quantité,0.5 g,en faible quantité,40 g,en quantité élevée,0 g,en faible quantité,?,,170,-22%,711 kj(170 kcal),-23%,"0,5",+92%,"0,5",+1029%,41,-23%,40,-21%,"0,5",+28%,0,-100%,0,-100%,9,-2%,C,-2%,75.0%,7.5%,10.3%,5.1%,1.7%,0.4%,50,,400 g,,"['Bio', 'Catégorie “Extra”']",,4,,,,,,,,
23,Gommes à la réglisse - Auzier Chabernac,3352751100032,E,['Auzier Chabernac'],"['Snacks', 'Snacks sucrés', 'Confiseries', 'Bonbons']",['France'],[],"['Végétalien', 'Végétarien']",0.2 g,en faible quantité,0.1 g,en faible quantité,2.2 g,en faible quantité,0.1 g,en faible quantité,?,,267,-25%,1117 kj(267 kcal),-26%,"0,2",-89%,"0,1",-91%,"58,1",-30%,"2,2",-96%,"1,2",-43%,"0,1",-17%,"0,04",-17%,3,-79%,C,-79%,90.3%,5.0%,2.2%,2.0%,0.5%,0.0%,34,,,,"['Végétarien', 'Végétalien', 'Fabriqué en France']",,,,,,,,,,
24,Buoni senza - Céréal,3175681215665,,['Céréal'],,['France'],[],[],,,,,,,,,?,,381,,1594 kj(381 kcal),,"0,8",,"0,2",,87,,"1,1",,"4,5",,1,,"0,4",,,,,,,,,,,,,,,,['en:gluten-free'],,,,,,,,,,
25,Fromage de chevre fermier au lait cru,3770008930179,,,,['France'],[],[],,,,,,,,,?,,?,,,,?,,,,?,,,,?,,,,,,,,,,,,,,,,,,,,,,,,"['FR 84.078.085 CE', 'Mondragon (Vaucluse, France)']",,,,,,
26,Petit fourré myrtille sans gluten et bio -,5413143017159,C,,"['Snacks', 'Snacks sucrés', 'Biscuits et gâteaux', 'Biscuits', 'Biscuits secs', 'Biscuits fourrés', 'Biscuits sablés']",['France'],[],[],8.9 g,en quantité modérée,2.2 g,en quantité modérée,31 g,en quantité élevée,0.59 g,en quantité modérée,?,,376,-20%,1573 kj(376 kcal),-20%,"8,9",-54%,"2,2",-74%,69,+3%,31,-6%,"3,7",-36%,"0,59",+6%,"0,236",+6%,14,-29%,D,-29%,80.5%,11.6%,3.5%,2.3%,2.1%,0.0%,56,Biscuits sablés aux fruits  fourrés à la myrtille,,,"['Bio', 'en:gluten-free']",,,,,,,,,,
27,Nougat aux amandes - 80g,3543930402072,,,,['France'],[],[],,,,,,,,,?,,490,,2050 kj(490 kcal),,"22,9",,"2,2",,61,,"12,4",,"9,9",,"0,1",,"0,04",,,,,,,,,,,,,,80 g,,"['Bio', 'Bio européen', 'FR-BIO-10']",,,,,,,,,,
28,Vinaigre de vin,3263850049118,B,,"['Vinaigres', 'Vinaigres de vin']",['France'],[],[],,,,,,,,,?,,?,,,,?,,,,?,,,,?,,,,,,,,,,39.4%,16.4%,33.5%,8.2%,2.4%,0.0%,91,,,,,,,,,,,,,,
29,Palmier pur beurre -,3276550565925,C,,"['Snacks', 'Snacks sucrés', 'Biscuits et gâteaux', 'Biscuits', 'Biscuits feuilletés', 'Palmiers']",['France'],[],[],,,,,,,,,?,,?,,,,?,,,,?,,,,?,,,,,,,,,,79.4%,12.3%,3.8%,2.3%,2.3%,0.0%,59,,,,,,,,,,,,,,
30,Tuffade du Cantal - 380g,3303700001498,,,,['France'],[],[],,,,,,,,,?,,166,,695 kj(166 kcal),,10,,"5,3",,11,,0,,"7,6",,"0,7",,"0,28",,,,,,,,,,,,,,380 g,,,,,,,,,,,,
