,name,bar_code,quantity,traceability_code,sales_countries,ingredients_list,ingredients_analysis,nutriment_energy-kj_tr,nutriment_energy-kcal_tr,nutriment_energy_tr,nutriment_fat_tr,nutriment_saturated-fat_tr,nutriment_carbohydrates_tr,nutriment_sugars_tr,nutriment_proteins_tr,nutriment_salt_tr,nutriment_sodium_tr,labels,eco_score,categories,fats_lipids_quantity,fats_lipids_comment,saturated_acids_quantity,saturated_acids_comment,sugar_quantity,sugar_comment,salt_quantity,salt_comment,nutriment_energy-kj_tr_diff,nutriment_energy-kcal_tr_diff,nutriment_energy_tr_diff,nutriment_fat_tr_diff,nutriment_saturated-fat_tr_diff,nutriment_carbohydrates_tr_diff,nutriment_sugars_tr_diff,nutriment_proteins_tr_diff,nutriment_salt_tr_diff,nutriment_sodium_tr_diff,nutriment_nutrition-score-fr_tr,nutriment_nutrition-score-fr_tr_diff,nutriment_nutriscore_tr,nutriment_nutriscore_tr_diff,Agriculture,Transformation,Conditionnement,Transport,Distribution,Consommation,Score_ACV,brand,allergens,packaging,additives,nova_score,generic_name,palm_ingredients,manufacturing,link,ingredients_origins,markets,brand_owner
20,Poulet et risotto aux cèpes - Fleury Michon,3399740606106,,,['France'],[],[],?,123,515 kj(123 kcal),"5,5",3,13,1,"5,3","0,67","0,268",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,['Fleury Michon'],,,,,,,,,,,
21,Poulet grillé et duo de purées - Fleury Michon,3399746139028,,,['France'],[],[],?,104,435 kj(104 kcal),"4,8","2,7","9,2","2,9","5,1","0,8","0,32",['Nutriscore'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,['Fleury Michon'],,,,,,,,,,,
22,Pesti orange,3399768000436,,,['France'],[],[],?,296,1238 kj(296 kcal),30,"4,4","3,2","1,5","2,5","1,4","0,56",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
23,Paté kadimah au foie de volaille -  - 130g,3399820000367,130 g,,['France'],[],[],?,285,1192 kj(285 kcal),33,"13,7","0,3","0,2","7,1","2,2","0,88",,D,"['Viandes', 'Charcuteries', 'Charcuteries diverses', 'Pâté', 'Pâtés de foie de volaille']",33 g,en quantité élevée,13.7 g,en quantité élevée,0.2 g,en faible quantité,2.2 g,en quantité élevée,,-6%,-5%,+35%,+56%,-81%,-60%,-32%,+39%,+39%,22,+21%,E,+21%,74.1%,17.7%,4.6%,2.1%,1.2%,0.3%,39,,,,,,,,,,,,
24,Sirop de cola,33918044,,,['France'],[],[],?,348,1456 kj(348 kcal),0,0,"83,4","8,1",0,,,,B,"['Boissons', 'Sirops', 'Sirops aromatisés', 'Sirops cola']",,,,,,,,,,+91%,+91%,-100%,-100%,+87%,-79%,-100%,,,,,,,58.3%,8.5%,16.3%,7.9%,7.3%,1.6%,100,,,,,,,,,,,,
25,Yab,33925325,,,['France'],[],[],?,72,301 kj(72 kcal),"1,3","0,9",12,12,"3,1","0,08","0,032",['Sans colorants'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
26,Crunchy bar,33955131,,,['France'],[],[],?,426,1782 kj(426 kcal),17,"9,6",39,23,32,"0,5","0,2",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
27,Olives cassées à l'ail - Bazardier,3400469194789,,,['France'],"['ln rédietis Olives vedes entières ', 'sel', 'huile de colza', 'ail 0,13% hèìtve de Provence ', 'romarin', 'sarriette', 'origan', 'thym', 'basilicj Olives diimportation conditionnées sous atmosphère protectrice', ' Contient des sulfites', ' poisson', 'lupin et amande']","['Non végétalien', 'Non végétarien']",?,186,778 kj(186 kcal),18,"2,43","2,8","0,4","1,4","3,3","1,32",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,['Bazardier'],"['Poisson', 'Lupin', 'Fruits à coque', 'Anhydride sulfureux et sulfites']",,,,,,,,,,
28,Farce a légume -,3400800200018,,,['France'],[],[],?,226,946 kj(226 kcal),17,7,"1,9","0,9",16,"1,9","0,76",['Sans colorants'],,"['Viandes', 'Préparations de viande', 'Préparations de viande hachée', 'Farces']",17 g,en quantité modérée,7 g,en quantité élevée,0.9 g,en faible quantité,1.9 g,en quantité élevée,,-6%,-4%,-6%,+5%,-19%,-9%,+9%,+7%,+7%,16,-1%,D,-1%,,,,,,,,,,,,,,,,,,,
29,Les Galettes de légumes -,3400930018972,,,['France'],[],[],?,95,397 kj(95 kcal),"5,1","1,3","7,3","4,3","3,4","0,7","0,28","['Sans colorants', 'Sans conservateurs']",,"['Snacks', 'Snacks salés', 'Plats préparés', 'Légumes préparés', 'Galettes de légumes']",5.1 g,en quantité modérée,1.3 g,en faible quantité,4.3 g,en faible quantité,0.7 g,en quantité modérée,,-40%,-38%,-29%,+25%,-45%,+54%,-39%,-24%,-24%,3,,C,,,,,,,,,,,,,,,,,,,,
30,Eau Oxygénée Gilbert 10 Volumes,3400933160111,,,['France'],[],[],?,0,0 kj(0 kcal),0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
31,3400933789572,3400933789572,,,['France'],[],[],?,?,,?,,?,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
32,Niquitin menthe douce comprimés à sucet - Omega pharma - 96,3400934702785,96,,['France'],[],[],?,?,,?,,?,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,['Omega pharma'],,,,,,,,,,,
33,povidone iodée - 125ml,3400935068811,125 ml,,['France'],[],[],?,?,,?,,?,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
34,Eau Oxygénée Cooper 10 Volumes,3400935598028,,,['France'],[],[],?,0,0 kj(0 kcal),0,0,0,0,33,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
35,Fluoxetine,3400936584211,,,['France'],[],[],?,?,,?,,?,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,['boîte'],,,,,,,,,
