,name,bar_code,quantity,traceability_code,sales_countries,ingredients_list,ingredients_analysis,nutriment_energy-kj_tr,nutriment_energy-kcal_tr,nutriment_energy_tr,nutriment_fat_tr,nutriment_saturated-fat_tr,nutriment_carbohydrates_tr,nutriment_sugars_tr,nutriment_proteins_tr,nutriment_salt_tr,nutriment_sodium_tr,labels,eco_score,categories,fats_lipids_quantity,fats_lipids_comment,saturated_acids_quantity,saturated_acids_comment,sugar_quantity,sugar_comment,salt_quantity,salt_comment,nutriment_energy-kj_tr_diff,nutriment_energy-kcal_tr_diff,nutriment_energy_tr_diff,nutriment_fat_tr_diff,nutriment_saturated-fat_tr_diff,nutriment_carbohydrates_tr_diff,nutriment_sugars_tr_diff,nutriment_proteins_tr_diff,nutriment_salt_tr_diff,nutriment_sodium_tr_diff,nutriment_nutrition-score-fr_tr,nutriment_nutrition-score-fr_tr_diff,nutriment_nutriscore_tr,nutriment_nutriscore_tr_diff,Agriculture,Transformation,Conditionnement,Transport,Distribution,Consommation,Score_ACV,brand,allergens,packaging,additives,nova_score,generic_name,palm_ingredients,manufacturing,link,ingredients_origins,markets,brand_owner
1239,15 Mini Wraps Saumon - Bretzel Burgard - 95g,3422827090427,95 g,,['France'],"['saumon fumé et fromage frais', 'au concombre et aux oignons 48,8 % ', 'saumon fumé 50 % ', 'saumon ', 'Salmo salar', ' ', 'POISSON', ' ', 'Norvège', ' fumé au bois de hêtre', 'sel', 'fromage frais 30,8 % ', 'LAT', 'brunoise de concombre 14,5 % ', 'concombre frais', 'sauce mayonnaise ', 'huile de colza', 'moutarde de Dijon ', 'eau', 'graines de MOUTARDE', 'vinaigre', 'sel', 'acidifiant : E330', 'antioxygène : E224 ', 'SULFITES', ""jaune d'ŒUF vinaigre d'alcool"", 'sel', 'saccharose', 'amidon modifié de pomme de terre', 'épaississants : E412-E415', 'fromage blanc ', 'LAIT', 'sel', 'aneth', 'menthe', 'acidifiant : E330', 'conservateur : E200', 'épaississants : E412- E415', 'oignons rouges 3,6 %', 'jus citron ', 'eau', 'jus de fruits à base de concentrés ', 'citron', 'orange', 'pulpes', 'acidifiant : E330', 'arômes naturels de citron avec autres arômes naturels', 'antioxydant : E300', 'ciboulette', 'tortilla de blé 47 % ', 'farine de blé ', 'GLUTEN', 'eau', 'huile de colza', 'poudres à lever: E500 - E450', 'dextrose de blé', 'acidifiant E296', 'sel', 'roquette']","['Non végétalien', 'Non végétarien']",943,?,943 kj(225 kcal),10,"3,8",23,"1,6",10,"1,3","0,52","['Point Vert', 'Fumé au bois de hêtre', 'Décongelé']",,"['Plats préparés', 'Sandwichs', 'Plats préparés au poisson', 'Réfrigérés', 'Plats préparés réfrigérés', 'Entrées', 'Wraps']",10 g,en quantité modérée,3.8 g,en quantité modérée,1.6 g,en faible quantité,1.3 g,en quantité modérée,+0%,,-2%,+10%,+69%,-11%,-34%,+15%,+13%,+13%,4,-0%,C,-0%,,,,,,,,['Bretzel Burgard'],"['Œufs', 'Poisson', 'Gluten', 'Lait', 'Moutarde', 'Anhydride sulfureux et sulfites']","['Frais', 'Plastique', 'Carton', 'décongelé']","['E330 - Acide citrique', 'E224 - Disulfite de potassium', '', 'Risque élevé de sur-exposition', 'E14XX - Amidons modifiés', 'E412 - Gomme de guar', 'E415 - Gomme xanthane', 'E200 - Acide sorbique', '', 'Risque élevé de sur-exposition', 'E300 - Acide ascorbique', 'E500 - Carbonates de sodium', 'E450 - Diphosphates', '', 'Risque élevé de sur-exposition', 'E296 - Acide malique']",4,,,,,['Norvège'],['Auchan'],
1240,15 Mini wraps jambon cru,3422827090434,,,['France'],[],[],?,274,1146 kj(274 kcal),11,"4,4",24,"1,2",14,"2,2","0,88",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1241,12 Mini Black Burgers au Saumon - Bretzel Burgard - 170g,3422827090847,170 g,,['France'],"['Mini buns noirs aux graines de sésame 48,5 % ', 'mini buns noirs ', 'farine spéciale ', 'farine de blé tendre ', 'GLUTEN', 'poudre au beurre ', 'beurre ', 'LAIT', ' - protéines de LAIT - perméat de lactosérum  ', 'LAIT', 'sucre', ""sel - dextrose de blé - poudre de jaune d'ŒUF "", 'pondu en plein air', 'GLUTEN de blé', 'émulsifiant: E471', 'farine de blé malté ', 'GLUTEN', 'agent de traitement de la farine E300', 'eau', 'levure', 'colorant E153', 'graines de SÉSAME 12,5 %', 'saumon fumé 21,2%  ', 'saumon ', 'Salmo salar', ' ', 'POISSON', ' ', 'Norvège', ' fumé au bois de hêtre', 'sel', 'fromage aromatisé au tzatziki 18,2 % ', 'fromage ', 'fromage frais ', 'LAIT', 'sel', 'LAIT demi- écrémé arôme tzatziki ', 'dont LAIT', 'MOUTARDE', 'concombre 12,1%']","[""Pourrait contenir de l'huile de palme"", 'Non végétalien', 'Non végétarien']",?,263,1100 kj(263 kcal),12,"5,8",26,"5,7",12,"1,4","0,56","['Point Vert', 'Fumé au bois de hêtre', 'Décongelé', 'Entrepreneurs + Engagés']",B,"['Sandwichs', 'Sandwichs au poisson', 'Réfrigérés', 'Sandwichs au saumon']",12 g,en quantité modérée,5.8 g,en quantité élevée,5.7 g,en quantité modérée,1.4 g,en quantité modérée,,+11%,+11%,+33%,+151%,-5%,+47%,+25%,+4%,+4%,15,+180%,D,+180%,68.6%,11.8%,7.2%,8.4%,3.1%,0.8%,78,['Bretzel Burgard'],"['Œufs', 'Poisson', 'Gluten', 'Lait', 'Moutarde', 'Graines de sésame']","['Frais', 'Carton', 'Plastique', 'décongelé']","[""E471 - Mono- et diglycérides d'acides gras alimentaires"", 'E300 - Acide ascorbique', 'E153 - Charbon végétal médicinal']",4,12 Mini Black Burgers au Saumon,,,,['Norvège'],,
1242,croustillant volaille,3422870447568,,,['France'],[],[],?,?,,?,,?,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,['Produit'],,,,,,,,,
1243,acerola plus 500 - le toucan - 106gr,3422882000423,106 gr,,['France'],"['Sucre de canne ', ""préparation d'acérola 13,6% "", ""fruits d'acérola 245 g/100g"", 'maltodextrine', ' ', ' vitamine C glucose ', "" anti-agglomérants sels de magnésium d'acides gras"", 'dioxyde de silicium ', ' arômes : extrait de framboise avec arôme naturel', 'autres arômes', "" cOMPOSITION POUR 1/4 DE COMPRIME Vitamine C 125 mg soit 156 % des VNR Poudre de fruit d'acérola "", 'Malpighia punicifolia', ' 113 mg soit 2000 mg de fruit entier *']","[""Pourrait contenir de l'huile de palme""]",?,?,,?,,?,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,['le toucan'],,['32 comprimés sécables'],"[""E470b - Sels de magnésium d'acides gras"", 'E551 - Dioxyde de silicium']",4,,,,,,,
1244,Cailles confites,3422890020031,,,['France'],[],[],?,401,1678 kj(401 kcal),37,12,7,7,17,"0,9","0,36",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1245,Maroilles au lait cru entier (quart) - Ferme du pont de Sains - 200g,3423010101111,200 g,"['FR 59.229.030 CE', 'Féron (Nord, France)']",['France'],"['Lait cru entier', 'sel', 'ferment', 'présure']","['Sans huile de palme', 'Non végétalien', 'Peut-être végétarien']",?,?,,?,,?,,?,,,['AOP'],D,"['Produits laitiers', 'Produits fermentés', 'Produits laitiers fermentés', 'Fromages', 'Fromages de vache', 'Fromages de France', 'Fromages au lait cru', 'Fromages à pâte molle à croûte lavée', 'Maroilles']",,,,,,,,,,,,,,,,,,,,,,,84.0%,5.8%,4.0%,4.0%,1.8%,0.5%,54,['Ferme du pont de Sains'],['Lait'],['Plastique'],,3,,,"['Nord', 'France']",,,['Cora'],
1246,Maroilles au lait cru entier (sorbais) - Ferme du pont de Sains - 540g,3423010101135,540 g,"['FR 59.229.030 CE', 'Féron (Nord, France)']",['France'],"['Lait cru entier', 'sel', 'ferment', 'présure']","['Sans huile de palme', 'Non végétalien', 'Peut-être végétarien']",?,?,,?,,?,,?,,,['AOP'],D,"['Produits laitiers', 'Produits fermentés', 'Produits laitiers fermentés', 'Fromages', 'Fromages de vache', 'Fromages de France', 'Fromages au lait cru', 'Fromages à pâte molle à croûte lavée', 'Maroilles']",,,,,,,,,,,,,,,,,,,,,,,84.0%,5.8%,4.0%,4.0%,1.8%,0.5%,54,['Ferme du pont de Sains'],['Lait'],['Plastique'],,3,,,"['Nord', 'France']",,,['Cora'],
1247,Flamiche au maroilles - ESAT Ferme du Pont de Sains - 200g,3423010101197,200 g,"['FR 59.229.030 CE', 'Féron (Nord, France)']",['France'],"['Garniture 38% : Maroilles AOP 82%', 'crème 18%', 'poivre', ' Pâte 62% : farine de blé', 'lait', 'beurre', 'œufs', 'levure', 'sucre', 'sel']","['Sans huile de palme', 'Non végétalien']",?,358,1498 kj(358 kcal),20,13,?,"2,4",?,"1,3","0,52",['Point Vert'],D,"['Plats préparés', 'Tartes', 'Pizzas tartes salées et quiches', 'Tartes salées', 'Tartes au maroilles', 'Flamiches']",20 g,en quantité modérée,13 g,en quantité élevée,2.4 g,en faible quantité,1.3 g,en quantité modérée,,+24%,+25%,+27%,+23%,,+23%,,-4%,-4%,,,,,74.9%,11.5%,2.8%,3.1%,1.6%,6.0%,49,['ESAT Ferme du Pont de Sains'],"['Œufs', 'Gluten', 'Lait']","['Plastique', 'Aluminium', 'Sous atmosphère protectrice', 'Réfrigéré']",,3,,,"['Nord', 'France']",,,,
1248,Croq'Me Fruits rouges bio - Thomas Le Prince - 420g,3423180000573,420 g,,['France'],"['Framboise bio', 'myrtille bio', 'mûre bio', 'griotte bio', 'cassis bio']","['Sans huile de palme', 'Végétalien', 'Végétarien']",?,?,,?,,?,,?,,,"['Bio', 'Bio européen', 'FR-BIO-01', 'AB Agriculture Biologique']",,"['Aliments et boissons à base de végétaux', ""Aliments d'origine végétale"", 'Aliments à base de fruits et de légumes', 'Surgelés', 'Fruits et produits dérivés', 'Aliments à base de plantes surgelés', 'Fruits', 'Fruits surgelés', 'Fruits rouges surgelés']",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,['Thomas Le Prince'],,"['Sachet', 'Plastique', 'surgelé']",,1,,,,,,['Auchan'],
1249,100% pur jus pomme fruits rouges - Thomas Le Prince,3423182100905,,,['France'],"['Pomme', 'Fruits rouges 9% Framboise', 'Fraise', 'Mure', 'Groseille', 'Myrtille', 'Car ris']",[],?,46,192 kj(46 kcal),0,0,"11,3","11,3","0,1",0,0,,,"['Boissons', 'Boissons sans sucre ajouté']",0 g,en faible quantité,0 g,en faible quantité,11.3 g,en quantité élevée,0 g,en faible quantité,,+5%,-3%,-100%,-100%,+31%,+67%,-80%,-100%,-100%,15,+172%,E,+172%,,,,,,,,['Thomas Le Prince'],,,,1,,,,,,,
1250,Jus de Pomme trouble - Thomas le Prince,3423182102022,,,['France'],[],[],?,47,197 kj(47 kcal),"0,1",0,12,11,"0,1",,,['Point Vert'],B,"['Aliments et boissons à base de végétaux', 'Boissons', 'Boissons à base de végétaux', 'Boissons aux fruits', 'Jus et nectars', 'Jus de fruits', 'Jus de fruits pur jus', 'Jus de pomme', 'Jus de pommes pur jus']",0.1 g,en faible quantité,0 g,en faible quantité,11 g,en quantité élevée,,,,+2%,+3%,-44%,-100%,+9%,+6%,-54%,,,,,,,52.8%,9.4%,18.4%,14.0%,5.4%,0.0%,70,['Thomas le Prince'],,['Bouteille en verre'],,,,,,,,,
1251,100% pur jus pomme & kiwi de Rhône-Alpes - Thomas Le Prince,3423182102640,,,['France'],"['Ingrédients : pommes,kiwi']",[],?,42,176 kj(42 kcal),0,0,10,"9,5","0,27",0,0,['Bio'],,['Boissons'],0 g,en faible quantité,0 g,en faible quantité,9.5 g,en quantité élevée,0 g,en faible quantité,,-25%,-27%,-100%,-100%,-12%,+1%,-46%,-100%,-100%,11,+44%,E,+44%,,,,,,,,['Thomas Le Prince'],,,,1,,,,,,,
1252,Pur jus pomme griotte THOMAS LEPRINCE - Thomas Le Prince,3423182102701,,,['France'],"['Pomme,griotte ', '>8%']","['Sans huile de palme', 'Végétalien', 'Végétarien']",?,48,201 kj(48 kcal),"0,1",0,12,11,"0,1","0,002","0,001","['Sans additifs', 'Sans conservateurs']",,['Boissons'],0.1 g,en faible quantité,0 g,en faible quantité,11 g,en quantité élevée,0.0018 g,en faible quantité,,-14%,-17%,-71%,-100%,+6%,+17%,-80%,-96%,-96%,13,+70%,E,+70%,,,,,,,,['Thomas Le Prince'],,,,1,,,,,,,
1253,Jus de pomme aux épices - Thomas Le Prince,3423182103210,,,['France'],"['Pomme Bio', 'Cannelle Bio', 'Gingembre Bio', ' Etoile de badiane Bic', ' Citron Bio', 'Vanille Bio']",[],?,148,619 kj(148 kcal),0,0,12,11,"0,1",0,0,['Bio'],,['Boissons'],0 g,en faible quantité,0 g,en faible quantité,11 g,en quantité élevée,0 g,en faible quantité,,+164%,+157%,-100%,-100%,+6%,+17%,-80%,-100%,-100%,18,+135%,E,+135%,,,,,,,,['Thomas Le Prince'],,,,1,,,,,,,
1254,Cidre doux de Savoie - Thomas Le Prince - 75cl,3423182104019,75cl,,['France'],[],[],?,27,113 kj(27 kcal),0,0,"3,21","3,21","0,1",0,0,,C,"['Boissons', 'Boissons alcoolisées', 'Cidres', 'Cidres doux']",,,,,,,,,,-23%,-23%,-100%,,-27%,+115%,+83%,-100%,-100%,,,,,31.6%,5.6%,37.9%,16.7%,6.5%,1.8%,53,['Thomas Le Prince'],,['Bouteille en verre'],,,,,,,,,
1255,100% pur jus de pomme bio 5L - Thomas Le Prince - 5l,3423182502013,5 l,,['France'],[],[],?,46,192 kj(46 kcal),0,0,12,11,"0,1",,,"['Bio', 'Bio européen', 'FR-BIO-01', 'AB Agriculture Biologique']",B,"['Aliments et boissons à base de végétaux', 'Boissons', 'Boissons à base de végétaux', 'Boissons aux fruits', 'Jus et nectars', 'Jus de fruits', 'Jus de fruits pur jus', 'Jus de pomme', 'Jus de pommes pur jus']",0 g,en faible quantité,0 g,en faible quantité,11 g,en quantité élevée,,,,0%,+1%,-100%,-100%,+9%,+6%,-54%,,,,,,,52.8%,9.4%,18.4%,14.0%,5.4%,0.0%,70,['Thomas Le Prince'],,,,,,,,,,,
1256,Pur jus pomme - Thomas Le Prince,3423182952009,,,['France'],[],[],?,47,197 kj(47 kcal),0,0,12,11,"0,1",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,['Thomas Le Prince'],,,,,,,,,,,
1257,Confiture Framboise épépiné bio - Thomas le prince - 225g,3423183250234,225 g,,['France'],"['Framboise bio', 'sucre de canne bio', 'gélifiant: pectine de fruits', 'jus de citron', 'acidifiant: acide ascorbique']","['Sans huile de palme', 'Végétalien', 'Végétarien']",?,266,1113 kj(266 kcal),"0,1","0,1",65,60,"0,7","0,1","0,04","['Bio', 'Bio européen', 'AB Agriculture Biologique', 'Agriculture UE/Non UE', 'FR-BIO-01']",B,"['Aliments et boissons à base de végétaux', ""Aliments d'origine végétale"", 'Aliments à base de fruits et de légumes', 'Produits à tartiner', 'Petit-déjeuners', 'Fruits et produits dérivés', 'Pâtes à tartiner végétales', 'Produits à tartiner sucrés', 'Confitures et marmelades', 'Confitures', 'Confitures de fruits rouges', 'Confitures de framboises']",0.1 g,en faible quantité,0.1 g,en faible quantité,60 g,en quantité élevée,0.1 g,en faible quantité,,+19%,+19%,-63%,+116%,+22%,+17%,+4%,+369%,+369%,12,+36%,D,+36%,65.8%,9.7%,13.4%,8.4%,2.2%,0.6%,60,['Thomas le prince'],,,"['E440 - Pectines', 'E300 - Acide ascorbique']",4,,,,,,,
1258,Confiture extra,3423183250319,,,['France'],[],[],?,266,1113 kj(266 kcal),"0,1",0,65,60,"0,7",,,"['Bio', 'Bio européen', 'AB Agriculture Biologique']",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1259,Quetsche - Le Prince - 350g,3423183300809,350 g,,['France'],[],[],?,252,1054 kj(252 kcal),0,0,60,60,0,0,0,,B,"['Aliments et boissons à base de végétaux', ""Aliments d'origine végétale"", 'Aliments à base de fruits et de légumes', 'Produits à tartiner', 'Petit-déjeuners', 'Fruits et produits dérivés', 'Pâtes à tartiner végétales', 'Produits à tartiner sucrés', 'Confitures et marmelades', 'Confitures', 'Confitures de prunes', 'Confitures de quetsches']",0 g,en faible quantité,0 g,en faible quantité,60 g,en quantité élevée,0 g,en faible quantité,,+12%,+14%,-100%,-100%,+12%,+16%,-100%,-100%,-100%,8,-15%,C,-15%,38.5%,19.4%,25.9%,11.0%,4.2%,1.1%,87,['Le Prince'],,,,,,,,,,,
1260,Myrtille BIO - Thomas Le Prince,3423183310310,,,['France'],"['Myrtille bio', 'Sucre de canne bio', 'Jus de citron bio', 'Gélifiant : Pectine de fruits', 'Acidifiant : Acide ascorbique']","['Sans huile de palme', 'Végétalien', 'Végétarien']",?,250,1046 kj(250 kcal),"0,25",0,60,57,"0,6",0,0,['Bio'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,['Thomas Le Prince'],,,"['E440 - Pectines', 'E300 - Acide ascorbique']",4,,,,,,,
1261,Compote pomme framboise - Thomas Le Prince,3423183402398,,,['France'],[],[],?,68,285 kj(68 kcal),0,0,15,14,"0,4",0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,['Thomas Le Prince'],,,,,,,,,,,
1262,Compote Pomme et Myrtille Sauvage - Thomas Le Prince,3423183402596,,,['France'],[],[],?,68,285 kj(68 kcal),0,0,15,14,"0,4",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,['Thomas Le Prince'],,,,,,,,,,,
1263,Pomme - Thomas Le Prince,3423183702009,,,['France'],"['Pomme 96%', '4% de sucre', 'Antioxydant acide ascorbique']","['Sans huile de palme', 'Végétalien', 'Végétarien']",?,61,255 kj(61 kcal),"0,1",0,"13,7","13,7","0,3",0,0,,B,"['Aliments et boissons à base de végétaux', ""Aliments d'origine végétale"", 'Desserts', 'Aliments à base de fruits et de légumes', 'Fruits et produits dérivés', 'Compotes', 'Compotes de pomme', 'Compotes pommes nature', 'Compotes à boire']",0.1 g,en faible quantité,0 g,en faible quantité,13.7 g,en quantité élevée,0 g,en faible quantité,,-5%,-4%,-66%,-100%,-4%,+3%,+2%,-100%,-100%,-3,,A,,32.9%,28.7%,15.1%,13.7%,7.6%,2.1%,96,['Thomas Le Prince'],,"['boîte', 'Carton', 'Plastique']",['E300 - Acide ascorbique'],3,,,,,,,
1264,Pomme et poire - Thomas Le Prince,3423183702207,,,['France'],"['Pomme 76%', 'Poire 20%', '4% de sucre', 'Antioxydant : acide ascorbique']","['Sans huile de palme', 'Végétalien', 'Végétarien']",?,63,264 kj(63 kcal),"0,2",0,14,14,"0,3",0,0,,B,"['Aliments et boissons à base de végétaux', ""Aliments d'origine végétale"", 'Desserts', 'Aliments à base de fruits et de légumes', 'Fruits et produits dérivés', 'Compotes', 'Compotes de pomme', 'Compotes pommes poires']",0.2 g,en faible quantité,0 g,en faible quantité,14 g,en quantité élevée,0 g,en faible quantité,,+2%,+1%,-39%,-100%,+2%,+13%,-15%,-100%,-100%,-4,,A,,32.9%,28.7%,15.1%,13.7%,7.6%,2.1%,96,['Thomas Le Prince'],,,['E300 - Acide ascorbique'],3,,,,,,,
1265,Compote - Thomas Le Prince,3423183703655,,,['France'],"['POMME ABRICOT : Pomme 76%', 'Abricot 20%', '4% de sucre', 'Antioxydant : acide ascorbique', ' POMME POIRE : Pomme 76%', 'Poire 20%', '4% de sucre', 'Antioxydant : acide ascorbique', ' POMME: Pomme de sucre', 'Antioxydant : acide ascorbique', ' POMME FRAISE : Pomme 76%', 'Fraise 20%', '49/o:de sucre', 'Antioxydant : acide ascorbique']","['Non végétalien', 'Non végétarien']",?,66,276 kj(66 kcal),"0,1",0,14,14,"0,3",0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,['Thomas Le Prince'],,,['E300 - Acide ascorbique'],,,,,,,,
1266,"Poire Comice - Thomas le Prince - 0,700Kg",3423187144034,"0,700Kg",,['France'],[],[],?,?,,?,,?,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,['Thomas le Prince'],,,,,,,,,,,
1267,Poire Guyot - 6,3423187324306,6,['74.007'],['France'],[],[],?,?,,?,,?,,?,,,,,"['Aliments et boissons à base de végétaux', ""Aliments d'origine végétale"", 'Aliments à base de fruits et de légumes', 'Fruits et produits dérivés', 'Fruits']",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,['Barquette'],,,,,['Exp Thomas Le Prince 74150 Vallières'],,['France'],['Super U'],
1268,Poire Guyot,3423187324337,,,['France'],[],[],?,50,209 kj(50 kcal),"0,3","0,097","12,2","9,01","0,49",0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1269,3423290049127,3423290049127,,,['France'],[],[],?,?,,?,,?,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1270,Jurançon doux 2012 - Douceur d'Ange - 75cl,3423290151721,75 cl,,['France'],"['Vin issu de cépage Petit Manseng ', 'Contient des sulfites']",[],?,?,,?,,?,,?,,,['Déconseillé aux femmes enceintes'],B,"['Boissons', 'Boissons alcoolisées', 'Vins', 'Vins français', 'Jurançon sec', 'Jurançon']",,,,,,,,,,,,,,,,,,,,,,,46.9%,6.6%,27.8%,12.7%,4.8%,1.3%,43,"[""Douceur d'Ange""]",['Anhydride sulfureux et sulfites'],"['Bouteille', 'Verre']",,,,,['France'],,['France'],,
1271,Pavillon La Tourelle 2011 -,3423290181261,,,['France'],[],[],?,?,,?,,?,,?,,,,B,"['Boissons', 'Boissons alcoolisées', 'Vins', 'Vins français', 'Bordeaux', 'Vins du Médoc', 'Haut-Médoc']",,,,,,,,,,,,,,,,,,,,,,,46.9%,6.6%,27.8%,12.7%,4.8%,1.3%,43,,,"['Bouteille', 'Verre']",,,,,,,['France'],,
1272,Roc Saint Vincent - 75cl,3423290190782,75 cl,,['France'],"['Vin rosé issu des cépages Merlot et Cabernet Sauvignon ', 'contient des sulfites']",[],?,?,,?,,?,,?,,,"['Point Vert', 'Déconseillé aux femmes enceintes']",B,"['Boissons', 'Boissons alcoolisées', 'Vins', 'Vins français', 'Bordeaux', 'Vins rosés']",,,,,,,,,,,,,,,,,,,,,,,46.7%,3.7%,29.6%,13.4%,5.1%,1.4%,45,"['Roc Saint Vincent', 'Producta Vignobles']",['Anhydride sulfureux et sulfites'],"['Bouteille', 'Verre']",,,,,['France'],,['France'],,
1273,3423290191840,3423290191840,,,['France'],[],[],?,?,,?,,?,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1274,steak haché,3423310000053,,,['France'],[],[],?,?,,?,,?,,?,,,,E,"['Viandes', 'Bœuf', 'Steaks', 'Steaks de bœuf', 'Steaks hachés', 'Steaks de bœuf hachés']",,,,,,,,,,,,,,,,,,,,,,,98.0%,0.5%,0.6%,0.6%,0.3%,0.1%,3,,,['Produit'],,,,,,,,,
1275,Steak hache charolais facon bouchere,3423310001692,,"['FR 18.033.033 CE', 'Bourges (Cher, France)']",['France'],[],[],?,0,0 kj(0 kcal),12,0,0,0,0,0,0,"['Viande Française', 'Viande-bovine-francaise']",E,"['Viandes', 'Bœuf', 'Steaks', 'Steaks de bœuf', 'Steaks hachés', 'Steaks de bœuf hachés']",12 g,en quantité modérée,0 g,en faible quantité,0 g,en faible quantité,0 g,en faible quantité,,-100%,-100%,-3%,-100%,-100%,-100%,-100%,-100%,-100%,0,-100%,B,-100%,98.0%,0.5%,0.6%,0.6%,0.3%,0.1%,3,,,,,,,,,,,,
1276,Miel,3423570001029,,,['France'],[],[],?,0,0 kj(0 kcal),0,0,0,0,0,,,,B,"['Produits à tartiner', 'Petit-déjeuners', 'Produits de la ruche', ""Produits d'élevages"", 'Produits à tartiner sucrés', 'Édulcorants', 'Miels']",0 g,en faible quantité,0 g,en faible quantité,0 g,en faible quantité,,,,-100%,-100%,-100%,-100%,-100%,-100%,-100%,,,,,,,87.9%,0.0%,7.7%,3.1%,1.3%,0.0%,82,,,,,,,,,,,,
1277,Miel de fleurs de printemps - S. Prévost - 500g,3423570004020,500 g,,['France'],[],[],?,?,,?,,?,,?,,,,B,"['Produits à tartiner', 'Petit-déjeuners', 'Produits de la ruche', ""Produits d'élevages"", 'Produits à tartiner sucrés', 'Édulcorants', 'Miels', 'Miels de fleurs', 'Miels français']",,,,,,,,,,,,,,,,,,,,,,,87.9%,0.0%,7.7%,3.1%,1.3%,0.0%,82,['S. Prévost'],,,,,,,,,['France'],,
1278,Brézain - Edelmont - 300g,3423650000744,300 g,"['FR 63.113.081 CE', 'Clermont-Ferrand (Puy-de-Dôme, France)']",['France'],"['Lait pasteurisé de vache', 'sel', ""ferments lactiques et d'affinage"", 'chlorure de calcium', 'coagulant E235']","['Sans huile de palme', 'Non végétalien', 'Végétarien']",1427,?,1427 kj(341 kcal),28,18,1,0,22,2,"0,8",,D,"['Produits laitiers', 'Produits fermentés', 'Produits laitiers fermentés', 'Fromages']",28 g,en quantité élevée,18 g,en quantité élevée,0 g,en faible quantité,2 g,en quantité élevée,+14%,,+4%,+5%,+1%,-17%,-100%,+8%,+54%,+54%,17,+24%,D,+24%,84.0%,5.8%,4.0%,4.0%,1.8%,0.5%,54,"['Edelmont', 'Brézain']",['Lait'],"['Plastique', 'Frais']",['E235 - Natamycine'],3,Fromage pour raclette fumé au feu de bois,,,,,['Carrefour market'],
1279,Cigarettes fines pur beurre - Bio Soleil - 125g,3423720003286,125 g,,['France'],"['Farine de blé T65*', 'sucre de canne*', 'beurre* ', '21%', 'farine de soja*', 'amidon de blé*', ""blanc d'oeuf*"", 'sel de mer non raffiné', 'extrait de vanille Bourbon ', 'vanille', 'maltodextrine', "" • *Ingrédients agricoles issus de l'agriculture biologique"", ' \rCertifié par Ecocert SAS F32600', ' \rTraces possible de: sésame', 'fruits à coques', 'arachides', ' \rFabriqué en Belgique pour Bio Soleil']",['Non végétalien'],?,493,2063 kj(493 kcal),21,13,70,39,"5,3","0,4","0,16","['Bio', 'Bio européen', 'Agriculture non UE', 'Agriculture UE', 'Agriculture UE/Non UE', 'Sans huile de palme', 'AB Agriculture Biologique']",C,"['Snacks', 'Snacks sucrés', 'Biscuits et gâteaux', 'Biscuits', 'Cigarettes']",21 g,en quantité élevée,13 g,en quantité élevée,39 g,en quantité élevée,0.4 g,en quantité modérée,,-5%,-5%,-20%,-18%,+8%,+5%,+3%,+20%,+20%,25,+3%,E,+3%,80.3%,11.4%,3.7%,2.4%,2.2%,0.0%,58,['Bio Soleil'],"['Œufs', 'Lait', 'Soja']",,,3,,,,,,,
1280,Nougat Aux Amandes - bio soleil - 40g,3423720009011,40g,,['France'],"['Amandes* ', '33%', ' ', ' sucre de canne blanc* ', ' miel* ', ' blanc d’œuf* ', ' vanille* ', ' azyme', ' \xa0\r*Ingrédients issus de l’agriculture biologique']","['Sans huile de palme', 'Non végétalien']",?,409,1711 kj(409 kcal),17,"2,2",51,47,12,"0,05","0,02","['Bio', 'Bio européen', 'Fabriqué en France', 'en:palm-oil-free', 'AB Agriculture Biologique']",D,"['Snacks', 'Snacks sucrés', 'Confiseries', 'Nougats']",17 g,en quantité modérée,2.2 g,en quantité modérée,47 g,en quantité élevée,0.05 g,en faible quantité,,-9%,-9%,+3%,+11%,-22%,-14%,+68%,-34%,-34%,13,-19%,D,-19%,91.0%,4.2%,2.3%,2.0%,0.5%,0.0%,34,['bio soleil'],"['Œufs', 'Fruits à coque']",['Plastique'],,3,,,['France'],,,,
