,name,bar_code,brand,labels,markets,sales_countries,ingredients_list,ingredients_analysis,nutriment_energy-kj_tr,nutriment_energy-kcal_tr,nutriment_fat_tr,nutriment_carbohydrates_tr,nutriment_proteins_tr,eco_score,categories,nutriment_energy-kj_tr_diff,nutriment_energy-kcal_tr_diff,nutriment_fat_tr_diff,nutriment_carbohydrates_tr_diff,nutriment_proteins_tr_diff,Agriculture,Transformation,Conditionnement,Transport,Distribution,Consommation,Score_ACV,traceability_code,fats_lipids_quantity,fats_lipids_comment,saturated_acids_quantity,saturated_acids_comment,sugar_quantity,sugar_comment,salt_quantity,salt_comment,nutriment_energy_tr,nutriment_energy_tr_diff,nutriment_saturated-fat_tr,nutriment_saturated-fat_tr_diff,nutriment_sugars_tr,nutriment_sugars_tr_diff,nutriment_salt_tr,nutriment_salt_tr_diff,nutriment_sodium_tr,nutriment_sodium_tr_diff,nutriment_nutrition-score-fr_tr,nutriment_nutrition-score-fr_tr_diff,nutriment_nutriscore_tr,nutriment_nutriscore_tr_diff,quantity,packaging,ingredients_origins,manufacturing,nova_score,brand_owner,additives,allergens,link,palm_ingredients,generic_name,producer_info
10,Toast au figues,3760178791250,,"['Sans conservateurs', 'en:palm-oil-free']",,['France'],[],['Sans huile de palme'],?,1006,"7,63","76,03","10,06",,,,,,,,,,,,,,,,,,,,,,,,4209 kj(1006 kcal),,"6,04",,"10,95",,"1,9",,"0,76",,,,,,,,,,,,,,,,,
11,Terrine l'ancelle,3760267057007,,,,['France'],[],[],?,314,"26,4","2,6","17,4",,,,,,,,,,,,,,,,,,,,,,,,1314 kj(314 kcal),,"9,8",,"0,8",,"1,51",,"0,604",,,,,,,,,,,,,,,,,
12,Olives vertes aux poivrons rouges,5214000253297,,,,['France'],[],[],?,188,18,"3,8","1,2",B,"['Aliments et boissons à base de végétaux', ""Aliments d'origine végétale"", 'Pickles', ""Produits de l'olivier"", ""Pickles d'origine végétale"", 'Olives', 'Olives vertes', 'Olives farcies', 'Olives vertes farcies', 'Olives vertes farcies au poivron', 'Olives vertes aux poivrons']",,+32%,+29%,+101%,+9%,33.7%,0.2%,40.3%,17.4%,6.7%,1.8%,95,,18 g,en quantité modérée,2.5 g,en quantité modérée,0.9 g,en faible quantité,3 g,en quantité élevée,787 kj(188 kcal),+32%,"2,5",+9%,"0,9",+264%,3,-14%,"1,2",-14%,14,+25%,D,+25%,,,,,,,,,,,,
13,Boeuf - SARL DES L'Authentique - 306g,2860109007656,"[""SARL DES L'Authentique""]",,,['France'],['Boeuf'],"['Sans huile de palme', 'Non végétalien', 'Non végétarien']",?,?,?,?,?,,['Viandes'],,,,,,,,,,,,,"['FR 05.061.034 CE', 'Gap (Hautes-Alpes, France)']",,,,,,,,,,,,,,,,,,,,,,,306 g,"['Plastique', 'Sous-vide']",['France'],,1,,,,,,,
14,Filippo Berio Extra Virgin Olive Oil,8002210126725,['Filippo Berio'],,,['France'],[],[],?,822,"91,3",0,0,D,"['Aliments et boissons à base de végétaux', ""Aliments d'origine végétale"", 'Matières grasses', 'Matières grasses végétales', ""Produits de l'olivier"", 'Huiles', ""Huiles d'olive"", ""Huiles d'olive vierges"", ""Huiles d'olive vierges extra""]",,-4%,-4%,,,88.1%,4.5%,3.6%,2.0%,1.7%,0.0%,47,,91.3 g,en quantité élevée,15.5 g,en quantité élevée,0 g,en faible quantité,0 g,en faible quantité,3439 kj(822 kcal),-4%,"15,5",+11%,0,,0,-100%,0,-100%,7,+14%,C,+14%,,,,,,,,,,,,
15,Terrine de la mer au saumon - 90g,3589620006120,,,,['France'],[],[],?,221,"16,9",8,9,,"['Terrines', 'Terrines de poisson', 'Terrines de saumon']",,+8%,+10%,+89%,-19%,,,,,,,,"['FR 80.751.001 CE', 'Thennes (Somme, France)']",16.9 g,en quantité modérée,4.7 g,en quantité modérée,0.8 g,en faible quantité,0.7 g,en quantité modérée,925 kj(221 kcal),+8%,"4,7",+35%,"0,8",-42%,"0,7",-38%,"0,28",-38%,4,-35%,C,-35%,90 g,,,,,,,,,,,
16,mini netella - Nutella,80805595,['Nutella'],,,['France'],[],[],?,?,?,?,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
17,Quenelle de Brochet,3376160000097,,,,['France'],[],[],?,207,14,13,"6,7",,"['Plats préparés', 'Plats préparés au poisson', 'Quenelles', 'Quenelles de poisson', 'Quenelles de brochet']",,+7%,+14%,+1%,-8%,,,,,,,,"['FR 69.298.001 CE', 'Toussieu (Rhône, France)']",14 g,en quantité modérée,6.7 g,en quantité élevée,0.1 g,en faible quantité,1.5 g,en quantité modérée,866 kj(207 kcal),+8%,"6,7",+32%,"0,1",-87%,"1,5",+46%,"0,6",+46%,14,+67%,D,+67%,,,,,,,,,,,,
18,"Amandes Sicile PE - 0,330kg",0200382032273,,,,['France'],[],[],?,633,"57,1",12,"21,3",,,,,,,,,,,,,,,,,,,,,,,,2648 kj(633 kcal),,"18,3",,"3,4",,"0,02",,"0,008",,,,,,"0,330 kg",,,,,,,,,,,
19,Terrine au Roquefort,3525167593099,,,,['France'],[],[],?,302,26,"0,6",17,,"['Viandes', 'Charcuteries', 'Produits à la viande', 'Terrines', 'Terrines au Roquefort']",,-22%,-28%,-46%,+18%,,,,,,,,,26 g,en quantité élevée,11 g,en quantité élevée,0.1 g,en faible quantité,1.3 g,en quantité modérée,1264 kj(302 kcal),-22%,11,-15%,"0,1",-72%,"1,3",-24%,"0,52",-24%,18,-15%,D,-15%,,,,,,,,,,,,
20,Sauce gravlax,3700073119490,,,,['France'],[],[],?,278,19,25,"2,4",,,,,,,,,,,,,,,,,,,,,,,,1163 kj(278 kcal),,"1,9",,23,,"0,24",,"0,096",,,,,,,,,,,,,,,,,
21,Fromage Triple Crème - 200g,3383680321717,,,,['France'],[],[],?,348,38,"2,5",8,,,,,,,,,,,,,,,,,,,,,,,,1456 kj(348 kcal),,26,,"2,5",,1,,"0,4",,,,,,200 g,,,,,,,,,,,
22,Bonbon de sucre - Woogie,9002859034299,['Woogie'],['Fabriqué en Allemagne'],,['France'],[],[],?,402,"0,7","98,5",0,,,,,,,,,,,,,,,,,,,,,,,,1682 kj(402 kcal),,"0,4",,"94,7",,"0,03",,"0,012",,,,,,,,,,,,,,,,,
23,Huile d'olive vierge extra,8051772464554,,,,['France'],[],[],?,800,92,0,0,D,"['Aliments et boissons à base de végétaux', ""Aliments d'origine végétale"", 'Matières grasses', 'Matières grasses végétales', ""Produits de l'olivier"", 'Huiles', ""Huiles d'olive"", ""Huiles d'olive vierges"", ""Huiles d'olive vierges extra""]",,-7%,-4%,,,88.1%,4.5%,3.6%,2.0%,1.7%,0.0%,47,,92 g,en quantité élevée,13.4 g,en quantité élevée,0 g,en faible quantité,0 g,en faible quantité,3347 kj(800 kcal),-7%,"13,4",-4%,0,,0,-100%,0,-100%,5,-19%,C,-19%,,,,,,,,,,,,
24,Sucre de fleur de coco bio,3165438310101,,"['Bio', 'Bio européen', 'AB Agriculture Biologique']",,['France'],[],[],?,408,"1,5","96,6","1,8",,,,,,,,,,,,,,,,,,,,,,,,1707 kj(408 kcal),,0,,"95,8",,"0,17",,"0,068",,,,,,,,,,,,,,,,,
25,Pesto Tomate Walnuss - Tartex - 125g,4005514081992,['Tartex'],"['Bio', 'Végétarien', 'Bio européen', 'Végétalien', 'DE-ÖKO-003', 'Point Vert']",,['France'],[],"['Végétalien', 'Végétarien']",?,456,"44,5","9,2","3,5",,,,,,,,,,,,,,,,,,,,,,,,1908 kj(456 kcal),,5,,"4,8",,"2,7",,"1,08",,,,,,125 g,,,,,,,,,,,
26,Pur jus d'orange bio,3700490845583,,['Bio'],,['France'],[],[],?,41,"0,1","9,4","0,7",D,"['Aliments et boissons à base de végétaux', 'Boissons', 'Boissons à base de végétaux', 'Boissons aux fruits', 'Jus et nectars', 'Jus de fruits', ""Jus d'orange""]",,-5%,-40%,-3%,+12%,58.5%,3.8%,10.1%,20.0%,6.0%,1.7%,51,,0.1 g,en faible quantité,0 g,en faible quantité,8.7 g,en quantité élevée,0.03 g,en faible quantité,172 kj(41 kcal),-5%,0,-100%,"8,7",-5%,"0,03",+251%,"0,012",+251%,2,-33%,C,-33%,,,,,,,,,,,,
27,Tsum Tsum,5054504790085,,,,['France'],[],[],?,1,2,1,32,,,,,,,,,,,,,,,,,,,,,,,,4 kj(1 kcal),,1,,1,,0,,0,,,,,,,,,,,,,,,,,
28,Saucisson sec supérieur Haute-Loire,2688494028144,,['Sans colorants'],,['France'],[],[],?,393,"29,7","5,9","25,6",D,"['Viandes', 'Charcuteries', 'Saucissons', 'Saucissons secs']",,-2%,-6%,+165%,-7%,79.0%,17.2%,0.6%,1.8%,1.1%,0.3%,36,"['EMB 43262', 'Vieille-Brioude (Haute-Loire, France)']",29.7 g,en quantité élevée,12.7 g,en quantité élevée,1.45 g,en faible quantité,5 g,en quantité élevée,1644 kj(393 kcal),-3%,"12,7",+3%,"1,45",+6%,5,+7%,2,+7%,24,0%,E,0%,,,,,,,,,,,,
29,Rillettes de cabillaud à la Ciboulette,3432054002025,,,,['France'],[],[],?,178,14,"1,3","10,8",D,"['Produits de la mer', 'Produits à tartiner', 'Poissons', 'Produits à tartiner salés', 'Rillettes', 'Préparations de poisson', 'Rillettes de poissons', 'Rillettes de cabillaud']",,-2%,0%,-29%,-2%,74.4%,12.5%,3.8%,7.2%,1.7%,0.5%,51,,14 g,en quantité modérée,8.9 g,en quantité élevée,1.3 g,en faible quantité,0.9 g,en quantité modérée,745 kj(178 kcal),-1%,"8,9",+28%,"1,3",+26%,"0,9",-17%,"0,36",-17%,13,+15%,D,+15%,,,,,,,,,,,,
30,Salicornes,3193840010982,,,,['France'],[],[],?,39,"0,2","7,6","1,7",,,,,,,,,,,,,,,,,,,,,,,,163 kj(39 kcal),,0,,"4,7",,2,,"0,8",,,,,,,,,,,,,,,,,
31,Betteraves rouges cuites bio - 500g,3222473278589,,"['Bio', 'Bio européen', 'AB Agriculture Biologique', 'Sans conservateurs']",,['France'],[],[],?,43,0,"7,2","2,3",B,"['Aliments et boissons à base de végétaux', ""Aliments d'origine végétale"", 'Aliments à base de fruits et de légumes', 'Légumes et dérivés', 'Betteraves', 'Betterave rouge']",,,-100%,-10%,+42%,65.8%,0.0%,0.0%,19.7%,13.6%,0.9%,99,,0 g,en faible quantité,0 g,en faible quantité,6.7 g,en quantité modérée,0.13 g,en faible quantité,180 kj(43 kcal),-5%,0,-100%,"6,7",-6%,"0,13",+38%,"0,052",+38%,-5,,A,,500 g,,,,,,,,,,,
32,Cantal Aop,2236897022049,,,,['France'],[],[],?,375,29,1,26,,,,,,,,,,,,,,,,,,,,,,,,1569 kj(375 kcal),,20,,1,,2,,"0,8",,,,,,,,,,,,,,,,,
33,Mini Marshmallows,0021130550074,,,,"['France', 'États-Unis']","['Corn syrup', 'sugar', 'modified cornstarch', 'dextrose', 'water', 'contains less than 2% of: gelatin', 'tetrasodium pyrophosphate ', 'whipping aid', 'natural and artificial flavor', 'blue 1']","['Non végétalien', 'Non végétarien']",?,333,0,"83,33",0,,"['Snacks', 'Snacks sucrés', 'Confiseries']",,-21%,-100%,+25%,-100%,,,,,,,,,0 g,en faible quantité,0 g,en faible quantité,56.7 g,en quantité élevée,0.207 g,en faible quantité,1393 kj(333 kcal),-21%,0,-100%,"56,67",+14%,"0,208",+41%,"0,083",+41%,14,-23%,D,-23%,,,,,4,"Safeway, Inc.","['E428 - Gélatine', 'E450iii - Diphosphate tétrasodique', 'E133 - Bleu brillant FCF', '', 'Risque modéré de sur-exposition']",,,,,
34,50 sweet and 50 salt,8901063016712,,,,['France'],[],[],?,483,19,71,7,,,,,,,,,,,,,,,,,,,,,,,,2021 kj(483 kcal),,9,,"19,5",,"0,3",,"0,12",,,,,,,,,,,,,,,,,
35,Rillette de maquereau,3613090000033,,,,['France'],[],[],?,228,19,"1,3","9,4",E,"['Produits de la mer', 'Produits à tartiner', 'Poissons', 'Produits à tartiner salés', 'Rillettes', 'Préparations de poisson', 'Rillettes de poissons', 'Rillettes de maquereau']",,-3%,+1%,-43%,-25%,88.2%,4.1%,1.6%,5.2%,0.7%,0.2%,25,"['FR 22.272.006 CE', ""Saint-Agathon (Côtes-d'Armor, France)""]",19 g,en quantité modérée,11 g,en quantité élevée,1.3 g,en faible quantité,1.1 g,en quantité modérée,954 kj(228 kcal),-3%,11,+48%,"1,3",+17%,"1,1",-1%,"0,44",-1%,16,+25%,D,+25%,,,,,,,,,,,,
36,Tavaillons de Savoie,2309637003124,,,,['France'],[],[],?,?,?,?,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
37,Vin rosé - 75cl,00548892,,,,['France'],[],[],?,?,?,?,?,,"['Boissons', 'Boissons alcoolisées', 'Vins']",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,75 cl,,,,,,,,,,,
38,Hosteleria - Asturiana,8410297120169,['Asturiana'],,,['France'],[],[],?,153,12,"7,5","3,7",,,,,,,,,,,,,,,,,,,,,,,,640 kj(153 kcal),,"8,1",,"5,6",,"0,2",,"0,08",,,,,,,,,,,,,,,,,
39,Cocktail ecrevisses et homard,5413739004907,,,,['France'],[],[],?,?,?,?,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
40,Pousses de pois - SARL XinYu - 250g,3770008636002,['SARL XinYu'],,['Tang Frères'],['France'],[],[],?,?,?,?,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,250 g,"['Barquette', 'Plastique']",,,,,,,,,,
41,Vinaigre de Cidre aux echalotes - Coteaux nantais,05718955,['Coteaux nantais'],"['Bio', 'Bio européen', 'Bio-dynamie', 'Demeter', 'AB Agriculture Biologique']",,['France'],[],[],?,?,?,?,?,B,"['Vinaigres', 'Vinaigres de cidre', ""Vinaigre à l'échalote""]",,,,,,35.5%,6.3%,42.6%,12.0%,3.6%,0.0%,96,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
42,Saucisse a croquer,2873740020472,,,,['France'],[],[],?,215,"13,2","1,2","22,9",,,,,,,,,,,,,,,,,,,,,,,,900 kj(215 kcal),,5,,"1,2",,"2,4",,"0,96",,,,,,,,,,,,,,,,,
43,Découpes de poulet fermier,2572627003453,,,,['France'],[],[],?,?,?,?,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
44,"Emmental lait cru - 0,274kg",0220847017973,,,,['France'],[],[],?,404,32,"1,2",28,,,,,,,,,,,,,,,,,,,,,,,,1690 kj(404 kcal),,21,,0,,"0,69",,"0,276",,,,,,"0,274 kg",,,,,,,,,,,
45,Mélange pep's,2600697034449,,,,['France'],[],[],?,537,39,27,15,,,,,,,,,,,,,,,,,,,,,,,,2247 kj(537 kcal),,3,,26,,"0,03",,"0,012",,,,,,,,,,,,,,,,,
46,Huile d'olive vierge extra,8050444285039,,,,['France'],[],[],?,823,"91,5",0,0,D,"['Aliments et boissons à base de végétaux', ""Aliments d'origine végétale"", 'Matières grasses', 'Matières grasses végétales', ""Produits de l'olivier"", 'Huiles', ""Huiles d'olive"", ""Huiles d'olive vierges"", ""Huiles d'olive vierges extra""]",,-4%,-4%,,,88.1%,4.5%,3.6%,2.0%,1.7%,0.0%,47,,91.5 g,en quantité élevée,12.6 g,en quantité élevée,0 g,en faible quantité,0 g,en faible quantité,3443 kj(823 kcal),-4%,"12,6",-10%,0,,0,-100%,0,-100%,6,-2%,C,-2%,,,,,,,,,,,,
47,Vin d Alsace peche de vigne,3760281421730,,,,['France'],[],[],?,?,?,?,?,,"['Boissons', 'Boissons alcoolisées', 'Vins']",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
48,Sticky rice ball,0016229923617,,,,['France'],[],[],?,872,"6,2",36,"1,8",,,,,,,,,,,,,,,,,,,,,,,,3648 kj(872 kcal),,"4,7",,12,,"0,23",,"0,092",,,,,,,,,,,,,,,,,
49,Sucette Heart Pop Red 80 - 80g,8717371586416,,,,['France'],[],[],?,391,"0,1",98,"0,1",,,,,,,,,,,,,,,,,,,,,,,,1636 kj(391 kcal),,"0,05",,84,,"0,1",,"0,04",,,,,,80 g,,,,,,,,,,,
50,Comté Marcel Petite bio,2454495043758,['Marcel Petite'],"['Bio', 'Bio européen', 'AB Agriculture Biologique']",,['France'],[],[],?,412,34,"0,5",27,C,"['Produits laitiers', 'Produits fermentés', 'Produits laitiers fermentés', 'Fromages', 'Fromages à pâte pressée cuite', 'Fromages de France', 'Comté', 'en:aoc-cheeses', 'en:labeled-cheeses']",,+4%,+4%,+8%,+7%,82.8%,8.1%,3.5%,3.6%,1.6%,0.4%,49,,34 g,en quantité élevée,22 g,en quantité élevée,0 g,en faible quantité,0.7 g,en quantité modérée,1724 kj(412 kcal),+4%,22,+1%,0,-100%,"0,7",-28%,"0,28",-28%,13,-3%,D,-3%,,,,,,,,,,,,
51,Huile raffinée de tournesol rhiko,8436548625375,,,,['France'],[],[],?,900,100,0,0,,,,,,,,,,,,,,,,,,,,,,,,3766 kj(900 kcal),,12,,0,,0,,0,,,,,,,,,,,,,,,,,
52,Sorbet de mon jardin - 434g,3520838320028,,['Bio'],,['France'],[],[],?,113,"0,18","24,98","2,42",,,,,,,,,,,,,,,,,,,,,,,,473 kj(113 kcal),,"0,01",,"22,65",,"1,22",,"0,488",,,,,,434 g,,,,,,,,,,,
53,Huile d'olive vierge traditionnelle,6131053000144,,,,['France'],[],[],?,?,?,?,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
54,Mughetto,2480667011157,,,,['France'],[],[],?,381,"36,5","1,54","11,8",,,,,,,,,,,,,,,,,,,,,,,,1594 kj(381 kcal),,26,,"1,54",,"0,67",,"0,268",,,,,,,,,,,,,,,,,
55,Craquelin Romarin - 200g,3324321284237,,,,['France'],[],[],?,457,"16,4","72,6","9,5",,,,,,,,,,,,,,,,,,,,,,,,1912 kj(457 kcal),,"2,2",,"2,2",,"2,7",,"1,08",,,,,,200 g,,,,,,,,,,,
56,Duo d'oranges Oasis,3124480176042,['Oasis'],,,['France'],[],[],?,167,0,"9,4","0,1",,,,,,,,,,,,,,,,,,,,,,,,699 kj(167 kcal),,0,,"9,3",,"0,01",,"0,004",,,,,,,,,,,,,,,,,
57,Palette à l'emmental,0290793031491,,,,['France'],[],[],?,167,"8,1","0,5","22,9",,,,,,,,,,,,,,,,,,,,,,,,699 kj(167 kcal),,"3,3",,"0,4",,"1,6",,"0,64",,,,,,,,,,,,,,,,,
58,Chateau d'armajean,3433330065475,,,,['France'],[],[],?,?,?,?,?,C,"['Boissons', 'Boissons alcoolisées', 'Vins', 'Vins français']",,,,,,46.9%,6.6%,27.8%,12.7%,4.8%,1.3%,43,,,,,,,,,,,,,,,,,,,,,,,,,,['France'],,,,,,,,,
59,Honingkoek,8711812415099,,['Bio'],,['France'],[],[],?,291,"0,5","67,5","2,4",,,,,,,,,,,,,,,,,,,,,,,,1218 kj(291 kcal),,"0,1",,"41,1",,"0,42",,"0,168",,,,,,,,,,,,,,,,,
60,Le Vinaigre d'Orléans aux coquelicots de Nemours,3165353425072,,,,['France'],[],[],?,10,"0,1","0,9","0,1",B,"['Vinaigres', 'Vinaigres de vin', 'Vinaigres de vins blancs']",,-41%,+16%,+19%,-39%,39.4%,16.4%,33.5%,8.2%,2.4%,0.0%,91,,0.1 g,en faible quantité,0 g,en faible quantité,0.9 g,en faible quantité,2.5 g,en quantité élevée,42 kj(10 kcal),-41%,0,-100%,"0,9",+112%,"2,5",+6119%,1,+6119%,,,,,,,,,,,,,,,,
61,Poiret poire abricot,4008169213008,,['Fabriqué en Belgique'],,['France'],[],[],?,282,"0,5",66,1,,,,,,,,,,,,,,,,,,,,,,,,1180 kj(282 kcal),,"0,1",,55,,"0,04",,"0,016",,,,,,,,,,,,,,,,,
62,Reese's Crispy n Crunch,0034000490066,"[""Reese's""]",,,"['France', 'États-Unis']","['Sugar', ' peanuts', ' corn syrup', ' vegetable oil [cocoa butter', 'palm kernel oil', ' palm oil', ' shea oil', ' sunflower oil', ' and/or safflower oil]', ' chocolate', ' milk', ' contains 2% or less of: lactose ', 'milk', ' molasses', ' cocoa', ' whey ', 'milk', ' milk fat', ' nonfat milk', ' salt', ' lecithin ', 'soy', ' pgpr', 'emulsifier', ' artificial flavor', ' tbhq', 'preservative']","['Huile de palme', 'Non végétalien']",?,500,"29,55","56,82","9,09",,"['Snacks', 'Snacks sucrés', 'Confiseries']",,+19%,+101%,-15%,+116%,,,,,,,,,29.6 g,en quantité élevée,11.4 g,en quantité élevée,45.5 g,en quantité élevée,0.482 g,en quantité modérée,2092 kj(500 kcal),+19%,"11,36",+76%,"45,45",-8%,"0,482",+228%,"0,193",+228%,24,+32%,E,+32%,,,,,4,REESE'S,"['E322i - Lécithine', ""E476 - Esters polyglycériques d'acides gras d'huile de ricin"", 'E319 - Butylhydroquinone tertiaire']","['Lait', 'Arachides', 'Soja']",,,,
63,Traditional Irish Butter Shortbread (12S) 12 X 300G - 300g,5011038135959,,,,['France'],[],[],?,519,"28,6",57,"7,7",,,,,,,,,,,,,,,,,,,,,,,,2171 kj(519 kcal),,"17,1",,18,,"0,9",,"0,36",,,,,,300 g,,,,,,,,,,,
64,CŒUR DE COUENNE,0211368028470,,"['Viande-francaise', 'Viande-porcine-francaise']",,['France'],[],[],?,141,"6,2","0,5","20,7",,,,,,,,,,,,,,,,,,,,,,,,590 kj(141 kcal),,"2,2",,"0,5",,"1,92",,"0,768",,,,,,,,,,,,,,,,,
65,Pain chocolat beurre,0278747026243,,,,['France'],[],[],?,489,26,55,"7,5",,,,,,,,,,,,,,,,,,,,,,,,2046 kj(489 kcal),,0,,14,,"1,3",,"0,52",,,,,,,,,,,,,,,,,
66,Pain céréales noisettes amandes,0260513012147,,,,['France'],[],[],?,280,"3,5",51,"8,8",,,,,,,,,,,,,,,,,,,,,,,,1172 kj(280 kcal),,"0,4",,"6,4",,"1,2",,"0,48",,,,,,,,,,,,,,,,,
67,Ragù di lepre,8004964006599,,,,"['France', 'Pays-Bas']",[],[],?,?,?,?,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
68,Ragù di cinghiale,8004964006582,,,,"['France', 'Pays-Bas']",[],[],?,?,?,?,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,['Confezione'],,,,,,,,,,
