,name,bar_code,quantity,packaging,brand,labels,traceability_code,sales_countries,ingredients_list,additives,allergens,ingredients_analysis,nova_score,nutriment_energy-kj_tr,nutriment_energy-kcal_tr,nutriment_energy_tr,nutriment_fat_tr,nutriment_saturated-fat_tr,nutriment_carbohydrates_tr,nutriment_sugars_tr,nutriment_proteins_tr,nutriment_salt_tr,nutriment_sodium_tr,eco_score,generic_name,categories,ingredients_origins,manufacturing,link,fats_lipids_quantity,fats_lipids_comment,saturated_acids_quantity,saturated_acids_comment,sugar_quantity,sugar_comment,salt_quantity,salt_comment,nutriment_energy-kj_tr_diff,nutriment_energy-kcal_tr_diff,nutriment_energy_tr_diff,nutriment_fat_tr_diff,nutriment_saturated-fat_tr_diff,nutriment_carbohydrates_tr_diff,nutriment_sugars_tr_diff,nutriment_proteins_tr_diff,nutriment_salt_tr_diff,nutriment_sodium_tr_diff,nutriment_nutrition-score-fr_tr,nutriment_nutrition-score-fr_tr_diff,nutriment_nutriscore_tr,nutriment_nutriscore_tr_diff,Agriculture,Transformation,Conditionnement,Transport,Distribution,Consommation,Score_ACV,markets,origin_detail,palm_ingredients,brand_owner,producer_info
640,Kimchi,3229820801896,,,,,,['France'],[],,,[],,?,30,126 kj(30 kcal),"0,5","0,1","5,3","4,5","0,9","2,3","0,92",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
641,Création pains burger aux graines,05383831,,,,"['Nutriscore', 'Nutriscore A']",,['France'],[],,,[],,?,?,,?,,?,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
642,Café arménien,4850026000296,,,,,,['France'],[],,,[],,?,?,,?,,?,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
643,Kizilay vişne’li maden suyu,8692813003983,,,,,,['France'],[],,,[],,?,135,565 kj(135 kcal),0,0,30,8,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
644,Gouda holland igp Jeu. Cumin lp,0207967018837,,,,,,['France'],[],,,[],,?,376,1573 kj(376 kcal),31,21,0,0,24,2,"0,8",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
645,Vainilla vainas,3179142057665,,,,,,['France'],[],,,[],,?,?,,?,,?,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
646,04179915,04179915,,,,,,['France'],[],,,[],,?,?,,?,,?,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
647,Fromage etorki,2430506033581,,,,,,['France'],[],,,[],,?,?,,?,,?,,?,,,D,,"['Produits laitiers', 'Produits fermentés', 'Produits laitiers fermentés', 'Fromages', 'Fromages de France']",,,,,,,,,,,,,,,,,,,,,,,,,,84.0%,5.8%,4.0%,4.0%,1.8%,0.5%,54,,,,,
648,Crêpe 6,0208780019025,,,,,,['France'],[],,,[],,?,3.3,14 kj(3 kcal),"3,3","3,3",39,10,"7,5","0,55","0,22",B,,"['Crêpes et galettes', 'Crêpes']",,,,3.3 g,en quantité modérée,3.3 g,en quantité modérée,10 g,en quantité modérée,0.55 g,en quantité modérée,,-99%,-99%,-67%,-9%,-14%,-53%,+5%,-32%,-32%,3,-75%,C,-75%,67.6%,15.0%,9.2%,4.1%,4.2%,0.0%,86,,,,,
649,Coleslaw - 250g,3324321252052,250 g,,,,,['France'],[],,,[],,?,?,,?,,?,,?,0,0,B,,"['Plats préparés', 'Entrées', 'Coleslaw']",,,,,,,,,,0 g,en faible quantité,,,,,,,,,-100%,-100%,,,,,37.1%,36.0%,10.3%,10.1%,5.2%,1.4%,92,,,,,
650,Patatas bolsa 4 kg,8437000800033,,,,,,['France'],[],,,[],,?,?,,?,,?,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
651,Œuf elever en pleine air,3479436382009,,,,,,['France'],[],,,[],,?,141,590 kj(141 kcal),6,"2,912","0,828","0,3","12,438","0,328","0,131",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
652,"Regenbogen Forellenfilets, Ohne Haut, Geräuchert",5709505220177,,,,,,['France'],[],,,[],,?,139,582 kj(139 kcal),"6,4","1,6",0,0,"20,3","2,3","0,92",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
653,Mélanges mexicain,2600692038183,,,,,,['France'],[],,,[],,?,533,2230 kj(533 kcal),34,6,37,4,17,2,"0,8",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
654,Fruits mixés - Panier de   Yoplait,3329770076853,,,['Panier de   Yoplait'],,,['France'],[],,,[],,?,92,385 kj(92 kcal),"2,4","1,6","12,2","11,5","3,5","0,13","0,052",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
655,Chocolat bio création d'Amelie,3120479010298,,,,,,['France'],[],,,[],,?,590,2469 kj(590 kcal),40,24,47,45,"6,9","0,19","0,076",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
656,Gerblé Bio Petit déj' chocolat banane au blé ancien,3175681272941,,,['Gerblé'],"['Nutriscore', 'Nutriscore C']",,['France'],[],,,[],,?,459,1920 kj(459 kcal),19,3,59,14,9,"0,36","0,144",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
