,name,bar_code,sales_countries,ingredients_list,ingredients_analysis,nutriment_energy-kj_tr,nutriment_energy-kcal_tr,nutriment_energy_tr,nutriment_fat_tr,nutriment_saturated-fat_tr,nutriment_carbohydrates_tr,nutriment_sugars_tr,nutriment_proteins_tr,nutriment_salt_tr,nutriment_sodium_tr,eco_score,quantity,brand,categories,traceability_code,markets,fats_lipids_quantity,fats_lipids_comment,saturated_acids_quantity,saturated_acids_comment,sugar_quantity,sugar_comment,salt_quantity,salt_comment,nutriment_energy-kj_tr_diff,nutriment_energy-kcal_tr_diff,nutriment_energy_tr_diff,nutriment_fat_tr_diff,nutriment_saturated-fat_tr_diff,nutriment_carbohydrates_tr_diff,nutriment_sugars_tr_diff,nutriment_proteins_tr_diff,nutriment_salt_tr_diff,nutriment_sodium_tr_diff,nutriment_nutrition-score-fr_tr,nutriment_nutrition-score-fr_tr_diff,nutriment_nutriscore_tr,nutriment_nutriscore_tr_diff,Agriculture,Transformation,Conditionnement,Transport,Distribution,Consommation,Score_ACV,labels,nova_score,packaging,ingredients_origins,allergens,manufacturing,generic_name,link,additives,palm_ingredients
438,Delhaize,5400119544634,['France'],[],[],?,?,,?,,?,,?,,,,,['Delhaize'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"['Nutriscore', 'Nutriscore A']",,,,,,,,,
439,231028360057200551003155,231028360057200551003155,['France'],[],[],?,?,,?,,?,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
440,Vache qui rit,8565973593475,['France'],[],[],?,?,,?,,?,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"['Bio', 'Bio européen', 'FR-BIO-01', 'AB Agriculture Biologique']",,,,,,,,,
441,Chili con carne,1021290018994,['France'],[],[],?,?,,?,,?,,?,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
442,0211632025457,0211632025457,['France'],[],[],?,?,,?,,?,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
443,Durian Surgelé,3700294602085,['France'],[],[],?,147,615 kj(147 kcal),5,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
444,Piémontaise traditionnelle,2802677014230,['France'],[],[],?,0,0 kj(0 kcal),?,,?,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
445,Miel de fleur,3770012186029,['France'],[],[],?,?,,?,,?,,?,,,B,,,"['Produits à tartiner', 'Petit-déjeuners', 'Produits de la ruche', ""Produits d'élevages"", 'Produits à tartiner sucrés', 'Édulcorants', 'Miels', 'Miels de fleurs']",,,,,,,,,,,,,,,,,,,,,,,,,87.9%,0.0%,7.7%,3.1%,1.3%,0.0%,82,,,,,,,,,,
446,Salami,8412954022816,['France'],[],[],?,394,1648 kj(394 kcal),"35,9",14,"2,8","2,6","14,9","3,2","1,28",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
447,Sirop de Cranberry,3055150005532,['France'],[],[],?,1,4 kj(1 kcal),0,0,85,75,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
448,Confiserie au sesame et a l'arachide,8935005305145,['France'],[],[],?,?,,?,,?,,?,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
449,Rôti,2480546077533,['France'],[],[],?,?,,?,,?,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
450,Gâteau de lune au goût de ananas,4897019148238,['France'],[],[],?,324.8,1359 kj(324 kcal),"2,6",0,"71,1",15,"0,6","0,14","0,056",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
451,Tarte citron meringuée,0201545051827,['France'],[],[],?,383,1602 kj(383 kcal),21,11,43,30,5,"0,13","0,052",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
452,Huile d'olive,3760171284971,['France'],[],[],?,900,3766 kj(900 kcal),"99,8","15,1",0,0,0,0,0,D,,,"['Aliments et boissons à base de végétaux', ""Aliments d'origine végétale"", 'Matières grasses', 'Matières grasses végétales', ""Produits de l'olivier"", 'Huiles', ""Huiles d'olive"", ""Huiles d'olive vierges"", ""Huiles d'olive vierges extra""]",,,99.8 g,en quantité élevée,15.1 g,en quantité élevée,0 g,en faible quantité,0 g,en faible quantité,,+5%,+5%,+5%,+8%,,,,-100%,-100%,6,-2%,C,-2%,88.1%,4.5%,3.6%,2.0%,1.7%,0.0%,47,,,,,,,,,,
453,Olio extra vergine di oliva,8002591905186,['France'],[],[],?,820,3431 kj(820 kcal),92,13,0,0,0,0,0,D,,,"['Aliments et boissons à base de végétaux', ""Aliments d'origine végétale"", 'Matières grasses', 'Matières grasses végétales', ""Produits de l'olivier"", 'Huiles', ""Huiles d'olive"", ""Huiles d'olive vierges"", ""Huiles d'olive vierges extra""]",,,92 g,en quantité élevée,13 g,en quantité élevée,0 g,en faible quantité,0 g,en faible quantité,,-4%,-4%,-4%,-7%,,,,-100%,-100%,6,-2%,C,-2%,88.1%,4.5%,3.6%,2.0%,1.7%,0.0%,47,,,,,,,,,,
454,Thé noir Ceylan OP,3760167533311,['France'],[],[],?,?,,?,,?,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
455,Andros pomme pêche sans sucre ajouté,3608580033745,['France'],[],[],?,56,234 kj(56 kcal),"0,3",0,12,12,"0,5",0,0,,,['Andros'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
456,Chorizo extra,8420391521038,['France'],[],[],?,302,1264 kj(302 kcal),"20,8","7,5","0,9",0,"27,84","2,63","1,052",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
457,The Blanc Coco & Fruits de la passion,0680275059523,['France'],[],[],?,?,,?,,?,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"['Bio', 'Bio européen', 'AB Agriculture Biologique']",,,,,,,,,
458,Rose de loire,3760056650228,['France'],[],[],?,85,356 kj(85 kcal),0,0,20,1,9,9,"3,6",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
459,Roquefort et gratte cul,3770001619828,['France'],[],[],?,?,,?,,?,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
460,Fromage pur brebis,,['France'],[],[],?,451,1887 kj(451 kcal),"39,4","25,3","1,4","1,4","22,8",1,"0,4",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
461,Apple fruit crisps,29044160,['France'],[],[],?,339,1418 kj(339 kcal),"0,8","0,2","75,9","67,2","1,8",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
462,Coeur de saumon fumé,5400742902924,['France'],[],[],?,182,761 kj(182 kcal),"10,6",3,"0,2","0,2","21,7","2,5",1,E,,,"['Produits de la mer', 'Poissons', 'Saumons', 'Poissons fumés', 'Saumons fumés']",,,10.6 g,en quantité modérée,3 g,en quantité modérée,0.2 g,en faible quantité,2.5 g,en quantité élevée,,-2%,-2%,+1%,+46%,-60%,-40%,-2%,-11%,-11%,14,+7%,D,+7%,96.2%,0.0%,1.6%,1.4%,0.7%,0.2%,24,,,,,,,,,,
463,Saucisse de poulet,2279535056945,['France'],[],[],?,816,3414 kj(816 kcal),15,"10,3",0,0,"15,3","2,2","0,88",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
464,Deliciously Crispy Crunch,29045105,['France'],[],[],?,459,1920 kj(459 kcal),"18,2","8,4","61,6","24,1",9,"0,23","0,092",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
465,Lapin prêt à cuisiner,2685430053000,['France'],[],[],?,170,711 kj(170 kcal),10,"3,8",1,1,20,"0,16","0,064",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
466,Croissant,0250618030177,['France'],[],[],?,418,1749 kj(418 kcal),26,19,36,"6,3","7,8","0,88","0,352",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
467,Les 3 meuniers,0203177009184,['France'],[],[],?,416.29998779297,1742 kj(416 kcal),26,0,"6,3","6,3","7,8","0,88","0,352",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
468,beurre corporel et capillaire - MRS AND LADY'S - 200ml,36637027,['France'],"['beurre de karité ', 'huile de monoï ', 'huile de fruit de la passion ', 'fleurs de jasmin']",[],?,?,,?,,?,,?,,,,200 ml,"[""MRS AND LADY'S""]",['SOIN\xa0 CORPOREL ET CAPILLAIRE'],"['EMB 77445', 'Savigny-le-Temple (Seine-et-Marne, France)']",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,['Bio'],,['Plastique'],"['France', 'Tahiti']",,['FRANCE'],soin cosmetique,https://mrs-and-ladys.com,,
469,"Persil haché, barquette 60g",3570250021348,['France'],[],[],?,42,176 kj(42 kcal),"0,6","0,1","3,5",1,"3,6",,,,,,,"['EMB 44129D', 'Pontchâteau (Loire-Atlantique, France)']",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
470,Salvia,8056590640562,['France'],[],[],?,38,159 kj(38 kcal),0,0,"8,3","8,3",0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
471,3760192123693,3760192123693,['France'],[],[],?,?,,?,,?,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
472,1/3 tourte tranchée,0202968013126,['France'],[],[],?,0,0 kj(0 kcal),?,,?,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
473,Puchi pori natto snack shoyu,4901351054710,['France'],[],[],?,475,1987 kj(475 kcal),28,0,31,"13,5","32,5","2,5",1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
474,Sans peau sardines,8410155003245,['France'],[],[],?,289,1209 kj(289 kcal),23,"4,2","0,7","0,5","19,8","0,8","0,32",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
475,Chorizo,2210245041852,['France'],[],[],?,289.1,1210 kj(289 kcal),"18,6","3,1","3,5","3,4",0,"3,6","1,44",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
476,Olives cassées à l’ail,2609810015945,['France'],[],[],?,?,,?,,?,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
477,Cuisses de poulet,2201292025919,['France'],[],[],?,?,,?,,?,,?,,,D,,,"['Viandes', 'Volailles', 'Poulets', 'Cuisses de poulet']",,,,,,,,,,,,,,,,,,,,,,,,,83.4%,9.5%,2.7%,2.7%,1.4%,0.4%,44,,,,,,,,,,
478,Châteaubriand,0249890090658,['France'],[],[],?,113,473 kj(113 kcal),"2,3","0,8",0,0,23,"0,2","0,08",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
479,Sauce vinaigrette mangue gingembre - Monoprix Gourmet,3350033744967,['France'],[],[],?,498,2084 kj(498 kcal),"5,3","0,8","6,9","0,5","2,4","0,36","0,144",,,['Monoprix Gourmet'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
480,Grissini,98308262,['France'],[],[],?,427,1787 kj(427 kcal),"11,9",2,"66,2","2,8","12,1","1,9","0,76",B,,,"['Aliments et boissons à base de végétaux', ""Aliments d'origine végétale"", 'Céréales et pommes de terre', 'Pains', 'Gressins']",,,11.9 g,en quantité modérée,2 g,en quantité modérée,2.8 g,en faible quantité,1.9 g,en quantité élevée,,+1%,+2%,+10%,-12%,-1%,+12%,+6%,0%,0%,14,+9%,D,+9%,58.5%,23.6%,10.3%,6.6%,0.9%,0.0%,93,,,,,,,,,,
481,EAA zero - Weider,4044782315736,['France'],[],"['Végétalien', 'Végétarien']",?,9,38 kj(9 kcal),0,0,0,0,"1,8",0,0,,,['Weider'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"['Végétarien', 'Végétalien']",,,,,,,,,
482,MagZen,3701179300010,['France'],[],[],?,?,,?,,?,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
483,Cuisse de poulet,2235967067560,['France'],[],[],?,?,,?,,?,,?,,,D,,,"['Viandes', 'Volailles', 'Poulets', 'Cuisses de poulet']",,,,,,,,,,,,,,,,,,,,,,,,,83.4%,9.5%,2.7%,2.7%,1.4%,0.4%,44,,,,,,,,,,
484,Saucisson de cheval fumé feculé,2484976016469,['France'],[],[],?,265,1109 kj(265 kcal),20,"7,5",8,"1,3",13,"2,3","0,92",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
485,Glace Végetale Vanille & Perles de Biscuit,3770006750557,['France'],[],[],?,133,556 kj(133 kcal),"4,67","3,53","23,29","4,31","0,73",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
486,Vinaigre,3700938805346,['France'],[],[],?,3,13 kj(3 kcal),"0,04",0,"22,1",13,"0,4",,,B,,,['Vinaigres'],,,0.04 g,en faible quantité,0.0002 g,en faible quantité,13 g,en quantité élevée,,,,-96%,-96%,-49%,-99%,+36%,-10%,-5%,,,,,,,39.4%,16.4%,33.5%,8.2%,2.4%,0.0%,91,,,,,,,,,,
487,Cola,87926811,['France'],[],[],?,0,0 kj(0 kcal),0,0,11,10,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
488,Mélange Caraïbes,2600303038373,['France'],[],[],?,435,1820 kj(435 kcal),"19,5","2,5","54,4","52,3","7,2","0,11","0,044",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
489,Saucisses de volaille,2344022002405,['France'],[],[],?,139,582 kj(139 kcal),"7,1",2,"0,3","0,3",18,"1,7","0,68",E,,,"['Viandes', 'Charcuteries', 'Saucisses', 'Saucisses de volaille']",,,7.1 g,en quantité modérée,2 g,en quantité modérée,0.3 g,en faible quantité,1.7 g,en quantité élevée,,-23%,-24%,-40%,-45%,-76%,-42%,+9%,-4%,-4%,4,-59%,C,-59%,88.4%,6.6%,1.6%,0.9%,0.5%,2.0%,17,,,,,,,,,,
490,Filet de saumon  ACS,2287340012391,['France'],[],[],?,?,,?,,?,,?,,,,,,,['ASC-C-00950'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
491,Mozzarella 40 +,8718836784248,['France'],[],[],?,301,1259 kj(301 kcal),"21,8","14,6","2,7",0,"24,3","1,36","0,544",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
492,Rami Junior,3114524107200,['France'],[],[],?,3,13 kj(3 kcal),5,4,5,4,20,7,"2,8",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
493,pois chiches enrobés de sucre,8692345525304,['France'],[],[],?,376,1573 kj(376 kcal),"2,3","1,4",77,75,"6,4",,,B,,,"['Aliments et boissons à base de végétaux', ""Aliments d'origine végétale"", 'Légumineuses et dérivés', 'Légumineuses', 'Graines', 'Graines de légumineuses', 'Légumes secs', 'Pois chiches']",,,2.3 g,en faible quantité,1.4 g,en faible quantité,75 g,en quantité élevée,,,,+98%,+100%,-24%,+258%,+226%,+4473%,-37%,,,,,,,56.9%,0.0%,16.0%,22.6%,4.5%,0.0%,96,,,,,,,,,,
494,Chinò le bibite italiane',8002270646584,['France'],[],[],?,42,176 kj(42 kcal),0,0,10,10,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
495,Pierrier,7613037584165,['France'],[],[],?,?,,?,,?,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
496,Râpé de la mer,0203274014692,['France'],[],[],?,?,,?,,?,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"['Nutriscore', 'Nutriscore B']",,,,,,,,,
497,Brandade de Nîmes,3700858200122,['France'],[],[],?,461,1929 kj(461 kcal),48,"3,6","0,5","0,5","6,8","1,3","0,52",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
498,Bevanda al cacao,8003410377108,['France'],[],[],?,383,1602 kj(383 kcal),7,"4,3",62,60,17,"0,91","0,364",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
499,Pâté au foie gras,7141047200749,['France'],[],[],?,370.8,1551 kj(370 kcal),34,"13,6","2,8","0,5","13,4","1,5","0,6",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
500,Cacahuetes grillees a sec,2006050010691,['France'],[],[],?,595,2489 kj(595 kcal),47,"6,4",16,"6,4",27,"1,5","0,6",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
501,Pâté aux cèpes,7141047203177,['France'],[],[],?,314,1314 kj(314 kcal),"29,4","9,98","1,4","0,63","13,45","1,91","0,764",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
502,Pâté aux truffes,7141047203191,['France'],[],[],?,331.65,1388 kj(331 kcal),"31,19","10,6","1,04","0,44","14,33","1,93","0,772",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
503,Cantal aop jeune,2239001015098,['France'],[],[],?,?,,?,,?,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
504,Bordeaux rosé,26069555,['France'],[],[],?,?,,?,,?,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
505,Tapenade,5201216300259,['France'],[],[],?,172,720 kj(172 kcal),17,"5,7","0,8",0,"1,2",4,"1,6",C,,,"['Produits à tartiner', 'Produits à tartiner salés', 'Tapenades']",,,17 g,en quantité modérée,5.7 g,en quantité élevée,0 g,en faible quantité,4 g,en quantité élevée,,-33%,-33%,-31%,+69%,-74%,-100%,-31%,+33%,+33%,17,+19%,D,+19%,58.6%,12.7%,16.0%,8.1%,2.7%,1.9%,71,,,,,,,,,,
506,Thé helps botanical,8470001734877,['France'],[],[],?,1,4 kj(1 kcal),0,0,"0,2",0,"0,1",0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
507,Bidassoa Cenitz American IPA,8425402153734,['France'],[],[],?,?,,?,0,?,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
508,Saucusse seche de canard,0207709063040,['France'],[],[],?,?,,?,,?,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
509,Rosé Corse Milelli,3381781003389,['France'],[],[],?,?,,?,0,?,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
510,Focaccia Artigianale traditionnelle - Florelli,3760077537676,['France'],[],[],?,404,1690 kj(404 kcal),11,"1,7",65,"1,6",10,"2,6","1,04",,,"['Florelli', 'Ital Passion']",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
511,Fruits infusés bio,8613052142028,['France'],[],[],?,14,59 kj(14 kcal),0,0,"3,3","3,3",0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"['Bio', 'Bio européen', 'AB Agriculture Biologique']",,,,,,,,,
512,Gorgonzola AOP cremoso,0202835018698,['France'],[],[],?,?,,?,,?,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
513,Huile d'olive -,9782047354414,['France'],[],[],3389,824,3389 kj(824 kcal),"91,6","13,7",0,0,0,0,0,D,,,"['Aliments et boissons à base de végétaux', ""Aliments d'origine végétale"", 'Matières grasses', 'Matières grasses végétales', 'Non alimentaire', ""Produits de l'olivier"", 'Huiles', ""Huiles d'olive"", ""Huiles d'olive vierges"", ""Huiles d'olive vierges extra""]",,,91.6 g,en quantité élevée,13.7 g,en quantité élevée,0 g,en faible quantité,0 g,en faible quantité,,+287%,+280%,+733%,+296%,-100%,-100%,-100%,-100%,-100%,,,,,88.1%,4.5%,3.6%,2.0%,1.7%,0.0%,47,,,,,,,,,,
514,Sirop mimosa,3770010522478,['France'],[],[],?,200,837 kj(200 kcal),"0,23",0,"49,95","49,95",0,"0,9","0,36",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
515,Les escalopes dinde,0270075026247,['France'],[],[],?,114,477 kj(114 kcal),"1,3","0,4","0,5","0,4",25,"0,13","0,052",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"['Nutriscore', 'Nutriscore A']",,['Film en plastique'],,,,,,,
516,Grill en fête,3384110008284,['France'],[],[],?,263,1100 kj(263 kcal),21,"8,3","2,5",2,14,"1,9","0,76",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
517,2 pavés marinés échalote,0210735026378,['France'],[],[],?,95,397 kj(95 kcal),"1,3","0,6","0,7","0,5",20,1,"0,4",,,,,"['FR 35.360.005 CE', 'Vitré (Ille-et-Vilaine, France)']",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
518,Ravioli,3760301040095,['France'],[],[],?,239,1000 kj(239 kcal),"3,5","1,1","43,1",2,"10,5","0,2","0,08",,,,,['FR 2A.771.003 CE'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
519,Cuillères en chocolat,3395250004067,['France'],[],[],?,?,,?,,?,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
520,2164054002361,2164054002361,['France'],[],[],?,?,,?,,?,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
521,Saucisson sec VPF enrobé herbes,3252850320136,['France'],[],[],?,?,,?,,?,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
522,Pop,3276000706922,['France'],[],[],?,179,749 kj(179 kcal),18,17,"2,9","2,6","2,1",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
523,Bleu d'Auvergne,0200324018044,['France'],[],[],?,340,1423 kj(340 kcal),28,20,1,0,21,"2,6","1,04",D,,,"['Produits laitiers', 'Produits fermentés', 'Produits laitiers fermentés', 'Fromages', 'Fromages de vache', 'Fromages à pâte persillée', 'Fromages à pâte persillée français', ""Bleus d'Auvergne""]",,,28 g,en quantité élevée,20 g,en quantité élevée,0 g,en faible quantité,2.6 g,en quantité élevée,,-1%,-1%,-2%,-0%,+39%,-100%,+2%,-3%,-3%,19,0%,E,0%,84.0%,5.8%,4.0%,4.0%,1.8%,0.5%,54,,,,,,,,,,
524,Ballotine de volaille,2470745015870,['France'],[],[],?,?,,?,,?,,?,,,,,,,"['FR 12.090.007 CE', 'Druelle (Aveyron, France)']",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
525,Les p'tits carrés apéro,3569880002278,['France'],[],[],?,413,1728 kj(413 kcal),"17,12","2,31","50,73","7,05","10,45","0,59","0,236",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"['Bio', 'Bio européen', 'AB Agriculture Biologique']",,,,,,,,,
526,Foie Gras,3443800000325,['France'],[],[],?,452,1891 kj(452 kcal),47,21,"1,9",1,6,"0,4","0,16",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
527,Saucisson sec au sanglier,2658958045000,['France'],[],[],?,381,1594 kj(381 kcal),28,12,"0,6",0,33,"5,2","2,08",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
528,Chair a saucisse superieure,15474483,['France'],[],[],?,204,854 kj(204 kcal),"14,3","5,8","2,3","0,4","16,6","1,87","0,748",E,,,"['Viandes', 'Charcuteries', 'Saucisses', 'Chair à saucisse']","['FR 31.001.010 CE', 'Agassac (Haute-Garonne, France)']",,14.3 g,en quantité modérée,5.8 g,en quantité élevée,0.4 g,en faible quantité,1.87 g,en quantité élevée,,-23%,-22%,-37%,-33%,+100%,-38%,+25%,+12%,+12%,15,-15%,D,-15%,77.3%,16.5%,4.1%,1.3%,0.7%,0.2%,25,,,,,,,,,,
529,La p'ite glace rhum-raisin,3760215810456,['France'],[],[],?,?,,?,,?,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,['Bio'],,,,,,,,,
530,Biscuit spiruline beurreet fleur de sel -,3770012929008,['France'],[],[],?,516.70001220703,2162 kj(516 kcal),"26,1","17,13",59,"21,7","9,5","0,56","0,224",C,,,"['Snacks', 'Snacks sucrés', 'Biscuits et gâteaux', 'Biscuits']",,,26.1 g,en quantité élevée,17.1 g,en quantité élevée,21.7 g,en quantité élevée,0.56 g,en quantité modérée,,+9%,+9%,+25%,+70%,-8%,-26%,+46%,-5%,-5%,18,-9%,D,-9%,80.3%,11.4%,3.7%,2.4%,2.2%,0.0%,58,,,,,,,,,,
531,Transiphyt,3428883626006,['France'],[],[],?,?,,?,,?,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
532,Miso soup awase,4902663010579,['France'],[],[],?,158,661 kj(158 kcal),"5,38","0,7","13,5","11,5","10,5","11,4","4,56",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
533,Piment fort,8412279020115,['France'],[],[],?,?,,?,,?,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
534,Epices barbecue,3700952000185,['France'],[],[],?,?,,?,,?,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
535,Miel de poitou Charentes,7091573000002,['France'],[],[],?,?,,?,,?,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
536,Cuisses de poulet rôti - Le Gaulois,0217637034579,['France'],[],[],?,168,703 kj(168 kcal),10,"2,6",1,1,20,"1,4","0,56",D,,['Le Gaulois'],"['Viandes', 'Volailles', 'Poulets', 'Cuisses de poulet']",,,10 g,en quantité modérée,2.6 g,en quantité modérée,1 g,en faible quantité,1.4 g,en quantité modérée,,-12%,-12%,-19%,-22%,+214%,+545%,+9%,+84%,+84%,5,+42%,C,+42%,83.4%,9.5%,2.7%,2.7%,1.4%,0.4%,44,,,,,,,,,,
537,Pur Jus De Pomme -,3297366133009,['France'],[],[],?,42.700000762939,179 kj(42 kcal),"0,14","0,1","9,8","9,4","0,17","0,055","0,022",C,,,"['Aliments et boissons à base de végétaux', 'Boissons', 'Boissons à base de végétaux', 'Boissons aux fruits', 'Jus et nectars', 'Jus de fruits', 'Jus de fruits pur jus', 'Jus de pomme', 'Jus de pommes pur jus']",,,0.14 g,en faible quantité,0.1 g,en faible quantité,9.4 g,en quantité élevée,0.055 g,en faible quantité,,-7%,-6%,-22%,+197%,-11%,-10%,-22%,+340%,+340%,3,-28%,C,-28%,52.8%,9.4%,18.4%,14.0%,5.4%,0.0%,70,,,,,,,,,,
