,name,bar_code,sales_countries,ingredients_list,ingredients_analysis,nutriment_energy-kj_tr,nutriment_energy-kcal_tr,nutriment_energy_tr,nutriment_fat_tr,nutriment_saturated-fat_tr,nutriment_carbohydrates_tr,nutriment_sugars_tr,nutriment_proteins_tr,nutriment_salt_tr,nutriment_sodium_tr,eco_score,quantity,brand,categories,traceability_code,markets,fats_lipids_quantity,fats_lipids_comment,saturated_acids_quantity,saturated_acids_comment,sugar_quantity,sugar_comment,salt_quantity,salt_comment,nutriment_energy-kj_tr_diff,nutriment_energy-kcal_tr_diff,nutriment_energy_tr_diff,nutriment_fat_tr_diff,nutriment_saturated-fat_tr_diff,nutriment_carbohydrates_tr_diff,nutriment_sugars_tr_diff,nutriment_proteins_tr_diff,nutriment_salt_tr_diff,nutriment_sodium_tr_diff,nutriment_nutrition-score-fr_tr,nutriment_nutrition-score-fr_tr_diff,nutriment_nutriscore_tr,nutriment_nutriscore_tr_diff,Agriculture,Transformation,Conditionnement,Transport,Distribution,Consommation,Score_ACV,labels,nova_score,packaging,ingredients_origins,allergens,manufacturing,generic_name,link,additives,palm_ingredients
1021,"Mélange salé Tomates, Romarin & Paprika fumé",3770007543530,['France'],[],[],?,464,1941 kj(464 kcal),"25,8","2,5","38,9","4,2","15,2","0,44","0,176",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1022,Super bleu - 750ml,2007351015095,['France'],[],[],?,54,226 kj(54 kcal),0,0,12,"9,8","0,3",0,0,,750 ml,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1023,Margarina De Cocinar Eldai,3856015306371,['France'],[],[],?,720,3012 kj(720 kcal),80,43,0,0,0,"0,4","0,16",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1024,Filet de poulet,2487387016400,['France'],[],[],?,?,,?,,?,,?,,,D,,,"['Viandes', 'Volailles', 'Poulets', 'Filets de poulet']",,,,,,,,,,,,,,,,,,,,,,,,,83.4%,9.5%,2.7%,2.7%,1.4%,0.4%,44,"['Nutriscore', 'Nutriscore A']",,,,,,,,,
1025,Turron de queso - Vicens,8410495542459,['France'],[],[],?,630,2636 kj(630 kcal),50,20,28,24,18,"0,7","0,28",E,,['Vicens'],"['Snacks', 'Snacks sucrés', 'Confiseries', 'Aliments et boissons de Noël', 'Confiseries de Noël', 'Touron']",,,50 g,en quantité élevée,20 g,en quantité élevée,24 g,en quantité élevée,0.7 g,en quantité modérée,,+21%,+20%,+60%,+279%,-38%,-38%,+50%,+989%,+989%,25,+52%,E,+52%,91.0%,4.2%,2.3%,2.0%,0.5%,0.0%,34,,,,,,,,,,
1026,Bonbon mirabelle - quetsche,3266054000572,['France'],[],[],?,346,1448 kj(346 kcal),"0,5","0,1",87,82,"0,5","0,35","0,14",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1027,Skinny syrup,5060614800149,['France'],[],[],?,3,13 kj(3 kcal),0,0,0,0,0,"0,25","0,1",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1028,Pignons de pin bio,3481010098824,['France'],[],[],?,715,2992 kj(715 kcal),68,5,13,"3,6","13,7",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,['Bio'],,,,,,,,,
1029,A.O.T2,5060327534416,['France'],[],[],?,346,1448 kj(346 kcal),"0,9","0,2",78,"0,2","5,9",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1030,"Boite 4 épices ( cumin, paprika, curcuma, curry ) - Columbia",4027900400026,['France'],[],[],?,?,,?,,?,,?,,,,,['Columbia'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1031,Siracuse-Citron vert,05652739,['France'],[],[],?,27,113 kj(27 kcal),"0,03",0,2,2,"0,4",,,,,['Siracuse'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1032,Fried Eggs oeufs au plat,8410525244919,['France'],[],[],?,323,1351 kj(323 kcal),0,0,76,52,6,"0,1","0,04",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1033,Marshmallow,9092200656171,['France'],[],[],?,322,1347 kj(322 kcal),0,0,"75,9","69,6",5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1034,Herbe de Provence,3760197941322,['France'],[],[],?,?,,?,,?,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1035,Filets de poulet rôtis,0211791026302,['France'],[],[],?,141,590 kj(141 kcal),"5,5","1,4","0,6","0,6","22,3","1,26","0,504",D,,,"['Viandes', 'Volailles', 'Poulets', 'Filets de poulet', 'Filets de poulet rotis']",,,5.5 g,en quantité modérée,1.4 g,en faible quantité,0.6 g,en faible quantité,1.26 g,en quantité modérée,,-3%,-3%,+2%,+3%,+4%,+39%,-6%,-6%,-6%,2,-22%,B,-22%,83.4%,9.5%,2.7%,2.7%,1.4%,0.4%,44,,,,,,,,,,
1036,Chocolat noir 70% Cacao - Un Zèbre en Cuisine,3770013887260,['France'],[],[],?,521,2180 kj(521 kcal),40,24,23,19,9,"0,04","0,016",E,,['Un Zèbre en Cuisine'],"['Snacks', 'Snacks sucrés', 'Cacao et dérivés', 'Chocolats', 'Chocolats noirs']",,,40 g,en quantité élevée,24 g,en quantité élevée,19 g,en quantité élevée,0.04 g,en faible quantité,,-6%,-6%,+2%,+4%,-40%,-40%,+17%,-14%,-14%,15,-29%,D,-29%,85.3%,9.9%,1.2%,3.2%,0.4%,0.0%,24,['Sans sucre ajouté'],,,,,,,,,
1037,Perlas de pimentón ahumado ecológico y sin gluten tarro,8436542194242,['France'],[],[],?,147,615 kj(147 kcal),"0,7","0,1","6,4","0,45","0,8","2,14","0,856",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,['Bio'],,,,,,,,,
1038,Knacks FE X4,2422875030247,['France'],[],[],?,288,1205 kj(288 kcal),26,"9,7","0,6","0,6",13,"1,9","0,76",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1039,Tarte citron Meringuée,0202459025256,['France'],[],[],?,344,1439 kj(344 kcal),13,"8,2",51,35,"4,6","0,1","0,04",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1040,Sablés à la fleur de sel de l'île de Ré - Beurlay - 170g,3229580024047,['France'],"['Farine de blé*', 'beurre*', 'sucre de canne* 18%', 'œufs frais*', 'dextrose*', 'fleur de sel de l’île de Ré', 'caramel* ', 'sucre de canne*', 'sirop de blé*', 'eau', 'extrait de café* ', 'sucre de canne*', 'eau', 'café*', 'caramel * ', 'sucre*', 'eau', "" \r * Ingrédients issus de l'agriculture biologique"", ' Souligné : Ingrédients issus du commerce équitable']",['Non végétalien'],?,512,2142 kj(512 kcal),24,16,67,28,"6,5","1,2","0,48",B,170 g,['Beurlay'],"['Snacks', 'Snacks sucrés', 'Biscuits et gâteaux', 'Biscuits', 'Biscuits secs']",,,24 g,en quantité élevée,16 g,en quantité élevée,28 g,en quantité élevée,1.2 g,en quantité modérée,,+14%,+14%,+47%,+160%,+0%,-12%,-12%,+155%,+155%,26,+54%,E,+54%,80.3%,11.4%,3.7%,2.4%,2.2%,0.0%,58,"['Bio', 'Ecocert', 'Commerce équitable', 'Origine France']",4,"['Sec', 'Carton']",['France'],"['Œufs', 'Gluten', 'Lait']",['Charente Maritime'],biscuits sablés biologiques,https://www.patisseriebeurlay.fr/218-sachet-de-mini-broyes-bio.html?search_query=sables&results=3,,
