,name,bar_code,brand,sales_countries,ingredients_list,ingredients_analysis,nutriment_energy-kj_tr,nutriment_energy-kcal_tr,nutriment_energy_tr,nutriment_fat_tr,nutriment_saturated-fat_tr,nutriment_carbohydrates_tr,nutriment_sugars_tr,nutriment_proteins_tr,nutriment_salt_tr,nutriment_sodium_tr,eco_score,categories,nutriment_energy-kj_tr_diff,nutriment_energy-kcal_tr_diff,nutriment_fat_tr_diff,nutriment_carbohydrates_tr_diff,nutriment_proteins_tr_diff,Agriculture,Transformation,Conditionnement,Transport,Distribution,Consommation,Score_ACV,labels,traceability_code,fats_lipids_quantity,fats_lipids_comment,saturated_acids_quantity,saturated_acids_comment,sugar_quantity,sugar_comment,salt_quantity,salt_comment,nutriment_energy_tr_diff,nutriment_saturated-fat_tr_diff,nutriment_sugars_tr_diff,nutriment_salt_tr_diff,nutriment_sodium_tr_diff,nutriment_nutrition-score-fr_tr,nutriment_nutrition-score-fr_tr_diff,nutriment_nutriscore_tr,nutriment_nutriscore_tr_diff,quantity,additives,allergens,nova_score,brand_owner,generic_name,packaging,ingredients_origins,markets,manufacturing,link,palm_ingredients,producer_info
677,Escalopes de dinde - Loué - 2,2454154039757,['Loué'],['France'],[],[],?,?,,?,,?,,?,,,D,"['Viandes', 'Volailles', 'Dindes', 'Escalopes de dinde']",,,,,,84.3%,9.9%,2.2%,2.3%,1.1%,0.3%,37,,"['FR 72.264.002 CE', 'Sablé-sur-Sarthe (Sarthe, France)']",,,,,,,,,,,,,,,,,,2,,,,,,,,,,,,
678,Arome naturel fruits de la passion LA PATELIERE,3278584146095,['La Pateliere'],['France'],[],[],?,?,,?,,?,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
679,Mini bottereaux chocolat blanc,2030503492505,,['France'],[],[],?,?,,?,,?,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
680,Poulet - Loué - 1,2443555106724,['Loué'],['France'],[],[],?,?,,?,,?,,?,,,D,"['Viandes', 'Volailles', 'Poulets']",,,,,,83.4%,9.5%,2.7%,2.7%,1.4%,0.4%,44,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,
681,Gesuikerde drop mix - Jumbo,8718452205714,['Jumbo'],['France'],[],[],?,347,1452 kj(347 kcal),"0,1","0,1","82,6","67,7","3,8","0,1","0,04",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
682,Wrap gusto,0291428026639,,['France'],[],[],?,85,356 kj(85 kcal),"2,6","0,3","12,2","1,51","2,63","0,29","0,116",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
683,Fraise kiss,3664676100241,,['France'],[],[],?,54,226 kj(54 kcal),0,0,13,11,"0,5",0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
684,0200303022505,0200303022505,,['France'],[],[],?,?,,?,,?,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
685,Fromage fermier bio au lait cru,9900560000001,,['France'],[],[],?,?,,?,,?,,?,,,,,,,,,,,,,,,,,['Bio'],"['FR 01.046.050 CE', 'Biziat (Ain, France)']",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
686,Raisin golden - Barco,3760083881305,['Barco'],['France'],[],[],?,294,1230 kj(294 kcal),8,8,"1,8","1,8",65,0,0,,"['Aliments et boissons à base de végétaux', ""Aliments d'origine végétale"", 'Aliments à base de fruits et de légumes', 'Fruits et produits dérivés', 'Fruits']",,+62%,+1011%,-95%,+4067%,,,,,,,,,,8 g,en quantité modérée,8 g,en quantité élevée,1.8 g,en faible quantité,0 g,en faible quantité,+65%,+5095%,-94%,-100%,-100%,0,-100%,B,-100%,,,,,,,,,,,,,
687,Jambon cuit tranché,0210377042378,,['France'],[],[],?,?,,?,,?,,?,,,,,,,,,,,,,,,,,,"['FR 46.267.003 CE', 'Saint-Germain-du-Bel-Air (Lot, France)']",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
688,Torrone morbido,8002325013637,,['France'],[],[],?,453,1895 kj(453 kcal),14,"1,2",69,60,"6,5",0,0,E,"['Snacks', 'Snacks sucrés', 'Confiseries', 'Nougats']",,+1%,-15%,+6%,-9%,91.0%,4.2%,2.3%,2.0%,0.5%,0.0%,34,,,14 g,en quantité modérée,1.2 g,en faible quantité,60 g,en quantité élevée,0 g,en faible quantité,+1%,-39%,+10%,-100%,-100%,16,0%,D,0%,,,,,,,,,,,,,
689,Oeufs frais x 30,3273021800004,,['France'],[],[],?,?,,?,,?,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,['Carton'],,,,,,
690,Ravioles de rougets et crevettes,3770009085816,,['France'],[],[],?,159,665 kj(159 kcal),13,"9,3","5,1","2,2","4,8","0,83","0,332",,"['Plats préparés', 'Plats à base de pâtes', 'Pâtes farcies', 'Ravioles']",,-37%,+29%,-82%,-56%,,,,,,,,,,13 g,en quantité modérée,9.3 g,en quantité élevée,2.2 g,en faible quantité,0.83 g,en quantité modérée,-38%,+54%,+33%,-37%,-37%,13,+4%,D,+4%,,,,,,,,,,,,,
691,"Mirabellen, Mit Steinen Gezuckert",4008122141034,,['France'],[],[],?,73,305 kj(73 kcal),"0,1","0,1",17,17,"0,4","0,01","0,004",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
692,Jus de fruit orange fraise,3700785000970,,['France'],[],[],?,48,201 kj(48 kcal),"0,1",0,"10,5",9,"0,7",0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
693,Jambon cuit de paris superieur,2619000012760,,['France'],[],[],?,124,519 kj(124 kcal),"3,7","1,8","0,7","0,7",22,"1,9","0,76",E,"['Viandes', 'Charcuteries', 'Jambons', 'Jambons blancs']",,-6%,-23%,+5%,+4%,80.5%,11.8%,4.9%,1.6%,0.9%,0.3%,33,['Qualité supérieure'],"['FR 95.018.022 CE', ""Argenteuil (Val-d'Oise, France)""]",3.7 g,en quantité modérée,1.8 g,en quantité modérée,0.7 g,en faible quantité,1.9 g,en quantité élevée,-5%,-2%,+18%,+2%,+2%,5,-29%,C,-29%,,,,,,,,,,,,,
694,Milky Chocolate Vanilla Cre - 4.69oz,0815871011341,,"['France', 'États-Unis']","['Pasteurized milk', 'sugar', 'light whipping cream', 'corn starch', 'cocoa powder ', 'processed with alkali', 'food starch - modified', ' carrageenan', 'disodium phosphate', 'sodium polyphosphate', 'sodium pryophosphate', 'xanthan gum', 'nonfat dry milk', 'artificial flavors']",['Non végétalien'],?,158,661 kj(158 kcal),"6,77","4,51","20,3","18,05","3,01","0,132","0,053",,['Desserts'],,-11%,-0%,-14%,-5%,,,,,,,,,,6.77 g,en quantité modérée,4.51 g,en quantité modérée,18.1 g,en quantité élevée,0.133 g,en faible quantité,-10%,+25%,-2%,-0%,-0%,8,+18%,C,+18%,4.69 oz,"['E407 - Carraghénanes', '', 'Risque élevé de sur-exposition', 'E339ii - Phosphate disodique', 'E452i - Polyphosphate de sodium', 'E415 - Gomme xanthane']",,4,STRAUSS,,,,,,,,
695,Ergysport Regen',3401541369958,,['France'],[],[],?,368,1540 kj(368 kcal),1,"0,4","69,3",47,"20,1","1,9","0,76",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
696,Maasdam,0212437010433,,['France'],[],[],?,356,1490 kj(356 kcal),"27,3",19,"0,5","0,5","26,6","1,2","0,48",D,"['Produits laitiers', 'Produits fermentés', 'Produits laitiers fermentés', 'Fromages', 'Fromages de vache', 'Fromages à pâte pressée non cuite', 'Fromages des Pays-Bas', 'Maasdam']",,+1%,-1%,+144%,+4%,82.8%,8.1%,3.5%,3.6%,1.6%,0.4%,49,,,27.3 g,en quantité élevée,19 g,en quantité élevée,0.5 g,en faible quantité,1.2 g,en quantité modérée,+1%,+2%,+170%,-10%,-10%,14,-3%,D,-3%,,,,,,,,,,,,,
697,Moutarde forte à la salicorne,3501890004408,,['France'],[],[],?,?,,?,,?,,?,,,B,"['Epicerie', 'Condiments', 'Sauces', 'Moutardes']",,,,,,57.4%,14.5%,21.8%,4.8%,1.5%,0.0%,75,['Point Vert'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
