,name,bar_code,brand,sales_countries,ingredients_list,ingredients_analysis,nutriment_energy-kj_tr,nutriment_energy-kcal_tr,nutriment_energy_tr,nutriment_fat_tr,nutriment_saturated-fat_tr,nutriment_carbohydrates_tr,nutriment_sugars_tr,nutriment_proteins_tr,nutriment_salt_tr,nutriment_sodium_tr,eco_score,categories,nutriment_energy-kj_tr_diff,nutriment_energy-kcal_tr_diff,nutriment_fat_tr_diff,nutriment_carbohydrates_tr_diff,nutriment_proteins_tr_diff,Agriculture,Transformation,Conditionnement,Transport,Distribution,Consommation,Score_ACV,labels,traceability_code,fats_lipids_quantity,fats_lipids_comment,saturated_acids_quantity,saturated_acids_comment,sugar_quantity,sugar_comment,salt_quantity,salt_comment,nutriment_energy_tr_diff,nutriment_saturated-fat_tr_diff,nutriment_sugars_tr_diff,nutriment_salt_tr_diff,nutriment_sodium_tr_diff,nutriment_nutrition-score-fr_tr,nutriment_nutrition-score-fr_tr_diff,nutriment_nutriscore_tr,nutriment_nutriscore_tr_diff,quantity,additives,allergens,nova_score,brand_owner,generic_name,packaging,ingredients_origins,markets,manufacturing,link,palm_ingredients,producer_info
1086,Epicerie / Epicerie Sucrée / Chocolat - Chocolates Solé,8411066002976,['Chocolates Solé'],"['France', 'Espagne']",[],[],?,587,2456 kj(587 kcal),"38,5","24,4","51,9","41,1","5,4","0,02","0,008",E,"['Snacks', 'Snacks sucrés', 'Cacao et dérivés', 'Chocolats', 'Chocolats noirs']",,+6%,-2%,+34%,-30%,85.3%,9.9%,1.2%,3.2%,0.4%,0.0%,24,['Bio'],,38.5 g,en quantité élevée,24.4 g,en quantité élevée,41.1 g,en quantité élevée,0.02 g,en faible quantité,+6%,+6%,+30%,-57%,-57%,26,+23%,E,+23%,,,,,,,,,,,,,
1087,Sojasun,3273229385235,['Sojasun'],['France'],[],[],?,?,,?,,?,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1088,Royal,6194020100032,,['France'],[],[],?,145,607 kj(145 kcal),1,1,1,1,"3,5",1,"0,4",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1089,51231422,51231422,,['France'],[],[],?,?,,?,,?,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1090,Aiguillettes de canard - U - 5,2865507028012,['U'],['France'],[],[],?,?,,?,,?,,?,,,D,"['Viandes', 'Volailles', 'Canards', 'Aiguillettes de canard']",,,,,,83.0%,9.4%,2.7%,2.7%,1.4%,0.9%,37,,,,,,,,,,,,,,,,,,,,5,,,,,,,,,,,,
1091,Miel de fleurs,3664887001429,,['France'],[],[],?,301,1259 kj(301 kcal),"0,1","0,1",75,75,"0,4","0,1","0,04",B,"['Produits à tartiner', 'Petit-déjeuners', 'Produits de la ruche', ""Produits d'élevages"", 'Produits à tartiner sucrés', 'Édulcorants', 'Miels', 'Miels de fleurs']",,+1%,-9%,-3%,+18%,87.9%,0.0%,7.7%,3.1%,1.3%,0.0%,82,,,0.1 g,en faible quantité,0.1 g,en faible quantité,75 g,en quantité élevée,0.1 g,en faible quantité,+1%,+194%,+8%,+327%,+327%,,,,,,,,,,,,,,,,,
1092,Jus d'aloe vera - Fructivia,3760159375813,['Fructivia'],['France'],[],[],?,?,,?,,?,,?,,,,,,,,,,,,,,,,,['Bio'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1093,DATTE branchée,2600329022837,,['France'],[],[],?,?,,?,,?,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1094,Muffins citron x2 - Leclerc,,['Leclerc'],['France'],[],[],?,354,1481 kj(354 kcal),17,"2,5",45,22,"5,7","0,6","0,24",,"['Biscuits et gâteaux', 'Gâteaux', 'Muffins', 'Muffins aux fruits']",,-4%,-2%,-6%,+16%,,,,,,,,,,17 g,en quantité modérée,2.5 g,en quantité modérée,22 g,en quantité élevée,0.6 g,en quantité modérée,-4%,-7%,-15%,-10%,-10%,12,-11%,D,-11%,,,,,,,,,,,,,
1095,Canistrelli limone di Corsica,3770004883035,,['France'],[],['Sans huile de palme'],?,?,,?,,?,,?,,,,,,,,,,,,,,,,,['en:palm-oil-free'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1096,3484380000206,3484380000206,,['France'],[],[],?,?,,?,,?,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1097,"Candy Blood Bag, Strawberry Flavoured Candy Goo",5022896251453,,['France'],[],[],?,326,1364 kj(326 kcal),0,0,81,47,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1098,Korean Soybean Paste,8801052022444,,['France'],[],[],?,165,690 kj(165 kcal),4,"1,7","18,7","8,1","13,5","9,6","3,84",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1099,Ribs minutes à la mexicaine,2413806043825,,['France'],[],[],?,266,1113 kj(266 kcal),22,22,9,9,17,2,"0,8",,,,,,,,,,,,,,,,"['FR 56.010.001 CE', 'Baud (Morbihan, France)']",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1100,Eau de source de Montagne - Chanflor,3289090016994,['Chanflor'],['France'],[],[],?,0,0 kj(0 kcal),0,0,0,0,0,"0,1","0,04",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1101,fleur de sel au basilic - Le comptoir Charentais - 150g,3760243780172,['Le comptoir Charentais'],['France'],"['Ingrádiants Flour de sel', 'basilic']",[],?,?,,?,,?,,?,,,,"['Aliments et boissons à base de végétaux', ""Aliments d'origine végétale"", 'Epicerie', 'Condiments', 'Epices']",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,150 g,,,1,,,['pot en verre'],,,,,,
1102,Foie gras de canard entier,3598960006417,,['France'],[],[],?,543,2272 kj(543 kcal),"55,6","20,3","2,4","1,1",8,"1,25","0,5",B,"['Poissons et viandes et oeufs', 'Foies gras', 'Foies gras de canard', 'Foies gras entiers', 'Foies gras de canard entiers']",,+3%,+2%,+1%,+6%,70.7%,8.0%,8.5%,7.3%,4.3%,1.2%,89,,,55.6 g,en quantité élevée,20.3 g,en quantité élevée,1.1 g,en faible quantité,1.25 g,en quantité modérée,+3%,-12%,-17%,+4%,+4%,21,+1%,E,+1%,,,,,,,,,,,,,
1103,Pain sans sel Carrefour,0254243008464,,['France'],[],[],?,?,,?,,?,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,['Carrefour'],,,,
1104,Soleil d'or,0071818723801,,"['France', 'États-Unis']","['Pure cane sugar', 'full cream milk', 'cocoa butter‡', 'cacao beans‡', 'sunflower lecithin', 'vanilla beans']","['Sans huile de palme', 'Non végétalien', 'Végétarien']",?,550,2301 kj(550 kcal),"37,5","22,5",50,45,"7,5","0,188","0,075",,"['Snacks', 'Snacks sucrés', 'Cacao et dérivés', 'Confiseries', 'Confiseries chocolatées']",,+6%,+23%,-7%,+22%,,,,,,,,,,37.5 g,en quantité élevée,22.5 g,en quantité élevée,45 g,en quantité élevée,0.188 g,en faible quantité,+6%,+36%,-4%,-4%,-4%,23,-5%,E,-5%,,['E322i - Lécithine'],,3,Guittard Chocolate Co.,,,,,,,,
1105,Beef jerky,0851015004466,,"['France', 'États-Unis']","['Grass fed beef', 'sugar', 'sea salt', 'spices', 'white vinegar', 'celery powder', 'garlic', 'gluten-free soy sauce ', 'water', 'soybeans', 'salt']","['Non végétalien', 'Non végétarien']",?,286,1197 kj(286 kcal),"4,08","2,04","24,49","20,41","36,73","5,715","2,286",,"['Snacks', 'Viandes', 'Viandes séchées', 'Viande de bœuf séchée']",,+8%,-3%,+74%,-6%,,,,,,,,['en:gluten-free'],,4.08 g,en quantité modérée,2.04 g,en quantité modérée,20.4 g,en quantité élevée,5.71 g,en quantité élevée,+8%,+36%,+94%,+56%,+56%,18,+23%,D,+23%,,,['Soja'],3,SWEETWOOD SMOKEHOUSE,,,,,,,,
1106,Turkey jerky,0851015004770,,['France'],[],[],?,140,586 kj(140 kcal),5,0,14,14,19,7,"2,8",,,,,,,,,,,,,,,['en:gluten-free'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1107,Jus d'orange - Selection,0059749945516,['Selection'],['France'],[],[],?,48,201 kj(48 kcal),0,0,"11,6",10,"0,4","0,08","0,032",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1108,Kit Kat Milk Chocolate Block,9300605030527,['Kit Kat'],"['Australie', 'France']",[],[],?,519,2171 kj(519 kcal),28,"17,3","59,5","51,7","6,8","0,074","0,03",,,,,,,,,,,,,,,['Fabriqué en Australie'],,,,,,,,,,,,,,,,,,,,,,,,,,,['Woolworths'],,,,
1109,Carman's Dark Choc cranberry & Almond Bars,9319133332782,"[""Carman's""]","['Australie', 'France']",[],[],?,427,1787 kj(427 kcal),"18,3","5,3","55,4","24,7",8,"0,012","0,005",,"['Snacks', 'Snacks sucrés', 'Barres', 'Barres de céréales']",,+1%,+16%,-8%,+7%,,,,,,,,"['Fabriqué en Australie', 'en:Health Star Rating', 'en:Health Star Rating 2.5']",,18.3 g,en quantité modérée,5.3 g,en quantité élevée,24.7 g,en quantité élevée,0.012 g,en faible quantité,+0%,-11%,-9%,-97%,-97%,15,+14%,D,+14%,,,,,,,,,['Woolworths'],,,,
1110,Tortelloni,8008375013672,,['France'],[],[],?,293,1226 kj(293 kcal),"7,5","3,9","43,9","3,3","11,6",1,"0,4",,"['Plats préparés', 'Plats à base de pâtes', 'Pâtes farcies', 'Tortelloni']",,+16%,+19%,+14%,+22%,,,,,,,,,,7.5 g,en quantité modérée,3.9 g,en quantité modérée,3.3 g,en faible quantité,1 g,en quantité modérée,+15%,+52%,+28%,-12%,-12%,5,-8%,C,-8%,,,,,,,,,,,,,
1111,"Santé & Bien-être / Compléments Alimentaires / Stress,Sommeil",3760265300228,,['France'],[],[],?,?,,?,,?,,?,,,,,,,,,,,,,,,,,"['Bio', 'Sans colorants', 'Sans conservateurs']",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1112,Mini viennoiserie × 15,0206976019354,,['France'],[],[],?,?,,?,,?,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1113,Blackberry & Elderflwer Conserve - Supervalu,5099839648670,['Supervalu'],['France'],[],[],?,278,1163 kj(278 kcal),"0,8","0,1",67,57,"0,5","0,01","0,004",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1114,Miel - U,3256220182614,['U'],['France'],[],[],?,?,,?,,?,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1115,100g,3770006690082,,['France'],[],[],?,?,,?,,?,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,100 g,,,,,,,,,,,,
1116,fleurette - 800g,0076000001705,,['France'],[],[],?,?,,?,,?,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,800 g,,,,,,['Pot'],,,,,,
1117,Crêpes maison,3276554658173,,['France'],[],[],?,?,,?,,?,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1118,Confiture de pomme - la fruitière de Colpo - 230g,3438750000044,['la fruitière de Colpo'],['France'],"['Pomme', 'sucre de canne', 'Acidifiant: acide citrique', 'gélifiant:pectine de pomme']","['Sans huile de palme', 'Végétalien', 'Végétarien']",?,229,958 kj(229 kcal),0,0,56,56,0,"0,03","0,012",B,"['Aliments et boissons à base de végétaux', ""Aliments d'origine végétale"", 'Aliments à base de fruits et de légumes', 'Produits à tartiner', 'Petit-déjeuners', 'Fruits et produits dérivés', 'Pâtes à tartiner végétales', 'Produits à tartiner sucrés', 'Confitures et marmelades', 'Confitures', 'Confitures de pommes']",,+2%,-100%,+5%,-100%,38.5%,19.4%,25.9%,11.0%,4.2%,1.1%,87,,,0 g,en faible quantité,0 g,en faible quantité,56 g,en quantité élevée,0.03 g,en faible quantité,+2%,-100%,+9%,+53%,+53%,7,-27%,C,-27%,230 g,"['E330 - Acide citrique', 'E440 - Pectines']",,4,,,['Pot'],,,['Bretagne'],,,
1119,Muesli Crunchy 3 chocolats,34749593,,['France'],[],[],?,475,1987 kj(475 kcal),19,"4,5",66,24,"7,7","0,45","0,18",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1120,Skyr,3481300099531,,['France'],[],[],?,60,251 kj(60 kcal),"0,2","0,1","3,5",3,10,"0,08","0,032",D,"['Produits laitiers', 'Desserts', 'Produits fermentés', 'Produits laitiers fermentés', 'Fromages', 'Desserts lactés', 'Fromages à la crème', 'Skyr']",,-12%,-46%,-46%,+7%,84.0%,5.8%,4.0%,4.0%,1.8%,0.5%,54,,,0.2 g,en faible quantité,0.1 g,en faible quantité,3 g,en faible quantité,0.08 g,en faible quantité,-12%,-45%,-49%,-25%,-25%,-5,,A,,,,,,,,,,,,,,
1121,Rinderhackfleisch -,7002743213863,,"['France', 'Allemagne']",[],[],?,?,,?,,?,,?,,,,"['Viandes', 'Bœuf', 'Préparations de viande', 'Préparations de viande bovine', 'Préparations de viande bovine hachée']",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1122,Soy Drink - Alinor,8000215204257,['Alinor'],['France'],"['eau', 'soja* ', '8%', 'jus de pommes concentre""', 'algue marine Lithothamnion Calcareum ', '0,4%', "" *Issus de l'agriculture biologique""]",[],?,38,159 kj(38 kcal),"1,8","0,3","1,5",1,"3,5","0,05","0,02",B,"['Aliments et boissons à base de végétaux', 'Boissons', ""Aliments d'origine végétale"", 'Légumineuses et dérivés', 'Boissons à base de végétaux', 'Substitut du lait', 'Boissons végétales', 'Boissons végétales de légumineuses', 'Boissons végétales de soja']",,-24%,-7%,-69%,+6%,25.4%,0.6%,27.0%,26.7%,15.9%,4.4%,82,['Bio'],,1.8 g,en quantité modérée,0.3 g,en faible quantité,1 g,en faible quantité,0.05 g,en faible quantité,-25%,-17%,-75%,-43%,-43%,-2,,A,,,,['Soja'],1,,,,,,,,,
1123,Bonbons feuilles d'érable,0055526080166,,['France'],[],[],?,60,251 kj(60 kcal),0,0,16,16,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1124,Yaourt vanille,3770004149124,,['France'],[],[],?,?,,?,,?,,?,,,,"['Produits laitiers', 'Produits fermentés', 'Produits laitiers fermentés', 'Yaourts', 'Yaourts vanille']",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1125,Beignets framboise -,0200584012790,,['France'],[],['Sans huile de palme'],?,282,1180 kj(282 kcal),"8,7","1,2",42,13,"6,1","0,69","0,276",,"['Snacks', 'Snacks sucrés', 'Biscuits et gâteaux', 'Gâteaux', 'Donuts', 'Beignet fourré aux fruits', 'Beignets sucrés', 'Beignets fourrés à la framboise']",,-5%,-15%,-3%,+1%,,,,,,,,['en:palm-oil-free'],,8.7 g,en quantité modérée,1.2 g,en faible quantité,13 g,en quantité élevée,0.69 g,en quantité modérée,-5%,-37%,-8%,-2%,-2%,6,-26%,C,-26%,,,,,,Beignets fourrés à la purée de framboise,,,,,,,
1126,Baton aux noisettes - Hilcona,7610227885491,['Hilcona'],['France'],[],[],?,?,,?,,?,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1127,Epicerie / Epicerie Sucrée / Miels Bio,3760046254436,,['France'],[],[],?,?,,?,,?,,?,,,,,,,,,,,,,,,,,"['Bio', 'Bio européen', 'AB Agriculture Biologique']",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1128,Pain de mie,0207195013123,,['France'],[],[],?,348,1456 kj(348 kcal),11,4,53,4,8,1,"0,4",B,"['Aliments et boissons à base de végétaux', ""Aliments d'origine végétale"", 'Céréales et pommes de terre', 'Pains', 'Pains de mie']",,+31%,+146%,+16%,-5%,64.5%,20.4%,9.9%,4.5%,0.7%,0.0%,88,,,11 g,en quantité modérée,4 g,en quantité modérée,4 g,en faible quantité,1 g,en quantité modérée,+30%,+517%,-23%,-12%,-12%,11,+659%,D,+659%,,,,,,,,,,,,,
1129,Milka Oreo Big Crunch Bar Chocolate Candy Bar,0070221008369,['Milka'],"['France', 'États-Unis']","['Sugar', 'fractionated palm oil', 'wheat flour', 'nonfat milk', 'whey', 'cocoa butter', 'chocolate', 'milkfat', 'contains less than 2% of hazelnut paste', 'wheat starch', 'soy lecithin', 'cocoa ', 'processed with alkali', 'glucose syrup', 'salt', 'palm kernel oil', 'potassium bicarbonate', 'baking soda', 'artificial flavor', 'sunflower lecithin', ' other tree nuts']","['Huile de palme', 'Non végétalien']",?,548,2293 kj(548 kcal),"33,33","19,05","57,14","47,62","4,76","0,535","0,214",,"['Snacks', 'Snacks sucrés', 'Confiseries']",,+30%,+127%,-14%,+13%,,,,,,,,,,33.3 g,en quantité élevée,19.1 g,en quantité élevée,47.6 g,en quantité élevée,0.535 g,en quantité modérée,+30%,+195%,-4%,+264%,+264%,26,+43%,E,+43%,,"['E322i - Lécithine', 'E501ii - Carbonate acide de potassium', 'E500ii - Carbonate acide de sodium']","['Gluten', 'Lait', 'Fruits à coque', 'Soja']",4,Mondelez Int. US (0074819091009),,,,,,,,
1130,Confiture les délices de Sandra,3760213479822,,['France'],[],[],?,?,,?,,?,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1131,Miettes de thon blanc à la tomate -,3760054380189,,['France'],[],[],?,?,,?,,?,,?,,,D,"['Conserves', 'Produits de la mer', 'Poissons', 'Poissons en conserve', 'Thons', 'Thons en conserve', ""Thons à l'huile"", ""Thons à l'huile d'olive"", 'Thons blancs', 'Thon à la catalane']",,,,,,93.6%,0.0%,1.2%,4.4%,0.6%,0.2%,21,"['Bio', 'Bio européen', 'FR-BIO-09']",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1132,Jus de pomme,3496080741785,,['France'],[],[],?,40,167 kj(40 kcal),"0,5","0,1",10,"9,7","0,1","0,01","0,004",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1133,Fromage,0204028024141,,['France'],[],[],?,360,1506 kj(360 kcal),32,21,0,0,18,"1,2","0,48",D,"['Produits laitiers', 'Produits fermentés', 'Produits laitiers fermentés', 'Fromages']",,+9%,+20%,-100%,-12%,84.0%,5.8%,4.0%,4.0%,1.8%,0.5%,54,,,32 g,en quantité élevée,21 g,en quantité élevée,0 g,en faible quantité,1.2 g,en quantité modérée,+10%,+18%,-100%,-8%,-8%,14,+2%,D,+2%,,,,,,,,,,,,,
1134,Capsules Huile De Haarlem,3401541368319,,['France'],[],[],?,?,,?,,?,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1135,Tartex Fit & Vital Beeren Müsli,4005514056662,['Tartex'],['France'],[],[],?,374,1565 kj(374 kcal),"7,1","1,3",59,"4,5","13,3","0,03","0,012",,,,,,,,,,,,,,,"['Bio', 'Fabriqué en Allemagne']",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1136,"Chipolatas - Pedelhez - 0,352",2411213021917,['Pedelhez'],['France'],[],[],?,?,,?,,?,,?,,,E,"['Viandes', 'Charcuteries', 'Saucisses', 'Saucisses françaises', 'Chipolatas']",,,,,,86.2%,9.9%,1.8%,1.2%,0.7%,0.2%,24,,"['FR 66.172.001 CE', 'Saint-Estève (Pyrénées-Orientales, France)']",,,,,,,,,,,,,,,,,,"0,352",,,,,,,,,,,,
1137,Dots original sucré,3478920014532,,['France'],[],[],?,440,1841 kj(440 kcal),"25,6",12,46,17,"6,4","0,6","0,24",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1138,Shirataki knot style,6933362465337,,['France'],[],[],?,10,42 kj(10 kcal),"0,5","0,1","0,8","0,05","0,5","0,05","0,02",,,,,,,,,,,,,,,['en:gluten-free'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1139,Thé  Ceylan O. P. - Kusmi Tea,3585810050911,['Kusmi Tea'],['France'],[],[],?,?,,?,,?,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1140,Miel de châtaignier,3760081170012,,['France'],[],[],?,?,,?,,?,,?,,,B,"['Produits à tartiner', 'Petit-déjeuners', 'Produits de la ruche', ""Produits d'élevages"", 'Produits à tartiner sucrés', 'Édulcorants', 'Miels', 'Miels de châtaignier']",,,,,,87.9%,0.0%,7.7%,3.1%,1.3%,0.0%,82,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1141,Proper Nutty,5060390770025,,['France'],[],[],?,628,2628 kj(628 kcal),"52,9","8,8","4,2",4,"28,2","0,5","0,2",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1142,Terrine Landaise 20% bloc de foie gras - Lafitte,3410845590166,['Lafitte'],['France'],[],[],?,337,1410 kj(337 kcal),31,14,"1,6","1,2",14,"1,4","0,56",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1143,Huile olive vierge extra -,5213005540050,,['France'],[],[],?,825,3452 kj(825 kcal),?,13,0,0,0,0,0,D,"['Aliments et boissons à base de végétaux', ""Aliments d'origine végétale"", 'Matières grasses', 'Matières grasses végétales', ""Produits de l'olivier"", 'Huiles', ""Huiles d'olive"", ""Huiles d'olive vierges"", ""Huiles d'olive vierges extra""]",,-4%,,,,88.1%,4.5%,3.6%,2.0%,1.7%,0.0%,47,['Bio'],,,,13 g,en quantité élevée,0 g,en faible quantité,0 g,en faible quantité,-4%,-7%,,-100%,-100%,,,,,,,,,,,,,,,,,
1144,Porridge Oats - heritage,5010893060475,['Heritage'],"['France', 'Espagne']",[],[],?,367,1536 kj(367 kcal),"8,4","1,3",56,1,12,"0,01","0,004",,"['Aliments et boissons à base de végétaux', ""Aliments d'origine végétale"", 'Céréales et pommes de terre', 'Graines', 'Céréales et dérivés', 'Céréales en grains', 'Avena']",,+1%,+21%,+4%,-4%,,,,,,,,,,8.4 g,en quantité modérée,1.3 g,en faible quantité,1 g,en faible quantité,0.01 g,en faible quantité,+1%,+10%,-65%,-76%,-76%,0,,B,,,,,,,,,,,,,,
1145,Zacht & licht,8710624027780,,['France'],[],[],?,230,962 kj(230 kcal),25,"14,8","0,6","0,6","0,2","0,95","0,38",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1146,Dés de Jambon Cuit Standard,3268690072494,,['France'],[],[],?,115,481 kj(115 kcal),5,2,"2,6","2,1",15,"3,5","1,4",,,,,,,,,,,,,,,['Fabriqué en France'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1147,Boeuf aux oignons tendres,3760260370394,,['France'],[],[],?,103,431 kj(103 kcal),"4,4","0,9","10,2","1,1","4,9","0,8","0,32",,,,,,,,,,,,,,,['Bio'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1148,Grissini nature,2001848010006,,['France'],[],[],?,354,1481 kj(354 kcal),"1,6","0,3","69,5","3,1","14,5","0,005","0,002",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1149,Rosette de Lyon,0205084017320,,['France'],[],[],?,293,1226 kj(293 kcal),19,"8,5","1,5",1,29,4,"1,6",D,"['Viandes', 'Charcuteries', 'Saucissons', 'Rosettes']",,-20%,-34%,-23%,+14%,79.0%,17.2%,0.6%,1.8%,1.1%,0.3%,36,['Fabriqué en France'],"['EMB 57032A', 'Ars-sur-Moselle (Moselle, France)']",19 g,en quantité modérée,8.5 g,en quantité élevée,1 g,en faible quantité,4 g,en quantité élevée,-20%,-25%,-31%,-11%,-11%,21,-11%,E,-11%,,,,,,,,,,,,,
1150,"Hurricane XS, Cremige Schokolade, Beutel, 5000 G - MyProtein",5055534305133,['MyProtein'],['France'],[],[],?,333,1393 kj(333 kcal),"3,7","1,9",33,20,40,"0,25","0,1",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1151,flecha - zhejiang highthen imp.&ENP.CO..LTD - 500g,6954362901977,['zhejiang highthen imp.&ENP.CO..LTD'],"['France', 'Maroc']","['00212 661 46 19 25 Lo E-mail : almohtaramtrade@gmail', 'com ONSSAS74', '6', ""17 DATE DE FABRICATION: 0 ciyil DATE D'EXPIRATION 21 uall LOT NO"", ' AH405117035 41022']",[],?,?,,?,,?,,?,,,B,"['Aliments et boissons à base de végétaux', 'Boissons', 'Boissons chaudes', 'Boissons à base de végétaux', 'Thés', 'Thés verts', 'Infusions']",,,,,,66.6%,0.0%,1.4%,1.6%,0.3%,30.1%,100,,,,,,,,,,,,,,,,,,,,500g,,,,,,,['Chine'],,['Chine'],,,
1152,Biscuits sablés Ile d'Ouessant,3457221000635,,['France'],[],[],?,441,1845 kj(441 kcal),"20,65","13,41","56,33","27,13","5,89","3,63","1,452",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1153,Crumpets - Warburtons,5010044008318,['Warburtons'],"['France', 'Royaume-Uni']",[],[],?,176,736 kj(176 kcal),"0,8","0,2","35,3",2,6,"1,48","0,592",,['Crêpes et galettes'],,-33%,-90%,-8%,-15%,,,,,,,,,,0.8 g,en faible quantité,0.2 g,en faible quantité,2 g,en faible quantité,1.48 g,en quantité modérée,-33%,-93%,-84%,+48%,+48%,5,-47%,C,-47%,,,,,,,,,,,,,
1154,Miel de Fleurs,3540860014269,,['France'],[],[],?,?,,?,,?,,?,,,B,"['Produits à tartiner', 'Petit-déjeuners', 'Produits de la ruche', ""Produits d'élevages"", 'Produits à tartiner sucrés', 'Édulcorants', 'Miels', 'Miels de fleurs']",,,,,,87.9%,0.0%,7.7%,3.1%,1.3%,0.0%,82,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1155,#Ke by Kelia,8425408015142,,['France'],[],[],?,430,1799 kj(430 kcal),"11,5","4,2","70,3","0,1",8,"1,7","0,68",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1156,Pain aux graines lin brun & chia sans gluten,3760281661662,,['France'],[],['Sans huile de palme'],?,227,950 kj(227 kcal),"5,8","0,4",37,"3,4","3,4",1,"0,4",,,,,,,,,,,,,,,"['en:gluten-free', 'Sans lactose', 'Nutriscore', 'en:palm-oil-free']",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1157,Milk & choco biscuits,8717185470895,,['France'],[],[],?,515,2155 kj(515 kcal),"29,5","17,5","53,8","31,6","7,7","0,5","0,2",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1158,Chili con carne -,3770012296308,,['France'],[],[],?,137,573 kj(137 kcal),"6,6","2,2","9,8","2,9","7,9","0,9","0,36",E,"['Plats préparés', 'Produits à la viande', 'Plats préparés à la viande', 'Chili con carne']",,+16%,+95%,-20%,+17%,94.4%,3.1%,0.8%,0.9%,0.5%,0.3%,14,,,6.6 g,en quantité modérée,2.2 g,en quantité modérée,2.9 g,en faible quantité,0.9 g,en quantité modérée,+15%,+96%,+37%,+12%,+12%,2,,B,,,,,,,,,,,,,,
