,name,bar_code,labels,sales_countries,ingredients_list,allergens,ingredients_analysis,nutriment_energy-kj_tr,nutriment_energy-kcal_tr,nutriment_energy_tr,nutriment_fat_tr,nutriment_saturated-fat_tr,nutriment_carbohydrates_tr,nutriment_sugars_tr,nutriment_proteins_tr,nutriment_salt_tr,nutriment_sodium_tr,eco_score,generic_name,quantity,packaging,brand,categories,ingredients_origins,additives,nova_score,nutriment_energy-kj_tr_diff,nutriment_energy-kcal_tr_diff,nutriment_fat_tr_diff,nutriment_carbohydrates_tr_diff,nutriment_proteins_tr_diff,Agriculture,Transformation,Conditionnement,Transport,Distribution,Consommation,Score_ACV,fats_lipids_quantity,fats_lipids_comment,saturated_acids_quantity,saturated_acids_comment,sugar_quantity,sugar_comment,salt_quantity,salt_comment,nutriment_energy_tr_diff,nutriment_saturated-fat_tr_diff,nutriment_sugars_tr_diff,nutriment_salt_tr_diff,nutriment_sodium_tr_diff,nutriment_nutrition-score-fr_tr,nutriment_nutrition-score-fr_tr_diff,nutriment_nutriscore_tr,nutriment_nutriscore_tr_diff,markets,manufacturing,link,traceability_code,palm_ingredients,brand_owner
1181,Cappuccino vanille,8004990141110,,['France'],[],,[],?,414,1732 kj(414 kcal),"9,4","8,5","65,9","52,1","15,3","0,7","0,28",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1182,Breakfast Tea - Compatible Lavazza BLUE,8004990141844,,['France'],"['sirop de glucose', 'extrait de thé 5,0%', 'arômes', 'antiagglomérant : E551', ' PEUT CONTENIR DES TRACES DE LAIT ET SOJA']","['Lait', 'Soja']","['Sans huile de palme', 'Peut-être végétalien', 'Peut-être végétarien']",?,368,1540 kj(368 kcal),"0,1",0,"91,2","12,6","0,5",0,0,,,,,['Compatible Lavazza BLUE'],,,['E551 - Dioxyde de silicium'],4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1183,Peach tea - Espresso,8004990141875,,['France'],"['sucre', 'sirop de glucose', 'extrait de thé 2,2%', 'acidifiant : acide citrique', 'jus de pêche déshydraté 0,3%', 'arômes', 'antiagglomérant : E551 PEUT CONTENIR DES TRACES DE LAIT ET SOJA']","['Lait', 'Soja']","['Sans huile de palme', 'Peut-être végétalien', 'Peut-être végétarien']",?,387,1619 kj(387 kcal),0,0,"96,4","91,3","0,3","0,3","0,12",,,,,['Espresso'],,,['E330 - Acide citrique'],4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1184,Red fruits tea,8004990141882,,['France'],[],,[],?,383,1602 kj(383 kcal),0,0,"95,3",73,"0,4","0,3","0,12",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1185,Thé Citron,8004990142834,,['France'],[],,[],?,387,1619 kj(387 kcal),0,0,"96,2","93,7","0,4","0,3","0,12",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1186,Cappuccino,8004990143015,,['France'],[],,[],?,430,1799 kj(430 kcal),"11,7","10,8","70,5","57,8","9,6","0,7","0,28",B,,,,,"['Aliments et boissons à base de végétaux', 'Boissons', ""Aliments d'origine végétale"", 'Cafés', 'Boissons instantanées', 'Cafés solubles', 'Cappuccino en poudre']",,,,,+44%,+57%,+40%,+22%,85.1%,5.9%,1.2%,1.3%,0.4%,6.2%,75,,,,,,,,,+39%,+67%,+40%,-7%,-7%,,,,,,,,,,
1187,Bavanda Bianca,8004990143237,,['France'],[],,[],?,459,1920 kj(459 kcal),"16,6","15,5",64,"42,9","13,4","0,3","0,12",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1188,Ravioli integrali - 250g,8004996100005,"['Bio', 'Bio européen', 'IT-BIO-014']","['France', 'Pays-Bas']",[],,[],?,250,1046 kj(250 kcal),"6,02","1,19",34,"2,13","11,84","0,58","0,232",,,250 g,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,['Ekoplaza'],,,,,
1189,Tagliarelle - Cipriani,8005016141237,,['France'],['PÂTES ET AUX OEUFS Futs CONSERVER EN LIEU FRAIS ET SEC'],['Œufs'],[],?,378,1582 kj(378 kcal),"4,6","1,3","68,7","2,9","14,2","0,1","0,04",,,,,['Cipriani'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1190,Cipriani Food Rigatoni 17.64 Oz,8005016182308,,['France'],[],,[],?,362,1515 kj(362 kcal),"1,5","0,3","73,1","2,9","12,5","0,01","0,004",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1191,Fusilli,8005016182322,['Bio'],"['France', 'États-Unis']",['Organic durum wheat semolina'],,"['Sans huile de palme', 'Végétalien', 'Végétarien']",?,357,1494 kj(357 kcal),"1,79",0,75,"1,79","10,71",0,0,,,,,,"['Aliments et boissons à base de végétaux', ""Aliments d'origine végétale"", 'Céréales et pommes de terre', 'Céréales et dérivés', 'Pâtes alimentaires']",,,1,,+8%,-31%,+21%,-8%,,,,,,,,1.79 g,en faible quantité,0 g,en faible quantité,1.79 g,en faible quantité,0 g,en faible quantité,+7%,-100%,-35%,-100%,-100%,-4,,A,,,,,,,CIPRIANI FOODS
1192,Sauce Pomod'oro,8005016782782,,['France'],[],,[],?,27,113 kj(27 kcal),"0,5","0,1",4,"3,5","1,1","0,05","0,02",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1193,Tiramisu -  - 1kg (2x500g),8005020012677,"['Fabriqué en Italie', 'en:palm-oil-free']",['France'],[],,['Sans huile de palme'],?,292,1222 kj(292 kcal),12,"7,5",38,24,"4,5","0,2","0,08",E,,1 kg (2x500g),,,"['Produits laitiers', 'Desserts', 'Biscuits et gâteaux', 'Desserts lactés', 'Pâtisseries', 'Tiramisu']",,,,,+11%,+1%,+18%,+9%,84.5%,12.9%,0.8%,1.3%,0.4%,0.1%,11,12 g,en quantité modérée,7.5 g,en quantité élevée,24 g,en quantité élevée,0.2 g,en faible quantité,+11%,-6%,+13%,+14%,+14%,15,+9%,D,+9%,,,,['IT 03-196 CE'],,
1194,MASCARPONE Glace artisanale,8005021030182,,['France'],[],,[],?,237,992 kj(237 kcal),11,"9,8","31,5","31,5","2,8","0,1","0,04",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1195,Trecce,8005027001360,,['France'],[],,[],?,415,1736 kj(415 kcal),"20,5","8,8","47,6","13,6","9,4","0,9","0,36",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1196,Fondente - Leone - 75g,8005027146115,"['en:gluten-free', 'Sans lactose']",['France'],[],,[],2162,?,2162 kj(517 kcal),"40,7","25,6","42,6","< 0,5",8,"0,02","0,008",E,,75 g,,['Leone'],"['Snacks', 'Snacks sucrés', 'Cacao et dérivés', 'Chocolats', 'Chocolats édulcorés', 'Chocolats noirs', 'Chocolats noirs aux édulcorants']",,,,+4%,,+5%,+14%,+10%,85.3%,9.9%,1.2%,3.2%,0.4%,0.0%,24,40.7 g,en quantité élevée,25.6 g,en quantité élevée,0.5 g,en faible quantité,0.02 g,en faible quantité,+3%,+12%,-39%,-48%,-48%,11,-17%,D,-17%,,,,,,
1197,Pastilles Menthe Boite Metal,8005028012013,['en:gluten-free'],['France'],[],,[],?,390,1632 kj(390 kcal),0,0,97,97,0,"0,01","0,004",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1198,Pastilles Violette Boite Metal - Leone,8005028012129,,['France'],"['Pastilles à la violette ', 'SANS GLUTEN', ' Sucre', ' Epaississants: gomme arabique', 'gomme adragante', ' Arômes', ' Colorant naturel E163']",['Gluten'],[],?,390,1632 kj(390 kcal),0,0,97,97,0,"0,004","0,002",,,,,['Leone'],,,"[""E414 - Gomme d'acacia"", 'E413 - Gomme de dragon', 'E163 - Anthocyanes']",4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1199,Pastilles Menthe Poivree Boite Retrochic,8005028110153,['en:gluten-free'],['France'],[],,[],?,390,1632 kj(390 kcal),0,0,97,97,0,"0,004","0,002",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1200,Pastilles a La Menthe - Pastilles LEONE,8005028111013,['en:gluten-free'],['France'],"['sucre', ' Epaissjssants: comme arabique', 'gomme adragante', ' Huile essentieiìe de menthe poivrée du Piémont Ingrediënten: suiker', 'Verdikkingsmiddelen: Arabische gomt Tragantgom', ' Essentjêle Olie van Piedmontese pepermunt', ' Valeyr nutritive movepne pat 100g/Gemiddelde saturés / waarvan verzadigde vetzuren Og', ' Glucides / Koolhydraten 970']",,[],?,390,1632 kj(390 kcal),0,0,97,97,0,"0,004","0,002",E,,,,['Pastilles LEONE'],"['Snacks', 'Snacks sucrés', 'Confiseries', 'Bonbons']",,,,,+10%,-100%,+16%,-100%,90.3%,5.0%,2.2%,2.0%,0.5%,0.0%,34,0 g,en faible quantité,0 g,en faible quantité,97 g,en quantité élevée,0.0038 g,en faible quantité,+9%,-100%,+67%,-97%,-97%,14,-3%,D,-3%,,,,,,
1201,Pastilles Digestives Aux Herbes Alpines - Leone,8005028111150,['en:gluten-free'],['France'],[],,[],?,390,1632 kj(390 kcal),0,0,97,97,0,"0,004","0,002",,,,,['Leone'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1202,"Pastilles Violette Boite Metal ""Tendres Chatons"" - Leone",8005028112164,['en:gluten-free'],['France'],[],,[],?,?,,?,,?,,?,,,,,,,['Leone'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1203,Pastilles myrtille sans sucre avec Stevia,8005028125034,,['France'],[],,[],?,236,987 kj(236 kcal),0,0,"98,2","0,5",0,"0,002","0,001",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1204,Pastilles Sans Sucre Aux Myrtilles - Leone,8005028135040,,['France'],"['gomme arabique Kordofan', ' Edulcorant: maltitol et xylitol', ' Acidifiant acide citrique', ' Colorant naturel : œunocyanine', "" Agent d'enrobage cire d'abeilles""]",,['Non végétalien'],?,185,774 kj(185 kcal),0,0,"41,4","0,4",0,"0,004","0,001",,,,,['Leone'],,,"[""E414 - Gomme d'acacia"", 'E965 - Maltitol', 'E967 - Xylitol', 'E330 - Acide citrique', ""E901 - Cire d'abeille""]",4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1205,Liquiriza di sicilie,8005028136108,['en:gluten-free'],['France'],[],,[],?,152,636 kj(152 kcal),0,0,26,6,12,"0,3","0,12",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1206,Tube Gianduja - Leone,8005028141102,"['Sans gluten', 'Sans huile de palme']",['France'],"['""Noisette Piémont"" ', '45%', 'sucre', 'cacao', 'fèves de cacao', 'vanille en gousses', ' Émulsifiant: lécithine de soja', "" Peut contenir des traces de lait et d'autres fruits à coque"", ' M', 'SANS HUILE DE PALME', 'NO OGM', 'SANS GLUTEN']",['Gluten'],[],?,557,2330 kj(557 kcal),"34,9","3,8","46,8","39,2","9,9",0,0,,,,,['Leone'],,,['E322i - Lécithine'],4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1207,Dark chocolate with cocoa nibs 68% - Leone,8005028142055,"['en:gluten-free', 'Sans lactose']",['France'],[],,[],?,581,2431 kj(581 kcal),"43,1","27,1","37,8","34,9","6,1","0,013","0,005",E,,,,['Leone'],"['Snacks', 'Snacks sucrés', 'Cacao et dérivés', 'Chocolats', 'Chocolats noirs', 'Chocolats noirs aux fèves de cacao']",,,,,+3%,+4%,+10%,-25%,85.3%,9.9%,1.2%,3.2%,0.4%,0.0%,24,43.1 g,en quantité élevée,27.1 g,en quantité élevée,34.9 g,en quantité élevée,0.013 g,en faible quantité,+3%,+8%,+27%,-59%,-59%,24,+17%,E,+17%,,,,,,
1208,Petit biscuit,8005030200903,,['France'],[],,[],?,421,1761 kj(421 kcal),"7,7","3,2","78,7","22,6","7,9","0,9","0,36",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1209,Trenette,8005072050122,,['France'],[],,[],?,351,1469 kj(351 kcal),"1,5","0,4","72,1","4,3",11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1210,Ditali Piccoli Rigati - Nosari,8005072050795,,['France'],[],,[],?,1489,6230 kj(1489 kcal),"1,5","0,4","72,1","4,3",11,"0,003","0,001",,,,,['Nosari'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1211,Penne Mezzane Rigate - NOSARI,8005072051037,,['France'],['semoule de blé dur'],,"['Sans huile de palme', 'Végétalien', 'Végétarien']",?,351,1469 kj(351 kcal),"1,5","0,4","72,1","4,3",11,"0,01","0,004",,,,,['NOSARI'],"['Aliments et boissons à base de végétaux', ""Aliments d'origine végétale"", 'Céréales et pommes de terre', 'Céréales et dérivés', 'Pâtes alimentaires', 'Penne', 'Penne rigate']",,,1,,-0%,-11%,+3%,-8%,,,,,,,,1.5 g,en faible quantité,0.4 g,en faible quantité,4.3 g,en faible quantité,0.01 g,en faible quantité,-1%,+7%,+47%,-15%,-15%,-3,,A,,,,,,,
1212,Conghiglioni,8005072051105,,['France'],[],,[],?,337,1410 kj(337 kcal),"1,5","0,35","70,7","4,3","12,5","0,01","0,004",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1213,Gnocchi Sardi,8005072051143,,['France'],[],,[],?,337,1410 kj(337 kcal),"1,5","0,35","70,7","4,3","12,5","0,01","0,004",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1214,GALLANI,8005072052355,,['France'],[],,[],?,351,1469 kj(351 kcal),"1,5","0,4","72,1","4,3",11,"0,003","0,001",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1215,Rigatoni,8005072052829,,['France'],[],,[],?,351,1469 kj(351 kcal),"1,5","0,4","72,1","4,3",11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1216,Fettucine En Nids - La pasta di angelo,8005072056025,,['France'],[],,[],?,351,1469 kj(351 kcal),"1,5","0,4","72,1","4,3",11,,,,,,,['La pasta di angelo'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1217,Sélection color,8005085714509,,['France'],[],,[],?,454,1900 kj(454 kcal),14,"9,5","77,5","60,3","5,3","0,01","0,004",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1218,TIRAMISU -,8005094468073,['Bio'],['France'],[],,[],?,247,1033 kj(247 kcal),14,8,29,24,"5,1","0,16","0,064",E,,,,,"['Produits laitiers', 'Desserts', 'Biscuits et gâteaux', 'Desserts lactés', 'Pâtisseries', 'Tiramisu']",,,,,-6%,+18%,-10%,+23%,84.5%,12.9%,0.8%,1.3%,0.4%,0.1%,11,14 g,en quantité modérée,8 g,en quantité élevée,24 g,en quantité élevée,0.16 g,en faible quantité,-6%,+0%,+13%,-9%,-9%,15,+9%,D,+9%,,,,,,
1219,Montalbano Crostinade Tomates Sechees. 130G,8005100009269,,['France'],"['montalba', 'o ù00SCHETfA', 'ODORI ESSICd']",,[],?,430,1799 kj(430 kcal),44,"4,9","4,1",4,"2,5","1,8","0,72",,,,,['Montalbano'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1220,Crema Montalb. bru. peperoni - Montalbano,8005100009344,,['France'],"['Poivrons 35%', 'huile de tournesol froma ricofta ', 'lactosérum ', 'lait', 'crème ', 'lait', 'pulpe de toma e flocons de pomme de terre ', 'comme de terre', 'épice/ sulphites', 'fromage Grena Pedano DOP ', ""lait sel' résure"", 'Fozyme ', 'oeufS', 'oicnons ', 'sulphites', 'l fil omage ecorino Romano vinai redevin sel', 'Piment correcteur d Tontenir des traces de: poisson', 'fruits à coque', 'céled et sojas Après 01Nerture au A consommer de 12: la 130ge?']","['Œufs', 'Lait', 'Anhydride sulfureux et sulfites']","['Non végétalien', 'Non végétarien']",?,313,1310 kj(313 kcal),31,"5,1","4,7","3,2","3,3","1,6","0,64",,,,,['Montalbano'],,,,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1221,"Intenso Tomatensauce, Mit Angedünsteten Zwiebeln - Mutti",8005110121111,,['France'],"['Sauce de tomate avec oignons frits Inqredients Double concentré de tomate 84%', 'huile de tournesol 496', 'sucre', 'oignons céleri', 'sel', 'arômes naturels']",,[],?,177,741 kj(177 kcal),"10,4",1,"14,5","14,5","4,8","0,9","0,36",,,,,['Mutti'],['de:Tomatensauce'],,,4,,+113%,+178%,+105%,+151%,,,,,,,,10.4 g,en quantité modérée,1 g,en faible quantité,14.5 g,en quantité élevée,0.9 g,en quantité modérée,+127%,+49%,+167%,-13%,-13%,1,-71%,B,-71%,,,,,,
1222,Polpa a l’oignon - Mutti,8005110170508,,['France'],['Valori nutrizionali per 100 9 /'],,[],?,110,460 kj(110 kcal),"0,2","0,1","3,9","2,8","1,2","0,3","0,12",,,,,['Mutti'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1223,Salsa Pronta Al Parmigiano Reggiano - MUTTI - 300g,8005110172083,['100\xa0% Italien'],['France'],"['tomates ', '94', '6%', 'fromage Parmigiano-Regiano AOP ', '4%', 'carotte', 'sel', 'arôme naturel', 'échalote', 'poivre noir']",,[],?,49,205 kj(49 kcal),"1,3","0,6","5,5","4,7","2,8",1,"0,4",A,Sauce tomate au parmesan,300 g,"['Verre', 'Bouteille']",['MUTTI'],"['Epicerie', 'Sauces', 'Sauces tomate', 'Sauces tomate au fromage', 'Sauces tomates au parmesan']",['Italie'],,4,,-50%,-79%,-9%,-4%,53.8%,18.4%,10.2%,10.1%,4.4%,3.1%,89,1.3 g,en faible quantité,0.6 g,en faible quantité,4.7 g,en faible quantité,1 g,en quantité modérée,-50%,-56%,-3%,-8%,-8%,-1,-155%,A,-155%,,['Italie'],http://www.mutti-parma.com,,,
1224,Sauce pizza - Mutti,8005110511332,,['France'],[],,[],?,40,167 kj(40 kcal),"0,2","0,1","6,6","4,8","1,8","0,85","0,34",B,,,,['Mutti'],"['Epicerie', 'Sauces', 'Sauces pour pizzas']",,,,,-29%,-83%,-8%,+12%,53.1%,21.8%,10.0%,9.2%,6.0%,0.0%,93,0.2 g,en faible quantité,0.1 g,en faible quantité,4.8 g,en faible quantité,0.85 g,en quantité modérée,-36%,-39%,-12%,+10%,+10%,3,+46%,C,+46%,,,,,,
1225,960G Tomate Semi Sechees Mutti,8005110550706,,['France'],[],,[],?,142,594 kj(142 kcal),"6,8","0,7","17,2","10,3","3,1","1,5","0,6",,,,,['Mutti'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1226,Valkosip. tomaattimurska - Mutti,8005110850424,,['France'],[],,[],?,33,138 kj(33 kcal),"0,4","0,1","4,8","3,7","1,5","0,6","0,24",,,,,['Mutti'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1227,Wellness Mix - Noberasco - 175g,8005120208239,"['Bio', 'Bio européen', 'Agriculture UE/Non UE', 'IT-BIO-007']",['France'],"['noberascon Dal 1908', 'un mondo di frutta a colo BIO WELLNESS MIX Mélange de fruits secs ot séchéo Ingridlonts: Ralolns• ', 'rglslno•', 'huile do tournt DE CAJOU*t carneaux da NOIXt', 'oannoborgco ', 'canneborgos • 30%', 'guore brun•', ""huile do tourntocl'"", ""NOISETTES AMANDES de l'agrloutture Il nut contonlr dos traces d'arachidac"", ""d'autros et ATTENTION: décorticaso étant automgtiquot la do coques ou fragmonts do coques ast pc%lblo aleuro nutrltlonnelloo pour 100gr de produ!t""]",['Fruits à coque'],[],?,518,2167 kj(518 kcal),31,"3,3",47,31,10,"0,02","0,008",,,175g,,['Noberasco'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1228,Dattes - Noberasco,8005120209441,,['France'],"['DATTERI DEGLET NOUR - ORIGINE TUNISIA RAVIER CAT', ' PRIMA Ingredienti: datteri denocciolati', 'sciroppo di glucosio', 'conservante: E202']",,[],?,309,1293 kj(309 kcal),"0,5",0,"69,3","63,4","2,6","0,008","0,003",C,,,,['Noberasco'],"['Aliments et boissons à base de végétaux', ""Aliments d'origine végétale"", 'Aliments à base de fruits et de légumes', 'Fruits et produits dérivés', 'Produits déshydratés', 'Fruits', 'Aliments à base de plantes séchées', 'Fruits secs', 'Dattes', 'Dattes Deglet Nour']",['Tunisie'],"['E202 - Sorbate de potassium', '', 'Risque élevé de sur-exposition']",,,+5%,+56%,+3%,+14%,88.3%,0.0%,4.7%,3.6%,3.3%,0.0%,57,0.5 g,en faible quantité,0 g,en faible quantité,63.4 g,en quantité élevée,0.008 g,en faible quantité,+5%,-100%,+10%,-69%,-69%,2,-53%,B,-53%,,,,,,
1229,Uva Sultanina Essicata - Noberasco - 0.150kg,8005120210638,,"['France', 'Italie']",[],,[],?,311,1301 kj(311 kcal),"0,6",0,72,72,"1,9","0,13","0,052",,,0.150 kg,,['Noberasco'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1230,Castagne - Noberasco,8005120210768,['Bio'],['France'],['chataignes bio'],,"['Sans huile de palme', 'Végétalien', 'Végétarien']",?,137,573 kj(137 kcal),"0,9","0,2","25,5","5,8","4,2","0,03","0,012",,,,,['Noberasco'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1231,Castagne - Noberasco,8005120211987,,['France'],[],,[],?,137,573 kj(137 kcal),"0,9","0,2",26,"5,8","4,2","0,03","0,012",,,,,['Noberasco'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1232,Noberasco Super Frutti Mulberry,8005120212465,,['France'],[],,[],?,341,1427 kj(341 kcal),2,"0,6",73,59,"3,5",,,,,,,['Noberasco'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1233,Baies de maqui - Noberasco,8005120212519,,['France'],[],,[],?,320,1339 kj(320 kcal),"6,2","0,76",53,36,"3,6","0,06","0,024",,,,,['Noberasco'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1234,Pomodori morbidi - Noberasco,8005120212748,,['France'],[],,[],?,138,577 kj(138 kcal),"0,3","0,1",20,13,"7,7","6,6","2,64",,,,,['Noberasco'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1235,BIObreak - Noberasco - 35g,8005120213004,"['Bio', 'Huile de palme durable', 'en:palm-oil-free']","['France', 'Italie']","['sciroppo di riso""', 'melograno* 14%', 'noci del Brasile sgusciate* 14%', 'noci pecan sgusciate* 13%', 'anacardi sgusciati* 12%', 'sciroppo di agave""', 'datteri""', 'semi di zucca* 4', '3%', 'crispies di riso integrale', 'olio di girasole*', 'farina di riso*', 'aroma naturale', ' \r *Da agricoltura biologica']",,['Sans huile de palme'],?,486,2033 kj(486 kcal),26,"4,8",51,33,"9,1","0,03","0,012",,,35 g,,['Noberasco'],,,,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1236,My chef graine de chia - Noberasco,8005120215466,,['France'],[],,[],?,446,1866 kj(446 kcal),31,"3,3","7,8",0,17,"0,04","0,016",D,,,,['Noberasco'],"['Aliments et boissons à base de végétaux', ""Aliments d'origine végétale"", 'Céréales et pommes de terre', 'Graines', 'Céréales et dérivés', 'Céréales en grains', 'Chia']",,,,,-0%,+1%,-35%,-15%,88.0%,0.0%,4.6%,2.4%,3.1%,1.9%,35,31 g,en quantité élevée,3.3 g,en quantité modérée,0 g,en faible quantité,0.04 g,en faible quantité,-0%,+6%,-100%,+67%,+67%,3,+233%,C,+233%,,,,,,
1237,My chef graine de tournesol - Noberasco,8005120215497,,['France'],[],,[],?,604,2527 kj(604 kcal),51,"4,5",11,"2,6",21,"0,02","0,008",C,,,,['Noberasco'],"['Aliments et boissons à base de végétaux', ""Aliments d'origine végétale"", 'Graines', 'Graines de tournesol et dérivés', 'Graines de tournesol']",,,,,+6%,+12%,-17%,-5%,78.2%,0.0%,8.3%,4.3%,5.7%,3.5%,55,51 g,en quantité élevée,4.5 g,en quantité modérée,2.6 g,en faible quantité,0.02 g,en faible quantité,+6%,-9%,+8%,-99%,-99%,11,-17%,D,-17%,,,,,,
1238,Noix aperitives - Noberasco,8005120215596,,['France'],['Noix de cajou amandes pelées amandes noix de macadamia noix de pécan noix du Brésil huile d’arachide sel'],,[],?,635,2657 kj(635 kcal),55,8,17,"4,4",15,"1,5","0,6",,,,,['Noberasco'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1239,Noberasco,8005120215633,,['France'],"['uva Golden', 'uva Crimson', 'uva Thompson', 'olio di semi di girasole', 'conservante: anidride solforosa', ' Pub contenere tracce di frutta a guscio', 'arachidi', 'soia e semi di sesamo', ' Conservateinluogo fresco e asciutto', 'lontano da fonti di luce e calore', ' Confezionato in atmosfera protettiva', ' VALORI NUTRIZIONAU•', ' valori medi per 100g', ' Energia 1374K],']",['Arachides'],[],?,324,1356 kj(324 kcal),"0,5","0,1",75,59,3,"0,03","0,012",,,,,['Noberasco'],,,"['E220 - Anhydride sulfureux', '', 'Risque élevé de sur-exposition']",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1240,Good day grand mix,8005120215640,,['France'],"['SGUSCIATI E ANACARDI', ' semi di zucca', 'semi di girasole', 'uvetta golden ', 'uva', 'olio di sem\\ giraso\\e', 'conservante•', ' anidride solforosa', 'anacardi 15%', 'mirtilli al succo di mela ', 'mirtilli blu 60%', 'succo di mela', 'olio di semi di girasole', 'mirtilli rossi americani infusi al succo di ananas ', 'mirtilli rossi girasole', ' Pub contenere tracce di altra 60%', ""succo làZe 'Semi di sesamo"", ' Conservare inluogo frutta a guscïb', ' fresco easciuttoAontano da fonti di luce e calore', ' Confezionato in atmosfera protettiva', ' VALORI NUTRIZIONALI: Valori medi per 100g', ' Energia 1981K', '475<califl Grassi 27g di cui: acidi grassi saturi 3,9g', 'Carboidrati 41g di cui•: zuçcheri 31g', 'Fibre 5,9g', 'Proteine 14g', 'Sale 0,02g']",,[],?,475,1987 kj(475 kcal),27,"3,9",41,31,14,"0,02","0,008",,,,,['Good Day'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1241,Fruit box brio - Noberasco,8005120215756,,['France'],[],,[],?,527,2205 kj(527 kcal),37,"4,8",32,20,14,"0,02","0,008",,,,,['Noberasco'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1242,Veg and crock - Noberasco,8005120215961,,['France'],[],,[],?,350,1464 kj(350 kcal),"4,4","1,1",42,41,15,"0,006","0,002",,,,,['Noberasco'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
