,name,bar_code,sales_countries,ingredients_list,ingredients_analysis,nutriment_energy-kj_tr,nutriment_energy-kcal_tr,nutriment_energy_tr,nutriment_fat_tr,nutriment_saturated-fat_tr,nutriment_carbohydrates_tr,nutriment_sugars_tr,nutriment_proteins_tr,nutriment_salt_tr,nutriment_sodium_tr,eco_score,categories,fats_lipids_quantity,fats_lipids_comment,saturated_acids_quantity,saturated_acids_comment,sugar_quantity,sugar_comment,salt_quantity,salt_comment,nutriment_energy-kj_tr_diff,nutriment_energy-kcal_tr_diff,nutriment_energy_tr_diff,nutriment_fat_tr_diff,nutriment_saturated-fat_tr_diff,nutriment_carbohydrates_tr_diff,nutriment_sugars_tr_diff,nutriment_proteins_tr_diff,nutriment_salt_tr_diff,nutriment_sodium_tr_diff,nutriment_nutrition-score-fr_tr,nutriment_nutrition-score-fr_tr_diff,nutriment_nutriscore_tr,nutriment_nutriscore_tr_diff,Agriculture,Transformation,Conditionnement,Transport,Distribution,Consommation,Score_ACV,labels,brand,traceability_code,quantity,markets,packaging,additives,allergens,nova_score,brand_owner,generic_name,manufacturing,ingredients_origins,link
40,Organic crunchy peanut butter spread - 16oz,0085239041109,"['France', 'États-Unis']","['Dry roasted organic peanuts', 'organic palm oil', 'organic cane sugar', 'sea salt']","['Huile de palme', 'Végétalien', 'Végétarien']",?,594,2485 kj(594 kcal),50,"10,94","21,88","6,25","21,88","0,86","0,344",,"['Aliments et boissons à base de végétaux', ""Aliments d'origine végétale"", 'Matières grasses', 'Matières grasses végétales']",50 g,en quantité élevée,10.9 g,en quantité élevée,6.25 g,en quantité modérée,0.86 g,en quantité modérée,,-29%,-28%,-46%,-27%,+55433%,+21452%,+75089%,+2128%,+2128%,8,-3%,C,-3%,,,,,,,,,,,16 oz,,,,,2,GOOD & GATHER,,,,
41,Sel de Camargue à la Truffe,3527908820112,['France'],[],[],?,?,,?,,?,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
42,Kugelhopf,2071709000002,['France'],[],[],?,777,3251 kj(777 kcal),24,14,27,27,25,"2,5",1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
43,Saint-Nectaire - Monoprix,0200014017913,['France'],[],[],?,?,,?,,?,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,['Monoprix'],,,['Monoprix'],,,,,,,,,
44,Confiture banane vanille,0602561857309,['France'],[],[],?,?,,?,,?,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
45,French Truffles Lemon Meringue 200G - Truffettes De France,3472710025562,['France'],[],[],?,602,2519 kj(602 kcal),45,34,43,36,"4,7","0,26","0,104",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,['Truffettes De France'],,,,,,,,,,,,
46,Endives de Bretagne -,3770013336003,['France'],[],[],?,0,0 kj(0 kcal),0,0,0,0,?,0,0,B,"['Aliments et boissons à base de végétaux', ""Aliments d'origine végétale"", 'Aliments à base de fruits et de légumes', 'Légumes et dérivés', 'Frais', 'Aliments à base de plantes frais', 'Légumes-feuilles', 'Légumes frais', 'Endives', 'Endives', 'Endives fraîches']",0 g,en faible quantité,0 g,en faible quantité,0 g,en faible quantité,0 g,en faible quantité,,-100%,-100%,-100%,-100%,-100%,-100%,,-100%,-100%,,,,,68.9%,0.0%,0.0%,11.3%,16.2%,3.6%,96,,,,,,,,,,,,,,
47,Saucisses de volaille,2444022032935,['France'],[],[],?,139,582 kj(139 kcal),"7,1",2,"0,3","0,3",18,"1,7","0,68",E,"['Viandes', 'Charcuteries', 'Saucisses', 'Saucisses de volaille']",7.1 g,en quantité modérée,2 g,en quantité modérée,0.3 g,en faible quantité,1.7 g,en quantité élevée,,-23%,-24%,-40%,-45%,-76%,-42%,+9%,-4%,-4%,4,-59%,C,-59%,88.4%,6.6%,1.6%,0.9%,0.5%,2.0%,17,['Bio'],,,,,,,,,,,,,
48,Jus de citron jaune,04061229,['France'],[],[],?,27,113 kj(27 kcal),"0,03",0,2,2,"0,4","0,008","0,003",D,"['Aliments et boissons à base de végétaux', 'Boissons', 'Boissons à base de végétaux', 'Boissons aux fruits', 'Jus et nectars', 'Jus de fruits', 'Jus de citron']",0.03 g,en faible quantité,0 g,en faible quantité,2 g,en faible quantité,0.0075 g,en faible quantité,,0%,+1%,-79%,-100%,-44%,+20%,+19%,-16%,-16%,-4,,B,,58.5%,3.8%,10.1%,20.0%,6.0%,1.7%,51,,,,,,,,,,,,,,
49,Rillettes de poulet tandoori,3337530510240,['France'],[],[],?,239,1000 kj(239 kcal),18,"6,2",2,1,17,"1,5","0,6",D,"['Viandes', 'Produits à tartiner', 'Charcuteries', 'Produits à tartiner salés', 'Rillettes', 'Rillettes de viande', 'Rillettes de viande blanche', 'Rillettes de volaille', 'Rillettes de poulet']",18 g,en quantité modérée,6.2 g,en quantité élevée,1 g,en faible quantité,1.5 g,en quantité modérée,,-25%,-25%,-35%,-30%,+303%,+154%,+2%,+26%,+26%,14,-17%,D,-17%,74.1%,17.7%,4.6%,2.1%,1.2%,0.3%,39,"['Bio', 'Bio européen', 'FR-BIO-10']",,,,,,,,,,,,,
50,Toron l'agramûtina,8410495800214,['France'],[],[],?,559,2339 kj(559 kcal),39,"6,9",39,30,15,"0,3","0,12",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
51,Banane,2184435001622,['France'],[],[],?,?,,?,,?,,?,0,0,B,"['Aliments et boissons à base de végétaux', ""Aliments d'origine végétale"", 'Aliments à base de fruits et de légumes', 'Fruits et produits dérivés', 'Fruits', 'Fruits tropicaux', 'Bananes']",,,,,,,0 g,en faible quantité,,,,,,,,,-100%,-100%,,,,,63.7%,0.0%,0.0%,23.1%,9.9%,3.2%,95,,,,,,,,,,,,,,
52,soupe de legume du soleil,3574311381181,['France'],[],[],?,36,151 kj(36 kcal),"1,4","0,2","4,1","2,4",1,"0,89","0,356",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
