,name,bar_code,sales_countries,ingredients_list,ingredients_analysis,nutriment_energy-kj_tr,nutriment_energy-kcal_tr,nutriment_energy_tr,nutriment_fat_tr,nutriment_saturated-fat_tr,nutriment_carbohydrates_tr,nutriment_sugars_tr,nutriment_proteins_tr,nutriment_salt_tr,nutriment_sodium_tr,eco_score,categories,fats_lipids_quantity,fats_lipids_comment,saturated_acids_quantity,saturated_acids_comment,sugar_quantity,sugar_comment,salt_quantity,salt_comment,nutriment_energy-kj_tr_diff,nutriment_energy-kcal_tr_diff,nutriment_energy_tr_diff,nutriment_fat_tr_diff,nutriment_saturated-fat_tr_diff,nutriment_carbohydrates_tr_diff,nutriment_sugars_tr_diff,nutriment_proteins_tr_diff,nutriment_salt_tr_diff,nutriment_sodium_tr_diff,nutriment_nutrition-score-fr_tr,nutriment_nutrition-score-fr_tr_diff,nutriment_nutriscore_tr,nutriment_nutriscore_tr_diff,Agriculture,Transformation,Conditionnement,Transport,Distribution,Consommation,Score_ACV,labels,brand,traceability_code,quantity,markets,packaging,additives,allergens,nova_score,brand_owner,generic_name,manufacturing,ingredients_origins,link
1138,German wafer thin Brunswick salami,00459716,['France'],[],[],?,322,1347 kj(322 kcal),26,10,"0,7","0,2",21,4,"1,6",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1139,Truffes fantaisie - Mathez,3481290036370,['France'],[],[],?,600,2510 kj(600 kcal),46,39,41,39,"4,1","0,12","0,048",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,['Mathez'],,,,,,,,,,,,
1140,Concombre - 356g,2040356013185,['France'],[],[],?,?,,?,,?,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,356 g,['Migros'],,,,,,,,,
1141,Mortadella,8007612389990,['France'],[],[],?,294,1230 kj(294 kcal),26,10,0,0,15,"2,5",1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,['IGP'],,,,,,,,,,,,,
1142,Beignets roulés aux pommes,0260160008531,['France'],[],[],?,360,1506 kj(360 kcal),"19,4",9,"40,1","15,5","5,9","0,78","0,312",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1143,Fraich'taboulé,2208266027559,['France'],[],[],?,?,,?,,?,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1144,Dos de cabillaud - 346g,0234164056546,['France'],[],[],?,?,,?,,?,,?,,,E,"['Produits de la mer', 'Poissons', 'Morues', 'Dos de cabillaud']",,,,,,,,,,,,,,,,,,,,,,,93.2%,0.0%,0.9%,5.2%,0.5%,0.1%,14,,,,346 g,['Migros'],['Tranches'],,,,,,,,
1145,Risotto crémeux légumes verts,0002000005603,['France'],[],[],?,111,464 kj(111 kcal),"4,9","2,4","14,7","1,1",4,"1,6","0,64",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1146,Façon risoto,3350033681644,['France'],[],[],?,173,724 kj(173 kcal),"9,8","3,4",16,"2,6",5,"0,95","0,38",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1147,Filet mignon de porc,0201556046317,['France'],[],[],?,120,502 kj(120 kcal),"3,6","1,5",0,0,22,"0,11","0,044",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"['Viande Française', 'Viande Porcine Française']",,,,,,,,,,,,,
1148,"Espresso, Café Moulu - 250g",3257980019820,['France'],[],[],?,0,0 kj(0 kcal),?,,?,,?,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,250 g,,,,,,,,,,
1149,Macarons pistache - 100g,3770013629242,['France'],[],[],?,458,1916 kj(458 kcal),"16,7","1,3","64,9","62,5","12,4","0,2","0,08",D,"['Desserts', 'Biscuits et gâteaux', 'Pâtisseries', 'Macarons']",16.7 g,en quantité modérée,1.3 g,en faible quantité,62.5 g,en quantité élevée,0.2 g,en faible quantité,,+8%,+8%,-6%,-71%,+17%,+24%,+45%,+40%,+40%,16,-9%,D,-9%,88.9%,5.7%,2.0%,2.2%,1.2%,0.0%,37,['Sans conservateurs'],,,100 g,,,,,,,,,,
1150,Huile vierge biologique avocat,3291960015624,['France'],[],[],?,900,3766 kj(900 kcal),100,20,0,0,0,0,0,,"['Aliments et boissons à base de végétaux', ""Aliments d'origine végétale"", 'Matières grasses', 'Matières grasses végétales', 'Huiles', 'Huiles de fruits et graines de fruits', ""Huiles d'avocat"", ""Huile vierge d'avocat""]",100 g,en quantité élevée,20 g,en quantité élevée,0 g,en faible quantité,0 g,en faible quantité,,+9%,+9%,+4%,+21%,,,,,,12,+2%,D,+2%,,,,,,,,['Bio'],,,,,,,,,,,,,
1151,"Ayurveda Pitta Bio, Longue Vie",3582810183113,['France'],[],[],?,?,,?,,?,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,['Bio'],,,,,,,,,,,,,
1152,Bao au porc saté - Wei Ming - 200g,3760269070776,['France'],[],[],?,224,937 kj(224 kcal),"7,76","2,8","26,9","3,9","10,7","1,38","0,552",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,['Wei Ming'],,200 g,,,,,,,,,,
1153,Ossau Iraty,2486022022509,['France'],[],[],?,440,1841 kj(440 kcal),"37,2","26,2",2,"0,5","24,2","1,7","0,68",E,"['Produits laitiers', 'Produits fermentés', 'Produits laitiers fermentés', 'Fromages', 'Fromages de France', 'Fromages à pâte pressée non cuite', 'Fromages de brebis', 'Ossau-Iraty']",37.2 g,en quantité élevée,26.2 g,en quantité élevée,0.5 g,en faible quantité,1.7 g,en quantité élevée,,+4%,+5%,+4%,+6%,+113%,+71%,+3%,-4%,-4%,17,-3%,D,-3%,89.1%,5.2%,2.2%,2.3%,1.0%,0.3%,34,,,,,,,,,,,,,,
1154,Lune de miel,17846233,['France'],[],[],?,?,,?,,?,,?,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,['Lune de Miel'],,,,,,,,,,,,
1155,Assortiment de fruit coque - 900g,3502490232468,['France'],[],[],?,675,2824 kj(675 kcal),63,"6,4","5,5","4,1",17,"0,1","0,04",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,900 g,,,,,,,,,,
1156,Pão-de-Ló,5603468000701,['France'],[],[],?,325,1360 kj(325 kcal),"8,7","2,7","51,3","40,8","9,9","0,5","0,2",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1157,Pain maïs tournesol tranche,2644668008862,['France'],[],[],?,?,,?,,?,,?,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1158,Bao a la pancetta - Wei Ming,3760269070783,['France'],[],[],?,309,1293 kj(309 kcal),"16,21",5,28,"3,2","12,3","0,98","0,392",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,['Wei Ming'],,,,,,,,,,,,
1159,Torsade chocolat,0201517023616,['France'],[],[],?,393,1644 kj(393 kcal),17,10,49,20,7,"0,95","0,38",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1160,darjeeling sungma,3760175820229,['France'],[],[],?,?,,?,,?,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1161,Pâté poulet sans porc,38380723,['France'],[],[],?,?,,?,,?,,?,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,['Halal'],,,,,,,,,,,,,
1162,Ossau Iraty,2225663027753,['France'],[],[],?,392,1640 kj(392 kcal),33,24,2,0,23,"2,3","0,92",E,"['Produits laitiers', 'Produits fermentés', 'Produits laitiers fermentés', 'Fromages', 'Fromages de France', 'Fromages à pâte pressée non cuite', 'Fromages de brebis', 'Ossau-Iraty']",33 g,en quantité élevée,24 g,en quantité élevée,0 g,en faible quantité,2.3 g,en quantité élevée,,-7%,-7%,-8%,-3%,+113%,-100%,-2%,+30%,+30%,19,+8%,E,+8%,89.1%,5.2%,2.2%,2.3%,1.0%,0.3%,34,,,"['FR 63.113.081 CE', 'Clermont-Ferrand (Puy-de-Dôme, France)']",,,,,,,,,,,
1163,Jambon fumé,0281451035623,['France'],[],[],?,126,527 kj(126 kcal),"4,4",,"0,5",0,21,"1,5","0,6",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,['en:gluten-free'],,,,,,,,,,,,,
1164,Protéines de lait,3770009699273,['France'],[],[],?,?,,?,,?,,?,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"['Sans sucre ajouté', 'Sans additifs']",,,,,,,,,,,,,
1165,Cookies cranberry et graines de courges - 140g,3350033663169,['France'],[],[],?,380,1590 kj(380 kcal),68,"8,7",7,"6,4","3,7","0,3","0,12",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,140 g,,,,,,,,,,
1166,"Poulet fermier bio ""l'étal du volailler""",2287666011030,['France'],[],[],?,157,657 kj(157 kcal),8,2,?,,?,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"['Bio', 'Bio européen', 'FR-BIO-09']",,"['FR 72.168.001 CE', 'Loué (Sarthe, France)']",,,,,,,,,,,
1167,Salsa picante verde de Chile habanero,7501017660209,['France'],[],[],?,?,,?,,?,,?,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1168,Rochebaron,2453681027558,['France'],[],[],?,342,1431 kj(342 kcal),30,25,"0,5","0,5",18,"1,9","0,76",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1169,Marshmallow heart,0200030204199,['France'],[],[],?,442,1849 kj(442 kcal),14,13,74,53,"4,4","0,14","0,056",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1170,Maldon smooked sea salt,5011428000294,['France'],[],[],?,?,,?,,?,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1171,Bridge Initiation - 180g,3760066560654,['France'],[],[],?,242,1013 kj(242 kcal),"18,3","7,7",0,0,"19,3","1,4","0,56",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,180 g,,['Bocal en verre'],,,,,,,,
1172,chocolat Lait Amandes - Côte d'Or,30886797,['France'],[],[],?,537,2247 kj(537 kcal),32,14,52,51,"9,2","0,78","0,312",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"[""Côte d'Or""]",,,,,,,,,,,,
1173,Instant noodles,2086980171648,['France'],[],[],?,459,1920 kj(459 kcal),"15,8",7,67,"8,9","10,3","2,5",1,,"['Aliments et boissons à base de végétaux', ""Aliments d'origine végétale"", 'Céréales et pommes de terre', 'Céréales et dérivés', 'Produits déshydratés', 'Produits lyophilisés à reconstituer', 'Nouilles', 'Nouilles instantanées']",,,,,,,,,,+54%,+52%,+36%,+33%,+65%,+268%,+62%,-4%,-4%,,,,,,,,,,,,,,,,,,,,,,,,,
1174,Sandwich bacon et oeuf - Natsu,4045851020285,['France'],[],[],?,303,1268 kj(303 kcal),19,"3,1",20,"2,9",11,"1,5","0,6",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,['Natsu'],,,,,,,,,,,,
1175,Vermicelles de haricots mungo - 200g,8852959002732,['France'],[],[],?,140,586 kj(140 kcal),0,0,35,0,"0,1",0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,200 g,,,,,,,,,,
1176,Pavé aux herbes - Auchan,3596710415878,['France'],[],[],?,357,1494 kj(357 kcal),29,"11,7",1,1,23,5,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"['Auchan', 'Groupe Auchan']",,,['Auchan'],,,,,,,,,
1177,Cannelle moulue,3352396200913,['France'],[],[],?,0,0 kj(0 kcal),0,0,0,0,0,0,0,B,"['Aliments et boissons à base de végétaux', ""Aliments d'origine végétale"", 'Epicerie', 'Condiments', 'Epices', 'Cannelle', 'Cannelle en poudre']",0 g,en faible quantité,0 g,en faible quantité,0 g,en faible quantité,0 g,en faible quantité,,-100%,-100%,-100%,-100%,-100%,-100%,-100%,-100%,-100%,,,,,63.0%,0.0%,17.9%,13.1%,5.9%,0.0%,78,['Point Vert'],,"['EMB 07055', 'Charmes-sur-Rhône (Ardèche, France)']",,,,,,,,,,,
1178,Magnesium cutetonic,0639266297956,['France'],[],[],?,0,0 kj(0 kcal),0,0,0,0,0,"0,5","0,2",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1179,Terrine de chevreau au poivre vert,3100000023645,['France'],[],[],?,213,891 kj(213 kcal),10,"3,9","2,1","0,5",17,"1,5","0,6",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1180,Liquorice,0071570010089,['France'],[],[],?,364,1523 kj(364 kcal),0,0,91,61,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1181,Mandorla - 100g,20224400,"['France', 'Suisse']",[],[],?,527,2205 kj(527 kcal),28,16,62,50,5,"0,2","0,08",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,['Fabriqué en Suisse'],,,100 g,,,,,,,,,,
1182,6 Galettes Jambon Emmental - Galettes Bertel - 840g,3337040004185,['France'],[],[],?,?,,?,,?,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,['Galettes Bertel'],,840 g,,,,,,,,,,
1183,Cannelle en poudre,3770003808121,['France'],[],[],?,?,,?,,?,,?,,,B,"['Aliments et boissons à base de végétaux', ""Aliments d'origine végétale"", 'Epicerie', 'Condiments', 'Epices', 'Cannelle', 'Cannelle en poudre']",,,,,,,,,,,,,,,,,,,,,,,63.0%,0.0%,17.9%,13.1%,5.9%,0.0%,78,,,,,,,,,,,,,,
1184,Galette frangipane,2010000013328,['France'],[],[],?,?,,?,,?,,?,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1185,elegantil diuret,5603736190073,['France'],[],[],?,100,418 kj(100 kcal),0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1186,Clarence Court Old Cotswold Legbar Eggs X6,5024393000091,['France'],[],[],?,?,,?,,?,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1187,Saucisson Sec Tranché - Berni,3264056100993,['France'],[],[],?,381,1594 kj(381 kcal),30,12,"3,7","2,5",23,"4,2","1,68",D,"['Viandes', 'Charcuteries', 'Saucissons', 'Saucissons secs']",30 g,en quantité élevée,12 g,en quantité élevée,2.5 g,en faible quantité,4.2 g,en quantité élevée,,-5%,-6%,-5%,-2%,+66%,+82%,-17%,-10%,-10%,24,0%,E,0%,79.0%,17.2%,0.6%,1.8%,1.1%,0.3%,36,,['Berni'],,,,"['Barquette en plastique', 'Film en plastique']",,,,,,,,
1188,Le Chocolat du Barbu - Chéris Zinzins,3770014358028,['France'],[],[],?,564,2360 kj(564 kcal),43,27,30,25,8,"0,2","0,08",D,"['Snacks', 'Snacks sucrés', 'Cacao et dérivés', 'Chocolats', 'Chocolats noirs']",43 g,en quantité élevée,27 g,en quantité élevée,25 g,en quantité élevée,0.2 g,en faible quantité,,+1%,+2%,+9%,+17%,-22%,-21%,+4%,+328%,+328%,17,-20%,D,-20%,85.3%,9.9%,1.2%,3.2%,0.4%,0.0%,24,"['Bio', 'Bio européen', 'AB Agriculture Biologique', 'Agriculture UE/Non UE', 'FR-BIO-01', 'Fabriqué en France']",['Chéris Zinzins'],,,,,,,,,,,,
1189,Pain aux cereales,0201014008536,['France'],[],[],?,?,,?,,?,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1190,Confiture 4 fruits rouges - Raoul Gey,3193840000105,['France'],"['Sucre de canne', 'fraises 17 g cerises 11 g', 'framboises 11 g', 'groseilles 11 g', ' gélifiant : pectines', 'acidifiant: jus de citron concentré', ' Pour 100 g de produit fini : préparée avec 50 g de fruits', 'teneur totale en sucres : 61 g']",[],?,244,1021 kj(244 kcal),"0,1","0,1",59,59,"0,8",0,0,D,"['Aliments et boissons à base de végétaux', ""Aliments d'origine végétale"", 'Aliments à base de fruits et de légumes', 'Produits à tartiner', 'Petit-déjeuners', 'Fruits et produits dérivés', 'Pâtes à tartiner végétales', 'Produits à tartiner sucrés', 'Confitures et marmelades', 'Confitures', 'Confitures multifruits', 'Confitures de fruits rouges', 'Confitures de fruits rouges mélanges']",0.1 g,en faible quantité,0.1 g,en faible quantité,59 g,en quantité élevée,0 g,en faible quantité,,+12%,+11%,-61%,+119%,+13%,+17%,+47%,-100%,-100%,10,+5%,C,+5%,75.0%,7.5%,10.3%,5.1%,1.7%,0.4%,50,,['Raoul Gey'],,,,,['E440 - Pectines'],,4,,,,,
1191,Pastille à la menthe d'Hawaï,0858331020316,['France'],[],[],?,?,,?,,?,,?,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1192,Pastille à la menthe d'Hawaï,0718442401063,['France'],[],[],?,?,,?,,?,,?,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1193,Expresso fortissimo - 114g,3250392868383,['France'],[],[],?,?,,?,,?,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,114 g,,,,,,,,,,
1194,feuillété jambon de dinde,3700091902180,['France'],[],[],?,273,1142 kj(273 kcal),17,"8,9",24,"1,5","5,2","0,77","0,308",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"['Halal', 'Fabriqué en France']",,,,,,,,,,,,,
1195,Lulu la coqueline - Lu - 165g,,['France'],[],[],?,?,,?,,?,,?,,,D,"['Biscuits et gâteaux', 'Gâteaux', 'Gâteaux au chocolat', 'Madeleines', 'Madeleines au chocolat']",,,,,,,,,,,,,,,,,,,,,,,82.9%,10.9%,2.4%,2.5%,1.3%,0.0%,39,['en:Charte LU Harmony'],['Lu'],,165 g,,['carton contenant 4 étuis de 4 madeleines'],,,,,petites madeleines fourrées au chocolat goût chocolat noisette pour enfant,"['Clamart', 'France']",,
1196,Vino Tinto,8435053362164,['France'],[],[],?,?,,?,,?,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1197,Fin'Candie - 36g,3401560096781,['France'],[],[],?,247,1033 kj(247 kcal),"1,2","0,39","98,6",0,0,"0,05","0,02",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"['en:gluten-free', 'Sans colorants']",,,36 g,,,,,,,,,,
1198,Choko'roi,3770013658075,['France'],[],[],?,428,1791 kj(428 kcal),24,0,26,22,27,"0,3","0,12",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"['en:gluten-free', 'Sans sucre ajouté']",,,,,,,,,,,,,
1199,Sablés bio - Auchan,822941031362099529,['France'],[],[],?,50,209 kj(50 kcal),25,"8,5",59,23,"7,1","0,92","0,368",C,"['Snacks', 'Snacks sucrés', 'Biscuits et gâteaux', 'Biscuits', 'Biscuits sablés']",25 g,en quantité élevée,8.5 g,en quantité élevée,23 g,en quantité élevée,0.92 g,en quantité modérée,,-90%,-90%,+7%,-39%,-6%,-9%,+15%,+35%,+35%,17,-22%,D,-22%,80.5%,11.6%,3.5%,2.3%,2.1%,0.0%,56,"['Bio', 'Produit en braille', 'Fabriqué en France']",['Auchan'],,,['Auchan'],,,,,,,,,
1200,Comté,0209173036087,['France'],[],[],?,427,1787 kj(427 kcal),35,23,1,"0,5",27,"0,9","0,36",D,"['Produits laitiers', 'Produits fermentés', 'Produits laitiers fermentés', 'Fromages', 'Fromages à pâte pressée cuite', 'Fromages de France', 'Comté']",35 g,en quantité élevée,23 g,en quantité élevée,0.5 g,en faible quantité,0.9 g,en quantité modérée,,+2%,+2%,+1%,+1%,+116%,+87%,+0%,+7%,+7%,13,0%,D,0%,82.8%,8.1%,3.5%,3.6%,1.6%,0.4%,49,,,"['FR 25.039.003 CE', 'Avoudrey (Doubs, France)']",,,,,,,,,,,
1201,Red Dragon Brand Jasmine Rice Aaa 10LB,9310432070382,['France'],[],[],?,357,1494 kj(357 kcal),0,0,0,0,"0,7",0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1202,Biscuits craquants à la pomme,3760116503051,['France'],[],[],?,449,1879 kj(449 kcal),13,1,75,56,"8,1","0,05","0,02",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1203,Rosette pur porc,2276764065793,['France'],[],[],?,428,1791 kj(428 kcal),33,13,"2,7","1,8",29,"4,7","1,88",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1204,Cookie double chocolat - 70g,0201533006563,['France'],[],[],?,?,,?,,?,,?,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,70 g,,,,,,,,,,
1205,Préparation à base de miel et pâte de noisettes,3770000651096,['France'],[],[],?,?,,?,,?,,?,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1206,Hollywood menthe verte,3538280041750,['France'],[],[],?,175,732 kj(175 kcal),0,0,"73,1",0,"0,8",0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,['Hollywood'],,,,,,,,,,,,
1207,4 Donut Parfum chocolat Décongelés,0207059019353,['France'],[],[],?,412,1724 kj(412 kcal),21,"9,7",49,21,"5,5","0,89","0,356",B,"['Biscuits et gâteaux', 'Gâteaux', 'Donuts', 'Beignets fourrés au chocolat']",21 g,en quantité élevée,9.7 g,en quantité élevée,21 g,en quantité élevée,0.89 g,en quantité modérée,,-5%,-5%,-19%,-23%,+15%,+34%,-15%,-14%,-14%,21,-2%,E,-2%,65.3%,17.3%,8.4%,4.6%,4.4%,0.0%,87,,,,,,,,,,,,,,
1208,Bonbon au coquelicots,3760280470371,['France'],[],[],?,392,1640 kj(392 kcal),0,0,98,65,0,0,0,E,"['Snacks', 'Snacks sucrés', 'Confiseries', 'Bonbons']",0 g,en faible quantité,0 g,en faible quantité,65 g,en quantité élevée,0 g,en faible quantité,,+10%,+9%,-100%,-100%,+18%,+12%,-100%,-100%,-100%,14,-3%,D,-3%,90.3%,5.0%,2.2%,2.0%,0.5%,0.0%,34,,,,,,,,,,,,,,
1209,Cannelés  traditionnels,3180334540018,['France'],[],[],?,278,1163 kj(278 kcal),"0,84","0,59","52,5","45,6","1,3","0,05","0,02",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1210,Dirtylemon,0868137000177,['France'],[],[],?,3.1712473572939,13 kj(3 kcal),0,0,"1,057","0,211",0,"7,928","3,171",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1211,Flan,0201648016402,['France'],[],[],?,18,75 kj(18 kcal),"0,7","0,5",3,2,0,"0,03","0,012",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1212,Andouillettes de canard,2202063023356,['France'],[],[],?,216,904 kj(216 kcal),16,6,6,0,12,14,"5,6",,['Andouillettes de canard'],16 g,en quantité modérée,6 g,en quantité élevée,0 g,en faible quantité,14 g,en quantité élevée,,-3%,-3%,-1%,-3%,+619%,-100%,-30%,+900%,+900%,17,+19%,D,+19%,,,,,,,,,,,,,,,,,,,,,
1213,Muunar Orthodox Tea,8906033260492,['France'],[],[],?,?,,?,,?,,?,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1214,"Holle Bio-folgemilch 3, 600 GR Packung",7640104950417,['France'],[],[],?,?,,?,,?,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,['Holle'],,,,,,,,,,,,
1215,Cioccolato di modica - 75g,8021022007503,['France'],[],[],?,494,2067 kj(494 kcal),27,17,54,50,7,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,75 g,,,,,,,,,,
1216,Mini-Barattes,3503962255053,['France'],[],[],?,308,1289 kj(308 kcal),25,18,5,1,20,2,"0,8",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1217,Lipton the vert menthe,3700114500577,['France'],[],[],?,19,79 kj(19 kcal),0,0,"4,9","4,1","0,49","9,9","3,96",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1218,Noix de coco prêt à déguster,2868520017124,['France'],[],[],?,?,,?,,?,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,['Sans conservateurs'],,,,,,,,,,,,,
1219,poulet jaune,0215060024471,['France'],[],[],?,?,,?,,?,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"['FR 85.215.001 CE', 'Saint-Fulgent (Vendée, France)']",,,,,,,,,,,
1220,Spécial gunpowder - 200g,6970584261439,['France'],[],[],?,?,,?,,?,,?,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,200 g,,,,,,,,,,
1221,Flocons d'Avoine Fin Bio,1121000000001,['France'],[],[],?,?,,?,,?,,?,,,B,"['Aliments et boissons à base de végétaux', ""Aliments d'origine végétale"", 'Céréales et pommes de terre', 'Petit-déjeuners', 'Céréales et dérivés', 'Céréales pour petit-déjeuner', 'Flocons', 'Flocons de céréales', 'Flocons laminés', ""Flocons d'avoine""]",,,,,,,,,,,,,,,,,,,,,,,82.4%,1.1%,6.8%,7.0%,2.7%,0.0%,79,['Bio'],,,,,,,,,,,,,
1222,Activia kiwi,53095534,['France'],[],[],?,468,1958 kj(468 kcal),"3,6","2,5","14,9","14,4","4,6","0,18","0,072",,"['Produits laitiers', 'Produits fermentés', 'Produits laitiers fermentés', 'Yaourts']",3.6 g,en quantité modérée,2.5 g,en quantité modérée,14.4 g,en quantité élevée,0.18 g,en faible quantité,,+409%,+410%,+10%,+22%,+35%,+43%,+22%,+57%,+57%,8,+161%,C,+161%,,,,,,,,,['Activia'],,,,,,,,,,,,
1223,Maïs à popcorn,3700359217643,['France'],[],[],?,?,,?,,?,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1224,Pain PITTA - 320g,3770013667084,['France'],[],[],?,262.4,1098 kj(262 kcal),"6,5","0,7","41,3",1,"8,4",1,"0,4",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"['Sans additifs', 'Sans conservateurs']",,,320 g,,,,,,,,,,
1225,Filet de poulet,0211994054645,['France'],[],[],?,?,,?,,?,,?,,,C,"['Viandes', 'Volailles', 'Poulets', 'Filets de poulet']",,,,,,,,,,,,,,,,,,,,,,,83.4%,9.5%,2.7%,2.7%,1.4%,0.4%,44,"['Bio', 'Bio européen', 'FR-BIO-01']",,,,,,,,,,,,,
1226,Crépes sucrées,3413900003359,['France'],[],[],?,1312,5489 kj(1312 kcal),"9,9","2,4","48,7",29,"7,9","0,8","0,32",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"['FR 35.069.015 CE', 'Châteaugiron (Ille-et-Vilaine, France)']",,,,,,,,,,,
1227,Pop corn,3770014168016,['France'],[],[],?,424,1774 kj(424 kcal),"17,7","8,5","58,6","9,6","8,3","0,01","0,004",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
