,name,bar_code,labels,sales_countries,ingredients_list,ingredients_analysis,nutriment_energy-kj_tr,nutriment_energy-kcal_tr,nutriment_energy_tr,nutriment_fat_tr,nutriment_saturated-fat_tr,nutriment_carbohydrates_tr,nutriment_sugars_tr,nutriment_proteins_tr,nutriment_salt_tr,nutriment_sodium_tr,eco_score,quantity,categories,fats_lipids_quantity,fats_lipids_comment,saturated_acids_quantity,saturated_acids_comment,sugar_quantity,sugar_comment,salt_quantity,salt_comment,nutriment_energy-kj_tr_diff,nutriment_energy-kcal_tr_diff,nutriment_energy_tr_diff,nutriment_fat_tr_diff,nutriment_saturated-fat_tr_diff,nutriment_carbohydrates_tr_diff,nutriment_sugars_tr_diff,nutriment_proteins_tr_diff,nutriment_salt_tr_diff,nutriment_sodium_tr_diff,Agriculture,Transformation,Conditionnement,Transport,Distribution,Consommation,Score_ACV,brand,markets,traceability_code,nutriment_nutrition-score-fr_tr,nutriment_nutrition-score-fr_tr_diff,nutriment_nutriscore_tr,nutriment_nutriscore_tr_diff,packaging,allergens,nova_score,additives,generic_name,manufacturing,ingredients_origins,link,palm_ingredients,brand_owner
399,Camu Camu 50GR Bio - Salud Viva,0000690000007,"['Bio', 'Sans gluten', 'Sans lactose']",['France'],[],[],?,333,1393 kj(333 kcal),"0,13",0,"81,2","19,15","1,55","0,008","0,003",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
400,Pain d'épices - 350g,,,['France'],[],[],?,?,,?,,?,,?,,,B,350 g,"['Biscuits et gâteaux', ""Pains d'épices""]",,,,,,,,,,,,,,,,,,,61.5%,18.9%,9.5%,5.0%,5.0%,0.0%,90,,,,,,,,,,,,,,,,,
401,Booom Liquid,8410525173578,,['France'],[],[],?,?,,?,,?,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
402,Fresh Mint - Carrefour 2 en 1 - 100ML,3560070115075,,['France'],"['NGREDIENTS: AQUA', 'SORBITOL HYDRATED SILCAL son RYL SULFATE', 'SODIUM MONOFLUOROPHOSPHATE', 'AROMA YANTHAN GUM', 'SODIUM SACCHARIN', 'SODIUM METHYLPARABEN CETYLPYRIDINIUM CHLORIDE', 'LIMONENE', 'CI 42051', 'CI 74160 Contient du Monofluorophosphate de sodium: 1450 ppm de ion fluor']",[],?,?,,?,,?,,?,,,,100 ML,"['Non alimentaire', 'Open Beauty Facts', 'Dentifrices']",,,,,,,,,,,,,,,,,,,,,,,,,,['Carrefour 2 en 1'],['Carefour'],,,,,,['Plastic'],,,"['E420 - Sorbitol', 'E219 - Dérivé sodique du 4-hydroxybenzoate de méthyle']",,,['France'],,,
403,Mostaza de dijon - Louit - 15g,8410010158912,['en:gluten-free'],['France'],[],[],?,149,623 kj(149 kcal),"11,5","0,8","3,2",0,"7,2","6,5","2,6",B,15 g,"['Epicerie', 'Condiments', 'Sauces', 'Moutardes', 'Moutardes de Dijon']",11.5 g,en quantité modérée,0.8 g,en faible quantité,0 g,en faible quantité,6.5 g,en quantité élevée,,-6%,-6%,0%,+5%,-12%,-100%,+0%,+10%,+10%,57.4%,14.5%,21.8%,4.8%,1.5%,0.0%,75,['Louit'],,,11,+2%,D,+2%,,,,,,,,,,
404,Halloween cakes,26069821,,['France'],[],[],?,434,1816 kj(434 kcal),24,14,50,31,"4,4","1,27","0,508",,,"[""Aliments et boissons d'Halloween""]",24 g,en quantité élevée,14 g,en quantité élevée,31 g,en quantité élevée,1.27 g,en quantité modérée,,+8%,+8%,+145%,+187%,-31%,-44%,+17%,+425%,+425%,,,,,,,,,,,26,+49%,E,+49%,,,,,,,,,,
405,Bon o bon,78023994,,['France'],[],[],?,?,,?,,?,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
406,Miel acacia et fleurs.,3760097454458,,['France'],[],[],?,?,,?,,?,,?,,,B,,"['Produits à tartiner', 'Petit-déjeuners', 'Produits de la ruche', ""Produits d'élevages"", 'Produits à tartiner sucrés', 'Édulcorants', 'Miels', ""Miels d'acacia""]",,,,,,,,,,,,,,,,,,,87.9%,0.0%,7.7%,3.1%,1.3%,0.0%,82,,,,,,,,,,,,,,,,,
407,Club Rosette - Crous Languedoc Roussillon - 171g,00015004,,['France'],"['Farine complète de BLE 47%', 'eau', 'farine de BLE', 'huile de colza', 'dextrose', ' sucre sel', 'GLUTEN DE BLE', 'arôme [contient alcool]', 'levure', 'vinaigre', 'conservateur : propionate de calcium', ""émulsifiant : mono et diglycérides d'acides gras"", 'antioxydant : acide ascorbique', 'Garniture 49,7% : Rosette 58,8% ', 'viande de porc [origine UE]', 'sel', 'LACTOSE', 'dextrose', 'épices', 'ail \rantioxydant : érythorbate de sodium', 'conservateurs nitrate de potassium', 'nitrite de sodium', 'ferments', 'cornichons 23,5%', 'BEURRE léger 17,6% ', 'eau', 'amidon modifié E1422', 'amidon de pomme']","[""Pourrait contenir de l'huile de palme"", 'Non végétalien', 'Non végétarien']",?,268,1121 kj(268 kcal),"13,8","5,6","22,5","2,9","11,2","2,7","1,08",,171 g,['Sandwichs'],13.8 g,en quantité modérée,5.6 g,en quantité élevée,2.9 g,en faible quantité,2.7 g,en quantité élevée,,+11%,+11%,+33%,+65%,-10%,-11%,+6%,+105%,+105%,,,,,,,,"['Crous Languedoc Roussillon', ""Crous Resto'""]",['Crous Languedoc Roussillon'],,14,+81%,D,+81%,['Barquette plastique'],"['Gluten', 'Lait']",4,"['E282 - Propionate de calcium', ""E471 - Mono- et diglycérides d'acides gras alimentaires"", 'E300 - Acide ascorbique', 'E316 - Érythorbate de sodium', 'E252 - Nitrate de potassium', '', 'Risque élevé de sur-exposition', 'E250 - Nitrite de sodium', '', 'Risque élevé de sur-exposition', 'E1422 - Adipate de diamidon acétylé']",,,,,,
408,Oronamin C Drink,4987035481911,,['France'],[],[],?,?,,?,,?,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
409,Pablo's quino revolution,8718885743227,"['Bio', 'Végétarien', 'Bio européen', 'Agriculture UE/Non UE', 'Union Végétarienne Européenne', 'FR-BIO-01']",['France'],[],['Végétarien'],?,113,473 kj(113 kcal),"4,4","2,5","13,1","1,6","3,3","0,63","0,252",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
410,Santarome Hépatonic Bio Bien-être Du Foie 20 Ampoules,3455540002446,['Bio'],['France'],[],[],?,?,,?,,?,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
411,Fleur de sel de Guerande - Nos régions ont du talent Leclerc - 125g,05784219,"['IGP', 'IGP Guerande']",['France'],[],[],?,?,,?,,?,,?,,,,125g,,,,,,,,,,,,,,,,,,,,,,,,,,,['Nos régions ont du talent Leclerc'],['Leclerc'],,,,,,,,,,,['44740 Batz sur mer'],,,,
412,Lusitana Haricot Coco Rose Sec 1Kg - 1kg,3700068141208,,['France'],[],[],?,?,,?,,?,,?,,,,1 kg,,,,,,,,,,,,,,,,,,,,,,,,,,,['Lusitana'],,,,,,,,,,,,,,,,
413,La Potagère,3274930011833,['Bio'],['France'],[],[],?,?,,?,,?,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,['La Potagère'],,,,,,,,,,,,,,,,
414,Miel de garrigue,3760138130143,,['France'],[],[],?,?,,?,,?,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
415,Smoofizz - lutti,3116740036135,,['France'],"['Sucre', 'sirop de glucose', 'graisse végétale ', 'palme', 'agent de charge ', 'erythritol', 'acidifiants ', 'acide malique', 'acide citrique', 'amidon', ""correcteur d'acidité "", 'malates de sodium', 'protéine de riz hydrolysée', 'arômes', 'denrées alimentaires colorantes ', 'concentré de spiruline', 'émulsifiant ', ""sucroesters d'acide gras"", 'colorants ', 'curcumine', 'anthocyanes']",['Huile de palme'],?,404,1690 kj(404 kcal),"7,3","4,2",85,58,"0,3","0,43","0,172",E,,"['Snacks', 'Snacks sucrés', 'Confiseries', 'Bonbons', 'Bonbons gélifiés', 'Bonbons acidulés gélifiés']",7.3 g,en quantité modérée,4.2 g,en quantité modérée,58 g,en quantité élevée,0.43 g,en quantité modérée,,+17%,+17%,+1405%,+1650%,+5%,-4%,-91%,+125%,+125%,90.3%,5.0%,2.2%,2.0%,0.5%,0.0%,34,['Lutti'],,,20,+38%,E,+38%,,,4,"['E968 - Érythritol', 'E296 - Acide malique', 'E330 - Acide citrique', 'E350 - Malates de sodium', 'E473 - Sucroester', '', 'Risque élevé de sur-exposition', 'E100 - Curcumine', 'E163 - Anthocyanes']",,,,,['Huile de palme'],
416,Cóctel de frutos secos fritos tarrina 250 g - El Corte Inglés,8433329020794,,['France'],[],[],?,695,2908 kj(695 kcal),59,"7,4",18,"4,4",19,"0,3","0,12",,,"['Aliments et boissons à base de végétaux', ""Aliments d'origine végétale"", 'Fruits à coques et dérivés', 'Fruits à coques', 'Fruits à coques décortiqués']",59 g,en quantité élevée,7.4 g,en quantité élevée,4.4 g,en faible quantité,0.3 g,en quantité modérée,,+11%,+11%,+12%,+62%,+36%,+2%,-3%,+307%,+307%,,,,,,,,['El Corte Inglés'],,,16,+830%,D,+830%,,,,,,,,,,
417,Sauce tomate cuisinée aux légumes - Primeal,3380380089312,['Sans sucre ajouté'],['France'],[],[],?,77,322 kj(77 kcal),"2,2","0,3","10,6","7,6","2,3",1,"0,4",,,,,,,,,,,,,,,,,,,,,,,,,,,,,['Primeal'],,,,,,,,,,,,,,,,
418,Bolognaise pur boeuf - Franprix,3263851445216,,['France'],[],[],?,62,259 kj(62 kcal),"2,6","1,1","4,4","3,6","4,2","0,7","0,28",,,,,,,,,,,,,,,,,,,,,,,,,,,,,['Franprix'],['Franprix'],,,,,,['Bocal'],,,,,,,,,
419,Jambon traditionnelle fumé au bois de hêtre - Saint Alby,2205881003203,,['France'],[],[],?,125,523 kj(125 kcal),"4,5","1,5",1,"0,5",20,"1,9","0,76",,,,,,,,,,,,,,,,,,,,,,,,,,,,,['Saint Alby'],,['DE RP-03001 EG'],,,,,"['Barquette en plastique', 'Film en plastique']",,,,,,,,,
420,Comté -  - 330g,2463319032472,['AOP'],['France'],"['Lait cru,sel', 'ferments lactiques', 'presure']","['Sans huile de palme', 'Non végétalien', 'Peut-être végétarien']",1730,+2%419,+2%1750 kj(419 kcal),"+1%34,7","+1%22,7","+116%0,462","+87%0,268","+0%26,9","+7%0,838","+7%0,335",D,330 g,"['Produits laitiers', 'Produits fermentés', 'Produits laitiers fermentés', 'Fromages', 'Fromages à pâte pressée cuite', 'Fromages de France', 'Comté']",35 g,en quantité élevée,23 g,en quantité élevée,0.5 g,en faible quantité,0.9 g,en quantité modérée,,+2%,+2%,+1%,+1%,+116%,+87%,+0%,+7%,+7%,82.8%,8.1%,3.5%,3.6%,1.6%,0.4%,49,,,"['FR 25.039.003 CE', 'Avoudrey (Doubs, France)']",0%13,0%,0%D,0%,['Sachet'],['Lait'],3,,Fromage,,['Juras'],,,
421,Craquant emmental poivre,3770006856662,"['Bio', 'Bio européen', 'Fabriqué en France', 'Sans conservateurs', 'AB Agriculture Biologique']",['France'],[],[],?,459,1920 kj(459 kcal),18,"6,5",56,"3,7",17,"2,6","1,04",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
422,Sachets de thé cassis mûres bio - Clipper,5021991939310,['Bio'],['France'],[],[],?,?,,?,,?,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,['Clipper'],,,,,,,,,,,,,,,,
423,Modilac - Lait 1er âge,56439595,,['France'],[],[],?,502,2100 kj(502 kcal),26,"6,7","56,9","37,6","9,6",0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,['Modilac'],,,,,,,,,,,,,,,,
424,Thermolean (90 Caps) Amix Nutrition,8594159532052,,['France'],[],[],?,?,,?,,?,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
425,Clight,7622210969811,,['France'],[],[],?,5,21 kj(5 kcal),0,0,0,0,0,"0,028","0,011",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
426,Mortadela de vaca dulce,8414248860005,,['France'],[],[],?,136,569 kj(136 kcal),"5,83","1,7","9,7","1,35","9,25","1,26","0,504",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
427,Pomme de terre,26013046,,['France'],[],[],?,?,,?,,?,,?,,,B,,"['Aliments et boissons à base de végétaux', ""Aliments d'origine végétale"", 'Céréales et pommes de terre', 'Pommes de terre']",,,,,,,,,,,,,,,,,,,28.6%,0.0%,23.6%,24.0%,19.8%,4.1%,98,,,,,,,,,,,,,,,,,
428,Yaourt brassé sur lit de fraises - Monbertille - 500g,3701002403734,['Bio'],['France'],[],[],?,76,318 kj(76 kcal),"3,1",2,"8,5","7,9","3,4","0,09","0,036",C,500 g,"['Produits laitiers', 'Produits fermentés', 'Produits laitiers fermentés', 'Yaourts', 'Yaourts aux fruits', 'Yaourts à la fraise']",3.1 g,en quantité modérée,2 g,en quantité modérée,7.9 g,en quantité modérée,0.09 g,en faible quantité,,-22%,-22%,+4%,+5%,-36%,-36%,-7%,-16%,-16%,79.1%,8.8%,4.4%,4.5%,2.5%,0.7%,69,['Monbertille'],,,0,-100%,B,-100%,,,,,,,,,,
429,Salade Plein Soleil,3760159102532,,['France'],[],[],?,196,820 kj(196 kcal),"8,1",0,"24,7",0,"4,94",0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
430,Danone Vitasnella Water 500ML - 50cl,80369592,,['France'],[],[],?,0,0 kj(0 kcal),0,0,0,0,0,0,0,,50 cl,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
431,Alara - 325g,5016786002010,,['France'],[],[],?,407,1703 kj(407 kcal),"12,8","3,2","59,6",39,"10,3","0,1","0,04",,325 g,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
432,Glace artisanale rhum raisin,3760211202514,['Sans colorants'],['France'],[],[],?,?,,?,,?,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
433,8001090335227,8001090335227,,['France'],[],[],?,?,,?,,?,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
434,Vending soup - Liebig - 1000g,5414972118130,,['France'],[],[],?,16,67 kj(16 kcal),0,0,"3,6","1,3","0,2",1,"0,4",,1000 g,,,,,,,,,,,,,,,,,,,,,,,,,,,['Liebig'],,,,,,,,,,,,,,,,
435,Studentenfutter -  - 200g,9100000780009,,"['France', 'Suisse']",[],[],?,?,,?,,?,,?,,,,200 g,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
436,Assortiment de bonbons de chocolat - Jacquot,3173287769551,['Fabriqué en France'],['France'],[],[],?,?,,?,,?,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,['Jacquot'],,,,,,,,,,,,,,,,
437,Arachides grillées Fidafruit,5410781083317,,['France'],[],[],?,?,,?,,?,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
438,Fromage pour raclette bio,4056489136798,['Bio'],['France'],[],[],?,360,1506 kj(360 kcal),29,18,"1,9","0,5",23,"1,7","0,68",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
439,Bâtonnet de poisson - Jacob - 1kl,3448270003159,,['France'],[],[],?,?,,?,,?,,?,,,E,1kl,"['Produits de la mer', 'Poissons', 'Préparations de poisson', 'Produits panés', 'Poissons panés', 'Batonnets de poisson']",,,,,,,,,,,,,,,,,,,88.5%,2.2%,1.2%,5.1%,0.6%,2.3%,21,['Jacob'],,,,,,,,,,,,,,,,
440,"Gaillac Rose 3 Ormeaux,",3272590069201,,['France'],[],[],?,?,,?,,?,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
441,Café dosettes souples Mexique pur arabica - Destination,3700110046888,,['France'],[],[],?,?,,?,,?,,?,,,,,"['Aliments et boissons à base de végétaux', 'Boissons', ""Aliments d'origine végétale"", 'Boissons chaudes', 'Cafés', 'Dosettes', 'Cafés en dosettes', 'Cafés en dosettes compatible Senseo']",,,,,,,,,,,,,,,,,,,,,,,,,,['Destination'],,,,,,,,,,,,,,,,
442,Fromage fabrication artisale,3362420000105,,['France'],[],[],?,?,,?,,?,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"['FR 41.149.001 CE', 'Montoire-sur-le-Loir (Loir-et-Cher, France)']",,,,,,,,,,,,,,
443,Mon crémeux chaud en duo - entremont - 2,3123934109001,,['France'],[],[],?,327,1368 kj(327 kcal),27,19,"0,5","0,5",21,"1,3","0,52",,2,['Plat'],27 g,en quantité élevée,19 g,en quantité élevée,0.5 g,en faible quantité,1.3 g,en quantité modérée,,,,,,,,,,,,,,,,,,['Entremont'],['Eleclerc'],['DR 45 115 001'],19,,E,,['2'],,,,,['de 45'],['Fromage patte molle'],,,
444,Les Crousticks - sarrasin,3760253540148,,['France'],[],[],?,468,1958 kj(468 kcal),"20,91","12,39","62,01","26,01","6,85",0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
445,Saint cirice,3760135790043,,['France'],[],[],?,?,,?,,?,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
446,300g,8411027003011,,['France'],[],[],?,?,,?,,?,,?,,,,300 g,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
447,Préparation de pêche - Sains et Saufs - 320g,3770009733427,"['Nutriscore', 'Nutriscore C']",['France'],"['Pêche ', '65%', 'sucre ', '34%', 'jus de citron', 'pectine de fruits']","['Sans huile de palme', 'Végétalien', 'Végétarien']",?,162,678 kj(162 kcal),"0,2",0,"39,3","38,7","0,7",0,0,B,320 g,"['Aliments et boissons à base de végétaux', ""Aliments d'origine végétale"", 'Aliments à base de fruits et de légumes', 'Produits à tartiner', 'Petit-déjeuners', 'Fruits et produits dérivés', 'Pâtes à tartiner végétales', 'Produits à tartiner sucrés', 'Confitures et marmelades', 'Confitures', 'Confitures de pêches']",0.2 g,en faible quantité,0 g,en faible quantité,38.7 g,en quantité élevée,0 g,en faible quantité,,-25%,-25%,+5%,-100%,-25%,-23%,+59%,-100%,-100%,38.5%,19.4%,25.9%,11.0%,4.2%,1.1%,87,['Sains et Saufs'],,,8,-13%,C,-13%,,,4,['E440 - Pectines'],,,,,,
448,Pommes bicolore,3683080482033,,['France'],[],[],?,?,,?,,?,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
449,Bahier saucisse cocktail,3180050140479,"['Viande Française', 'Viande Porcine Française']","['Afghanistan', 'France']",[],[],?,289,1209 kj(289 kcal),27,"9,9","0,5","0,5",11,"1,7","0,68",,,,,,,,,,,,,,,,,,,,,,,,,,,,,['Bahier'],,,,,,,['Conserve'],,,,,,,,,
450,Nectar d'Abricot,6133018000084,['Sans conservateurs'],['France'],[],[],?,51,213 kj(51 kcal),0,0,"12,7","12,7",0,"0,026","0,01",D,,"['Aliments et boissons à base de végétaux', 'Boissons', 'Boissons à base de végétaux', 'Boissons aux fruits', 'Jus et nectars', 'Nectars de fruits', ""Nectars d'abricot""]",0 g,en faible quantité,0 g,en faible quantité,12.7 g,en quantité élevée,0.0259 g,en faible quantité,,-4%,-4%,-100%,-100%,+2%,+8%,-100%,+144%,+144%,58.5%,3.8%,10.1%,20.0%,6.0%,1.7%,51,,,,17,+12%,E,+12%,,,,,,,,,,
451,Citron caviar - 100g,8713037213221,"['Bio', 'Bio européen', 'NL-BIO-01']",['France'],[],[],?,?,,?,,?,,?,,,,100 g,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
452,Thons naturel - Petit Navire,3019081240264,['Fabriqué en France'],['France'],"['Thon', 'eau', 'sel']","['Sans huile de palme', 'Non végétalien', 'Non végétarien']",?,109,456 kj(109 kcal),1,0,0,0,25,1,"0,4",E,,"['Produits de la mer', 'Poissons', 'Thons', 'Thons au naturel']",1 g,en faible quantité,0 g,en faible quantité,0 g,en faible quantité,1 g,en quantité modérée,,-5%,-5%,-34%,-100%,-100%,-100%,-0%,-4%,-4%,68.8%,7.5%,16.1%,6.6%,0.5%,0.5%,28,['Petit Navire'],,,0,-100%,B,-100%,,['Poisson'],3,,THON ENTIER AU NATUREL,"['Seychelles', 'Ghana']",,,,
453,Yaourt fruit de la passion -  - 450g,5056138200602,['Sans conservateurs'],['France'],"['LAIT FERMENTE ', '84%', 'SUCRE', 'PURÉE DE FRUIT DE LA PASSION AVEC SES GRAINES ', '3%', 'PUREE DE POMME', 'MIEL FÉCULE DE MAÏS', 'GÉLIFIANT ', 'PECTINES DE FRUIT', ""CORRECTEUR D'ACIDITÉ "", 'ACIDE CITRIQUE', 'AROME NATUREL', 'COLORANT ', 'CURCUMINE', ' *CONTIENT LES FERMENTS LACTIQUES SUIVANTS: S', ' THERMOPHILUS', 'L', ' ACIDOPHILUS', 'BIFIDOBACTERIUM', 'L', ' CASEI']",['Non végétalien'],?,120,502 kj(120 kcal),"5,2","3,4","12,9","12,8","5,3","0,13","0,052",C,450 g,"['Produits laitiers', 'Produits fermentés', 'Produits laitiers fermentés', 'Yaourts', 'Yaourts aux fruits']",5.2 g,en quantité modérée,3.4 g,en quantité modérée,12.8 g,en quantité élevée,0.13 g,en faible quantité,,+20%,+21%,+66%,+72%,-4%,+3%,+45%,+14%,+14%,79.1%,8.8%,4.4%,4.5%,2.5%,0.7%,69,,,['UK UW020 EC'],3,+8%,C,+8%,,,4,"['E440 - Pectines', 'E330 - Acide citrique', 'E100 - Curcumine']",,,,,,
454,Drappier Drappier Brut Nature Pin Noir 750,3469380630011,,['France'],[],[],?,?,,?,,?,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
455,Confit de canard,3067163648446,,['France'],[],[],?,308,1289 kj(308 kcal),24,"8,2","0,5","0,5",24,"1,5","0,6",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
456,Yaourt brassé nature - Yoplait - 960g,3329770064294,"['Lait Français', 'Point Vert', 'Triman', 'Lait de vaches nourries sans OGM']",['France'],"['LAIT entier* 97', '2% - Poudre de LAIT écrémé** - Ferments lactiques ', 'LAIT', ""LAIT D'ORIGINE FRANCE*Lait entier Les Laitiers Responsables"", ""issu d'animaux nourris sans OGM "", '<0', '9%', '** 2', ""8% d'ingrédients agricoles biologiques"", ""issus d'animaux nourris sans OGM "", '<0', '9%', ' conformément à la réglementation relative à la production biologique - Certifié par FR-BIO-01 < 0,9% : seuil de contamination fortuite et non évitable', 'conformément à la réglementation en vigueur']",['Non végétalien'],282,67,282 kj(67 kcal),"3,4","2,3","4,1","4,1","4,1","0,15","0,06",B,960 g,"['Produits laitiers', 'Produits fermentés', 'Produits laitiers fermentés', 'Yaourts', 'Yaourts nature', 'Yaourts brassés']",3.4 g,en quantité modérée,2.3 g,en quantité modérée,4.1 g,en faible quantité,0.15 g,en faible quantité,-27%,-28%,-28%,-7%,-0%,-62%,-59%,+12%,+30%,+30%,70.1%,13.1%,6.5%,5.7%,3.7%,1.0%,85,"['Yoplait', 'Llr nature']",['Leclerc'],"['FR 72.181.001 CE', 'Mans (Sarthe, France)']",0,-100%,B,-100%,"['étui', 'Carton', 'Pot', 'Plastique']",['Lait'],,,Yaourt brassé nature,['Le Mans'],['France'],,,
457,L'omo a l'ail,2297405045066,,['France'],[],[],?,96,402 kj(96 kcal),44,6,0,0,21,18,"7,2",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
458,Cassoulet au confit de canard,3272250000162,,['France'],[],[],?,128,536 kj(128 kcal),"4,9","1,6","11,6","1,2","9,4","0,95","0,38",C,,"['Conserves', 'Plats préparés', 'Produits à la viande', 'Plats préparés à la viande', 'Plats à la volaille', 'Plats à base de haricots', 'Plats préparés en conserve', 'Plats au canard', 'Cassoulets', 'Cassoulets au confit de canard']",4.9 g,en quantité modérée,1.6 g,en quantité modérée,1.2 g,en faible quantité,0.95 g,en quantité modérée,,-16%,-16%,-37%,-43%,+47%,+67%,-10%,+6%,+6%,66.0%,17.7%,6.2%,5.5%,2.7%,2.0%,72,,,,1,-39%,B,-39%,,,,,,,,,,
459,Framboises - 125g,3385630100229,"['Bio', 'Bio européen', 'AB Agriculture Biologique']",['France'],[],[],?,?,,?,,?,,?,,,,125 g,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,['Sachet'],,,,,,,,,
460,Carbonnade Flamande,3563800004458,,['France'],[],[],?,128,536 kj(128 kcal),"4,8","2,39",4,4,"17,1","0,86","0,344",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"['FR 59.526.101 CE', 'Saint-Amand-les-Eaux (Nord, France)']",,,,,,,,,,,,,,
461,Emincés de haddock fumé - Monoprix - 100g,3350030195960,"['Pêche durable', 'Pêche durable MSC']",['France'],"['Eglefin ', 'Melanogrammus aeglefinus', ' certifie MSC 97 %', 'sel', 'colorant : rocou', "" Poisson sauvage pêche dans l'Ocean Atlantique Nord-Est""]","['Non végétalien', 'Non végétarien']",370,?,370 kj(88 kcal),"0,3",0,0,0,21,"3,4","1,36",E,100 g,"['Produits de la mer', 'Poissons', 'Églefin', 'Poissons fumés', 'Haddocks fumés']",0.3 g,en faible quantité,0 g,en faible quantité,0 g,en faible quantité,3.4 g,en quantité élevée,,,+5%,-44%,-100%,-100%,-100%,+4%,-8%,-8%,93.1%,0.0%,1.1%,5.2%,0.5%,0.1%,14,['Monoprix'],['Monoprix'],"['EMB 29340', 'FR 29.232.500 CE', 'Quimper (Finistère, France)', 'MSC-C-50496']",11,+20%,D,+20%,"['barquette plastique', 'film plastique', 'à jeter', 'étui carton', 'à recycler']",,4,['E160b - Rocou'],,,,,,
462,Le saint malifaux,3760014991905,"['Bio', 'Bio européen', 'AB Agriculture Biologique']",['France'],[],[],?,296,1238 kj(296 kcal),24,"18,5",1,1,19,"1,2","0,48",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
463,Chocolat noir -75% de cacao Équateur,3770013837319,,['France'],[],[],?,552,2310 kj(552 kcal),44,22,23,18,10,"0,91","0,364",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
464,Saucisson artisanal aux noix,3498301004952,"['Viande Française', 'Viande Porcine Française']",['France'],[],[],?,416,1741 kj(416 kcal),37,13,"2,1","0,6",27,"4,6","1,84",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
465,Filets de sardines - Cap Dinec - 100g,3251870002855,,['France'],"['Filets de sardines ', 'Sardina pilchardus', ' 70% ', 'huile de tournesol', 'sel', ' Zone de pêche:Océan Atlantique Centre Est']","['Non végétalien', 'Non végétarien']",?,222,929 kj(222 kcal),13,"3,3","0,5","0,5","9,2","0,3","0,12",,100g,,,,,,,,,,,,,,,,,,,,,,,,,,,['Cap Dinec'],,,,,,,,,,,,,,,,
