,name,bar_code,brand,sales_countries,ingredients_list,additives,allergens,ingredients_analysis,nova_score,nutriment_energy-kj_tr,nutriment_energy-kcal_tr,nutriment_energy_tr,nutriment_fat_tr,nutriment_saturated-fat_tr,nutriment_carbohydrates_tr,nutriment_sugars_tr,nutriment_proteins_tr,nutriment_salt_tr,nutriment_sodium_tr,eco_score,categories,fats_lipids_quantity,fats_lipids_comment,saturated_acids_quantity,saturated_acids_comment,sugar_quantity,sugar_comment,nutriment_energy-kj_tr_diff,nutriment_energy-kcal_tr_diff,nutriment_energy_tr_diff,nutriment_fat_tr_diff,nutriment_saturated-fat_tr_diff,nutriment_carbohydrates_tr_diff,nutriment_sugars_tr_diff,nutriment_proteins_tr_diff,Agriculture,Transformation,Conditionnement,Transport,Distribution,Consommation,Score_ACV,quantity,salt_quantity,salt_comment,nutriment_salt_tr_diff,nutriment_sodium_tr_diff,nutriment_nutrition-score-fr_tr,nutriment_nutrition-score-fr_tr_diff,nutriment_nutriscore_tr,nutriment_nutriscore_tr_diff,generic_name,packaging,labels,ingredients_origins,manufacturing,traceability_code,link,markets,palm_ingredients,brand_owner
433,Bloque de foie gras de canard - Les Delices Saint Orens,3760105351274,['Les Delices Saint Orens'],['France'],"['BLOC DEFOE DE CANARD / OFDUCKLIVER j I ras de canard/ eau', 'porto ', 'sulfites', '/ sel', 'conservateur : sel nitrité', 'poivre', 'sucre', 'muscade ', 'sulphites', 'Inyedientes : Higado de pato agua', 'vino de porto ', 'sulfitŒ', 'sale', 'conservante : nitrito de sodio', 'pimienta', 'azucar', 'nuez moscada', 'Net weight: 3 760105 351274 de saint Orens - SARL FERME DE Route de Le Leuy 40500 CAUNA - LANDES FRANCE www', 'delices-saint-orens', 'com']","['E250 - Nitrite de sodium', '', 'Risque élevé de sur-exposition']",['Anhydride sulfureux et sulfites'],[],,?,447,1870 kj(447 kcal),"45,7",20,"1,9","0,5","6,3","2,2","0,88",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
434,Haricots blancs cuisines - Spanico,3760105561888,['Spanico'],['France'],[],,,[],,?,72,301 kj(72 kcal),"0,5","0,1",12,"0,5","4,3","0,6","0,24",,"['Aliments et boissons à base de végétaux', ""Aliments d'origine végétale"", 'Légumineuses et dérivés', 'Légumineuses', 'Graines', 'Graines de légumineuses', 'Légumes secs', 'Haricots', 'Haricots blancs', 'Haricots blancs cuisinés']",0.5 g,en faible quantité,0.1 g,en faible quantité,0.5 g,en faible quantité,,-20%,-20%,-64%,-74%,+4%,-24%,-21%,,,,,,,,,0.6 g,en quantité modérée,-12%,-12%,-1,,A,,,,,,,,,,,
435,Tomate troceado,3760105561949,,['France'],[],,,[],,?,23.200000762939,97 kj(23 kcal),45,0,35,25,"0,8","0,28","0,112",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
436,Caprons au vinaigre - Spañico,3760105569082,['Spañico'],['France'],[],,,[],,?,37,155 kj(37 kcal),"0,3","0,1","6,4","4,2","2,4","3,4","1,36",,"['Aliments et boissons à base de végétaux', ""Aliments d'origine végétale"", 'Pickles', ""Pickles d'origine végétale"", 'Caprons au vinaigre']",0.3 g,en faible quantité,0.1 g,en faible quantité,4.2 g,en faible quantité,,+28%,+26%,-37%,+36%,+77%,+1467%,+47%,,,,,,,,,3.4 g,en quantité élevée,-26%,-26%,7,-22%,C,-22%,,,,,,,,,,
437,Pont l'Evêque Fermier au lait cru (25% MG) - Ferme de l'Oraille - 400g,3760106511226,"[""Ferme de l'Oraille""]",['France'],[],,,[],,?,0,0 kj(0 kcal),?,,?,,?,,,C,"['Produits laitiers', 'Produits fermentés', 'Produits laitiers fermentés', 'Fromages', 'Fromages de vache', 'Fromages de France', 'Fromages à pâte molle à croûte lavée', ""Pont-l'évêque"", 'en:aoc-cheeses', 'en:labeled-cheeses']",,,,,,,,-100%,-100%,,,,,,84.0%,5.8%,4.0%,4.0%,1.8%,0.5%,54,400 g,,,,,,,,,,"['Papier', 'Boîte', 'Carton']",['AOP'],,,"['FR 14.227.004 CE', 'Douville-en-Auge (Calvados, France)']",,,,
438,Mélanges lyonnais,3760107842916,,['France'],[],,,[],,?,581,2431 kj(581 kcal),46,"7,9",22,19,16,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"['EMB 37214E', 'Saint-Cyr-sur-Loire (Indre-et-Loire, France)']",,,,
439,Vinaigre de Calamansi - Huilerie Beaujolaise,3760108452169,['Huilerie Beaujolaise'],['France'],[],,,[],,?,140,586 kj(140 kcal),0,0,"29,5","29,5","1,8",0,0,A,['Vinaigres'],0 g,en faible quantité,0 g,en faible quantité,29.5 g,en quantité élevée,,+67%,+68%,-100%,-100%,+81%,+105%,+326%,39.4%,16.4%,33.5%,8.2%,2.4%,0.0%,91,,0 g,en faible quantité,-100%,-100%,,,,,,"['Bouteille', 'Verre']",,,,,,,,
440,Rillettes de rougets au fenouil sauvage - La Chikolodenn,3760108730021,['La Chikolodenn'],['France'],[],,,[],,?,209,874 kj(209 kcal),"17,2","7,5","1,3","0,7",13,"1,1","0,44",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
441,Pain integral bio - Belledonne - 500g,3760109050241,['Belledonne'],['France'],[],,,[],,?,230,962 kj(230 kcal),"0,8","0,2","44,5","1,1","7,4","1,32","0,528",,['Boulangerie'],0.8 g,en faible quantité,0.2 g,en faible quantité,1.1 g,en faible quantité,,-7%,-4%,-81%,-83%,+9%,-44%,-6%,,,,,,,,500 g,1.32 g,en quantité modérée,+8%,+8%,3,-13%,C,-13%,,,"['Bio', 'Bio européen', 'FR-BIO-01', 'Biopartenaire']",,,,,,,
442,Les tranchés de robin du bio - 400g,3760109059329,['Robin Du Bio'],['France'],"['farine de BLE demi complète TB02eau levain de BLÉ* ', 'farine eau', ' sel de Guérande Ingrédient aliergène en MAJUSCULE', ' *aces possibles de sésame + en Savoie 73110 lait', "" lupin et'oeuf "", ' ingredients issus de ragricu!ture biologique']",,['Gluten'],[],,?,224,937 kj(224 kcal),"0,7","0,1",46,"1,2","7,4","1,28","0,512",,"['Aliments et boissons à base de végétaux', ""Aliments d'origine végétale"", 'Céréales et pommes de terre', 'Pains', 'Pains de campagne']",0.7 g,en faible quantité,0.1 g,en faible quantité,1.2 g,en faible quantité,,-16%,-16%,-79%,-79%,-5%,-40%,-10%,,,,,,,,400 g,1.28 g,en quantité modérée,+2%,+2%,0,-100%,B,-100%,,['Sachet'],['Bio'],['France'],['Signes'],,,,,
