,name,bar_code,brand,sales_countries,ingredients_list,additives,allergens,ingredients_analysis,nova_score,nutriment_energy-kj_tr,nutriment_energy-kcal_tr,nutriment_energy_tr,nutriment_fat_tr,nutriment_saturated-fat_tr,nutriment_carbohydrates_tr,nutriment_sugars_tr,nutriment_proteins_tr,nutriment_salt_tr,nutriment_sodium_tr,eco_score,categories,fats_lipids_quantity,fats_lipids_comment,saturated_acids_quantity,saturated_acids_comment,sugar_quantity,sugar_comment,nutriment_energy-kj_tr_diff,nutriment_energy-kcal_tr_diff,nutriment_energy_tr_diff,nutriment_fat_tr_diff,nutriment_saturated-fat_tr_diff,nutriment_carbohydrates_tr_diff,nutriment_sugars_tr_diff,nutriment_proteins_tr_diff,Agriculture,Transformation,Conditionnement,Transport,Distribution,Consommation,Score_ACV,quantity,salt_quantity,salt_comment,nutriment_salt_tr_diff,nutriment_sodium_tr_diff,nutriment_nutrition-score-fr_tr,nutriment_nutrition-score-fr_tr_diff,nutriment_nutriscore_tr,nutriment_nutriscore_tr_diff,generic_name,packaging,labels,ingredients_origins,manufacturing,traceability_code,link,markets,palm_ingredients,brand_owner
1025,Gaufres de liège - carrefour  - 600g,5400101011656,['Carrefour'],"['Belgique', 'France']",[],,,[],,?,478,2000 kj(478 kcal),25,15,59,28,6,"0,5","0,2",,,,,,,,,,,,,,,,,,,,,,,,600g,,,,,,,,,,,,,,,,['Carrefour'],,
1026,Mousseline De Pomme - Carrefour Discount,5400101011823,['Carrefour Discount'],['France'],"['Pommes 89,5% ', 'sucre', 'sirop de glucose-fmctcse antioxydant : acide ascorbique', 'acidifiant : acide citrique', "" Origine : Cete mousseline de pommes a été fabriquée en Belgique à partir de pommes issues de l'UE"", ' Conservation k conserver à temperature ambiante']",['E330 - Acide citrique'],,[],3,?,67,280 kj(67 kcal),7,"0,5","0,5","0,2",14,1,"0,4",B,"['Aliments et boissons à base de végétaux', ""Aliments d'origine végétale"", 'Desserts', 'Aliments à base de fruits et de légumes', 'Fruits et produits dérivés', 'Compotes', 'Compotes de pomme', 'Mousseline de pommes']",7 g,en quantité modérée,0.5 g,en faible quantité,0.2 g,en faible quantité,,+3%,+3%,+2028%,+475%,-97%,-98%,+3614%,32.9%,28.7%,15.1%,13.7%,7.6%,2.1%,96,,1 g,en quantité modérée,+11679%,+11679%,-7,,A,,,,,,,,,['Carrefour'],,
1027,Energy mix (Nuts et fruits) - Carrefour,5400101044258,['Carrefour'],['France'],"['en toxtuur von het proauct te v de fruits séchés', 'noix et ingrédients', 'gros fruits Séchées 20% ', 'sucre', 'canneberges à de de 20% t secs noirs', ' huile de NOIX oe PECAN CAJOU 15%1 AMANDES 10%', ""peut contenir des traces darachides et d'autres fruits à coque,""]",,['Fruits à coque'],[],,?,505,2113 kj(505 kcal),32,"4,4",39,30,12,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,['Carrefour'],,
1028,Noix et fruits séchés,5400101207066,,['France'],[],,,[],,?,645,2699 kj(645 kcal),57,7,11,"3,6",19,"0,02","0,008",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1029,Sauce pesto - Carrefour - 180g,5400101242890,['Carrefour'],"['Belgique', 'France']","['Purée de tomates 54%', 'huile de tournesol 20,7%', 'basilic 9%', 'tomates en poudre', 'fromage à pâte dure 4% ', 'lait', 'sel', 'présure animale', 'conservateur : lysozyme d’œuf', 'noix de cajou', 'sel', 'pecorino 1,8% ', 'lait de brebis', 'sel', 'présure animale', 'ail en poudre', 'poivre de cayenne', ""correcteur d'acidité : acide citrique""]","['E1105 - Lysozyme', 'E330 - Acide citrique']","['Œufs', 'Lait', 'Fruits à coque']","['Sans huile de palme', 'Non végétalien', 'Non végétarien']",3,?,262,1096 kj(262 kcal),24,"4,4","7,2","5,5","4,3","2,4","0,96",C,"['Epicerie', 'Sauces', 'Sauces Pesto', 'Sauces Pesto Rosso']",24 g,en quantité élevée,4.4 g,en quantité modérée,5.5 g,en quantité modérée,,-27%,-27%,-28%,-10%,-14%,-2%,+7%,77.0%,10.9%,4.6%,4.2%,2.0%,1.4%,56,180 g,2.4 g,en quantité élevée,+17%,+17%,16,+1%,D,+1%,,"['Glass', 'Jar']",['Point Vert'],,,,,['Carrefour'],,
1030,Gouda mi vieux Stylesse - Carrefour - 300g,5400101255425,['Carrefour'],['France'],"['Lait de vache pasteurisé', 'sel', 'ferments lactiques', 'présure de veau', 'conservateur : nitrate de sodium', 'colorant : rocou', ' Croûte : conservateur : natamycine', 'colorant : rocou']","['E251 - Nitrate de sodium', '', 'Risque élevé de sur-exposition', 'E160b - Rocou', 'E235 - Natamycine']",['Lait'],"['Sans huile de palme', 'Non végétalien', 'Non végétarien']",4,?,322,1347 kj(322 kcal),22,15,0,0,30,"1,7","0,68",D,"['Produits laitiers', 'Produits fermentés', 'Produits laitiers fermentés', 'Fromages', 'Fromages des Pays-Bas', 'Goudas']",22 g,en quantité élevée,15 g,en quantité élevée,0 g,en faible quantité,,-13%,-13%,-28%,-27%,-100%,-100%,+25%,82.8%,8.1%,3.5%,3.6%,1.6%,0.4%,49,300 g,1.7 g,en quantité élevée,-10%,-10%,16,-5%,D,-5%,,,,,,,,['Carrefour'],,
1031,Tortillas Carrefour 8 stuks Tarwe - 320g,5400101256491,['Carrefour'],['France'],"['6', ' Tortillas à base de farinc de blé', ' Ingrb\\ v nts : stabilisants t glycérol - carboxyméthylce•hse ', 'jphosphato ', 'lisodique carbonato acide ne Jirjfiant mono', ""et diglycérides d'acides gras"", 'dextrose', 't,orbato do potassium']",,,"[""Pourrait contenir de l'huile de palme""]",4,?,332,1389 kj(332 kcal),8,"0,9",54,"1,3","9,3","1,3","0,52",B,"['Aliments et boissons à base de végétaux', ""Aliments d'origine végétale"", 'Céréales et pommes de terre', 'Pains', 'Pains plats', 'Pains blancs', 'Pains de blé', 'Tortillas de blé']",8 g,en quantité modérée,0.9 g,en faible quantité,1.3 g,en faible quantité,,+6%,+6%,+14%,-43%,+4%,-36%,+11%,58.3%,22.1%,12.8%,6.0%,0.9%,0.0%,93,320 g,1.3 g,en quantité modérée,-2%,-2%,1,-82%,B,-82%,,,,,,,,['Carrefour'],,
1032,Stylesse fraise et rhubarbe - Carrefour,5400101261822,['Carrefour'],['France'],"['Sucre', 'fraises 28%', ""recteurs d'acidité : acide citrique - lactate de calcium"", 'Prépare conservation : A consenler au sec et à température ambiante', 'Après 10 jours au frigo,']","['E330 - Acide citrique', 'E327 - Lactate de calcium']",,[],,?,160,669 kj(160 kcal),"0,1","0,1","38,5","38,5","0,4","0,02","0,008",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,['EMB 00005'],,['Carrefour'],,
1033,Confiture de cassis - Delhaize - 450g,5400111087825,['Delhaize'],"['Belgique', 'France']","['cassis 40%', 'sucre', 'sirop de glucose-fructose', 'gélifiant ', 'pectine']",['E440 - Pectines'],,"['Sans huile de palme', 'Végétalien', 'Végétarien']",4,?,235,983 kj(235 kcal),"0,5","0,1",57,54,"0,5","0,01","0,004",D,"['Aliments et boissons à base de végétaux', ""Aliments d'origine végétale"", 'Aliments à base de fruits et de légumes', 'Produits à tartiner', 'Petit-déjeuners', 'Fruits et produits dérivés', 'Pâtes à tartiner végétales', 'Produits à tartiner sucrés', 'Confitures et marmelades', 'Confitures', 'Confitures de fruits rouges', 'Confitures de cassis']",0.5 g,en faible quantité,0.1 g,en faible quantité,54 g,en quantité élevée,,+2%,+2%,+77%,+63%,+5%,+4%,-17%,75.0%,7.5%,10.3%,5.1%,1.7%,0.4%,50,450 g,0.01 g,en faible quantité,-63%,-63%,12,+30%,D,+30%,,,,,,,,['Delhaize'],,
1034,Tiramisu - Delhaize,5400112138304,['Delhaize'],"['Belgique', 'France', 'Luxembourg']","['Mascarpone 21,3% [crème', 'lait', ""correcteur d'acidité "", 'acide lactique', ' ', 'lait', ']', 'sauce du café 20% ', 'eau', 'sirop de glucose', 'sucre', 'alcool', 'café instantané 0,5%', 'extrait de café', 'eau', 'sirop de glucose', 'génoise 7,8% [farine de blé', 'oeuf de poules élevées en plein air', 'sucre', 'émulsifiant ', ""mono - et diglycérides d'acides gras"", 'poudres à lever ', 'diphosphates', 'carbonates de sodium', ']', 'lait écrémé en poudre', 'sucre', 'oeuf de poules élevées en plein air', 'vin Marsala 1,4%', 'poudre de cacao 1,1%', 'alcool', ""fibre d'agrumes"", 'épaississant ', 'carraghénanes', 'émulsifiant ', ""mono - et diglycérides d'acides gras"", "" Degré d'alcool: 1,4%""]","['E270 - Acide lactique', ""E471 - Mono- et diglycérides d'acides gras alimentaires"", 'E450 - Diphosphates', '', 'Risque élevé de sur-exposition', 'E500 - Carbonates de sodium', 'E407 - Carraghénanes', '', 'Risque élevé de sur-exposition']","['Gluten', 'Lait']","[""Pourrait contenir de l'huile de palme"", 'Non végétalien']",4,?,245,1025 kj(245 kcal),10,"7,2",30,21,"4,8","0,17","0,068",E,"['Produits laitiers', 'Desserts', 'Biscuits et gâteaux', 'Desserts lactés', 'Pâtisseries', 'Tiramisu', 'Tiramisu au café']",10 g,en quantité modérée,7.2 g,en quantité élevée,21 g,en quantité élevée,,-4%,-4%,-15%,-5%,-1%,+15%,+20%,84.5%,12.9%,0.8%,1.3%,0.4%,0.1%,11,,0.17 g,en faible quantité,+8%,+8%,14,+12%,D,+12%,,,,,,,,['Delhaize'],,
1035,Sauce  Poulet Curry - Delhaize - 400g,5400112210307,['Delhaize'],"['Belgique', 'France']",[],,,[],,?,304,1272 kj(304 kcal),27,"2,6","4,8","0,9",11,"1,55","0,62",,,,,,,,,,,,,,,,,,,,,,,,400 g,,,,,,,,,,['Portion'],,,,,,['Delhaize'],,
1036,Veggie - Salade aux poireaux - Delhaize - 150g,5400112213322,['Delhaize'],"['Belgique', 'France']",[],,,"['Végétalien', 'Végétarien']",,?,292,1222 kj(292 kcal),"27,2","2,2","3,4","1,4","7,1","1,4","0,56",,,,,,,,,,,,,,,,,,,,,,,,150g,,,,,,,,,,,"['Végétarien', 'Végétalien', 'Nutriscore', 'Nutriscore C']",,,,,['Delhaize'],,
1037,Veggie Kitchen Mangue et curry - Delhaize - 185g e,5400112221402,['Delhaize'],"['Belgique', 'France']","['Houmous ', 'pois chiches', 'eau', 'huile de colza', 'graines de sésame', 'amidon modifié de maïs', 'sel', 'ail', 'cumin', 'piment', 'poivron rouge grille', 'flocons de soja [eau', 'protéine de soja', 'huile de tournesol]', 'huile de soja', 'protéine d’œuf de poule de plein air', 'amidon de blé', 'amidon de maïs', 'arômes', 'protéine du lait', 'herbes et épices', 'dextrose', 'sel', 'acidifiant ', 'acide citrique', ' ', 'mangue 7%', 'pois chiches', 'curry 4% [ail', 'eau poudre de curry ', 'frisée', 'curcuma', 'fenugrec', 'carotte', 'graines de carvi', 'graines de céleri', 'coriandre', 'poivre', 'cumin', 'quatre épices', 'noix de muscade', 'fenouil', 'livèche', 'gingembre', 'extraits naturels ', 'moutarde', 'céleri', ',colorant ', 'beta-carotène', 'arôme', 'oignon de printemps', 'sucre', 'vinaigre', 'huile de tournesol', 'sel', 'piment]', ' carotte', 'oignon grillé', 'sucre', 'vinaigre de cidre', 'amidon modifie de maïs', 'piment ', 'piment rouge', 'sel', 'vinaigre', 'eau', 'fibre de citron', 'sel', 'acidifiants ', 'acide citrique', 'acide lactique', 'acide acétique', 'conservateur ', 'sorbate de potassium', 'épaississant ', 'gomme xanthane']","['E14XX - Amidons modifiés', 'E330 - Acide citrique', 'E160ai - Bêta-carotène', 'E270 - Acide lactique', 'E260 - Acide acétique', 'E202 - Sorbate de potassium', '', 'Risque élevé de sur-exposition', 'E415 - Gomme xanthane']","['Céleri', 'Œufs', 'Gluten', 'Lait', 'Moutarde', 'Graines de sésame', 'Soja']","[""Pourrait contenir de l'huile de palme"", 'Non végétalien']",4,?,214,895 kj(214 kcal),"15,1",2,"10,8","3,1","6,6","1,2","0,48",,"['Plats préparés', 'Salades', 'Salades composées']",15.1 g,en quantité modérée,2 g,en quantité modérée,3.1 g,en faible quantité,,+41%,+42%,+69%,+48%,+7%,+37%,+19%,,,,,,,,185 g e,1.2 g,en quantité modérée,+37%,+37%,0,-100%,B,-100%,Salade mangue-curry,"['Plastique', 'Frais']",['Point Vert'],,,,,['Delhaize'],,
1038,Salad mix - 365 essential - 200g,5400112358320,['365 essential'],"['Belgique', 'France']","['pain de sucre 50%', 'radicchio 25%', 'carotte 20%', 'chou blanc 5%']",,,['Sans huile de palme'],,?,20,84 kj(20 kcal),"0,5","0,1",2,"1,4","1,4","0,07","0,028",,,,,,,,,,,,,,,,,,,,,,,,200g,,,,,,,,,,['Plastique'],,,,,,['Delhaize'],,
1039,Mendiants - Delhaize,5400112496831,['Delhaize'],"['Belgique', 'France']",[],,,[],,?,574,2402 kj(574 kcal),40,17,41,40,"9,8","0,08","0,032",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,['Delhaize'],,
1040,Maïs crispy - Delhaize - 150g,5400113581550,['Delhaize'],"['Belgique', 'France']",[],,,[],,?,343,1435 kj(343 kcal),"1,6","0,1",13,"8,1","2,5","0,5","0,2",,,,,,,,,,,,,,,,,,,,,,,,150g,,,,,,,,,,,,,,,,['Delhaize'],,
1041,Yaourt fraise bio - Delhaize - 150gr,5400119019750,['Delhaize'],"['Belgique', 'France']","['Lait entier*', 'sucre de canne*', 'fraise* 6,8%', 'lait maigre en poudre*', 'épaississants ', 'pectine', 'farine de graines de caroubes', 'arôme naturel', ""correcteur d'acidité "", 'citrate de calcium', 'ferments lactiques vivants']","['E440 - Pectines', 'E410 - Gomme de caroube', 'E333 - Citrates de calcium']",['Lait'],['Non végétalien'],4,?,93,389 kj(93 kcal),"3,2","2,7","12,5","12,5","3,6","0,1","0,04",,,,,,,,,,,,,,,,,,,,,,,,150gr,,,,,,,,,,['pot en verre'],"['Bio', 'Contient du lait', 'Nutriscore']",['Agriculture UE/non UE'],,,,['Delhaize'],,
1042,Quinoa Biscuits - Oxfam Fairtrade - 260g e,5400164150040,['Oxfam Fairtrade'],"['France', 'Luxembourg']","['farine de blé', 'sucre de canne', 'farine de quinoa', 'farine de riz', 'farine de maïs', 'sel', 'huile de tournesol', 'cacao en poudre', ""flocons d'avoine"", 'miel', 'carbonate de sodium', ""carbonate d'ammonium""]","['E500i - Carbonate de sodium', ""E503i - Carbonate d'ammonium""]",['Gluten'],"['Sans huile de palme', 'Non végétalien', 'Végétarien']",3,?,463,1937 kj(463 kcal),18,"2,4",67,27,"7,8","0,45","0,18",C,"['Snacks', 'Snacks sucrés', 'Biscuits et gâteaux', 'Biscuits']",18 g,en quantité modérée,2.4 g,en quantité modérée,27 g,en quantité élevée,,-2%,-3%,-13%,-76%,+5%,-8%,+20%,80.3%,11.4%,3.7%,2.4%,2.2%,0.0%,58,260 g e,0.45 g,en quantité modérée,-24%,-24%,13,-34%,D,-34%,biscuit croustillant au quinoa et cacao,['Plastique'],"['Bio', 'Bio européen', 'Agriculture UE/Non UE', 'IT-BIO-009', 'Agriculture non UE', 'en:Bio organic']",,,,,['Alima'],,
1043,Sauce barbecue,5400189570038,,['France'],[],,,[],,?,513,2146 kj(513 kcal),51,"4,2",11,"9,2","1,6","1,5","0,6",B,"['Epicerie', 'Sauces', 'Sauces barbecue']",51 g,en quantité élevée,4.2 g,en quantité modérée,9.2 g,en quantité modérée,,+229%,+226%,+5229%,+2988%,-65%,-65%,+78%,42.3%,24.8%,16.7%,9.7%,5.1%,1.3%,92,,1.5 g,en quantité modérée,-26%,-26%,18,+24%,D,+24%,,,,,,,,,,
1044,Chocolat lait fourré caramel salé - Café-Tasse - 45g,5400219506204,['Café-Tasse'],['France'],[],,,[],,?,501,2096 kj(501 kcal),"29,7","18,9","52,3","51,5","5,5","1,08","0,432",E,"['Snacks', 'Snacks sucrés', 'Cacao et dérivés', 'Chocolats', 'Chocolats au lait', 'Chocolats fourrés', 'Chocolats au lait fourrés']",29.7 g,en quantité élevée,18.9 g,en quantité élevée,51.5 g,en quantité élevée,,-9%,-9%,-14%,+4%,-0%,+4%,-15%,84.1%,11.8%,1.2%,2.5%,0.4%,0.0%,24,45 g,1.08 g,en quantité modérée,+454%,+454%,30,+18%,E,+18%,,,,,,,,,,
1045,"Bars Milk Praline ""I Love You"" 75G - Hamlet - 75g",5400265004082,['Hamlet'],"['Belgique', 'France']",[],,,[],,?,561,2347 kj(561 kcal),35,16,55,53,"6,6","0,1","0,04",,,,,,,,,,,,,,,,,,,,,,,,75 g,,,,,,,,,,,['Fabriqué en Belgique'],,,,,['Delhaize'],,
1046,Chocola's Crispy Orange 125G - 125g,5400265022826,,"['France', 'Suisse']",[],,,[],,2230,533,2230 kj(533 kcal),31,20,55,45,"6,9","0,3","0,12",,,,,,,,,,,,,,,,,,,,,,,,125 g,,,,,,,,,,,['Fabriqué en Belgique'],,,,,,,
1047,Choco Chips - Biscuiterie de l abbaye,5400265025698,['Biscuiterie de l abbaye'],['France'],"['noten q 7/ tait lait v,ilii le', "" li/ I I cie A lé/ l' SO a"", ' lait', 'fruits coque milk']",,['Lait'],[],,?,533,2230 kj(533 kcal),31,20,55,45,"6,9","0,3","0,12",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1048,Yakso organic world shoyu - 500ml,5400313430306,['Yakso'],"['France', 'Allemagne']",[],,,[],,?,54,226 kj(54 kcal),0,0,"5,8","1,5","7,5",12,"4,8",B,"['Epicerie', 'Condiments', 'Sauces', 'Sauces au soja']",0 g,en faible quantité,0 g,en faible quantité,1.5 g,en faible quantité,,-51%,-51%,-100%,-100%,-67%,-88%,+17%,21.5%,31.6%,20.1%,15.9%,8.6%,2.3%,97,500 ml,12 g,en quantité élevée,0%,0%,6,-46%,C,-46%,,,['Bio'],,,,,,,
1049,Bio brout - Cactus,5400501102084,['Cactus'],"['France', 'Luxembourg']",[],,,[],,?,214,895 kj(214 kcal),"0,3","0,2","44,36","1,8",3,"0,93","0,372",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"['Bio', 'Bio européen', 'LU-BIO-04']",,,,,['Cactus'],,
1050,"Bouillon de Viande Déshydraté, à Teneur Réduite en Matières Grasses - 365 (DELHAIZE) - 120g",5400601009818,['365 (DELHAIZE)'],"['Belgique', 'France']","['Sel', 'exhausteur de goût ', 'glutamate monosodique', 'amidons de mais', 'extraits de levure', 'graisse végétale ', 'palme', 'extrait de viande 2,5%', 'graisse de volaille', 'arômes ', 'contient : céleri', 'colorant ', ""caramel au sulfite d'ammonium"", 'épices', ""extraits d'oignon et de carotte et antioxydant "", 'extraits de romarin', 'Contient : céleri', ' Fabriqué dans un atelier qui utilise gluten', 'crustacés', 'oeufs', 'poisson', 'soja', 'lait']","['E621 - Glutamate monosodique', '', 'Risque élevé de sur-exposition', ""E150d - Caramel au sulfite d'ammonium"", 'E392 - Extrait de romarin']",['Céleri'],"['Huile de palme', 'Non végétalien', 'Non végétarien']",4,?,158,661 kj(158 kcal),"6,1","3,8","14,4","0,3","11,2","62,8","25,12",,"['Epicerie', 'Produits déshydratés', 'Produits lyophilisés à reconstituer', 'Bouillons', 'Bouillons déshydratés', 'Bouillons cubes']",,,,,,,,-5%,-8%,-23%,-2%,-17%,-94%,+98%,,,,,,,,120g,,,+128%,+128%,,,,,,,,,,,,['Delhaize'],['Huile de palme'],
1051,Bouillon de légumes - dégraissé - 365 - 120g,5400601054931,"['365', 'Delhaize']","['Belgique', 'France']","['Sel', 'amidon de maïs', 'graisse végétale ', 'palme', 'extrait de levure', 'sucre', 'légumes 4% ', 'tomate', 'poireaux', 'oignon', 'carotte', 'chou', 'arômes naturels ', 'céleri', 'extrait de protéines de soja', 'maltodextrine', 'persil', 'colorant ', 'E150a', ""extraits d'oignon et de carotte"", 'antioxydant ', 'extrait de romarin']","['E150a - Caramel E150a', 'E392 - Extrait de romarin']","['Céleri', 'Soja']","['Huile de palme', 'Peut-être végétalien', 'Peut-être végétarien']",4,22,?,22 kj(5 kcal),"0,2","0,2","0,7","0,2","0,1","0,8","0,32",,"['Aliments et boissons à base de végétaux', ""Aliments d'origine végétale"", 'Epicerie', 'Produits déshydratés', 'Aliments à base de plantes séchées', 'Produits lyophilisés à reconstituer', 'Bouillons', 'Bouillons déshydratés', 'Bouillons de légumes', 'Bouillons de légumes déshydratés', 'Aliments à base de plantes séchés']",,,,,,,-97%,,-97%,-97%,-93%,-96%,-96%,-97%,,,,,,,,120 g,,,-96%,-96%,,,,,"Bouillon de légumes déshydraté, dégraissé","['Carton', 'Boîte']","['Point Vert', 'Dégraissé']",,,,,"['Noz', 'Delhaize']",['Huile de palme'],
1052,Gouda jeune reposé - Delhaize - 280g,5400601355977,['Delhaize'],"['Belgique', 'France']",[],,,[],,?,374,1565 kj(374 kcal),"30,8","19,2",0,0,"24,1",2,"0,8",D,"['Produits laitiers', 'Produits fermentés', 'Produits laitiers fermentés', 'Fromages', 'Fromages des Pays-Bas', 'Goudas', 'Goudas jeunes']",30.8 g,en quantité élevée,19.2 g,en quantité élevée,0 g,en faible quantité,,+3%,+4%,+3%,-4%,-100%,-100%,+3%,82.8%,8.1%,3.5%,3.6%,1.6%,0.4%,49,280g,2 g,en quantité élevée,+2%,+2%,17,+1%,D,+1%,,,,,,,,['Delhaize'],,
1053,Cobourg fumé - 365 - 150g,5400601480211,['365'],"['Belgique', 'France']",[],,,[],,?,170,711 kj(170 kcal),8,3,"0,5","0,5",24,6,"2,4",,,,,,,,,,,,,,,,,,,,,,,,150g,,,,,,,,,,,,,,,,['Delhaize'],,
1054,Mélange de fruits à coques et raisins secs - 1kg,5400606000438,,['France'],[],,,[],,?,496,2075 kj(496 kcal),32,"3,8",38,32,11,"0,03","0,012",,,,,,,,,,,,,,,,,,,,,,,,1 kg,,,,,,,,,,,,,,,,,,
1055,Mixed nuts - Happy Belly,5400606000452,['Happy Belly'],"['France', 'Espagne']","['Noisettes ', '30%', 'noix de cajou ', '30%', 'noix ', '20%', 'amandes émondées ', '20%']",,['Fruits à coque'],"['Sans huile de palme', 'Végétalien', 'Végétarien']",1,?,631,2640 kj(631 kcal),57,"5,9","5,2","4,8","18,6","0,02","0,008",,"['Aliments et boissons à base de végétaux', ""Aliments d'origine végétale"", 'Fruits à coques et dérivés']",57 g,en quantité élevée,5.9 g,en quantité élevée,4.8 g,en faible quantité,,+13%,+13%,+32%,+6%,-73%,-48%,+16%,,,,,,,,,0.02 g,en faible quantité,-94%,-94%,-2,-131%,A,-131%,,,,,,,,,,
1056,Super Food Camu Camu Raw Powder - Purasana,5400706613170,['Purasana'],['France'],"[""Average nutt'itlonai I gerniddetste moyenr}ee I vatotts medius vaieres nuÙiclonsls médtos / cher enerqy/enetgie/va!eut énergétique/ energétieotflrennweWvai0"", 'Ù tat/vettenlmàtlètes', "" getdurastFett/grassi totau ot which/w'tarvan}dont'do ios que/dsvon/dt saturated tatty acids/verzadiode votzut€n/ acides saturés!àcidos saturados/àeidos gordos saturados/ menounsatutated iatty vetzuten/acldt$ grasos gotdos monologaturados/eintach ungeaactioVmofi9insatuti tatty acidRtmoeryoudig vetzurentacidas gotitas cui""]",,,[],,?,314,1314 kj(314 kcal),"1,4","0,4","55,6","5,6","0,65",7,"2,8",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,['Bio'],,,,,,,
1057,Protéines de Chanvre - Purasana,5400706614627,['Purasana'],['France'],[],,,"['Végétalien', 'Végétarien']",,?,351,1469 kj(351 kcal),11,1,4,4,50,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"['Végétarien', 'en:gluten-free', 'Végétalien']",,,,,,,
1058,schweppes premium mixer orange blossom & lavender - 200ml,54004153,['Schweppes'],"['France', 'Allemagne']",[],,,[],,?,37,155 kj(37 kcal),0,0,"8,8","8,8",0,0,0,,"['Boissons', 'Boissons gazeuses', 'Sodas', 'Eau tonique', 'Boissons avec sucre ajouté']",0 g,en faible quantité,0 g,en faible quantité,8.8 g,en quantité élevée,,+32%,+34%,-100%,-100%,+34%,+39%,-100%,,,,,,,,200ml,0 g,en faible quantité,-100%,-100%,12,+34%,E,+34%,,,,,,,,,,
1059,Eau aromatisée au cassis - SPA - 50cl,5410013154549,['SPA'],"['Belgique', 'France']",[],,,[],,?,0,0 kj(0 kcal),0,0,0,0,0,0,0,,"['Boissons', 'Eaux', 'Eaux aromatisées']",0 g,en faible quantité,0 g,en faible quantité,0 g,en faible quantité,,-100%,-100%,-100%,-100%,-100%,-100%,-100%,,,,,,,,50 cl,0 g,en faible quantité,-100%,-100%,-1,-129%,B,-129%,,,"['Peu ou pas de sucre', 'Sans sucre']",,,,,,,
1060,Worstjes in gelatine Hors d'œuvre - Zwan,5410033200752,['Zwan'],['France'],[],,,[],,?,129,540 kj(129 kcal),"8,3","2,8","3,2",0,10,"1,3","0,52",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1061,Frank & Moutarde 40G 22+2 Gratis,5410033210300,,['France'],[],,,[],,?,249,1042 kj(249 kcal),"7,9","0,5",13,"1,8","6,9","1,8","0,72",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,['Point Vert'],,,,,,,
1062,Confiture 4 Fruits 310g - Materne,5410046001698,['Materne'],"['Belgique', 'France']","['Fruits ', 'fraises 19%', 'cerises 19%', 'groseilles rouges 12%', 'framboises 12%', 'sucre', 'gélifiant ', 'pectine', ""correcteur d'acidité "", 'acide citrique', 'citrate de calcium', 'antioxydent ', 'acide ascorbique']","['E440 - Pectines', 'E330 - Acide citrique', 'E333 - Citrates de calcium', 'E300 - Acide ascorbique']",,[],4,?,167,699 kj(167 kcal),"0,5","0,1",39,39,"0,6","0,01","0,004",,,,,,,,,,,,,,,,,,,,,,,,310g,,,,,,,,,,,['Sans conservateurs'],,,,,['Delhaize'],,
1063,Compote de pommes - Materne,5410046017804,['Materne'],"['Belgique', 'France']",[],,,[],,?,36,151 kj(36 kcal),"0,5","0,1",9,8,"0,5",0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1064,Compote de pommes avec morceaux - Materne,5410046070311,['Materne'],"['Belgique', 'France']",[],,,[],,?,74,310 kj(74 kcal),"0,5","0,1",19,18,"0,5","0,01","0,004",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,['Delhaize'],,
1065,Cereal Spelt and Bulgur Burger Met Fijne Groenten,5410063016095,,['France'],[],,,[],,?,229,958 kj(229 kcal),10,1,26,"3,6","5,7","0,88","0,352",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"['Bio', 'Sans colorants', 'Sans conservateurs']",,,,,,,
1066,Gerlinéa Easy Go Banane Barres Repas,5410063028142,['Gerlinea'],['France'],[],,,[],,?,363,1519 kj(363 kcal),11,"3,8",37,18,25,"0,8","0,32",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1067,Galette de riz - Céréal,5410063028265,['Céréal'],['France'],[],,,[],,?,486,2033 kj(486 kcal),23,14,61,27,"6,3","0,13","0,052",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,['en:gluten-free'],,,,,,,
