,name,bar_code,sales_countries,ingredients_list,ingredients_analysis,nutriment_energy-kj_tr,nutriment_energy-kcal_tr,nutriment_fat_tr,nutriment_carbohydrates_tr,nutriment_proteins_tr,packaging,nutriment_energy_tr,nutriment_saturated-fat_tr,nutriment_sugars_tr,nutriment_salt_tr,nutriment_sodium_tr,additives,nova_score,quantity,brand,generic_name,eco_score,categories,labels,markets,nutriment_energy-kj_tr_diff,nutriment_energy-kcal_tr_diff,nutriment_fat_tr_diff,nutriment_carbohydrates_tr_diff,nutriment_proteins_tr_diff,Agriculture,Transformation,Conditionnement,Transport,Distribution,Consommation,Score_ACV,allergens,fats_lipids_quantity,fats_lipids_comment,saturated_acids_quantity,saturated_acids_comment,sugar_quantity,sugar_comment,salt_quantity,salt_comment,nutriment_energy_tr_diff,nutriment_saturated-fat_tr_diff,nutriment_sugars_tr_diff,nutriment_salt_tr_diff,nutriment_sodium_tr_diff,nutriment_nutrition-score-fr_tr,nutriment_nutrition-score-fr_tr_diff,nutriment_nutriscore_tr,nutriment_nutriscore_tr_diff,manufacturing,ingredients_origins,traceability_code,link,palm_ingredients,brand_owner,origin_detail
36,RAVIOLI TOM MOZ -,,['France'],"['farine de blé dur* ', 'GLUTEN', 'OEUFS entiers*', 'eau', ""agent d'enrobage : farine de riz*\rricotta* "", 'LAIT', 'mozzarella* ', 'LAIT', 'concentré de tomates*', 'chapelure* ', 'farine de BLE*', 'sel', 'levure', 'OEUFS entiers*', ' basilic*', 'sel de Guérande']",['Non végétalien'],1032,245,"5,6","37,4","9,8",,1032 kj(245 kcal),3,"2,4","1,28","0,512",,4,,,,,"['Plats préparés', 'Plats à base de pâtes', 'Pâtes farcies']",,,+19%,+18%,-12%,+39%,+18%,,,,,,,,"['Œufs', 'Gluten', 'Lait']",5.6 g,en quantité modérée,3 g,en quantité modérée,2.4 g,en faible quantité,1.28 g,en quantité modérée,+19%,+12%,-9%,+23%,+23%,3,-44%,C,-44%,,,,,,,
37,RAV PEST -,,['France'],"['farine de blé dur* ', 'GLUTEN', 'OEUFS entiers*', 'eau', ""agent d'enrobage : farine de riz*\rricotta* "", 'LAIT', 'chapelure* ', 'farine de BLE*', 'sel', 'levure', ""fromage d'Entrammes* "", 'LAIT cru entier*', 'sel', 'ferments lactiques', 'présure animale', 'basilic*', 'AMANDES* hachées et grillées', 'OEUFS entiers*', 'sel de Guérande', ""pulpe d'ail*""]","['Non végétalien', 'Non végétarien']",1026,248,"6,5","36,01","9,7",,1026 kj(248 kcal),"2,7","2,1","1,02","0,408",,4,,,,,"['Plats préparés', 'Plats à base de pâtes', 'Pâtes farcies']",,,+18%,+20%,+2%,+33%,+16%,,,,,,,,"['Œufs', 'Gluten', 'Lait', 'Fruits à coque']",6.5 g,en quantité modérée,2.7 g,en quantité modérée,2.1 g,en faible quantité,1.02 g,en quantité modérée,+18%,+1%,-21%,-2%,-2%,2,-63%,B,-63%,,,,,,,
38,RAV JAM CIB -,,['France'],"['farine de blé dur* ', 'GLUTEN', 'OEUFS entiers*', 'eau', ""agent d'enrobage : farine de riz*\rricotta* "", 'LAIT', 'jambon sec* ', 'jambon de porc* origine France', 'sel', 'fromage de brebis* ', 'LAIT de brebis pasteurisé*', 'sel', 'présure', 'ferments lactiques', 'chapelure* ', 'farine de BLE*', 'sel', 'levure', 'OEUFS entiers*', 'ciboulette*', 'poudre de cerneaux de noix*', 'sel de Guérande']",['Non végétalien'],1024,243,6,"34,91",11,,1024 kj(243 kcal),"2,3","1,7","1,28","0,512",,4,,,,,"['Plats préparés', 'Plats à base de pâtes', 'Pâtes farcies']",,,+18%,+17%,-6%,+29%,+32%,,,,,,,,"['Œufs', 'Gluten', 'Lait', 'Fruits à coque']",6 g,en quantité modérée,2.3 g,en quantité modérée,1.7 g,en faible quantité,1.28 g,en quantité modérée,+18%,-14%,-36%,+23%,+23%,3,-44%,C,-44%,,,,,,,
39,Chèvre Cendré Fermier Au Lait Cru,3760059291312,['France'],[],[],?,?,?,?,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
40,Illy Espresso Dark Roasted,8003753900605,['France'],[],[],?,0,0,"0,3","0,2",,0 kj(0 kcal),0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
41,Longfizz,2116734030393,['France'],[],[],?,369,"2,2",82,"2,3",,1544 kj(369 kcal),"1,2",64,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
42,Complexe vitamines et minéraux,3663479004985,['France'],[],[],?,?,?,?,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
43,Maharishi Ayurveda Ma 4 - Amrit Kalash Paste,8713544005685,['France'],[],[],?,?,?,?,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
44,Instax mini,5036321125349,['France'],[],[],?,?,?,?,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
45,Now Brewer's Yeast,0733739024107,['France'],[],[],?,?,?,?,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
