,name,bar_code,sales_countries,ingredients_list,ingredients_analysis,nutriment_energy-kj_tr,nutriment_energy-kcal_tr,nutriment_energy_tr,nutriment_fat_tr,nutriment_saturated-fat_tr,nutriment_carbohydrates_tr,nutriment_sugars_tr,nutriment_proteins_tr,nutriment_salt_tr,nutriment_sodium_tr,eco_score,packaging,brand,categories,labels,fats_lipids_quantity,fats_lipids_comment,saturated_acids_quantity,saturated_acids_comment,sugar_quantity,sugar_comment,salt_quantity,salt_comment,nutriment_energy-kj_tr_diff,nutriment_energy-kcal_tr_diff,nutriment_energy_tr_diff,nutriment_fat_tr_diff,nutriment_saturated-fat_tr_diff,nutriment_carbohydrates_tr_diff,nutriment_sugars_tr_diff,nutriment_proteins_tr_diff,nutriment_salt_tr_diff,nutriment_sodium_tr_diff,nutriment_nutrition-score-fr_tr,nutriment_nutrition-score-fr_tr_diff,nutriment_nutriscore_tr,nutriment_nutriscore_tr_diff,Agriculture,Transformation,Conditionnement,Transport,Distribution,Consommation,Score_ACV,traceability_code,allergens,nova_score,quantity,ingredients_origins,manufacturing,additives,markets,palm_ingredients,generic_name,link,origin_detail
673,Filet de truite fumé,0236854047711,['France'],[],[],?,202,845 kj(202 kcal),13,"2,2",0,0,22,"4,7","1,88",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
674,Cerf Piment d’Espelette,3760076455339,['France'],[],[],?,238,996 kj(238 kcal),17,"6,4","5,2",1,"15,7","1,48","0,592",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
675,Chair de tomates nature,3263850663666,['France'],[],[],?,36,151 kj(36 kcal),"0,2","0,04","6,4","4,8","1,2","0,4","0,16",B,,,"['Aliments et boissons à base de végétaux', ""Aliments d'origine végétale"", 'Conserves', 'Aliments à base de fruits et de légumes', 'Aliments à base de plantes en conserve', 'Légumes et dérivés', 'Légumes en conserve', 'Tomates et dérivés', 'Tomates', 'Tomates en conserve', 'Tomates pelées', 'Chair de tomates']",,0.2 g,en faible quantité,0.04 g,en faible quantité,4.8 g,en faible quantité,0.4 g,en quantité modérée,,-14%,-2%,-59%,-57%,+15%,+3%,-10%,-24%,-24%,-3,,A,,67.0%,0.0%,0.0%,15.7%,13.1%,4.3%,97,,,,,,,,,,,,
676,"Muesli super fruits - Bjorg - 1,5kg",3229820801070,['France'],[],[],?,357,1494 kj(357 kcal),6,1,60,14,11,"0,03","0,012",B,,['Bjorg'],"['Aliments et boissons à base de végétaux', ""Aliments d'origine végétale"", 'Céréales et pommes de terre', 'Petit-déjeuners', 'Céréales et dérivés', 'Céréales pour petit-déjeuner', 'Mueslis', 'Céréales aux fruits', 'Mueslis aux fruits']","['Nutriscore', 'Nutriscore A']",6 g,en quantité modérée,1 g,en faible quantité,14 g,en quantité élevée,0.03 g,en faible quantité,,-10%,-11%,-43%,-63%,-2%,-22%,+15%,-79%,-79%,-3,-187%,A,-187%,53.5%,25.9%,8.6%,6.8%,5.2%,0.0%,90,,,,"1,5 kg",,,,,,,,
677,Konigs Kaffee,5902480016302,['France'],[],[],?,1,4 kj(1 kcal),0,0,"0,3",0,"0,2",0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
678,Pâte à tartiner Noir intense,3025640000576,['France'],[],[],?,574,2402 kj(574 kcal),"39,6","7,3","42,9","40,9","8,3",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
679,Bomboloni ortolano,8003007800309,['France'],[],[],?,?,,?,,?,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
680,Pâte à tartiner Double Lait,3025640000545,['France'],[],[],?,583,2439 kj(583 kcal),"39,3","7,2","48,7","47,7","7,1",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
681,Pâte à tartiner Crousti’lait,3025640000552,['France'],[],[],?,570,2385 kj(570 kcal),"36,7",7,"51,5","47,4",7,"0,14","0,056",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
682,Pâte à tartiner Noir subtil,3025640000569,['France'],[],[],?,576,2410 kj(576 kcal),"39,2",7,"45,6","43,9","7,6",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
683,Veloute legumes lenyles vertes,3456300013535,['France'],[],[],?,30,126 kj(30 kcal),"0,4",0,"4,2","1,3","1,6","0,73","0,292",,,,,"['Bio', 'Bio européen', 'Agriculture non UE', 'Agriculture UE', 'Agriculture UE/Non UE', 'Nutriscore', 'Nutriscore B', 'AB Agriculture Biologique']",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
684,Confiture extra framboises,35400691,['France'],[],[],?,?,,?,,?,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
685,Poutargue,2639455001508,['France'],[],[],?,409,1711 kj(409 kcal),26,"7,2","2,9","0,5",40,"4,8","1,92",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
686,Allumettes nature,6216240025084,['France'],[],[],?,?,,?,,?,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
687,Escargots persillés,3043034470330,['France'],[],[],?,?,,?,,?,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
688,Pain de tradition française,3289668090807,['France'],[],[],?,?,,?,,?,,?,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
689,Bière blanche,3770015967076,['France'],[],[],?,?,,?,,?,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
690,Boules de noël aux figues,3760091578082,['France'],[],[],?,?,,?,,?,,?,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
691,Pâte à La Semoule De Blé Dur Et ?ufs Et à La Truffe Blanche D'été,8005978025002,['France'],[],[],?,?,,?,,?,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
692,Brochette terre mer aux poivres,2416893030570,['France'],[],[],?,156,653 kj(156 kcal),"9,3","2,5",0,0,18,"1,5","0,6",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
693,Saussice de Francfort,2299031021520,['France'],[],[],?,184,770 kj(184 kcal),"9,25","4,25","0,99","0,43",20,"0,4","0,16",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"['FR 61.181.001 CE', 'Gacé (Orne, France)']",,,,,,,,,,,
694,Petillant,3770008059085,['France'],[],[],?,?,,?,,?,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
695,Croissant au beurre,0296103027550,['France'],[],[],?,?,,?,,?,,?,,,C,,,"['Snacks', 'Snacks sucrés', 'Viennoiseries', 'Croissants', 'Croissants au beurre']",,,,,,,,,,,,,,,,,,,,,,,,78.5%,13.2%,5.3%,2.6%,0.4%,0.0%,69,,,,,,,,,,,,
696,Mélange quatre épices,3144550011097,['France'],[],[],?,1,4 kj(1 kcal),1,1,1,1,3,1,"0,4",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
697,Pomme poire biscuit,3250392931919,['France'],[],[],?,301,1259 kj(301 kcal),"0,6","0,2","14,3","9,4","0,7",,,,,,,"['Bio', 'Bio européen', 'FR-BIO-01']",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
698,Tartinade de legumes,06547554,['France'],[],"['Végétalien', 'Végétarien']",?,231,967 kj(231 kcal),18,"1,9",11,"6,5","5,1","1,2","0,48",,,,,"['Bio', 'Végétarien', 'Bio européen', 'Végétalien', 'FR-BIO-01']",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
699,Filets d’anchois a la provencale,3760036822928,['France'],[],[],?,147,615 kj(147 kcal),"7,9","2,3","0,9","0,5",17,"1,6","0,64",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
700,Liguine professionnel,3660861902690,['France'],[],[],?,355,1485 kj(355 kcal),"1,9","0,3",70,6,13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
701,Beurre demi sel,3700819800330,['France'],[],[],?,727,3042 kj(727 kcal),80,55,1,1,"0,7",2,"0,8",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"['EMB 35239C', 'Retiers (Ille-et-Vilaine, France)']",,,,,,,,,,,
702,Pavé biologique aux graines,0202263008537,['France'],[],[],?,1497,6263 kj(1497 kcal),"1,7","0,3",73,2,12,"1,7","0,68",,,,,['Bio'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
703,Melange festif,3760114461148,['France'],[],[],?,?,,?,,?,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
704,Papilles & petits plats,3770013692161,['France'],[],[],?,211,883 kj(211 kcal),"16,8","6,8","5,4","4,3","9,9","0,7","0,28",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
705,Vegane Snackwurst,4058172366246,['France'],[],[],?,259,1084 kj(259 kcal),13,"1,7","5,1","4,1",29,"2,4","0,96",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
706,Elite,3760305220028,['France'],[],[],?,?,,?,,?,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
707,Rillettes de thon,3394610004204,['France'],[],[],?,154,644 kj(154 kcal),10,"5,8","1,6","1,4","14,3",12,"4,8",D,,,"['Produits de la mer', 'Produits à tartiner', 'Poissons', 'Produits à tartiner salés', 'Rillettes', 'Thons', 'Préparations de poisson', 'Rillettes de poissons', 'Rillettes de thon']",,10 g,en quantité modérée,5.8 g,en quantité élevée,1.4 g,en faible quantité,12 g,en quantité élevée,,-27%,-28%,-37%,+54%,-24%,+47%,-7%,+1054%,+1054%,16,+157%,D,+157%,74.4%,12.5%,3.8%,7.2%,1.7%,0.5%,51,,,,,,,,,,,,
708,Saucisson cuit de cheval,2639903019680,['France'],[],[],?,280,1172 kj(280 kcal),"25,5","9,37","1,9","0,2","2,06","12,4","4,96",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
709,Huile olive salvator,3760187511207,['France'],[],[],?,900,3766 kj(900 kcal),"99,8",15,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
710,Cuisse de canard confite x2,3901105000001,['France'],[],[],?,349,1460 kj(349 kcal),29,"9,8","0,4",0,22,"1,6","0,64",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
711,Haselnusskerne - Atco - 200g,4103520002601,['France'],[],[],?,674,2820 kj(674 kcal),63,"5,3",6,"5,3",16,"0,01","0,004",D,,['Atco'],"['Aliments et boissons à base de végétaux', ""Aliments d'origine végétale"", 'Fruits à coques et dérivés', 'Fruits à coques', 'Noisettes']",,63 g,en quantité élevée,5.3 g,en quantité élevée,5.3 g,en quantité modérée,0.01 g,en faible quantité,,+1%,+1%,+2%,+10%,-36%,+22%,+5%,-49%,-49%,4,+580%,C,+580%,92.4%,1.7%,0.0%,3.6%,2.2%,0.0%,45,,,,200 g,,,,,,,,
712,Crème d'Albert,0205928038054,['France'],[],[],?,?,,?,,?,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
713,Tourino Numero 10,8004093029483,['France'],[],[],?,569,2381 kj(569 kcal),39,"0,03",39,31,11,15,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
714,Poulet rôti,0211074048670,['France'],[],[],?,?,,?,,?,,?,0,0,,,,,"['Nutriscore', 'Nutriscore C']",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
715,Estragon,4607931605227,['France'],[],[],?,40,167 kj(40 kcal),0,0,"10,2",1,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
716,Patata de guisar,8433329073127,['France'],[],[],?,?,,?,,?,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
717,Pistache,2600160023024,['France'],[],[],?,621,2598 kj(621 kcal),"44,8","5,5","28,7","7,7","20,9",0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
718,Caramel à la poire cacao,3457221000802,['France'],[],[],?,367,1536 kj(367 kcal),11,"7,6",62,48,"2,1","0,11","0,044",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
719,Spritz au beurre enrobé choco,3279130103586,['France'],[],[],?,500,2092 kj(500 kcal),"25,5","16,05","58,4","23,8","16,05",0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
720,Écorces citron confit,3278584910030,['France'],[],[],?,326,1364 kj(326 kcal),"0,02","0,016",79,"69,1","0,3",,,,,,,"['Bio', 'Bio européen', 'Agriculture non UE', 'Agriculture UE', 'Agriculture UE/Non UE', 'FR-BIO-01']",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
721,Chips Sour cream & chives,4750024000741,['France'],[],[],?,530,2218 kj(530 kcal),32,3,52,"1,9",5,3,"1,2",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
722,Kassler Fumé superieur,2451177045796,['France'],[],[],?,122,510 kj(122 kcal),"5,6","2,4",0,0,18,"2,5",1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
723,Gressins rustiques,3760183041012,['France'],[],[],?,412,1724 kj(412 kcal),"8,7","3,3",72,"4,5","10,5",0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
724,Jambon superieur cuit au bouillon porc français,2228586037199,['France'],[],[],?,101.5,425 kj(101 kcal),"1,9","0,7","0,8","0,4","0,345","2,2","0,88",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
725,Poudre de cacao,8425402605752,['France'],[],[],?,100,418 kj(100 kcal),11,"6,5",14,0,25,"0,3","0,12",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
726,Assortiment de bonbons de chocolat,3760059938132,['France'],[],[],?,555,2322 kj(555 kcal),36,16,51,48,"7,2",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
727,Protéines en poudre au cacao,5051882267161,['France'],[],[],?,?,,?,,?,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
728,Les tranches de jambons aoste,3449843583009,['France'],[],[],?,?,,?,,?,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
729,Galette des rois frangipane,0261148045265,['France'],[],[],?,439,1837 kj(439 kcal),29,16,38,14,"6,8","0,91","0,364",D,,,"['Biscuits et gâteaux', 'Pâtisseries', 'Galettes des rois']",,29 g,en quantité élevée,16 g,en quantité élevée,14 g,en quantité élevée,0.91 g,en quantité modérée,,+4%,+4%,+10%,+8%,-2%,+9%,+7%,+31%,+31%,22,+15%,E,+15%,88.4%,6.6%,2.2%,1.6%,1.2%,0.0%,36,,,,,,,,,,,,
730,Pétillant Pomme-Framboise,3770005958015,['France'],[],[],?,42,176 kj(42 kcal),0,0,"10,5","10,5",0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
731,Eminces,3491953629795,['France'],[],[],?,?,,?,0,?,0,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
732,Couronne des rois,,['France'],[],[],?,?,,?,,?,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
733,Terrine du Périgord,3432770000176,['France'],[],[],?,272,1138 kj(272 kcal),24,"7,9","0,9",0,13,"1,7","0,68",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
734,Jasmine Rice,7392260001303,['France'],[],[],?,350,1464 kj(350 kcal),77,0,"0,8",0,"7,1",0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
735,Huile vierge de lin,3701407701947,['France'],[],[],?,828,3464 kj(828 kcal),92,"9,4",0,0,0,0,0,E,,,"['Aliments et boissons à base de végétaux', ""Aliments d'origine végétale"", 'Céréales et pommes de terre', 'Matières grasses', 'Céréales et dérivés', 'Matières grasses végétales', 'Huiles', 'Huiles de céréales', 'Huiles de lin']",,92 g,en quantité élevée,9.4 g,en quantité élevée,0 g,en faible quantité,0 g,en faible quantité,,-3%,-2%,-3%,-6%,,,,-100%,-100%,11,+2%,D,+2%,95.3%,1.2%,1.7%,0.9%,0.9%,0.0%,26,,,,,,,,,,,,
736,Praline,3760268912589,['France'],[],[],?,?,,?,,?,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
737,Vermillettes cheveux d'ange - Moulin des moines,3347430018661,['France'],[],[],?,?,,?,,?,,?,0,0,,,['Moulin des moines'],,"['Bio', 'Bio européen', 'FR-BIO-01', 'AB Agriculture Biologique']",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
738,Paroadelles,0656272123819,['France'],[],[],?,327,1368 kj(327 kcal),"1,6","0,3","64,5","1,2","11,5",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
739,Bloc de foie gras de canard du Sud-ouest - Delpeyrat,3067163646404,['France'],[],[],?,482,2017 kj(482 kcal),50,"2,1",21,"0,9","5,9","1,1","0,44",B,,['Delpeyrat'],"['Poissons et viandes et oeufs', 'Foies gras', 'Foies gras de canard']",,50 g,en quantité élevée,2.1 g,en quantité modérée,0.9 g,en faible quantité,1.1 g,en quantité modérée,,-6%,-6%,-5%,-91%,+801%,-33%,-15%,-9%,-9%,12,-42%,D,-42%,70.7%,8.0%,8.5%,7.3%,4.3%,1.2%,89,,,,,,,,,,,,
740,Buche creme beurre,0260400045586,['France'],[],[],?,338,1414 kj(338 kcal),37,29,37,"3,5","3,5","0,21","0,084",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
741,12 mini feuilletés aux escargots,3043035071055,['France'],[],[],?,493,2063 kj(493 kcal),42,25,22,"1,1","5,6","1,7","0,68",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
742,Noix de coco lamelles - La Vie Claire - 100g,3266191018720,['France'],[],[],?,735,3075 kj(735 kcal),65,"57,2",23,"7,4","6,9",,,,,['La Vie Claire'],,"['Bio', 'Bio européen', 'AB Agriculture Biologique']",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,100 g,,,,,,,,
743,Stick & mix,8717249817079,['France'],[],[],?,?,,?,0,?,0,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
744,TMSport 40000 Volts !,0878941001109,['France'],[],[],?,?,,?,,?,,?,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
745,Spécialité de pruneaux,2609916020331,['France'],[],[],?,245,1025 kj(245 kcal),"0,5","0,1",55,35,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
746,Sarments du Médoc,3760109081467,['France'],[],[],?,519,2171 kj(519 kcal),33,20,43,40,7,,,,,,,"['Agriculture durable', 'en:UTZ Certified']",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
747,CROISSANT BEURRE AOP,3801350006738,['France'],[],[],?,385,1611 kj(385 kcal),21,15,40,7,"6,9","0,93","0,372",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
748,Rocher lait,3700699903633,['France'],[],[],?,524,2192 kj(524 kcal),30,7,55,47,"7,63",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
749,Chocolat,3441801840643,['France'],[],[],?,560,2343 kj(560 kcal),37,15,46,44,"8,9","0,1","0,04",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
750,Porsi,5604260301171,['France'],[],[],?,400,1674 kj(400 kcal),2,"1,4",12,12,"6,6",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
751,Vin zinfandel carnivor,0085000024973,['France'],[],[],?,?,,?,,?,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
752,sevremiel,3770013028106,['France'],[],[],?,?,,?,,?,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
753,Tenue de noel assortiment de pâtes de fruit,3270720019638,['France'],[],[],?,311,1301 kj(311 kcal),0,0,74,61,"1,1","0,1","0,04",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
754,Liqueur de sapin,3428660012886,['France'],[],[],?,?,,?,0,?,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
755,Ribbon futte futte jelly grape,4589850821875,['France'],[],[],?,50,209 kj(50 kcal),0,0,"12,5",0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
756,Lait sterilise U.H.T. demi ecreme,3428201435860,['France'],[],[],?,46,192 kj(46 kcal),"1,5",1,"4,8","4,8","3,2","0,11","0,044",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
757,GEY TRAITEUR,3193840096825,['France'],[],[],?,?,,?,,?,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
758,Pasta gourmet,4061458152716,['France'],[],[],?,354,1481 kj(354 kcal),"1,2","0,2",72,"3,5",12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
759,Overload,0034000937820,['France'],[],[],?,498,2084 kj(498 kcal),"25,1","13,5","62,8","43,4","7,4","1,25","0,5",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
760,Cordon bleu,0206231016074,['France'],[],[],?,244,1021 kj(244 kcal),14,"3,9",11,"0,5",18,"0,57","0,228",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
761,D'jino,5501164331931,['France'],[],[],?,43,180 kj(43 kcal),0,0,"9,7","9,5",0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
762,Gorgonzola,2816814017718,['France'],[],[],?,377,1577 kj(377 kcal),36,26,"1,3","1,3",12,"0,84","0,336",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
763,3 muffins BIO CITRON jaune,3770006030581,['France'],[],[],?,373,1561 kj(373 kcal),"18,4","1,9","47,2","31,6","5,9",,,,,,,['Bio'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
764,Kombucha Original - Sélection des comptoirs,3760239184724,['France'],[],[],?,16,67 kj(16 kcal),0,0,4,4,0,0,0,,,['Sélection des comptoirs'],,"['Bio', 'Bio européen']",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
765,Croquette pour chatons,7613036505277,['France'],[],[],?,?,,?,0,?,0,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
766,Boisson au fruit - Tropicana,0048500203118,['France'],[],[],?,?,,?,,?,,?,0,0,,,['Tropicana'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
767,Doudou clara,3561860035214,['France'],[],[],?,25,105 kj(25 kcal),25,25,25,25,25,25,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
768,Trini Crok,3260260212668,['France'],[],[],?,?,,?,,?,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
769,Grand vin de bordaux,3254565684138,['France'],[],[],?,?,,?,0,?,0,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
770,Tarte pommes,0206044036016,['France'],[],[],?,10,42 kj(10 kcal),"8,1","5,5",32,17,"1,6","0,32","0,128",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
771,Semicurado cuñita,2350944003451,['France'],[],[],?,421,1761 kj(421 kcal),35,25,"1,6","0,5",25,"1,7","0,68",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
772,Eau gazeuse,3859890129516,['France'],[],[],?,?,,?,,?,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
773,Helgoländer waffeln,4012936016037,['France'],[],[],?,0.11,0 kj(0 kcal),"9,3","7,4","70,6","41,6","4,3","0,11","0,044",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
774,Thé au gingembre,6213042231057,['France'],[],[],?,0.003,0 kj(0 kcal),"1,42","0,014","1,23",0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
775,Nouilles Soba,3664866007442,['France'],[],[],?,316,1322 kj(316 kcal),1,0,"67,2","3,4","9,3","0,7","0,28",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
776,Spritz apéro,6172950,['France'],[],[],?,368,1540 kj(368 kcal),24,15,37,5,7,"1,5","0,6",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
777,Blätterkrokant Kugeln,4013900500064,['France'],[],[],?,497,2079 kj(497 kcal),25,"8,9",62,57,5,"0,22","0,088",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
778,Verrines,3770019266038,['France'],[],[],?,188.5,789 kj(188 kcal),12,"6,1",14,"4,9","4,5",0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
779,Joghurt Salatcreme,8766377472445,['France'],[],[],?,331,1385 kj(331 kcal),30,"2,2",13,"1,4","1,3","1,4","0,56",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
780,Muesli Integral com fruta,5601312077060,['France'],[],[],?,366,1531 kj(366 kcal),"7,9","4,1",60,14,"8,9",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
781,Tesco Pumpkin Seeds 100G,5052109862282,['France'],[],[],?,?,,?,,?,,?,,,,,['Tesco'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
782,Basilic Bio Lyophilise 6G Boite Metal Prov Antan Bio,3554740400318,['France'],[],[],?,?,,?,,?,,?,,,,,,,"['Bio', 'Point Vert']",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
