,name,bar_code,sales_countries,ingredients_list,ingredients_analysis,nutriment_energy-kj_tr,nutriment_energy-kcal_tr,nutriment_energy_tr,nutriment_fat_tr,nutriment_saturated-fat_tr,nutriment_carbohydrates_tr,nutriment_sugars_tr,nutriment_proteins_tr,nutriment_salt_tr,nutriment_sodium_tr,eco_score,packaging,brand,categories,labels,fats_lipids_quantity,fats_lipids_comment,saturated_acids_quantity,saturated_acids_comment,sugar_quantity,sugar_comment,salt_quantity,salt_comment,nutriment_energy-kj_tr_diff,nutriment_energy-kcal_tr_diff,nutriment_energy_tr_diff,nutriment_fat_tr_diff,nutriment_saturated-fat_tr_diff,nutriment_carbohydrates_tr_diff,nutriment_sugars_tr_diff,nutriment_proteins_tr_diff,nutriment_salt_tr_diff,nutriment_sodium_tr_diff,nutriment_nutrition-score-fr_tr,nutriment_nutrition-score-fr_tr_diff,nutriment_nutriscore_tr,nutriment_nutriscore_tr_diff,Agriculture,Transformation,Conditionnement,Transport,Distribution,Consommation,Score_ACV,traceability_code,allergens,nova_score,quantity,ingredients_origins,manufacturing,additives,markets,palm_ingredients,generic_name,link,origin_detail
1318,Boudin noir cockail créole,3340584106901,['France'],[],[],?,225,941 kj(225 kcal),18,"8,5",1,"0,6",15,"1,8","0,72",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"['EMB 49233A', 'Nyoiseau (Maine-et-Loire, France)', 'FR 49.239.001 CE', 'Pin-en-Mauges (Maine-et-Loire, France)', 'EMB 49239A', 'Pin-en-Mauges (Maine-et-Loire, France)']",,,,,,,,,,,
1319,Saucisse cockail Francfort fumée au bois de hêtre,3278780512144,['France'],[],[],?,906,3791 kj(906 kcal),17,"6,9","1,3","1,3",15,"2,2","0,88",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1320,Daesang Korean Chilipaste Mild,8801052452173,['France'],[],[],?,?,,?,,?,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1321,Cho Lach 70%,3760027540176,['France'],[],[],?,562,2351 kj(562 kcal),"39,1","29,1","35,3","30,3","12,8",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1322,Pastilies,5200314322187,['France'],[],[],?,231,967 kj(231 kcal),0,0,96,"0,1",0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1323,Caramel peanut nougat round cake,8412080002898,['France'],[],[],?,538,2251 kj(538 kcal),20,4,46,39,15,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1324,Chewgum chupa chups,80969907,['France'],[],[],?,?,,?,,?,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1325,Croissant aux amandes - Leclerc - x2,2020002901028,['France'],"['FARINE DE BLE', 'beurre 27%', 'eau', ' sucre', 'LAIT entier frais pasteurisé 3,9%', 'OEUFS frais 2,5%', 'levure', 'GLUTEN de blé', 'sel', 'agent de traitement de la FARINE: acide ascorbique', 'enzyme', ' dorure: OEUFS frais 1,3% sucre', ' frangipane : LAIT frais entier', ""FARINE d'AMANDES 17%"", ' sucre', ' OEUFS frais', 'BEURRE', ' sirop de glucose', ' amidon modifié', 'épaississant : E412', 'émulsifier: E471', ' flavors']","[""Pourrait contenir de l'huile de palme"", 'Non végétalien']",?,359,1502 kj(359 kcal),20,9,37,8,6,1,"0,4",C,['Plastique'],['Leclerc'],"['Snacks', 'Snacks sucrés', 'Viennoiseries', 'Croissants', 'Croissants au beurre']",,20 g,en quantité modérée,9 g,en quantité élevée,8 g,en quantité modérée,1 g,en quantité modérée,,-7%,-7%,-8%,-37%,-9%,+13%,-20%,+1%,+1%,17,-9%,D,-9%,78.5%,13.2%,5.3%,2.6%,0.4%,0.0%,69,,"['Œufs', 'Gluten', 'Lait', 'Fruits à coque']",4,x2,,,"['E300 - Acide ascorbique', 'E14XX - Amidons modifiés', 'E412 - Gomme de guar', ""E471 - Mono- et diglycérides d'acides gras alimentaires""]",,,,,
1326,Tartinable de betterave et le thym,8033650183177,['France'],[],[],?,121,506 kj(121 kcal),"0,3","0,05",26,19,"3,7",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1327,Demi-queue de langouste,2403470063304,['France'],[],[],?,157,657 kj(157 kcal),7,"4,2","1,8","0,5","21,9","0,1","0,04",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1328,Thé jardin vert,3700809341232,['France'],[],[],?,?,,?,,?,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1329,Riz et boeuf aux légumes et graines,3760014428364,['France'],[],[],?,555,2322 kj(555 kcal),39,"5,8",41,3,16,"2,5",1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1330,Pâtes alimentaires farfale,2030509058040,['France'],[],[],?,345,1443 kj(345 kcal),"1,5","0,1",72,"3,5","11,8",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
