,name,bar_code,sales_countries,ingredients_list,ingredients_analysis,nutriment_energy-kj_tr,nutriment_energy-kcal_tr,nutriment_energy_tr,nutriment_fat_tr,nutriment_saturated-fat_tr,nutriment_carbohydrates_tr,nutriment_sugars_tr,nutriment_proteins_tr,nutriment_salt_tr,nutriment_sodium_tr,brand,eco_score,categories,fats_lipids_quantity,fats_lipids_comment,saturated_acids_quantity,saturated_acids_comment,sugar_quantity,sugar_comment,salt_quantity,salt_comment,nutriment_energy-kj_tr_diff,nutriment_energy-kcal_tr_diff,nutriment_energy_tr_diff,nutriment_fat_tr_diff,nutriment_saturated-fat_tr_diff,nutriment_carbohydrates_tr_diff,nutriment_sugars_tr_diff,nutriment_proteins_tr_diff,nutriment_salt_tr_diff,nutriment_sodium_tr_diff,nutriment_nutrition-score-fr_tr,nutriment_nutrition-score-fr_tr_diff,nutriment_nutriscore_tr,nutriment_nutriscore_tr_diff,Agriculture,Transformation,Conditionnement,Transport,Distribution,Consommation,Score_ACV,labels,quantity,packaging,additives,nova_score,allergens,generic_name,traceability_code,markets,manufacturing,ingredients_origins,palm_ingredients,link,brand_owner
1879,Dessert glacé saveur vanille,3660207815165,['France'],[],[],?,150,628 kj(150 kcal),"5,5","4,7",24,21,"1,4","0,13","0,052",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"['EMB 97416C', 'Saint-Pierre (La Réunion, France)']",,,,,,
1880,130g,9219130101254,['France'],[],[],?,?,,?,,?,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,130 g,,,,,,,,,,,,
1881,Jus Espoir,3760258250332,['France'],[],[],?,49,205 kj(49 kcal),"0,5","0,1",10,9,"0,8","0,04","0,016",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1882,Baies Roses Déshydratées 50 GR - Espig,3102870022483,['France'],[],[],?,?,,?,,?,,?,,,['Espig'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1883,Foie gras - Larnaudie,3113010144965,['France'],[],[],?,513,2146 kj(513 kcal),"49,1","22,3","2,3","1,3","5,6","1,41","0,564",['Larnaudie'],B,"['Poissons et viandes et oeufs', 'Foies gras']",49.1 g,en quantité élevée,22.3 g,en quantité élevée,1.3 g,en faible quantité,1.41 g,en quantité modérée,,+1%,+1%,-6%,0%,-1%,-4%,-20%,+17%,+17%,22,+7%,E,+7%,70.7%,8.0%,8.5%,7.3%,4.3%,1.2%,89,,,,,,,,,,,,,,
1884,Fromage chèvre,3258780002005,['France'],[],[],?,?,,?,,?,,?,,,,E,"['Produits laitiers', 'Produits fermentés', 'Produits laitiers fermentés', 'Fromages', 'Fromages de chèvre']",,,,,,,,,,,,,,,,,,,,,,,91.6%,3.0%,2.1%,2.1%,0.9%,0.3%,33,,,,,,,,,,,,,,
1885,Calamars dans son encre - Spanico - 80g,3760105562748,['France'],[],[],?,119,498 kj(119 kcal),"5,4","1,4",0,0,"17,6","1,38","0,552",['Spanico'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,80 g,,,,,,,,,,,,
1886,Caramiel Normand - Les Ruchers de Normandie,3770002062036,['France'],[],[],?,?,,?,,?,,?,,,['Les Ruchers de Normandie'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1887,Jus Intuition,3760258250363,['France'],[],[],?,46,192 kj(46 kcal),"0,5","0,1","9,8","8,7","0,5","0,03","0,012",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1888,thé gazeux bio - Galvanina,8007885761806,['France'],[],[],?,33,138 kj(33 kcal),0,0,"8,3","8,3",0,"0,03","0,012",['Galvanina'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,['Bio'],,,,,,,,,,,,,
