,name,bar_code,labels,sales_countries,ingredients_list,ingredients_analysis,nutriment_energy-kj_tr,nutriment_energy-kcal_tr,nutriment_fat_tr,nutriment_carbohydrates_tr,nutriment_proteins_tr,eco_score,brand,categories,additives,allergens,nova_score,fats_lipids_quantity,fats_lipids_comment,saturated_acids_quantity,saturated_acids_comment,sugar_quantity,sugar_comment,salt_quantity,salt_comment,nutriment_energy-kj_tr_diff,nutriment_energy-kcal_tr_diff,nutriment_energy_tr,nutriment_energy_tr_diff,nutriment_fat_tr_diff,nutriment_saturated-fat_tr,nutriment_saturated-fat_tr_diff,nutriment_carbohydrates_tr_diff,nutriment_sugars_tr,nutriment_sugars_tr_diff,nutriment_proteins_tr_diff,nutriment_salt_tr,nutriment_salt_tr_diff,nutriment_sodium_tr,nutriment_sodium_tr_diff,nutriment_nutrition-score-fr_tr,nutriment_nutrition-score-fr_tr_diff,nutriment_nutriscore_tr,nutriment_nutriscore_tr_diff,Agriculture,Transformation,Conditionnement,Transport,Distribution,Consommation,Score_ACV,quantity,packaging,ingredients_origins,manufacturing,traceability_code,generic_name,markets,palm_ingredients,link
22,3760007390036,3760007390036,,['France'],[],[],?,?,?,?,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
23,Sechons de vache (36% MG) - Distral - 500g,3760007484322,,['France'],['lait cru'],"['Sans huile de palme', 'Non végétalien', 'Végétarien']",?,394,36,"0,9","16,5",D,['Distral'],"['Produits laitiers', 'Produits fermentés', 'Produits laitiers fermentés', 'Fromages', 'Fromages de vache', 'Fromages au lait cru']",,['Lait'],3,36 g,en quantité élevée,0 g,en faible quantité,0 g,en faible quantité,0.65 g,en quantité modérée,,+17%,1648 kj(394 kcal),+17%,+31%,0,-100%,+61%,0,-100%,-25%,"0,65",-56%,"0,26",-56%,1,-93%,B,-93%,84.0%,5.8%,4.0%,4.0%,1.8%,0.5%,54,500 g,"['Plastique', 'Frais']",,['France'],"['FR 26.362.001 CE', 'Valence (Drôme, France)']",,,,
24,St felicien,3760007488009,,['France'],[],[],?,249,21,"1,1",14,,,,,,,,,,,,,,,,,1042 kj(249 kcal),,,16,,,"0,1",,,1,,"0,4",,,,,,,,,,,,,,,,,,,,,
25,Saint-Marcellin,3760007488351,,['France'],[],[],?,280,23,"2,2",16,D,,"['Produits laitiers', 'Produits fermentés', 'Produits laitiers fermentés', 'Fromages', 'Fromages de vache', 'Fromages à pâte molle à croûte fleurie', 'Fromages de France', 'Saint-Marcellin']",,,,23 g,en quantité élevée,16 g,en quantité élevée,1.4 g,en faible quantité,1.3 g,en quantité modérée,,+3%,1172 kj(280 kcal),+4%,+2%,16,-5%,+67%,"1,4",+79%,+1%,"1,3",-2%,"0,52",-2%,13,-4%,D,-4%,84.0%,5.8%,4.0%,4.0%,1.8%,0.5%,54,,,,,"['FR 38.500.001 CE', 'Têche (Isère, France)']",,,,
26,Saint Felicien cremier,3760007489860,,['France'],[],[],?,301,27,"0,5",14,D,,"['Produits laitiers', 'Produits fermentés', 'Produits laitiers fermentés', 'Fromages', 'Fromages de vache', 'Fromages à pâte molle à croûte fleurie', 'Fromages de France', 'Saint-Félicien']",,,,27 g,en quantité élevée,19 g,en quantité élevée,0.5 g,en faible quantité,1.6 g,en quantité élevée,,+2%,1259 kj(301 kcal),+2%,+1%,19,+1%,-47%,"0,5",+8%,+11%,"1,6",+25%,"0,64",+25%,15,+12%,D,+12%,84.0%,5.8%,4.0%,4.0%,1.8%,0.5%,54,,,,,,,,,
27,Canistrelli de l'Île de Beauté au Vin Blanc du Pays - Sainte Restitude - 300g,3760007540011,['Point Vert'],['France'],"['Farine de froment', 'vin blanc du Pays ', '17,1 %', 'huile de tournesol', 'sucre', 'sel', 'poudre levante', 'eau de vie']",[],1870,449,"16,3","66,7","7,36",C,"['Sainte Restitude', 'Biscuiterie Sainte Restitude']","['Snacks', 'Snacks sucrés', 'Biscuits et gâteaux', 'Biscuits', 'Biscuits secs']",,['Gluten'],3,,,,,,,,,,,,,,,,,,,,,,,,,,,,80.3%,11.4%,3.7%,2.4%,2.2%,0.0%,58,300 g,"['Sachet', 'Plastique']",,"['France', 'Corse']",,,,,
28,Jasmin Bio - Thé Vert Parfumé Doypack - Thés Ge... - George Cannon - 100g,3760007600425,"['Bio', 'Bio européen', 'FR-BIO-01']",['France'],[],[],?,?,?,?,?,,['George Cannon'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,100g,,,,,,,,
29,Thé Blanc pavillon -,3760007600722,,['France'],[],[],?,2,0,0,0,B,,"['Aliments et boissons à base de végétaux', 'Boissons', 'Boissons chaudes', 'Boissons à base de végétaux', 'Thés', 'Infusions', 'Thés blancs']",,,,,,,,,,,,,-75%,8 kj(2 kcal),-74%,-100%,0,-100%,-100%,0,-100%,-100%,0,-100%,0,-100%,,,,,66.6%,0.0%,1.4%,1.6%,0.3%,30.1%,100,,,,,,,,,
30,Toutellini mandarine,3760007750137,,['France'],[],[],?,475,22,59,"7,9",,,,,,,,,,,,,,,,,1987 kj(475 kcal),,,"0,7",,,22,,,"0,57",,"0,228",,,,,,,,,,,,,,,,,,,,,
31,Marrons glacés bio - L'artisan Provençal,3760008041227,['Bio'],['France'],"['marrons*', 'sucre*', 'sirop de glucose-fructose*', 'vanille en gousses*', ""\r*ingrédients issus de l'agriculture biologique""]",[],?,312,"0,9",73,"0,9",,"[""L'artisan Provençal""]","['Aliments et boissons à base de végétaux', ""Aliments d'origine végétale"", 'Snacks', 'Snacks sucrés', 'Confiseries', 'Fruits à coques et dérivés', 'Confiseries de fruits à coques', 'Marrons glacés']",,,4,0.9 g,en faible quantité,0.2 g,en faible quantité,51 g,en quantité élevée,0.03 g,en faible quantité,,-2%,1305 kj(312 kcal),-2%,+1%,"0,2",+28%,-2%,51,+1%,-12%,"0,03",-20%,"0,012",-20%,10,-15%,C,-15%,,,,,,,,,,,,,,,,
