,name,bar_code,labels,sales_countries,ingredients_list,ingredients_analysis,nutriment_energy-kj_tr,nutriment_energy-kcal_tr,nutriment_fat_tr,nutriment_carbohydrates_tr,nutriment_proteins_tr,eco_score,brand,categories,additives,allergens,nova_score,fats_lipids_quantity,fats_lipids_comment,saturated_acids_quantity,saturated_acids_comment,sugar_quantity,sugar_comment,salt_quantity,salt_comment,nutriment_energy-kj_tr_diff,nutriment_energy-kcal_tr_diff,nutriment_energy_tr,nutriment_energy_tr_diff,nutriment_fat_tr_diff,nutriment_saturated-fat_tr,nutriment_saturated-fat_tr_diff,nutriment_carbohydrates_tr_diff,nutriment_sugars_tr,nutriment_sugars_tr_diff,nutriment_proteins_tr_diff,nutriment_salt_tr,nutriment_salt_tr_diff,nutriment_sodium_tr,nutriment_sodium_tr_diff,nutriment_nutrition-score-fr_tr,nutriment_nutrition-score-fr_tr_diff,nutriment_nutriscore_tr,nutriment_nutriscore_tr_diff,Agriculture,Transformation,Conditionnement,Transport,Distribution,Consommation,Score_ACV,quantity,packaging,ingredients_origins,manufacturing,traceability_code,generic_name,markets,palm_ingredients,link
997,Mousse d'oie au muscat,3760025971910,,['France'],[],[],?,269,"20,21","0,75","19,79",,,,,,,,,,,,,,,,,1125 kj(269 kcal),,,"6,31",,,"0,61",,,"0,9",,"0,36",,,,,,,,,,,,,,,,,,,,,
998,Chips bio aux herbes de provence -  - 120g,3760025972108,"['Bio', 'Bio européen', 'AB Agriculture Biologique']",['France'],[],[],?,600,39,54,6,B,,"['Aliments et boissons à base de végétaux', ""Aliments d'origine végétale"", 'Snacks', 'Céréales et pommes de terre', 'Snacks salés', 'Apéritif', 'Chips et frites', 'Chips', 'Chips de pommes de terre', ""Chips de pommes de terre à l'huile de tournesol""]",,,,39 g,en quantité élevée,4 g,en quantité modérée,0.4 g,en faible quantité,1.02 g,en quantité modérée,,+12%,2510 kj(600 kcal),+12%,+17%,4,+35%,+6%,"0,4",-69%,+2%,"1,02",-23%,"0,408",-23%,14,+28%,D,+28%,62.4%,19.7%,7.4%,7.2%,3.4%,0.0%,78,120 g,,,,,,,,
999,Tapenade noire - Saveurs & tradition du midi,3760025972290,,['France'],"['Olives noires 86%', ""huile d'olive vierge extra"", 'anchois', 'câpres', 'plantes aromatiques,']","['Sans huile de palme', 'Non végétalien', 'Non végétarien']",?,265,28,"0,5","1,7",B,['Saveurs & tradition du midi'],"['Produits à tartiner', 'Produits à tartiner salés', 'Tapenades', 'Tapenades noires']",,['Poisson'],3,28 g,en quantité élevée,3.8 g,en quantité modérée,0.5 g,en faible quantité,3.5 g,en quantité élevée,,-4%,1109 kj(265 kcal),-4%,+4%,"3,8",+8%,-84%,"0,5",+7%,-3%,"3,5",+12%,"1,4",+12%,16,+8%,D,+8%,58.6%,12.7%,16.0%,8.1%,2.7%,1.9%,71,,['Bocal en verre'],,"['66200', 'Corneilla del Vercol', 'PRD']",,,,,
1000,Tapenade noire - Saveurs & tradition du midi,3760025972290,,['France'],"['Olives noires 86%', ""huile d'olive vierge extra"", 'anchois', 'câpres', 'plantes aromatiques,']","['Sans huile de palme', 'Non végétalien', 'Non végétarien']",?,265,28,"0,5","1,7",B,['Saveurs & tradition du midi'],"['Produits à tartiner', 'Produits à tartiner salés', 'Tapenades', 'Tapenades noires']",,['Poisson'],3,28 g,en quantité élevée,3.8 g,en quantité modérée,0.5 g,en faible quantité,3.5 g,en quantité élevée,,-4%,1109 kj(265 kcal),-4%,+4%,"3,8",+8%,-84%,"0,5",+7%,-3%,"3,5",+12%,"1,4",+12%,16,+8%,D,+8%,58.6%,12.7%,16.0%,8.1%,2.7%,1.9%,71,,['Bocal en verre'],,"['66200', 'Corneilla del Vercol', 'PRD']",,,,,
1001,Creme de poivron bio - Saveurs Et Tradition Du Midi,3760025972375,['Bio'],['France'],"['Poivrons* ', '81%', 'tomates séchéesk', '?filliledecolza*', 'sucre ', ""concentré de tomates*' epaiyissan! E415"", ""*ingrédientç ISSUS DE L'AGRICULTURE BIO Conditionné en France""]",[],?,74,"4,1",7,"1,5",,['Saveurs Et Tradition Du Midi'],,,,,,,,,,,,,,,310 kj(74 kcal),,,"0,3",,,"6,9",,,"1,6",,"0,64",,,,,,,,,,,,,,,,,,,,,
1002,Olives Noires Naturelles Bio,3760025972412,"['Bio', 'Fabriqué en France']",['France'],[],[],?,346,"35,2","1,1","1,9",,,,,,,,,,,,,,,,,1448 kj(346 kcal),,,"3,73",,,"0,6",,,"5,95",,"2,38",,,,,,,,,,,,,,,,,,,,,
1003,Olives Noires,3760025972467,['Bio'],['France'],[],[],?,346,"35,2","1,1","1,9",,,,,,,,,,,,,,,,,1448 kj(346 kcal),,,"3,73",,,"0,6",,,"5,95",,"2,38",,,,,,,,,,,,,,,,,,,,,
1004,Olives noires - Saveurs Et Tradition Du Midi,3760025972474,"['Bio', 'Bio européen', 'AB Agriculture Biologique', 'Agriculture UE/Non UE', 'FR-BIO-01']",['France'],"['&TRADITIONDU 235 de des ', 'u', 'les Corneilla del Sercol I']",[],?,346,"35,2","1,1","1,9",,['Saveurs Et Tradition Du Midi'],,,,,,,,,,,,,,,1448 kj(346 kcal),,,"3,73",,,"0,6",,,"5,95",,"2,38",,,,,,,,,,,,,,['Pot'],,,,,,,
1005,Olives farcie à la pâte de poivrons,3760025972535,,['France'],[],[],?,123,"11,4","4,7","0,3",,,,,,,,,,,,,,,,,515 kj(123 kcal),,,"1,82",,,"0,1",,,"4,5",,"1,8",,,,,,,,,,,,,,,,,,,,,
1006,Chips bio au piment d'espelette -,3760025972740,"['Bio', 'Bio européen', 'AB Agriculture Biologique']",['France'],[],[],?,600,39,54,6,B,,"['Aliments et boissons à base de végétaux', ""Aliments d'origine végétale"", 'Snacks', 'Céréales et pommes de terre', 'Snacks salés', 'Apéritif', 'Chips et frites', 'Chips', 'Chips de pommes de terre', 'Chips de pommes de terre aromatisées', ""Chips de pommes de terre à l'huile de tournesol""]",,,,39 g,en quantité élevée,4 g,en quantité modérée,0.4 g,en faible quantité,1.02 g,en quantité modérée,,+14%,2510 kj(600 kcal),+14%,+22%,4,+36%,+5%,"0,4",-83%,-2%,"1,02",-29%,"0,408",-29%,14,+23%,D,+23%,62.4%,19.7%,7.4%,7.2%,3.4%,0.0%,78,,,,,,,,,
1007,Tapenade à l'ancienne -,3760026040004,,['France'],[],[],?,338,"30,3","0,8","14,7",C,,"['Produits à tartiner', 'Produits à tartiner salés', 'Tapenades']",,,,30.3 g,en quantité élevée,3.4 g,en quantité modérée,0.5 g,en faible quantité,8.9 g,en quantité élevée,,+32%,1414 kj(338 kcal),+32%,+22%,"3,4",+1%,-74%,"0,5",-5%,+750%,"8,9",+197%,"3,56",+197%,17,+19%,D,+19%,58.6%,12.7%,16.0%,8.1%,2.7%,1.9%,71,,,,,,,,,
1008,[HUILE OLIVE] vierge france,3760026040011,,['France'],[],[],?,823,"91,59",0,0,,,,,,,,,,,,,,,,,3443 kj(823 kcal),,,"12,6",,,0,,,"0,002",,"0,001",,,,,,,,,,,,,,,,,,,,,
1009,Huile d'Olive Vierge Extra Corse AOP - Secrets de Balagne,3760026040066,"['AOP', 'Point Vert', 'Fabriqué en France', 'Fabriqué en Corse']",['France'],"[""Huile d'olive vierge extra""]","['Sans huile de palme', 'Végétalien', 'Végétarien']",?,?,?,?,?,C,['Secrets de Balagne'],"['Aliments et boissons à base de végétaux', ""Aliments d'origine végétale"", 'Matières grasses', 'Matières grasses végétales', ""Produits de l'olivier"", 'Huiles', ""Huiles d'olive"", ""Huiles d'olive de France"", ""Huiles d'olive vierges"", ""Huiles d'olive vierges extra"", ""Huile d'olive de Corse""]",,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,88.1%,4.5%,3.6%,2.0%,1.7%,0.0%,47,,"['Bouteille', 'Verre']",,"['Corse', 'France']",,Huile d'Olive Vierge Extra Corse AOP,,,
1010,Oliu di Corsica - Huile d'olive vierge extra,3760026040080,,['France'],[],[],?,823,"91,59",0,0,D,,"['Aliments et boissons à base de végétaux', ""Aliments d'origine végétale"", 'Matières grasses', 'Matières grasses végétales', ""Produits de l'olivier"", 'Huiles', ""Huiles d'olive"", ""Huiles d'olive vierges"", ""Huiles d'olive vierges extra""]",,,,91.6 g,en quantité élevée,12.6 g,en quantité élevée,0 g,en faible quantité,0.0025 g,en faible quantité,,-4%,3443 kj(823 kcal),-4%,-4%,"12,6",-10%,,0,,,"0,002",+4860%,"0,001",+4860%,6,-2%,C,-2%,88.1%,4.5%,3.6%,2.0%,1.7%,0.0%,47,,,,,,,,,
1011,Oliu di Corsica,3760026040103,['Point Vert'],['France'],[],[],?,823,"91,59",0,0,,,,,,,,,,,,,,,,,3443 kj(823 kcal),,,"12,6",,,0,,,"0,002",,"0,001",,,,,,,,,,,,,,,,,,,,,
1012,Fricassée,3760026060330,,['France'],[],[],?,1,1,1,0,,,,,,,,,,,,,,,,,4 kj(1 kcal),,,1,,,0,,,0,,0,,,,,,,,,,,,,,,,,,,,,
1013,3760026101729,3760026101729,,['France'],[],[],?,?,?,?,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1014,Pain d'amandes,3760026140032,['Bio'],['France'],[],[],?,461,"25,7","46,3","9,1",,,,,,,,,,,,,,,,,1929 kj(461 kcal),,,"9,4",,,"22,9",,,"0,58",,"0,232",,,,,,,,,,,,,,,,,,,,,
1015,La Baguette Bio,3760026141046,['Bio'],['France'],[],[],?,0,"1,2",49,"8,2",,,,,,,,,,,,,,,,,0 kj(0 kcal),,,0,,,"1,5",,,"0,001",,"0,001",,,,,,,,,,,,,,,,,,,,,
1016,Brioche pur beurre,3760026141237,['en:gluten-free'],['France'],[],[],?,407,"23,8","41,66","5,46",C,,"['Snacks', 'Snacks sucrés', 'Viennoiseries', 'Brioches', 'Brioches pur beurre']",,,,23.8 g,en quantité élevée,15 g,en quantité élevée,11.3 g,en quantité modérée,1.03 g,en quantité modérée,,+12%,1703 kj(407 kcal),+12%,+74%,"15,04",+72%,-19%,"11,31",-18%,-33%,"1,03",+6%,"0,412",+6%,21,+19%,E,+19%,81.5%,11.5%,4.5%,2.1%,0.3%,0.0%,56,,,,,,,,,
1017,Pain frais provençal tomates séchées et olives noire,3760026141312,"['Bio', 'en:gluten-free', 'Sans colorants', 'Sans conservateurs', 'en:palm-oil-free']",['France'],[],['Sans huile de palme'],?,238,"8,8","33,9",4,,,,,,,,,,,,,,,,,996 kj(238 kcal),,,"1,5",,,"2,9",,,"1,74",,"0,696",,,,,,,,,,,,,,,,,,,,,
1018,Cake au citron - Maître Panis,3760026141329,"['Bio', 'Bio européen', 'en:gluten-free', 'Agriculture UE/Non UE', 'FR-BIO-01', 'Sans colorants', 'Sans conservateurs', 'en:palm-oil-free']",['France'],[],['Sans huile de palme'],?,433,"19,28","57,12","6,18",,['Maître Panis'],"['Snacks', 'Snacks sucrés', 'Biscuits et gâteaux', 'Gâteaux', 'Cakes au citron']",,,,19.3 g,en quantité modérée,10.6 g,en quantité élevée,34.5 g,en quantité élevée,0.34 g,en quantité modérée,,+8%,1812 kj(433 kcal),+8%,-3%,"10,59",+35%,+19%,"34,45",+21%,+3%,"0,34",-27%,"0,136",-27%,23,+24%,E,+24%,,,,,,,,,,,,,,,,
1019,Cookies chocolat,3760026141374,"['Bio', 'Bio européen', 'en:gluten-free', 'Agriculture UE/Non UE', 'FR-BIO-01']",['France'],[],[],?,533,33,52,"4,2",C,,"['Snacks', 'Snacks sucrés', 'Biscuits et gâteaux', 'Biscuits', 'Biscuits au chocolat']",,,,33 g,en quantité élevée,17 g,en quantité élevée,28 g,en quantité élevée,0.53 g,en quantité modérée,,+8%,2230 kj(533 kcal),+8%,+41%,17,+44%,-17%,28,-14%,-36%,"0,53",-4%,"0,212",-4%,24,+12%,E,+12%,84.4%,9.1%,2.7%,2.2%,1.6%,0.0%,46,,,,,,,,,
1020,Macarons amande,3760026141381,"['Bio', 'Bio européen', 'en:gluten-free', 'Agriculture UE/Non UE', 'FR-BIO-01']",['France'],[],[],?,496,26,51,13,,,"['Snacks', 'Snacks sucrés']",,,,26 g,en quantité élevée,2.5 g,en quantité modérée,48 g,en quantité élevée,0.02 g,en faible quantité,,+11%,2075 kj(496 kcal),+10%,+28%,"2,5",-75%,-11%,48,+35%,+118%,"0,02",-95%,"0,008",-95%,18,-5%,D,-5%,,,,,,,,,,,,,,,,
1021,Macarons chocolat - Maitre Panis,3760026141398,"['Bio', 'en:gluten-free', 'Agriculture UE/Non UE']",['France'],"['Amandes* 41%', 'sucre de canne roux*', 'œufs*', 'chocolat en poudre* 16%', 'miel*', ""poudre de vanille Bourbon* * Ingrédients issus de l'agriculture biologique""]","['Sans huile de palme', 'Non végétalien', 'Végétarien']",?,476,25,47,14,D,['Maitre Panis'],"['Desserts', 'Biscuits et gâteaux', 'Pâtisseries', 'Macarons']",,"['Œufs', 'Fruits à coque']",3,25 g,en quantité élevée,2.8 g,en quantité modérée,45 g,en quantité élevée,0.02 g,en faible quantité,,+12%,1992 kj(476 kcal),+12%,+40%,"2,8",-38%,-15%,45,-11%,+63%,"0,02",-86%,"0,008",-86%,10,-43%,C,-43%,88.9%,5.7%,2.0%,2.2%,1.2%,0.0%,37,,,,,,,,,
1022,Integral 500gr - 500g,3760026141503,"['Bio', 'Bio européen', 'FR-BIO-01']",['France'],[],[],?,252,"1,5","48,2","8,6",,,,,,,,,,,,,,,,,1054 kj(252 kcal),,,"0,2",,,"2,4",,,"1,12",,"0,448",,,,,,,,,,,,,500 g,,,,,,,,
1023,Pain integral,3760026141800,['Bio'],['France'],[],[],?,252,"1,5","48,2","8,6",,,,,,,,,,,,,,,,,1054 kj(252 kcal),,,"0,2",,,"2,4",,,"1,12",,"0,448",,,,,,,,,,,,,,,,,,,,,
1024,Pain au levain,3760026143705,"['Bio', 'Bio européen', 'FR-BIO-01']",['France'],[],[],?,285,"1,5","58,4","7,5",,,,,,,,,,,,,,,,,1192 kj(285 kcal),,,"0,2",,,"3,1",,,"1,13",,"0,452",,,,,,,,,,,,,,,,,,,,,
1025,Pain de Campagne Biologique au Levain - Fournil de Bernis - 1kg,3760026144306,"['Bio', 'Bio européen', 'FR-BIO-01']",['France'],"['Farine de blé T110*', 'gluten', 'Eau', 'Levain ', 'Farine de blé T80*_', 'gluten', ',_eau', 'sel', 'sel']",[],1104,?,"1,1",52,"8,4",,['Fournil de Bernis'],"['Aliments et boissons à base de végétaux', ""Aliments d'origine végétale"", 'Céréales et pommes de terre', 'Pains', 'Pains de campagne', 'Pains au levain']",,['Gluten'],4,1.1 g,en faible quantité,0.2 g,en faible quantité,1.4 g,en faible quantité,1.15 g,en quantité modérée,+6%,,1104 kj(264 kcal),-1%,-67%,"0,2",-58%,+8%,"1,4",-30%,+3%,"1,15",-8%,"0,46",-8%,-1,-135%,A,-135%,,,,,,,,1 kg,"['Sacht', 'Papier', 'Plastique']",,,,,,,
1026,Bloc de Foie Gras de Canard - Maison Mitteault - 130g,3760026192352,,['France'],"['Foie Gras de Canard', 'Eau', 'Sel', 'Poivre', 'Sucre', 'Aromates\rConservateur : sel nitrité']","['Non végétalien', 'Non végétarien']",?,529,56,"1,8","5,4",B,['Maison Mitteault'],"['Poissons et viandes et oeufs', 'Foies gras', 'Foies gras de canard', 'Bloc de foie gras']","['E250 - Nitrite de sodium', '', 'Risque élevé de sur-exposition']",,3,56 g,en quantité élevée,26 g,en quantité élevée,1.5 g,en faible quantité,1.3 g,en quantité modérée,,+8%,2213 kj(529 kcal),+8%,+11%,26,+21%,-15%,"1,5",+13%,-12%,"1,3",+7%,"0,52",+7%,21,+3%,E,+3%,70.7%,8.0%,8.5%,7.3%,4.3%,1.2%,89,130 g,['Conserve'],['Poitou-Charentes'],['Chalandray'],"['FR 86.050.002 CE', 'Chalandray (Vienne, France)']",,['DELICEFRANCE.COM'],,https://delicefrance.com/fr/foie-gras/32-foie-gras-canard-entier-180-gr-3760026192352.html
1027,2 Cuisses de Canard confites - Maison Mitteault,3760026192987,,['France'],[],[],?,241,17,0,21,D,['Maison Mitteault'],"['Viandes', 'Plats préparés', 'Produits à la viande', 'Plats préparés à la viande', 'Volailles', 'Plats à la volaille', 'Plats au canard', 'Canards', 'Cuisses de canard confites']",,,,17 g,en quantité modérée,5.4 g,en quantité élevée,0 g,en faible quantité,1.27 g,en quantité modérée,,-9%,1008 kj(241 kcal),-10%,-10%,"5,4",-17%,-100%,0,-100%,-9%,"1,275",-12%,"0,51",-12%,13,-6%,D,-6%,83.0%,9.4%,2.7%,2.7%,1.4%,0.9%,37,,,,,,,,,
1028,Cuisse de canard,3760026195025,,['France'],[],[],?,193,11,"0,5",23,D,,"['Viandes', 'Volailles', 'Canards', 'Cuisses de canard']",,,,11 g,en quantité modérée,3.3 g,en quantité modérée,0.1 g,en faible quantité,1.6 g,en quantité élevée,,-19%,808 kj(193 kcal),-19%,-33%,"3,3",-38%,+10%,"0,1",-41%,+7%,"1,6",+16%,"0,64",+16%,12,+13%,D,+13%,83.0%,9.4%,2.7%,2.7%,1.4%,0.9%,37,,,,,,,,,
1029,Pâté au foie de canard at aux chataigne,3760026195087,,['France'],[],[],?,257,21,"3,8",11,,,,,,,,,,,,,,,,,1075 kj(257 kcal),,,10,,,"0,8",,,"1,3",,"0,52",,,,,,,,,,,,,,,,,,,,,
1030,Saucisses de canard - Maison Mitteault,3760026196695,['Fabriqué en France'],['France'],"['Viande de canard 65% Origine ', ' France', 'porc ', 'gras et viande', ' Origine: France', 'eau', 'sel', 'vinaigre', 'épices', 'plantes aromatiques', 'boyau naturel de porc']","['Non végétalien', 'Non végétarien']",?,251,19,"0,3",19,E,['Maison Mitteault'],"['Viandes', 'Plats préparés', 'Charcuteries', 'Produits à la viande', 'Saucisses', 'Plats préparés à la viande', 'Volailles', 'Plats à la volaille', 'Plats au canard', 'Canards', 'Saucisses de volaille', 'Saucisses de canard']",,,3,19 g,en quantité modérée,6.5 g,en quantité élevée,0 g,en faible quantité,1.6 g,en quantité élevée,,+7%,1050 kj(251 kcal),+7%,+5%,"6,5",-1%,-79%,0,-100%,+22%,"1,6",-12%,"0,64",-12%,16,+5%,D,+5%,88.4%,6.6%,1.6%,0.9%,0.5%,2.0%,17,,"['Frais', 'Plastique']",['France'],['France'],,,,,
1031,Rillons de canard - Maison Mitteault - 180g,3760026196763,,['France'],"['Viande de canard 87% origine France', 'graisse de canard', 'sel', 'poivre']","['Sans huile de palme', 'Non végétalien', 'Non végétarien']",?,653,70,"0,2",19,,['Maison Mitteault'],['Rillons de canard'],,,3,70 g,en quantité élevée,23 g,en quantité élevée,0.2 g,en faible quantité,1.2 g,en quantité modérée,,,2732 kj(653 kcal),,,23,,,"0,2",,,"1,2",,"0,48",,23,,E,,,,,,,,,180 g,"['Bocal', 'Verre']",['France'],"['France', '86190 Chalandray']","['FR 86.050.002 CE', 'Chalandray (Vienne, France)']",Rillons de canard,,,http://www.maisonmitteault.com/nos-produits/canard/conserves
1032,Torsades,3760026197029,"['Sans colorants', 'Sans conservateurs']",['France'],[],[],?,360,2,72,12,C,,"['Aliments et boissons à base de végétaux', ""Aliments d'origine végétale"", 'Céréales et pommes de terre', 'Céréales et dérivés', 'Pâtes alimentaires', 'Pâtes sèches', 'Pâtes de blé dur', 'Torsades']",,,,2 g,en faible quantité,0.3 g,en faible quantité,2 g,en faible quantité,0.01 g,en faible quantité,,+2%,1506 kj(360 kcal),+2%,+2%,"0,3",-28%,+6%,2,-28%,-2%,"0,01",-62%,"0,004",-62%,-1,,A,,65.0%,21.6%,6.8%,3.5%,3.1%,0.0%,74,,,,,,,,,
1033,Effiloche de canard confit au foie gras,3760026198378,,['France'],[],[],?,208,"14,5","10,9","8,5",,,,,,,,,,,,,,,,,870 kj(208 kcal),,,"8,7",,,"0,5",,,"0,6",,"0,24",,,,,,,,,,,,,,,,,,,,,
1034,Cidre bouché cru de Bruquedalle - EARL Ancel - 75cl,3760026290102,,['France'],[],[],?,?,?,?,?,D,['EARL Ancel'],"['Boissons', 'Boissons alcoolisées', 'Cidres', 'Cidre fermier']",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,31.6%,5.6%,37.9%,16.7%,6.5%,1.8%,53,75cl,,,,,,,,
1035,Ultra  premium -  - 250g,3760026300566,,['France'],[],[],?,?,?,?,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,250g,,,,,,,,
1036,Croquets au pineau,3760026321004,,['France'],[],[],?,384,0,88,"4,3",,,,,,,,,,,,,,,,,1607 kj(384 kcal),,,0,,,71,,,"0,09",,"0,036",,,,,,,,,,,,,,,,,,,,,
1037,Biscuiterie de Fort Boyard,3760026321028,,['France'],[],[],?,370,0,88,4,,,,,,,,,,,,,,,,,1548 kj(370 kcal),,,0,,,71,,,"1,7",,"0,68",,,,,,,,,,,,,,,,,,,,,
1038,Sunny Break,3760026350387,"['en:gluten-free', 'Sans arômes artificiels', 'Fabriqué en France', 'Sans sucre ajouté', 'Sans colorants', 'Sans conservateurs']",['France'],[],[],?,56,"0,1","13,7","0,4",,,,,,,,,,,,,,,,,234 kj(56 kcal),,,"0,1",,,"11,5",,,,,,,,,,,,,,,,,,,,,,,,,,
1039,Energy break - NuTronic,3760026350394,['en:gluten-free'],['France'],[],[],?,59,"0,2","13,4","0,5",,['NuTronic'],,,,,,,,,,,,,,,247 kj(59 kcal),,,"0,1",,,"10,7",,,0,,0,,,,,,,,,,,,,,,,,,,,,
1040,Creme de marrons - Marc Dutheil,3760026360010,"['Bio', 'Bio européen', 'Bio-Cohérence']",['France'],[],[],1130,1130,"0,6",63,1,B,['Marc Dutheil'],"['Aliments et boissons à base de végétaux', ""Aliments d'origine végétale"", 'Produits à tartiner', 'Fruits à coques et dérivés', 'Pâtes à tartiner végétales', 'Crèmes de marrons']",,,,0.6 g,en faible quantité,0.1 g,en faible quantité,51.5 g,en quantité élevée,0.03 g,en faible quantité,+8%,+350%,1130 kj(1130 kcal),+8%,-20%,"0,1",-31%,+5%,"51,5",+3%,-9%,"0,03",+60%,"0,012",+60%,12,+4%,D,+4%,66.1%,22.5%,5.7%,3.0%,2.6%,0.0%,66,,,,,,,,,
1041,Mini Moelleux au Citron - Préférés d'Amandine - 180g,3760026380636,['Fabriqué en France'],['France'],[],[],?,425,23,46,"7,5",,"[""Préférés d'Amandine""]","['Snacks', 'Snacks sucrés', 'Biscuits et gâteaux', 'Gâteaux']",,,,23 g,en quantité élevée,12 g,en quantité élevée,30 g,en quantité élevée,0.25 g,en faible quantité,,+5%,1778 kj(425 kcal),+6%,+18%,12,+57%,-7%,30,+8%,+38%,"0,25",-59%,"0,1",-59%,21,+17%,E,+17%,,,,,,,,180 g,"['Sachet', 'Plastique']",,['France'],"['EMB 23040', 'Celle-sous-Gouzon (Creuse, France)']",,,,
1042,Mini moelleux au chocolat,3760026380643,,['France'],[],[],?,446,26,43,"8,4",D,,"['Biscuits et gâteaux', 'Gâteaux', 'Gâteaux au chocolat', 'Moelleux au chocolat']",,,,26 g,en quantité élevée,13 g,en quantité élevée,30 g,en quantité élevée,0.19 g,en faible quantité,,+4%,1866 kj(446 kcal),+5%,+6%,13,+34%,-0%,30,-5%,+38%,"0,19",-48%,"0,076",-48%,21,+9%,E,+9%,83.9%,9.8%,1.9%,2.9%,1.1%,0.3%,36,,,,,,,,,
1043,Cake aux abricots,3760026380780,,['France'],[],[],?,359,13,58,"4,7",,,,,,,,,,,,,,,,,1502 kj(359 kcal),,,"1,6",,,36,,,"0,13",,"0,052",,,,,,,,,,,,,,,,,,,,,
1044,Mignardises au miel de Provence - douceurs de notre enfance - 150g,3760026380858,,['France'],"[""blanc d'oeufs"", 'sucre de canne', 'beurre 18 %', ""poudre d'amande 14,5 %"", 'farine de blé', 'stabilisant : sorbitol', 'miel de Provence 2,4%', 'arôme naturel de miel', 'oeufs', 'poudres à lever : carbonates diphosphates de sodium', 'sel', 'amidon de blé', 'arôme ', 'contient alcool']",['Non végétalien'],?,456,27,43,"9,1",,['douceurs de notre enfance'],,"['E420 - Sorbitol', 'E502 - Carbonates']","['Œufs', 'Gluten', 'Lait']",4,,,,,,,,,,,1908 kj(456 kcal),,,14,,,31,,,"0,4",,"0,16",,,,,,,,,,,,,150g,['sachets individuels'],,,,,,,
1045,Madeleine à partager,3760026380971,,['France'],[],[],?,413,22,48,"6,4",B,,"['Biscuits et gâteaux', 'Gâteaux', 'Madeleines']",,,,22 g,en quantité élevée,9.6 g,en quantité élevée,20 g,en quantité élevée,0.95 g,en quantité modérée,,-6%,1728 kj(413 kcal),-6%,-4%,"9,6",+39%,-9%,20,-27%,+13%,"0,95",+17%,"0,38",+17%,22,+20%,E,+20%,73.9%,13.5%,6.0%,3.4%,3.2%,0.0%,75,,,,,,,,,
1046,Gâteaux moelleux yaourt au citron Comtes de la Marche - Les Comptes De La Marche,3760026381091,,['France'],"['de canne GAVEAU AU YAOURT ET CITRON ln', 'redtents : Sucre roux de canne 279%', 'œufs entiers', 'yaourt nature maigne brassé 14,8%', 'farine de blé', ""poudre d'amandes 11,89%"", 'huile de tournesol', 'citron confit avec son jus 3,6% ', 'citron 1,900', 'sucre', 'acidifiant : E330', 'antioxydant : E300', 'humectant : glycérol', 'poudres à lever ', 'd:phosphates et carbonates de sodium', 'amidon de blé', 'arôme naturel de citron', 'arôme ', 'contient Gjcool', ' Traces poss\\5Yes d±utres fruits à coque', 'de soja et de graines de sésame']",['Non végétalien'],?,378,17,48,"8,1",,['Les Comptes De La Marche'],"['Snacks', 'Snacks sucrés', 'Biscuits et gâteaux', 'Gâteaux']","['E330 - Acide citrique', 'E300 - Acide ascorbique', 'E422 - Glycérol', 'E339 - Phosphates de sodium', '', 'Risque élevé de sur-exposition', 'E500 - Carbonates de sodium']","['Gluten', 'Lait']",4,17 g,en quantité modérée,1.8 g,en quantité modérée,32 g,en quantité élevée,0.35 g,en quantité modérée,,-6%,1582 kj(378 kcal),-6%,-13%,"1,8",-76%,-3%,32,+15%,+49%,"0,35",-42%,"0,14",-42%,11,-39%,D,-39%,,,,,,,,,,,,,,,,
1047,Mini moelleux chocolat - Les Comtes De La Marche - 135g,3760026381169,,['France'],"[""blanc d'?ufs"", 'sucre coux de canne', 'beurre', ""poudre d'amandes"", 'farine de blé', 'chocolat ', 'non UE', ' 9% ', 'pâte de cacao', 'sucre', 'cacao maigre en poudre', 'émulsifiant : lécithines de soja', 'humectant : glycérol', 'sirop de glucose-fmctose', 'poudre de cacao', 'oeufs entiers', 'sel', 'poudres à lever : diphosphates et carbonates de sodium', 'amidon de blé', "" Traces possible d'autres fruits à coque e de graines de sésame""]",['Non végétalien'],?,441,"25,6","42,5","8,4",,['Les Comtes De La Marche'],,"['E322i - Lécithine', 'E422 - Glycérol', 'E450i - Pyrophosphate de sodium acide', 'E500 - Carbonates de sodium']","['Gluten', 'Lait']",4,,,,,,,,,,,1845 kj(441 kcal),,,"13,1",,,"29,7",,,"0,19",,"0,076",,,,,,,,,,,,,135 g,,,,,,,,
1048,Moelleux citron - Les Comtes De La Marche,3760026381176,,['France'],[],[],?,427,"23,2",46,"7,5",,['Les Comtes De La Marche'],,,,,,,,,,,,,,,1787 kj(427 kcal),,,"11,9",,,"30,3",,,"0,25",,"0,1",,,,,,,,,,,,,,,,,,,,,
