,name,bar_code,sales_countries,ingredients_list,ingredients_analysis,nutriment_energy-kj_tr,nutriment_energy-kcal_tr,nutriment_fat_tr,nutriment_carbohydrates_tr,nutriment_proteins_tr,eco_score,categories,fats_lipids_quantity,fats_lipids_comment,saturated_acids_quantity,saturated_acids_comment,sugar_quantity,sugar_comment,salt_quantity,salt_comment,nutriment_energy-kj_tr_diff,nutriment_energy-kcal_tr_diff,nutriment_energy_tr,nutriment_energy_tr_diff,nutriment_fat_tr_diff,nutriment_saturated-fat_tr,nutriment_saturated-fat_tr_diff,nutriment_carbohydrates_tr_diff,nutriment_sugars_tr,nutriment_sugars_tr_diff,nutriment_proteins_tr_diff,nutriment_salt_tr,nutriment_salt_tr_diff,nutriment_sodium_tr,nutriment_sodium_tr_diff,nutriment_nutrition-score-fr_tr,nutriment_nutrition-score-fr_tr_diff,nutriment_nutriscore_tr,nutriment_nutriscore_tr_diff,Agriculture,Transformation,Conditionnement,Transport,Distribution,Consommation,Score_ACV,packaging,brand,labels,ingredients_origins,manufacturing,traceability_code,markets,quantity,link,additives,allergens,nova_score,palm_ingredients,generic_name,brand_owner,origin_detail
909,La ferme kerlenat,3723488261318,['France'],[],[],?,0,80,0,0,,,,,,,,,,,,,0 kj(0 kcal),,,0,,,0,,,3,,"1,2",,,,,,,,,,,,,,,,,,,,,,,,,,,,
910,Chaussons aux pommes,0201374011481,['France'],[],[],?,?,?,?,?,B,"['Snacks', 'Snacks sucrés', 'Viennoiseries', 'Chaussons aux pommes']",,,,,,,0 g,en faible quantité,,,,,,,,,,,,0,-100%,0,-100%,,,,,75.3%,14.7%,6.1%,3.4%,0.5%,0.0%,75,,,,,,,,,,,,,,,,
911,Bottled drinking water - Star,6291010701368,['France'],[],[],?,?,?,?,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,['Bottle'],['Star'],,,,,,,,,,,,,,
912,Nectar de banane -,3256228434166,['France'],[],[],?,33,"0,5","7,8","0,5",C,"['Aliments et boissons à base de végétaux', 'Boissons', 'Boissons à base de végétaux', 'Boissons aux fruits', 'Jus et nectars', 'Nectars de fruits', 'Nectars de banane']",0.5 g,en faible quantité,0.1 g,en faible quantité,7.8 g,en quantité élevée,,,,-35%,138 kj(33 kcal),-35%,+130%,"0,1",+200%,-34%,"7,8",-31%,+60%,,,,,,,,,58.5%,3.8%,10.1%,20.0%,6.0%,1.7%,51,,,"['Bio', 'Bio européen', 'Nutriscore', 'Nutriscore D', 'AB Agriculture Biologique']",,,,,,,,,,,,,
913,Conf. Pesca Gr.360,8001395001728,['France'],[],[],?,188,"0,3",43,"0,7",,,,,,,,,,,,,787 kj(188 kcal),,,0,,,40,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
914,Fantasie del mattino mordilight biscotti senza,8005121214536,['France'],[],[],?,300,0,"71,1","8,5",,,,,,,,,,,,,1255 kj(300 kcal),,,0,,,"3,8",,,"0,57",,"0,228",,,,,,,,,,,,,,,,,,,,,,,,,,,,
915,Matin fruité - Les Fruisettes - 1l,3760247832198,['France'],"[""Jus d'ananas 33%"", 'jus de pomme 30%', ""jus d'orange 20%"", 'purée de banane 10%', 'jus de carotte 5%', 'purée de mangue 2%', 'acide ascorbique']","['Sans huile de palme', 'Végétalien', 'Végétarien']",?,53,"0,1","12,4","0,5",D,"['Aliments et boissons à base de végétaux', 'Boissons', 'Boissons à base de végétaux', 'Boissons aux fruits', 'Jus et nectars', 'Jus de fruits', 'Jus multifruits', 'Jus de fruits frais', 'Jus de fruits pur jus', 'Jus multifruits frais', 'Jus multifruits pur jus']",0.1 g,en faible quantité,0 g,en faible quantité,11.2 g,en quantité élevée,0.026 g,en faible quantité,,+15%,222 kj(53 kcal),+16%,-55%,0,-100%,+18%,"11,2",+22%,+14%,"0,026",+199%,"0,01",+199%,6,+81%,D,+81%,58.5%,3.8%,10.1%,20.0%,6.0%,1.7%,51,"['Bouteille plastique', 'bouchon plastique']",['Les Fruisettes'],['Pur jus'],,,,,1 l,,,,1,,,,
916,Poires xenia,3661218203842,['France'],[],[],?,?,?,?,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
917,Jus de citron,29006250,['France'],[],[],?,0,"0,03",2,"0,4",,,,,,,,,,,,,0 kj(0 kcal),,,0,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
918,Formaggini biologici,8001120595034,['France'],[],[],?,894,14,"9,5",14,,,,,,,,,,,,,3740 kj(894 kcal),,,"8,2",,,"7,6",,,"1,7",,"0,68",,,,,,,,,,,,,,,,,,,,,,,,,,,,
919,Tisane fruitee minceur,3760325060802,['France'],[],[],?,3,"0,5","0,5","0,5",,,,,,,,,,,,,13 kj(3 kcal),,,"0,5",,,"0,5",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
920,Tisane fruitee brule graisse,3760325061106,['France'],[],[],?,3,"0,5","0,5","0,5",,,,,,,,,,,,,13 kj(3 kcal),,,"0,5",,,"0,5",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
921,Tisane queue de cerise,3760325061083,['France'],[],[],?,3,"0,5","0,5","0,5",,,,,,,,,,,,,13 kj(3 kcal),,,"0,5",,,"0,5",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
922,Donuts Chocolat x 4,3478920010701,['France'],[],[],?,475,30,45,"5,3",D,"['Biscuits et gâteaux', 'Gâteaux', 'Donuts', 'Beignets fourrés au chocolat']",30 g,en quantité élevée,14 g,en quantité élevée,24 g,en quantité élevée,0.75 g,en quantité modérée,,+9%,1987 kj(475 kcal),+10%,+15%,14,+11%,+6%,24,+53%,-18%,"0,75",-28%,"0,3",-28%,23,+7%,E,+7%,77.1%,13.7%,3.6%,3.5%,1.9%,0.0%,52,,,,,,,,,,,,,,,,
923,Miel de forêt des Pyrénées,3375420001393,['France'],[],[],?,?,?,?,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
924,Gazpacho - Casino Bio,3222477637535,['France'],[],[],?,43,"2,7","3,5","0,5",,,,,,,,,,,,,180 kj(43 kcal),,,"0,4",,,"3,3",,,"0,75",,"0,3",,,,,,,,,,,,,,['Casino Bio'],"['Nutriscore', 'Nutriscore A']",,,,,,,,,,,,,
925,Confiture la Corsaire,3760269640719,['France'],[],[],?,?,?,?,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
926,CHOCOLATE MILK SHAKE ONLINE - STERILGARDA MERENDIX LATT,8002795001868,['France'],[],[],?,84,"1,7",13,"3,6",,,,,,,,,,,,,351 kj(84 kcal),,,"1,24",,,13,,,"0,1",,"0,04",,,,,,,,,,,,,,,,,,,,,,,,,,,,
927,banofee,3383670002152,['France'],[],[],?,325,3,"62,5","6,5",,,,,,,,,,,,,1360 kj(325 kcal),,,"2,02",,,"55,3",,,"0,26",,"0,104",,,,,,,,,,,,,,,,,,,,,,,,,,,,
928,Pom’Potes 5 fruits,3021760406540,['France'],[],[],?,63,"0,5",12,"0,5",,,,,,,,,,,,,264 kj(63 kcal),,,"0,2",,,11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
929,Croquettes Smilla stérile,4260358512853,['France'],[],[],?,?,?,?,?,,,,,,,,,,,,,,,,,,,,,,0,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
930,Frutti apple,8026985002602,['France'],[],[],?,46,"0,1",11,"0,1",,,,,,,,,,,,,192 kj(46 kcal),,,"0,02",,,"10,5",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
931,Lait entier pasteurisé,3760251940070,['France'],[],[],?,64,"3,6","4,8","3,2",,,,,,,,,,,,,268 kj(64 kcal),,,"2,4",,,"4,8",,,0,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
932,Genmacha,5954159449362,['France'],[],[],?,1,0,"0,2","0,1",,,,,,,,,,,,,4 kj(1 kcal),,,0,,,0,,,0,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
933,Olives noires dénoyautées,3471030003069,['France'],[],[],?,134,14,0,"0,5",,,,,,,,,,,,,561 kj(134 kcal),,,"2,2",,,0,,,"1,5",,"0,6",,,,,,,,,,,,,,,,,,,,,,,,,,,,
934,Confiture cassis extra - Côteaux Nantais,3301595002415,['France'],[],[],?,268,"0,6",61,1,D,"['Aliments et boissons à base de végétaux', ""Aliments d'origine végétale"", 'Produits à tartiner', 'Petit-déjeuners', 'Pâtes à tartiner végétales', 'Produits à tartiner sucrés', 'Confitures et marmelades', 'Confitures', 'Confitures de fruits rouges', 'Confitures de mûres']",0.6 g,en faible quantité,0 g,en faible quantité,60 g,en quantité élevée,,,,+16%,1121 kj(268 kcal),+16%,+113%,0,-100%,+10%,60,+14%,+68%,,,,,,,,,75.0%,7.5%,10.3%,5.1%,1.7%,0.4%,50,,['Côteaux Nantais'],,,,,,,,,,,,,,
935,Cantal jeune,2135072001889,['France'],[],[],?,364,29,"1,7",24,,,,,,,,,,,,,1523 kj(364 kcal),,,20,,,0,,,"1,7",,"0,68",,,,,,,,,,,,,,,,,,,,,,,,,,,,
936,Risotto vital cacao,8001860199783,['France'],[],[],?,482,20,66,"7,8",,,,,,,,,,,,,2017 kj(482 kcal),,,"4,2",,,20,,,"0,41",,"0,164",,,,,,,,,,,,,,,,,,,,,,,,,,,,
937,Aiguillettes poulet fermier,0217283039553,['France'],[],[],?,138,"5,9",0,20,,,,,,,,,,,,,577 kj(138 kcal),,,"1,7",,,0,,,"0,15",,"0,06",,,,,,,,,,,,,['Film en plastique'],,,,,,,,,,,,,,,
938,Risotto aux asperges,8018370006371,['France'],[],[],?,399,"0,5","8,9","8,2",,,,,,,,,,,,,1669 kj(399 kcal),,,"0,1",,,"1,1",,,0,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
939,Chipolatas,2856003024660,['France'],[],[],?,49,"1,86",0,"1,1",E,"['Viandes', 'Charcuteries', 'Saucisses', 'Saucisses françaises', 'Chipolatas']",1.86 g,en faible quantité,0.65 g,en faible quantité,0 g,en faible quantité,0.1 g,en faible quantité,,-79%,205 kj(49 kcal),-80%,-90%,"0,65",-91%,-100%,0,-100%,-93%,"0,1",-94%,"0,04",-94%,0,-100%,B,-100%,86.2%,9.9%,1.8%,1.2%,0.7%,0.2%,24,,,,,,"['FR 80.805.001 CE', 'Villers-Tournelle (Somme, France)', 'FR 30.305.001 CE', 'Salindres (Gard, France)']",,,,,,,,,,
940,Crépinettes,2856004020739,['France'],[],[],?,30,"20,99","5,2","15,25",,,,,,,,,,,,,126 kj(30 kcal),,,"7,79",,,0,,,"0,14",,"0,056",,,,,,,,,,,,,,,,,,,,,,,,,,,,
941,"Savini Tartufaio, Trufflesauce 212 ML",8026379000528,['France'],[],[],?,163,"11,6",8,"2,6",,,,,,,,,,,,,682 kj(163 kcal),,,"4,4",,,"7,8",,,"1,02",,"0,408",,,,,,,,,,,,,,,,,,,,,,,,,,,,
942,Curry,26098333,['France'],[],[],?,?,?,?,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
943,Lait,7640153868794,['France'],[],[],?,46,"3,2","4,8","1,6",,,,,,,,,,,,,192 kj(46 kcal),,,0,,,"4,8",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
944,5586120335543,5586120335543,['France'],[],[],?,?,?,?,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
945,3760067670024,3760067670024,['France'],[],[],?,?,?,?,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
946,Préparation pour 20 cookies aux pépites de chocolat,3760312180186,['France'],[],[],?,?,?,?,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
947,Pieds paquets,3700630101098,['France'],[],[],?,281,22,"0,5",21,,,,,,,,,,,,,1176 kj(281 kcal),,,"5,5",,,"0,2",,,"0,26",,"0,104",,,,,,,,,,,,,,,,,,,,,,,,,,,,
948,Pâtes TORTI - Auchan,3596710490585,['France'],[],[],?,355,"1,9",70,13,,,,,,,,,,,,,1485 kj(355 kcal),,,"0,3",,,"4,5",,,,,,,,,,,,,,,,,,,['Auchan'],,,,,['Auchan'],,,,,,,,,
949,Le patatine sarde classiche,8023219101032,['France'],[],[],?,505,"25,2","60,38","7,08",,,,,,,,,,,,,2113 kj(505 kcal),,,"5,57",,,"0,8",,,"0,5",,"0,2",,,,,,,,,,,,,,,,,,,,,,,,,,,,
950,Mozzarella,2006050027873,['France'],[],[],?,248,19,1,18,,,,,,,,,,,,,1038 kj(248 kcal),,,13,,,1,,,"0,5",,"0,2",,,,,,,,,,,,,,,,,,,,,,,,,,,,
951,Granola chocola - Bjorg,3229820801001,['France'],[],[],?,420,13,62,10,B,"['Aliments et boissons à base de végétaux', ""Aliments d'origine végétale"", 'Céréales et pommes de terre', 'Petit-déjeuners', 'Céréales et dérivés', 'Céréales pour petit-déjeuner', 'Mueslis', 'Mueslis au chocolat']",13 g,en quantité modérée,3.1 g,en quantité modérée,12 g,en quantité modérée,0.01 g,en faible quantité,,-5%,1757 kj(420 kcal),-5%,-18%,"3,1",-40%,+1%,12,-37%,+7%,"0,01",-96%,"0,004",-96%,0,-100%,B,-100%,53.5%,25.9%,8.6%,6.8%,5.2%,0.0%,90,,['Bjorg'],"['Bio', 'Bio européen', 'Nutriscore', 'Nutriscore B', 'AB Agriculture Biologique']",,,,,,,,,,,,,
952,Breuss Antioxydant,7618500940103,['France'],[],[],?,45,"0,2","9,2","0,03",,,,,,,,,,,,,188 kj(45 kcal),,,"0,1",,,"0,7",,,8,,"3,2",,,,,,,,,,,,,,,,,,,,,,,,,,,,
953,Pistache Cornets mit Rahmglace,7624841904117,['France'],[],[],?,282,12,39,"4,1",,,,,,,,,,,,,1180 kj(282 kcal),,,"5,3",,,28,,,"0,12",,"0,048",,,,,,,,,,,,,,,,,,,,,,,,,,,,
954,Rainbows white crem decored,8717185472578,['France'],[],[],?,543,"30,9",59,"6,7",,,,,,,,,,,,,2272 kj(543 kcal),,,"19,4",,,"34,5",,,"0,36",,"0,144",,,,,,,,,,,,,,,,,,,,,,,,,,,,
955,Baguette crousti 5 graines,,['France'],[],[],?,?,?,?,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
956,Gallette Pommes de terre,0202124018378,['France'],[],[],?,479,31,43,7,,,,,,,,,,,,,2004 kj(479 kcal),,,23,,,"5,7",,,"1,3",,"0,52",,,,,,,,,,,,,,,,,,,,,,,,,,,,
957,Museli du verger bio,2606452022706,['France'],[],[],?,?,?,?,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
958,Masques,3700769901002,['France'],[],[],?,?,?,?,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
959,Konjac,3401521011945,['France'],[],[],?,?,?,?,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
960,Confiture,3760121215918,['France'],[],[],?,247,"0,1",61,"0,4",,,,,,,,,,,,,1033 kj(247 kcal),,,"0,1",,,60,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
961,Cristal collection stylot,3086123537972,['France'],[],[],?,?,?,?,?,,,,,,,,,,,,,,,,0,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
962,Té Ingles,8711000008010,['France'],[],[],?,1,0,"0,2","0,1",,,,,,,,,,,,,4 kj(1 kcal),,,0,,,0,,,0,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
963,7613312286036,7613312286036,['France'],[],[],?,?,?,?,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
964,Cuisse de poulet,0213402016795,['France'],[],[],?,198,14,"0,3",18,,,,,,,,,,,,,828 kj(198 kcal),,,7,,,0,,,"0,18",,"0,072",,,,,,,,,,,,,,,,,,,,,,,,,,,,
965,Pain pavé epautre,0260082012791,['France'],[],[],?,280,"1,5","48,5","11,1",,,,,,,,,,,,,1172 kj(280 kcal),,,"0,3",,,"1,4",,,"1,3",,"0,52",,,,,,,,,,,,,,,,,,,,,,,,,,,,
966,OSSO BUCCO DE DINDE,3435660736018,['France'],[],[],?,?,?,?,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
967,Yaourt fermier chataigne,3760186690484,['France'],[],[],?,?,?,?,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
968,Marinade provencale,9009861722527,['France'],[],[],?,718,76,"6,3","1,7",,,,,,,,,,,,,3004 kj(718 kcal),,,11,,,3,,,12,,"4,8",,,,,,,,,,,,,,,,,,,,,,,,,,,,
969,Steacks hachés 120 g 15% surgelés,3661019003764,['France'],[],[],?,?,?,?,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"['FR 29.232.039 CE', 'Quimper (Finistère, France)']",,,,,,,,,,
970,Jeera udad papad,8906011410079,['France'],[],[],?,314,"0,6",57,"19,9",,,,,,,,,,,,,1314 kj(314 kcal),,,"0,1",,,0,,,"1,7",,"0,68",,,,,,,,,,,,,,,,,,,,,,,,,,,,
971,Cocktail énergie,3569880002216,['France'],[],[],?,430,"21,15","51,35","6,67",,,,,,,,,,,,,1799 kj(430 kcal),,,"4,11",,,"40,03",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
972,Isot biber,8690906006996,['France'],[],[],?,0,0,0,0,,,,,,,,,,,,,0 kj(0 kcal),,,0,,,0,,,0,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
973,Clear whey isolate,5056379503883,['France'],[],[],?,35,"0,5","0,9",80,,,,,,,,,,,,,146 kj(35 kcal),,,"0,2",,,"0,9",,,"0,1",,"0,04",,,,,,,,,,,,,,,,,,,,,,,,,,,,
974,La Milanese (halal),2839120011539,['France'],[],[],?,225,13,12,15,,,,,,,,,,,,,941 kj(225 kcal),,,"2,2",,,"0,6",,,"1,3",,"0,52",,,,,,,,,,,,,,,,,,,,,,,,,,,,
975,Chocolat Frédéric Blondeel Ecuador 70%,5425033233822,['France'],[],[],?,580,"44,8","29,9","7,6",,,,,,,,,,,,,2427 kj(580 kcal),,,27,,,"26,8",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
976,Mimolette en portion,4400087068690,['France'],[],[],?,308,22,"0,5",27,,,,,,,,,,,,,1289 kj(308 kcal),,,14,,,"0,5",,,"1,8",,"0,72",,,,,,,,,,,,,,,,,,,,,,,,,,,,
977,Fregola asperges oeuf - Seazon,3701456305776,['France'],[],[],?,107.714285714286,4,"11,829","4,857",,,,,,,,,,,,,451 kj(107 kcal),,,"0,886",,,"1,171",,,,,,,,,,,,,,,,,,,['Seazon'],,,,,,,,,,,,,,
978,Crème de tomates séchées et anchois,3760253401319,['France'],[],[],?,434,48,1,"0,6",,,,,,,,,,,,,1816 kj(434 kcal),,,"7,7",,,"0,6",,,"2,5",,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,
979,Rio Mare - Tonno Al Olio Di Oliva 2+1 120G,8004030381476,['France'],[],[],?,403,37,0,17,,,,,,,,,,,,,1686 kj(403 kcal),,,6,,,0,,,"1,1",,"0,44",,,,,,,,,,,,,,,,,,,,,,,,,,,,
980,Riste d’aubergine,3291514123300,['France'],[],[],?,162,15,"5,6","1,2",,,,,,,,,,,,,678 kj(162 kcal),,,"1,7",,,"4,1",,,"0,53",,"0,212",,,,,,,,,,,,,,,,,,,,,,,,,,,,
981,Grenouille,3700887100431,['France'],[],[],?,68,"0,5",0,16,,,,,,,,,,,,,285 kj(68 kcal),,,"0,1",,,0,,,"0,15",,"0,06",,,,,,,,,,,,,,,,,,,,,,,,,,,,
982,BIEN CULTIVES Haricots rouges - D'aucy - 235g,3017800502044,['France'],"['Haricots rouges', 'eau', 'affermissant : chlorure de calcium']","['Sans huile de palme', 'Végétalien', 'Végétarien']",?,99,"0,6",13,"7,3",B,"['Aliments et boissons à base de végétaux', ""Aliments d'origine végétale"", 'Légumineuses et dérivés', 'Conserves', 'Légumineuses', 'Aliments à base de plantes en conserve', 'Légumineuses en conserve', 'Haricots en conserve', 'Haricots rouges en conserve']",0.6 g,en faible quantité,0.2 g,en faible quantité,0.5 g,en faible quantité,0.02 g,en faible quantité,,+11%,414 kj(99 kcal),+12%,-5%,"0,2",+48%,+10%,"0,5",-38%,+29%,"0,02",-97%,"0,008",-97%,-8,,A,,21.5%,38.3%,18.4%,8.4%,5.2%,8.2%,92,,"[""D'aucy""]","['Sans conservateurs', 'Nutriscore', 'Nutriscore A']",['France'],,,,235g,,"['E509 - Chlorure de calcium', '', 'Risque modéré de sur-exposition']",,4,,,,
983,9329598002861,9329598002861,['France'],[],[],?,?,?,?,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
984,Crema di olive nere,8033100321968,['France'],[],[],?,145,"20,7","0,6","1,6",,,,,,,,,,,,,607 kj(145 kcal),,,"1,5",,,"0,6",,,4,,"1,6",,,,,,,,,,,,,,,,,,,,,,,,,,,,
985,Viande Bolognaise - Gaec le bois guillaune - 370g,3389090022596,['France'],[],[],?,?,?,?,?,,"['Produits à la viande', 'Sauces à la viande']",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,['Verre'],['Gaec le bois guillaune'],['en:fabrication artisanale'],['en:pays de Loire'],,,,370 g,,,,,,,,
986,Pizza orientale,2092330037984,['France'],[],[],?,?,?,?,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
987,Cremio box,879763,['France'],[],[],?,175,"7,2",18,"8,5",,,,,,,,,,,,,732 kj(175 kcal),,,"4,4",,,"0,8",,,"0,72",,"0,288",,,,,,,,,,,,,,,,,,,,,,,,,,,,
988,Huile dolive,3770008024199,['France'],[],[],?,?,?,?,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
989,BigBag,84855558,['France'],[],[],?,352,"0,5",83,"3,4",,,,,,,,,,,,,1473 kj(352 kcal),,,"0,1",,,64,,,"0,1",,"0,04",,,,,,,,,,,,,,,,,,,,,,,,,,,,
990,"Petit épeautre bio au cotron confit, œufs pochés - Seazon",3701456316499,['France'],[],[],?,154,7,16,16,,,,,,,,,,,,,644 kj(154 kcal),,,3,,,2,,,1,,"0,4",,,,,,,,,,,,,,['Seazon'],"['Nutriscore', 'Nutriscore A']",,,,,,,,,,,,,
991,"Chocolat noir, éclats de framboise.",3250392934422,['France'],[],[],?,532,"31,9","50,6","5,9",,,,,,,,,,,,,2226 kj(532 kcal),,,"20,5",,,"43,6",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
992,Curcuma,3701262510036,['France'],[],[],?,20,0,0,1,,,,,,,,,,,,,84 kj(20 kcal),,,0,,,0,,,0,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
993,Toasts Grillés Bio à tartiner à souper - L'atelier Bernard Marot,3760280490089,['France'],[],[],?,429,10,"70,1","11,9",,,,,,,,,,,,,1795 kj(429 kcal),,,"5,1",,,"2,5",,,"1,7",,"0,68",,,,,,,,,,,,,,"[""L'atelier Bernard Marot""]",,,,,,,,,,,,,,
994,Legumes et thon,3165950222289,['France'],[],[],?,183,13,"6,5",19,,,,,,,,,,,,,766 kj(183 kcal),,,2,,,2,,,"1,2",,"0,48",,,,,,,,,,,,,,,,,,['MSC-C-53440'],,,,,,,,,,
995,Glace Brownie,3515890501249,['France'],[],[],?,?,?,?,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
996,Jambon cuit supérieur trois noir bio,2210248082395,['France'],[],[],?,?,?,?,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
997,Kanopé Kombucha (gingembre & galanga),3770014887016,['France'],[],[],?,17,"4,4","4,3",0,,,,,,,,,,,,,71 kj(17 kcal),,,"4,4",,,"0,2",,,0,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
998,Cranberries séchées en moitiés,2600298014895,['France'],[],[],?,?,?,?,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
999,Pain complet bio,0219847014372,['France'],[],[],?,224,"1,1",43,"6,5",,,,,,,,,,,,,937 kj(224 kcal),,,"0,2",,,"1,2",,,"0,82",,"0,328",,,,,,,,,,,,,,,,,,,,,,,,,,,,
1000,Tramezzino gourmet,4099200855578,['France'],[],[],?,228,11,22,"8,1",,,,,,,,,,,,,954 kj(228 kcal),,,"1,2",,,"1,8",,,"1,8",,"0,72",,,,,,,,,,,,,,,,,,,,,,,,,,,,
1001,Huile à la truffe noir,8025386024107,['France'],[],[],?,894,99,0,0,,,,,,,,,,,,,3740 kj(894 kcal),,,18,,,0,,,0,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1002,Yaourt nature zu lait ecreme bio,3382323100207,['France'],[],[],?,52,"0,5","6,1","4,8",,,,,,,,,,,,,218 kj(52 kcal),,,"0,1",,,6,,,"0,2",,"0,08",,,,,,,,,,,,,,,"['Bio', 'Bio européen']",,,"['FR 54.452.001 CE', 'Reillon (Meurthe-et-Moselle, France)']",,,,,,,,,,
1003,Cokctail noix,3569880002209,['France'],[],[],?,687,"66,07","7,24","13,95",,,,,,,,,,,,,2874 kj(687 kcal),,,"8,29",,,"3,01",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1004,Jambon cuit superieur,2345334001322,['France'],[],[],?,?,?,?,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1005,Nems porc et sauce nuoc mam,3366760018844,['France'],[],[],?,219,11,23,"6,1",,,,,,,,,,,,,916 kj(219 kcal),,,"2,4",,,"2,7",,,"1,1",,"0,44",,,,,,,,,,,,,,,,,,"['FR 69.243.004 CE', 'Tarare (Rhône, France)']",,,,,,,,,,
1006,Escalope de poulet,2276755021784,['France'],[],[],?,?,?,?,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"['Nutriscore', 'Nutriscore A']",,,,,,,,,,,,,
1007,"Huile de tournesol colza, lin",3245270003536,['France'],[],[],?,900,100,0,0,,,,,,,,,,,,,3766 kj(900 kcal),,,8,,,0,,,0,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1008,Pho noodles stir fryed,8934563227159,['France'],[],[],?,404,"10,6",70,"6,5",,,,,,,,,,,,,1690 kj(404 kcal),,,"4,6",,,"6,4",,,3,,"1,2",,,,,,,,,,,,,,,,,,,,,,,,,,,,
1009,Demi baguette,0260010000005,['France'],[],[],?,335,"1,1",69,"10,3",,,,,,,,,,,,,1402 kj(335 kcal),,,"0,2",,,"0,7",,,"1,8",,"0,72",,,,,,,,,,,,,,,,,,,,,,,,,,,,
1010,Lapin Milka oréo,7622201452407,['France'],[],[],?,?,?,?,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1011,Mélange japonais,2600153038189,['France'],[],[],?,399,"6,9",73,10,,,,,,,,,,,,,1669 kj(399 kcal),,,"1,5",,,"2,6",,,"0,85",,"0,34",,,,,,,,,,,,,,,,,,,,,,,,,,,,
