,name,bar_code,brand,sales_countries,ingredients_list,ingredients_analysis,nutriment_energy-kj_tr,nutriment_energy-kcal_tr,nutriment_energy_tr,nutriment_fat_tr,nutriment_saturated-fat_tr,nutriment_carbohydrates_tr,nutriment_sugars_tr,nutriment_proteins_tr,nutriment_salt_tr,nutriment_sodium_tr,eco_score,quantity,categories,labels,nova_score,fats_lipids_quantity,fats_lipids_comment,saturated_acids_quantity,saturated_acids_comment,sugar_quantity,sugar_comment,salt_quantity,salt_comment,nutriment_energy-kj_tr_diff,nutriment_energy-kcal_tr_diff,nutriment_energy_tr_diff,nutriment_fat_tr_diff,nutriment_saturated-fat_tr_diff,nutriment_carbohydrates_tr_diff,nutriment_sugars_tr_diff,nutriment_proteins_tr_diff,nutriment_salt_tr_diff,nutriment_sodium_tr_diff,nutriment_nutrition-score-fr_tr,nutriment_nutrition-score-fr_tr_diff,nutriment_nutriscore_tr,nutriment_nutriscore_tr_diff,Agriculture,Transformation,Conditionnement,Transport,Distribution,Consommation,Score_ACV,traceability_code,allergens,generic_name,packaging,additives,markets,manufacturing,ingredients_origins,link,palm_ingredients,brand_owner
20,Boudin aux oignons - La bresse - 300g,3100150647012,['La bresse'],['France'],"['Oignons rissolé 29% ', 'oignons', 'saindoux', 'sang frais de porc', 'gras de porc', 'couenne de porc', 'lait', 'crème', ""blanc d'œuf"", 'dextrose', 'sucre', 'vinaigre', 'acidifiant : E325', 'boyau naturel']","['Sans huile de palme', 'Non végétalien', 'Non végétarien']",?,256,1071 kj(256 kcal),?,"8,4",?,"2,9",10,"1,4","0,56",D,300 g,"['Viandes', 'Charcuteries', 'Poissons et viandes et oeufs', 'Abats', 'Boudins', 'Produits tripiers', 'Boudins noirs', 'Boudin noir sauté']",['Viande origine France'],4,,,8.4 g,en quantité élevée,2.9 g,en faible quantité,1.4 g,en quantité modérée,,+5%,+5%,,+7%,,+38%,-7%,-3%,-3%,,,,,87.1%,4.2%,2.1%,1.8%,1.0%,3.9%,35,"['FR 01.405.004 CE', 'Servas (Ain, France)', 'EMB 01405C', 'Servas (Ain, France)']","['Œufs', 'Lait']",Boudin aux oignons,"['Plastique', 'Frais']",['E325 - Lactate de sodium'],['Boucheries André'],,,,,
21,Boudin Aux Oignons - La BRESSE,3100150647845,['La BRESSE'],['France'],"['oignons rissolés 23% ', 'oignons', ' saindoux', 'sang frais de porc', 'gras de porc', ' couenne de porc cuite ', 'couenne', 'vin blancs vinaigre', 'lait', 'fécule de pomme de terre', 'crèmes', 'dextrose', 'sucre', 'sel', 'épices et aromates', ' protéines de lait', 'acidifiant E325', 'boyau naturel de porc', 'Traces possibles de blé', 'œuf', ' noix', ' 0rigine France certifiée VPF']","['Non végétalien', 'Non végétarien']",?,256,1071 kj(256 kcal),21,"8,4","7,4","2,9",10,"1,4","0,56",D,,"['Viandes', 'Charcuteries', 'Poissons et viandes et oeufs', 'Abats', 'Boudins', 'Produits tripiers', 'Boudins noirs', 'Boudin noir sauté', 'Boudins aux oignons']",,4,21 g,en quantité élevée,8.4 g,en quantité élevée,2.9 g,en faible quantité,1.4 g,en quantité modérée,,+8%,+9%,+9%,+19%,+178%,+116%,-23%,-10%,-10%,17,+15%,D,+15%,87.1%,4.2%,2.1%,1.8%,1.0%,3.9%,35,,['Lait'],,,['E325 - Lactate de sodium'],,,,,,
22,Choucroute d’Alsace garie - La Bresse,3100150978352,['La Bresse'],['France'],"['CHOUCROUTE CUISINEE 70% ', 'choucroute blanc d’Alsace', 'sel', 'sucre', 'aromates', 'antioxydant : E300', 'arômes ', 'dont fumée', ' CHARCUTERIE 30% ', 'viande de porc', 'poitrine de porc', 'eau ,sel', 'épices et aromates ', 'Moutarde', 'protéines végétales de blé ', 'protéines de porc', 'sirop de glucose', 'Lactose', 'dextrose', 'conservateurs :E250', 'E316', 'stabilisants: E450', 'E451', 'antioxydants : E300', 'E301', 'exhausteur de goût : E621', 'arômes ', 'fumée', 'colorant: E120 Boyau naturel et collagène - fumé au bois de hêtre']","['Non végétalien', 'Non végétarien']",?,100,418 kj(100 kcal),"8,7","3,4","0,9","0,8","5,1","1,6","0,64",,,,['Fumé au bois de hêtre'],4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"['EMB 01405C', 'Servas (Ain, France)']","['Lait', 'Moutarde']",,,"['E300 - Acide ascorbique', 'E250 - Nitrite de sodium', '', 'Risque élevé de sur-exposition', 'E316 - Érythorbate de sodium', 'E450 - Diphosphates', '', 'Risque élevé de sur-exposition', 'E451 - Triphosphates', '', 'Risque élevé de sur-exposition', 'E301 - Ascorbate de sodium', 'E621 - Glutamate monosodique', '', 'Risque élevé de sur-exposition', 'E120 - Acide carminique']",,,,,,
23,Brochettes pur porc à griller,3100150978796,,['France'],[],[],?,252,1054 kj(252 kcal),"19,62","8,02","1,45","1,45","17,27","1,96","0,784",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
24,"Plateau exotique LA BRESSE, 9 brochettes",3100150978963,,['France'],[],[],?,251,1050 kj(251 kcal),"19,6","7,7","4,1","1,7","14,2","1,9","0,76",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
25,Puree,3100190128519,,['France'],[],[],?,350,1464 kj(350 kcal),"0,8","0,5",75,"2,5","7,4","0,06","0,024",,,"['Plats préparés', 'Purées']",,,0.8 g,en faible quantité,0.5 g,en faible quantité,2.5 g,en faible quantité,0.06 g,en faible quantité,,+113%,+112%,-65%,-59%,+174%,+5%,+83%,-88%,-88%,0,-100%,B,-100%,,,,,,,,,,,,,,,,,,
26,Orange - JFA - 33cl,3100490805080,"['JFA', ""Jus de Fruits d'Alsace""]",['France'],"['Eau', 'sucre', ""jus d'orange à base de concentrés "", '20%', 'acidifiant : acide citrique', 'antioxydant : acide ascorbique']","['Sans huile de palme', 'Végétalien', 'Végétarien']",170,?,170 kj(41 kcal),~ 0,~ 0,10,"9,5",~ 0,"< 0,01","0,004",B,33 cl,"['Aliments et boissons à base de végétaux', 'Boissons', 'Boissons à base de végétaux', 'Boissons aux fruits', ""Boissons à l'orange"", 'Boissons avec sucre ajouté', 'Boissons sans sucre ajouté']","['en:FSC', 'en:fsc-c014047', 'FSC Mix']",3,0 g,en faible quantité,0 g,en faible quantité,9.5 g,en quantité élevée,0.01 g,en faible quantité,+4%,,+4%,-100%,-100%,+10%,+13%,-100%,-23%,-23%,13,+48%,E,+48%,36.8%,6.4%,25.7%,17.4%,10.7%,2.9%,70,['FSC-C014047'],,Boisson à l'orange à base de jus de fruits concentré,"['Brique', 'Carton']","['E330 - Acide citrique', 'E300 - Acide ascorbique']",['Noz'],['France'],,,,
27,Kit pour 12 cookies prêt en 5 minutes -  - 395g,3100670200148,,['France'],[],[],?,?,,?,,?,,?,,,,395 g,,"['Fabriqué en France', 'Sans colorants', 'Sans conservateurs']",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"['Pot', 'Plastique']",,,,,,,
28,St-Yorre,3100880188045,,['France'],[],[],?,1,4 kj(1 kcal),1,1,1,1,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
29,St-yorre - Vichy,3100880961723,['Vichy'],['France'],[],[],?,0,0 kj(0 kcal),0,0,0,0,0,"0,171","0,068",,,['Boissons'],,,0 g,en faible quantité,0 g,en faible quantité,0 g,en faible quantité,0.171 g,en quantité modérée,,-100%,-100%,-100%,-100%,-100%,-100%,-100%,+312%,+312%,0,-100%,B,-100%,,,,,,,,,,,,,,,,,,
