,name,bar_code,brand,sales_countries,ingredients_list,ingredients_analysis,nutriment_energy-kj_tr,nutriment_energy-kcal_tr,nutriment_energy_tr,nutriment_fat_tr,nutriment_saturated-fat_tr,nutriment_carbohydrates_tr,nutriment_sugars_tr,nutriment_proteins_tr,nutriment_salt_tr,nutriment_sodium_tr,eco_score,quantity,categories,labels,nova_score,fats_lipids_quantity,fats_lipids_comment,saturated_acids_quantity,saturated_acids_comment,sugar_quantity,sugar_comment,salt_quantity,salt_comment,nutriment_energy-kj_tr_diff,nutriment_energy-kcal_tr_diff,nutriment_energy_tr_diff,nutriment_fat_tr_diff,nutriment_saturated-fat_tr_diff,nutriment_carbohydrates_tr_diff,nutriment_sugars_tr_diff,nutriment_proteins_tr_diff,nutriment_salt_tr_diff,nutriment_sodium_tr_diff,nutriment_nutrition-score-fr_tr,nutriment_nutrition-score-fr_tr_diff,nutriment_nutriscore_tr,nutriment_nutriscore_tr_diff,Agriculture,Transformation,Conditionnement,Transport,Distribution,Consommation,Score_ACV,traceability_code,allergens,generic_name,packaging,additives,markets,manufacturing,ingredients_origins,link,palm_ingredients,brand_owner
1230,Gruyere rapé - Rippoz,3123933045102,['Rippoz'],['France'],"['moyennes pour 1009* Nàhrwerte pro 100 g', ""' I Brennvgert Mat\\ëres grasses / Fett""]",[],?,1370,5732 kj(1370 kcal),26,17,1,"0,5",23,"2,2","0,88",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1231,Reblochon de Savoie -,3123933420169,,['France'],[],[],?,314,1314 kj(314 kcal),26,17,"0,5","0,5",20,"1,3","0,52",D,,"['Produits laitiers', 'Produits fermentés', 'Produits laitiers fermentés', 'Fromages', 'Fromages de vache', 'Fromages de France', 'Fromages à pâte pressée non cuite', 'Reblochons', 'en:aoc-cheeses', 'en:labeled-cheeses']",,,26 g,en quantité élevée,17 g,en quantité élevée,0.5 g,en faible quantité,1.3 g,en quantité modérée,,-3%,-3%,-3%,-10%,+36%,+121%,0%,-3%,-3%,13,-9%,D,-9%,84.0%,5.8%,4.0%,4.0%,1.8%,0.5%,54,,,,,,,,,,,
1232,"Tendre Degustat 250G., - Entremont - 250g",3123937110097,['Entremont'],['France'],[],[],?,355,1485 kj(355 kcal),27,18,"0,5","0,5",28,"0,6","0,24",,250 g,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1233,Le Dégustation - Entremont,3123937130064,['Entremont'],['France'],[],[],?,356,1490 kj(356 kcal),28,18,"0,5","0,5",26,"0,6","0,24",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1234,Emmental,3123937191393,,['France'],[],[],?,256,1071 kj(256 kcal),14,9,"0,5","0,5",30,"1,1","0,44",D,,"['Produits laitiers', 'Produits fermentés', 'Produits laitiers fermentés', 'Fromages', 'Fromages à pâte pressée cuite', 'Fromages de vache', 'Emmentals']",,,14 g,en quantité modérée,9 g,en quantité élevée,0.5 g,en faible quantité,1.1 g,en quantité modérée,,-32%,-32%,-52%,-54%,-25%,+21%,+9%,+69%,+69%,10,-12%,C,-12%,82.8%,8.1%,3.5%,3.6%,1.6%,0.4%,49,,,,,,,,,,,
1235,Emmental francais & Mozzarella - Rippoz Restauration - 1kg,3123939458807,"['Rippoz Restauration', 'Rippoz']",['France'],[],[],?,337,1410 kj(337 kcal),25,17,1,1,27,"0,85","0,34",B,1 kg,"['Produits laitiers', 'Produits fermentés', 'Produits laitiers fermentés', 'Fromages', 'Fromages râpés']",,,25 g,en quantité élevée,17 g,en quantité élevée,1 g,en faible quantité,0.85 g,en quantité modérée,,-10%,-10%,-13%,-12%,+3%,+177%,-1%,-15%,-15%,12,-7%,D,-7%,84.0%,5.8%,4.0%,4.0%,1.8%,0.5%,54,"['FR 52.332.001 CE', 'Val-de-Meuse (Haute-Marne, France)', 'FR 62.332.001 CE', 'Ficheux (Pas-de-Calais, France)']",,Mélange de fromages râpés,"['Plastique', 'Frais']",,,,"['France', 'Lait origine France']",,,
1236,Spécial pizza - Rippoz Restauration - 1kg,3123939458821,"['Rippoz Restauration', 'Rippoz']",['France'],"['Mozzarella 60% ', 'Lait pasteurisé ', 'Origine : France', 'sel', 'ferments - lactiques', 'coagulant', 'Emmental français 40% ', 'Lait pasteurisé ', 'Origine : France', ' sel', 'ferments lactiques', 'coagulant']","['Sans huile de palme', 'Non végétalien', 'Peut-être végétarien']",?,328,1372 kj(328 kcal),24,16,1,1,27,"0,9","0,36",C,1 kg,"['Produits laitiers', 'Produits fermentés', 'Produits laitiers fermentés', 'Fromages', 'Préparations à base de fromages']",['Lait collecté et transformé en France'],3,24 g,en quantité élevée,16 g,en quantité élevée,1 g,en faible quantité,0.9 g,en quantité modérée,,-0%,+0%,-10%,-10%,-17%,+35%,+32%,-31%,-31%,12,-12%,D,-12%,84.0%,5.8%,4.0%,4.0%,1.8%,0.5%,54,,['Lait'],,['Frais'],,,,,,,
1237,Le dégustation - Entremont,3123975110004,['Entremont'],['France'],[],[],?,350,1464 kj(350 kcal),28,18,"0,5","0,4",26,"0,6","0,24",D,,"['Produits laitiers', 'Produits fermentés', 'Produits laitiers fermentés', 'Fromages', 'Fromages à pâte pressée non cuite']",,,28 g,en quantité élevée,18 g,en quantité élevée,0.4 g,en faible quantité,0.6 g,en quantité modérée,,+0%,+0%,-0%,-7%,-27%,+24%,+14%,-64%,-64%,11,-30%,D,-30%,84.0%,5.8%,4.0%,4.0%,1.8%,0.5%,54,,,Fromages à pâte pressée non cuite,,,,,,,,
1238,Le Beurre Moulé Doux (82 % MG),3124030001787,,['France'],[],[],?,?,,?,,?,,?,,,E,,"['Produits laitiers', 'Matières grasses', 'Produits à tartiner', 'Matières grasses à tartiner', 'Matières grasses animales', 'Matière grasse laitière', 'Produits laitiers à tartiner', 'Beurres', 'Beurres doux']",,,,,,,,,,,,,,,,,,,,,,,,,91.6%,4.9%,1.3%,1.2%,0.8%,0.2%,27,,,,['Frais'],,,,,,,
1239,3124404184344,3124404184344,,['France'],[],[],?,?,,?,,?,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1240,Oasis zero,3124480065131,['Oasis'],['France'],[],[],?,0,0 kj(0 kcal),0,0,"1,3","1,2","0,1","0,04","0,016",,,,"['Sans colorants', 'Sans conservateurs']",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1241,3124480157027,3124480157027,,['France'],[],[],?,?,,?,,?,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1242,Mangue Fruits Rouges - Oasis - 2l,3124480161116,['Oasis'],['France'],"['Eau de source 80 %', 'jus de fruits à base de concentrés 12 % ', 'pomme', 'fruits rouges 5 % ', 'fraise', 'groseille', 'framboise', 'mangue 1 %', 'sucre', 'acidifiant : acide citrique', 'arômes', 'colorants : anthocyanes et carotènes végétaux', ""stabilisant : gomme d'acacia""]","[""Pourrait contenir de l'huile de palme"", 'Peut-être végétalien', 'Peut-être végétarien']",169,?,169 kj(40 kcal),0,0,"9,5","9,4",0,0,0,C,2 l,"['Aliments et boissons à base de végétaux', 'Boissons', 'Boissons à base de végétaux', 'Boissons aux fruits', 'Boissons avec sucre ajouté', 'Boissons sans sucre ajouté']",['Sans conservateurs'],4,0 g,en faible quantité,0 g,en faible quantité,9.4 g,en quantité élevée,0 g,en faible quantité,-46%,,-14%,-100%,-100%,+10%,+39%,-100%,-100%,-100%,13,+136%,E,+136%,36.8%,6.4%,25.7%,17.4%,10.7%,2.9%,70,,,Boisson rafraîchissante aux fruits et à l'eau de source,"['Bouteille', 'Plastique']","['E330 - Acide citrique', 'E163 - Anthocyanes', 'E160aii - Carotènes végétaux', ""E414 - Gomme d'acacia""]",,,,,,
1243,Pêche Abricot - Oasis - 33cl,3124480161123,['Oasis'],['France'],"['Eau de source 80%', 'jus de fruits à base de concentrés 12% ', 'pomme', 'pêche 3%', 'abricot 3%', 'sucre', 'acidifiant : acide citrique', 'stabilisants ', 'e414', 'E445', 'E444', 'antioxydant : acide ascorbique', 'arômes naturels', 'colorants : acide carminique - lutéine']","['Sans huile de palme', 'Non végétalien', 'Non végétarien']",170,?,170 kj(41 kcal),0,0,"9,8","9,7",0,0,0,C,33 cl,"['Aliments et boissons à base de végétaux', 'Boissons', 'Boissons à base de végétaux', 'Boissons aux fruits', 'Boissons avec sucre ajouté']",['Colorants naturels'],4,0 g,en faible quantité,0 g,en faible quantité,9.7 g,en quantité élevée,0 g,en faible quantité,-62%,,-54%,-100%,-100%,-51%,-47%,-100%,-100%,-100%,13,+9%,E,+9%,36.8%,6.4%,25.7%,17.4%,10.7%,2.9%,70,,,Boisson rafraîchissante aux fruits et à l'eau de source,['Canette'],"['E330 - Acide citrique', ""E414 - Gomme d'acacia"", 'E445 - Esters glycériques de résine de bois', 'E444 - Acétate isobutyrate de saccharose', 'E300 - Acide ascorbique', 'E120 - Acide carminique', 'E161b - Lutéine']",,,,,,
1244,"Pêch' - Schweppes - 1,5l",3124480163011,['Schweppes'],['France'],"['Eau gazéifiée', 'sucre', 'acidifiant : acide citrique', 'arômes', 'antioxydant : acide ascorbique', 'conservateur : sorbate de potassium', 'édulcorants : acésulfame K et sucralose', 'amidon modifié', 'stabilisants ', 'E445', 'E444', 'colorants : acide carminique et L-caroténoïdes mélangés']",[],110,?,110 kj(26 kcal),0,0,"6,3","6,3",0,0,0,,"1,5 l","['Aliments et boissons à base de végétaux', 'Boissons', 'Boissons à base de végétaux', 'Boissons gazeuses', 'Boissons aux fruits', 'Sodas', 'Sodas aux fruits', 'Boissons avec sucre ajouté']",,4,0 g,en faible quantité,0 g,en faible quantité,6.3 g,en quantité élevée,0 g,en faible quantité,-10%,,-15%,-100%,-100%,-16%,-15%,-100%,-100%,-100%,9,-10%,D,-10%,,,,,,,,,,"Boisson gazeuse rafraîchissante saveurs pêche jaune, pêche blanche, pêche de vigne et pêche de Chine","['Bouteille', 'Plastique']","['E330 - Acide citrique', 'E300 - Acide ascorbique', 'E202 - Sorbate de potassium', '', 'Risque élevé de sur-exposition', 'E950 - Acésulfame K', 'E955 - Sucralose', 'E14XX - Amidons modifiés', 'E445 - Esters glycériques de résine de bois', 'E444 - Acétate isobutyrate de saccharose', 'E120 - Acide carminique']",,,,,,
1245,Pulco  menthe - 70cl,3124480167101,['Pulco'],['France'],[],[],1303,311,1303 kj(311 kcal),"0,1",0,"76,2","76,2",0,0,0,B,70 cl,"['Boissons', 'Sirops', 'Sirops aromatisés', 'Sirops de menthe']","['Sans colorants', 'Sans conservateurs']",,0 g,en faible quantité,0 g,en faible quantité,6.95 g,en quantité élevée,0 g,en faible quantité,+20%,+30%,+27%,-9%,-100%,+24%,+28%,-100%,-100%,-100%,9,-16%,D,-16%,58.3%,8.5%,16.3%,7.9%,7.3%,1.6%,100,,,,,,,,,,,
1246,nectar d'orange d'ananas et de carotte - pampryl - 1L,3124480170026,['Pampryl'],['France'],"['Jus de fruits et de légumes à base de concentré 50% ', 'orange 34%', 'ananas 10%', 'carotte 6%', 'eau', 'sucre', 'acidifiant: acide citrique', 'vitamines : vitamine Pro A', 'vitamine C', 'vitamine E']",[],195,?,195 kj(47 kcal),"0,1",0,"10,9","9,8","0,2",0,0,D,1L,"['Aliments et boissons à base de végétaux', 'Boissons', 'Boissons à base de végétaux', 'Boissons aux fruits', 'Jus et nectars', 'Nectars de fruits', 'Nectars multifruits']",,3,0.1 g,en faible quantité,0 g,en faible quantité,9.8 g,en quantité élevée,0 g,en faible quantité,+9%,,+11%,-48%,-100%,+9%,+3%,-36%,-100%,-100%,12,+12%,E,+12%,58.5%,3.8%,10.1%,20.0%,6.0%,1.7%,51,,,nectar,['bouteille plastique'],['E330 - Acide citrique'],,,,,,
1247,Schweppes Lemon Soda - Designed By Fred & Farid,3124480171436,['Schweppes'],['France'],[],[],?,25,105 kj(25 kcal),0,0,"6,64","5,6","0,1","0,01","0,004",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1248,Schweppes Dark Side Premium Cola - 25cl,3124480171443,['Schweppes'],['France'],"['eau gazéifiée', 'sucre', 'colorant caramel ', 'E150d', 'acidifiants acide phosphorique et acide citrique', 'édulcorants ', 'E950', 'E955', 'arômes naturels', 'arôme caféine', 'émulsifiant extrait de quillaia']","['Sans huile de palme', 'Peut-être végétalien', 'Peut-être végétarien']",110,?,110 kj(26 kcal),0,0,"6,5","6,4",0,0,0,,25 cl,"['Boissons', 'Boissons gazeuses', 'Sodas', 'Sodas au cola', 'Boissons avec sucre ajouté']",,4,0 g,en faible quantité,0 g,en faible quantité,6.4 g,en quantité élevée,0 g,en faible quantité,+33%,,+24%,-100%,-100%,+21%,+22%,-100%,-100%,-100%,9,+22%,D,+22%,,,,,,,,,,Boisson gazeuse rafraîchissante aux arômes naturels,['Canned'],"[""E150d - Caramel au sulfite d'ammonium"", 'E338 - Acide orthophosphorique', '', 'Risque élevé de sur-exposition', 'E330 - Acide citrique', 'E950 - Acésulfame K', 'E955 - Sucralose', 'E999 - Extraits de quillaia']",,,,,,
1249,Schweppes Indian Tonic 25cl,3124480171450,['Schweppes'],['France'],[],[],?,25,105 kj(25 kcal),0,0,"5,8","5,8",0,0,0,,,"['Boissons', 'Boissons gazeuses', 'Sodas', 'Eau tonique', 'Boissons avec sucre ajouté']",,,0 g,en faible quantité,0 g,en faible quantité,5.8 g,en quantité modérée,0 g,en faible quantité,,-11%,-9%,-100%,-100%,-12%,-8%,-100%,-100%,-100%,8,-11%,D,-11%,,,,,,,,,,,,,,,,,,
1250,orangina et sa pulpe - 8x33cl,3124480171467,['Orangina'],['France'],"['eau gazéifiée', ""jus d'orange et autres agrumes à base de concentré 12%"", 'orange 10%', 'citron', 'mandarine,pamplemousse', ""sucre,pulpe d'orange 2%"", ""extrait de zestes d'orange"", ""arômes naturels d'oranges""]","['Sans huile de palme', 'Peut-être végétalien', 'Peut-être végétarien']",179,?,179 kj(43 kcal),0,0,"10,1",10,"0,1",0,0,,8x33cl,"['Boissons', 'Boissons gazeuses', 'Sodas', 'Boissons avec sucre ajouté']",,4,0 g,en faible quantité,0 g,en faible quantité,10 g,en quantité élevée,0 g,en faible quantité,+67%,,+54%,-100%,-100%,+49%,+51%,+82%,-100%,-100%,13,+41%,E,+41%,,,,,,,,,,boisson gazeuse rachaîchissante aux fruits,['Canettes'],,['Auchan'],,,,,
1251,Schweppes Indian Tonic - 8x33cl,3124480171658,['Schweppes'],['France'],"['Eau gazéifiée', 'A : sirop de glucose-fructose', 'sucre ou B : sucre', 'acidifiant : acide citrique', 'arômes naturels', 'arôme : quinine']",[],37,?,37 kj(9 kcal),?,,"9,1",,?,,,,8x33cl,"['Boissons', 'Boissons gazeuses', 'Sodas', 'Eau tonique', 'Boissons avec sucre ajouté']",,4,,,,,,,,,-67%,,-68%,,,+38%,,,,,,,,,,,,,,,,,,boisson gazeuse rafraîchissante à l'extrait d'écorces de quinquina,"['Canettes', 'Aluminium']",['E330 - Acide citrique'],['Auchan'],,,,,
1252,Orange (7+1 gratuite) - oasis - 8 * 33cl,3124480171849,['Oasis'],['France'],"['eau de source 80%', 'jus de fruit à base de concentré 12% ', '10% orange', 'pomme', 'sucre', 'acidifiant : acide citrique', 'acide malique', 'arômes', 'antioxydant: acide ascorbique', 'colorant: extrait de paprika', ""colorant d'origine naturelle""]","['Sans huile de palme', 'Peut-être végétalien', 'Peut-être végétarien']",137,?,137 kj(33 kcal),?,,"31,9",,?,"0,025","0,01",C,8 * 33 cl,"['Aliments et boissons à base de végétaux', 'Boissons', 'Boissons à base de végétaux', 'Boissons aux fruits', 'Boissons avec sucre ajouté']",,4,,,,,,,0.0254 g,en faible quantité,-69%,,-63%,,,+61%,,,-32%,-32%,,,,,36.8%,6.4%,25.7%,17.4%,10.7%,2.9%,70,,,,['Canette'],"['E330 - Acide citrique', 'E296 - Acide malique', 'E300 - Acide ascorbique', 'E160c - Extrait de paprika']",['Auchan'],,,,,
1253,"Orangina Geisha pêche - 1,5l",3124480173416,['Orangina'],['France'],"['Eau gazéifiée', ""jus d'orange et autres agrumes à base de concentrés 12% "", 'orange 10%', 'citron', 'pamplemousse', 'mandarine', 'sucre', ""pulpe d'orange 2%"", ""extrait de zeste d'orange"", ""arômes naturels d'orange avec autres arômes naturels"", 'conservateur : sorbate de potassium', 'colorants ', 'acide carminique', 'caroténoïdes mélangés']","[""Pourrait contenir de l'huile de palme"", 'Non végétalien', 'Non végétarien']",?,?,,0,0,"8,5","8,2","0,1",0,0,,"1,5 l","['Aliments et boissons à base de végétaux', 'Boissons', 'Boissons à base de végétaux', 'Boissons gazeuses', 'Boissons aux fruits', 'Sodas', 'Sodas aux fruits']",,4,0 g,en faible quantité,0 g,en faible quantité,8.2 g,en quantité élevée,0 g,en faible quantité,,,,-100%,-100%,+13%,+11%,+38%,-100%,-100%,,,,,,,,,,,,['CR 11 66'],,Boisson gazeuse rafraîchissante aux fruits,"['Bouteille', 'Plastique', 'bouteille plastique']","['E202 - Sorbate de potassium', '', 'Risque élevé de sur-exposition', 'E120 - Acide carminique', 'E160a - Carotènes mélangés']",['Franprix'],,,,,
1254,Blle 70CL Pulco Grenadine - 70cL,3124480173492,,['France'],[],[],?,172,720 kj(172 kcal),"0,1",0,"40,8","39,8","0,2","0,01","0,004",,70 cL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1255,"Pulco Citronnade 2x1, 5l Format Spécial",3124480175724,['Pulco'],['France'],[],[],?,24,100 kj(24 kcal),0,0,"5,4","5,1",0,"0,01","0,004",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1256,Pulco Citron vert - 1L,3124480175793,['Pulco'],['France'],[],[],?,?,,?,,?,,?,,,,1 L,"['Boissons à diluer', 'Concentrés']","['Peu ou pas de sucre', 'Sans sucre ajouté', 'Sans colorants', 'Sans conservateurs']",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"['Bouteille', 'Verre']",,,,,,,
1257,Oasis Tropical,3124480176059,['Oasis'],['France'],"['eau de source 80%', 'jus base de concentrés 12% ', 'orange 6,4%', 'pomme 551 fruit de la passion 0,1%', 'mangue 0,07%', 'sucre', 'acîlftant : acide citrique', 'arômes', ""antioxydant : acide asco 'que"", ""stabilisant : gomme d'acacia"", 'colorant : extrait de paprtla', ' Une bouteille de 2 litres contient 10 verres de 20j mL DÉCLARATION 100ml ml ', '200 ml', ' NUTRITIONNELLE 163 kJ 326 kJ Energie']",[],?,38,159 kj(38 kcal),0,0,"9,3","9,1",0,0,0,,,"['Boissons', 'Boissons avec sucre ajouté']","['Sans colorants', 'Sans conservateurs']",4,0 g,en faible quantité,0 g,en faible quantité,9.1 g,en quantité élevée,0 g,en faible quantité,,-55%,-57%,-100%,-100%,-53%,-50%,-100%,-100%,-100%,13,+9%,E,+9%,,,,,,,,,,,,"['E330 - Acide citrique', ""E414 - Gomme d'acacia""]",,,,,,
1258,"Pomme cassis framboise - Orangina - 1,5l",3124480177384,['Orangina'],['France'],"['Eau gazéifiée', ""jus d'orange et autres agrumes à base de concentrés 12% "", 'orange 10%', 'citron', 'mandarine', 'pamplemousse', ""pulpe d'orange 2%"", 'colorants : ', 'acide carminique', 'lutéine', 'conservateur : sorbate de potassium', ""arômes naturels d'orange et de pamplemousse"", 'édulcorants : ', 'acésulfame K', 'sucralose', ""extraits de zeste d'orange""]","['Sans huile de palme', 'Non végétalien', 'Non végétarien']",?,34,142 kj(34 kcal),0,0,"8,1",8,"0,1","0,01","0,004",,"1,5 l","['Aliments et boissons à base de végétaux', 'Boissons', 'Boissons à base de végétaux', 'Boissons gazeuses', 'Boissons aux fruits', 'Sodas', 'Sodas aux fruits', 'Boissons avec sucre ajouté']",['Sans aspartame'],4,0 g,en faible quantité,0 g,en faible quantité,8 g,en quantité élevée,0.01 g,en faible quantité,,+10%,+9%,-100%,-100%,+8%,+8%,+38%,-3%,-3%,11,+10%,E,+10%,,,,,,,,,,Boisson gazeuse rafraîchissante aux fruits avec édulcorants sans aspartame,"['Bouteille', 'Plastique']","['E120 - Acide carminique', 'E161b - Lutéine', 'E202 - Sorbate de potassium', '', 'Risque élevé de sur-exposition', 'E950 - Acésulfame K', 'E955 - Sucralose']",['Franprix'],,,,,
1259,"Orangina Bad Jack - 1,5l",3124480177414,['Orangina'],['France'],"['Eau gazéifiée', ""jus d'orange et autres agrumes à base de Concentrés 12% "", 'orange 10%', 'citron', 'mandarine', 'pamplemousse', 'sucre', ""pulpe d'orange 2%"", ""arômes naturels d'orange et de grenade avec autres arômes naturels"", 'colorant : charbon végétal', 'conservateur : sorbate de potassium', ""extrait de zeste d'orange""]","['Sans huile de palme', 'Peut-être végétalien', 'Peut-être végétarien']",?,?,153 kj(37 kcal),0,0,8,"7,8","0,1",0,0,,"1,5 l","['Boissons', 'Boissons gazeuses', 'Sodas', 'Boissons avec sucre ajouté']",,4,0 g,en faible quantité,0 g,en faible quantité,7.8 g,en quantité élevée,0 g,en faible quantité,,,+32%,-100%,-100%,+18%,+18%,+82%,-100%,-100%,12,+30%,E,+30%,,,,,,,,,,Boisson gazeuse réfraîchissante aux fruits,"['Bouteille', 'Plastique']","['E153 - Charbon végétal médicinal', 'E202 - Sorbate de potassium', '', 'Risque élevé de sur-exposition']",['Carrefour'],,['France'],,,
1260,"Schweppes Mûre - 1,5L",3124480177537,['Schweppes'],['France'],"['Eau gazéifiée', 'sucre', 'acidifiant : acide citrique', 'concentrés ', 'carotte', 'hibiscus', 'conservateur : sorbate de potassium', 'arômes naturels', 'édulcorants : acésulfame K et sucralose', 'amidon modifié', 'stabilisants ', 'E445', 'E444']",['Sans huile de palme'],111,?,111 kj(27 kcal),0,0,"6,3","6,3",0,0,0,,"1,5 L","['Aliments et boissons à base de végétaux', 'Boissons', 'Boissons à base de végétaux', 'Boissons gazeuses', 'Boissons aux fruits', 'Sodas', 'Sodas aux fruits', 'Boissons avec sucre ajouté']",,4,0 g,en faible quantité,0 g,en faible quantité,6.3 g,en quantité élevée,0 g,en faible quantité,-9%,,-15%,-100%,-100%,-16%,-15%,-100%,-100%,-100%,9,-10%,D,-10%,,,,,,,,,,"Boisson gazeuse rafraîchissante saveurs mûre sauvage, framboise noire, mûre evergreen et mûroise, avec sucre et édulcorants.","['Bouteille', 'Plastique']","['E330 - Acide citrique', 'E202 - Sorbate de potassium', '', 'Risque élevé de sur-exposition', 'E950 - Acésulfame K', 'E955 - Sucralose', 'E14XX - Amidons modifiés', 'E445 - Esters glycériques de résine de bois', 'E444 - Acétate isobutyrate de saccharose']",['Monoprix'],,,,,
1261,"Schweppes Mandarine - 1,5L",3124480177551,['Schweppes'],['France'],"['eau gazéifiée', 'sucre', 'acidifiant: acide citrique', ""arômes naturels d'orange et de mandarine"", 'antioxydant : acide ascorbique', 'conservateur : sorbate de potassium', 'édulcorants : acésulfame K et sucralose', 'colorants: acide carminique et carotènes végétaux', 'amidon modifié', 'stabilisants ', 'E445', 'E444']","[""Pourrait contenir de l'huile de palme"", 'Non végétalien', 'Non végétarien']",113,?,113 kj(27 kcal),0,0,"6,3","6,3",0,0,0,,"1,5 L","['Aliments et boissons à base de végétaux', 'Boissons', 'Boissons à base de végétaux', 'Boissons gazeuses', 'Boissons aux fruits', 'Sodas', 'Sodas aux fruits', 'Boissons avec sucre ajouté']",['Point Vert'],4,0 g,en faible quantité,0 g,en faible quantité,6.3 g,en quantité élevée,0 g,en faible quantité,-7%,,-13%,-100%,-100%,-16%,-15%,-100%,-100%,-100%,9,-10%,D,-10%,,,,,,,,,,"Boisson gazeuse saveur 4 mandarines ( Royale, clémentine, clémenvilla & marisol)","['Etiquette film plastique', 'Bouteille', 'Plastique']","['E330 - Acide citrique', 'E300 - Acide ascorbique', 'E202 - Sorbate de potassium', '', 'Risque élevé de sur-exposition', 'E950 - Acésulfame K', 'E955 - Sucralose', 'E120 - Acide carminique', 'E160aii - Carotènes végétaux', 'E14XX - Amidons modifiés', 'E445 - Esters glycériques de résine de bois', 'E444 - Acétate isobutyrate de saccharose']","['Carrefour', 'Super U']",,,,,
1262,Pulco Fruit Des Bois 70cl - 70cL,3124480177582,,['France'],[],[],?,190,795 kj(190 kcal),"0,01",0,"43,2","41,9","0,2","0,01","0,004",,70 cL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1263,"Blle Pet 1,5L Schweppes Poire",3124480180797,['Schweppes'],['France'],[],[],?,24,100 kj(24 kcal),"0,1","0,01","5,8","0,01","0,01",0,0,,,['Boissons'],,,0.1 g,en faible quantité,0.01 g,en faible quantité,0.01 g,en faible quantité,0 g,en faible quantité,,-57%,-59%,-71%,-92%,-49%,-100%,-98%,-100%,-100%,4,-48%,C,-48%,,,,,,,,,,,,,,,,,,
1264,"Orangina Miss O! Mûre - 1,5L",3124480180841,"['Orangina', 'Schweppes']",['France'],"['eau gazéifiée', ""jus d'orange et autres agrumes à base de concentrés 12% "", 'orange 10%', 'citron', 'mandarine', 'pamplemousse', ""pulpe d'orange 2%"", 'colorants : ', 'acide carminique', 'carmins', ""arômes naturels d'orange avec autres arômes naturels"", 'concentrés ', 'carotte', 'hibiscus', 'conservateur : sorbate de potassium', 'édulcorants : ', 'acésulfame K', 'sucralose', ""extrait de zeste d'orange""]","['Sans huile de palme', 'Non végétalien', 'Non végétarien']",34,?,34 kj(8 kcal),0,0,"1,5","1,3","0,1",0,0,,"1,5 L","['Boissons', 'Boissons gazeuses', 'Boissons édulcorées', 'Boisson aromatisée', 'Boisson gazeuse aromatisé aux fruits']","['Peu ou pas de sucre', 'Peu de sucre', 'Allégé en sucre', 'Sans sucre ajouté']",4,0 g,en faible quantité,0 g,en faible quantité,1.3 g,en faible quantité,0 g,en faible quantité,-13%,,-42%,-100%,-100%,-44%,-44%,-21%,-100%,-100%,3,-30%,C,-30%,,,,,,,,,,Boisson gazeuse aromatisé aux fruits,"['bouteille plastique', 'bouchon plastique']","['E120 - Acide carminique', 'E202 - Sorbate de potassium', '', 'Risque élevé de sur-exposition', 'E950 - Acésulfame K', 'E955 - Sucralose']",['Intermarché'],,,,,
1265,"Orangina Miss O! Passion - 1,5L",3124480180872,"['Orangina', 'Schweppes']",['France'],"['eau gazéifiée', ""jus d'orange et autres agrumes à base de concentrés 12% "", 'orange 10%', 'citron', 'mandarine', 'pamplemousse', ""pulpe d'orange 2%"", 'colorants : acide carminique et caroténoïdes mélangés', ""arômes naturels d'orange avec autre arôme naturel"", 'conservateur : sorbate de potassium', 'édulcorants : acésulfame K et sucralose', ""extrait de zeste d'orange""]","[""Pourrait contenir de l'huile de palme"", 'Non végétalien', 'Non végétarien']",33,?,33 kj(8 kcal),0,0,"1,4","1,2","0,1",0,0,B,"1,5 L","['Boissons', 'Boissons gazeuses', 'Boissons édulcorées', 'Boisson gazeuse aux fruits', 'Boisson aromatisée']","['Peu ou pas de sucre', 'Peu de sucre', 'Allégé en sucre']",4,0 g,en faible quantité,0 g,en faible quantité,1.2 g,en faible quantité,0 g,en faible quantité,-15%,,-44%,-100%,-100%,-48%,-49%,-21%,-100%,-100%,3,-30%,C,-30%,5.8%,1.3%,42.2%,28.2%,17.6%,4.8%,85,,,Boisson gazeuse aux fruits,"['bouteille plastique', 'bouchon plastique']","['E120 - Acide carminique', 'E160a - Carotènes mélangés', 'E202 - Sorbate de potassium', '', 'Risque élevé de sur-exposition', 'E950 - Acésulfame K', 'E955 - Sucralose']",['Intermarché'],,,,,
