,name,bar_code,sales_countries,ingredients_list,ingredients_analysis,nutriment_energy-kj_tr,nutriment_energy-kcal_tr,nutriment_fat_tr,nutriment_carbohydrates_tr,nutriment_proteins_tr,quantity,brand,markets,nutriment_energy_tr,nutriment_saturated-fat_tr,nutriment_sugars_tr,nutriment_salt_tr,nutriment_sodium_tr,eco_score,categories,allergens,nova_score,nutriment_energy-kj_tr_diff,nutriment_energy-kcal_tr_diff,nutriment_fat_tr_diff,nutriment_carbohydrates_tr_diff,nutriment_proteins_tr_diff,Agriculture,Transformation,Conditionnement,Transport,Distribution,Consommation,Score_ACV,fats_lipids_quantity,fats_lipids_comment,saturated_acids_quantity,saturated_acids_comment,sugar_quantity,sugar_comment,salt_quantity,salt_comment,nutriment_energy_tr_diff,nutriment_saturated-fat_tr_diff,nutriment_sugars_tr_diff,nutriment_salt_tr_diff,nutriment_sodium_tr_diff,nutriment_nutrition-score-fr_tr,nutriment_nutrition-score-fr_tr_diff,nutriment_nutriscore_tr,nutriment_nutriscore_tr_diff,labels,traceability_code,packaging,brand_owner,additives,generic_name,manufacturing,link,palm_ingredients,ingredients_origins
1689,2 filets de poulet jaune,2228351028278,['France'],[],[],?,?,?,?,?,,,,,,,,,D,"['Viandes', 'Volailles', 'Poulets', 'Filets de poulet']",,,,,,,,83.4%,9.5%,2.7%,2.7%,1.4%,0.4%,44,,,,,,,,,,,,,,,,,,,,,,,,,,,
1690,Pate de canard au piment d'espelette,3410840010898,['France'],[],[],?,356,33,"0,6",14,,,,1490 kj(356 kcal),12,"0,6","1,2","0,48",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1691,Amande poudre,3760135236879,['France'],[],[],?,639,54,"1,5","3,1",,,,2674 kj(639 kcal),"4,1","1,1","0,05","0,02",,"['Aliments et boissons à base de végétaux', ""Aliments d'origine végétale"", 'Farines', 'Fruits à coques et dérivés', 'Farines de fruits à coques', 'Amandes en poudre']",,,,+3%,+1%,-83%,-87%,,,,,,,,54 g,en quantité élevée,4.1 g,en quantité modérée,1.1 g,en faible quantité,0.05 g,en faible quantité,+3%,-3%,-74%,+93%,+93%,11,+97%,D,+97%,,,,,,,,,,
1692,L'original POTATOES aux épices douces,8710478419199,['France'],[],[],?,150,6,20,"2,5",,,,628 kj(150 kcal),"0,7","0,5","0,5","0,2",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"['Sans conservateurs', 'Nutriscore', 'Nutriscore A']",,,,,,,,,
1693,côtes du Rhône - VACQUERAS - 750ml,3338691347515,['France'],[],[],?,?,?,?,?,750ml,['VACQUERAS'],,,,,,,C,"['Boissons', 'Boissons alcoolisées', 'Vins', 'Vins rouges', 'Vins français', 'Côtes du Rhône']",,,,,,,,46.9%,6.6%,27.8%,12.7%,4.8%,1.3%,43,,,,,,,,,,,,,,,,,,,,['domaine mas du bouquet'],,,,,,,['France']
1694,Assortiment de petits-fours pâtissiers,3018940003842,['France'],[],[],?,?,?,?,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1695,Risana - Ryż naturalny,5902180140604,"['France', 'Allemagne']",[],[],?,?,?,?,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1696,Impact whey protein - MyProtein,5055534354650,['France'],[],[],?,403,"7,1","6,8",78,,['MyProtein'],,1686 kj(403 kcal),"4,8","3,9","0,25","0,1",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1697,Bifteck - Charal,0292471021527,['France'],[],[],?,113,"2,3",0,23,,['Charal'],,473 kj(113 kcal),"0,8",0,"0,17","0,068",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"['FR 49.099.002 CE', 'Cholet (Maine-et-Loire, France)']",,,,,,,,
1698,Pates 'La maltotaise',3760242460181,['France'],[],[],?,?,?,?,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1699,Alberto di natale,8003781375437,['France'],[],[],?,399,19,49,"7,2",,,,1669 kj(399 kcal),12,28,"0,46","0,184",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1700,12 œufs moyen - Rochambeau,3439496001715,['France'],[],[],?,?,?,?,?,,['Rochambeau'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,['Fabriqué en France'],,,,,,,,,
1701,Escargots au praliné,3588400253730,['France'],[],[],?,562,35,"57,1","5,4",,,,2351 kj(562 kcal),"21,8","54,5","0,17","0,068",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,['en:gluten-free'],,,,,,,,,
1702,Colorant alimentaire,6111180002433,['France'],[],[],?,?,?,?,?,,,,,,,,,,"['Additifs alimentaires', 'Colorants alimentaires']",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1703,Pain d épices à l ancienne,3040280010020,['France'],[],[],?,323,"2,5",71,"4,2",,,,1351 kj(323 kcal),"0,3","0,3","0,38","0,152",B,"['Snacks', 'Snacks sucrés', 'Biscuits et gâteaux', ""Pains d'épices""]",,,,-4%,-28%,+0%,-3%,61.5%,18.9%,9.5%,5.0%,5.0%,0.0%,90,2.5 g,en faible quantité,0.3 g,en faible quantité,0.3 g,en faible quantité,0.38 g,en quantité modérée,-5%,-76%,-99%,-13%,-13%,3,-79%,C,-79%,,,,,,,,,,
1704,Hareng a la creme,2201850058458,['France'],[],[],?,207,18,"2,2","9,1",,,,866 kj(207 kcal),"9,7",2,"0,03","0,012",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1705,Comté,2481231025327,['France'],[],[],?,418,35,0,27,,,,1749 kj(418 kcal),23,0,"0,9","0,36",D,"['Produits laitiers', 'Produits fermentés', 'Produits laitiers fermentés', 'Fromages', 'Fromages à pâte pressée cuite', 'Fromages de France', 'Comté', 'en:aoc-cheeses', 'en:labeled-cheeses']",,,,+5%,+7%,-100%,+7%,82.8%,8.1%,3.5%,3.6%,1.6%,0.4%,49,35 g,en quantité élevée,23 g,en quantité élevée,0 g,en faible quantité,0.9 g,en quantité modérée,+6%,+6%,-100%,-8%,-8%,13,-3%,D,-3%,['AOP'],,,,,,,,,
1706,Mulberries séchées - 200g,3770010225140,['France'],[],[],?,329,"1,5","74,6","4,2",200 g,,,1377 kj(329 kcal),0,"37,7",0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,['Bio'],,,,,,,,,
1707,Velouté de carotte,3760242120108,['France'],[],[],?,?,?,?,?,,,,,,,,,B,"['Aliments et boissons à base de végétaux', ""Aliments d'origine végétale"", 'Aliments à base de fruits et de légumes', 'Plats préparés', 'Soupes', 'Veloutés', 'Soupes de légumes', 'Veloutés de légumes', 'Veloutés de carottes']",,,,,,,,25.5%,33.0%,16.0%,11.0%,10.2%,4.3%,97,,,,,,,,,,,,,,,,,,,,,,,,,,,
