,name,bar_code,sales_countries,ingredients_list,ingredients_analysis,nutriment_energy-kj_tr,nutriment_energy-kcal_tr,nutriment_fat_tr,nutriment_carbohydrates_tr,nutriment_proteins_tr,quantity,brand,markets,nutriment_energy_tr,nutriment_saturated-fat_tr,nutriment_sugars_tr,nutriment_salt_tr,nutriment_sodium_tr,eco_score,categories,allergens,nova_score,nutriment_energy-kj_tr_diff,nutriment_energy-kcal_tr_diff,nutriment_fat_tr_diff,nutriment_carbohydrates_tr_diff,nutriment_proteins_tr_diff,Agriculture,Transformation,Conditionnement,Transport,Distribution,Consommation,Score_ACV,fats_lipids_quantity,fats_lipids_comment,saturated_acids_quantity,saturated_acids_comment,sugar_quantity,sugar_comment,salt_quantity,salt_comment,nutriment_energy_tr_diff,nutriment_saturated-fat_tr_diff,nutriment_sugars_tr_diff,nutriment_salt_tr_diff,nutriment_sodium_tr_diff,nutriment_nutrition-score-fr_tr,nutriment_nutrition-score-fr_tr_diff,nutriment_nutriscore_tr,nutriment_nutriscore_tr_diff,labels,traceability_code,packaging,brand_owner,additives,generic_name,manufacturing,link,palm_ingredients,ingredients_origins
230,Pruneaux,3452550000790,['France'],[],[],?,234,"0,3",54,2,,,,979 kj(234 kcal),"0,08",35,"0,001",0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
231,Mini nems au poulet congelés - 700g,3663219001847,['France'],[],[],?,175,"5,5","31,3","5,2",700 g,,,732 kj(175 kcal),1,"1,5","1,2","0,48",C,"['Plats préparés', 'Produits à la viande', 'Plats préparés à la viande', 'Plats à la volaille', 'Plats au poulet', 'Nems', 'Nems au poulet']",,,,-12%,-30%,+37%,-27%,62.8%,18.1%,4.7%,5.0%,2.0%,7.4%,57,5.5 g,en quantité modérée,1 g,en faible quantité,1.5 g,en faible quantité,1.2 g,en quantité modérée,-12%,-21%,-43%,-5%,-5%,4,-5%,C,-5%,,,,,,,,,,
232,Country Veg Soup,5391525350950,['France'],[],[],?,29,"0,7","4,4","0,6",,,,121 kj(29 kcal),"0,6","3,1","0,61","0,244",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
233,Erbersane,27163009,['France'],[],[],?,297,"18,2","30,1",0,,,,1243 kj(297 kcal),"8,3","22,9","0,28","0,112",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
234,Fil. salmone Grig. nat. gr125 Rio,8004030525023,['France'],[],[],?,170,"9,5",1,20,,,,711 kj(170 kcal),"2,5","0,5","1,2","0,48",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
235,Recovery,8717202540303,['France'],[],[],?,110,2,4,20,,,,460 kj(110 kcal),1,2,"0,14","0,056",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
236,Fougasse Lardon - Auchan,2030506580605,['France'],[],[],?,?,?,?,?,,['Auchan'],['Auchan'],,,,,,B,"['Snacks', 'Snacks salés', 'Apéritif', 'Fougasses', 'Fougasses aux lardons']",,,,,,,,40.3%,18.4%,10.8%,8.1%,4.7%,17.7%,91,,,,,,,,,,,,,,,,,,,,,,,,,,,
237,Galettes Fines - Maison Kerrys - 300g,3271710990036,['France'],"['Farine de ble', 'sucre', 'beurre pâtissier ', 'lait', ' 25%', 'oeufs entiers frais 9%', 'lait demi-écrémé', 'sei', ' Peut contenir des traces de soja et de fruits à coque']",['Non végétalien'],2197,525,28,62,"6,1",300 g,['Maison Kerrys'],,2197 kj(525 kcal),18,28,"1,08","0,432",C,"['Snacks', 'Snacks sucrés', 'Biscuits et gâteaux', 'Biscuits']","['Gluten', 'Lait']",3,+10%,+11%,+35%,-3%,-6%,80.3%,11.4%,3.7%,2.4%,2.2%,0.0%,58,28 g,en quantité élevée,18 g,en quantité élevée,28 g,en quantité élevée,1.08 g,en quantité modérée,+10%,+78%,-5%,+83%,+83%,26,+31%,E,+31%,,"['EMB 22229', ""Plounévez-Quintin (Côtes-d'Armor, France)""]",,,,,,,,
238,Poulet rôti - Le Gaulois,2431625050312,['France'],[],[],?,?,?,?,?,,['Le Gaulois'],,,,,,,D,"['Viandes', 'Volailles', 'Poulets', 'Volailles cuites', 'Poulets cuisinés', 'Poulets rôtis']",,,,,,,,83.4%,9.5%,2.7%,2.7%,1.4%,0.4%,44,,,,,,,,,,,,,,,,,,['Sans conservateurs'],,,,,,,,,
239,escalope de dinde extra fine - 0425kg,2227489036278,['France'],[],[],?,?,?,?,?,0425 kg,,,,,,,,D,"['Viandes', 'Volailles', 'Dindes', 'Escalopes de dinde']",,,,,,,,84.3%,9.9%,2.2%,2.3%,1.1%,0.3%,37,,,,,,,,,,,,,,,,,,,,,,,,,,,
240,Épices pour foie gras  ( sel ) - Légendes Gourmandes,3760155983524,['France'],[],[],?,?,?,?,?,,['Légendes Gourmandes'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
241,Salade piémontaise au jambon - Sans marque - 250g,3300842270089,['France'],"['Pommes de terre 57% ', 'eau ', 'sel', 'sauce mayonnaise 13% ', 'eau', 'huile de colza', ""vinaigre d'alcool"", ""jaune d'OEUF"", 'amidon modifié de maïs', 'sucre', 'MOUTARDE de Dijon ', 'eau', 'graines de MOUTARDE', ""vinaigre d'alcool"", 'sel', 'antioxydant : disulfite de potassium', 'acidifiant E330', 'sel', 'épaississant E415', 'acidifiant E330', 'conservateur E202', 'colorant : Lutéine ', 'extrait de tagète', ' ', 'tomates 11%', 'jambon supérieur de porc 9% ', ' jambon de porc  origine UE', 'bouillon ', 'eau', 'os et viande de porc', 'Légumes et jus de bouillon', 'acérola', 'huile d’olive vierge extra', 'sel', 'extrait de poivre noir', 'sel', 'dextrose', 'arômes', 'sucre de canne', 'antioxydants E316', 'E301', 'conservateur: E250', 'ferments', ""vinaigre d'alcool "", 'colorant E150c', 'OEUF 2% ', 'OEUF', 'saumure ', 'eau', 'acidifiants : E330', 'E270', 'cornichons 1', '9% ', 'saumure : eau', ""vinaigre d'alcool"", 'sel', 'chlorure de calcium', 'conservateur : disulfite de potassium E224']",['Non végétalien'],?,226,"20,4","4,7","5,9",250 g,['Sans marque'],,946 kj(226 kcal),"4,7","0,6","1,1","0,44",C,"['Plats préparés', 'Produits à la viande', 'Salades', 'Plats préparés à la viande', 'Salades composées', 'Plats au porc', 'Plats à base de pommes de terre', 'Salades de pommes de terre', 'Salades piémontaises', 'Salades piémontaises au jambon']","['Œufs', 'Moutarde', 'Anhydride sulfureux et sulfites']",4,,+51%,+91%,-44%,+45%,72.8%,14.2%,6.7%,3.8%,2.0%,0.5%,58,20.4 g,en quantité élevée,4.7 g,en quantité modérée,0.6 g,en faible quantité,1.1 g,en quantité modérée,+52%,+356%,-17%,+10%,+10%,7,+108%,C,+108%,['Point Vert'],"['FR 71.388.002 CE', 'Saint-Aubin-en-Charollais (Saône-et-Loire, France)']","['Barquette', 'Plastique', 'Réfrigéré']",,"['E14XX - Amidons modifiés', 'E224 - Disulfite de potassium', '', 'Risque élevé de sur-exposition', 'E330 - Acide citrique', 'E415 - Gomme xanthane', 'E202 - Sorbate de potassium', '', 'Risque élevé de sur-exposition', 'E161b - Lutéine', 'E316 - Érythorbate de sodium', 'E301 - Ascorbate de sodium', 'E250 - Nitrite de sodium', '', 'Risque élevé de sur-exposition', 'E150c - Caramel ammoniacal', '', 'Risque modéré de sur-exposition', 'E270 - Acide lactique']","Saalde de pommes de terre, sauce mayonnaise, tomates, jambon supérieur, oeufs et cornichons",['France'],,,
242,Soupe de legumes - Toupargel - 1kg,3248453076273,['France'],"['Légumes 47,7% ', 'pommes de terre 50,9%', 'poireaux 36,1%', 'épinards 8%', 'carottes 5%', 'eau', 'crème fraîche pasteurisée 6%', 'sel', 'oignons en poudre', 'persil']","['Sans huile de palme', 'Non végétalien', 'Végétarien']",?,38,"1,6","4,1","0,7",1 kg,['Toupargel'],,159 kj(38 kcal),"0,3","0,7","0,52","0,208",B,"['Aliments et boissons à base de végétaux', ""Aliments d'origine végétale"", 'Aliments à base de fruits et de légumes', 'Surgelés', 'Plats préparés', 'Soupes', 'Soupes de légumes', 'Plats préparés surgelés', 'Soupes surgelées', 'Soupes de légumes surgelées']",['Lait'],3,,-19%,-15%,-10%,-53%,25.5%,33.0%,16.0%,11.0%,10.2%,4.3%,97,1.6 g,en faible quantité,0.3 g,en faible quantité,0.7 g,en faible quantité,0.52 g,en quantité modérée,-19%,-74%,-57%,+17%,+17%,1,+13%,B,+13%,,,"['Plastique', 'Surgelé']",,,"potage aux pommes de terre et aux poireaux, surgelé",,,,
243,Maple kisses,0063434230108,['France'],[],[],?,280,7,68,0,,,,1172 kj(280 kcal),6,25,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
244,Dosette café corse x36,5411651091210,['France'],[],[],?,?,?,?,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
245,4 Saisons - Jadis et Gourmande - 200g,3662376039915,['France'],"['Beurre de cacao', 'pâte de cacao 72 %', 'pâte de cacao 33 %', 'lait en poudre', 'lactose', 'farine de blé', ""farine de malt d'orge"", 'sucre', 'saccharose', 'vanille', 'vanilline', 'sel', 'bicarbonate de sodium', ' émulsifiants matière grasse de lait anhydre', 'lécithine de soja', 'graisse végétale', 'protéines de lait', 'lécithine de tournesol', 'colorants E120', 'E160c', ' antioxydant E306', ' arômes naturels: arôme naturel vanille', ""arôme naturel d'orange""]","[""Pourrait contenir de l'huile de palme"", 'Non végétalien', 'Non végétarien']",?,?,?,?,?,200 g,['Jadis et Gourmande'],,,,,,,,"['Snacks', 'Snacks sucrés', 'Cacao et dérivés', 'Chocolats', 'Assortiments de chocolats']","['Gluten', 'Lait', 'Soja']",4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"['Sachet', 'Plastique']",,"['E500ii - Carbonate acide de sodium', 'E322i - Lécithine', 'E120 - Acide carminique', 'E160c - Extrait de paprika', 'E306 - Extrait riche en tocophérols']",Assortiments de chocolats - 4 Saisons,,,,
246,Graham's protein 22,5025840003887,['France'],[],[],?,78,"0,4","7,2","11,4",,,,326 kj(78 kcal),"0,2","5,1","0,1","0,04",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
247,Mozzarella fabriquée en italie. A cuisiner - Monoprix - 150g,3744467357211,['France'],"['Lait pasteurisé de vache ', 'origine UE', ' - coagulant microbien - ferments lactiques - sel - antiagglomérant: cellulose']","['Sans huile de palme', 'Non végétalien', 'Végétarien']",?,324,25,"1,8",23,150 g,['Monoprix'],['Monoprix'],1356 kj(324 kcal),17,0,"1,1","0,44",D,"['Produits laitiers', 'Produits fermentés', 'Produits laitiers fermentés', 'Fromages', 'Fromages italiens', 'Fromages à pâte filée', 'Mozzarella', 'Fromages râpés']",['Lait'],4,,-13%,-13%,+86%,-16%,84.0%,5.8%,4.0%,4.0%,1.8%,0.5%,54,25 g,en quantité élevée,17 g,en quantité élevée,0 g,en faible quantité,1.1 g,en quantité modérée,-13%,-12%,-100%,+10%,+10%,13,+1%,D,+1%,,,,,['E460 - Cellulose'],,,,,['Union européenne']
248,Langue de boeuf - Tendre & Plus,2498786034834,['France'],[],[],?,153,10,"3,8",12,,['Tendre & Plus'],,640 kj(153 kcal),"3,6","1,7",1,"0,4",E,"['Viandes', 'Bœuf', 'Langues de bœuf']",,,,-1%,-3%,-6%,+11%,97.7%,0.4%,0.8%,0.7%,0.4%,0.1%,10,10 g,en quantité modérée,3.6 g,en quantité modérée,1.7 g,en faible quantité,1 g,en quantité modérée,-0%,-13%,+16%,+2%,+2%,3,-38%,C,-38%,,,,,,,,,,
249,Miel de fleurs - apiculteur pastoral - 500g,3760064140131,['France'],['Miel'],"['Sans huile de palme', 'Non végétalien', 'Végétarien']",?,?,?,?,?,500 g,['apiculteur pastoral'],,,,,0,0,B,"['Produits à tartiner', 'Petit-déjeuners', 'Produits de la ruche', ""Produits d'élevages"", 'Produits à tartiner sucrés', 'Édulcorants', 'Miels', 'Miels de fleurs']",,2,,,,,,87.9%,0.0%,7.7%,3.1%,1.3%,0.0%,82,,,,,,,0 g,en faible quantité,,,,-100%,-100%,,,,,,,['pot en verre'],,,,['réalmont 81120'],,,['Française']
250,Graines de lin,3700146204146,['France'],[],[],?,530,42,"1,9",22,,,,2218 kj(530 kcal),"3,7","1,5","0,08","0,032",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,['Bio'],,,,,,,,,
251,Bloc de foie gras d'oie - Comtesse du Barry - 150g,3660806021233,['France'],"[""Foie gras d'oie "", 'origine France', 'eau', 'sel', 'Porto', 'Armagnac', 'épices', 'sucre', 'conservateur : nitrite de sodium', 'antioxydant : ascorbate de sodium']","['Sans huile de palme', 'Non végétalien', 'Non végétarien']",1705,?,42,"2,3",7,150 g,['Comtesse du Barry'],,1705 kj(408 kcal),18,"0,6","1,1","0,44",A,"['Poissons et viandes et oeufs', 'Foies gras', ""Foies gras d'oies"", 'Bloc de foie gras']",,3,-10%,,-9%,+5%,-12%,70.7%,8.0%,8.5%,7.3%,4.3%,1.2%,89,42 g,en quantité élevée,18 g,en quantité élevée,0.6 g,en faible quantité,1.1 g,en quantité modérée,-11%,-5%,-58%,-13%,-13%,19,-6%,E,-6%,['Point Vert'],,['Conserve'],,"['E250 - Nitrite de sodium', '', 'Risque élevé de sur-exposition', 'E301 - Ascorbate de sodium']",,['France'],,,['France']
252,Filet de poulet rôti - Le Gaulois,2431628018760,['France'],[],[],?,151,"5,8",0,24,,['Le Gaulois'],,632 kj(151 kcal),"1,4",0,"1,4","0,56",D,"['Viandes', 'Volailles', 'Poulets', 'Filets de poulet', 'Filets de poulet rotis']",,,,+4%,+8%,-100%,+2%,83.4%,9.5%,2.7%,2.7%,1.4%,0.4%,44,5.8 g,en quantité modérée,1.4 g,en faible quantité,0 g,en faible quantité,1.4 g,en quantité modérée,+4%,+3%,-100%,+4%,+4%,3,+17%,C,+17%,,,,,,,,,,
253,FATTORA 7-Farvet SPIRALER,8017070361131,"['France', 'Italie']",[],[],?,363,"1,5","73,5",13,,,,1519 kj(363 kcal),"0,6","2,1",0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
254,Choucroute cuisinée,32465730,['France'],[],[],?,81,"7,7","1,2","0,6",,,,339 kj(81 kcal),"1,81","0,2","1,73","0,692",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
255,10+ Natural muesli,9311898198719,['France'],[],[],?,359,"9,9","55,6","8,8",,,,1502 kj(359 kcal),"3,6","21,2","0,6","0,24",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,['Sans sucre ajouté'],,,,,,,,,
256,Le caramel du marin - La Maison d'Armorine,3561770000951,['France'],[],[],?,418,12,72,"4,3",,"[""La Maison d'Armorine""]",,1749 kj(418 kcal),7,47,"1,08","0,432",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
257,Boudin noir au oignons,3327970094127,['France'],[],[],?,261,21,0,18,,,,1092 kj(261 kcal),"7,5",0,"1,6","0,64",D,"['Viandes', 'Charcuteries', 'Poissons et viandes et oeufs', 'Abats', 'Boudins', 'Produits tripiers', 'Boudins noirs', 'Boudins noirs aux oignons', 'Boudin noir sauté']",,,,+2%,-3%,-100%,+55%,87.1%,4.2%,2.1%,1.8%,1.0%,3.9%,35,21 g,en quantité élevée,7.5 g,en quantité élevée,0 g,en faible quantité,1.6 g,en quantité élevée,+3%,-10%,-100%,+20%,+20%,17,+8%,D,+8%,,,,,,,,,,
258,Fromage lait cru truffe,0203502024271,['France'],[],[],?,277,23,0,17,,,,1159 kj(277 kcal),16,0,"1,7","0,68",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
259,Villette ardrchoise,2402122032545,['France'],[],[],?,?,?,?,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
260,Chocolat au lait et éclats de nougat - Klaus - 400g,3025640159816,['France'],"['Sucre', 'beurre de cacao', 'pâte de caca', 'LAIT entier en poudre', 'éclats de nougat 8% ', 'AMANDES émondées grillées', 'sucre', 'sirop de glucose', 'miel', 'beurre de cacao', 'pain azyme ', 'fécule de pomme de terre', 'eau', "" albumine d'OEUF"", 'arôme naturel de vanille', ' LACTOSERUM en poudre', 'matiére grasse LAl IERE', 'émulsifiant lécithine de SOJA', 'extrait de vanilie Cacao: 30% minimum dans le chocolat', ' Traces possible de FRUITS A COQUE', 'GLUTEN', 'OEUFS', 'SESAME']",['Non végétalien'],?,527,29,57,"5,9",400 g,['Klaus'],,2205 kj(527 kcal),18,55,"0,2","0,08",E,"['Snacks', 'Snacks sucrés', 'Cacao et dérivés', 'Chocolats', 'Chocolats au lait']","['Œufs', 'Lait', 'Fruits à coque', 'Soja']",4,,-5%,-16%,+10%,-18%,84.1%,11.8%,1.2%,2.5%,0.4%,0.0%,24,29 g,en quantité élevée,18 g,en quantité élevée,55 g,en quantité élevée,0.2 g,en faible quantité,-5%,-8%,+12%,-14%,-14%,26,+2%,E,+2%,,,,,,,,,,
261,Butter unsalted - Arla - 200g,5711953056017,['France'],"['beurre ', 'lait']","['Sans huile de palme', 'Non végétalien', 'Végétarien']",?,747,82,"0,7","0,6",200 g,['Arla'],,3125 kj(747 kcal),53,"0,7","0,01","0,004",E,"['Produits laitiers', 'Matières grasses', 'Produits à tartiner', 'Matières grasses à tartiner', 'Matières grasses animales', 'Matière grasse laitière', 'Produits laitiers à tartiner', 'Beurres', 'Beurres doux']",['Lait'],2,,+2%,+1%,-6%,-12%,91.6%,4.9%,1.3%,1.2%,0.8%,0.2%,27,82 g,en quantité élevée,53 g,en quantité élevée,0.7 g,en faible quantité,0.01 g,en faible quantité,+2%,-4%,+3%,-84%,-84%,19,+2%,E,+2%,,['DK M199 EC'],,,,,,,,
262,Émincé de poulet,2447180037910,['France'],[],[],?,113,"2,2","0,5",22,,,,473 kj(113 kcal),"0,7","0,5",1,"0,4",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
263,Douceur fermentée coco nature,3760149098531,['France'],[],[],?,163,14,"7,8","1,5",,,,682 kj(163 kcal),13,"3,7",0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
264,Edam - 200g,3265776713166,['France'],[],[],?,88,22,0,"23,5",200 g,,,368 kj(88 kcal),"14,3",0,"1,4","0,56",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
265,Foie de Boeuf,3039050182166,['France'],[],[],?,128,"3,6","3,9",20,,,,536 kj(128 kcal),"1,2",0,"0,17","0,068",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"['Viande Française', 'Viande-bovine-francaise']",,,,,,,,,
266,Riz arborio bio - Eco Basics,8411058000461,['France'],[],"['Végétalien', 'Végétarien']",?,361,"0,6",78,"7,4",,['Eco Basics'],,1510 kj(361 kcal),"0,1","0,6","0,01","0,004",B,"['Aliments et boissons à base de végétaux', ""Aliments d'origine végétale"", 'Céréales et pommes de terre', 'Graines', 'Céréales et dérivés', 'Céréales en grains', 'Riz', 'Riz de variété japonica', 'Riz pour risotto', 'Riz à grain court', 'Riz arborio']",,,,+3%,-16%,-0%,+5%,79.0%,0.0%,6.4%,11.0%,3.6%,0.0%,74,0.6 g,en faible quantité,0.1 g,en faible quantité,0.6 g,en faible quantité,0.01 g,en faible quantité,+3%,-45%,+178%,+94%,+94%,-1,,A,,"['Bio', 'Végétarien', 'Bio européen', 'Végétalien', 'AB Agriculture Biologique', 'ES-ECO-019-CT']",,,,,,,,,
267,Delice Banane Vert 80g,3760196420002,['France'],[],[],?,?,?,?,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
268,Kit kat cookies crumble,0059800504393,['France'],[],[],?,500,25,65,10,,['Kit Kat'],,2092 kj(500 kcal),15,50,1,"0,4",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
269,hummus,9100000818726,"['Autriche', 'France']",[],"['Végétalien', 'Végétarien']",?,?,?,?,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"['Végétarien', 'Végétalien']",,,,,,,,,
270,Pâté aux raisins - Jean Brunet,3269617106070,['France'],[],[],?,279,"23,4",3,14,,['Jean Brunet'],,1167 kj(279 kcal),"8,8","1,85","1,63","0,652",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"['Fabriqué en France', 'Sans conservateurs']",,,,,,,,,
271,Manga nectar,6224000865856,['France'],[],[],?,61,1,"15,1",1,,,,255 kj(61 kcal),0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
272,Terrine campagnarde à l'échalotte,3574314410376,['France'],[],[],?,463,46,"0,6",10,,,,1937 kj(463 kcal),0,0,"1,49","0,596",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
273,Purée de mandarines,3174070003210,['France'],[],[],?,91,"0,2","19,1","0,5",,,,381 kj(91 kcal),"0,1","19,1","0,016","0,006",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
274,Etchola,0211087018639,['France'],[],[],?,380,32,1,22,,,,1590 kj(380 kcal),23,0,17,"6,8",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
275,Snappers Barbecue Flavour - Frimax - 22g,6001966001302,"['France', 'Afrique du Sud']","['Maïs', 'huile végétale ', 'huile de coton', 'antioxydant ', 'TBHQ', 'substances aromatisantes naturelles ', 'soja', ' ', 'protéines hydrolysées', 'lactosérum en poudre ', 'lait de vache', 'sel', 'farine de maïs', 'glutamate monosodique ', 'E621', 'paprika', 'piment', 'oignon', 'huile végétale ', 'graine de tournesol', 'anti-agglomérant ', 'E551', 'sunset yellow ', 'E110', 'exhausteur de goût ', 'E627', 'E631', 'extrait de paprika ', 'E160c', 'chlorure de potassium ', 'E508']",['Non végétalien'],2280,?,35,54,"6,9",22 g,['Frimax'],,2280 kj(545 kcal),10,"2,4","2,001","0,8",B,"['Snacks', 'Snacks salés', 'Apéritif', 'Chips et frites', 'Chips', 'Chips de maïs']","['Lait', 'Soja']",4,+13%,,+54%,-10%,+8%,62.4%,19.7%,7.4%,7.2%,3.4%,0.0%,78,35 g,en quantité élevée,10 g,en quantité élevée,2.4 g,en faible quantité,2 g,en quantité élevée,+13%,+241%,+27%,+71%,+71%,18,+86%,D,+86%,['Halal'],,"['Sachet', 'Plastique']",,"['E319 - Butylhydroquinone tertiaire', 'E621 - Glutamate monosodique', '', 'Risque élevé de sur-exposition', 'E551 - Dioxyde de silicium', 'E110 - Jaune orangé S', 'E627 - Guanylate disodique', 'E631 - Inosinate disodique', 'E160c - Extrait de paprika']",Chips de maïs,['South Africa'],,,
276,Purée d'ananas -,3174070003111,['France'],[],[],?,90,"0,1","21,9","0,4",,,,377 kj(90 kcal),"0,1","18,4","0,007","0,003",B,"['Aliments et boissons à base de végétaux', ""Aliments d'origine végétale"", 'Desserts', 'Aliments à base de fruits et de légumes', 'Fruits et produits dérivés', 'Compotes']",,,,+34%,-69%,+50%,-4%,35.2%,26.4%,14.9%,14.0%,7.5%,2.0%,96,0.1 g,en faible quantité,0.1 g,en faible quantité,18.4 g,en quantité élevée,0.007 g,en faible quantité,+35%,+18%,+38%,-30%,-30%,0,,B,,,,,,,,,,,
277,1/4 de p'tit oreiller - le moulin des moissons - 350g,3770002532089,['France'],"['Farine de blé T80 Eau Levain de miel Sel Levure ', '0', '6% maximum']",[],?,?,?,?,?,350g,['le moulin des moissons'],['la louve'],,,,,,,"['Aliments et boissons à base de végétaux', ""Aliments d'origine végétale"", 'Céréales et pommes de terre', 'Pains']",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,['sac plastique'],,,,,,,
278,Betises de cambrey - Afchain,3048461820215,['France'],[],[],?,385,"0,5","96,2","0,5",,['Afchain'],,1611 kj(385 kcal),"0,01",78,"0,1","0,04",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
279,Tagliatelle méditerranée,8052478370385,['France'],[],[],?,363,"2,71","69,25","15,43",,,,1519 kj(363 kcal),"0,9","3,4","0,1","0,04",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
280,Poivre vert,3388550000235,['France'],[],[],?,?,?,?,?,,,,,,,,,B,"['Aliments et boissons à base de végétaux', ""Aliments d'origine végétale"", 'Epicerie', 'Condiments', 'Epices', 'Poivres', 'Poivres verts']",,,,,,,,41.9%,0.0%,34.8%,11.8%,11.5%,0.0%,94,,,,,,,,,,,,,,,,,,,,,,,,,,,
281,Soupe tomate basilic bio,3700238321874,['France'],[],[],?,59,"2,8","7,5","0,9",,,,247 kj(59 kcal),"1,4","5,5","0,2","0,08",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,['Bio'],,,,,,,,,
282,Nem Crabe Crevette Exostar,3700294608261,['France'],[],[],?,138,"0,6","27,7","5,6",,,,577 kj(138 kcal),0,2,"0,506","0,202",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
283,Tarte Poireaux Patates douces,3760246820318,['France'],[],[],?,212,"9,1","26,4","5,3",,,,887 kj(212 kcal),"1,1","2,8","0,56","0,224",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"['Bio', 'Bio européen', 'en:gluten-free', 'AB Agriculture Biologique', 'Agriculture UE/Non UE', 'FR-BIO-01', 'Sans lactose']",,,,,,,,,
284,Moutarde Banuyls Miel,3760105200206,['France'],[],[],?,235,"8,5",31,"8,5",,,,983 kj(235 kcal),"0,6",14,4,"1,6",B,"['Epicerie', 'Condiments', 'Sauces', 'Moutardes']",,,,+38%,-21%,+349%,+29%,57.4%,14.5%,21.8%,4.8%,1.5%,0.0%,75,8.5 g,en quantité modérée,0.6 g,en faible quantité,14 g,en quantité élevée,4 g,en quantité élevée,+38%,-27%,+263%,-15%,-15%,15,+29%,D,+29%,,,,,,,,,,
285,Nouille de riz en nids - Wei Ming,3275760001131,['France'],[],[],?,150,"2,2","73,7","6,4",,['Wei Ming'],,628 kj(150 kcal),"0,76","0,01","0,03","0,012",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
286,Emmental francais,2316758017480,['France'],[],[],?,377,29,2,27,,,,1577 kj(377 kcal),"19,5",2,"0,9","0,36",D,"['Produits laitiers', 'Produits fermentés', 'Produits laitiers fermentés', 'Fromages', 'Fromages à pâte pressée cuite', 'Fromages de vache', 'Emmentals', 'Fromages de France', 'Emmentals français']",,,,-1%,-2%,+229%,-3%,82.8%,8.1%,3.5%,3.6%,1.6%,0.4%,49,29 g,en quantité élevée,19.5 g,en quantité élevée,2 g,en faible quantité,0.9 g,en quantité modérée,-0%,-2%,+323%,+53%,+53%,12,+7%,D,+7%,,,,,,,,,,
287,Ivoria Bal Escargot NR,3250391741045,['France'],[],[],?,553,33,53,8,,['Ivoria'],,2314 kj(553 kcal),13,53,"0,03","0,012",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
288,Extrait De Pépins De Pamplemousse 1200MG - 90 ML - Biotechnie,3401561008202,['France'],[],[],?,?,?,?,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
