,name,bar_code,labels,sales_countries,ingredients_list,ingredients_analysis,nutriment_energy-kj_tr,nutriment_energy-kcal_tr,nutriment_energy_tr,nutriment_fat_tr,nutriment_saturated-fat_tr,nutriment_carbohydrates_tr,nutriment_sugars_tr,nutriment_proteins_tr,nutriment_salt_tr,nutriment_sodium_tr,quantity,eco_score,categories,fats_lipids_quantity,fats_lipids_comment,saturated_acids_quantity,saturated_acids_comment,sugar_quantity,sugar_comment,salt_quantity,salt_comment,nutriment_energy-kj_tr_diff,nutriment_energy-kcal_tr_diff,nutriment_energy_tr_diff,nutriment_fat_tr_diff,nutriment_saturated-fat_tr_diff,nutriment_carbohydrates_tr_diff,nutriment_sugars_tr_diff,nutriment_proteins_tr_diff,nutriment_salt_tr_diff,nutriment_sodium_tr_diff,nutriment_nutrition-score-fr_tr,nutriment_nutrition-score-fr_tr_diff,nutriment_nutriscore_tr,nutriment_nutriscore_tr_diff,Agriculture,Transformation,Conditionnement,Transport,Distribution,Consommation,Score_ACV,brand,markets,traceability_code,manufacturing,packaging,brand_owner,additives,allergens,nova_score,ingredients_origins,generic_name,link
1099,Le Brie Pays,0205735023854,,['France'],[],[],?,346,1448 kj(346 kcal),30,19,1,1,19,"1,3","0,52",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1100,Yaourt nature,3700817700205,,['France'],[],[],?,56,234 kj(56 kcal),"2,4","1,7","4,7","3,8","3,8","0,11","0,044",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1101,Rabenhorst R. bietensap 100 Bio,4004192001032,['Bio'],['France'],[],[],?,37,155 kj(37 kcal),"0,5","0,1",8,8,"0,5","0,13","0,052",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,['Rabenhorst'],,,,,,,,,,,
1102,entremet caramel - 7x 25.0g,3770000832174,,['France'],[],[],?,381,1594 kj(381 kcal),"5,2","2,4","10,4","4,8",72,"1,88","0,752",7 x 25.0 g,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1103,Confiture extra cerise noire,3324490375828,,['France'],[],[],?,253,1059 kj(253 kcal),"0,26","0,06","62,08","62,08","0,69","0,03","0,012",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1104,Compote gourmande pêche,3546940030068,,['France'],[],[],?,143,598 kj(143 kcal),"0,2","0,01",34,31,"0,5","0,026","0,01",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1105,Gateau basque - Krill - 900g,3661366204296,,['France'],[],[],?,302,1264 kj(302 kcal),"11,7","7,2",45,"22,3","3,7","0,6","0,24",900 g,,"['Surgelés', 'Biscuits et gâteaux', 'Gâteaux', 'Gâteaux et pâtisseries surgelés', 'Gâteau basque']",11.7 g,en quantité modérée,7.2 g,en quantité élevée,22.3 g,en quantité élevée,0.6 g,en quantité modérée,,-10%,-10%,-32%,-21%,+16%,-12%,-27%,+120%,+120%,16,+2%,D,+2%,,,,,,,,['Krill'],['Krill'],"['EMB 64134A', 'Bonloc (Pyrénées-Atlantiques, France)']",,"['sous vide', 'surgelé']",,,,,,,
1106,Poppies - Hahne,4008569008600,,['France'],[],[],?,391,1636 kj(391 kcal),"3,6","1,4","78,6","35,1","8,1",0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,['Hahne'],,,,,,,,,,,
1107,Poulet nourri aux graines de lin - Maître Coq,0215392041856,,['France'],[],[],?,171,715 kj(171 kcal),"9,4","2,5","0,6",0,21,"0,17","0,068",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,['Maître Coq'],,,,,,,,,,,
1108,1/2 caillasse de Savoie,2309617003946,,['France'],[],[],?,121,506 kj(121 kcal),"2,9","1,1","1,1","0,7","22,4","2,81","1,124",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"['FR 74.104.001 CE', 'Doussard (Haute-Savoie, France)']",,,,,,,,,
1109,Fleur de sel de Camargue,3183280025615,,['France'],[],[],?,?,,?,,?,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1110,Pain waldkorn multi cereale,,,['France'],[],[],?,?,,?,,?,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1111,Krisprolls,4311443462611,,['France'],[],[],?,390,1632 kj(390 kcal),"6,3","2,2",67,"1,4",12,"1,2","0,48",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1112,Brioche Nanterre maison,0208006013059,,['France'],[],[],?,458,1916 kj(458 kcal),27,18,45,"9,5","7,9","1,4","0,56",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1113,Poulet du Perigord,2233108045989,,['France'],[],[],?,?,,?,,?,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1114,Canneberges enrobées de chocolat noir,0055526062100,,['France'],[],[],?,457,1912 kj(457 kcal),17,10,71,60,"2,8","0,008","0,003",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1115,Peche plate,8437014501162,,['France'],[],[],?,?,,?,,?,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1116,Metcalfe's Skinny Popcorn Sweet 'N Salt - 6x 17g,5017764000677,,['France'],[],[],?,481,2013 kj(481 kcal),"23,8","1,4","53,4","18,1","8,1","1,3","0,52",6 x 17 g,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1117,Pate à tartiner,3760130042864,,['France'],[],[],?,555,2322 kj(555 kcal),36,6,45,43,2,"0,05","0,02",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1118,Nectar Goiaba do brasil groselha - Continente,5601312090793,,['France'],[],[],?,?,,?,,?,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,['Continente'],,,,,,,,,,,
1119,Éclair au chocolat,0201602013126,,['France'],[],[],?,?,,?,,?,,?,,,,,"['Biscuits et gâteaux', 'Pâtisseries', 'Éclairs', 'Éclairs au chocolat']",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1120,Mermelada extra de frambuesa - Helios - 350g,8410095505403,['en:gluten-free'],"['France', 'Espagne']",[],[],?,190,795 kj(190 kcal),0,0,45,"41,2","0,5",0,0,350 g,C,"['Aliments et boissons à base de végétaux', ""Aliments d'origine végétale"", 'Produits à tartiner', 'Petit-déjeuners', 'Pâtes à tartiner végétales', 'Produits à tartiner sucrés', 'Confitures et marmelades', 'Confitures', 'Confitures de fruits rouges', 'Confitures de framboises']",0 g,en faible quantité,0 g,en faible quantité,41.2 g,en quantité élevée,0 g,en faible quantité,,-15%,-15%,-100%,-100%,-16%,-20%,-26%,-100%,-100%,10,+13%,C,+13%,65.8%,9.7%,13.4%,8.4%,2.2%,0.6%,60,['Helios'],,,,,,,,,,,
1121,Beurre Bio - 250g,3309742757119,['Bio'],['France'],[],[],?,743,3109 kj(743 kcal),82,55,"0,6","0,6","0,7","0,04","0,016",250 g,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1122,Abricot Barquette,3700369350071,,['France'],[],[],?,?,,?,,?,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1123,Nectar de fleur de coco,5425022731186,"['Bio', 'Bio européen', 'BE-BIO-01', 'Sans conservateurs']",['France'],[],[],?,290,1213 kj(290 kcal),"0,3","0,16","71,25","69,4","0,59","0,74","0,296",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1124,Ananas extra sweet prêt à déguster,2868500012996,['Sans conservateurs'],['France'],[],[],?,42,176 kj(42 kcal),0,0,9,"7,1","0,7","0,1","0,04",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1125,4132500076004,4132500076004,,['France'],[],[],?,?,,?,,?,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1126,Thon blanc à l'huile d'olive - Rianxeira,8410131015354,,['France'],[],[],?,357,1494 kj(357 kcal),31,"4,6","0,9","0,5",19,"0,2","0,08",,E,"['Conserves', 'Produits de la mer', 'Poissons', 'Poissons en conserve', 'Thons', 'Thons en conserve', ""Thons à l'huile"", ""Thons à l'huile d'olive""]",31 g,en quantité élevée,4.6 g,en quantité modérée,0.5 g,en faible quantité,0.2 g,en faible quantité,,+41%,+42%,+78%,+52%,+256%,+376%,-20%,-80%,-80%,3,-44%,C,-44%,66.2%,13.9%,12.9%,6.2%,0.4%,0.4%,22,['Rianxeira'],,,,,,,,,,,
1127,Nudelauflauf mit gekochtem Schinken und Brokkoli - Dornseifer,4013189482495,,"['France', 'Allemagne']",[],[],?,?,,?,,?,,?,,,,,"['Plats préparés', 'Plats à base de pâtes']",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,['Dornseifer'],,,,"['Stück', 'Stück']",,,,,,,
1128,Donys,0207350017058,,['France'],[],[],?,?,,?,,?,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1129,Vitpris X5 Alsa 200G Offre Economique,3011360085290,,['France'],[],[],?,?,,?,,?,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1130,Käsekracker,0076410904931,,"['France', 'Allemagne']",[],[],?,?,,?,,?,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1131,Biskuit,85833128,,"['France', 'Allemagne']",[],[],?,?,,?,,?,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1132,Pesto Della RIVIERA,8004501400217,,['France'],[],[],?,?,,?,,?,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1133,Vaux,0245959041722,,['France'],[],[],?,404,1690 kj(404 kcal),"33,4","11,6","4,8","4,4","20,5",3,"1,2",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1134,Chocolat au lait,5420038112240,,['France'],[],[],?,590,2469 kj(590 kcal),43,22,46,43,"6,2","0,2","0,08",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1135,1/4 jambon 9 mois,2462779103159,,['France'],[],[],?,403,1686 kj(403 kcal),"31,1","10,8",0,0,"28,7","6,3","2,52",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1136,Brochettes de poulet au piment d'Espelette,0213522045262,['Sans colorants'],['France'],[],[],?,148,619 kj(148 kcal),"7,7","1,9","1,1","0,8",18,"1,9","0,76",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"['FR 79.195.001 CE', 'Nueil-les-Aubiers (Deux-Sèvres, France)']",,,,,,,,,
1137,Jben,3760074380923,,['France'],[],[],?,?,,?,,?,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1138,Chipolatas supérieures,2887827015619,,['France'],[],[],?,?,,?,,?,,?,,,,E,"['Viandes', 'Charcuteries', 'Saucisses', 'Saucisses françaises', 'Chipolatas']",,,,,,,,,,,,,,,,,,,,,,,86.2%,9.9%,1.8%,1.2%,0.7%,0.2%,24,,,,,,,,,,,,
1139,Miel d'acacia délicat essaim - 400g,3760001822571,,['France'],[],[],?,?,,?,,?,,?,,,400 g,B,"['Produits à tartiner', 'Petit-déjeuners', 'Produits de la ruche', ""Produits d'élevages"", 'Produits à tartiner sucrés', 'Édulcorants', 'Miels', ""Miels d'acacia""]",,,,,,,,,,,,,,,,,,,,,,,87.9%,0.0%,7.7%,3.1%,1.3%,0.0%,82,,,,,,,,,,,,
1140,Fromage de tête,0237017021197,,['France'],[],[],?,127,531 kj(127 kcal),"5,8","2,4","0,5","0,5","18,8","2,24","0,896",,D,"['Viandes', 'Charcuteries', 'Charcuteries diverses', 'Pâté', 'Pâtés de tête']",5.8 g,en quantité modérée,2.4 g,en quantité modérée,0.5 g,en faible quantité,2.24 g,en quantité élevée,,-35%,-32%,-58%,-54%,-34%,+41%,+23%,+29%,+29%,12,+2%,D,+2%,76.6%,14.8%,4.7%,2.2%,1.3%,0.4%,42,,,,,,,,,,,,
1141,Vin de pays du Var,3474860000505,,['France'],[],[],?,?,,?,,?,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1142,Pain surprise campagne,3251513965004,,['France'],[],[],?,236,987 kj(236 kcal),"8,9","3,5","27,9","6,2","8,3","1,2","0,48",,,"['Sandwichs', 'Pains surprise']",8.9 g,en quantité modérée,3.5 g,en quantité modérée,6.2 g,en quantité modérée,1.2 g,en quantité modérée,,-8%,-8%,-16%,-18%,-5%,+50%,-9%,-2%,-2%,11,+11%,D,+11%,,,,,,,,,,,,,,,,,,,
1143,Sanbitter Emozioni - Sanpellegrino,8002270406584,,"['France', 'Espagne']",[],[],?,21,88 kj(21 kcal),0,0,"4,5","4,5",0,"0,02","0,008",,,"['Snacks', 'Snacks salés', 'Apéritif']",0 g,en faible quantité,0 g,en faible quantité,4.5 g,en faible quantité,0.02 g,en faible quantité,,-96%,-96%,-100%,-100%,-91%,+45%,-100%,-99%,-99%,0,-100%,B,-100%,,,,,,,,['Sanpellegrino'],,,,,,,,,,,
1144,Gratons,2424910020794,,['France'],[],[],?,715,2992 kj(715 kcal),65,26,"4,7","0,5",28,"1,1","0,44",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1145,Thoïonade - Sur le Sentier des Bergers,3760183040084,,['France'],[],[],?,?,,?,,?,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,['Sur le Sentier des Bergers'],,,,,,,,,,,
1146,Cornish apple juice,5032535000823,,['France'],[],[],?,46,192 kj(46 kcal),"0,1",0,"11,3","9,6","0,1","0,01","0,004",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1147,Melange mexicain,2600692023615,,['France'],[],[],?,524,2192 kj(524 kcal),"32,2","6,4","37,5","2,5","17,2","1,5","0,6",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1148,Porc au caramel et son riz Cantonais - Comme j'aime - 300g,3112940826002,"['Sans arômes artificiels', 'Fabriqué en France', 'Sans colorants', 'Sans conservateurs']",['France'],[],[],494,117,494 kj(117 kcal),"2,6","0,7",16,"2,8","6,6","0,79","0,316",300 g,,"['Plats préparés', 'Produits à la viande', 'Plats préparés à la viande', 'Plats à base de riz', 'Plats au porc', 'Plats préparés à réchauffer au micro-ondes']",2.6 g,en faible quantité,0.7 g,en faible quantité,2.8 g,en faible quantité,0.79 g,en quantité modérée,-34%,-36%,-35%,-71%,-77%,+9%,+49%,-21%,-32%,-32%,-1,-117%,A,-117%,,,,,,,,"[""Comme j'aime""]","[""Comme j'aime""]",,['France'],"['Carton', 'Plastique', 'Barquette']",,,,,,,
1149,Filet canard en tournedos - Fine France - 2,2254185044672,,['France'],[],[],?,?,,?,,?,,?,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,['Fine France'],,,,,,,,,,,
1150,Beguda refrescant de suc de taronja,8410470181116,,['France'],[],[],?,4,17 kj(4 kcal),0,0,1,1,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1151,Assortiment saucisses barbevue - Despi,175320100204,,['France'],[],[],?,?,,?,,?,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,['Despi'],,,,,,,,,,,
1152,Squbes,5391520170652,,['France'],[],[],?,157,657 kj(157 kcal),"10,1","1,4","9,4","2,1","6,1","0,4","0,16",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1153,Tartelettes fraise,1111111161609,,['France'],[],[],?,154,644 kj(154 kcal),"6,7","4,4",20,"9,3","2,5","0,12","0,048",,D,"['Tartes', 'Tartelettes', 'Tartelettes aux fruits', 'Biscuit sec nappé aux fruits', 'Tartelettes à la fraise']",6.7 g,en quantité modérée,4.4 g,en quantité modérée,9.3 g,en quantité modérée,0.12 g,en faible quantité,,-53%,-55%,-40%,-29%,-65%,-65%,-35%,-64%,-64%,6,-61%,C,-61%,83.8%,8.2%,3.7%,2.3%,2.0%,0.0%,53,,,,,,,,,,,,
1154,Cold brew - Voelkel,4015533032912,,['France'],[],[],?,19,79 kj(19 kcal),"0,5","0,1","4,4",4,"0,5","0,01","0,004",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,['Voelkel'],,,,,,,,,,,
1155,"Clous De Girofle, 30 Grammes - Ducros",3166291428606,,['France'],[],[],?,?,,?,,?,,?,,,,B,"['Aliments et boissons à base de végétaux', ""Aliments d'origine végétale"", 'Epicerie', 'Condiments', 'Epices', 'Clous de girofle']",,,,,,,,,,,,,,,,,,,,,,,63.8%,0.0%,18.2%,12.0%,6.0%,0.0%,79,['Ducros'],,,,,,,,,,,
1156,Torrone morbido - 75g,8002325013194,,['France'],[],[],?,454,1900 kj(454 kcal),"15,3","11,2","75,6","72,2","2,6","0,04","0,016",75 g,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1157,Saumon fumé gourmet - Labeyrie,3033610065289,['Fumé en France'],['France'],[],[],?,?,,?,,?,,?,,,,E,"['Produits de la mer', 'Poissons', 'Saumons', 'Poissons fumés', 'Saumons fumés']",,,,,,,,,,,,,,,,,,,,,,,96.2%,0.0%,1.6%,1.4%,0.7%,0.2%,24,['Labeyrie'],,"['FR 40.261.001 CE', 'Saint-Geours-de-Maremne (Landes, France)']",['France'],"['Frais', 'Sous vide']",,,,,,,
1158,salade grecque,3061432119705,,['France'],[],[],?,115,481 kj(115 kcal),"9,9","2,59",3,"2,9","2,3","0,578","0,231",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"['EMB 56075D', 'Guer (Morbihan, France)']",,,,,,,,,
1159,Choco-dic - 80g,3760057511184,,['France'],[],[],?,?,,?,,?,,?,,,80 g,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1160,Salade vosgienne,3300842240433,,['France'],[],[],?,184,770 kj(184 kcal),15,"3,2",9,"1,1","3,3","1,3","0,52",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1161,Mélange bien etre grand frais,2600289028016,,['France'],[],[],?,500,2092 kj(500 kcal),31,"0,8",37,33,13,"0,18","0,072",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1162,Cackers Epeautre 3 Graines - Carrefour - 200g,3245413458506,"['Bio', 'Bio européen', 'DE-ÖKO-006', 'Agriculture UE/Non UE', 'Fabriqué en Allemagne', 'AB Agriculture Biologique']",['France'],[],[],?,416,1741 kj(416 kcal),21,"2,9",48,"2,5",15,2,"0,8",200 g,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,['Carrefour'],['Carrefour'],,,,,,,,,,
1163,Bueno,3598202029662,,['France'],[],[],?,65,272 kj(65 kcal),5,2,69,68,7,3,"1,2",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1164,Clafoutis aux griottes,3294517000517,,['France'],[],[],?,202,845 kj(202 kcal),6,"3,8",32,22,"4,5","0,14","0,056",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1165,Gouttes de poivrons jaunes,3111952020873,,['France'],[],[],?,117,490 kj(117 kcal),0,0,25,20,"1,5","0,7","0,28",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1166,Coconut water,3770013789007,,['France'],[],[],?,15,63 kj(15 kcal),0,0,"3,6",2,"0,1","0,05","0,02",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1167,Moelleux au chocolat,0203442029527,,['France'],[],[],?,?,,?,,?,,?,,,,D,"['Biscuits et gâteaux', 'Gâteaux', 'Gâteaux au chocolat', 'Moelleux au chocolat']",,,,,,,,,,,,,,,,,,,,,,,83.9%,9.8%,1.9%,2.9%,1.1%,0.3%,36,,,,,,,,,,,,
1168,Thé russe bio,3700809376876,['Bio'],['France'],[],[],?,?,,?,,?,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1169,SORBET GOURMAND - Palais des Thés,2700813001000,,['France'],[],[],?,?,,?,,?,,?,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,['Palais des Thés'],,,,,,,,,,,
1170,Vinaigre balsamique de modene,3335122723504,,['France'],[],[],?,?,,?,,?,,?,,,,B,"['Vinaigres', 'Vinaigres balsamiques', 'Vinaigres balsamiques de Modène']",,,,,,,,,,,,,,,,,,,,,,,39.4%,16.4%,33.5%,8.2%,2.4%,0.0%,91,,,,,,,,,,['Italie'],,
1171,Cuisse de Canette Morilles Pommes de terre Comté - Toupargel,3366760042795,,['France'],[],[],?,180,753 kj(180 kcal),11,"4,8",7,1,13,"0,72","0,288",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,['Toupargel'],,,,,,,,,,,
1172,Côtes de Provence,3254564467718,,['France'],[],[],?,?,,?,,?,,?,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1173,PeyRose,3760058310168,,['France'],[],[],?,?,,?,,?,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1174,Travers de porc sauce barbecue,0212410076227,,['France'],[],[],?,?,,?,,?,,?,,,,E,"['Viandes', 'Plats préparés', 'Viandes cuites', 'Produits à la viande', 'Viande blanche cuite', 'Plats préparés à la viande', 'Porc', 'Plats au porc', 'Viande de porc cuite', 'Travers de porc', 'Travers de porc braisés', 'en:raw-meats', 'en:raw-pork-meat']",,,,,,,,,,,,,,,,,,,,,,,76.2%,16.4%,3.2%,1.3%,0.7%,2.1%,14,,,,,,,,,,,,
1175,Aceto balsamico di modena,8032181009291,,['France'],[],[],?,190,795 kj(190 kcal),0,0,"42,3","42,3","0,6","0,03","0,012",,B,"['Vinaigres', 'Vinaigres balsamiques', 'Vinaigres balsamiques de Modène']",0 g,en faible quantité,0 g,en faible quantité,42.3 g,en quantité élevée,0.03 g,en faible quantité,,+29%,+29%,-100%,-100%,+33%,+45%,-10%,-58%,-58%,,,,,39.4%,16.4%,33.5%,8.2%,2.4%,0.0%,91,,,,,,,,,,['Italie'],,
1176,Côte de Gascogne,3270040501073,,['France'],[],[],?,?,,?,,?,,?,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1177,Roti de porc cuit tranche,2234844002687,,['France'],[],[],?,177,741 kj(177 kcal),"8,4","3,4","3,2","0,6",22,"1,7","0,68",,E,"['Viandes', 'Porc', 'Rôtis de porc']",8.4 g,en quantité modérée,3.4 g,en quantité modérée,0.6 g,en faible quantité,1.7 g,en quantité élevée,,+23%,+24%,+67%,+63%,+292%,-4%,-2%,-1%,-1%,12,+68%,D,+68%,77.9%,17.0%,3.2%,1.1%,0.6%,0.2%,21,,,"['FR 37.281.031 CE', 'Vouvray (Indre-et-Loire, France)']",,,,,,,,,
1178,Turrón yema tostada - La Fama,8410152050570,['en:gluten-free'],['France'],[],[],?,492,2059 kj(492 kcal),27,"3,3",51,51,11,"0,04","0,016",,E,"['Snacks', 'Snacks sucrés', 'Confiseries', 'Aliments et boissons de Noël', 'Confiseries de Noël', 'Touron', ""Tourons au jaune d'œuf grillé""]",27 g,en quantité élevée,3.3 g,en quantité modérée,51 g,en quantité élevée,0.04 g,en faible quantité,,+7%,+7%,+11%,+26%,+5%,+26%,+5%,+21%,+21%,19,+37%,E,+37%,91.0%,4.2%,2.3%,2.0%,0.5%,0.0%,34,['La Fama'],,,,,,,,,,,
1179,Salma,2403050085863,,['France'],[],[],?,?,,?,,?,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1180,Pavé de saumon fumé a trancher (Zestes de Citron) - Labeyrie,3033610068655,,['France'],[],[],?,192,803 kj(192 kcal),12,"1,8",0,0,20,3,"1,2",,E,"['Produits de la mer', 'Poissons', 'Saumons', 'Poissons fumés', 'Saumons fumés', 'Pavés de saumon']",12 g,en quantité modérée,1.8 g,en quantité modérée,0 g,en faible quantité,3 g,en quantité élevée,,+1%,+1%,+2%,-11%,-100%,-100%,-1%,+729%,+729%,13,,D,,96.2%,0.0%,1.6%,1.4%,0.7%,0.2%,24,['Labeyrie'],,,,,,,,,,,
1181,Tarte aux fruits pur beurre,3250392746735,,['France'],[],[],?,246,1029 kj(246 kcal),"11,3","7,5","31,8","18,5","3,4","0,12","0,048",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1182,Huile d'olive extra vierge,5200119080565,"['Bio', 'Bio européen', 'GR-BIO-03']",['France'],[],[],?,824,3448 kj(824 kcal),92,13,0,0,0,0,0,,C,"['Aliments et boissons à base de végétaux', ""Aliments d'origine végétale"", 'Matières grasses', 'Matières grasses végétales', ""Produits de l'olivier"", 'Huiles', ""Huiles d'olive"", ""Huiles d'olive vierges"", ""Huiles d'olive vierges extra""]",92 g,en quantité élevée,13 g,en quantité élevée,0 g,en faible quantité,0 g,en faible quantité,,-4%,-4%,-4%,-7%,,,,-100%,-100%,6,-2%,C,-2%,88.1%,4.5%,3.6%,2.0%,1.7%,0.0%,47,,,,,,,,,,,,
1183,Cigares libanais - 180g,3760193911497,"['Fabriqué en France', 'en:palm-oil-free']",['France'],[],['Sans huile de palme'],?,412,1724 kj(412 kcal),17,"5,8",55,30,"8,7","0,34","0,136",180 g,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1184,Yaourt de chèvre,9700000001359,,['France'],[],[],?,?,,?,,?,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1185,Café,8002076100105,,['France'],[],[],?,?,,?,,?,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1186,Sil Zwartwit Pastilles 4-pack,8710559525016,,['France'],[],[],?,378,1582 kj(378 kcal),"1,3","1,2",92,84,"0,5",0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1187,Miel de montagne LE RUCHER DES 2 LACS,3586850000089,,['France'],[],[],?,?,,?,,?,,?,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1188,Pilons de poulet - La Nouvelle Agriculture,0213328015612,,['France'],[],[],?,134,561 kj(134 kcal),"6,9","1,8",0,0,18,"0,25","0,1",,D,"['Viandes', 'Volailles', 'Poulets', 'Volailles cuites', 'Poulets cuisinés', 'Manchons de poulet']",6.9 g,en quantité modérée,1.8 g,en quantité modérée,0 g,en faible quantité,0.25 g,en faible quantité,,-25%,-25%,-26%,-31%,-100%,-100%,-7%,-72%,-72%,-2,-159%,A,-159%,83.0%,9.4%,2.7%,2.7%,1.4%,0.9%,37,['La Nouvelle Agriculture'],,,,,,,,,,,
1189,Adolf,3357010020373,,['France'],[],[],?,?,,?,,?,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
