,name,bar_code,labels,sales_countries,ingredients_list,ingredients_analysis,nutriment_energy-kj_tr,nutriment_energy-kcal_tr,nutriment_energy_tr,nutriment_fat_tr,nutriment_saturated-fat_tr,nutriment_carbohydrates_tr,nutriment_sugars_tr,nutriment_proteins_tr,nutriment_salt_tr,nutriment_sodium_tr,quantity,eco_score,categories,fats_lipids_quantity,fats_lipids_comment,saturated_acids_quantity,saturated_acids_comment,sugar_quantity,sugar_comment,salt_quantity,salt_comment,nutriment_energy-kj_tr_diff,nutriment_energy-kcal_tr_diff,nutriment_energy_tr_diff,nutriment_fat_tr_diff,nutriment_saturated-fat_tr_diff,nutriment_carbohydrates_tr_diff,nutriment_sugars_tr_diff,nutriment_proteins_tr_diff,nutriment_salt_tr_diff,nutriment_sodium_tr_diff,nutriment_nutrition-score-fr_tr,nutriment_nutrition-score-fr_tr_diff,nutriment_nutriscore_tr,nutriment_nutriscore_tr_diff,Agriculture,Transformation,Conditionnement,Transport,Distribution,Consommation,Score_ACV,brand,markets,traceability_code,manufacturing,packaging,brand_owner,additives,allergens,nova_score,ingredients_origins,generic_name,link
145,Baguette farinee 250g,0205036004132,,['France'],[],[],?,?,,?,,?,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
146,Dragées blanches amandes avola - 500g,3700350702018,,['France'],[],[],?,?,,?,,?,,?,,,500 g,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
147,Sparkling cloudy apple & elderflower,103527,,['France'],[],[],?,10,42 kj(10 kcal),"0,1","0,1","2,4","2,4","0,1","0,1","0,04",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
148,Mogu mogu,07447563,,['France'],[],[],?,52,218 kj(52 kcal),0,0,13,12,0,"0,8","0,32",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,['Mogu mogu'],,,,,,,,,,,
149,Glaceau Multi-v Zero,5449000034304,,['France'],[],[],?,1,4 kj(1 kcal),0,0,"0,8",0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,['Glaceau'],,,,,,,,,,,
150,Fusilli à l épeautre,3683080189024,,['France'],[],[],?,?,,?,,?,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
151,Lanières de carottes grillées - Sud'n'sol,3585510013506,['Sans conservateurs'],['France'],[],[],?,189,791 kj(189 kcal),15,"1,1","9,7","6,9","1,4","0,7","0,28",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"[""Sud'n'sol""]",,,,,,,,,,,
152,Pasta Di Stigliano - Foglie D'Ulivo,8033488111502,,['France'],[],[],?,365,1527 kj(365 kcal),"1,3",0,59,2,"12,2",0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
153,Thon a la provencale,5601010134027,,['France'],[],[],?,98,410 kj(98 kcal),"4,2","0,8","1,1",1,13,"0,7","0,28",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
154,Lupins en saumure,2600174009908,,['France'],[],[],?,98,410 kj(98 kcal),2,"0,2","10,5","0,5","9,6","1,7","0,68",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
