,name,bar_code,eco_score,categories,sales_countries,ingredients_list,ingredients_analysis,fats_lipids_quantity,fats_lipids_comment,saturated_acids_quantity,saturated_acids_comment,sugar_quantity,sugar_comment,salt_quantity,salt_comment,nutriment_energy-kj_tr,nutriment_energy-kj_tr_diff,nutriment_energy-kcal_tr,nutriment_energy-kcal_tr_diff,nutriment_energy_tr,nutriment_energy_tr_diff,nutriment_fat_tr,nutriment_fat_tr_diff,nutriment_saturated-fat_tr,nutriment_saturated-fat_tr_diff,nutriment_carbohydrates_tr,nutriment_carbohydrates_tr_diff,nutriment_sugars_tr,nutriment_sugars_tr_diff,nutriment_proteins_tr,nutriment_proteins_tr_diff,nutriment_salt_tr,nutriment_salt_tr_diff,nutriment_sodium_tr,nutriment_sodium_tr_diff,nutriment_nutrition-score-fr_tr,nutriment_nutrition-score-fr_tr_diff,nutriment_nutriscore_tr,nutriment_nutriscore_tr_diff,Agriculture,Transformation,Conditionnement,Transport,Distribution,Consommation,Score_ACV,packaging,brand,additives,allergens,nova_score,generic_name,quantity,labels,markets,traceability_code,manufacturing,palm_ingredients,link,ingredients_origins
964,"Salade Bistrot, LES CRUDETTES, barquette - 250g",3061430009831,,"['Plats préparés', 'Plats à base de pâtes', 'Salades', 'Salades composées', 'Salades de pâtes']",['France'],"['Pâtes alimentaire Ghiotolle 32% ', 'eau', 'semoule de blé dur ', 'gluten', 'huile de colza', 'sel', 'mélange de\rsalades 24,8% ', 'frisée fine', 'mâche', 'red chard', 'émincés de filet de poulet rôti 12% ', 'filet de poulet,\rhuile de tournesol', 'sel', 'stabilisants : algues Euchema transformées', 'triphosphates', 'dextrose,\ramidon de pomme de terre', 'sucre roux', 'sauce au basilic 10% ', 'huile de colza', 'huile d’olive vierge\rextra', 'basilic 18%', 'eau', 'sel', 'ail', 'jus de citron ', 'jus de citron', 'conservateur : disulfite de potassium', ',\rpoivre', 'conservateur : sorbate de potassium', 'épaississant : gomme xanthane', 'fromage de chèvre ', 'contient lait', ' 8,4%', 'tomates 6%', 'croûtons ail et fines herbes 6% ', 'croûton ', 'farine de blé ', 'gluten', "",\rhuile d'olive"", 'sel', 'levure', ""malt d'orge"", 'huile de tournesol', 'aromatisation ', 'lactose', 'fines herbes 0,7%,\rail 0,3%', 'sel', 'poivre', 'oignon', 'huile de colza', 'sucre', 'arômes naturels ', 'moutarde', 'basilic']","['Non végétalien', 'Non végétarien']",10 g,en quantité modérée,2.4 g,en quantité modérée,1.8 g,en faible quantité,0.65 g,en quantité modérée,745,+15%,178,+9%,745 kj(178 kcal),+9%,10,+19%,"2,4",+61%,"20,4",+47%,"1,8",-13%,"6,7",+3%,"0,65",-16%,"0,26",-16%,1,+19%,B,+19%,,,,,,,,,['Crudettes'],"['E407a - Algues euchema transformées', '', 'Risque élevé de sur-exposition', 'E451 - Triphosphates', '', 'Risque élevé de sur-exposition', 'E224 - Disulfite de potassium', '', 'Risque élevé de sur-exposition', 'E202 - Sorbate de potassium', '', 'Risque élevé de sur-exposition', 'E415 - Gomme xanthane']","['Gluten', 'Lait', 'Moutarde']",4,,250 g,,,,,,https://www.bluepepper.be/upload/products_data/files/datasheets/export/sheets/fr/4780.pdf,
965,"Salade tomate mozzarella, LES CRUDETTES, barquette - 250g",3061430009862,,"['Plats préparés', 'Salades', 'Salades composées']",['France'],"['Mozzarella 34% ', 'contient lait', 'tomates 30%', 'mélange de salades 22% ', 'mâche', 'frisée', 'roquette', 'sauce au basilic 10% ', 'huile de colza', ""huile d'olive vierge extra "", 'basilic 18%', 'eau', 'sel', 'ail', 'jus de citron ', 'jus de citron', 'conservateur : disulfite de potassium', 'poivre', 'conservateur : sorbate de potassium', 'épaississant : gomme xanthane', 'gressins 4% ', 'farine de blé', ""huile d'olive"", 'levure de bière', 'malt', 'sel - Traces éventuelles de sésame']",['Non végétalien'],13 g,en quantité modérée,5.3 g,en quantité élevée,2.4 g,en faible quantité,0.32 g,en quantité modérée,699,+14%,167,+10%,699 kj(167 kcal),+11%,13,+45%,"5,3",+293%,5,-50%,"2,4",+6%,"7,4",+34%,"0,32",-64%,"0,128",-64%,1,-34%,B,-34%,,,,,,,,,['LES CRUDETTES'],"['E224 - Disulfite de potassium', '', 'Risque élevé de sur-exposition', 'E202 - Sorbate de potassium', '', 'Risque élevé de sur-exposition', 'E415 - Gomme xanthane']","['Gluten', 'Lait', 'Graines de sésame']",4,,250 g,,,,,,,
966,Pomme De Terre Variété Cherie Cat 1 Cal 35+ - Origine France,3061431103569,,,['France'],[],[],,,,,,,,,?,,85,,356 kj(85 kcal),,"0,7",,"0,16",,19,,"0,1",,"1,86",,0,,0,,,,,,,,,,,,,,['Pomme De Terre'],,,,,,,,,,,,
967,POMME DE TERRE Pomme de terre Amandine ...,3061431103606,,,['France'],[],[],,,,,,,,,?,,85,,356 kj(85 kcal),,"0,7",,"0,16",,19,,0,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
968,Cassolettes de noix de st-jacques,3061432100529,,,['France'],[],[],,,,,,,,,?,,136,,569 kj(136 kcal),,"8,9",,"5,9",,"5,4",,"2,6",,"8,1",,"0,8",,"0,32",,,,,,,,,,,,,,,,,,,,,,,,,,
969,Krousti Rosty Burgers - Kitchen Régal - 340g (2x170g),3061432101052,,"['Surgelés', 'Sandwichs', 'Hamburgers']",['France'],"['55', '5%', 'galette de pomme de terre préfrite ', 'Pomme de terre 88%', 'huile végétale ', 'Tournesol', 'amidon de pomme de terre', 'sel iodé', 'dextrose', 'viande de boeuf 18', '5%', 'sauce 9% ', 'eau', 'concentré de tomates', 'sucre', 'amidon transformé de maïs', 'sel', 'conservateur : E262', 'oignons', 'arômes', 'fromage fondu 9% ', 'Lait', 'oeuf', 'fromage 60% ', 'Eau', 'beurre', 'protéine de lait', 'sel', 'émulsifiant E331', 'amidon modifié', 'sel acide lactique', 'colorant E160a', 'protéines de soja réhydratées 6', '5%', 'chapelure de blé', 'sel', 'arôme', 'sucre caramélisé']","[""Pourrait contenir de l'huile de palme"", 'Non végétalien', 'Non végétarien']",16 g,en quantité modérée,4 g,en quantité modérée,1.9 g,en faible quantité,1.26 g,en quantité modérée,1009,-4%,?,,1009 kj(241 kcal),-4%,16,+28%,4,-15%,19,-7%,"1,9",-40%,6,-54%,"1,26",+8%,"0,504",+8%,11,+10%,D,+10%,,,,,,,,"['Boîte', 'Carton', 'Surgelé']",['Kitchen Régal'],"['E14XX - Amidons modifiés', 'E262 - Acétates de sodium', 'E331 - Citrates de sodium', 'E160a - Carotènes mélangés']","['Œufs', 'Lait']",4,"Assemblage de 2 galettes de pomme de terre préfrites avec une préparation de viande bovine cuite protéinée, d'une sauce type ketchup et fromage fondu, surgelé",340 g (2x170 g),,['Leclerc'],"['FR 76.278.001 CE', 'Foucarmont (Seine-Maritime, France)']",,,,
970,Le potatoes burger au jambon - Kitchen Regal,3061432101090,,,['France'],[],[],,,,,,,,,?,,183,,766 kj(183 kcal),,9,,"2,5",,19,,1,,"5,6",,"1,4",,"0,56",,,,,,,,,,,,,,['Kitchen Regal'],,,,,,,,,,,,
971,Coulis de fraise bio - Mes Fruits Bio - 150g,3061432103957,,"['Aliments et boissons à base de végétaux', ""Aliments d'origine végétale"", 'Epicerie', 'Aliments à base de fruits et de légumes', 'Fruits et produits dérivés', 'Sauces', 'Sauces dessert', 'Coulis de fruits', 'Coulis de fraise']",['France'],"['Fraise bio 83 0%', 'sucre bio 17 % Fabrication française']",[],0.5 g,en faible quantité,0 g,en faible quantité,20 g,en quantité élevée,0.1 g,en faible quantité,?,,91,-19%,381 kj(91 kcal),-19%,"0,5",+116%,0,-100%,20,-25%,20,-23%,"0,6",+49%,"0,1",+630%,"0,04",+630%,0,-100%,B,-100%,,,,,,,,,['Mes Fruits Bio'],,,,,150 g,"['Bio', 'Bio européen', 'AB Agriculture Biologique']",,,,,,
972,Coulis de Framboises,3061432105838,,"['Aliments et boissons à base de végétaux', ""Aliments d'origine végétale"", 'Epicerie', 'Aliments à base de fruits et de légumes', 'Fruits et produits dérivés', 'Sauces', 'Sauces dessert', 'Coulis de fruits', 'Coulis de framboise']",['France'],[],[],0.249 g,en faible quantité,0.017 g,en faible quantité,20.4 g,en quantité élevée,0.008 g,en faible quantité,?,,105,-20%,439 kj(105 kcal),-20%,"0,249",-10%,"0,017",-40%,"20,46",-27%,"20,357",-22%,"1,162",+32%,"0,008",-51%,"0,003",-51%,0,-100%,B,-100%,,,,,,,,,,,,,,,,,,,,,
973,Coulis de Fruits rouges - 150g,3061432105845,,"['Aliments et boissons à base de végétaux', ""Aliments d'origine végétale"", 'Epicerie', 'Aliments à base de fruits et de légumes', 'Fruits et produits dérivés', 'Sauces', 'Sauces dessert', 'Coulis de fruits', 'Coulis de fruits rouges']",['France'],[],[],0.316 g,en faible quantité,0.056 g,en faible quantité,17.6 g,en quantité élevée,0.007 g,en faible quantité,?,,96,-17%,402 kj(96 kcal),-18%,"0,316",+70%,"0,056",+123%,"18,348",-30%,"17,61",-29%,"1,064",+54%,"0,007",-10%,"0,003",-10%,-1,-143%,A,-143%,,,,,,,,,,,,,,150 g,"['Sans additifs', 'Sans colorants']",,,,,,
974,Fraise senga sengana,3061432106446,,,['France'],[],[],,,,,,,,,?,,120,,502 kj(120 kcal),,"0,16",,"0,03",,"28,58",,"28,51",,"0,49",,"0,02",,"0,008",,,,,,,,,,,,,,,,,,,,,,,,,,
975,Haricots beurre -,3061432106996,B,"['Aliments et boissons à base de végétaux', ""Aliments d'origine végétale"", 'Légumineuses et dérivés', 'Aliments à base de fruits et de légumes', 'Légumineuses', 'Graines', 'Surgelés', 'Graines de légumineuses', 'Légumes et dérivés', 'Aliments à base de plantes surgelés', 'Légumes secs', 'Légumineuses surgelées', 'Légumes surgelés', 'Haricots de Lima', 'Haricots beurre surgelés']",['France'],[],[],0.7 g,en faible quantité,0.04 g,en faible quantité,1.3 g,en faible quantité,0.02 g,en faible quantité,?,,0,-100%,0 kj(0 kcal),-100%,"0,7",+79%,"0,04",-26%,"3,7",-11%,"1,3",-8%,"2,2",+21%,"0,02",+100%,"0,008",+100%,-6,,A,,43.8%,0.2%,11.9%,9.5%,29.5%,5.1%,91,,,,,,,,,,,,,,
976,Salade de fruits de mer -,3061432108488,,['Salades de fruits de mer'],['France'],[],[],2.9 g,en faible quantité,0.3 g,en faible quantité,1.5 g,en faible quantité,1.3 g,en quantité modérée,?,,70,-53%,293 kj(70 kcal),-53%,"2,9",-69%,"0,3",-66%,"5,7",+78%,"1,5",+153%,"6,9",-44%,"1,3",-2%,"0,52",-2%,1,-66%,B,-66%,,,,,,,,,,,,,,,,,"['FR 96.675.083 CE', 'EMB 56075D', 'Guer (Morbihan, France)']",,,,
977,Rouleau de Mousse Pur Canard Supérieure - Pomona - 750g e,3061432109461,D,"['Viandes', 'Produits à tartiner', 'Charcuteries', 'Produits à tartiner salés', 'Mousses salées', 'Mousses de canard']",['France'],"['Foie maigre de canard ', '40,9 %', 'graisse de canard ', '30,8 %', 'décor : graisse de canard ', '10,7 %', 'colorant : lutéine', 'émulsifiant : E471', 'eau', 'poudre de LAIT', 'porto', 'sel', 'farine de BLÉ', 'poivre', 'colorants: E120 - E150a', 'protéines de LAIT', 'LACTOSE', 'échalotes', 'sucre', 'dextrose conservateur : nitrite de sodium', 'épices']","[""Pourrait contenir de l'huile de palme"", 'Non végétalien', 'Non végétarien']",,,,,,,,,?,,?,,,,?,,,,?,,,,?,,,,,,,,,,78.1%,15.2%,3.0%,2.3%,1.1%,0.3%,36,"['Plastique', 'Frais']",['Pomona'],"['E161b - Lutéine', ""E471 - Mono- et diglycérides d'acides gras alimentaires"", 'E120 - Acide carminique', 'E150a - Caramel E150a', 'E250 - Nitrite de sodium', '', 'Risque élevé de sur-exposition']","['Gluten', 'Lait']",4,,750 g e,"['Qualité supérieure', 'Pur Canard']",['Pomona'],"['EMB 22136A', ""Loudéac (Côtes-d'Armor, France)"", 'FR 22.136.007 CE', ""Loudéac (Côtes-d'Armor, France)""]",,,,
978,Plein filet de saumon rose sauvage du pacifique,3061432113857,E,"['Produits de la mer', 'Poissons', 'Filets de poissons', 'Saumons', 'Saumons sauvages', 'Filets de saumon', 'Saumon du Pacifique', 'Saumon sauvage du Pacifique']",['France'],[],[],,,,,,,,,?,,?,,,,?,,,,?,,,,?,,,,,,,,,,96.3%,0.0%,1.4%,1.4%,0.7%,0.2%,24,,,,,,,,,,,,,,
979,Fromage Blanc Battu Nature - PassionFroid - 5kg e,3061432116063,B,"['Produits laitiers', 'Desserts', 'Produits fermentés', 'Produits laitiers fermentés', 'Desserts lactés', 'Fromages blancs', 'Fromages blancs natures']",['France'],"['LAlT écrémé pasteurisé ', 'origine France', 'CRÈME pasteurisée ', 'origine France', 'ferments LACTIQUES']",['Non végétalien'],3.2 g,en quantité modérée,2.1 g,en quantité modérée,3.9 g,en faible quantité,0.12 g,en faible quantité,?,,74,-10%,310 kj(74 kcal),-9%,"3,2",-19%,"2,1",-19%,"3,9",-6%,"3,9",+0%,7,+2%,"0,12",+17%,"0,048",+17%,-2,,A,,68.4%,19.8%,4.5%,4.0%,2.6%,0.7%,70,"['Frais', 'Plastique', 'Seau']","['PassionFroid', 'Pomona']",,"['Lait', 'LAlT']",3,,5 kg e,"['Produits destinés aux professionnels', 'en:lait-francais-french-milk']",['Pomona'],,['France'],,,['France']
980,Terrine Gourmande au saumon,3061432116223,,"['Terrines', 'Terrines de poisson', 'Terrines de saumon']",['France'],[],[],12.7 g,en quantité modérée,2.7 g,en quantité modérée,1.6 g,en faible quantité,0.77 g,en quantité modérée,?,,184,-10%,770 kj(184 kcal),-10%,"12,7",-18%,"2,7",-23%,2,-53%,"1,6",+15%,"14,6",+32%,"0,77",-32%,"0,308",-32%,2,-67%,B,-67%,,,,,,,,,,,,,,,,,,,,,
981,Creme entiere liquide,3061432116445,,,['France'],[],[],,,,,,,,,?,,336,,1406 kj(336 kcal),,35,,23,,"3,1",,"3,1",,"2,1",,"0,08",,"0,032",,,,,,,,,,,,,,,,,,,,,,,,,,
982,Jambon cuit supérieur,3061432118524,E,"['Viandes', 'Charcuteries', 'Jambons', 'Jambons blancs']",['France'],[],[],4 g,en quantité modérée,1.6 g,en quantité modérée,0.9 g,en faible quantité,2 g,en quantité élevée,?,,120,-9%,502 kj(120 kcal),-8%,4,-17%,"1,6",-13%,"0,9",+35%,"0,9",+51%,20,-5%,2,+7%,"0,8",+7%,5,-29%,C,-29%,80.5%,11.8%,4.9%,1.6%,0.9%,0.3%,33,,,,,,,,['Qualité supérieure'],,,,,,
983,Bâtonnet glacé vanille - Pomona - 566g,3061432119651,B,"['Desserts', 'Surgelés', 'Desserts glacés', 'Glaces et sorbets', 'Glaces', 'Bâtonnets glacés', 'Bâtonnets glacés à la vanille']",['France'],[],[],21.2 g,en quantité élevée,17.1 g,en quantité élevée,25.6 g,en quantité élevée,0.14 g,en faible quantité,?,,307,+6%,1284 kj(307 kcal),+6%,"21,2",+20%,"17,1",+39%,"27,2",-7%,"25,6",-2%,"1,8",-39%,"0,14",-2%,"0,056",-2%,18,+4%,D,+4%,60.7%,19.6%,5.6%,5.1%,5.7%,3.3%,80,['Surgele'],['Pomona'],,,,,566 g,,['Pomona'],,,,,
984,Cocktail gourmand,3061432131356,,,['France'],[],[],,,,,,,,,?,,106,,444 kj(106 kcal),,"1,4",,"0,3",,"2,7",,"0,1",,"20,6",,"0,8",,"0,32",,,,,,,,,,,,,,,,,,,,,,,,,,
985,3061432131752,3061432131752,,,['France'],[],[],,,,,,,,,?,,?,,,,?,,,,?,,,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
986,Crème glacée vanille,3061432136849,,,['France'],[],[],,,,,,,,,?,,791,,3310 kj(791 kcal),,"8,5",,"6,3",,26,,24,,"1,7",,"0,19",,"0,076",,,,,,,,,,,,,,,,,,,,,,,,,,
987,"Crème Glacée Pistache avec Morceaux de Pistaches Grillées - PassionFroid - 2,5L - 1,286kg",3061432137440,B,"['Desserts', 'Surgelés', 'Desserts glacés', 'Glaces et sorbets', 'Glaces', 'Crèmes glacées en pot', 'Glaces à la pistache']",['France'],"['Eau', 'crème fraîche', 'sucre', 'pâte et morceaux de pistache 9%', 'lactose et protéines de lait', 'sirop de glucose', 'émulsifiant : E471', 'stabilisants : E410-E412', 'arôme naturel', 'colorants : E100-E141']","[""Pourrait contenir de l'huile de palme"", 'Non végétalien']",10.8 g,en quantité modérée,6.3 g,en quantité élevée,24.7 g,en quantité élevée,0.15 g,en faible quantité,?,,222,+6%,929 kj(222 kcal),+5%,"10,8",0%,"6,3",+17%,"28,1",+15%,"24,7",+20%,"2,8",-22%,"0,15",+15%,"0,06",+15%,13,+27%,D,+27%,60.7%,19.6%,5.6%,5.1%,5.7%,3.3%,80,"['Bac', 'Plastique', 'Opercule aluminium', 'Surgelé']","['PassionFroid', 'Pomona']","[""E471 - Mono- et diglycérides d'acides gras alimentaires"", 'E410 - Gomme de caroube', 'E412 - Gomme de guar', 'E100 - Curcumine', 'E141 - Complexe cuivrique des chlorophylles et des chlorophyllines']","['Lait', 'Fruits à coque']",4,"Crème glacée pistache avec morceaux de pistaches caramélisés (5,8%)","2,5 L - 1,286 kg",,['Pomona'],,,,https://www.passionfroid.fr/produits/creme-glacee-pistache-avec-morceaux-de-pistaches-grillees-2-5-l-1-286-kg-passionfroid-0060196.html,
988,"Crème Glacée Vanille Bourbon - PassionFroid - 2,5L - 1,25kg",3061432137495,B,"['Desserts', 'Surgelés', 'Desserts glacés', 'Glaces et sorbets', 'Glaces', 'Crèmes glacées en pot', 'Glaces à la vanille']",['France'],"['Eau ', ' crème fraîche', 'lactose et protéines de lait ', ' sirop de glucose', ' sucre ', ' émulsifiant : E471', ' stabilisants ', ' E407', 'E410 et E412', '  gousses de vanille Bourbon épuisées broyées', ' arôme naturel vanille Bourbon', ' colorant : E160a']","[""Pourrait contenir de l'huile de palme"", 'Non végétalien']",8.4 g,en quantité modérée,5.5 g,en quantité élevée,23.1 g,en quantité élevée,0.18 g,en faible quantité,?,,188,-10%,787 kj(188 kcal),-10%,"8,4",-18%,"5,5",-18%,"26,1",+2%,"23,1",+8%,"1,8",-43%,"0,18",+33%,"0,072",+33%,12,+1%,D,+1%,60.7%,19.6%,5.6%,5.1%,5.7%,3.3%,80,"['Bac', 'Plastique', 'surgelé']","['PassionFroid', 'Pomona']","[""E471 - Mono- et diglycérides d'acides gras alimentaires"", 'E407 - Carraghénanes', '', 'Risque élevé de sur-exposition', 'E410 - Gomme de caroube', 'E412 - Gomme de guar', 'E160a - Carotènes mélangés']",['Lait'],4,,"2,5 L - 1,25 kg",,['Pomona'],,,,https://www.passionfroid.fr/produits/creme-glacee-vanille-bourbon-2-5-l-1-25-kg-passionfroid-0060184.html,
989,Fruits surgelés - PassionFroid,3061432137990,,"['Aliments et boissons à base de végétaux', ""Aliments d'origine végétale"", 'Aliments à base de fruits et de légumes', 'Surgelés', 'Fruits et produits dérivés', 'Aliments à base de plantes surgelés', 'Fruits', 'Fruits surgelés']",['France'],[],[],0.1 g,en faible quantité,0.03 g,en faible quantité,10.6 g,en quantité modérée,0.02 g,en faible quantité,?,,50,-6%,209 kj(50 kcal),-5%,"0,1",-74%,"0,03",-61%,"10,8",+24%,"10,6",+39%,"0,7",-27%,"0,02",+55%,"0,008",+55%,-4,,A,,,,,,,,,"['Sachet', 'Surgele']",['PassionFroid'],,,,,,,['Pomona'],,,,,
990,Lentilles préparées - 4250ml,3061435000215,B,"['Aliments et boissons à base de végétaux', ""Aliments d'origine végétale"", 'Légumineuses et dérivés', 'Légumineuses', 'Graines', 'Graines de légumineuses', 'Plats préparés', 'Légumes secs', 'Lentilles', 'Lentilles préparées']",['France'],[],[],11 g,en quantité modérée,0.2 g,en faible quantité,0.9 g,en faible quantité,0.99 g,en quantité modérée,?,,88,-7%,368 kj(88 kcal),-8%,11,+571%,"0,2",-37%,11,-7%,"0,9",+6%,"6,4",-2%,"0,99",+33%,"0,396",+33%,2,,B,,57.6%,0.0%,16.2%,14.1%,4.5%,7.6%,99,,,,,,,4250 ml,,,,,,,
991,Macédoine de légumes,3061435000222,,"['Aliments et boissons à base de végétaux', ""Aliments d'origine végétale"", 'Conserves', 'Aliments à base de fruits et de légumes', 'Aliments à base de plantes en conserve', 'Légumes et dérivés', 'Légumes en conserve', 'en:canned-drained-diced-mixed-vegetables']",['France'],[],[],0.5 g,en faible quantité,0.1 g,en faible quantité,0.9 g,en faible quantité,0.71 g,en quantité modérée,?,,37,-12%,155 kj(37 kcal),-11%,"0,5",+32%,"0,1",-15%,"4,4",-23%,"0,9",-29%,"2,1",-7%,"0,71",+10%,"0,284",+10%,-3,,A,,,,,,,,,,,,,,,,,,,,,,
992,Cocktail de fruits au sirop léger - 500g,3061435000338,,,['France'],[],[],,,,,,,,,?,,76,,318 kj(76 kcal),,"0,4",,"0,09",,17,,"7,1",,"0,49",,"0,09",,"0,036",,,,,,,,,,,,,,,,,,,500 g,,,,,,,
993,Oreillons d'abricot au sirop léger,3061435000345,,,['France'],[],[],,,,,,,,,?,,68,,285 kj(68 kcal),,"0,5",,0,,15,,15,,"0,5",,"0,01",,"0,004",,,,,,,,,,,,,,,,,,,,,,,,,,
994,Preillons de peche,3061435000369,,,['France'],[],[],,,,,,,,,?,,54,,226 kj(54 kcal),,"0,5",,"0,1",,15,,13,,"0,5",,"0,01",,"0,004",,,,,,,,,,,,,,,,,,,,,,,,,,
995,Ratatouille Cuisinée,3061435000505,B,"['Plats préparés', 'Légumes préparés', 'Ratatouilles']",['France'],[],[],1.3 g,en faible quantité,0.2 g,en faible quantité,2.9 g,en faible quantité,0.86 g,en quantité modérée,?,,35,-49%,146 kj(35 kcal),-48%,"1,3",-65%,"0,2",-63%,"3,7",-28%,"2,9",-25%,"1,1",-7%,"0,86",+21%,"0,344",+21%,3,+207%,C,+207%,69.3%,12.8%,5.7%,6.8%,3.2%,2.3%,79,,,,,,,,,,,,,,
996,Ananas tranches entieres - 3100ml,3061435000581,B,"['Aliments et boissons à base de végétaux', ""Aliments d'origine végétale"", 'Aliments à base de fruits et de légumes', 'Fruits et produits dérivés', 'Fruits', 'Fruits tropicaux', 'Ananas']",['France'],[],[],0 g,en faible quantité,0 g,en faible quantité,16 g,en quantité élevée,,,?,,74,-24%,310 kj(74 kcal),-21%,0,-100%,0,-100%,16,-19%,16,-7%,0,-100%,,,,,,,,,37.7%,0.0%,0.0%,33.4%,15.9%,13.1%,95,,,,,,,3100 ml,,,,,,,
997,Olives vertes dénoyautées - 850ml,3061435001151,B,"['Aliments et boissons à base de végétaux', ""Aliments d'origine végétale"", 'Pickles', ""Produits de l'olivier"", ""Pickles d'origine végétale"", 'Olives', 'Olives vertes', 'Olives dénoyautées', 'Olives vertes dénoyautées']",['France'],[],[],15 g,en quantité modérée,2 g,en quantité modérée,0 g,en faible quantité,3.8 g,en quantité élevée,?,,146,-9%,611 kj(146 kcal),-8%,15,-5%,2,-20%,0,-100%,0,-100%,"0,9",-17%,"3,8",+13%,"1,52",+13%,12,+3%,D,+3%,33.7%,0.2%,40.3%,17.4%,6.7%,1.8%,95,,,,,,,850 ml,,,,,,,
998,Sauce tomate aromatisée,3061435001298,,,['France'],[],[],,,,,,,,,?,,36,,151 kj(36 kcal),,"0,5",,"0,1",,"6,5",,"4,3",,"1,1",,"0,74",,"0,296",,,,,,,,,,,,,,,,,,,,,,,,,,
999,Farfalle,3061435001892,,,['France'],[],[],,,,,,,,,?,,382,,1598 kj(382 kcal),,"1,4",,"0,28",,79,,"4,2",,12,,"0,01",,"0,004",,,,,,,,,,,,,,,,,,,,,,,,,,
1000,Moelleux Fourré Cacao Noisettes - Gusto Debrio,3061435002073,,,['France'],"['Gâteau fourrage goût cacao et noisette Ingrédients Sucre', 'farine de blé', 'œuf entiers', 'huile de colza', 'huiles hydrogénées et non hydrogénées ', 'tournesol', 'palme', 'stabilisants ', 'sorbitols', 'glycérol', 'poudre de cacao 3%', 'sirop de glucose', 'émulsifiants ', 'mono- et diglycérides d’acides gras', 'lécithine de tournesol', 'pâte noisettes 1%', 'poudres à lever ', 'diphosphates', 'carbonates de sodium', 'sel', 'arômes', ' Peut contenir des traces de: Gluten ', 'orge', 'lait', 'soja et autres fruits à coque']","['Huile de palme', 'Non végétalien']",,,,,,,,,?,,456,,1908 kj(456 kcal),,20,,"2,4",,62,,36,,"5,8",,"1,11",,"0,444",,,,,,,,,,,,,,['Gusto Debrio'],"['E420 - Sorbitol', 'E422 - Glycérol', ""E471 - Mono- et diglycérides d'acides gras alimentaires"", 'E322i - Lécithine', 'E450 - Diphosphates', '', 'Risque élevé de sur-exposition', 'E500 - Carbonates de sodium']",['Gluten'],4,,,,,,,['Huile de palme'],,
1001,Tomates pelées concassées - Valtonia,3061435002226,,,['France'],"['Tomates pelées', 'jus de tomate', 'sel', 'acidifiant : acide citrique']","['Sans huile de palme', 'Végétalien', 'Végétarien']",,,,,,,,,?,,24,,100 kj(24 kcal),,"0,5",,"0,1",,"3,3",,"2,7",,"0,9",,"0,29",,"0,116",,,,,,,,,,,,,,['Valtonia'],['E330 - Acide citrique'],,,,,,,,,,,
1002,Compote de pommes allégée en sucre -,3061435002240,,,['France'],[],[],,,,,,,,,?,,78,,326 kj(78 kcal),,"0,6",,"0,2",,"16,8",,"13,4",,"0,3",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1003,Filets de Maquereaux à la Moutarde - Valtonia - 2145kg - 1040g net egoutté,3061435002257,C,"['Conserves', 'Produits de la mer', 'Poissons', 'Poissons en conserve', 'Filets de poissons', 'Maquereaux', 'Filets de maquereaux', 'Filets de maquereaux à la moutarde', 'Maquereaux en conserve']",['France'],"['Filets de maquereaux 57%', 'eau', 'moutarde de Dijon 8', '5% ', 'eau', 'graines de moutarde', ""vinaigre d'alcool"", 'sel', ""vinaigre d'alcool"", 'huile de colza', 'vinaigre de vin blanc', 'sel', 'vin blanc', 'sucre', 'amidon modifié de maïs', 'épaississant : gomme xanthane', 'arômes', 'épice']","['Sans huile de palme', 'Non végétalien', 'Non végétarien']",13 g,en quantité modérée,3.3 g,en quantité modérée,0.7 g,en faible quantité,1.5 g,en quantité modérée,?,,192,-8%,803 kj(192 kcal),-9%,13,-21%,"3,3",+2%,"0,7",-38%,"0,7",+22%,18,+35%,"1,5",+21%,"0,6",+21%,11,+84%,D,+84%,39.7%,14.3%,30.7%,14.1%,1.0%,0.3%,55,"['Aluminium', 'Conserve']",['Valtonia'],"['E14XX - Amidons modifiés', 'E415 - Gomme xanthane']","['Poisson', 'Moutarde']",4,Filets de Maquereaux à la Moutarde,2145 kg - 1040 g net egoutté,"['Point Vert', 'Acier recyclable']",,"['FR 62.448.100 CE', ""Hesdin-l'Abbé (Pas-de-Calais, France)""]","['Pomona Episaveurs', '3 AVENUE DU DOCTEUR TENINE  92160 ANTONY', 'Ile de France', 'France']",,,
1004,Filets de maquereaux à la tomate,3061435002288,D,"['Produits de la mer', 'Poissons', 'Filets de poissons', 'Maquereaux', 'Filets de maquereaux']",['France'],[],[],14 g,en quantité modérée,4.5 g,en quantité modérée,2.1 g,en faible quantité,0.82 g,en quantité modérée,?,,202,-9%,845 kj(202 kcal),-8%,14,-15%,"4,5",+22%,"2,1",+94%,"2,1",+295%,17,+4%,"0,82",-26%,"0,328",-26%,4,-36%,C,-36%,39.4%,14.2%,30.5%,14.0%,0.9%,0.9%,45,,,,,,,,,,"['FR 62.448.100 CE', ""Hesdin-l'Abbé (Pas-de-Calais, France)""]",,,,
