,name,bar_code,brand,labels,sales_countries,ingredients_list,ingredients_analysis,nutriment_energy-kj_tr,nutriment_energy-kcal_tr,nutriment_energy_tr,nutriment_fat_tr,nutriment_saturated-fat_tr,nutriment_carbohydrates_tr,nutriment_sugars_tr,nutriment_proteins_tr,nutriment_salt_tr,nutriment_sodium_tr,quantity,packaging,categories,markets,allergens,nova_score,fats_lipids_quantity,fats_lipids_comment,saturated_acids_quantity,saturated_acids_comment,sugar_quantity,sugar_comment,salt_quantity,salt_comment,nutriment_energy-kj_tr_diff,nutriment_energy-kcal_tr_diff,nutriment_energy_tr_diff,nutriment_fat_tr_diff,nutriment_saturated-fat_tr_diff,nutriment_carbohydrates_tr_diff,nutriment_sugars_tr_diff,nutriment_proteins_tr_diff,nutriment_salt_tr_diff,nutriment_sodium_tr_diff,nutriment_nutrition-score-fr_tr,nutriment_nutrition-score-fr_tr_diff,nutriment_nutriscore_tr,nutriment_nutriscore_tr_diff,manufacturing,additives,eco_score,Agriculture,Transformation,Conditionnement,Transport,Distribution,Consommation,Score_ACV,generic_name,ingredients_origins,link,traceability_code,palm_ingredients,brand_owner,producer_info
1867,Aneth Crudette barquette de - Les Crudettes,3061430008971,['Les Crudettes'],['Sans conservateurs'],['France'],[],[],?,?,,?,,?,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1868,Le petit pot de glace,3061432106460,,,['France'],[],[],?,210,879 kj(210 kcal),"9,14","4,51","27,35","26,48","4,28","0,14","0,056",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1869,Brumisateur - Evian - 300ml,3068320104904,['Evian'],,['France'],[],[],?,?,,?,,?,,?,,,300ml,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1870,Clovis vinaigre balsamique de Modène - Clovis France - 25cl,3077316285091,['Clovis France'],['Agp'],['France'],"[""vinaigre Balsamique de Modène 6% d'acidité"", ' vinaigre de vin*', 'moût de raisin', 'colorant: caramel e150d', 'sulfites']",[],?,?,,?,,?,,?,,,25cl,,"['Epicerie', 'Condiments', 'Assaisonnements']",,['Anhydride sulfureux et sulfites'],4,,,,,,,,,,,,,,,,,,,,,,,,"[""E150d - Caramel au sulfite d'ammonium""]",,,,,,,,,,,,,,,
1871,Epicerie / Epicerie Sucrée / Miels Bio - Terre de Miel,3088549254372,['Terre de Miel'],"['Bio', 'Bio européen', 'AB Agriculture Biologique', 'FR-BIO-01']",['France'],[],[],?,?,,?,,?,,?,,,,,"['Produits à tartiner', 'Petit-déjeuners', 'Produits de la ruche', ""Produits d'élevages"", 'Produits à tartiner sucrés', 'Édulcorants', 'Miels', 'Miels de framboisier']",,,,,,,,,,,,,,,,,,,,,,,,,,,,B,87.9%,0.0%,7.7%,3.1%,1.3%,0.0%,82,,,,,,,
1872,Le torchon cuit à l’étouffée - Fleury michon - 320g,3095756420018,['Fleury michon'],,['France'],[],[],?,?,,?,,?,,?,,,320g,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1873,Moelleux au chocolat bio - Jock,3107400001273,['Jock'],"['Bio', 'Bio européen', 'FR-BIO-10']",['France'],[],[],?,364,1523 kj(364 kcal),16,1,50,33,"5,1","1,1","0,44",,,"['Biscuits et gâteaux', 'Gâteaux', 'Gâteaux au chocolat', 'Moelleux au chocolat']",,,,16 g,en quantité modérée,1 g,en faible quantité,33 g,en quantité élevée,1.1 g,en quantité modérée,,-15%,-14%,-35%,-90%,+16%,+5%,-16%,+203%,+203%,15,-22%,D,-22%,,,D,83.9%,9.8%,1.9%,2.9%,1.1%,0.3%,36,,,,,,,
1874,miel de montagne - Miel Besacier - 500g,3110770003174,['Miel Besacier'],,['France'],[],[],?,?,,?,,?,,?,,,500 g,,"['Produits à tartiner', 'Petit-déjeuners', 'Produits de la ruche', ""Produits d'élevages"", 'Produits à tartiner sucrés', 'Édulcorants', 'Miels', 'Miels de fleurs', 'Produits de montagne', 'Miels de montagne']",,,,,,,,,,,,,,,,,,,,,,,,,,,,B,87.9%,0.0%,7.7%,3.1%,1.3%,0.0%,82,,,,,,,
1875,Let's Fizz - Lutti - 1kg,3116740034155,['Lutti'],,['France'],[],[],?,349,1460 kj(349 kcal),"0,4","0,2","80,6","63,9","4,4","0,34","0,136",1 kg,,"['Snacks', 'Snacks sucrés', 'Confiseries', 'Bonbons', 'Bonbons gélifiés', 'Bonbons acidulés gélifiés']",,,,0.4 g,en faible quantité,0.2 g,en faible quantité,63.9 g,en quantité élevée,0.34 g,en quantité modérée,,+1%,+1%,-18%,-17%,-0%,+6%,+35%,+78%,+78%,15,+3%,D,+3%,,,E,90.3%,5.0%,2.2%,2.0%,0.5%,0.0%,34,,,,,,,
1876,desperados sangré - deperados - 33cl,3119780266982,['Deperados'],,['France'],"['eau', ""malt d'orge"", 'maïs', 'sirop de glucose', 'sucre', 'extraits de houblon', 'arôme ', 'dont 75% de tequila', 'orange', 'raisin', 'épices', ""concentré de carotte noire et d'hibiscus"", 'acidifiant : acide citrique']",[],?,?,,?,,?,,?,,,33cl,['bouteille verre'],"['Boissons', 'Boissons alcoolisées', 'Bières', 'Bieres aromatisées aux fruits']",['Leclerc'],['Gluten'],4,,,,,,,,,,,,,,,,,,,,,,,,['E330 - Acide citrique'],C,6.8%,25.7%,41.7%,16.7%,7.1%,2.0%,57,,,,,,,
