,name,bar_code,packaging,sales_countries,ingredients_list,ingredients_analysis,nutriment_energy-kj_tr,nutriment_energy-kcal_tr,nutriment_energy_tr,nutriment_fat_tr,nutriment_saturated-fat_tr,nutriment_carbohydrates_tr,nutriment_sugars_tr,nutriment_proteins_tr,nutriment_salt_tr,nutriment_sodium_tr,quantity,brand,categories,fats_lipids_quantity,fats_lipids_comment,saturated_acids_quantity,saturated_acids_comment,sugar_quantity,sugar_comment,salt_quantity,salt_comment,nutriment_energy-kj_tr_diff,nutriment_energy-kcal_tr_diff,nutriment_energy_tr_diff,nutriment_fat_tr_diff,nutriment_saturated-fat_tr_diff,nutriment_carbohydrates_tr_diff,nutriment_sugars_tr_diff,nutriment_proteins_tr_diff,nutriment_salt_tr_diff,nutriment_sodium_tr_diff,nutriment_nutrition-score-fr_tr,nutriment_nutrition-score-fr_tr_diff,nutriment_nutriscore_tr,nutriment_nutriscore_tr_diff,eco_score,generic_name,ingredients_origins,link,markets,nova_score,Agriculture,Transformation,Conditionnement,Transport,Distribution,Consommation,Score_ACV,labels,brand_owner,additives,traceability_code,allergens,manufacturing,palm_ingredients,producer_info,origin_detail
832,Gordon Xplosion Revolution Tequila Cans 50CL,5410218005431,,"['Belgique', 'France']",[],[],?,0,0 kj(0 kcal),0,0,0,0,10,,,,['Gordon'],,,,,,,,,,,,,,,,,,,,,,,,,,,,['Delhaize'],,,,,,,,,,,,,,,,,
833,Leffe Blonde - 6*25cl,5410228091448,"['Bouteille', 'Verre']",['France'],"['Bière ', ""contient du malt d'orge""]","['Sans huile de palme', 'Peut-être végétalien', 'Végétarien']",?,?,,?,,?,,?,,,6*25cl,['Leffe'],"['Boissons', 'Boissons alcoolisées', 'Bières', ""Bières d'abbayes"", 'Bières belges', 'Bières blondes']",,,,,,,,,,,,,,,,,,,,,,,B,bière blonde d'abbaye,['Belgique'],,,3,6.8%,25.7%,41.7%,16.7%,7.1%,2.0%,57,,,,,['Gluten'],,,,
834,Blonde - Leffe - 5L (20x 25cl),5410228188223,"['Carton', 'bouteille verre', 'Capsule', 'Bouteille:verre brune']","['Belgique', 'France', 'Pays-Bas', 'Royaume-Uni']","[""Contient du malt d'orge""]",[],?,?,,?,,?,,?,,,5 L (20 x 25 cl),"['Leffe', 'InBev']","['Boissons', 'Boissons alcoolisées', 'Bières', 'Bières belges', 'Bières blondes']",,,,,,,,,,,,,,,,,,,,,,,B,Bière blonde,['Belgique'],,['Carrefour'],3,6.8%,25.7%,41.7%,16.7%,7.1%,2.0%,57,"['Déconseillé à certaines catégories de personnes', 'Point Vert', 'Non recommandé aux femmes enceintes', 'Glasbak', 'No car']",,,,['Gluten'],,,,
835,Leffe de Noël - 75cl,5410228201137,"['Bouteille', 'Verre']",['France'],"['eau', ""malt d'orge"", 'maïs', 'orge', 'sucre', 'épices ', ""zeste d'orange"", 'graines de coriandre', 'houblon']","['Sans huile de palme', 'Végétalien', 'Végétarien']",241,?,241 kj(58 kcal),?,,?,,?,,,75 cl,['Leffe'],"['Boissons', 'Boissons alcoolisées', 'Bières', ""Bières d'abbayes"", 'Bières belges', 'Bières de Noël']",,,,,,,,,,,,,,,,,,,,,,,C,,,,['Carrefour Market'],3,6.8%,25.7%,41.7%,16.7%,7.1%,2.0%,57,"['Déconseillé à certaines catégories de personnes', ""Bière belge d'Abbaye reconnue"", 'Déconseillé aux femmes enceintes']",,,,['Gluten'],['Belgique'],,,
836,Leffe Blonde - 12x 33cl e,5410228203582,"['Carton', 'Bouteille', 'Verre']",['France'],"['Eau', ""malt d'orge"", 'mais', 'orge', 'sucre', 'houblon']","['Sans huile de palme', 'Végétalien', 'Végétarien']",?,58,243 kj(58 kcal),0,0,"5,4","0,5","0,4","0,1","0,04",12 x 33 cl e,['Leffe'],"['Boissons', 'Boissons alcoolisées', 'Bières', 'Bières belges', 'Bières blondes']",,,,,,,,,,+12%,+8%,-100%,-100%,+30%,-1%,-18%,+143%,+143%,,,,,C,,,http://facebook.com/leffe.fr,"['Carrefour', 'Magasins U']",3,6.8%,25.7%,41.7%,16.7%,7.1%,2.0%,57,"['Déconseillé à certaines catégories de personnes', 'Non recommandé aux femmes enceintes']",,,,['Gluten'],,,,
837,Bière aromatisée agumes - Hoegaarden - 25cl,5410228217367,['Bouteille'],['France'],[],[],?,?,,?,,?,,?,,,25 cl,['Hoegaarden'],"['Boissons', 'Boissons alcoolisées', 'Bières', 'Bières industrielles']",,,,,,,,,,,,,,,,,,,,,,,C,,,,,,6.8%,25.7%,41.7%,16.7%,7.1%,2.0%,57,,,,,,,,,
838,Leffe Blonde,5410228228011,,['France'],[],[],?,58,243 kj(58 kcal),0,0,"5,2","0,5","0,4","0,1","0,04",,['Leffe'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
839,Bière blanche Cranberry/orange Hoegaarden,5410228232384,,['France'],"['eau', ""malt d'orge"", 'froment', 'sucre', ""jus concentré d'orange "", '1,5%', ' et de cranberry ', '1%', 'coriandre', ""écorce d'orange"", 'houblon', ""arôme naturel d'orange sanguine"", 'arômes naturels', 'extrait de pomme', 'acidifiant : acide citrique', 'édulcorant: acésulfame K', 'gaz carbonique']",[],?,26,109 kj(26 kcal),0,0,"3,6","1,6","0,1","0,09","0,036",,['Hoegaarden'],"['Boissons', 'Boissons alcoolisées', 'Bières', 'Bières blanches']",,,,,,,,,,-37%,-39%,-100%,-100%,-16%,+14%,-75%,+379%,+379%,,,,,C,,,,['Magasins U'],4,6.8%,25.7%,41.7%,16.7%,7.1%,2.0%,57,,,"['E330 - Acide citrique', 'E950 - Acésulfame K', 'E290 - Dioxyde de carbone']",,['Gluten'],,,,
840,Leffe blonde - 1025cl,5410228232520,"['bouteilles de verre', 'emballage carton']",['France'],"['eau', ""malt d'orge"", 'maïs', 'orge', 'sucre', 'houblon']","['Sans huile de palme', 'Végétalien', 'Végétarien']",?,58,243 kj(58 kcal),0,0,"5,2","0,5","0,4","0,1","0,04",10 25cl,['Leffe'],"['Boissons', 'Boissons alcoolisées', 'Bières', 'Bières blondes']",,,,,,,,,,+41%,+40%,-100%,-100%,+49%,+3%,-2%,+554%,+554%,,,,,C,,,,['U Express'],3,6.8%,25.7%,41.7%,16.7%,7.1%,2.0%,57,,,,,['Gluten'],['Belgique'],,,
841,5410228232568,5410228232568,,['France'],[],[],?,?,,?,,?,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
842,"Diekirch 0,0%",5410228241355,,['France'],[],[],?,34,142 kj(34 kcal),0,0,"8,4","0,6","0,2","0,09","0,036",,['Diekirch'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
843,Pure blonde - Jupiler,5410228244738,,"['Belgique', 'France']",[],[],?,?,,?,,?,,?,,,,['Jupiler'],,,,,,,,,,,,,,,,,,,,,,,,,,,,['Colruyt'],,,,,,,,,,,,,,,,,
844,Glaçage Rose - Dr.Oetker,5410231063128,,['France'],[],[],?,329,1377 kj(329 kcal),0,0,82,74,0,,,,['Dr.Oetker'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
845,Reme pâtissière - Dr.Oetker,5410231065726,,"['Belgique', 'France']",[],[],?,111,464 kj(111 kcal),"1,2","0,8",22,18,"2,6","0,31","0,124",,['Dr.Oetker'],,,,,,,,,,,,,,,,,,,,,,,,,,,,['Delhaize'],,,,,,,,,['Sans conservateurs'],,,,,,,,
846,Sucre vanille - Dr.Oetker - 8g,5410231101325,['Sachets'],"['Belgique', 'France', 'Luxembourg']",[],[],?,?,,?,,?,,?,,,8 g,['Dr.Oetker'],"['Édulcorants', 'Sucres', 'Sucres vanillés']",,,,,,,,,,,,,,,,,,,,,,,B,,,,['Delhaize'],,65.2%,10.9%,13.4%,7.2%,3.3%,0.0%,94,,,,,,,,,
847,Crabes des neiges - Chatka,5410238904677,"['Conserve', 'métal']",['France'],"['Crabe des neiges ', 'Chionoecetes opilo', ' ', '70,6 %', ' en proportion 70 % chair et 30 % pattes', 'eau', 'sucre', 'sel', ""correcteur d'acidité : E330"", 'conservateurs : E223 ', 'contient: sulfites', 'EDTA', 'stabilisants E450', 'E451', 'E452']",[],?,68,285 kj(68 kcal),"1,1","0,1","1,1","1,1",13,"1,4","0,56",,['Chatka'],"['Conserves', 'Produits de la mer', 'Crustacés', 'Crabes', 'Crabes au naturel']",1.1 g,en faible quantité,0.1 g,en faible quantité,1.1 g,en faible quantité,1.4 g,en quantité modérée,,-36%,-30%,-51%,-83%,-79%,-19%,+9%,+8%,+8%,1,-31%,B,-31%,,Conserve de Crabe des Neiges de l'Alaska,,,,4,,,,,,,,,,"['E330 - Acide citrique', 'E223 - Disulfite de sodium', '', 'Risque élevé de sur-exposition', 'E385 - Éthylène diamine tétra-acétate de calcium disodium', 'E450 - Diphosphates', '', 'Risque élevé de sur-exposition', 'E451 - Triphosphates', '', 'Risque élevé de sur-exposition', 'E452 - Polyphosphates', '', 'Risque élevé de sur-exposition']",,"['Crustacés', 'Anhydride sulfureux et sulfites']",,,,
848,Sucre félicitant extra fruits,5410256008517,,"['Belgique', 'France']",[],[],?,397,1661 kj(397 kcal),0,0,98,98,0,"0,03","0,012",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,['Delhaize'],,,,,,,,,,,,,,,,,
849,Lait frais demi ecreme - Gran Brianza,5410281002450,,"['Belgique', 'France']","['PORC*', ' NRTURELS', ' rnNÇPVATVllP - pro VRRKENS S NRTURLIJKE', ' KONSERVIERIINGSTOFFE: E250', 'E252', "" *Ingrèdients issus de L'agriculture biologique"", ' agriculture UE/NON UE TT nnc']","['Non végétalien', 'Non végétarien']",?,46,192 kj(46 kcal),"1,5",1,"4,8","4,8","3,4","0,13","0,052",,['Gran Brianza'],"['Produits laitiers', 'Laits', 'Laits demi-écrémés']",1.5 g,en faible quantité,1 g,en faible quantité,4.8 g,en faible quantité,0.13 g,en faible quantité,,-2%,-2%,-4%,-1%,-0%,0%,+5%,+18%,+18%,-1,,A,,D,,,,['Delhaize'],,78.7%,1.1%,11.0%,6.0%,3.2%,0.0%,54,"['Bio', 'Agriculture non UE', 'Agriculture UE', 'Agriculture UE/Non UE']",,"['E250 - Nitrite de sodium', '', 'Risque élevé de sur-exposition', 'E252 - Nitrate de potassium', '', 'Risque élevé de sur-exposition']",,,,,,
850,Pâte à tartiner aux noisettes - Pralinutta - 400g,5410291019370,['Pot'],['France'],"['Sucre', 'huile végétale ', 'colza', 'palme', 'noisettes 13%', 'lait écrémé en poudre', 'cacao maigre', 'lactose ', 'lait', 'lactosérum en poudre ', 'lait', 'émulsifiant ', 'lécithine de tournesol', 'arôme', 'arôme ', 'noisette']","['Huile de palme', 'Non végétalien', 'Peut-être végétarien']",2267,543,2267 kj(543 kcal),32,"7,1",56,56,"5,3","0,13","0,052",400 g,"['Pralinutta', 'Natra']","['Produits à tartiner', 'Petit-déjeuners', 'Produits à tartiner sucrés', 'Pâtes à tartiner', 'Pâtes à tartiner aux noisettes']",32 g,en quantité élevée,7.1 g,en quantité élevée,56 g,en quantité élevée,0.13 g,en faible quantité,-0%,-1%,-1%,-7%,-7%,+10%,+20%,-24%,+25%,+25%,23,+12%,E,+12%,D,,,,['Carrefour'],4,82.7%,11.5%,2.8%,2.4%,0.6%,0.0%,40,"['Agriculture durable', 'en:UTZ Certified']",,['E322i - Lécithine'],,"['Lait', 'Fruits à coque']",['Belgique'],['Huile de palme'],,
851,Dilea Z. lact. creme 36% - 20cl,5410298086467,['Berlingot'],"['Belgique', 'France']","['Crème', 'stabilisant: carraghenanes']","['Sans huile de palme', 'Non végétalien', 'Végétarien']",?,344,1439 kj(344 kcal),36,24,"2,9","2,9","2,1","0,08","0,032",20 cl,['Dilea'],['Produits laitiers'],36 g,en quantité élevée,24 g,en quantité élevée,2.9 g,en faible quantité,0.08 g,en faible quantité,,+39%,+42%,+100%,+102%,-41%,-29%,-83%,-90%,-90%,14,+37%,D,+37%,,,['France'],,['Delhaize'],4,,,,,,,,['Sans lactose'],,"['E407 - Carraghénanes', '', 'Risque élevé de sur-exposition']",,['Lait'],['Witterzee'],,,
852,Vodka Smirnoff - 70cl,5410316083607,"['Bouteille verre', 'Métal']","['Belgique', 'France']",['Vodka distillée à partir de grains'],[],?,?,,?,,?,,?,,,70 cl,['Smirnoff'],"['Boissons', 'Boissons alcoolisées', 'Alcools forts', 'Eaux-de-vie', 'Vodkas']",,,,,,,,,,,,,,,,,,,,,,,C,Vodka Smirnoff,['Russie'],,"['Monoprix', 'Delhaize']",,0.0%,41.3%,42.0%,11.2%,3.5%,2.0%,57,,,,"['EMB 49267', ""Saint-Barthélemy-d'Anjou (Maine-et-Loire, France)""]",,['Russie'],,,
853,Sauce Cocktail - Weight Watchers - 250ml,5410318495019,"['Flacon', 'Plastique']",['France'],"['eau', 'huile de colza 27%', 'purée de tomates', 'sucre', ""vinaigre d'alcool"", ""jaune d'œuf"", 'dextrose', 'moutarde ', 'eau', 'graines de moutarde', ""vinaigre d'alcool"", 'curcuma', 'sel', 'amidon modifié', 'whisky', 'acidifiants : E575', 'E300', 'arômes', 'conservateur : E200', 'épaississants : E412', 'E415', 'colorant : E160a', 'épices ', 'contient moutarde', 'antioxydant : E385']","[""Pourrait contenir de l'huile de palme"", 'Non végétalien', 'Peut-être végétarien']",1346,?,1346 kj(322 kcal),"28,2","2,5","14,7",10,"1,4","2,1","0,84",250 ml,['Weight Watchers'],"['Epicerie', 'Sauces', 'Sauces cocktail']",28.2 g,en quantité élevée,2.5 g,en quantité modérée,10 g,en quantité modérée,2.1 g,en quantité élevée,,,-35%,-45%,-47%,+66%,+52%,+3%,+39%,+39%,17,+2%,D,+2%,,,,,['Leclerc'],4,,,,,,,,"['Peu ou pas de matière grasse', 'Peu de matière grasse', 'Allégé en matière grasse', 'Moins 50% de matière grasse']",,"['E14XX - Amidons modifiés', 'E575 - Glucono-delta-lactone', 'E300 - Acide ascorbique', 'E200 - Acide sorbique', '', 'Risque élevé de sur-exposition', 'E412 - Gomme de guar', 'E415 - Gomme xanthane', 'E160a - Carotènes mélangés', 'E385 - Éthylène diamine tétra-acétate de calcium disodium']",,"['Œufs', 'Moutarde']",,,,
854,Poulet tomate mozza,5410333915271,,['France'],[],[],?,206,862 kj(206 kcal),13,"4,1","9,6","0,4",12,"1,2","0,48",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
855,Arome rose rosewater,5410350300500,,['France'],[],[],?,3,13 kj(3 kcal),"0,3",0,"0,1",0,"0,03",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
856,"Mélanges Fruits Rouges, 1 Kilo, Marque Crop's",5410355110029,,['France'],[],[],?,42,176 kj(42 kcal),"0,1",0,"6,1","5,8","0,9","0,01","0,004",,"[""Crop's""]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
857,Strawberries - Crop's,5410355304541,,['France'],"['EGdbeevenKn9ë peur Œs die sur une étale ', ' fûts sans Aultauen zubereiteo« Im TiefkOhiiacti eines K', 'ihlsehrankes Oder l', ' Dansie compartiment à im Tiefk0hKhrank: ou dans un cong semaine *CFC', ""• 1 1 Monat 1 mois siehe Mindesthaltbarkeitsdatum EINFRIEREN i DECONGELATION 'VFr•ËSld preparat!uns: put a 'Singie layer of bereidingen: leg het è4n Adò0ìen"", ' rftuitOf1 a plÇt Deftost in the refrigerator', ' For hot éreparations: use the fruit without op een bold', ' Laat in de koelk VNtwarne bereidingen: gebtuik net zonder te ontdooien', 'Free„ zompartmene ln het vriesvak van een koelkast of in Cen']",[],?,30,126 kj(30 kcal),0,0,"5,2","4,7","0,7",0,0,,"[""Crop's""]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
858,Myrtilles sauvages,5410355307115,,['France'],[],[],?,32,134 kj(32 kcal),0,0,6,6,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
859,Chamallows Rombiss - Haribo - 175g,5410358451020,,"['France', 'Suisse']","['Sirop de glucose', 'sucre', 'dextrose', 'eau', 'stabilisant: sorbitol', 'gélatine', 'arôme', 'colorants: carmins', 'curcumine']","['Sans huile de palme', 'Non végétalien', 'Non végétarien']",1414,?,1414 kj(338 kcal),"0,5","0,1",80,68,"3,5","0,02","0,008",175g,['Haribo'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,,,,,,,,,,"['E420 - Sorbitol', 'E428 - Gélatine', 'E120 - Acide carminique', 'E100 - Curcumine']",,,,,,
860,Haribo Chamallows the Smurfs Family,5410358452195,,['France'],[],[],?,333,1393 kj(333 kcal),"0,5","0,1",80,68,"3,5","0,02","0,008",,['Haribo'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
861,Chamallow - Haribo,5410358452744,,['France'],[],[],?,333,1393 kj(333 kcal),"0,5","0,1",80,68,"3,5","0,02","0,008",,['Haribo'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
862,Mini Chamallows Catering Pack - Haribo,5410358453710,,['France'],"['sirop de glucose', 'sucre', 'sirop de dextrose', 'eau', 'stabilisant: sorbitol', 'gélatine', 'arôme', ' concentré de fruits et de plantes : betteraves rouges', 'carthame ', ' arôme']","['Non végétalien', 'Non végétarien']",?,333,1393 kj(333 kcal),"0,5","0,1",80,68,"3,5","0,02","0,008",,['Haribo'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,,,,,,,,,,"['E420 - Sorbitol', 'E428 - Gélatine']",,,,,,
863,Haribo Chamallows Minis,5410358459903,,['France'],[],[],?,333,1393 kj(333 kcal),"0,5","0,1",68,68,"3,5","0,02","0,008",,['Haribo'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
864,Chamallows Hearts - Haribo - 175g,5410358464778,"['Sachet', 'Plastique']",['France'],"['Sirop de glucose', ' sucre', ' dextrose', 'eau', 'sorbitol', ' gélatine', 'arome', ' colorant carmins']","['Sans huile de palme', 'Non végétalien', 'Non végétarien']",?,333,1393 kj(333 kcal),"0,5","0,1",80,68,"3,5","0,02","0,008",175 g,['Haribo'],"['Snacks', 'Snacks sucrés', 'Confiseries', 'Bonbons', 'Guimauves']",0.5 g,en faible quantité,0.1 g,en faible quantité,68 g,en quantité élevée,0.02 g,en faible quantité,,-5%,-6%,-85%,-95%,+5%,+6%,-3%,-65%,-65%,14,-11%,D,-11%,B,,,,,4,60.5%,21.9%,10.2%,5.2%,2.3%,0.0%,89,,,"['E420 - Sorbitol', 'E428 - Gélatine', 'E120 - Acide carminique']",,,,,,
865,Crabe-Krab-Krabbe - Imperial,5410363000152,,"['Belgique', 'France']",[],[],?,293,1226 kj(293 kcal),1,0,2,0,13,"0,65","0,26",,['Imperial'],,,,,,,,,,,,,,,,,,,,,,,,,,,,['Delhaize'],,,,,,,,,,,,,,,,,
866,"Thunfisch, Mit Gemüse - Imperial",5410363000886,,['France'],[],[],?,99,414 kj(99 kcal),"2,46","0,5","6,33","4,18",13,1,"0,4",,['Imperial'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
867,Frites belges - Foodservice Quality - Lutosa - 1kg,5410376322777,"['Sachet', 'Plastique', 'surgelé']",['France'],"['Pommes de terre', 'huile de palme', 'dextrose']","['Huile de palme', 'Végétalien', 'Végétarien']",?,141,590 kj(141 kcal),4,2,"22,5",1,"2,5","0,05","0,02",1 kg,['Lutosa'],"['Chips et frites', 'Surgelés', 'Pommes de terre préfrites surgelées', 'Frites', 'Frites surgelées']",4 g,en quantité modérée,2 g,en quantité modérée,1 g,en faible quantité,0.05 g,en faible quantité,,-7%,-8%,-19%,+206%,-2%,+103%,0%,-83%,-83%,-1,,A,,B,,,,,4,21.9%,0.0%,23.0%,18.3%,27.1%,9.8%,97,"['en:gluten-free', 'EAC']",,,,,['Belgique'],['Huile de palme'],,
868,Pain D'epices Au Sucre Perlé 240G 6X2 Tranches - Vondelmolen,5410383020321,,['France'],[],[],?,323,1351 kj(323 kcal),"0,9","0,2",74,42,3,"0,4","0,16",,['Vondelmolen'],"['Snacks', 'Snacks sucrés', 'Biscuits et gâteaux', ""Pains d'épices""]",0.9 g,en faible quantité,0.2 g,en faible quantité,42 g,en quantité élevée,0.4 g,en quantité modérée,,-4%,-5%,-74%,-84%,+5%,+3%,-31%,-8%,-8%,11,-22%,D,-22%,B,,,,,,61.5%,18.9%,9.5%,5.0%,5.0%,0.0%,90,,,,,,,,,
869,Vondelmolen Pain D'epices Aux Fruits 12X350G - 350g,5410383308313,,['France'],[],[],?,312,1305 kj(312 kcal),"1,4","0,3",70,40,"3,1","0,45","0,18",350g,['Vondelmolen'],"['Snacks', 'Snacks sucrés', 'Biscuits et gâteaux', ""Pains d'épices""]",1.4 g,en faible quantité,0.3 g,en faible quantité,40 g,en quantité élevée,0.45 g,en quantité modérée,,-7%,-8%,-60%,-76%,-1%,-1%,-29%,+3%,+3%,12,-15%,D,-15%,B,,,,,,61.5%,18.9%,9.5%,5.0%,5.0%,0.0%,90,,,,,,,,,
870,Américaine chef - La William,5410426008804,,['France'],"['calciumdinatriumEÂ Fhaaldieren', 'melk soja ydrolyséest rose', 'sel', 'cerfeui toknates', 'poisson', 'vinaigre de sauce sojaseau', 'graineSde soja', 'blé', 'sel', 'carame[ sirop de sucre inverti', 'mélasse', 'jus de ciÎon Slabillsants ', 'gomme guar', 'farine de graines de ', 'acide sorbique', 'colorant ', 'bétanjne', 'antioxydall!et Produite dans une firme où les crustaces']",[],?,696,2912 kj(696 kcal),75,"6,4","2,4","1,5","2,5","2,2","0,88",,['La William'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,,,,,,,,,,"['E412 - Gomme de guar', 'E200 - Acide sorbique', '', 'Risque élevé de sur-exposition']",,"['Poisson', 'Gluten']",,,,
871,Mayo traiteur - La William,5410426009009,,['France'],"['huile de colza', 'eau', 'jaune élevées au sol', 'amidon', 'moutarde ', 'eau', 'vinaigre', 'sel', 'graines de moutarde', 'épices', ' vinaigre', 'sel', 'stabilisants ', 'gomme guar', 'acidifiants ', 'acide citrique', 'conservateurs ', 'sorbate de potassium', 'benzoate de sodium', 'enzyme alimentaire ', 'contient du lait', 'colorant ', 'bêta-carotène', 'antioxydant ', 'calcium dissodium EDTA', ' Produite dans une firme ou l’orge', 'le blé', 'les crustacés', 'le poisson', 'le soja et le céleri sont traités']","[""Pourrait contenir de l'huile de palme"", 'Non végétalien', 'Non végétarien']",?,581,2431 kj(581 kcal),"61,8","5,1","4,7","0,1","1,3","1,775","0,71",,['La William'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,,,,,,,,,,"['E412 - Gomme de guar', 'E330 - Acide citrique', 'E202 - Sorbate de potassium', '', 'Risque élevé de sur-exposition', 'E211 - Benzoate de sodium', '', 'Risque élevé de sur-exposition', 'E160ai - Bêta-carotène']",,"['Crustacés', 'Poisson', 'Gluten', 'Lait', 'Moutarde', 'Soja']",,,,
872,Brasil - La William - 350ml,5410426125914,"['Squeezer', 'Plastique']","['Belgique', 'France']","['Huile de colza', 'ananas', 'sucre', 'eau', ""jaune d'_œuf de poules élevées au sol "", '5 %', 'vinaigre', 'dextrose', 'kirsch', 'poudre de tomates', 'moutarde ', 'eau', 'vinaigre', 'graines de moutarde', 'sel', 'épices', 'sel', 'sirop de glucose', 'Scotch Whisky', 'protéines de soja hydrolysées', 'vinaigre de malt ', ""contient de l'orge"", 'sauce de soja ', 'eau', 'graines de soja', 'blé', 'sel', 'caramel', 'arômes ', 'contient du poisson', 'sirop de sucre inverti', 'mélasse', 'jus de citron vert', 'tamarin', 'épices ', 'contient de la moutarde', 'stabilisant ', 'gomme xanthane', 'gélifiant ', 'pectine', 'acidifiants ', 'acide tartrique', 'acide citrique', 'acide malique', 'conservateurs ', 'sorbate de potassium', 'benzoate de sodium', 'colorant ', 'extrait de poivron', 'antioxydant ', 'calcium disodium EDTA']",[],?,554,2318 kj(554 kcal),"52,6","4,4",17,"15,7","1,2","0,9","0,36",350 ml,['La William'],"['Epicerie', 'Sauces']",52.6 g,en quantité élevée,4.4 g,en quantité modérée,15.7 g,en quantité élevée,0.9 g,en quantité modérée,,+133%,+135%,+191%,+104%,+72%,+143%,-55%,-63%,-63%,15,+29%,D,+29%,,,,,,4,,,,,,,,,,"['E415 - Gomme xanthane', 'E440 - Pectines', 'E334 - Acide L-tartrique', 'E330 - Acide citrique', 'E296 - Acide malique', 'E202 - Sorbate de potassium', '', 'Risque élevé de sur-exposition', 'E211 - Benzoate de sodium', '', 'Risque élevé de sur-exposition', 'E385 - Éthylène diamine tétra-acétate de calcium disodium']",,"['Poisson', 'Gluten', 'Moutarde', 'Soja']",,,,
873,Boisson croissance soja,5410441003037,,['France'],[],[],?,71,297 kj(71 kcal),"3,5","0,4","7,5","3,1",0,"0,1","0,04",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
874,Boulette - Aubel,5410459017019,,['France'],"['Varkensvlees ', '72%', 'varkensvet', 'brood ', ""tarwemeel tarwegluten,water,gist zout uien,gejodeerdzout,' ejq$erselie"", 'preien', 'natuurlijk aroma', 'emulgatoren: E460', 'E4b', ' gras de porq pain ', 'farine de blé gluten de blé eau', 'levure', 'sel', 'oignons 2 g914persl ', 'poireaux', 'arome naturel', 'émulsifiants: E450', 'E4S2']",[],?,325,1360 kj(325 kcal),26,"9,1",8,"2,2","15,8","1,5","0,6",,['Aubel'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,,,,,,,,,,"['E460 - Cellulose', 'E450 - Diphosphates', '', 'Risque élevé de sur-exposition']",,,,,,
875,Jules Destrooper,5410471065821,,"['Belgique', 'France']",[],[],?,?,,?,,?,,?,,,,['Jules Destrooper'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
876,Butter Crisps - Jules DESTROOPER,5410471110002,,['France'],"['Farine de froment', 'sucre', 'beurre ', '18%', ' ', 'lait', 'oeufs', 'sel de mer', 'poudre à lever: carbonate acide de sodium', ' Peut contenir des traces de soja', 'amandes', 'noisettes et noix de cajou', ' Conditionné sous atmosphère protectrice']","['Sans huile de palme', 'Non végétalien', 'Végétarien']",?,472,1975 kj(472 kcal),"16,3",10,"74,7",42,"5,9","0,5","0,2",,['Jules DESTROOPER'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,['E500ii - Carbonate acide de sodium'],,"['Œufs', 'Gluten', 'Lait']",,,,
877,Snacking 'on The Go' Natuurboterwafels 35g 3 Stuks,5410471908470,,['France'],[],[],?,415,1736 kj(415 kcal),15,"9,1",65,36,"5,1","0,41","0,164",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
878,Jules Destrooper Butter Waffles -33G,5410471908487,,['France'],"['Farine de froment', 'beurre ', '26%', ' ', 'lait', 'sucre', 'oeufs', 'extrait de vanille naturelle', 'sel de mer', 'poudre à lever: carbonate acide de sodium', ' Informations sur les allergènes: Les allergènes', 'notamment les céréales contenant du gluten', 'figurent en gras dans la liste des ingrédients', ' Peut contenir des traces de soja et de fruits à coque']",['Non végétalien'],?,510,2134 kj(510 kcal),25,17,64,35,"5,8",1,"0,4",,['Jules destrooper'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,['E500ii - Carbonate acide de sodium'],,"['Œufs', 'Gluten', 'Lait']",,,,
