,name,bar_code,packaging,sales_countries,ingredients_list,ingredients_analysis,nutriment_energy-kj_tr,nutriment_energy-kcal_tr,nutriment_energy_tr,nutriment_fat_tr,nutriment_saturated-fat_tr,nutriment_carbohydrates_tr,nutriment_sugars_tr,nutriment_proteins_tr,nutriment_salt_tr,nutriment_sodium_tr,quantity,brand,categories,fats_lipids_quantity,fats_lipids_comment,saturated_acids_quantity,saturated_acids_comment,sugar_quantity,sugar_comment,salt_quantity,salt_comment,nutriment_energy-kj_tr_diff,nutriment_energy-kcal_tr_diff,nutriment_energy_tr_diff,nutriment_fat_tr_diff,nutriment_saturated-fat_tr_diff,nutriment_carbohydrates_tr_diff,nutriment_sugars_tr_diff,nutriment_proteins_tr_diff,nutriment_salt_tr_diff,nutriment_sodium_tr_diff,nutriment_nutrition-score-fr_tr,nutriment_nutrition-score-fr_tr_diff,nutriment_nutriscore_tr,nutriment_nutriscore_tr_diff,eco_score,generic_name,ingredients_origins,link,markets,nova_score,Agriculture,Transformation,Conditionnement,Transport,Distribution,Consommation,Score_ACV,labels,brand_owner,additives,traceability_code,allergens,manufacturing,palm_ingredients,producer_info,origin_detail
627,Macaroni jambon 3 fromages - Delhaize - 400g,5400112935200,"['Fresh', 'Plastic', 'Aluminium']","['Belgique', 'France']","['eau', 'macaroni 27% ', 'semoule de blé dur', 'eau', ""blanc d'œuf"", 'jambon 11% [viande de porc 80%', 'eau', 'amidon de pomme de terre', 'sel', 'dextrose', 'sirop de glucose', 'herbes', 'arôme', 'arôme de fumée', 'stabilisant ', 'E451', 'antioxydants ', 'E301', 'E331', 'gélifiant ', 'E407', 'conservateurs ', 'E250', 'E262', ']', 'fromage fondu 9% [eau', 'lactosérum en poudre ', 'lait', 'beurre', 'sel', 'émulsifiant ', 'E331', ""arôme naturel d'emmental"", 'sel]', 'lactose', 'protéines de lait', 'huile de coco', 'emmental 5% [emmental', 'fromage ', 'edam', 'maasdam', 'gouda', 'eau', 'beurre', 'lait écrémé en poudre', 'protéines de lait', 'amidon modifié de pomme de terre', 'sel', 'sels émulsifiants ', 'E331', 'E452', 'gélifiant ', 'E407', ']', 'gorgonzola 1% ', 'lait entier', 'sel', 'présure', 'margarine [huiles et graisses végétales ', 'palme', 'eau', 'sel', 'émulsifiants ', 'E332', 'E471', 'acidifiant ', 'E330', 'colorant ', 'E160a', 'arôme naturel]', 'huile de tournesol', 'amidon modifié de maïs', 'amidon de pomme de terre', 'farine de blé', 'arôme naturel', 'extrait de légume ', 'livèche', 'oignon', 'poireau', 'tomate', 'carotte', 'oignon en poudre', 'ail', 'sel', 'herbes et épices', ""extraits d'épices"", 'arôme de poivre et de noix de muscade']","['Huile de palme', 'Non végétalien', 'Non végétarien']",?,156,653 kj(156 kcal),"7,9","4,9","14,1","2,4","6,9","0,83","0,332",400 g,['Delhaize'],"['Plats préparés', 'Plats à base de pâtes', 'Gratins', 'Gratins de pâtes']",7.9 g,en quantité modérée,4.9 g,en quantité modérée,2.4 g,en faible quantité,0.83 g,en quantité modérée,,-2%,-0%,+8%,+15%,-3%,+33%,-7%,+7%,+7%,4,-19%,C,-19%,C,"Macaroni jambon et fromage fondu, emmental et gorgonzola",,,['Delhaize'],4,64.7%,21.7%,4.5%,4.8%,2.5%,1.8%,69,,,"['E451 - Triphosphates', '', 'Risque élevé de sur-exposition', 'E301 - Ascorbate de sodium', 'E331 - Citrates de sodium', 'E407 - Carraghénanes', '', 'Risque élevé de sur-exposition', 'E250 - Nitrite de sodium', '', 'Risque élevé de sur-exposition', 'E262 - Acétates de sodium', 'E14XX - Amidons modifiés', 'E452 - Polyphosphates', '', 'Risque élevé de sur-exposition', 'E332 - Citrates de potassium', ""E471 - Mono- et diglycérides d'acides gras alimentaires"", 'E330 - Acide citrique', 'E160a - Carotènes mélangés']",['BE B639 EC'],"['Œufs', 'Gluten', 'Lait']",,,,
628,Tagliatelle - Bio Delhaize - 250g,5400112940204,,['France'],"['semoule de blé dur', 'œufs 22%']","['Sans huile de palme', 'Non végétalien', 'Végétarien']",?,284,1188 kj(284 kcal),"3,2",1,"50,3",1,"11,7","0,1","0,04",250 g,['Bio Delhaize'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,['Bio'],,,,['Œufs'],,,,
629,Croq champignon - Delhaize - 2,5400112985106,,"['Belgique', 'France']",[],[],?,203,849 kj(203 kcal),14,"3,3","6,1","0,2",14,"1,3","0,52",2,['Delhaize'],,,,,,,,,,,,,,,,,,,,,,,,,,,,['Delhaize'],,,,,,,,,,,,,,,,,
630,Wazabi - Delhaize,5400113006343,,"['Belgique', 'France']",[],[],?,447,1870 kj(447 kcal),"15,4","3,9","64,5","13,8",11,1,"0,4",,['Delhaize'],,,,,,,,,,,,,,,,,,,,,,,,,,,,['Delhaize'],,,,,,,,,,,,,,,,,
631,Soup' Velouté de légumes & tomates - Delhaize,5400113016069,,"['Belgique', 'France']",[],[],?,33,138 kj(33 kcal),"1,3","0,9","3,8","1,4","0,7","0,9","0,36",,['Delhaize'],,,,,,,,,,,,,,,,,,,,,,,,,,,,['Delhaize'],,,,,,,,,['Fabriqué en France'],,,,,,,,
632,Tortilla Wrap - Delhaize,5400113029410,,"['Belgique', 'France']",[],[],?,326,1364 kj(326 kcal),"7,3","0,9","54,6","2,6","9,4","0,9","0,36",,['Delhaize'],,,,,,,,,,,,,,,,,,,,,,,,,,,,['Delhaize'],,,,,,,,,"['Bio', 'Bio européen', 'AB Agriculture Biologique']",,,,,,,,
633,Mélange de fruits - Delhaize - 4x120gr,5400113036272,['Pot'],"['Belgique', 'France']",[],[],?,53,222 kj(53 kcal),"0,1",0,12,"11,5","0,3","0,03","0,012",4x120gr,['Delhaize'],['Fruitd'],0.1 g,en faible quantité,0 g,en faible quantité,11.5 g,en quantité modérée,0.03 g,en faible quantité,,,,,,,,,,,2,,B,,,,,,['Delhaize'],,,,,,,,,,,,,,,,,
634,Lentilles en conserve - Delhaize - 400g,5400113041023,,"['Belgique', 'France', 'en:en']","['Lentilles', 'eau', 'sel', 'antioxydant: acide L-ascorbique']","['Sans huile de palme', 'Végétalien', 'Végétarien']",?,69,289 kj(69 kcal),"0,3",0,"10,3",1,4,"0,6","0,24",400g,['Delhaize'],"['Aliments et boissons à base de végétaux', ""Aliments d'origine végétale"", 'Légumineuses et dérivés', 'Conserves', 'Légumineuses', 'Aliments à base de plantes en conserve', 'Légumineuses en conserve', 'Lentilles en conserve']",0.3 g,en faible quantité,0 g,en faible quantité,1 g,en faible quantité,0.6 g,en quantité modérée,,-19%,-19%,-64%,-100%,-10%,+59%,-34%,-15%,-15%,-5,,A,,B,,,,['Delhaize'],3,18.0%,39.2%,18.8%,10.4%,5.3%,8.4%,93,,,['E300 - Acide ascorbique'],,,,,,
635,Nouilles Orientales au poulet et légumes - Delhaize,5400113400356,,"['Belgique', 'France']",[],[],?,120,502 kj(120 kcal),"2,6","0,4",16,"3,1","5,5",1,"0,4",,['Delhaize'],,,,,,,,,,,,,,,,,,,,,,,,,,,,['Delhaize'],,,,,,,,,,,,,,,,,
636,Extra Olijfolie - Delhaize,5400113506096,,"['Belgique', 'France']",[],[],?,823,3443 kj(823 kcal),"91,4","13,1",0,0,0,0,0,,['Delhaize'],,,,,,,,,,,,,,,,,,,,,,,,,,,,['Delhaize'],,,,,,,,,,,,,,,,,
637,chips naturel - Delhaize - 120g,5400113526988,['Sachet'],"['Belgique', 'France']",[],[],?,555,2322 kj(555 kcal),35,"3,1",52,"0,5",6,"1,2","0,48",120 g,['Delhaize'],"['Aliments et boissons à base de végétaux', ""Aliments d'origine végétale"", 'Snacks', 'Céréales et pommes de terre', 'Snacks salés', 'Apéritif', 'Chips et frites', 'Chips', 'Chips de pommes de terre']",35 g,en quantité élevée,3.1 g,en quantité modérée,0.5 g,en faible quantité,1.2 g,en quantité modérée,,+5%,+5%,+7%,+0%,+1%,-64%,+1%,-8%,-8%,10,-12%,C,-12%,B,,,,['Delhaize'],,62.4%,19.7%,7.4%,7.2%,3.4%,0.0%,78,,,,,,,,,
638,Cane sugar cubes - Delhaize - 500grammes,5400113531678,,"['Belgique', 'France']",[],[],?,400,1674 kj(400 kcal),0,0,"99,7","99,7",0,0,0,500 grammes,['Delhaize'],,,,,,,,,,,,,,,,,,,,,,,,,,,,['Delhaize'],,,,,,,,,"['Bio', 'Bio européen', 'BE-BIO-02']",,,,,,,,
639,Petits pains complets grilles suedois - Delhaize - 225g,5400113540229,,"['Belgique', 'France']","['Farine complètc dc blé 14596', ' fadnc de blé', 'huile végétale non-hydrogénée ', 'colza', 'sucre', 'levure', ""extrait dc malt d'orge"", 'sel', 'gluten de blé', 'agent de traitement de la farine ', 'acide ascorbique', ' Contient gluten', ' Fabriqué dans un atelier qui utflise aussi: Oeufs', 'arachides', 'lait', 'fruits à coque et sésame', ' porseÉv,d']",['Non végétalien'],?,410,1715 kj(410 kcal),"10,4","0,9",66,5,10,1,"0,4",225 g,['Delhaize'],"['Aliments et boissons à base de végétaux', ""Aliments d'origine végétale"", 'Céréales et pommes de terre', 'Pains', 'Pains grillés', 'Petits pains grillés']",10.4 g,en quantité modérée,0.9 g,en faible quantité,5 g,en quantité modérée,1 g,en quantité modérée,,+1%,+1%,+23%,-44%,-2%,-14%,-5%,-13%,-13%,0,-100%,B,-100%,B,Petits pains suédois au blé complet,,,['Delhaize'],4,64.1%,19.9%,9.0%,6.2%,0.8%,0.0%,91,,,['E300 - Acide ascorbique'],,"['Gluten', 'Lait', 'Fruits à coque', 'Arachides', 'Graines de sésame']",,,,
