,name,bar_code,sales_countries,ingredients_list,ingredients_analysis,nutriment_energy-kj_tr,nutriment_energy-kcal_tr,nutriment_energy_tr,nutriment_fat_tr,nutriment_saturated-fat_tr,nutriment_carbohydrates_tr,nutriment_sugars_tr,nutriment_proteins_tr,nutriment_salt_tr,nutriment_sodium_tr,eco_score,categories,fats_lipids_quantity,fats_lipids_comment,saturated_acids_quantity,saturated_acids_comment,sugar_quantity,sugar_comment,salt_quantity,salt_comment,nutriment_energy-kj_tr_diff,nutriment_energy-kcal_tr_diff,nutriment_energy_tr_diff,nutriment_fat_tr_diff,nutriment_saturated-fat_tr_diff,nutriment_carbohydrates_tr_diff,nutriment_sugars_tr_diff,nutriment_proteins_tr_diff,nutriment_salt_tr_diff,nutriment_sodium_tr_diff,nutriment_nutrition-score-fr_tr,nutriment_nutrition-score-fr_tr_diff,nutriment_nutriscore_tr,nutriment_nutriscore_tr_diff,Agriculture,Transformation,Conditionnement,Transport,Distribution,Consommation,Score_ACV,quantity,brand,labels,packaging,markets,generic_name,manufacturing,additives,allergens,nova_score,traceability_code,ingredients_origins,link,palm_ingredients,brand_owner
1540,Crackers - Jean & Freres - 110g,3701008802357,['France'],"['Farine de BLÉ complet', 'eau', 'farine de SEIGLE complet', 'farine de BLE', 'se marin', 'miel', 'oignon séché 1,5%', 'levure', 'sirop de sucre roux', 'aneth séchée 0,6%', ' CONTIENT : Gluten', ' Traces possibles de lait oeuf', 'fruits à coque', 'sésame']",['Non végétalien'],?,379,1586 kj(379 kcal),2,"0,6",75,1,13,"2,8","1,12",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,110 g,['Jean & Freres'],,,,,,,['Gluten'],,,,,,
1541,Sauce Gravelax - Jean & Frères - 250g,3701008802371,['France'],"['MOUTARDE douce et forte 38% ', 'eau', 'graine de MOUTARDE', 'vinaigre', 'sel', 'acidifiant: acide citrique et DISULFITE de potassium', 'sucre', 'huile de tournesol', 'eau', 'aneth 9 %', 'vinaigre de vin ', 'SULFITES', 'épaississant: carraghénanes', ' CONTIENT : moutarde', 'sulfites']",[],?,278,1163 kj(278 kcal),19,"1,9",25,23,"2,4","0,24","0,096",,"['Epicerie', 'Sauces', 'Sauces gravelax']",19 g,en quantité modérée,1.9 g,en quantité modérée,23 g,en quantité élevée,0.24 g,en faible quantité,,+17%,+18%,+5%,-12%,+152%,+256%,-11%,-90%,-90%,9,-22%,C,-22%,,,,,,,,250 g,['Jean & Frères'],,,,,,"['E330 - Acide citrique', 'E224 - Disulfite de potassium', '', 'Risque élevé de sur-exposition', 'E407 - Carraghénanes', '', 'Risque élevé de sur-exposition']","['Moutarde', 'Anhydride sulfureux et sulfites']",4,,,,,
1542,Sesaminis - Jean & Freres - 150g,3701008802746,['France'],[],[],?,413,1728 kj(413 kcal),?,1,?,"2,8",15,"1,7","0,68",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,150 g,['Jean & Freres'],,,,,,,,,,,,,
1543,Terrine de canard au magret - Maison Sauveterre,3701011401141,['France'],['TERRINE DE CANARD'],[],?,286,1197 kj(286 kcal),26,"8,6",0,0,13,"1,7","0,68",E,"['Viandes', 'Charcuteries', 'Produits à la viande', 'Terrines', 'Terrines de volailles', 'Terrines de canard']",26 g,en quantité élevée,8.6 g,en quantité élevée,0 g,en faible quantité,1.7 g,en quantité élevée,,-7%,-6%,-1%,-9%,-100%,-100%,-8%,+11%,+11%,18,+1%,D,+1%,77.8%,15.8%,3.0%,2.2%,1.0%,0.3%,33,,['Maison Sauveterre'],,,,,,,,,,,,,
1544,Terrines de canard au magret - Maison Sauveterre,3701011401158,['France'],[],[],?,286,1197 kj(286 kcal),26,"8,6",0,0,13,"1,7","0,68",E,"['Viandes', 'Charcuteries', 'Produits à la viande', 'Terrines', 'Terrines de volailles', 'Terrines de canard']",26 g,en quantité élevée,8.6 g,en quantité élevée,0 g,en faible quantité,1.7 g,en quantité élevée,,-7%,-6%,-1%,-9%,-100%,-100%,-8%,+11%,+11%,18,+1%,D,+1%,77.8%,15.8%,3.0%,2.2%,1.0%,0.3%,33,,['Maison Sauveterre'],,,,,,,,,,,,,
1545,Terrine de canard - Maison Sauveterre,3701011401189,['France'],"['Foie de volaille', 'gras de porc', 'viande de canard ', '20%', 'couenne de porc', 'viande de porc', 'eau', 'pistaches ', '4', '5%', ""zeste d'orange "", '4', '5%', 'sel', 'Armagnac', 'lactose', 'protéines de lait', 'arome naturel']","['Sans huile de palme', 'Non végétalien', 'Non végétarien']",?,299,1251 kj(299 kcal),27,"8,3","0,8",0,13,"1,6","0,64",E,"['Viandes', 'Charcuteries', 'Produits à la viande', 'Terrines', 'Terrines de volailles', 'Terrines de canard']",27 g,en quantité élevée,8.3 g,en quantité élevée,0 g,en faible quantité,1.6 g,en quantité élevée,,-2%,-2%,+3%,-13%,-53%,-100%,-8%,+5%,+5%,18,+1%,D,+1%,77.8%,15.8%,3.0%,2.2%,1.0%,0.3%,33,,['Maison Sauveterre'],,,,,,,"['Lait', 'Fruits à coque']",4,,,,,
1546,Les terrines gourmandes canard aux pruneaux et a l'Armagnac - Maison Sauveterre,3701011401202,['France'],[],[],?,266,1113 kj(266 kcal),23,"7,2",26,19,12,"1,5","0,6",E,"['Viandes', 'Charcuteries', 'Produits à la viande', 'Terrines', 'Terrines de volailles', 'Terrines de canard']",23 g,en quantité élevée,7.2 g,en quantité élevée,19 g,en quantité élevée,1.5 g,en quantité modérée,,-13%,-13%,-13%,-24%,+1412%,+2965%,-15%,-2%,-2%,20,+12%,E,+12%,77.8%,15.8%,3.0%,2.2%,1.0%,0.3%,33,,['Maison Sauveterre'],,,,,,,,,,,,,
1547,Délices à tartiner duo de saumon à la crème et citron vert - Maison Sauveterre,3701011401332,['France'],"['Saumon et saumon fumé 50%', ' crème fraîche 34 % ', 'jus de citron vert 3,5% ', 'moutarde ', 'eau', ""graines de moutarde vinaigre d'alcool"", 'sel', 'acidifiant : acide Citrique', 'conservateur : disulfite de potassium', 'ciboulette', ' épaississant : cellulose et gomme xanthane sucre', 'zeste de lime 1%', 'sel de Guérande', 'epices et aromates', ' Traces possibles de crustacé', 'mollusque', 'œuf']","['Non végétalien', 'Non végétarien']",?,203,849 kj(203 kcal),"14,9","7,9","3,3","2,8","13,6","1,6","0,64",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,['Maison Sauveterre'],,,,,,"['E330 - Acide citrique', 'E224 - Disulfite de potassium', '', 'Risque élevé de sur-exposition', 'E460 - Cellulose']","['Poisson', 'Lait', 'Moutarde']",4,,,,,
1548,Confit de figue violettes - Maison Sauveterre,3701011401363,['France'],"['Figues violettes 71 0%', 'Traces possibles de crustacés', 'coque', 'moutarde', 'poisson', 'oeuf,']","['Non végétalien', 'Non végétarien']",?,161,674 kj(161 kcal),"0,4",0,"37,3","34,2","0,7","0,9","0,36",,"['Aliments et boissons à base de végétaux', ""Aliments d'origine végétale"", 'Aliments à base de fruits et de légumes', 'Produits à tartiner', 'Fruits et produits dérivés', 'Pâtes à tartiner végétales', 'Chutneys de fruit', 'Confits de figues']",0.4 g,en faible quantité,0 g,en faible quantité,34.2 g,en quantité élevée,0.9 g,en quantité modérée,,-16%,-16%,-27%,-100%,-14%,-17%,-19%,+109%,+109%,10,+26%,C,+26%,,,,,,,,,['Maison Sauveterre'],,,,,,,,1,,,,,
1549,Tisane des sommets,3701013211182,['France'],[],[],?,0,0 kj(0 kcal),0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
