,name,bar_code,quantity,packaging,brand,categories,labels,ingredients_origins,manufacturing,traceability_code,markets,sales_countries,ingredients_list,additives,allergens,ingredients_analysis,nova_score,fats_lipids_quantity,fats_lipids_comment,saturated_acids_quantity,saturated_acids_comment,sugar_quantity,sugar_comment,salt_quantity,salt_comment,nutriment_energy-kj_tr,nutriment_energy-kj_tr_diff,nutriment_energy-kcal_tr,nutriment_energy-kcal_tr_diff,nutriment_energy_tr,nutriment_energy_tr_diff,nutriment_fat_tr,nutriment_fat_tr_diff,nutriment_saturated-fat_tr,nutriment_saturated-fat_tr_diff,nutriment_carbohydrates_tr,nutriment_carbohydrates_tr_diff,nutriment_sugars_tr,nutriment_sugars_tr_diff,nutriment_proteins_tr,nutriment_proteins_tr_diff,nutriment_salt_tr,nutriment_salt_tr_diff,nutriment_sodium_tr,nutriment_sodium_tr_diff,nutriment_nutrition-score-fr_tr,nutriment_nutrition-score-fr_tr_diff,nutriment_nutriscore_tr,nutriment_nutriscore_tr_diff,eco_score,Agriculture,Transformation,Conditionnement,Transport,Distribution,Consommation,Score_ACV,generic_name,palm_ingredients,link,brand_owner
1204,Tahin - Lima - 250g,5411788046640,250g,,['Lima'],"['Aliments et boissons à base de végétaux', ""Aliments d'origine végétale"", 'Céréales et pommes de terre', 'Produits à tartiner', 'Céréales et dérivés', 'Pâtes à tartiner végétales', ""Purées d'oléagineux"", 'Purées de céréales', 'Purées de sésame']","['Bio', 'Bio européen']",,,,,"['Belgique', 'France']",[],,,[],,56.5 g,en quantité élevée,9.3 g,en quantité élevée,2.6 g,en faible quantité,0 g,en faible quantité,?,,645,+1%,2699 kj(645 kcal),+1%,"56,5",+1%,"9,3",+12%,"3,8",-40%,"2,6",+314%,"25,3",+13%,0,-100%,0,-100%,17,+28%,D,+28%,C,84.4%,6.1%,3.7%,4.2%,1.7%,0.0%,47,,,,
1205,Tortilla Chips Original - Lima - 100g,5411788046664,100 g,"['Plastique', 'Sachet']",['Lima'],"['Snacks', 'Snacks salés', 'Apéritif', 'Chips et frites', 'Chips', 'Chips de maïs']","['Bio', 'Bio européen', 'Biogarantie', 'AB Agriculture Biologique']",,,,['La Biotik'],['France'],"['maïs', 'huile de tournesol ', '25%', 'sel marin']",,,"['Sans huile de palme', 'Végétalien', 'Végétarien']",3,30.2 g,en quantité élevée,3.7 g,en quantité modérée,1 g,en faible quantité,1 g,en quantité modérée,2184,+9%,?,,2184 kj(522 kcal),+8%,"30,2",+33%,"3,7",+26%,"53,3",-12%,1,-47%,"6,7",+5%,"1,001",-14%,"0,4",-14%,8,-17%,C,-17%,B,62.4%,19.7%,7.4%,7.2%,3.4%,0.0%,78,Spécialité à base de maïs,,http://www.limafood.com,
1206,Veloute 2 Pois Miso Et Flocons De Riz - Lima,5411788046749,,,['Lima'],,['Bio'],,,,,['France'],"['eau', 'légumes* 31,6% ', 'pois cassés cuits* 11,6%', 'petits pois* oignons*', 'pommes de terre* poireaux*', 'miso de riz* 2% ', 'soja*', 'riz*', 'eau', 'sel marin', 'A', ' Oryzae', 'flocons de riz*', 'amidon de maïs*', 'sel marin', ""huile d'olive Vierge extra*"", 'thym*', ' poivre noir* ', "" * = issu de l'agriculture biologique""]",,['Soja'],[],,,,,,,,,,?,,41,,172 kj(41 kcal),,"0,9",,"0,1",,"5,7",,"1,5",,"1,8",,"0,7",,"0,28",,,,,,,,,,,,,,,,,
1207,Epicerie / Boissons Et Vins / Boissons Végétales - Lima,5411788046886,,,['Lima'],"['Produits laitiers', 'Laits']","['Bio', 'en:gluten-free']",,,,,['France'],"['c""ot/cikd']",,,[],,1 g,en faible quantité,0.1 g,en faible quantité,8 g,en quantité modérée,0.1 g,en faible quantité,?,,69,+5%,289 kj(69 kcal),+5%,1,-51%,"0,1",-92%,15,+149%,8,+47%,"0,5",-86%,"0,1",-19%,"0,04",-19%,1,+74%,B,+74%,D,78.7%,1.1%,11.0%,6.0%,3.2%,0.0%,54,,,,
1208,VEGI MIX AVOINE-MAIS - Lima,5411788046923,,,['Lima'],,"['Bio', 'Bio européen', 'AB Agriculture Biologique']",,,,,['France'],[],,,[],,,,,,,,,,?,,152,,636 kj(152 kcal),,"2,7",,"0,4",,"24,1",,"0,9",,"5,4",,"0,6",,"0,24",,,,,,,,,,,,,,,,,
1209,Spelt épeautre Dinkel - Lima,5411788047012,,,['Lima'],"['Aliments et boissons à base de végétaux', ""Aliments d'origine végétale"", 'Céréales et pommes de terre', 'Céréales et dérivés', 'Galettes de céréales soufflées', 'Galettes de blé soufflé', ""Galettes d'épeautre soufflé""]","['Bio', 'Végétarien', 'Végétalien']",,,,,['France'],"['épeautre', 'sel marin', ' ', ""=issu de l'agriculture biologique"", ' Peut contenir des traces de sésame']",,['Gluten'],"['Sans huile de palme', 'Végétalien', 'Végétarien']",3,2.4 g,en faible quantité,0.5 g,en faible quantité,1.8 g,en faible quantité,0.25 g,en faible quantité,?,,371,-5%,1552 kj(371 kcal),-5%,"2,4",-64%,"0,5",-83%,"66,5",+3%,"1,8",-58%,"16,6",+37%,"0,25",+87%,"0,1",+87%,0,-100%,B,-100%,B,57.0%,19.3%,12.5%,10.4%,0.8%,0.0%,92,,,,
1210,Tartinable Lupin Curcuma - Lima,5411788047104,,,['Lima'],,"['Bio', 'Végétarien', 'Bio européen', 'Végétalien', 'BE-BIO-01', 'Agriculture UE/Non UE']",,,,,['France'],"['graines de lupin cuites* 35,4%', 'eau', 'huile de tournesol*', 'oignons*', 'sirop de riz*', 'amidon de pomme de terre*', 'sel marin', 'persil*', 'curcuma* 0,2%', 'poivre noir*', 'acidifiant: acide citrique', 'gingembre*', ' ', ""*= issu de l'agriculture biologique"", ' Peut contenir des traces de sésame', 'céleri', 'soja et ?uf']",['E330 - Acide citrique'],,"['Végétalien', 'Végétarien']",,,,,,,,,,?,,210,,879 kj(210 kcal),,"14,2",,"1,7",,"12,9",,"3,7",,"6,4",,"1,52",,"0,608",,,,,,,,,,,,,,,,,
1211,Dessert Rice Coco Choco - Lima,5411788047128,,,['Lima'],,"['Bio', 'Végétarien', 'Bio européen', 'Végétalien', 'Agriculture UE/Non UE', 'FR-BIO-01']",,,,,['France'],['RIce dessert COCO hOCO GAIC GAN BIO 100% Vegetable'],,,"['Végétalien', 'Végétarien']",,,,,,,,,,?,,210,,879 kj(210 kcal),,"14,4",,"5,3",,"18,5",,"9,9",,"1,1",,"0,07",,"0,028",,,,,,,,,,,,,,,,,
1212,Dessert Rice Coco Moka - Lima,5411788047135,,,['Lima'],,"['Bio', 'Bio européen', 'en:gluten-free', 'Agriculture UE', 'Agriculture UE/Non UE', 'FR-BIO-01', 'Sans lactose']",,,,,['France'],[],,,[],,,,,,,,,,?,,199,,833 kj(199 kcal),,"15,1",,"5,5",,"14,7",,6,,"0,8",,"0,1",,"0,04",,,,,,,,,,,,,,,,,
1213,Creme soja - Lima,5411788047197,,,['Lima'],,"['Bio', 'Végétarien', 'Bio européen', 'en:gluten-free', 'Végétalien', 'AT-BIO-301']",,,,,['France'],[],,,"['Végétalien', 'Végétarien']",,,,,,,,,,?,,189,,791 kj(189 kcal),,17,,2,,"5,3",,"1,2",,"2,6",,"0,1",,"0,04",,,,,,,,,,,,,,,,,
1214,Boisson biologique à base de sarrasin - Lima,5411788047241,,,['Lima'],"['Aliments et boissons à base de végétaux', 'Boissons', ""Aliments d'origine végétale"", 'Céréales et pommes de terre', 'Céréales et dérivés', 'Boissons à base de végétaux', 'Substitut du lait', 'Boissons végétales', 'Boissons végétales de céréales', 'Boissons au sarrasin']",['Bio'],,,,,['France'],[],,,[],,1.1 g,en faible quantité,0.2 g,en faible quantité,5.6 g,en quantité modérée,0.1 g,en faible quantité,?,,51,-6%,213 kj(51 kcal),-5%,"1,1",-13%,"0,2",-5%,"8,4",-13%,"5,6",+1%,"1,6",+195%,"0,1",+5%,"0,04",+5%,1,+40%,B,+40%,B,9.3%,2.1%,32.4%,31.8%,19.1%,5.3%,88,,,,
1215,Boisson Riz Proteinee - Lima,5411788047364,,,['Lima'],"['Aliments et boissons à base de végétaux', 'Boissons', ""Aliments d'origine végétale"", 'Céréales et pommes de terre', 'Céréales et dérivés', 'Boissons à base de végétaux', 'Substitut du lait', 'Boissons végétales', 'Boissons végétales de céréales', 'Boissons au riz']",['Bio'],,,,,['France'],[],,,[],,1.3 g,en faible quantité,0.2 g,en faible quantité,7.1 g,en quantité élevée,0.08 g,en faible quantité,?,,59,+2%,247 kj(59 kcal),+1%,"1,3",+7%,"0,2",-15%,"9,9",-11%,"7,1",+24%,"1,9",+459%,"0,08",-15%,"0,032",-15%,0,-100%,B,-100%,E,82.5%,2.9%,5.0%,5.8%,2.9%,0.8%,27,,,,
1216,Boisson Avoine Proteinee - lima,5411788047371,,,['Lima'],"['Aliments et boissons à base de végétaux', 'Boissons', ""Aliments d'origine végétale"", 'Céréales et pommes de terre', 'Céréales et dérivés', 'Boissons à base de végétaux', 'Substitut du lait', 'Boissons végétales', 'Boissons végétales de céréales', ""Boissons à l'avoine""]","['Bio', 'Végétarien', 'Bio européen', 'Végétalien', 'DE-ÖKO-013', 'Agriculture UE/Non UE']",,,,,['France'],[],,,"['Végétalien', 'Végétarien']",,1.5 g,en quantité modérée,0.3 g,en faible quantité,5.6 g,en quantité modérée,0.15 g,en quantité modérée,?,,59,+23%,247 kj(59 kcal),+23%,"1,5",+16%,"0,3",+45%,"9,5",+21%,"5,6",+9%,"1,8",+135%,"0,15",+59%,"0,06",+59%,0,-100%,B,-100%,B,9.3%,2.1%,32.4%,31.8%,19.1%,5.3%,88,,,,
1217,Instant Miso Soup Champignon - Lima,5411788047432,,,['Lima'],,"['Bio', 'Végétarien', 'Bio européen', 'Végétalien', 'DE-ÖKO-001']",,,,,['France'],"['shiro miso déshydraté* ', 'riz*', 'soja*', 'sel marin', 'huile de tournesol*', 'A Onyzae', 'miso de riz déshydraté* ', 'soja*', 'riz*', 'sel marin', 'huile de tournesol*', 'A Oryzae', 'poudre de champignons* 10%', 'oignons*', 'poireaux*', 'carottes*', 'sel marin', 'laitue de mer ', 'dulse*', 'nori*', 'livèche*']",,['Soja'],"['Végétalien', 'Végétarien']",,,,,,,,,,?,,335,,1402 kj(335 kcal),,"9,4",,"1,3",,39,,15,,18,,"15,5",,"6,2",,,,,,,,,,,,,,,,,
1218,Tamari Hot Chili Et Lemon - Lima,5411788047494,,,['Lima'],,"['Peu ou pas de matière grasse', 'Bio', 'Végétarien', 'en:gluten-free', 'Végétalien', 'Sans matière grasse']",,,,,['France'],"['Tamari 55% ', 'eau', 'soja*', 'sel marin alcool*', 'I citron* 15%', 'sirop de riz*', 'poivre de Cayenne* 8010', 'eau', 'amidon de maïs*', "" de l'agriculture biologique"", ' Sans matières grasses']",,['Soja'],"['Végétalien', 'Végétarien']",,,,,,,,,,?,,71,,297 kj(71 kcal),,0,,0,,11,,3,,"5,8",,"6,5",,"2,6",,,,,,,,,,,,,,,,,
1219,Hummus - Limafood,5411788047692,,,['Limafood'],"['Aliments et boissons à base de végétaux', ""Aliments d'origine végétale"", 'Produits à tartiner', 'Produits à tartiner salés', 'Pâtes à tartiner végétales', 'Houmous']","['Bio', 'Végétarien', 'Végétalien', 'Riche en fibres']",,,,,['France'],[],,['Graines de sésame'],"['Végétalien', 'Végétarien']",,20 g,en quantité modérée,2.3 g,en quantité modérée,0.9 g,en faible quantité,0.9 g,en quantité modérée,?,,244,-7%,1021 kj(244 kcal),-7%,20,-1%,"2,3",-7%,"5,2",-51%,"0,9",-33%,"5,7",-12%,"0,9",-13%,"0,36",-13%,0,-100%,B,-100%,B,51.0%,18.6%,11.1%,13.1%,4.9%,1.3%,91,,,,
1220,Hummus - Lima,5411788047708,,,['Lima'],,"['Bio', 'Végétarien', 'Bio européen', 'Végétalien', 'BE-BIO-01', 'Riche en fibres']",,,,,['France'],"['pois chiches cuits* 45%', 'huile de tournesol*', 'tahin* 6,8% ', 'sésame*', 'coriandre* jus de citron*', 'sel marin', 'ail en poudre*', 'menthe poivree* 0,2%', 'poiyre noir*', 'qcidlfiant: acide ciçrique', 'épaississan!: gomme deveugftèfl', 'asrf$ja', 'moutarde', 'lupin etjrults à coque', ' Riche en fibres']",,"['Moutarde', 'Graines de sésame']","['Végétalien', 'Végétarien']",,,,,,,,,,?,,258,,1079 kj(258 kcal),,22,,"2,6",,"4,7",,"1,3",,"6,1",,"0,8",,"0,32",,,,,,,,,,,,,,,,,
1221,Green T'e Menthe Citron vert - Lima - 330ml,5411788047760,330 ml,"['Bouteille', 'Plastique']",['Lima'],"['Boissons', 'Boissons sans sucre ajouté']","['Bio', 'Végétarien', 'Bio européen', 'Végétalien', 'BE-BIO-01', 'DE-ÖKO-021', 'Agriculture UE/Non UE', 'Sans sucre ajouté', 'AB Agriculture Biologique']",,,,,['France'],"['Thé infusé de thé vert* 55 % ', 'eau', 'thé vert Green Bancha*', 'infusion à la menthe* 37 % ', 'eau', 'menthe*', 'jus de fruits concentré* ', 'pomme*', 'citron vert* 0,2 % ', 'citron*', "" *issu de l'agriculture biologique""]",,,"['Végétalien', 'Végétarien']",1,0 g,en faible quantité,0 g,en faible quantité,3.9 g,en quantité modérée,0 g,en faible quantité,?,,19,-57%,79 kj(19 kcal),-60%,0,-100%,0,-100%,"4,8",-44%,"3,9",-42%,0,-100%,0,-100%,0,-100%,6,+9%,D,+9%,,,,,,,,,,,https://www.limafood.com/fr-fr/product/pdf/5411788047760,
1222,Rice - Lima,5411788047883,,,['Lima'],,['Bio'],,,,,['France'],[],,,[],,,,,,,,,,?,,380,,1590 kj(380 kcal),,"3,2",,1,,81,,2,,"7,8",,"0,33",,"0,132",,,,,,,,,,,,,,,,,
1223,Galette de maïs aux graines de lin - Lima,5411788047890,,,['Lima'],"['Aliments et boissons à base de végétaux', ""Aliments d'origine végétale"", 'Céréales et pommes de terre', 'Céréales et dérivés', 'Galettes de céréales soufflées', 'Galettes de maïs soufflé']","['Bio', 'Végétarien', 'Végétalien']",,,,,['France'],[],,,"['Végétalien', 'Végétarien']",,2.9 g,en faible quantité,0.2 g,en faible quantité,2.2 g,en faible quantité,0.28 g,en faible quantité,?,,389,-2%,1628 kj(389 kcal),-2%,"2,9",-28%,"0,2",-75%,"79,6",+0%,"2,2",+27%,9,+17%,"0,28",-35%,"0,112",-35%,0,-100%,B,-100%,B,57.0%,19.3%,12.5%,10.4%,0.8%,0.0%,92,,,,
1224,Seitan gourmet - Lima,5411788047999,,,['Lima'],"['Aliments et boissons à base de végétaux', ""Aliments d'origine végétale"", 'Céréales et pommes de terre', 'Céréales et dérivés', 'Substituts de viande', 'Seitan']","['Bio', 'Végétarien', 'Végétalien']",,,,,['France'],[],,,"['Végétalien', 'Végétarien']",,40 g,en quantité élevée,0.6 g,en faible quantité,0.9 g,en faible quantité,1.5 g,en quantité modérée,?,,119,-28%,498 kj(119 kcal),-28%,40,+675%,"0,6",-12%,"3,8",-52%,"0,9",-17%,14,-29%,"1,5",+35%,"0,6",+35%,2,+54%,B,+54%,,,,,,,,,,,,
1225,Carpaccio seitan tomates séchées - Lima,5411788048002,,,['Lima'],"['Aliments et boissons à base de végétaux', ""Aliments d'origine végétale"", 'Céréales et pommes de terre', 'Céréales et dérivés', 'Substituts de viande', 'Seitan']","['Bio', 'Végétarien', 'Bio européen', 'Végétalien', 'BE-BIO-01', 'Agriculture UE/Non UE']",,,,,['France'],[],,,"['Végétalien', 'Végétarien']",,12 g,en quantité modérée,1 g,en faible quantité,0.4 g,en faible quantité,2.1 g,en quantité élevée,?,,179,+8%,749 kj(179 kcal),+8%,12,+133%,1,+46%,"5,2",-35%,"0,4",-63%,12,-39%,"2,1",+89%,"0,84",+89%,11,+746%,D,+746%,,,,,,,,,,,,
1226,Seitan gourmet - Lima,5411788048019,,,['Lima'],"['Aliments et boissons à base de végétaux', ""Aliments d'origine végétale"", 'Céréales et pommes de terre', 'Céréales et dérivés', 'Substituts de viande', 'Seitan']",['Bio'],,,,,['France'],[],,,[],,13 g,en quantité modérée,1.1 g,en faible quantité,0.3 g,en faible quantité,2 g,en quantité élevée,?,,182,+10%,761 kj(182 kcal),+10%,13,+152%,"1,1",+61%,"4,8",-40%,"0,3",-72%,11,-44%,2,+80%,"0,8",+80%,11,+746%,D,+746%,,,,,,,,,,,,
1227,Rice Drink Natural Pack - Lima,5411788062879,,,['Lima'],,"['Bio', 'Sans sucre ajouté']",,,,,['France'],[],,,[],,,,,,,,,,?,,50,,209 kj(50 kcal),,"1,1",,"0,1",,"9,9",,"7,1",,"0,1",,"0,07",,"0,028",,,,,,,,,,,,,,,,,
1228,Mild Shoyu - Lima,5411788466547,,,['Lima'],,,,,,,['France'],[],,,[],,,,,,,,,,?,,75,,314 kj(75 kcal),,"0,1",,0,,"4,9",,"1,5",,"9,6",,14,,"5,6",,,,,,,,,,,,,,,,,
1229,Gaufres Fourrées Spéculoos - Succès du Jour - 360g,5411803060330,360 g,"['Carton', 'Plastique', 'boîte']",['Succès du Jour'],,,,,,,['France'],[],,,[],,,,,,,,,,?,,421,,1761 kj(421 kcal),,"17,3",,9,,"61,3",,"40,6",,5,,"0,3",,"0,12",,,,,,,,,,,,,,,,,
1230,Goulash aux légumes - Equinox,5411803111193,,['Conserve'],['Equinox'],"['Conserves', 'Plats préparés', 'Produits à la viande', 'Plats préparés à la viande', 'Plats préparés en conserve', 'Plats préparés au cheval', 'Goulash']",['Fabriqué en Belgique'],,,['BE B 188 BE EC'],,['France'],[],,,[],,,,,,,,,,?,,?,,,,?,,,,?,,,,?,,,,,,,,,,,,,,,,,,,,,
1231,Gaufres fourrées à la vergeoise,5411823026446,,,,,,,,,,['France'],[],,,[],,,,,,,,,,?,,423,,1770 kj(423 kcal),,15,,"3,8",,65,,37,,5,,"0,47",,"0,188",,,,,,,,,,,,,,,,,
1232,2 Gaufres Fourrées Goût Vanille - Rita - 60g e,5411823026569,60 g e,"['Sachet', 'Plastique']",['Rita'],"['Snacks', 'Snacks sucrés', 'Biscuits et gâteaux', 'Pâtisseries', 'Gaufres', 'Gaufres fourrées', 'Gaufres fourrées à la vanille']",['Point Vert'],,,,,['France'],[],,,[],,16 g,en quantité modérée,2.5 g,en quantité modérée,46 g,en quantité élevée,0.35 g,en quantité modérée,?,,426,+2%,1782 kj(426 kcal),+2%,16,-1%,"2,5",-56%,65,+7%,46,+32%,"4,3",-5%,"0,35",-24%,"0,14",-24%,18,-5%,D,-5%,C,77.1%,12.7%,5.0%,2.6%,2.6%,0.0%,66,,,,
1233,Éclairs Pâtissiers Nappés au Chocolat Belge - Poppies - 140g e,5411823029089,140 g e,"['Frozen', 'Paper', 'Box']",['Poppies'],"['Snacks', 'Snacks sucrés', 'Surgelés', 'Biscuits et gâteaux', 'Gâteaux', 'Pâtisseries', 'Éclairs', 'Éclairs au chocolat', 'Gâteaux et pâtisseries surgelés']",,,,,['Aldi'],"['France', 'Pays-Bas']","['Crème 24%', 'eau', 'œufs', 'chocolat 13% [pâte de cacao', 'sucre', 'beurre de cacao', 'émulsifiant ', 'lécithine de soja', 'arôme naturel de vanille]', 'sucre', 'farine de blé', 'huile de palme', 'margarine [huiles et graisses végétales ', 'palme colza', 'eau', 'émulsifiant ', ""mono - et diglycérides d'acides gras]]"", 'sirop de sucre inverti', 'sirop de glucose', 'amidon modifié', 'lait entier en poudre', 'lactosérum en poudre', 'lactose', 'stabilisant ', 'carraghénanes', 'sel', ""arôme naturel de vanille avec d'autres arômes naturels"", 'extrait de carottes']","['E322i - Lécithine', ""E471 - Mono- et diglycérides d'acides gras alimentaires"", 'E14XX - Amidons modifiés', 'E407 - Carraghénanes', '', 'Risque élevé de sur-exposition']","['Œufs', 'Gluten', 'Lait', 'Soja']","['Huile de palme', 'Non végétalien']",4,23 g,en quantité élevée,12 g,en quantité élevée,20 g,en quantité élevée,0.2 g,en faible quantité,?,,345,+35%,1443 kj(345 kcal),+35%,23,+87%,12,+107%,30,-5%,20,-1%,"5,2",+19%,"0,2",-48%,"0,08",-48%,17,+32%,D,+32%,,,,,,,,,,['Huile de palme'],,
1234,Petit choux - Poppies,5411823102508,,,['Poppies'],,,,,,,['France'],[],,,[],,,,,,,,,,?,,345,,1443 kj(345 kcal),,28,,18,,19,,12,,"5,6",,"0,25",,"0,1",,,,,,,,,,,,,,,,,
1235,10 Gaufres fourrées Caramel - Rita - 300g,5411823148049,300 g,['Plastique'],['Rita'],"['Snacks', 'Snacks sucrés', 'Biscuits et gâteaux', 'Pâtisseries', 'Gaufres', 'Gaufres fourrées']",,,,,['Leclerc'],['France'],"['farine de blé', 'caramel 33% [sirop de glucose-fructose', 'lait concentré sucré', 'sucre', 'beurre]', 'huile de colza', 'sucre inverti', 'œufs', 'stabilisant ', 'glycérol', 'sucre', 'dextrose', 'levure', 'épaississants ', 'amidon modifié', 'pectine', 'farine de soja', 'émulsifiants ', 'lécithine de soja', ""mono- et diglycérides d'acides gras"", 'fibres alimentaires', 'arômes', 'sel', ""correcteur d'acidité "", 'citrate de sodium', 'colorant ', 'bêta-carotène']","['E422 - Glycérol', 'E14XX - Amidons modifiés', 'E440 - Pectines', 'E322i - Lécithine', ""E471 - Mono- et diglycérides d'acides gras alimentaires"", 'E331 - Citrates de sodium', 'E160ai - Bêta-carotène']","['Œufs', 'Gluten', 'Lait', 'Soja']","[""Pourrait contenir de l'huile de palme"", 'Non végétalien']",4,12 g,en quantité modérée,2 g,en quantité modérée,29 g,en quantité élevée,0.57 g,en quantité modérée,1620,-13%,?,,1620 kj(387 kcal),-12%,12,-33%,2,-77%,65,+2%,29,-20%,"5,3",+10%,"0,57",-6%,"0,228",-6%,11,-49%,D,-49%,C,77.1%,12.7%,5.0%,2.6%,2.6%,0.0%,66,Gaufres fourrées Caramel,,http://www.sunpat.co.uk,
1236,Poppies,5411823164032,,,['Poppies'],,,,,,,['France'],[],,,[],,,,,,,,,,?,,362,,1515 kj(362 kcal),,29,,17,,21,,12,,"5,4",,"0,22",,"0,088",,,,,,,,,,,,,,,,,
1237,10 Gaufres Fourrées à la Vergeoise - Délices De Comines - 300g,5411823200372,300 g,,['Délices De Comines'],"['Snacks', 'Snacks sucrés', 'Biscuits et gâteaux', 'Pâtisseries', 'Gaufres', 'Gaufres fourrées']",['Fabriqué en Belgique'],,['Belgique'],,,['France'],[],,,[],,15 g,en quantité modérée,3.8 g,en quantité modérée,37 g,en quantité élevée,0.47 g,en quantité modérée,?,,423,-5%,1770 kj(423 kcal),-4%,15,-16%,"3,8",-56%,65,+2%,37,+2%,5,+4%,"0,47",-23%,"0,188",-23%,16,-26%,D,-26%,C,77.1%,12.7%,5.0%,2.6%,2.6%,0.0%,66,,,,
1238,"20 Petits Choux Chantilly, 325 Grammes, Marque Poppies",5411823242501,,,,,,,,,,['France'],[],,,[],,,,,,,,,,?,,362,,1515 kj(362 kcal),,29,,17,,21,,12,,"5,4",,"0,22",,"0,088",,,,,,,,,,,,,,,,,
1239,6 Donuts aux splits lait - Poppies - 330g e,5411823773616,330 g e,"['Carton', 'Surgelé']",['Poppies'],"['Snacks', 'Snacks sucrés', 'Surgelés', 'Biscuits et gâteaux', 'Gâteaux', 'Pâtisseries', 'Donuts']",['Fabriqué en France'],,['France'],,['Auchan'],['France'],"['Farine de blé', 'huiles et graisses végétales ', 'palme', 'palmiste', 'colza', 'eau', 'sucre', 'décor chocolat au lait 5% ', 'sucre', 'beurre de cacao', 'lait en poudre', 'pâte de cacao', 'arôme', 'levure', 'émulsifiants ', 'E471 - E472e - E481 - E322', 'gluten', 'cacao dégraissé en poudre', 'sel', 'poudre levante ', 'E450 - E500ii', 'dextrose', 'stabilisant ', 'E412', 'lactose', 'lait écrémé en poudre', 'jus de citron']","[""E471 - Mono- et diglycérides d'acides gras alimentaires"", ""E472e - Ester Monoacéthyltartrique de mono- et diglycérides d'acides gras"", 'E481 - Stéaroyl-2-lactylate de sodium', '', 'Risque élevé de sur-exposition', 'E322 - Lécithines', 'E450 - Diphosphates', '', 'Risque élevé de sur-exposition', 'E500ii - Carbonate acide de sodium', 'E412 - Gomme de guar']","['Gluten', 'Lait']","['Huile de palme', 'Non végétalien', 'Peut-être végétarien']",4,,,,,,,,,?,,?,,,,?,,,,?,,,,?,,,,,,,,,,B,65.3%,17.3%,8.4%,4.6%,4.4%,0.0%,87,,,,
1240,Mini cigarette - LEADER PRICE - 125g,5411823864543,125 g,['125g'],['LEADER PRICE'],['Cigarettes'],['Fabriqué en Belgique'],,['BELGIQUE'],,['LEADER PRICE'],['France'],"[""Sucre - farine de blé - beurre concentré 16% - blanc d'ceuf-huile de colza - poudre de lait écrémé - sel - émulsifiants "", ""mono - et diglycérides d'acides gras"", '- arôme naturel', ' Peut contenir des fruits à coque']","[""E471 - Mono- et diglycérides d'acides gras alimentaires""]","['Gluten', 'Lait']","[""Pourrait contenir de l'huile de palme"", 'Non végétalien']",4,27 g,en quantité élevée,14 g,en quantité élevée,27 g,en quantité élevée,0.44 g,en quantité modérée,?,,518,-0%,2167 kj(518 kcal),-1%,27,+3%,14,-11%,63,-3%,27,-27%,5,-3%,"0,44",+32%,"0,176",+32%,22,-9%,E,-9%,,,,,,,,,,,,
1241,4 feuilletés aux pommes,5411823864628,,,,,,,,,,['France'],[],,,[],,,,,,,,,,?,,?,,,,?,,,,?,,,,?,,,,,,,,,,,,,,,,,,,,,
1242,Gaufres des Flandres - Rita,5411823864802,,,['Rita'],,,,,,,['France'],"['farine de BLÉ', 'sucre', 'vergeoise 12%', 'huiie de colza', 'mar- garine [huiles végétales ', 'palme', 'colza', 'eau', 'émulsifiant ', ""mono- et diglycérides d'acides gras"", 'acidifiant ', 'acide citrique', 'arômes]', 'sucre in- verti', 'ŒUFS', 'sirop de glucose', 'dextrose', 'levure', 'fibres alimentaires', 'farine de SOJA', 'émulsifiants ', 'lécithine de SOJA', ""mono- et diglycérides d'acides gras"", 'poudre de LAIT écrémé', 'arômes', 'sel', 'stabilisant ', 'invertase', 'color- ant ', 'bêta-carotène', 'Peut contenir des FRUITS À COQUE']","[""E471 - Mono- et diglycérides d'acides gras alimentaires"", 'E330 - Acide citrique', 'E322i - Lécithine', 'E1103 - Invertase', 'E160ai - Bêta-carotène']","['Œufs', 'Gluten', 'Lait', 'Soja']","['Huile de palme', 'Non végétalien']",4,,,,,,,,,?,,423,,1770 kj(423 kcal),,15,,"3,8",,65,,37,,5,,"0,47",,"0,188",,,,,,,,,,,,,,,['Huile de palme'],,
1243,Cigarrillos Cacao,5411823864918,,,,,,,,,,['France'],[],,,[],,,,,,,,,,?,,534,,2234 kj(534 kcal),,29,,18,,62,,38,,"5,1",,"0,3",,"0,12",,,,,,,,,,,,,,,,,
1244,Mini cookies pepites choco - Poppies International Nv,5411823865922,,,['Poppies International Nv'],"['Snacks', 'Snacks sucrés', 'Biscuits et gâteaux', 'Biscuits', 'Biscuits au chocolat']",,,,,,['France'],[],,,[],,28 g,en quantité élevée,16 g,en quantité élevée,42 g,en quantité élevée,0.7 g,en quantité modérée,2276,+10%,?,,2276 kj(544 kcal),+10%,28,+20%,16,+36%,55,-12%,42,+29%,"5,4",-18%,"0,7",+27%,"0,28",+27%,25,+17%,E,+17%,D,84.4%,9.1%,2.7%,2.2%,1.6%,0.0%,46,,,,
1245,Donut,5411823866028,,,,"['Biscuits et gâteaux', 'Gâteaux', 'Donuts']",,,,,,['France'],[],,,[],,28 g,en quantité élevée,16 g,en quantité élevée,13 g,en quantité élevée,1 g,en quantité modérée,?,,447,+9%,1870 kj(447 kcal),+9%,28,+23%,16,+51%,43,-4%,13,-23%,5,-16%,1,+5%,"0,4",+5%,21,+8%,E,+8%,B,65.3%,17.3%,8.4%,4.6%,4.4%,0.0%,87,,,,
