,name,bar_code,sales_countries,ingredients_list,ingredients_analysis,nutriment_energy-kj_tr,nutriment_energy-kcal_tr,nutriment_energy_tr,nutriment_fat_tr,nutriment_saturated-fat_tr,nutriment_carbohydrates_tr,nutriment_sugars_tr,nutriment_proteins_tr,nutriment_salt_tr,nutriment_sodium_tr,brand,packaging,eco_score,generic_name,quantity,categories,labels,ingredients_origins,manufacturing,link,markets,allergens,nova_score,fats_lipids_quantity,fats_lipids_comment,saturated_acids_quantity,saturated_acids_comment,sugar_quantity,sugar_comment,salt_quantity,salt_comment,nutriment_energy-kj_tr_diff,nutriment_energy-kcal_tr_diff,nutriment_energy_tr_diff,nutriment_fat_tr_diff,nutriment_saturated-fat_tr_diff,nutriment_carbohydrates_tr_diff,nutriment_sugars_tr_diff,nutriment_proteins_tr_diff,nutriment_salt_tr_diff,nutriment_sodium_tr_diff,nutriment_nutrition-score-fr_tr,nutriment_nutrition-score-fr_tr_diff,nutriment_nutriscore_tr,nutriment_nutriscore_tr_diff,Agriculture,Transformation,Conditionnement,Transport,Distribution,Consommation,Score_ACV,brand_owner,origin_detail,producer_info,traceability_code,additives,palm_ingredients
453,0028543029,0028543029,['France'],[],[],?,?,,?,,?,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
454,Kéfir (Passion),3770014530011,['France'],[],[],?,16,67 kj(16 kcal),0,0,4,4,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
455,Sugo funghi e tartufo,,['France'],[],[],?,145,607 kj(145 kcal),13,"1,9","3,7","1,8","1,6","1,3","0,52",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
456,Dop cubetti,8010883000846,['France'],[],[],?,0,0 kj(0 kcal),29,18,0,0,33,"1,5","0,6",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
457,Miel crémeux français & responsable,4056489361855,['France'],[],[],?,?,,?,,?,,?,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
458,Benessere d'insalata riso rosso farro e semi di chia,8001860229671,['France'],[],[],?,203,849 kj(203 kcal),"3,2","0,8",36,"0,2",5,"0,2","0,08",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
459,Trio gourmand à racler - Schmidhauser - 500g,3365678888846,['France'],"['Fromages fumé : LAIT Origine France', 'ferments', ""conservateur : LÝSOZYME D'EUF"", 'présure', 'sel', '  RACLETTE DE Savoie : certifié par Certipaq', ' Fromage de chèvre : Fromage au lait pasteurisé', 'fabriqué en France', ' Ingrédients : LAIT de chèvre Origine U', 'E', 'sel', 'ferments', 'présure', ""conservateurs : LYSOZYME D'ŒUF"", 'natamycine']","['Non végétalien', 'Non végétarien']",?,?,,29,,"1,3","< 0,5",25,"1,7","0,68",['Schmidhauser'],['Plastique'],B,,500 g,"['Produits laitiers', 'Produits fermentés', 'Produits laitiers fermentés', 'Fromages', 'Fromage à raclette']","['Certifié par Certipaq', 'Fabriqué en France', 'IGP']","['France', 'Union européenne']",['Alex 74290'],,['Auchan'],['Lait'],3,29 g,en quantité élevée,,,0.5 g,en faible quantité,1.7 g,en quantité élevée,,,,+9%,,+7%,-33%,+23%,+31%,+31%,,,,,84.0%,5.8%,4.0%,4.0%,1.8%,0.5%,54,,,,"['FR 74.003.060 CE', 'Alex (Haute-Savoie, France)']","['E1105 - Lysozyme', 'E235 - Natamycine']",
460,Merguez,3661112850890,['France'],[],[],?,267,1117 kj(267 kcal),22,"9,5","1,4","0,9",16,"1,9","0,76",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
461,Speemuta di mele e mirtilli,8032986531478,['France'],[],[],?,49,205 kj(49 kcal),"0,5",0,13,12,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
462,Latte scremato microfiltrato a lunga conservazione - Il Gigante,8023797002110,"['France', 'Italie']",[],[],?,34,142 kj(34 kcal),"0,8",0,"5,18","5,1","3,4","0,1","0,04",['Il Gigante'],,D,,,"['Produits laitiers', 'Laits', 'Laits homogénéisés', 'Laits UHT', 'Laits écrémés']",,,,,,,,0.8 g,en faible quantité,0 g,en faible quantité,5.1 g,en quantité modérée,0.1 g,en faible quantité,,-50%,-54%,+101%,-100%,-48%,-48%,-45%,-44%,-44%,-1,,A,,78.7%,1.1%,11.0%,6.0%,3.2%,0.0%,54,,,,,,
