,name,bar_code,sales_countries,ingredients_list,ingredients_analysis,nutriment_energy-kj_tr,nutriment_energy-kcal_tr,nutriment_energy_tr,nutriment_fat_tr,nutriment_saturated-fat_tr,nutriment_carbohydrates_tr,nutriment_sugars_tr,nutriment_proteins_tr,nutriment_salt_tr,nutriment_sodium_tr,brand,packaging,eco_score,generic_name,quantity,categories,labels,ingredients_origins,manufacturing,link,markets,allergens,nova_score,fats_lipids_quantity,fats_lipids_comment,saturated_acids_quantity,saturated_acids_comment,sugar_quantity,sugar_comment,salt_quantity,salt_comment,nutriment_energy-kj_tr_diff,nutriment_energy-kcal_tr_diff,nutriment_energy_tr_diff,nutriment_fat_tr_diff,nutriment_saturated-fat_tr_diff,nutriment_carbohydrates_tr_diff,nutriment_sugars_tr_diff,nutriment_proteins_tr_diff,nutriment_salt_tr_diff,nutriment_sodium_tr_diff,nutriment_nutrition-score-fr_tr,nutriment_nutrition-score-fr_tr_diff,nutriment_nutriscore_tr,nutriment_nutriscore_tr_diff,Agriculture,Transformation,Conditionnement,Transport,Distribution,Consommation,Score_ACV,brand_owner,origin_detail,producer_info,traceability_code,additives,palm_ingredients
960,Saucisses de volaille bio,2444012036936,['France'],[],[],?,139,582 kj(139 kcal),"7,1",2,"0,3","0,3",18,"1,7","0,68",,,E,,,"['Viandes', 'Charcuteries', 'Saucisses', 'Saucisses de volaille']",['Bio'],,,,,,,7.1 g,en quantité modérée,2 g,en quantité modérée,0.3 g,en faible quantité,1.7 g,en quantité élevée,,-23%,-24%,-40%,-45%,-76%,-42%,+9%,-4%,-4%,4,-59%,C,-59%,88.4%,6.6%,1.6%,0.9%,0.5%,2.0%,17,,,,"['FR 79.195.001 CE', 'Nueil-les-Aubiers (Deux-Sèvres, France)']",,
961,3145414662912,3145414662912,['France'],[],[],?,?,,?,,?,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
962,Flageolets,3574310020234,['France'],[],[],?,84,351 kj(84 kcal),"0,8",0,12,"0,7","4,1","0,87","0,348",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
963,Aceto Bio Balsamico ML. 500,8008310072528,['France'],[],[],?,?,,?,,?,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
964,Legumes et haricots blancs à la moutarde - Seazon,3701456308159,['France'],[],[],?,80,335 kj(80 kcal),3,0,8,1,4,1,"0,4",['Seazon'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
965,Épices des indes - Martin pouret,0161515577002,['France'],[],[],?,?,,?,,?,,?,,,['Martin pouret'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
966,CHAÏ  CURCUMA - YOGI TEA  BIOLOGIHE,012824405158,['France'],[],[],?,?,,?,,?,,?,,,['YOGI TEA  BIOLOGIHE'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
967,Fressure Pommes,3700201851803,['France'],[],[],?,133,556 kj(133 kcal),"7,45","2,73","7,53","6,2","9,14","0,45","0,18",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
968,Datteri al cioccolato fatina,8003435003426,['France'],[],[],?,371,1552 kj(371 kcal),12,"6,9",60,57,"3,1",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
969,0284181101507,0284181101507,['France'],[],[],?,?,,?,,?,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
970,Comté 15 mois,2006050030170,['France'],[],[],?,428,1791 kj(428 kcal),35,23,"1,2",0,27,"0,8","0,32",,,D,,,"['Produits laitiers', 'Produits fermentés', 'Produits laitiers fermentés', 'Fromages', 'Fromages à pâte pressée cuite', 'Fromages de France', 'Comté']",,,,,,,,35 g,en quantité élevée,23 g,en quantité élevée,0 g,en faible quantité,0.8 g,en quantité modérée,,+2%,+2%,+1%,+1%,+160%,-100%,+0%,-5%,-5%,13,0%,D,0%,82.8%,8.1%,3.5%,3.6%,1.6%,0.4%,49,,,,,,
971,Escalope de dinde volaille de France le Gaulois,0217978050573,['France'],[],[],?,?,,?,,?,,?,,,,"['Barquette', 'Film en plastique']",D,,,"['Viandes', 'Volailles', 'Dindes', 'Escalopes de dinde']",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,84.3%,9.9%,2.2%,2.3%,1.1%,0.3%,37,,,,,,
972,Tarallini tradizionali,8001762001252,['France'],[],[],?,469,1962 kj(469 kcal),17,4,68,5,"8,5",2,"0,8",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
973,Terrine à l'ancienne,2062596704142,['France'],[],[],?,292,1222 kj(292 kcal),16,"4,7","2,3","0,9",19,"1,4","0,56",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"['FR 25.377.000 CE', 'Mésandans (Doubs, France)']",,
974,Ortolina Passata classica,8008825014013,['France'],[],[],?,34,142 kj(34 kcal),"0,5","0,2","5,3","3,8","1,6","0,25","0,1",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
975,Le Caramel Français Écorce d'Orange,3770014819529,['France'],[],[],?,546,2284 kj(546 kcal),35,21,55,44,"2,1","1,3","0,52",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
976,Crème glacée noix de coco de philippines,3554983016734,['France'],[],[],?,255,1067 kj(255 kcal),14,"9,8",27,22,"3,8","0,36","0,144",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
977,Maxi flan,990530101054873718,['France'],[],[],?,185,774 kj(185 kcal),"7,2","4,7",27,17,"3,4","0,3","0,12",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
978,Aiguilettes de poulet,2600240022763,['France'],[],[],?,?,,?,,?,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
979,Saucisses de volaille bio,2444013042448,['France'],[],[],?,158,661 kj(158 kcal),"9,3","2,7","0,4","0,3",18,"1,7","0,68",,,E,,,"['Viandes', 'Charcuteries', 'Saucisses', 'Saucisses de volaille']",['Bio'],,,,,,,9.3 g,en quantité modérée,2.7 g,en quantité modérée,0.3 g,en faible quantité,1.7 g,en quantité élevée,,-12%,-13%,-21%,-26%,-68%,-42%,+9%,-4%,-4%,5,-49%,C,-49%,88.4%,6.6%,1.6%,0.9%,0.5%,2.0%,17,,,,,,
980,Creme chocolat,3760261830156,['France'],[],[],?,170,711 kj(170 kcal),10,"6,2",14,"13,1","5,4",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
981,Petits pois doux et carottes en rondelles,3564707178594,['France'],[],[],?,52,218 kj(52 kcal),"0,7","0,1","5,6","2,1","3,5","0,55","0,22",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
982,Tablette chocolat noir,3666092040019,['France'],[],[],?,576,2410 kj(576 kcal),44,26,31,27,"7,7",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
983,Terrine pure autruche,3770002153130,['France'],[],[],?,164,686 kj(164 kcal),10,"3,4","0,7","0,6",18,"0,93","0,372",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
984,Piselli zucchine omogeneizzato,8001040090978,['France'],[],[],?,36,151 kj(36 kcal),"0,3","0,1",5,"1,7","2,3",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
985,Guimauvesnoir et lait - Révillon Chocolatier - 200g,3110846178935,['France'],"['Sirop de glucose', 'chocolat au lait ', 'sucre', 'beurre de cacao', 'LAIT entie en poudre', 'pâte de cacao', 'émulsifiant : lécithine de SOJA', 'arôme naturel de vanille', 'chocolat noir ', 'pâte de cacao', 'sucre', 'beurre de cacao', 'émulsifiant : lécithine de SOJA', 'sucre', 'eau', 'dextrose', 'sucre glace', 'gélifiant : gélatine porcine', 'arôme naturel de vanille', 'protéines de LAIT hydrolysées', "" Présence possible d'arachide"", 'amande', 'noisette', 'noix', 'noix de cajou', 'noix de pécan', 'pistache', 'gluten et euf']","['Non végétalien', 'Non végétarien']",?,419,1753 kj(419 kcal),"13,4","8,1",69,62,4,"0,04","0,016",['Révillon Chocolatier'],['Carton et plastique'],,,200 g,"['Snacks', 'Snacks sucrés', 'Cacao et dérivés', 'Confiseries', 'Confiseries chocolatées', 'Guimauves enrobées de chocolat']",['Sans huile de palme'],,,,,"['Gluten', 'Lait', 'Fruits à coque', 'Soja']",4,13.4 g,en quantité modérée,8.1 g,en quantité élevée,62 g,en quantité élevée,0.04 g,en faible quantité,,+6%,+6%,+19%,+14%,+1%,+10%,+1%,-42%,-42%,23,+11%,E,+11%,,,,,,,,,,,,"['E322i - Lécithine', 'E428 - Gélatine']",
986,Kiki,0008421421473,['France'],[],[],?,?,,?,0,?,0,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
987,Bubble gum,8420886711869,['France'],[],[],?,?,,?,,?,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
988,Samoussa au pouler,3700003900181,['France'],[],[],?,?,,?,,?,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
989,Carte de self,202100595,['France'],[],[],?,1000,4184 kj(1000 kcal),0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
990,Moelleux chocolat,0260340014437,['France'],[],[],?,499,2088 kj(499 kcal),32,13,45,37,"6,3","0,35","0,14",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
991,Huile d’olive extra vierge biologique,5203817205018,['France'],[],[],?,824,3448 kj(824 kcal),"91,6","12,6",0,0,"6,8",0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
992,Moutarde au piment d'Espelette,3760194226347,['France'],[],[],?,182,761 kj(182 kcal),13,"1,1",11,"5,8","6,9",0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
993,Turron coco - El Romero,8413258020089,['France'],[],[],?,470,1966 kj(470 kcal),25,22,57,55,"2,5",0,0,['El Romero'],,E,,,"['Snacks', 'Snacks sucrés', 'Confiseries', 'Aliments et boissons de Noël', 'Confiseries de Noël', 'Touron', 'Touron à la noix de coco']",,,,,,,,25 g,en quantité élevée,22 g,en quantité élevée,55 g,en quantité élevée,0 g,en faible quantité,,-3%,-3%,-7%,+12%,+10%,+38%,-22%,-100%,-100%,25,+16%,E,+16%,91.0%,4.2%,2.3%,2.0%,0.5%,0.0%,34,,,,,,
994,Pâtes de fruits,3110846189344,['France'],[],[],?,384,1607 kj(384 kcal),"0,4",0,94,89,"0,12",,,,['Sachet en plastique'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
995,Longe thon albacore saumuree,0204996025126,['France'],[],[],?,?,,?,,?,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
996,Chewing gum CBD,8719189155921,['France'],[],[],?,167,699 kj(167 kcal),0,0,69,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
997,Yaourt au lait de brebis,3770012781149,['France'],[],[],?,86,360 kj(86 kcal),6,"4,2","2,9",2,5,"0,1","0,04",,,,,,,"['Bio', 'Bio européen', 'AB Agriculture Biologique']",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
998,Lingue croccanti integrali,8009949008551,['France'],[],[],?,452,1891 kj(452 kcal),18,"2,2","55,9","1,9","12,6","1,6","0,64",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
999,Mini Chicken,20759902,['France'],[],[],?,541,2264 kj(541 kcal),34,"21,2",49,"48,3","8,7","0,25","0,1",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1000,Ananas barquette,00044448,['France'],[],[],?,?,,?,,?,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1001,coriander powder,5031416220336,['France'],[],[],?,298,1247 kj(298 kcal),18,1,0,0,12,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1002,Poulet basquaise et son riz,152202051042632,['France'],[],[],?,116,485 kj(116 kcal),4,"2,9",1,1,19,"0,65","0,26",,,,,,,"['Nutriscore', 'Nutriscore A']",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1003,Salep,8697436537051,['France'],[],[],?,?,,?,,?,,?,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1004,Minis Toasts à l’huile d’olive,3524130002750,['France'],[],[],?,?,,?,,?,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1005,Lindo assortito,8003340079721,['France'],[],[],?,632,2644 kj(632 kcal),49,37,41,39,"4,5","0,16","0,064",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1006,Bras de venus,2053000095567,['France'],[],[],?,261,1092 kj(261 kcal),20,13,18,14,2,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1007,Preparato pe torta al testo,8026548120002,['France'],[],[],?,329,1377 kj(329 kcal),"1,6","0,5","67,8",1,"9,5","1,99","0,796",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1008,Sapore salute hamburger di equino classico,8014443066013,['France'],[],[],?,185,774 kj(185 kcal),"12,55","4,72","1,52",0,"16,59","0,98","0,392",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1009,Moutarde aromatisée a la truffe,3760242180423,['France'],[],[],?,154,644 kj(154 kcal),10,"0,7",8,"2,3","7,2","4,8","1,92",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1010,Tarte myrtilles,3585290511414,['France'],[],[],?,?,,?,,?,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1011,Mais Korner,4003271042287,['France'],[],[],?,73,305 kj(73 kcal),"1,4","0,2","11,6","1,4","2,5","0,32","0,128",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1012,Écorces de Citron confit en lamelles,2601482020999,['France'],[],[],?,330,1381 kj(330 kcal),"0,2","0,1",81,68,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1013,Caviar de petit pois au truffe noire,3770006745058,['France'],[],[],?,?,,?,,?,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1014,Faled Alcool Puro Etilico 95 Gradi Buon Gusto,8004150500023,['France'],[],[],?,0,0 kj(0 kcal),?,0,?,0,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1015,Mexique pur arabica moulu - destination,3700110049711,['France'],[],[],?,?,,?,,?,,?,,,['Destination'],,,,,,"['Bio', 'Bio européen', 'FR-BIO-01']",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1016,Milk Chocolate salty Caramel Oeufs,0200030225835,['France'],[],[],?,537,2247 kj(537 kcal),30,21,62,61,"4,2","0,55","0,22",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1017,Cacavelli,0236530042641,['France'],[],[],?,443,1854 kj(443 kcal),15,"6,7",68,26,9,"0,67","0,268",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1018,Vinaigrette TOMATO,3683080555522,['France'],[],[],?,422,1766 kj(422 kcal),41,"3,6",10,"8,8",1,"1,8","0,72",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1019,Fromage des chaumes,0200031033064,['France'],[],[],?,?,,?,,?,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1020,Algues nori,3760204870591,['France'],[],[],?,?,,?,,?,,?,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1021,4902856201128,4902856201128,['France'],[],[],?,?,,?,,?,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1022,Pecorino romano grattuggiato,8006768001039,['France'],[],[],?,401,1678 kj(401 kcal),33,24,0,0,26,"4,7","1,88",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1023,40% cacao,7622201455590,['France'],[],[],?,562,2351 kj(562 kcal),36,18,50,49,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1024,Terrine de Lapin au thym,3437340069478,['France'],[],[],?,283,1184 kj(283 kcal),25,"9,7","0,6","0,5",14,"1,5","0,6",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"['FR 87.001.001 CE', 'Aixe-sur-Vienne (Haute-Vienne, France)']",,
1025,Le moelleux à la crème de marrons,3760026381954,['France'],[],[],?,402,1682 kj(402 kcal),21,"5,5",49,32,"6,1","0,45","0,18",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1026,Kefir,5206297105212,['France'],[],[],?,46,192 kj(46 kcal),"1,5","0,9","4,5","4,5","3,9",0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1027,Vodka,4904230048671,['France'],[],[],?,?,,?,0,?,0,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1028,Courge,7640164481920,['France'],[],[],?,?,,?,,?,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1029,OSSAU-IRATY AOP,2487037024533,['France'],[],[],?,450,1883 kj(450 kcal),39,25,0,0,25,"2,2","0,88",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1030,Les gourmandises de Sophie,3700345907121,['France'],[],[],?,?,,?,,?,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1031,Equina fette saporite,8010995000536,['France'],[],[],?,162,678 kj(162 kcal),4,"1,7","0,5","0,5",31,4,"1,6",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1032,Colorant alimentaire or,0637913262463,['France'],[],[],?,?,,?,,?,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1033,Flan aux carottes&asperges,4056489369592,['France'],[],[],?,?,,?,,?,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1034,Bananes cavendish,3347761000908,['France'],[],[],?,?,,?,,?,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1035,Filets de poulet,0219968042117,['France'],[],[],?,?,,?,,?,,?,,,,,D,,,"['Viandes', 'Volailles', 'Poulets', 'Filets de poulet']",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,83.4%,9.5%,2.7%,2.7%,1.4%,0.4%,44,,,,"['FR 30.233.001 CE', 'Saint-Bauzély (Gard, France)']",,
1036,Brassé coco fraise framboise  100% vegetal,3564706636699,['France'],[],[],?,89,372 kj(89 kcal),"4,3","3,9",12,"9,2","0,6","0,1","0,04",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1037,Olives vertes - Bio Gustiamo - 180g,8029689007430,['France'],['OLIVES VERTES'],"['Sans huile de palme', 'Végétalien', 'Végétarien']",?,139,582 kj(139 kcal),13,"2,4","2,1",0,"1,1",3,"1,2",['Bio Gustiamo'],['Verre'],A,,180 g,"['Aliments et boissons à base de végétaux', ""Aliments d'origine végétale"", 'Pickles', ""Produits de l'olivier"", ""Pickles d'origine végétale"", 'Olives', 'Olives vertes']","['Bio', 'Bio-dynamie', 'Demeter']",['Italie'],,,,,1,13 g,en quantité modérée,2.4 g,en quantité modérée,0 g,en faible quantité,3 g,en quantité élevée,,-15%,-15%,-19%,-8%,+37%,-100%,-15%,-12%,-12%,11,-8%,D,-8%,33.7%,0.2%,40.3%,17.4%,6.7%,1.8%,95,,,,,,
1038,COLOMBA ALBICOCCA,8001172022052,['France'],[],[],?,384,1607 kj(384 kcal),16,9,53,31,6,"0,25","0,1",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1039,Baguette 6 céréales,0207783005905,['France'],[],[],?,?,,?,,?,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1040,Color noisette en poudre,3068235506787,['France'],[],[],?,679,2841 kj(679 kcal),63,56,6,"4,5",3,17,"6,8",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1041,Parmigiano reggiano d o p,8023797058148,['France'],[],[],?,392,1640 kj(392 kcal),28,"1,9",0,0,33,"1,6","0,64",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1042,Café d’exception - Casino délices - 250g,3222477394087,['France'],"[""Café torréfié issu de l'agriculture biologique""]","['Sans huile de palme', 'Végétalien', 'Végétarien']",?,?,,?,,?,,?,,,['Casino délices'],['Papier'],E,,250 g,"['Aliments et boissons à base de végétaux', ""Aliments d'origine végétale"", 'Cafés', 'Cafés moulus']",['en:commerce équitable'],['en:inconnue'],,,,,1,,,,,,,,,,,,,,,,,,,,,,,96.9%,0.9%,0.7%,1.3%,0.2%,0.0%,10,,,,,,
1043,"Salade de quinoa bio, betteraves et houmous - Seazon",3701456310190,['France'],[],[],?,149,623 kj(149 kcal),9,1,12,2,4,1,"0,4",['Seazon'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1044,"Trinketto Cooler Drink,Kaltgetränk,24 Stück Merken",8005533001236,['France'],[],[],?,45,188 kj(45 kcal),"0,1","0,1",10,10,"0,1",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1045,Beybaba,8682054503830,['France'],[],[],?,570,2385 kj(570 kcal),42,8,13,2,33,"0,075","0,03",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1046,Mimolette extra vieille,0200113025529,['France'],[],[],?,?,,?,,?,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1047,Confiture extra de figue,3665000175034,['France'],[],[],?,34,142 kj(34 kcal),"0,3","0,06","63,3",60,"0,54","4,684","1,874",,,D,,,"['Aliments et boissons à base de végétaux', ""Aliments d'origine végétale"", 'Produits à tartiner', 'Petit-déjeuners', 'Pâtes à tartiner végétales', 'Produits à tartiner sucrés', 'Confitures et marmelades', 'Confitures', 'Confitures de figues', 'Confiture extra de figues']",,,,,,,,0.3 g,en faible quantité,0.06 g,en faible quantité,60 g,en quantité élevée,4.68 g,en quantité élevée,,-85%,-85%,-34%,-10%,+14%,+13%,-27%,+25083%,+25083%,19,+101%,E,+101%,75.0%,7.5%,10.3%,5.1%,1.7%,0.4%,50,,,,,,
1048,Ras El hanout jaune,3102870015935,['France'],[],[],?,?,,?,,?,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1049,The verr bancha,3760131164046,['France'],[],[],?,34,142 kj(34 kcal),0,0,"8,5",7,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1050,Perrier,8112732790714,['France'],[],[],?,0,0 kj(0 kcal),0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1051,Filet de poulet,2487383035559,['France'],[],[],?,108,452 kj(108 kcal),"1,8","0,5",0,0,23,"0,13","0,052",,,D,,,"['Viandes', 'Volailles', 'Poulets', 'Filets de poulet']",,,,,,,,1.8 g,en faible quantité,0.5 g,en faible quantité,0 g,en faible quantité,0.13 g,en faible quantité,,-18%,-17%,-38%,-33%,-100%,-100%,+1%,-83%,-83%,-4,,A,,83.4%,9.5%,2.7%,2.7%,1.4%,0.4%,44,,,,,,
1052,Dorschleber,4260428462293,['France'],[],[],?,?,,?,,?,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1053,Confiture,8141681854468,['France'],[],[],?,?,,?,,?,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1054,poulet nourri aux graines de lin,0215293046448,['France'],[],[],?,114,477 kj(114 kcal),2,"0,2",0,0,24,"0,15","0,06",,,,,,,"['Nutriscore', 'Nutriscore A']",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1055,Burro porzioni - Selex,8003100850492,['France'],[],[],?,751,3142 kj(751 kcal),83,59,"0,5","0,5","0,6",,,['Selex'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1056,Poêlée d d'encornet et chorizo,2416888034903,['France'],[],[],?,146,611 kj(146 kcal),11,"2,5","1,5","1,1",11,"1,6","0,64",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1057,Cracke doriano ridotto sale,8000605820364,['France'],[],[],?,139,582 kj(139 kcal),15,"8,8",66,"2,3",10,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1058,Oeuf des collines,3760309650050,['France'],[],[],?,145,607 kj(145 kcal),"10,3","2,7","0,7","0,7","12,3","0,133","0,053",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1059,Chocolat lait 48%  Ekeko,3760264290377,['France'],[],[],?,582,2435 kj(582 kcal),"42,2","25,76",41,"35,7","8,4","0,13","0,052",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1060,Moutarde fine et forte fleure de sel de l'île de Ré,3728023000056,['France'],[],[],?,157,657 kj(157 kcal),12,"0,8",3,"1,8","7,4","6,7","2,68",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1061,Coulis de fraise bio,3278584922019,['France'],[],[],?,149,623 kj(149 kcal),0,0,34,8,"1,2",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
