,name,bar_code,sales_countries,ingredients_list,ingredients_analysis,nutriment_energy-kj_tr,nutriment_energy-kcal_tr,nutriment_energy_tr,nutriment_fat_tr,nutriment_saturated-fat_tr,nutriment_carbohydrates_tr,nutriment_sugars_tr,nutriment_proteins_tr,nutriment_salt_tr,nutriment_sodium_tr,eco_score,brand,categories,nutriment_energy-kj_tr_diff,nutriment_energy-kcal_tr_diff,nutriment_energy_tr_diff,nutriment_fat_tr_diff,nutriment_saturated-fat_tr_diff,nutriment_carbohydrates_tr_diff,nutriment_sugars_tr_diff,nutriment_proteins_tr_diff,nutriment_salt_tr_diff,nutriment_sodium_tr_diff,nutriment_nutrition-score-fr_tr,nutriment_nutrition-score-fr_tr_diff,nutriment_nutriscore_tr,nutriment_nutriscore_tr_diff,Agriculture,Transformation,Conditionnement,Transport,Distribution,Consommation,Score_ACV,traceability_code,quantity,packaging,labels,manufacturing,markets,allergens,nova_score,additives,fats_lipids_quantity,fats_lipids_comment,saturated_acids_quantity,saturated_acids_comment,sugar_quantity,sugar_comment,salt_quantity,salt_comment,ingredients_origins,generic_name,link,palm_ingredients,producer_info
1197,Edam light - AlphaMega,5292459002758,['France'],"['PASTEURISED cowts MILK', 'SALT', 'RENNET', 'ACIDITY REGULATOR', ' CALCIUM CHLORIDE', ' ANAAQEH / USE BY:']",[],?,270,1130 kj(270 kcal),17,"9,4",0,0,29,"1,25","0,5",,['AlphaMega'],,,,,,,,,,,,,,,,,,,,,,,,,,['Sans lactose'],,,['Lait'],,,,,,,,,,,,,,,
1198,Halloumi au basilic,5292494000153,['France'],[],[],?,332,1389 kj(332 kcal),26,"18,2","1,2","1,2","23,2","2,6","1,04",D,,"['Produits laitiers', 'Produits fermentés', 'Produits laitiers fermentés', 'Fromages', 'Halloumi']",,+6%,+6%,+8%,+21%,-44%,-26%,+7%,-0%,-0%,19,+9%,E,+9%,84.0%,5.8%,4.0%,4.0%,1.8%,0.5%,54,,,,,,,,,,26 g,en quantité élevée,18.2 g,en quantité élevée,1.2 g,en faible quantité,2.6 g,en quantité élevée,,,,,
1199,5297227878658,5297227878658,['France'],[],[],?,?,,?,,?,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1200,Replay Ketchup,5301000233258,['France'],[],[],?,527,2205 kj(527 kcal),"33,4",16,"48,1","2,6","6,3","1,6","0,64",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1201,Thaler d'épeautre au fromage,5301744009126,['France'],[],[],?,348,1456 kj(348 kcal),"7,1","1,8","55,9","2,7",12,"1,95","0,78",,,,,,,,,,,,,,,,,,,,,,,,,,,,['Bio'],,,,,,,,,,,,,,,,,,
1202,Dhallë,5304000008260,['France'],[],[],?,28,117 kj(28 kcal),"1,5",0,0,0,"1,5","0,38","0,152",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1203,Cassoulet au confit de canard - U Saveurs,5308213017811,['France'],[],[],?,?,,?,,?,,?,,,C,['U Saveurs'],"['Plats préparés', 'Produits à la viande', 'Plats préparés à la viande', 'Plats à la volaille', 'Plats à base de haricots', 'Plats au canard', 'Cassoulets', 'Cassoulets au confit de canard']",,,,,,,,,,,,,,,66.0%,17.7%,6.2%,5.5%,2.7%,2.0%,72,,,"['Conserve', 'Boîte', 'Métal']",,,,,,,,,,,,,,,,,,,
1204,Mini sticks nature,53001085,['France'],[],[],?,527,2205 kj(527 kcal),45,16,"2,4","2,2",28,"4,6","1,84",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1205,assorted chocolates 21 pieces insides -,5310002250927,['France'],[],[],?,560,2343 kj(560 kcal),21,13,73,50,4,0,0,,,"['Snacks', 'Snacks sucrés', 'Cacao et dérivés', 'Confiseries', 'Confiseries chocolatées', 'Bonbons de chocolat', 'Assortiments de bonbons de chocolat']",,+4%,+4%,-38%,-26%,+42%,+7%,-34%,-100%,-100%,26,+4%,E,+4%,,,,,,,,,,,,,,,,,21 g,en quantité élevée,13 g,en quantité élevée,50 g,en quantité élevée,0 g,en faible quantité,,,,,
1206,XL Together Hazelnut - Evropa - 4 * 38g,5310002750786,['France'],"['Enrobage de cacao 38% ', 'sucre', 'huile végétale hydrogénée ', 'palme', 'soja', 'tournesol', 'cacao maigre en poudre', 'lait écrémé en poudre', 'émulsifiant ', 'lécithine de soja', 'arôme vanilline', 'sucre', 'farine de blé', 'huile végétale hydrogénée ', 'palme', 'soja', 'tournesol', 'cacao maigre en poudre', 'petit-lait en poudre', 'lait entier en poudre', 'noisette ', '2% dans le remplissage', 'émulsifiant ', 'lécithine de soja', 'arôme', 'poudre à lever ', 'E500', 'E450', 'sel']","['Huile de palme', 'Non végétalien']",2400,?,2400 kj(574 kcal),18,4,60,32,4,"0,318","0,127",,['Evropa'],"['Snacks', 'Snacks sucrés', 'Cacao et dérivés', 'Confiseries', 'Barres', 'Confiseries chocolatées', 'Barres chocolatées', 'Barres chocolatées biscuitées']",+6%,,+12%,-37%,-74%,+6%,-27%,-42%,+16%,+16%,18,-27%,D,-27%,,,,,,,,,4 * 38 g,"['Carton', 'Plastique']",['HACCP'],,,"['Gluten', 'Lait', 'Fruits à coque', 'Soja']",4,"['E322i - Lécithine', 'E500 - Carbonates de sodium', 'E450 - Diphosphates', '', 'Risque élevé de sur-exposition']",18 g,en quantité modérée,4 g,en quantité modérée,32 g,en quantité élevée,0.318 g,en quantité modérée,,Gaufrette enrobée de cacao et fourrée de crème noisette,,['Huile de palme'],
