,name,bar_code,sales_countries,ingredients_list,ingredients_analysis,nutriment_energy-kj_tr,nutriment_energy-kcal_tr,nutriment_energy_tr,nutriment_fat_tr,nutriment_saturated-fat_tr,nutriment_carbohydrates_tr,nutriment_sugars_tr,nutriment_proteins_tr,nutriment_salt_tr,nutriment_sodium_tr,eco_score,brand,categories,nutriment_energy-kj_tr_diff,nutriment_energy-kcal_tr_diff,nutriment_energy_tr_diff,nutriment_fat_tr_diff,nutriment_saturated-fat_tr_diff,nutriment_carbohydrates_tr_diff,nutriment_sugars_tr_diff,nutriment_proteins_tr_diff,nutriment_salt_tr_diff,nutriment_sodium_tr_diff,nutriment_nutrition-score-fr_tr,nutriment_nutrition-score-fr_tr_diff,nutriment_nutriscore_tr,nutriment_nutriscore_tr_diff,Agriculture,Transformation,Conditionnement,Transport,Distribution,Consommation,Score_ACV,traceability_code,quantity,packaging,labels,manufacturing,markets,allergens,nova_score,additives,fats_lipids_quantity,fats_lipids_comment,saturated_acids_quantity,saturated_acids_comment,sugar_quantity,sugar_comment,salt_quantity,salt_comment,ingredients_origins,generic_name,link,palm_ingredients,producer_info
491,Huile d’olive vierge extra de Crète IGP - Nikos,5200101805244,['France'],"[""Huile de catégorie supérieure obtenue directement des olives et uniquement Qualité: Huile d'olive vierge extra"", 'd’Indication Géographique Protégée', 'Extrait à froid', ' Origine: La Chanée', 'île de Crète', ' Variété: Koroneiki']",[],?,828,3464 kj(828 kcal),92,13,0,0,0,0,0,,['Nikos'],['Matières grasses'],,+3%,+3%,+4%,-43%,-100%,-100%,-100%,-100%,-100%,11,-3%,D,-3%,,,,,,,,,,,,,,,,,92 g,en quantité élevée,13 g,en quantité élevée,0 g,en faible quantité,0 g,en faible quantité,,,,,
492,ZAKPOE,5200102190004,['France'],[],[],?,126,527 kj(126 kcal),14,2,1,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
493,Huile d'olive vierge extra - Zakros,5200102198390,['France'],[],[],?,820,3431 kj(820 kcal),100,14,0,0,0,0,0,C,['Zakros'],"['Aliments et boissons à base de végétaux', ""Aliments d'origine végétale"", 'Matières grasses', 'Matières grasses végétales', ""Produits de l'olivier"", 'Huiles', ""Huiles d'olive"", ""Huiles d'olive de Grèce"", ""Huiles d'olive vierges"", ""Huiles d'olive vierges extra""]",,-2%,-1%,+7%,+4%,-100%,-100%,-100%,,,6,+1%,C,+1%,88.1%,4.5%,3.6%,2.0%,1.7%,0.0%,47,,,,['AOP'],,,,,,100 g,en quantité élevée,14 g,en quantité élevée,0 g,en faible quantité,0 g,en faible quantité,"['Grèce', 'Crète']",,,,
494,Sitia Lassithi Kreta,5200102950264,['France'],[],[],?,120,502 kj(120 kcal),14,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
495,Baklavas -,5200102951384,['France'],[],[],?,410,1715 kj(410 kcal),56,6,37,5,6,5,2,D,,"['Snacks', 'Desserts', 'Snacks sucrés', 'Biscuits et gâteaux', 'Pâtisseries', 'Baklava']",,+4%,+3%,+309%,+59%,-38%,-84%,+5%,+1816%,+1816%,21,+41%,E,+41%,89.5%,5.3%,2.1%,2.0%,1.1%,0.0%,35,,,,,,,,,,56 g,en quantité élevée,6 g,en quantité élevée,5 g,en quantité modérée,5 g,en quantité élevée,,,,,
496,Huile d'olive -,5200102952046,['France'],[],[],?,?,,?,,?,,?,,,D,,"['Aliments et boissons à base de végétaux', ""Aliments d'origine végétale"", 'Matières grasses', 'Matières grasses végétales', ""Produits de l'olivier"", 'Huiles', ""Huiles d'olive"", ""Huiles d'olive de Grèce"", ""Huiles d'olive vierges"", ""Huiles d'olive vierges extra"", 'en:Olive oils from Sitia Lassithi']",,,,,,,,,,,,,,,88.1%,4.5%,3.6%,2.0%,1.7%,0.0%,47,,,,,,,,,,,,,,,,,,,,,,
497,Huile d'olive vierge extra -,5200102952787,['France'],[],[],?,800,3350 kj(800 kcal),"93,3","13,3",~ 0,~ 0,~ 0,~ 0,0,D,,"['Aliments et boissons à base de végétaux', ""Aliments d'origine végétale"", 'Matières grasses', 'Matières grasses végétales', ""Produits de l'olivier"", 'Huiles', ""Huiles d'olive"", ""Huiles d'olive vierges"", ""Huiles d'olive vierges extra""]",,-7%,-6%,-2%,-5%,,,,-100%,-100%,5,-19%,C,-19%,88.1%,4.5%,3.6%,2.0%,1.7%,0.0%,47,,,,['AOP'],,,,,,93.3 g,en quantité élevée,13.3 g,en quantité élevée,0 g,en faible quantité,0 g,en faible quantité,,,,,
498,Huile olives - Latzimas,5200103670154,['France'],[],[],?,824,3448 kj(824 kcal),92,13,0,0,0,0,0,,['Latzimas'],['Matières grasses'],,+2%,+3%,+4%,-43%,-100%,-100%,-100%,-100%,-100%,11,-3%,D,-3%,,,,,,,,,,,,,,,,,92 g,en quantité élevée,13 g,en quantité élevée,0 g,en faible quantité,0 g,en faible quantité,,,,,
499,Olives Vertes (320 GR),5200104102012,['France'],[],[],?,125,523 kj(125 kcal),"12,2",2,1,"0,5","0,9",3,"1,2",,,,,,,,,,,,,,,,,,,,,,,,,,,,"['Bio', 'Bio européen', 'GR-BIO-03']",,,,,,,,,,,,,,,,,,
500,Olives Vertes (320 GR),5200104102012,['France'],[],[],?,125,523 kj(125 kcal),"12,2",2,1,"0,5","0,9",3,"1,2",,,,,,,,,,,,,,,,,,,,,,,,,,,,"['Bio', 'Bio européen', 'GR-BIO-03']",,,,,,,,,,,,,,,,,,
501,Olives vertes aux poivrons rouges - Epikouros - 320g,5200104102210,['France'],[],[],?,107,448 kj(107 kcal),"8,9","1,68","1,8","0,9","1,6","3,5","1,4",B,['Epikouros'],"['Aliments et boissons à base de végétaux', ""Aliments d'origine végétale"", 'Pickles', ""Produits de l'olivier"", ""Pickles d'origine végétale"", 'Olives', 'Olives vertes', 'Olives farcies', 'Olives vertes farcies', 'Olives vertes farcies au poivron']",,-25%,-25%,-36%,-27%,-5%,+264%,+45%,+1%,+1%,12,+7%,D,+7%,33.7%,0.2%,40.3%,17.4%,6.7%,1.8%,95,,320 g,,['Bio'],,,,,,8.9 g,en quantité modérée,1.68 g,en quantité modérée,0.9 g,en faible quantité,3.5 g,en quantité élevée,,,,,
502,Olives Vertes a L'ail En Saumure (320 GR) - Epikouros,5200104102319,['France'],"[""Olives vertes farcies à l'ail ln édients: olives* "", 'eau', ""ail* 11% sel de mer et jus de *i •rédients issus de l'Agriculture Biologique paÀeurisé""]",[],?,124,519 kj(124 kcal),"11,8","2,5","1,7","1,2","1,3",4,"1,6",,['Epikouros'],,,,,,,,,,,,,,,,,,,,,,,,,,['Bio'],,,,,,,,,,,,,,,,,,
503,Epicerie / Apéritifs Bio / Olives Bio,5200104106812,['France'],[],[],?,446,1866 kj(446 kcal),"47,9","6,2","1,1","0,1","1,5","2,1","0,84",,,,,,,,,,,,,,,,,,,,,,,,,,,,['Bio'],,,,,,,,,,,,,,,,,,
504,Vinaigre De Vin Rouge -,5200104109219,['France'],[],"['Végétalien', 'Végétarien']",?,21,88 kj(21 kcal),"0,1","0,1","0,1","0,1","0,2","0,1","0,04",B,,"['Vinaigres', 'Vinaigres de vin', 'Vinaigres de vins rouges']",,+50%,+47%,-24%,+308%,-84%,-77%,+10%,+158%,+158%,,,,,39.4%,16.4%,33.5%,8.2%,2.4%,0.0%,91,,,,"['Bio', 'Végétarien', 'Bio européen', 'Végétalien', 'Bio-dynamie', 'Demeter', 'GR-BIO-03']",,,,,,0.1 g,en faible quantité,0.1 g,en faible quantité,0.1 g,en faible quantité,0.1 g,en faible quantité,,,,,
505,Vinaigre De Vin Blanc Demeter 50 CL -,5200104109226,['France'],[],[],?,20,84 kj(20 kcal),"0,1","0,1","0,1","0,1","0,2","0,1","0,04",B,,"['Vinaigres', 'Vinaigres de vin', 'Vinaigres de vins blancs']",,+18%,+18%,+16%,+545%,-87%,-76%,+22%,+149%,+149%,,,,,39.4%,16.4%,33.5%,8.2%,2.4%,0.0%,91,,50 cl,,"['Bio', 'Bio-dynamie', 'Demeter']",,,,,,0.1 g,en faible quantité,0.1 g,en faible quantité,0.1 g,en faible quantité,0.1 g,en faible quantité,,,,,
506,Extra Virgin Olive Oil -,5200104951030,['France'],[],[],?,126,527 kj(126 kcal),14,2,0,0,0,,,D,,"['Aliments et boissons à base de végétaux', ""Aliments d'origine végétale"", 'Matières grasses', 'Matières grasses végétales', ""Produits de l'olivier"", 'Huiles', ""Huiles d'olive"", ""Huiles d'olive vierges"", ""Huiles d'olive vierges extra""]",,,,,,,,,,,,,,,88.1%,4.5%,3.6%,2.0%,1.7%,0.0%,47,,,,,,,,,,,,,,,,,,,,,,
507,Thon entier à l'huile de tournesol,5200105561115,['France'],[],[],?,245,1025 kj(245 kcal),17,2,0,0,23,1,"0,4",E,,"['Conserves', 'Produits de la mer', 'Poissons', 'Poissons en conserve', 'Thons', 'Thons en conserve', ""Thons à l'huile"", ""Thons à l'huile de tournesol"", 'Thons entiers']",,+48%,+51%,+152%,+101%,-100%,-100%,-9%,-6%,-6%,3,+129%,C,+129%,66.2%,13.9%,12.9%,6.2%,0.4%,0.4%,22,,,,,,,,,,17 g,en quantité modérée,2 g,en quantité modérée,0 g,en faible quantité,1 g,en quantité modérée,,,,,
508,nera kristis,5200105724039,['France'],[],[],?,0,0 kj(0 kcal),0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
509,Caribbean,5200106131218,['France'],[],[],?,34,142 kj(34 kcal),0,0,"8,5","2,4",0,"0,01","0,004",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
510,Fromage Grec chèvre&brebis,5200106600103,['France'],[],[],?,367,1536 kj(367 kcal),30,"20,5",1,1,23,3,"1,2",C,,"['Produits laitiers', 'Produits fermentés', 'Produits laitiers fermentés', 'Fromages']",,+12%,+12%,+13%,+15%,-17%,+35%,+13%,+131%,+131%,19,+39%,E,+39%,84.0%,5.8%,4.0%,4.0%,1.8%,0.5%,54,,,,"['Bio', 'Bio européen', 'GR-BIO-03']",,,,,,30 g,en quantité élevée,20.5 g,en quantité élevée,1 g,en faible quantité,3 g,en quantité élevée,,,,,
511,"Vita Verde Oliven Classic Luftgetrocknet, 4er Pack (4 x 200 G) - Vitasia",5200109200096,['France'],"[""reife Oivd/98Z ripe olives•/ olives murcs'"", 'ò,/eersalz/ 2% sea salt/z du sel marin FicA', ' Anbcw']","['Non végétalien', 'Non végétarien']",?,551,2305 kj(551 kcal),"55,8","11,16","9,4",0,"2,8",2,"0,8",,['Vitasia'],,,,,,,,,,,,,,,,,,,,,,,,4 x 200 g,,['Bio'],,,,,,,,,,,,,,,,,,
512,Olives noires,5200109201246,['France'],[],[],?,242,1013 kj(242 kcal),"21,7","3,7",10,"1,1","1,6","2,3","0,92",B,,"['Aliments et boissons à base de végétaux', ""Aliments d'origine végétale"", 'Pickles', ""Produits de l'olivier"", ""Pickles d'origine végétale"", 'Olives', 'Olives noires']",,-7%,-7%,-15%,+10%,+214%,+172%,+10%,-45%,-45%,16,+24%,D,+24%,33.7%,0.2%,40.3%,17.4%,6.7%,1.8%,95,,,,,,,,,,21.7 g,en quantité élevée,3.7 g,en quantité modérée,1.1 g,en faible quantité,2.3 g,en quantité élevée,,,,,
513,Pistaches salées roties,5200109980370,['France'],[],[],?,650,2720 kj(650 kcal),"54,9",0,0,0,"18,6","2,5",1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
514,Olives kalamata,5200110705894,['France'],[],[],?,247,1033 kj(247 kcal),"22,7","4,77","1,99","1,99","1,7","2,53","1,012",,,,,,,,,,,,,,,,,,,,,,,,,,,,['Bio'],,,,,,,,,,,,,,,,,,
515,Katafi,5200111176839,['France'],[],[],?,342,1431 kj(342 kcal),"5,2","2,1",60,32,"4,8","0,1","0,04",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
516,Loukoumi - Aoukoúui,5200111177225,['France'],"['Inqredients: Sugar', 'Glucose Syrup', 'Corn Starch', 'Water', 'Acidity Regulator: Citric Acid', 'Color: Carmine', 'Chlorophyll', 'Flavorings: Rose']","['Non végétalien', 'Non végétarien']",?,347,1452 kj(347 kcal),"0,725","0,05","85,05","72,75","0,7",0,0,E,['Aoukoúui'],"['Snacks', 'Snacks sucrés', 'Confiseries', 'Bonbons']",,-3%,-3%,-61%,-95%,+2%,+25%,-67%,-100%,-100%,14,-3%,D,-3%,90.3%,5.0%,2.2%,2.0%,0.5%,0.0%,34,,,,,,,,4,"['E330 - Acide citrique', 'E120 - Acide carminique', 'E140i - Chlorophylles']",0.725 g,en faible quantité,0.05 g,en faible quantité,72.8 g,en quantité élevée,0 g,en faible quantité,,,,,
517,Miel de pin - Toplou - 250g,5200111920616,['France'],[],[],?,224,937 kj(224 kcal),0,0,"55,9","55,8","0,32",0,0,A,['Toplou'],"['Produits à tartiner', 'Petit-déjeuners', 'Produits de la ruche', ""Produits d'élevages"", 'Produits à tartiner sucrés', 'Édulcorants', 'Miels', 'Miels de conifères', 'Miels de pin']",,-23%,-23%,-100%,-100%,-27%,-20%,-2%,-100%,-100%,,,,,87.9%,0.0%,7.7%,3.1%,1.3%,0.0%,82,,250 g,['Pot en verre'],,,,,,,0 g,en faible quantité,0 g,en faible quantité,55.8 g,en quantité élevée,0 g,en faible quantité,"['Grèce', 'Crète']",,,,
518,Miel Toplou,5200111921026,['France'],[],[],?,255,1067 kj(255 kcal),0,0,"63,9","63,8","0,27","0,02","0,008",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
519,Passata de tomate,5200112120138,['France'],[],[],?,21,88 kj(21 kcal),"0,1","0,1","4,5",4,"0,8","0,3","0,12",,,,,,,,,,,,,,,,,,,,,,,,,,,,"['Bio', 'Sans conservateurs']",,,,,,,,,,,,,,,,,,
520,Huile d’olive - Assargiotakis,5200112199349,['France'],['PRODUCT OF GREECE AIATPOOIKOE NUTRITION FACTS VALEUR NUTRITIVE MOYENNEi Evipyect I Energy I Valeur énergétique / Protein I Proteines iYôcidvepaKts / Carbohydrates 1 Saturés Mono-unsaturated Poty-unsaturated I / Cholesterol Cholestérol'],[],?,824,3448 kj(824 kcal),"91,6","12,4",0,0,0,0,0,,['Assargiotakis'],['Matières grasses'],,+2%,+3%,+3%,-46%,-100%,-100%,-100%,-100%,-100%,11,-3%,D,-3%,,,,,,,,,,,,,,,,,91.6 g,en quantité élevée,12.4 g,en quantité élevée,0 g,en faible quantité,0 g,en faible quantité,,,,,
521,Paximadi d'orge,5200112331015,['France'],[],[],?,389,1628 kj(389 kcal),"2,7",0,"81,15",0,"10,13",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,['Sans conservateurs'],,,,,,,,,,,,,,,,,,
522,Huile d'olive,5200112809927,['France'],[],[],?,824,3448 kj(824 kcal),92,14,0,0,0,,,C,,"['Aliments et boissons à base de végétaux', ""Aliments d'origine végétale"", 'Matières grasses', 'Matières grasses végétales', ""Produits de l'olivier"", 'Huiles', ""Huiles d'olive"", ""Huiles d'olive vierges"", ""Huiles d'olive vierges extra""]",,-4%,-4%,-4%,0%,,,,,,,,,,88.1%,4.5%,3.6%,2.0%,1.7%,0.0%,47,,,,"['Bio', 'Bio européen', 'FR-BIO-01']",,,,,,92 g,en quantité élevée,14 g,en quantité élevée,0 g,en faible quantité,,,,,,,
523,Miron - 750ml,5200112900723,['France'],[],[],3694,?,3694 kj(883 kcal),?,"11,6",0,0,0,0,0,C,['Miron'],"['Aliments et boissons à base de végétaux', ""Aliments d'origine végétale"", 'Matières grasses', 'Matières grasses végétales', ""Produits de l'olivier"", 'Huiles', ""Huiles d'olive"", ""Huiles d'olive vierges"", ""Huiles d'olive vierges extra""]",+5%,,+3%,,-17%,,,,-100%,-100%,,,,,88.1%,4.5%,3.6%,2.0%,1.7%,0.0%,47,,750 ml,"['Bouteille', 'Verre']",,,,,,,,,11.6 g,en quantité élevée,0 g,en faible quantité,0 g,en faible quantité,['Grèce'],,,,
524,Huile d'olive extra vierge,5200114494961,['France'],[],[],?,824,3448 kj(824 kcal),"91,6","15,3",0,0,0,,,D,,"['Aliments et boissons à base de végétaux', ""Aliments d'origine végétale"", 'Matières grasses', 'Matières grasses végétales', ""Produits de l'olivier"", 'Huiles', ""Huiles d'olive"", ""Huiles d'olive vierges"", ""Huiles d'olive vierges extra""]",,-4%,-4%,-4%,+9%,,,,,,,,,,88.1%,4.5%,3.6%,2.0%,1.7%,0.0%,47,,,,,,,,,,91.6 g,en quantité élevée,15.3 g,en quantité élevée,0 g,en faible quantité,,,,,,,
525,Tayga,5200115111690,['France'],[],[],?,?,,?,,?,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
526,Ermionis,5200115301428,['France'],"['Kat ', ""'Klep6 gépoç"", ' 12 Ile crystallization is a phenomenon ofpure', ""unprocesQF' Warning: Honey should not be given to children under 12 The company complies With iso 22000:2005 GR IISMI Produced and packaged by Bairaktaris apiary in Kranidi Greece"", ' ava I Oog Nutrision Declara ion per 100g']",[],?,344,1439 kj(344 kcal),"0,1","0,1",86,86,0,0,0,,['Ermionis'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
527,Confiture d'olive,5200117260556,['France'],[],[],?,328,1372 kj(328 kcal),"7,35","0,56",66,65,"0,35","0,84","0,336",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
528,Baklava -,5200117430737,['France'],[],[],?,310,1297 kj(310 kcal),"9,1",1,57,"26,7","5,5",0,0,D,,"['Snacks', 'Desserts', 'Snacks sucrés', 'Biscuits et gâteaux', 'Pâtisseries', 'Baklava']",,-21%,-22%,-34%,-74%,-5%,-12%,-4%,-100%,-100%,5,-66%,C,-66%,89.5%,5.3%,2.1%,2.0%,1.1%,0.0%,35,,,,,,,,,,9.1 g,en quantité modérée,1 g,en faible quantité,26.7 g,en quantité élevée,0 g,en faible quantité,,,,,
529,Extra Virgin Olive Oil,5200117460208,['France'],[],[],?,824,3448 kj(824 kcal),92,"12,8",0,0,0,,,D,,"['Aliments et boissons à base de végétaux', ""Aliments d'origine végétale"", 'Matières grasses', 'Matières grasses végétales', ""Produits de l'olivier"", 'Huiles', ""Huiles d'olive"", ""Huiles d'olive vierges"", ""Huiles d'olive vierges extra""]",,-4%,-4%,-4%,-9%,,,,,,,,,,88.1%,4.5%,3.6%,2.0%,1.7%,0.0%,47,,,,,,,,,,92 g,en quantité élevée,12.8 g,en quantité élevée,0 g,en faible quantité,,,,,,,
530,Sitia,5200117460697,['France'],[],[],?,824,3448 kj(824 kcal),"91,6","12,8",0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
531,O2 BIO,5200117463162,['France'],[],[],?,900,3766 kj(900 kcal),100,14,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,['Bio'],,,,,,,,,,,,,,,,,,
532,Extra virgin olive oil - Epoch,5200117550046,['France'],[],[],3460,827,3460 kj(827 kcal),94,14,0,0,0,0,0,D,['Epoch'],"['Aliments et boissons à base de végétaux', ""Aliments d'origine végétale"", 'Matières grasses', 'Matières grasses végétales', ""Produits de l'olivier"", 'Huiles', ""Huiles d'olive"", ""Huiles d'olive vierges"", ""Huiles d'olive vierges extra""]",-2%,-4%,-3%,-1%,0%,,,,-100%,-100%,6,-2%,C,-2%,88.1%,4.5%,3.6%,2.0%,1.7%,0.0%,47,,,,,,,,,,94 g,en quantité élevée,14 g,en quantité élevée,0 g,en faible quantité,0 g,en faible quantité,,,,,
533,Olives Kalamata Gegants Epoch 370G,5200117550077,['France'],"['noires snt des noyaux', ' de fruits à coq*']",[],?,278,1163 kj(278 kcal),30,3,"1,4",1,"1,7","4,4","1,76",,['Epoch'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
534,Fromage grillé avec du thym,5200117550381,['France'],[],[],?,346,1448 kj(346 kcal),28,19,1,1,22,2,"0,8",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
535,Miel de chataignier - Elaia - 250g,5200117750521,['France'],[],[],?,332,1389 kj(332 kcal),0,0,"82,5",0,0,,,B,['Elaia'],"['Produits à tartiner', 'Petit-déjeuners', 'Produits de la ruche', ""Produits d'élevages"", 'Produits à tartiner sucrés', 'Édulcorants', 'Miels', 'Miels de châtaignier']",,+23%,+23%,-100%,-100%,+19%,-100%,-100%,,,,,,,87.9%,0.0%,7.7%,3.1%,1.3%,0.0%,82,,250g,['Pot en verre'],,,,,,,0 g,en faible quantité,0 g,en faible quantité,0 g,en faible quantité,,,,,,,
536,Miel de Fleurs et Arbres de Forêt - Elaia - 250g,5200117750545,['France'],['Miel'],"['Sans huile de palme', 'Non végétalien', 'Végétarien']",?,328,1372 kj(328 kcal),?,0,?,"82,5","0,35",0,0,A,['Elaia'],"['Produits à tartiner', 'Petit-déjeuners', 'Produits de la ruche', ""Produits d'élevages"", 'Produits à tartiner sucrés', 'Édulcorants', 'Miels', 'Miels de fleurs', 'Miels de forêt']",,+16%,+18%,,-100%,,+21%,+30%,-100%,-100%,,,,,87.9%,0.0%,7.7%,3.1%,1.3%,0.0%,82,,250 g,"['Verre', 'métal', 'Pot']","['Bio', 'Bio européen', 'AB Agriculture Biologique']",,,,2,,,,0 g,en faible quantité,82.5 g,en quantité élevée,0 g,en faible quantité,,,,,
537,Huile d'Olive Extra Vierge Organic -,5200117751412,['France'],[],[],?,792,3314 kj(792 kcal),?,,0,0,0,,,D,,"['Aliments et boissons à base de végétaux', ""Aliments d'origine végétale"", 'Matières grasses', 'Matières grasses végétales', ""Produits de l'olivier"", 'Huiles', ""Huiles d'olive"", ""Huiles d'olive vierges"", ""Huiles d'olive vierges extra""]",,-8%,-7%,,,,,,,,,,,,88.1%,4.5%,3.6%,2.0%,1.7%,0.0%,47,,,,,,,,,,,,,,0 g,en faible quantité,,,,,,,
538,Olives vertes,5200117752808,['France'],[],[],?,130,544 kj(130 kcal),"13,4","9,51","1,3","0,5","1,3",2,"0,8",,,,,,,,,,,,,,,,,,,,,,,,,,,,['Bio'],,,,,,,,,,,,,,,,,,
539,Sitia Creta Extra Natives Olivenöl,5200118280553,['France'],[],[],?,824,3448 kj(824 kcal),"91,6","12,8",0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
540,Extra virgin olive oil,5200118280713,['France'],[],[],?,824,3448 kj(824 kcal),"91,6","12,8",0,0,0,,,D,,"['Aliments et boissons à base de végétaux', ""Aliments d'origine végétale"", 'Matières grasses', 'Matières grasses végétales', ""Produits de l'olivier"", 'Huiles', ""Huiles d'olive"", ""Huiles d'olive vierges"", ""Huiles d'olive vierges extra""]",,-4%,-4%,-4%,-9%,,,,,,,,,,88.1%,4.5%,3.6%,2.0%,1.7%,0.0%,47,,,,,,,,,,91.6 g,en quantité élevée,12.8 g,en quantité élevée,0 g,en faible quantité,,,,,,,
541,Huile d'olive Crète,5200118280751,['France'],[],[],?,824,3448 kj(824 kcal),"91,6","12,8",0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
542,Organic extra virgin oil - Agia Triada - 250ml,5200118680971,['France'],[],[],?,899,3761 kj(899 kcal),100,14,0,0,0,0,0,D,['Agia Triada'],"['Aliments et boissons à base de végétaux', ""Aliments d'origine végétale"", 'Matières grasses', 'Matières grasses végétales', ""Produits de l'olivier"", 'Huiles', ""Huiles d'olive"", ""Huiles d'olive de Grèce"", ""Huiles d'olive vierges"", ""Huiles d'olive vierges extra""]",,+8%,+8%,+7%,+4%,-100%,-100%,-100%,,,6,+1%,C,+1%,88.1%,4.5%,3.6%,2.0%,1.7%,0.0%,47,,250 ml,,,,,,,,100 g,en quantité élevée,14 g,en quantité élevée,0 g,en faible quantité,0 g,en faible quantité,,,,,
543,Huile olives - Agia Triada,5200118681114,['France'],[],[],?,899,3761 kj(899 kcal),100,14,0,0,0,,,D,['Agia Triada'],"['Aliments et boissons à base de végétaux', ""Aliments d'origine végétale"", 'Matières grasses', 'Matières grasses végétales', ""Produits de l'olivier"", 'Huiles', ""Huiles d'olive"", ""Huiles d'olive vierges"", ""Huiles d'olive vierges extra""]",,+5%,+5%,+5%,0%,,,,,,,,,,88.1%,4.5%,3.6%,2.0%,1.7%,0.0%,47,,,,,,,,,,100 g,en quantité élevée,14 g,en quantité élevée,0 g,en faible quantité,,,,,,,
544,Organic extra virgin olive oil - Agia Triada,5200118681213,['France'],[],[],?,824,3448 kj(824 kcal),100,14,0,0,0,,,D,['Agia Triada'],"['Aliments et boissons à base de végétaux', ""Aliments d'origine végétale"", 'Matières grasses', 'Matières grasses végétales', ""Produits de l'olivier"", 'Huiles', ""Huiles d'olive"", ""Huiles d'olive vierges"", ""Huiles d'olive vierges extra""]",,-4%,-4%,+5%,0%,,,,,,,,,,88.1%,4.5%,3.6%,2.0%,1.7%,0.0%,47,,,,,,,,,,100 g,en quantité élevée,14 g,en quantité élevée,0 g,en faible quantité,,,,,,,
545,Huile d'olive vierge extra - Agia Triada,5200118681961,['France'],[],[],?,899,3761 kj(899 kcal),100,14,0,0,0,0,0,D,['Agia Triada'],"['Aliments et boissons à base de végétaux', ""Aliments d'origine végétale"", 'Matières grasses', 'Matières grasses végétales', ""Produits de l'olivier"", 'Huiles', ""Huiles d'olive"", ""Huiles d'olive de Grèce"", ""Huiles d'olive vierges"", ""Huiles d'olive vierges extra""]",,+8%,+8%,+7%,+4%,-100%,-100%,-100%,,,6,+1%,C,+1%,88.1%,4.5%,3.6%,2.0%,1.7%,0.0%,47,,,,,,,,,,100 g,en quantité élevée,14 g,en quantité élevée,0 g,en faible quantité,0 g,en faible quantité,,,,,
546,Huile d'olive vierge extra - Terra Zakros,5200119080077,['France'],"[""Huile d'olive""]","['Sans huile de palme', 'Végétalien', 'Végétarien']",?,824,3448 kj(824 kcal),100,14,0,0,0,0,0,D,['Terra Zakros'],"['Aliments et boissons à base de végétaux', ""Aliments d'origine végétale"", 'Matières grasses', 'Matières grasses végétales', ""Produits de l'olivier"", 'Huiles', ""Huiles d'olive"", ""Huiles d'olive vierges"", ""Huiles d'olive vierges extra""]",,-4%,-4%,+5%,0%,,,,-100%,-100%,6,-2%,C,-2%,88.1%,4.5%,3.6%,2.0%,1.7%,0.0%,47,,,,,,,,2,,100 g,en quantité élevée,14 g,en quantité élevée,0 g,en faible quantité,0 g,en faible quantité,,,,,
547,Huile d'olive vierge extra,5200119080084,['France'],[],[],?,824,3448 kj(824 kcal),100,14,0,0,0,0,0,D,,"['Aliments et boissons à base de végétaux', ""Aliments d'origine végétale"", 'Matières grasses', 'Matières grasses végétales', ""Produits de l'olivier"", 'Huiles', ""Huiles d'olive"", ""Huiles d'olive vierges"", ""Huiles d'olive vierges extra""]",,-4%,-4%,+5%,0%,,,,-100%,-100%,6,-2%,C,-2%,88.1%,4.5%,3.6%,2.0%,1.7%,0.0%,47,,,,,,,,,,100 g,en quantité élevée,14 g,en quantité élevée,0 g,en faible quantité,0 g,en faible quantité,,,,,
