,name,bar_code,categories,sales_countries,ingredients_list,ingredients_analysis,nutriment_energy-kj_tr,nutriment_energy-kj_tr_diff,nutriment_energy-kcal_tr,nutriment_energy-kcal_tr_diff,nutriment_fat_tr,nutriment_fat_tr_diff,nutriment_carbohydrates_tr,nutriment_carbohydrates_tr_diff,nutriment_proteins_tr,nutriment_proteins_tr_diff,nutriment_saturated-fat_tr,nutriment_sugars_tr,nutriment_energy_tr,nutriment_salt_tr,nutriment_sodium_tr,eco_score,labels,fats_lipids_quantity,fats_lipids_comment,saturated_acids_quantity,saturated_acids_comment,sugar_quantity,sugar_comment,salt_quantity,salt_comment,nutriment_energy_tr_diff,nutriment_saturated-fat_tr_diff,nutriment_sugars_tr_diff,nutriment_salt_tr_diff,nutriment_sodium_tr_diff,nutriment_nutrition-score-fr_tr,nutriment_nutrition-score-fr_tr_diff,nutriment_nutriscore_tr,nutriment_nutriscore_tr_diff,Agriculture,Transformation,Conditionnement,Transport,Distribution,Consommation,Score_ACV,brand,markets,quantity,packaging,traceability_code,manufacturing,link,allergens,nova_score,ingredients_origins,generic_name,additives,origin_detail
30,Farine de ble,3760054742727,"['Aliments et boissons à base de végétaux', ""Aliments d'origine végétale"", 'Céréales et pommes de terre', 'Céréales et dérivés', 'Farines', 'Farines de céréales', 'Farines de blé']",['France'],[],[],?,,?,,?,,?,,?,,,,,,,B,"['Bio', 'Bio européen', 'FR-BIO-10', 'Point Vert', 'AB Agriculture Biologique']",,,,,,,,,,,,,,,,,,77.8%,3.5%,0.0%,10.3%,8.3%,0.0%,97,,,,,,,,,,,,,
31,Pimientos de piquillo,8410416013150,,['France'],[],[],?,,39,,"0,7",,"6,6",,"1,1",,"0,17","4,6",163 kj(39 kcal),"0,62","0,248",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
32,Chocolat noir,8412674106643,,['France'],[],[],?,,508,,28,,54,,"7,5",,17,50,2125 kj(508 kcal),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
33,Shape shake 2.0 - Foodspring,4260363488976,,['France'],[],[],?,,4.1,,0,,19,,42,,0,"2,7",17 kj(4 kcal),"1,1","0,44",,,,,,,,,,,,,,,,,,,,,,,,,,,['Foodspring'],,,,,,,,,,,,
34,8024370071714,8024370071714,,['France'],[],[],?,,?,,?,,?,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
35,Poutine,0627843972648,,['France'],[],[],?,,35,,"0,2",,7,,1,,"0,1",0,146 kj(35 kcal),"1,8","0,72",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
36,Bleu d'Occitanie Mojito,0652733375087,,['France'],[],[],?,,37.5,,0,,7,,0,,0,7,157 kj(37 kcal),0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
37,Boudin blanc à l'ancienne,3338910006148,,['France'],[],[],?,,276,,"23,8",,"4,6",,"10,8",,"9,9","1,3",1155 kj(276 kcal),"1,68","0,672",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
38,Concentration Examen+,3760265301706,,['France'],[],[],?,,?,,?,,?,,?,,,,,,,,"['Bio', 'Bio européen']",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
39,Segments de mandarines,2006050020058,,['France'],[],[],?,,62,,"0,5",,14,,"0,7",,0,13,259 kj(62 kcal),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
40,Cashew parm cherz,9349665000118,,['France'],[],[],?,,39.8,,4,,"5,3",,21,,"0,5","3,7",167 kj(39 kcal),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
41,Camembert au four -,2006050026388,"['Produits laitiers', 'Produits fermentés', 'Produits laitiers fermentés', 'Fromages', 'Fromages de vache', 'Fromages à pâte molle à croûte fleurie', 'Camemberts']",['France'],[],[],?,,291,+5%,23,+6%,"0,5",-8%,20,0%,15,"0,5",1218 kj(291 kcal),"1,6","0,64",D,,23 g,en quantité élevée,15 g,en quantité élevée,0.5 g,en faible quantité,1.6 g,en quantité élevée,+5%,+1%,+49%,+3%,+3%,15,+4%,D,+4%,84.0%,5.8%,4.0%,4.0%,1.8%,0.5%,54,,,,,,,,,,,,,
42,Poire en cube - St Mamet - 4200gr,3080920103651,"['Aliments et boissons à base de végétaux', ""Aliments d'origine végétale"", 'Conserves', 'Desserts', 'Aliments à base de plantes en conserve', 'Fruits en conserve', 'Fruits au sirop', 'Poires au sirop']",['France'],[],[],?,,?,,?,,?,,?,,,,,,,B,['en:sans gluten'],,,,,,,,,,,,,,,,,,31.2%,35.3%,16.8%,8.7%,8.0%,0.0%,95,['St Mamet'],,4200gr,['Boite'],,,,,,,,,
43,Plaisir d'Automne,3760034000410,,['France'],[],[],?,,?,,?,,?,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
44,Abricotine,3270720020948,,['France'],[],[],?,,?,,?,,?,,?,,,,,3,"1,2",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
45,"Pâté de viande, fin tranché -",2875330017787,,['France'],[],[],?,,1.043,,22,,"< 0,5",,13,,"8,9","< 0,5",4 kj(1 kcal),2,"0,8",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
46,Marinade de petits poulpe,3288377750002,,['France'],[],[],?,,337,,"30,7",,"1,5",,"13,6",,"1,9","0,1",1410 kj(337 kcal),"0,47","0,188",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"['FR 34.301.067 CE', 'Sète (Hérault, France)']",,,,,,,,
47,Riz noir vénéré,3325840149601,,['France'],[],[],?,,?,,?,,?,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
48,Galette pomme,0208591025918,,['France'],[],[],?,,333,,20,,34,,3,,13,11,1393 kj(333 kcal),"0,5","0,2",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
49,Miel de châtaignier,3770011150069,"['Produits à tartiner', 'Petit-déjeuners', 'Produits de la ruche', ""Produits d'élevages"", 'Produits à tartiner sucrés', 'Édulcorants', 'Miels', 'Miels de châtaignier']",['France'],[],[],?,,?,,?,,?,,?,,,,,,,B,,,,,,,,,,,,,,,,,,,87.9%,0.0%,7.7%,3.1%,1.3%,0.0%,82,,,,,,,,,,,,,
50,Orange,3580280775555,,['France'],[],[],?,,205,,"0,5",,49,,"0,5",,0,49,858 kj(205 kcal),"0,17","0,068",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
51,Le coulis aux fruits rouges,3770016108089,,['France'],[],[],?,,88.1,,"0,2",,"20,8",,"0,5",,"0,01","20,1",369 kj(88 kcal),0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
52,Buche crème au beurre vanille,,,['France'],[],[],?,,390,,22,,45,,"2,7",,14,36,1632 kj(390 kcal),"0,29","0,116",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
53,Stuffle,5600961126334,,['France'],[],[],?,,263,,12,,34,,"3,7",,"5,7",12,1100 kj(263 kcal),"0,45","0,18",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
54,Sésame Miel,0745125008714,,['France'],[],[],?,,629,,45,,23,,22,,7,12,2632 kj(629 kcal),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
55,20769598,20769598,,['France'],[],[],?,,?,,?,,?,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
56,5060470141011,5060470141011,,['France'],[],[],?,,?,,?,,?,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
57,Confit d'amandes au miel,3498630000144,,['France'],[],[],?,,?,,?,,?,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
58,Petit sablé,3770013352683,,['France'],[],[],?,,445,,"20,3",,"58,25",,"6,08",,"13,16","24,75",1862 kj(445 kcal),"1,2","0,48",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
59,Frollini al kamut integrale e gocce di cioccolato bio -,8008940229002,,['France'],[],[],?,,472,,20,,63,,8,,5,0,1975 kj(472 kcal),"0,5","0,2",,['Bio'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
60,Senza glutine minIGPlum cake cuo di fragola merendine,3175681079694,,['France'],[],[],?,,417,,18,,60,,"3,9",,"2,2",32,1745 kj(417 kcal),"0,76","0,304",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
61,Gougères,2006050008711,,['France'],[],[],?,,346,,23,,17,,17,,14,"2,9",1448 kj(346 kcal),"1,3","0,52",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
62,"Rôti saumuré, à mijoter -",2245024057205,,['France'],[],[],?,,100,,"4,4",,"0,5",,21,,"1,7","0,4",418 kj(100 kcal),"1,8","0,72",,"['Viande Française', 'Viande Porcine Française', 'Nutriscore', 'Nutriscore C']",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
63,Hazelnut,3800233684629,,['France'],[],[],?,,540,,"32,5",,"45,7",,"13,3",,"19,1","19,8",2259 kj(540 kcal),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
64,Filet de hareng fumé doux,3324030016167,,['France'],[],[],?,,?,,?,,?,,?,,,,,,,,"['Nutriscore', 'Nutriscore D']",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
65,Peluches chocolat,3395503114321,,['France'],['Sans gluten'],[],?,,?,,?,,?,,?,,,,,,,,['Sans gluten'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
66,Pourlarde 2kl,0215816157101,,['France'],[],[],?,,?,,?,,?,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
67,Pannetone,,,['France'],[],[],?,,389,,14,,57,,"8,2",,"8,1",30,1628 kj(389 kcal),"0,6","0,24",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
68,Hot muesli,7606961120769,,['France'],[],[],?,,371,,"8,3",,55,,12,,"1,1","1,2",1552 kj(371 kcal),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
69,Délice Framboise,3435070964261,,['France'],[],[],?,,925,,"0,3",,"55,1",,1,,"0,1","52,8",3870 kj(925 kcal),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"['Bocal en verre', 'Capsule en métal']",,,,,,,,,
70,Bisque de homard,3325815009589,,['France'],[],[],?,,32,,"1,2",,"3,2",,2,,"0,4","0,5",134 kj(32 kcal),"0,81","0,324",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
71,5060595700070,5060595700070,,['France'],[],[],?,,?,,?,,?,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
72,Amaretti Toscani Classici,7610034513075,,['France'],[],[],?,,451,,"18,8",,"60,9",,"9,5",,"1,3","45,3",1887 kj(451 kcal),"0,13","0,052",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
73,Escalope de dinde fermière,0217714026701,"['Viandes', 'Volailles', 'Dindes', 'Escalopes de dinde']",['France'],[],[],?,,137,+13%,"5,9",+347%,0,-100%,20,-13%,"1,4",0,573 kj(137 kcal),"0,19","0,076",D,,5.9 g,en quantité modérée,1.4 g,en faible quantité,0 g,en faible quantité,0.19 g,en faible quantité,+14%,+247%,-100%,-66%,-66%,-3,,A,,84.3%,9.9%,2.2%,2.3%,1.1%,0.3%,37,,,,,,,,,,,,,
74,Panpiuma pocket al grano tenero,8002859150174,,['France'],[],[],?,,0,,"3,6",,"45,5",,"8,4",,"0,4","4,9",0 kj(0 kcal),"1,5","0,6",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
75,Framboisier - 560g,3760261142518,,['France'],[],[],?,,237,,"11,8",,"28,2",,6,,"8,4","23,2",992 kj(237 kcal),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,560 g,,,,,,,,,,
76,Yaourt au lait entier de brebis - Sélection des comptoirs,3760239183376,,['France'],[],[],?,,94,,"6,8",,4,,"5,3",,"4,6","2,8",393 kj(94 kcal),"0,1","0,04",,,,,,,,,,,,,,,,,,,,,,,,,,,['Sélection des comptoirs'],,,,,,,,,,,,
