,name,bar_code,sales_countries,ingredients_list,ingredients_analysis,nutriment_energy-kj_tr,nutriment_energy-kcal_tr,nutriment_fat_tr,nutriment_carbohydrates_tr,nutriment_proteins_tr,nutriment_energy_tr,nutriment_saturated-fat_tr,nutriment_sugars_tr,nutriment_salt_tr,nutriment_sodium_tr,traceability_code,categories,nutriment_energy-kj_tr_diff,nutriment_energy-kcal_tr_diff,nutriment_fat_tr_diff,nutriment_carbohydrates_tr_diff,nutriment_proteins_tr_diff,eco_score,quantity,brand,Agriculture,Transformation,Conditionnement,Transport,Distribution,Consommation,Score_ACV,fats_lipids_quantity,fats_lipids_comment,saturated_acids_quantity,saturated_acids_comment,sugar_quantity,sugar_comment,salt_quantity,salt_comment,nutriment_energy_tr_diff,nutriment_saturated-fat_tr_diff,nutriment_sugars_tr_diff,nutriment_salt_tr_diff,nutriment_sodium_tr_diff,nutriment_nutrition-score-fr_tr,nutriment_nutrition-score-fr_tr_diff,nutriment_nutriscore_tr,nutriment_nutriscore_tr_diff,labels,packaging,allergens,ingredients_origins,additives,nova_score,markets,generic_name,brand_owner,manufacturing,link,producer_info,palm_ingredients
679,Glaces artisanales exotique,3495040350494,['France'],[],[],?,196,7,"32,9","0,9",820 kj(196 kcal),0,"27,4","0,001",0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
680,Chevre cendré,3760251260116,['France'],[],[],?,?,?,?,?,,,,,,"['FR 79.058.001 CE', 'Brûlain (Deux-Sèvres, France)']",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
681,Moscato,8033267628801,['France'],[],[],?,?,?,?,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
682,Yaourt aux fruits,3760267100017,['France'],[],[],?,?,?,?,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
683,LES CIGALINES miel et pignon,3563350000375,['France'],[],[],?,0,?,?,?,0 kj(0 kcal),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
684,Déco sucre,58343456,['France'],[],[],?,396,0,98,"1,6",1657 kj(396 kcal),0,98,"0,04","0,016",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,['Sans conservateurs'],,,,,,,,,,,,
685,Beaufort - Nos Régions ont du Talent,2860085025323,['France'],[],[],?,415,34,"1,3",26,1736 kj(415 kcal),20,"0,5",1,"0,4",,"['Produits laitiers', 'Produits fermentés', 'Produits laitiers fermentés', 'Fromages', 'Fromages à pâte pressée cuite', 'Fromages de France', 'Beaufort']",,+3%,+6%,+41%,-2%,D,,['Nos Régions ont du Talent'],82.8%,8.1%,3.5%,3.6%,1.6%,0.4%,49,34 g,en quantité élevée,20 g,en quantité élevée,0.5 g,en faible quantité,1 g,en quantité modérée,+3%,-3%,+151%,-12%,-12%,14,+1%,D,+1%,,,,,,,,,,,,,
686,Cacao pwdered truffles,3481290023516,['France'],[],[],?,600,"45,7","40,7","4,2",2510 kj(600 kcal),"41,2","39,1","0,29","0,116",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
687,Fondant au chocolat,,['France'],[],[],?,420,25,40,"7,1",1757 kj(420 kcal),15,34,"0,36","0,144",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
688,Guimauve Cricks,2600687042706,['France'],[],[],?,433,19,61,4,1812 kj(433 kcal),13,51,"0,14","0,056",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,['Fabriqué en France'],,,,,,,,,,,,
689,La petite galette - Bonne Maman,3178530416251,['France'],[],[],?,513,26,63,6,2146 kj(513 kcal),15,26,"0,8","0,32",,,,,,,,,,['Bonne Maman'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
690,Poulet fermier entier élevé en 81 jours,2572619016331,['France'],[],[],?,?,?,?,?,,,,,,,"['Viandes', 'Volailles', 'Poulets', 'Poulets entiers', 'Poulets fermiers']",,,,,,C,,,83.4%,9.5%,2.7%,2.7%,1.4%,0.4%,44,,,,,,,,,,,,,,,,,,"['Bio', 'Bio européen', 'AB Agriculture Biologique', 'FR-BIO-09']",,,,,,,,,,,,
691,Primal granola,8718215831808,['France'],[],[],?,?,?,?,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
692,Steak vegan,16733657,['France'],[],"['Végétalien', 'Végétarien']",?,?,?,?,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"['Bio', 'Végétarien', 'Végétalien']",,,,,,,,,,,,
