,name,bar_code,sales_countries,ingredients_list,ingredients_analysis,nutriment_energy-kj_tr,nutriment_energy-kcal_tr,nutriment_fat_tr,nutriment_carbohydrates_tr,nutriment_proteins_tr,quantity,traceability_code,nutriment_energy_tr,nutriment_saturated-fat_tr,nutriment_sugars_tr,nutriment_salt_tr,nutriment_sodium_tr,brand,labels,eco_score,categories,ingredients_origins,nutriment_energy-kj_tr_diff,nutriment_energy-kcal_tr_diff,nutriment_fat_tr_diff,nutriment_carbohydrates_tr_diff,nutriment_proteins_tr_diff,Agriculture,Transformation,Conditionnement,Transport,Distribution,Consommation,Score_ACV,packaging,manufacturing,allergens,nova_score,markets,fats_lipids_quantity,fats_lipids_comment,saturated_acids_quantity,saturated_acids_comment,sugar_quantity,sugar_comment,salt_quantity,salt_comment,nutriment_energy_tr_diff,nutriment_saturated-fat_tr_diff,nutriment_sugars_tr_diff,nutriment_salt_tr_diff,nutriment_sodium_tr_diff,nutriment_nutrition-score-fr_tr,nutriment_nutrition-score-fr_tr_diff,nutriment_nutriscore_tr,nutriment_nutriscore_tr_diff,additives,generic_name,palm_ingredients,link,brand_owner
611,Colombie 40%,3760124340945,['France'],[],[],?,580,40,46,"7,5",,,2427 kj(580 kcal),25,38,"0,07","0,028",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
612,Fruchtmus Apfel,4337185302282,['France'],[],[],?,76,"0,5",16,"0,5",,,318 kj(76 kcal),"0,1",15,"0,01","0,004",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
613,Piperade,3332870022019,['France'],[],[],?,49,"1,4","6,8",1,,,205 kj(49 kcal),"0,1",5,"0,7","0,28",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
614,Champagne - Nicolas Feuillatte,04324478,['France'],[],[],?,?,?,?,?,,,,,,,,['Nicolas Feuillatte'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
615,Hot chocolate drink Dark - 26g,5285002197117,['France'],[],[],?,387,"8,4","71,9","6,1",26 g,,1619 kj(387 kcal),"7,6","62,3","0,374","0,15",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
616,Boite de chocolats - Weiss,3595181905505,['France'],[],[],?,562,22,47,"7,2",,,2351 kj(562 kcal),22,"45,5","0,1","0,04",['Weiss'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
617,Nectar d'abricot - Les vergers de la vallée du Rhône - 1l,3000047031651,['France'],"['Ingredients Abricot Eau', 'Sucre', 'Antioxyd Acide ascorbique', 'Acidifiant : Acide citrique', ' Valeurs nutritionnee moyennes pour 100']",[],?,48,?,12,?,1 l,"['EMB 74289B', 'Vallières (Haute-Savoie, France)', 'EMB 74289D', 'Vallières (Haute-Savoie, France)']",201 kj(48 kcal),,11,0,0,['Les vergers de la vallée du Rhône'],,B,"['Aliments et boissons à base de végétaux', 'Boissons', 'Boissons à base de végétaux', 'Boissons aux fruits', 'Jus et nectars', 'Nectars de fruits', ""Nectars d'abricot""]",['France'],,-9%,,-3%,,58.5%,3.8%,10.1%,20.0%,6.0%,1.7%,51,['bouteille en verre'],"[""Saint Rambert d'Albon""]",,3,['Noz'],,,,,11 g,en quantité élevée,0 g,en faible quantité,-9%,,-7%,-100%,-100%,,,,,['E330 - Acide citrique'],,,http://www.rhoda-coop.com,
618,Kaak Anise Super Extra,5281013603135,['France'],[],[],?,437,"14,6","54,2","8,3",,,1828 kj(437 kcal),"8,3","8,3","0,008","0,003",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
619,"Huile de saumon -  - 43,5g",3578070605168,['France'],[],[],?,?,?,?,?,"43,5 g",,,,,,,,"['Bio', 'Sans colorants', 'Sans conservateurs']",B,"['Matières grasses', 'Matières grasses animales', 'Huiles de poissons', 'Huiles de saumon']",,,,,,,43.8%,28.4%,11.3%,10.5%,6.0%,0.0%,92,,,,,,,,,,,,,,,,,,,,,,,,,,,
620,Amigo,6186000135745,['France'],[],[],?,5,33,58,6,,,21 kj(5 kcal),10,20,"0,31","0,124",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
621,Bonbons caramels - DV SAS,3663350050865,['France'],[],[],?,414,"4,3",89,"1,6",,,1732 kj(414 kcal),3,75,1,"0,4",['DV SAS'],['Fabriqué en France'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
622,Chocolat Belgian,5413121361458,['France'],[],[],?,547,"35,5","50,7","5,5",,,2289 kj(547 kcal),"22,7","50,5","0,22","0,088",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
623,Cola,8006672100002,['France'],[],[],?,41,0,10,0,,,172 kj(41 kcal),0,10,0,0,,['Bio'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
624,Chocolate caramel sauce,20154936,['France'],[],[],?,545,"35,7","58,7",0,,,2280 kj(545 kcal),"22,1","58,4","0,6","0,24",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
625,Popcorn - Meray,4251032606692,['France'],[],[],?,403,12,63,"7,2",,,1686 kj(403 kcal),"5,4",23,"0,1","0,04",['Meray'],,B,"['Snacks', 'Snacks sucrés', 'Popcorn', 'Popcorn sucré']",,,-10%,-23%,-7%,+26%,57.3%,1.4%,8.6%,4.7%,11.7%,16.3%,90,,,,,,12 g,en quantité modérée,5.4 g,en quantité élevée,23 g,en quantité élevée,0.1 g,en faible quantité,-10%,+47%,-24%,-58%,-58%,15,+15%,D,+15%,,,,,
626,Candyasap Cupcake Bites With Sprinkles,0655956001115,['France'],[],[],?,?,?,?,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
627,Terrine de canard au piment d'Espelette - Maison Escudier - 180g,3509475112180,['France'],"['foie de volaille', 'gras de porc', 'viande de canard 20 %', 'couenne de porc', 'viande de porc', 'eau', 'sel', ""piment d'Espelette 0,5 %"", 'Armagnac ', 'sulfites', 'arôme naturel']","['Sans huile de palme', 'Non végétalien', 'Non végétarien']",?,267,23,"0,1",15,180 g,"['FR 87.187.003 CE', 'Saint-Yrieix-la-Perche (Haute-Vienne, France)', 'EMB 87187C', 'Saint-Yrieix-la-Perche (Haute-Vienne, France)']",1117 kj(267 kcal),9,"0,1","1,67","0,668",['Maison Escudier'],,C,"['Viandes', 'Charcuteries', 'Produits à la viande', 'Terrines', 'Terrines de volailles', 'Terrines de canard']",['France'],,-13%,-13%,-94%,+6%,77.8%,15.8%,3.0%,2.2%,1.0%,0.3%,33,"['Bocal', 'Verre']",['France'],['Anhydride sulfureux et sulfites'],4,,23 g,en quantité élevée,9 g,en quantité élevée,0.1 g,en faible quantité,1.67 g,en quantité élevée,-13%,-5%,-84%,+9%,+9%,18,+1%,D,+1%,,,,,
628,Dragées,3491953442776,['France'],[],[],?,431,8,"88,4","1,4",,,1803 kj(431 kcal),"5,6","78,8","0,14","0,056",,,E,"['Snacks', 'Snacks sucrés', 'Confiseries', 'Dragées']",,,-8%,-56%,+30%,-77%,90.3%,5.0%,2.2%,2.0%,0.5%,0.0%,34,,,,,,8 g,en quantité modérée,5.6 g,en quantité élevée,78.8 g,en quantité élevée,0.14 g,en faible quantité,-8%,+12%,+26%,+493%,+493%,20,+2%,E,+2%,,,,,
629,"Fleurs de bach authentique, concentration",3584850009118,['France'],[],[],?,?,?,?,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
630,Mixed olive ciabatta - Waitrose,5000169080955,['France'],[],[],?,260,"6,4","40,9","8,1",,,1088 kj(260 kcal),"0,9","4,7","1,1","0,44",['Waitrose'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
631,Les bonbons aux 7 plantes: miel eucalyptus,3425601535268,['France'],[],[],?,402,"0,05","98,9","0,06",,,1682 kj(402 kcal),0,81,"0,015","0,006",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
632,Tripes mode espagnole,2204489023163,['France'],[],[],?,119,5,"0,3","18,4",,,498 kj(119 kcal),"2,1","0,2","1,2","0,48",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
633,Savour ' Eaze,3060731012724,['France'],[],[],?,210,"19,2","5,6","1,8",,,879 kj(210 kcal),"2,6",2,"3,54","1,416",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
634,Saucisses de poulet,7290002355151,['France'],[],[],?,221,0,5,12,,,925 kj(221 kcal),0,0,2,"0,8",,['en:gluten-free'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
635,Heritage mill salted caramel hazelnut clusters - 1kg,9315090208351,"['Australie', 'France']","['Whole Grain Rolled Oats ', '49%', 'Glucose', 'Raw Sugar', 'Seeds ', 'Sunflower Seeds ', '4', '4%', 'Linseed ', '2', '6%', 'Puffed Rice ', 'Rice Flour', 'Sugar', 'Salt', 'Golden Syrup', 'Oat Flour', 'Canola Oil', 'Roasted Hazelnuts ', '3', '5%', 'Skim Milk Powder', 'Sea Salt ', '0', '4%', 'Tapioca Starch', 'Natural Caramel Flavour', 'Antioxidant ', 'Vitamin E', ' Contains: Gluten-containing Cereals', 'Milk and Tree Nuts', ' May be present: Lupin', 'Peanuts', 'Sesame Seeds and Soy']",['Non végétalien'],?,422,"14,9","58,1","10,2",1 kg,,1766 kj(422 kcal),"1,7","15,5","0,213","0,085",['Heritage Mill'],"['en:Health Star Rating', 'en:Health Star Rating 4']",C,"['Aliments et boissons à base de végétaux', ""Aliments d'origine végétale"", 'Céréales et pommes de terre', 'Petit-déjeuners', 'Céréales et dérivés', 'Céréales pour petit-déjeuner']",,,+6%,+71%,-13%,+9%,74.0%,13.1%,5.1%,5.5%,2.3%,0.0%,60,['bag'],,"['Lait', 'Fruits à coque', 'Arachides', 'Graines de sésame', 'Soja']",4,,14.9 g,en quantité modérée,1.7 g,en quantité modérée,15.5 g,en quantité élevée,0.213 g,en faible quantité,+6%,-23%,-7%,-40%,-40%,-1,-119%,A,-119%,,,,,
636,Monfruit,4313042790508,['France'],[],[],?,79,"0,1","17,3","2,1",,,331 kj(79 kcal),"0,03",14,"0,2","0,08",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
637,Vanilla & almond clusters,7374007097107,['France'],[],[],?,425,"12,8","63,5","9,3",,,1778 kj(425 kcal),"1,5","16,6","0,089","0,036",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
638,Spiruline en cristaux,0091037561411,['France'],[],"['Végétalien', 'Végétarien']",?,371,"6,8","6,1","68,9",,,1552 kj(371 kcal),"3,2","0,1","4,1","1,64",,"['Végétarien', 'Végétalien']",E,"['Compléments alimentaires', 'Spiruline']",,,+48%,+86%,-41%,+39%,53.3%,42.5%,1.8%,1.6%,0.8%,0.0%,25,,,,,,6.8 g,en quantité modérée,3.2 g,en quantité modérée,0.1 g,en faible quantité,4.1 g,en quantité élevée,+46%,+150%,-86%,+257%,+257%,17,+248%,D,+248%,,,,,
639,Stevia zero calorie,2329734002998,['France'],[],[],?,2,"0,5",99,0,,,8 kj(2 kcal),"0,5",0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
640,Hibiscus original pomme 100% naturel,3760061230019,['France'],[],[],?,34,"0,07","8,22","0,003",,,142 kj(34 kcal),0,"7,8","0,001",0,,['Bio'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
641,Organic kalechia,0898114002832,['France'],[],[],?,?,?,?,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
642,Walnuts Cranberry nut mix,8888095052263,['France'],[],[],?,476,"26,9",46,"12,9",,,1992 kj(476 kcal),"2,8",37,"0,1","0,04",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
643,Saumon & tomate séchée,65069523,['France'],[],[],?,274,24,"5,9","9,1",,,1146 kj(274 kcal),"7,7","1,5",1,"0,4",,"['Bio', 'Bio européen', 'Agriculture UE/Non UE', 'FR-BIO-16', 'Point Vert', 'Sans colorants', 'Sans conservateurs']",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
644,Alkalising,9335153002757,['France'],[],[],?,322,"2,5","52,3","12,2",,,1347 kj(322 kcal),"0,3","25,9","0,2","0,08",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
645,Creme anglaise,03631504,['France'],[],[],?,102,"3,2","14,9","3,3",,,427 kj(102 kcal),"1,8",14,"0,1","0,04",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
646,Donut caramel,0207986016401,['France'],[],[],?,375,17,50,"4,6",,,1569 kj(375 kcal),11,22,"0,87","0,348",,,B,"['Biscuits et gâteaux', 'Gâteaux', 'Donuts']",,,-8%,-25%,+12%,-22%,65.3%,17.3%,8.4%,4.6%,4.4%,0.0%,87,,,,,,17 g,en quantité modérée,11 g,en quantité élevée,22 g,en quantité élevée,0.87 g,en quantité modérée,-8%,+4%,+31%,-8%,-8%,21,+8%,E,+8%,,,,,
647,Filet de poulet orloff - Cora,5400134325492,['France'],[],[],?,121,"6,5","6,5","8,2",,,506 kj(121 kcal),"3,2","2,1","0,54","0,216",['Cora'],,D,"['Viandes', 'Volailles', 'Poulets', 'Filets de poulet']",,,-8%,+126%,+1257%,-64%,83.4%,9.5%,2.7%,2.7%,1.4%,0.4%,44,,,,,,6.5 g,en quantité modérée,3.2 g,en quantité modérée,2.1 g,en faible quantité,0.54 g,en quantité modérée,-7%,+329%,+764%,-28%,-28%,1,,B,,,,,,
648,Extra pepites crunchy muesli,15466457,['France'],[],[],?,497,25,57,8,,,2079 kj(497 kcal),12,21,"0,63","0,252",,"['Sans arômes artificiels', 'Sans colorants']",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
649,Confiture fraise et fraise des bois,2242079022967,['France'],[],[],?,226,"0,4",55,"0,4",,,946 kj(226 kcal),"0,09",55,"0,03","0,012",,,D,"['Aliments et boissons à base de végétaux', ""Aliments d'origine végétale"", 'Produits à tartiner', 'Petit-déjeuners', 'Pâtes à tartiner végétales', 'Produits à tartiner sucrés', 'Confitures et marmelades', 'Confitures', 'Confitures de fruits rouges', 'Confitures de fraises']",,,+4%,+66%,+4%,-10%,75.0%,7.5%,10.3%,5.1%,1.7%,0.4%,50,,,,,,0.4 g,en faible quantité,0.09 g,en faible quantité,55 g,en quantité élevée,0.03 g,en faible quantité,+4%,+100%,+8%,+32%,+32%,11,+26%,D,+26%,,,,,
650,Whey protein fusion - Prozis,5600499514641,['France'],[],[],?,389,"5,7","4,3",80,,,1628 kj(389 kcal),"2,8","4,3","0,17","0,068",['Prozis'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
651,Iso drinx - Nutrend,8594073176530,['France'],[],[],?,27,0,"6,5",0,,,113 kj(27 kcal),0,"6,5","0,1","0,04",['Nutrend'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
652,Mélange tonus,2600285067835,['France'],[],[],?,460,22,42,20,,,1925 kj(460 kcal),"2,1",26,"0,5","0,2",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
653,Jambon cuit superieur tradition,0229606040344,['France'],[],[],?,156,8,"0,9",20,,,653 kj(156 kcal),"3,2","0,9",2,"0,8",,['Qualité supérieure'],E,"['Viandes', 'Charcuteries', 'Jambons', 'Jambons blancs']",,,+18%,+67%,+35%,-5%,80.5%,11.8%,4.9%,1.6%,0.9%,0.3%,33,,,,,,8 g,en quantité modérée,3.2 g,en quantité modérée,0.9 g,en faible quantité,2 g,en quantité élevée,+19%,+74%,+51%,+7%,+7%,12,+70%,D,+70%,,,,,
654,Perles craquantes chocolat noir - 180g,3395328190463,['France'],[],[],?,535,32,50,"7,1",180 g,,2238 kj(535 kcal),20,42,"0,38","0,152",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
655,Chocolat m&s - Marks And Spencer,00289801,['France'],[],[],?,508,"28,2","57,8","4,9",,,2125 kj(508 kcal),"17,3","52,6","0,2","0,08",['Marks And Spencer'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
656,Fromage frais fermier - 500g,3760222460279,['France'],[],[],?,115,"6,6","4,2",0,500 g,,481 kj(115 kcal),"3,5","4,2","0,1","0,04",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
657,Spaghettis aux boulettes,8433308028391,['France'],[],[],?,196,"14,7","10,6","4,9",,,820 kj(196 kcal),"3,6","2,1","0,8","0,32",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
658,Choco fourré - Carrefour,5400101041547,"['France', 'Italie']","['Chocolat au lait 35% ', 'sucre', 'beurre de cacao', 'lait entier en poudre', 'pâte de cacao', 'graisses végétales ', 'palme*', 'karité', 'sal', 'mangue en proportion variable', 'lactosérum en poudre ', 'contient lait', 'émulsifiant : lécithine de tournesol', 'arôme naurel de vanille', 'farine ', 'blé', 'seigle complet', 'orge', 'sucre', 'graisse végétale ', 'palme*', 'palmiste*', 'sirop de glucose', 'lait entier en poudre', ""poudre à lever : carbonate acide d'ammonium"", 'lactosérum en poudre ', 'contient lait', 'sel', 'émulsifiant : lécithine de tournesol', 'arôme naturel de vanille avec autres arômes naturels', ' *Contribue à la production de graisse de palme certifiée durable', ' www', 'rspo', 'org']","['Huile de palme', 'Non végétalien']",?,486,20,70,"5,2",,,2033 kj(486 kcal),12,43,"0,4","0,16","['Carrefour', 'Carrefour Kids']",,D,"['Snacks', 'Snacks sucrés', 'Biscuits et gâteaux', 'Biscuits']",,,+3%,-4%,+9%,-20%,80.3%,11.4%,3.7%,2.4%,2.2%,0.0%,58,,,"['Gluten', 'Lait']",4,['Carrefour'],20 g,en quantité modérée,12 g,en quantité élevée,43 g,en quantité élevée,0.4 g,en quantité modérée,+2%,+19%,+46%,-32%,-32%,26,+31%,E,+31%,"['E322i - Lécithine', ""E503ii - Carbonate acide d'ammonium""]",,['Huile de palme'],,
659,Chocolat noir sans gluten,3760124880229,['France'],[],[],?,408,19,55,6,,,1707 kj(408 kcal),11,29,"0,25","0,1",,"['Bio', 'Bio européen', 'Sans gluten', 'AB Agriculture Biologique']",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
660,Marbré de dinde - 300g,7290000530437,['France'],[],[],?,107,3,3,17,300 g,,448 kj(107 kcal),1,"0,2","2,3","0,92",,['en:gluten-free'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
661,Pain de seigle,0206070009312,['France'],[],[],?,268,"3,1",55,13,,,1121 kj(268 kcal),"1,8","3,2","1,4","0,56",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
662,Les mijotes souris d agneau,0206076044744,['France'],[],[],?,150,"7,1","1,1",21,,,628 kj(150 kcal),"3,1","0,6","0,85","0,34",,,,"['Viandes', ""Viandes d'agneau"", ""Souris d'agneau""]",,,+5%,+11%,-22%,+10%,,,,,,,,,,,,,7.1 g,en quantité modérée,3.1 g,en quantité modérée,0.6 g,en faible quantité,0.85 g,en quantité modérée,+5%,+28%,-22%,-23%,-23%,2,-14%,B,-14%,,,,,
663,Biscuit fruité amaretti - 225g,3760191330146,['France'],[],[],?,?,?,?,?,225 g,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
664,Low fat fruit yogurts - Asda - 750g,5054781337249,"['France', 'Royaume-Uni']","['Low Fat Yogurt ', 'from Milk', ' ', '83%', 'Sugar,Black Cherries ', '2', '0%', 'Cherry Juice from concentrate ', '2', '0%', ',Modified Maize Starch', 'Flavouring', 'Thickener ', 'Pectins', 'Concentrated Beetroot Juice', 'Acidity Regulators ', 'Citric Acid', 'Calcium Citrate', 'Aronia Berry Juice from concentrate', 'Carrot Concentrate', 'Concentrated Grape']",['Non végétalien'],?,71,"0,8",13,"3,2",750 g,,297 kj(71 kcal),"0,5","9,8","0,1","0,04",['Asda'],,C,"['Produits laitiers', 'Produits fermentés', 'Produits laitiers fermentés', 'Yaourts', 'Yaourts aux fruits', 'Yaourts allégés en matière grasse']",,,+15%,+47%,+66%,-30%,79.1%,8.8%,4.4%,4.5%,2.5%,0.7%,69,,,,4,,0.8 g,en faible quantité,0.5 g,en faible quantité,9.8 g,en quantité modérée,0.1 g,en faible quantité,+23%,+63%,+36%,-32%,-32%,1,,B,,"['E440 - Pectines', 'E330 - Acide citrique', 'E333 - Citrates de calcium']",,,,
665,Tisane tilleul orange - 38g,4790016160923,['France'],[],[],?,4,0,"0,5","0,5",38 g,,17 kj(4 kcal),0,"0,5",0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
666,Mini pitas,5201155000111,['France'],[],[],?,283,"3,7","3,1","9,4",,,1184 kj(283 kcal),"0,9","3,1","0,73","0,292",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
667,Pain bucheron,0200422007940,['France'],[],[],?,266,"0,9",40,"9,7",,,1113 kj(266 kcal),"0,2",1,"2,5",1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
668,Pain de viande en tranche,5400141321227,['France'],[],[],?,300,26,"4,1",13,,,1255 kj(300 kcal),"9,7","2,5",2,"0,8",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
669,luftgetrocknete Schinkenröllchen - Dulano - 70g,20864873,"['France', 'Allemagne']",[],[],?,?,?,?,?,70 g,,,,,,,['Dulano'],,,"['Viandes', 'Charcuteries']",,,,,,,,,,,,,,['Kunststoff'],,,,,,,,,,,,,,,,,,,,,,,,,,
670,Peanut butter thin & crispy cookies,0011110809193,"['France', 'États-Unis']","['Peanut butter chips ', 'sugar', 'partially defatted peanut flour', 'palm kernel and palm oils', 'nonfat milk', 'soy lecithin', 'salt', 'enriched flour ', 'wheat flour', 'niacin', 'reduced iron', 'thiamine mononitrate', 'riboflavin', 'folic acid', 'sugar', 'salted butter ', 'cream', 'water', 'salt', 'eggs', 'light brown sugar', 'peanut butter ', 'peanuts', 'sugar', 'palm oil', 'salt', 'salt', 'baking soda', 'vanilla extract']","['Huile de palme', 'Non végétalien']",?,500,25,"60,71","7,14",,,2092 kj(500 kcal),"16,07","42,86","1,608","0,643",,,D,"['Snacks', 'Snacks sucrés', 'Biscuits et gâteaux', 'Biscuits']",,,+5%,+20%,-5%,+10%,80.3%,11.4%,3.7%,2.4%,2.2%,0.0%,58,,,"['Œufs', 'Gluten', 'Lait', 'Arachides', 'Soja']",3,,25 g,en quantité élevée,16.1 g,en quantité élevée,42.9 g,en quantité élevée,1.61 g,en quantité élevée,+5%,+59%,+45%,+173%,+173%,29,+46%,E,+46%,"['E322i - Lécithine', 'E500ii - Carbonate acide de sodium']",,,,The Kroger Co.
671,Bauch Speck -,9001745051693,"['France', 'Allemagne']",[],[],?,?,?,?,?,,,,,,,,,['en:gluten-free'],E,"['Viandes', 'Porc', 'Poitrine de porc']",,,,,,,77.9%,17.0%,3.2%,1.1%,0.6%,0.2%,21,,,,,,,,,,,,,,,,,,,,,,,,,,,
672,sambal Käse -,2137537003667,"['France', 'Allemagne']",[],[],?,?,?,?,?,,,,,,,,,,D,"['Produits laitiers', 'Produits fermentés', 'Produits laitiers fermentés', 'Fromages']",,,,,,,84.0%,5.8%,4.0%,4.0%,1.8%,0.5%,54,,,,,,,,,,,,,,,,,,,,,,,,,,,
673,Assortiment choucroute bio - Biocoop,2251849073078,['France'],"['Jambonneau : jarret de porc ', '90%', 'saumure ', 'eau', 'conservateur sel nitrité', 'sel de Guérande', 'Lactose', 'sucre épices oignon', '\rSaucisse fumée : viande et gras de porc', 'sel', 'poivre', 'dextrose', 'antioxydant E301', 'boyau naturel', '\rFrancfort : viande et gras de porc', 'eau', 'œuf', 'Lait en poudre', 'conservateur : sel nitrité', 'sel', 'épices', 'ail', 'boyau naturel', ""\rSaucisson à l'ail : viande et poitrine de porc"", 'eau', 'Lait en poudres', 'œuf', 'conservateur sel nitrité', 'ail', 'poivre', 'épices']","['Non végétalien', 'Non végétarien']",?,312,"22,12","0,8","16,08",,,1305 kj(312 kcal),"8,38",0,"2,45","0,98",['Biocoop'],"['Bio', 'Fabriqué en France']",,,,,,,,,,,,,,,,,,"['Œufs', 'Lait']",4,,,,,,,,,,,,,,,,,,,"['E250 - Nitrite de sodium', '', 'Risque élevé de sur-exposition', 'E301 - Ascorbate de sodium']",,,,
674,Pro-yo,5056138200138,['France'],[],[],?,84,"0,4","8,6","11,1",,,351 kj(84 kcal),"0,3","7,8","0,23","0,092",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
675,Gressins rubata,3760168450495,['France'],[],[],?,448,14,63,12,,,1874 kj(448 kcal),"2,5",2,2,"0,8",,['Fabriqué en Italie'],B,"['Aliments et boissons à base de végétaux', ""Aliments d'origine végétale"", 'Céréales et pommes de terre', 'Pains', 'Gressins']",,,+6%,+30%,-6%,+5%,58.5%,23.6%,10.3%,6.6%,0.9%,0.0%,93,,,,,,14 g,en quantité modérée,2.5 g,en quantité modérée,2 g,en faible quantité,2 g,en quantité élevée,+6%,+11%,-20%,+5%,+5%,15,+17%,D,+17%,,,,,
676,Chouriça de viande tradicion,2988186008004,['France'],[],[],?,?,?,?,?,,,,,,,,,['Point Vert'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
677,Poutargue yellow,2270452000004,['France'],[],[],?,406,"27,06","2,18","39,08",,"['FR 94.041.004 CE', 'Ivry-sur-Seine (Val-de-Marne, France)']",1699 kj(406 kcal),"6,45","0,8","4,38","1,752",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
678,Penne rigate,3850334363527,['France'],[],[],?,342,"1,9",65,13,,,1431 kj(342 kcal),"0,6","4,3",0,0,,,,"['Aliments et boissons à base de végétaux', ""Aliments d'origine végétale"", 'Céréales et pommes de terre', 'Céréales et dérivés', 'Pâtes alimentaires', 'Penne', 'Penne rigate']",,,-3%,+12%,-7%,+8%,,,,,,,,,,,,,1.9 g,en faible quantité,0.6 g,en faible quantité,4.3 g,en faible quantité,0 g,en faible quantité,-3%,+61%,+47%,-100%,-100%,-1,,A,,,,,,
679,Gourmet in love,3662051000001,['France'],[],[],?,15,0,0,"0,01",,,63 kj(15 kcal),0,0,"0,005","0,002",['Gourmet in Love'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
680,3379140776487,3379140776487,['France'],[],[],?,?,?,?,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
681,Eismann,405197918168,['France'],[],[],?,?,?,?,?,,,,,,,,['Eismann'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
682,Mix galette et palets - 300g,3760250320620,['France'],[],[],?,?,?,?,?,300 g,,,,,,,,['Point Vert'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
