,name,bar_code,labels,sales_countries,ingredients_list,ingredients_analysis,nutriment_energy-kj_tr,nutriment_energy-kcal_tr,nutriment_energy_tr,nutriment_fat_tr,nutriment_saturated-fat_tr,nutriment_carbohydrates_tr,nutriment_sugars_tr,nutriment_proteins_tr,nutriment_salt_tr,nutriment_sodium_tr,eco_score,categories,nutriment_energy-kj_tr_diff,nutriment_energy-kcal_tr_diff,nutriment_fat_tr_diff,nutriment_carbohydrates_tr_diff,nutriment_proteins_tr_diff,Agriculture,Transformation,Conditionnement,Transport,Distribution,Consommation,Score_ACV,quantity,brand,ingredients_origins,nova_score,fats_lipids_quantity,fats_lipids_comment,saturated_acids_quantity,saturated_acids_comment,sugar_quantity,sugar_comment,salt_quantity,salt_comment,nutriment_energy_tr_diff,nutriment_saturated-fat_tr_diff,nutriment_sugars_tr_diff,nutriment_salt_tr_diff,nutriment_sodium_tr_diff,nutriment_nutrition-score-fr_tr,nutriment_nutrition-score-fr_tr_diff,nutriment_nutriscore_tr,nutriment_nutriscore_tr_diff,generic_name,packaging,markets,additives,allergens,manufacturing,palm_ingredients,link,traceability_code,brand_owner,origin_detail,producer_info
785,Chocolat Blanc fourré Pistache - Galler - 65g,5412038241037,,"['Belgique', 'France', 'Luxembourg']","['Chocolat ', '45%', ': sucre', 'poudre de lait entier', 'beurre de cacao', 'émulsifiant : lécithine de soja', 'arôme naturel de vanille', ' Cacao : 23% min', ' Fourrage ', '55%', ': sucre', 'poudre de lait entier', 'beurre de cacao', 'pistaches 14%', 'noix de coco', 'huile de colza', 'matières grasses végétales ', 'beurre de karité', 'huile de coco', 'huile de tournesol', 'céréales croustillantes ', 'farine de riz', 'farine de blé ', 'gluten', ' malt de blé ', 'gluten', 'sucre', 'gluten de blé', 'dextrose', 'sel', 'noisettes', 'lactosérum en poudre ', 'lait', 'agent de charge : polydextrose', 'cacao maigre en poudre', 'émulsifiant : lécithine de soja', 'anti-agglomérant: isomalt', 'dextrine', 'inuline', 'arôme naturel de vanille']","['Sans huile de palme', 'Non végétalien', 'Peut-être végétarien']",?,566,2368 kj(566 kcal),38,"18,8","49,1","45,6","8,3","0,2","0,08",E,"['Snacks', 'Snacks sucrés', 'Cacao et dérivés', 'Chocolats', 'Chocolats blancs', 'Chocolats fourrés', 'Chocolats blancs fourrés']",,+2%,+6%,-3%,+25%,91.5%,4.7%,1.2%,2.1%,0.4%,0.0%,24,65 g,['Galler'],,4,38 g,en quantité élevée,18.8 g,en quantité élevée,45.6 g,en quantité élevée,0.2 g,en faible quantité,+2%,-7%,-7%,-11%,-11%,27,+0%,E,+0%,,['papier & alu'],"['Magasins U', 'Delhaize', 'Cactus']","['E322i - Lécithine', 'E1200 - Polydextrose', 'E953 - Isomalt', 'E1400 - Dextrines']","['Gluten', 'Lait', 'Fruits à coque', 'Soja']",,,,,,,
786,Bâton Galler Praliné-Lait - 70g,5412038242010,,"['Belgique', 'France', 'Pays-Bas', 'Suisse']","[""FR es : base : bc±àp nat'N nvv Fourrage "", 'SS%', ' MAO : po,byoexttose', 'en oeuts et ', 'gluten\\ EN : : cont«ù tautes aroma Km sporen an&re schaatvtuchten', 'eleren en Anabses i faces pet I Nàhr•ette pro I Erergy I •aar$e I A20 1554 Kca']",[],?,554,2318 kj(554 kcal),"37,8","18,3","46,6","43,8","6,1","0,2","0,08",,,,,,,,,,,,,,,70 g,['Galler'],,4,,,,,,,,,,,,,,,,,,,,"['Magasins U', 'Delhaize']",,,,,,,,,
787,Bâton Galler Café-Noir - 70g,5412038243062,,"['Belgique', 'France']","['Chocolat 45% : pâte de cacao', 'sucre', 'beurre de cacao', 'émulsifiant : lécithine de soja', 'arôme naturel de vanille', 'Cacao : 60% min', ' Fourrage ', '55%', ' : sucre', 'matières grasses végétales ', 'beurre de karité', 'huile de coco', 'huile de tournesol', 'pâte de cacao', 'noisettes', ' lactosérum en poudre ', 'lait', 'arôme naturel de café 3%', 'agent de charge : polydextrose', 'beurre de cacao', 'cacao maigre en poudre', 'anti-agglomérant : isomalt', 'dextrine', 'inuline', 'émulsifiant : lécithine de soja', 'arôme naturel de vanille']","['Sans huile de palme', 'Non végétalien', 'Peut-être végétarien']",?,558,2335 kj(558 kcal),40,"22,3","39,5","36,1","5,8",0,0,E,"['Snacks', 'Snacks sucrés', 'Cacao et dérivés', 'Chocolats', 'Chocolats noirs', 'Chocolats fourrés', 'Chocolats noirs fourrés']",,+6%,+22%,-20%,+3%,85.3%,9.9%,1.2%,3.2%,0.4%,0.0%,24,70 g,['Galler'],,4,40 g,en quantité élevée,22.3 g,en quantité élevée,36.1 g,en quantité élevée,0 g,en faible quantité,+6%,+23%,-17%,-100%,-100%,24,+3%,E,+3%,Chocolat noir fourré au café,"['Papier', 'Aluminium']",['Delhaize'],"['E322i - Lécithine', 'E1200 - Polydextrose', 'E953 - Isomalt', 'E1400 - Dextrines']","['Lait', 'Fruits à coque', 'Soja']",['Belgique'],,,,,,
788,Damhert Biofood Maiswafels - 150g,5412158023292,"['Bio', 'Végétarien', 'Bio européen', 'Agriculture non UE', 'Végétalien', 'BE-BIO-02', 'Agriculture UE/Non UE']",['France'],[],"['Végétalien', 'Végétarien']",?,387,1619 kj(387 kcal),"1,8","0,1","84,7","0,6","7,1","0,28","0,112",,"['Aliments et boissons à base de végétaux', ""Aliments d'origine végétale"", 'Céréales et pommes de terre', 'Graines', 'Céréales et dérivés', 'Céréales en grains', 'Maïs']",,+142%,-41%,+222%,+72%,,,,,,,,150g,['Damhert'],,,1.8 g,en faible quantité,0.1 g,en faible quantité,0.6 g,en faible quantité,0.28 g,en faible quantité,+142%,-81%,-83%,-42%,-42%,-1,,A,,,,,,,,,,,,,
789,Rikkies sans Gluten - Damhert - 125g,5412158026743,['Sans lactose'],['France'],"['remplissage de crème ', '29%', ' ', 'sucre', 'graisse végétale ', 'palme', 'palmiste', 'émulsifiant lécithine de tournesol', 'amidon de pomme de terre', 'farine de maïs', 'sucre', 'graisse végétale ', 'palme', 'poudre de cacao', 'margarine végétale ', 'graisses et huiles végétales ', 'palme', 'émulsifiants lécithine de tournesol', ""mono - ď'acides gras"", ' acidifiant citrique', 'dextrose', 'amidon de tapioca', 'lait écrémé en poudre sans lactose*', 'sel', 'arôme naturel ', 'vanille', 'extrait de vanille bourbon', 'agents à lever ', 'car - bonate acide dammonium', 'carbonate acide de sodium', 'arôme naturel ', 'vanille', ' *Sans lactose ', '<0,01%', ' et diglycérides ', 'acide ! Peut contenir des traces de notix', 'de lait""', ""d'oeuf"", 'de soja et de lupin']","['Huile de palme', 'Non végétalien']",?,473,1979 kj(473 kcal),"18,7",10,"71,8","24,3","3,3","1,1","0,44",D,"['Snacks', 'Snacks sucrés', 'Biscuits et gâteaux', 'Biscuits', 'Biscuits fourrés', 'Biscuits cacaotés fourrés goût vanille']",,-2%,-9%,+6%,-33%,84.4%,9.1%,2.7%,2.2%,1.6%,0.0%,46,125 g,['Damhert'],,4,18.7 g,en quantité modérée,10 g,en quantité élevée,24.3 g,en quantité élevée,1.1 g,en quantité modérée,-2%,+11%,-33%,+41%,+41%,21,-7%,E,-7%,,,,['E500ii - Carbonate acide de sodium'],,,['Huile de palme'],,,,,
790,Belgian chocolate pralines - Chocosweet - 250g,5412254734535,"['Agriculture durable', 'en:UTZ Certified']",['France'],[],[],?,518,2167 kj(518 kcal),"30,9","19,9","51,6",50,"5,5","0,1","0,04",,"['Snacks', 'Snacks sucrés', 'Cacao et dérivés', 'Confiseries', 'Confiseries chocolatées', 'Bonbons de chocolat', 'Assortiments de bonbons de chocolat']",,-4%,-8%,+0%,-9%,,,,,,,,250 g,['Chocosweet'],,,30.9 g,en quantité élevée,19.9 g,en quantité élevée,50 g,en quantité élevée,0.1 g,en faible quantité,-4%,+13%,+7%,-31%,-31%,26,+4%,E,+4%,Pralines (bonbons de chocolat) au chocolat belge,"['boîte', 'Carton']",['Leader Price'],,,,,,,,,
791,Cocktail Superfruits Bio - Biotona,5412360003426,['Bio'],['France'],"['ingrËËts: jus de gdji* 35,9%', 'purée de man - oustan* ', ""23,8% 'us e aroma jus "", '4', '0%5', 'grénade* ', '4,8%', 'bleuei européenne* ', '2,4%', ' et américaine* ', '2,4%', 'acidifiant: acide citrique', 'antioxydant: acide ascor - bique', ' *culture biologique']",[],?,97,406 kj(97 kcal),0,0,23,22,1,"0,04","0,016",,['Boissons'],,+73%,-100%,+104%,+102%,,,,,,,,,['Biotona'],,,0 g,en faible quantité,0 g,en faible quantité,22 g,en quantité élevée,0.04 g,en faible quantité,+68%,-100%,+133%,-4%,-4%,19,+148%,E,+148%,,,,['E330 - Acide citrique'],,,,,,,,
792,Choco Twins,5412481505106,,['France'],[],[],?,520,2176 kj(520 kcal),27,16,63,46,"5,6","0,42","0,168",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
793,Tortilla Chips Nature - Poco Loco - 450g,5412514333324,,"['France', 'Hongrie']","['kukoricaliszt ', '79%', 'pálmaolaj', 'étkezési só']","['Huile de palme', 'Végétalien', 'Végétarien']",?,472,1975 kj(472 kcal),20,9,64,"0,8","6,6","0,9","0,36",C,"['Snacks', 'Snacks salés', 'Apéritif', 'Chips et frites', 'Chips', 'Chips de maïs']",,-2%,-12%,+6%,+3%,62.4%,19.7%,7.4%,7.2%,3.4%,0.0%,78,450 g,['Poco Loco'],,3,20 g,en quantité modérée,9 g,en quantité élevée,0.8 g,en faible quantité,0.9 g,en quantité modérée,-2%,+207%,-58%,-23%,-23%,16,+65%,D,+65%,Enyhén sózott kukoricachips,,,,,['Belgium'],,,,,,
794,Tortilla Salted - Poco Loco - 200g,5412514333348,,['France'],"['maïs moulu 74%', 'huile végétale', 'sel 1%']","[""Pourrait contenir de l'huile de palme"", 'Végétalien', 'Végétarien']",?,472,1975 kj(472 kcal),20,9,"64,4","1,5","6,6","0,9","0,36",B,"['Snacks', 'Snacks salés', 'Apéritif', 'Chips et frites', 'Chips', 'Chips de maïs']",,-2%,-12%,+7%,+3%,62.4%,19.7%,7.4%,7.2%,3.4%,0.0%,78,200 g,['Poco Loco'],,3,20 g,en quantité modérée,9 g,en quantité élevée,1.5 g,en faible quantité,0.9 g,en quantité modérée,-2%,+207%,-21%,-23%,-23%,16,+65%,D,+65%,Spécialité salée à base de maïs,"['Sachet', 'Plastique']",,,,,,,,,,
795,Crispy salted nacho chips - Poco Loco,5412514333362,,['France'],[],[],?,472,1975 kj(472 kcal),20,2,2,"0,9",7,"0,9","0,36",B,"['Snacks', 'Snacks salés', 'Apéritif', 'Chips et frites', 'Chips', 'Chips de maïs']",,-2%,-12%,-97%,+9%,62.4%,19.7%,7.4%,7.2%,3.4%,0.0%,78,,['Poco Loco'],,,20 g,en quantité modérée,2 g,en quantité modérée,0.9 g,en faible quantité,0.9 g,en quantité modérée,-2%,-32%,-52%,-23%,-23%,5,-48%,C,-48%,,,,,,,,,,,,
796,Kit PR Burritos Pocoloco 620G - Loco Loco,5412514930486,,['France'],"['Tortillas de farine de blé :Farine de blé ', '66%', 'eau', 'huile de palme', 'stabilisants : E422', 'E466', 'E412', 'poudres à lever : E500', 'E450', 'sel', 'acidifiant : E296', 'émulsifiant : E471', 'dextrose', 'conservateurs : E282', 'E202,']",['Huile de palme'],?,61,255 kj(61 kcal),"0,3","0,1",12,"4,2",2,"1,8","0,72",,"['Sandwichs', 'Kit-pour-burritos']",,-74%,-93%,-70%,-66%,,,,,,,,,['Loco Loco'],,4,0.3 g,en faible quantité,0.1 g,en faible quantité,4.2 g,en faible quantité,1.8 g,en quantité élevée,-74%,-87%,+7%,-29%,-29%,6,+15%,C,+15%,,,,"['E422 - Glycérol', 'E466 - Carboxyméthylcellulose', 'E412 - Gomme de guar', 'E500 - Carbonates de sodium', 'E450 - Diphosphates', '', 'Risque élevé de sur-exposition', 'E296 - Acide malique', ""E471 - Mono- et diglycérides d'acides gras alimentaires"", 'E282 - Propionate de calcium', 'E202 - Sorbate de potassium', '', 'Risque élevé de sur-exposition']",,,['Huile de palme'],,,,,
797,Vinaigrette - ciboulette - Anda,5412541204062,,['France'],[],[],?,495,2071 kj(495 kcal),"53,1","4,05","3,3","1,9",0,"2,51","1,004",D,"['Epicerie', 'Sauces', 'Sauces salades', 'Vinaigrettes']",,+37%,+44%,-31%,-100%,80.2%,9.6%,5.0%,3.2%,1.6%,0.4%,49,,['Anda'],,,53.1 g,en quantité élevée,4.05 g,en quantité modérée,1.9 g,en faible quantité,2.51 g,en quantité élevée,+38%,+7%,-42%,+31%,+31%,20,+34%,E,+34%,,,,,,,,,,,,
798,Galettes Au Beurre Sucre Perlé In Blister 375G - Colruyt - 375g,5412573101353,,"['Belgique', 'France']","['Farine de blé ', 'gluten', 'oeufs', 'sucre', 'huiles et graisses végétales ', 'palme,cophra', 'colza', 'tournesol', 'beurre concentré ', 'équivaut à 15% de beurre reconstitué', 'colorant: caroténoïdes', 'sucre perlé 8,8%', 'lait 1/2 écrémé', 'sel']","['Huile de palme', 'Non végétalien']",?,469,1962 kj(469 kcal),"24,9","14,82","54,8","36,1","5,9","0,825","0,33",,,,,,,,,,,,,,,375 g,['Colruyt'],,4,,,,,,,,,,,,,,,,,,,,,['E160 - Caroténoïdes'],"['Œufs', 'Gluten', 'Lait']",,['Huile de palme'],,,,,
799,Saucisse volaille - Regal sultan,5412586005396,['Halal'],['France'],"['+52 iiii265ô""ïù: SAUSAGE Cookod sausa Kookworst Ingrediénten: Kipt6P>', 'water', ""TARWEb10em T 'WEzetmeel"", 'aroma', 'SOJÀe• en soecerijon', 'glucosesiroop', 'smaa?i9 % 301', 'E331', 'conscrveormiddel: E325', 'kunststofdarm', ' Kool bowaren: ma/ ctikct', 'Nettogowicht: Zie etikn,t', ' Dl POLLO Salciccia bollita - igun!camcnto di ', '42%', 'grasso di iRlJl/EtJTO', 'sa!o', 'amido di mais 30', 'aroma', ""protc!no SOJA stabi!izza'e conscrvantj: E325"", 'E262', 'di non Tenere tw', ' entro ij: Vedi etichetta POLLO Salchicha mtcen:carncnte ', '4236', "" grasa da c'"", 'rrCdcn do rnaz modificadl 4', 'SOJA', "" E450' de ïucosar refo•zante de CUITEA BAS,Eat""]",[],995,240,995 kj(240 kcal),20,7,4,"0,2",11,"2,5",1,E,"['Viandes', 'Charcuteries', 'Saucisses', 'Saucisses de volaille']",+13%,+33%,+69%,+220%,-33%,88.4%,6.6%,1.6%,0.9%,0.5%,2.0%,17,,['Regal sultan'],,4,20 g,en quantité modérée,7 g,en quantité élevée,0.2 g,en faible quantité,2.5 g,en quantité élevée,+30%,+93%,-62%,+40%,+40%,18,+83%,D,+83%,,,,"['E331 - Citrates de sodium', 'E325 - Lactate de sodium', 'E262 - Acétates de sodium', 'E450 - Diphosphates', '', 'Risque élevé de sur-exposition']",['Soja'],,,,,,,
800,Boudin blanc - Noyen,5412704003228,,['France'],"['viande de porc ', '66%', 'eau', 'pain ', 'farine de blé', 'eau', 'levure', 'sel iodé', 'lait entier', 'oeufs', ""régula - teur de l'acidité "", 'E325', '} sel', ' graisse de porc', ""mélange d 'épices "", ""protéines de lait mélange d'épices"", 'conser - vateur E262', 'protéine ', 'soja', 'antioxygène ', 'E301', 'arôme ', 'céleri', 'oignons* émulsifiants ', 'EGO', 'E452', "" Produit dans une entreprise où l'on transforme aussi des noix"", 'moutarde', 'crustacés et mollus ques']","['Non végétalien', 'Non végétarien']",?,221,925 kj(221 kcal),"16,6","6,3","5,3","3,5","12,3",2,"0,8",D,"['Viandes', 'Charcuteries', 'Poissons et viandes et oeufs', 'Abats', 'Boudins', 'Produits tripiers', 'Boudins blancs', 'Boudins noirs', 'Boudin noir sauté']",,-9%,-18%,+23%,+19%,87.1%,4.2%,2.1%,1.8%,1.0%,3.9%,35,,['Noyen'],,4,16.6 g,en quantité modérée,6.3 g,en quantité élevée,3.5 g,en faible quantité,2 g,en quantité élevée,-9%,-19%,+78%,+34%,+34%,16,0%,D,0%,,,,"['E325 - Lactate de sodium', 'E301 - Ascorbate de sodium', 'E452 - Polyphosphates', '', 'Risque élevé de sur-exposition']","['Céleri', 'Crustacés', 'Œufs', 'Gluten', 'Lait', 'Moutarde', 'Soja']",,,,,,,
801,Boudin noir - Noyen,5412704003334,,['France'],"['sang de porc ', '44%', 'graisse de porc', 'pain ', 'farine de bu eau', 'levure', 'sel iodé', 'oignon ', '16%', ""mélange d'épices "", 'sel', ""mélange d'épices"", 'anti-oxygène E301', 'herbes', ' tissu conjonctif de porc', ""régulateur de l'acidité"", ' E 325', 'sel', 'viande de porc ', '1%', "" Produit dans une entreprise où l'on transforme aussi lait"", 'oeufs', 'soja', 'noix', 'moutarde', 'céleri', 'poisson', 'crustacés et mollusques']","['Non végétalien', 'Non végétarien']",?,248,1038 kj(248 kcal),"18,2","7,1","9,2","4,8","11,2","1,9","0,76",D,"['Viandes', 'Charcuteries', 'Poissons et viandes et oeufs', 'Abats', 'Boudins', 'Produits tripiers', 'Boudins noirs', 'Boudin noir sauté']",,+2%,-10%,+120%,+5%,87.1%,4.2%,2.1%,1.8%,1.0%,3.9%,35,,['Noyen'],,3,18.2 g,en quantité modérée,7.1 g,en quantité élevée,4.8 g,en faible quantité,1.9 g,en quantité élevée,+2%,-9%,+129%,+31%,+31%,19,+21%,E,+21%,,,,['E325 - Lactate de sodium'],"['Céleri', 'Crustacés', 'Œufs', 'Poisson', 'Mollusques', 'Moutarde', 'Fruits à coque', 'Soja']",,,,,,,
802,Palets aux perles de sucres - Pinson,5412746003392,,['France'],"['farine de ble: graisses végétales ', 'palme', 'cco', ' huile de colza', ' fantaisie au cacao sucre: graisse vegetale ', 'coco', ' palmiste', 'paihe', ' tournesol', ' karité', ' colza', ' en proportions variables', ' poudre de cacao maigre', ' stabilisateur: E492 émulsifiant: E322 soja', ' vanilline', ' sucre', ' perles de sucre 10% ', ' oeufs', ' sirop de sucre inverti', ' sel ', 'non iodé', ' poudres à lever: E170-E450-E500', ' amidon de blé vaniline', ' arome de beurre', ' colorant: E160b', 'aromes', 'acidifiant E330', ' Peut contenir des traces de lait et de noix', ' 100g']","['Huile de palme', 'Non végétalien']",2066,485,2066 kj(485 kcal),25,15,59,34,"4,8","0,3","0,12",D,"['Snacks', 'Snacks sucrés', 'Biscuits et gâteaux', 'Biscuits', 'Biscuits sablés', 'Palets']",-1%,-3%,-2%,-2%,-19%,80.5%,11.6%,3.5%,2.3%,2.1%,0.0%,56,,['Pinson'],,4,25 g,en quantité élevée,15 g,en quantité élevée,34 g,en quantité élevée,0.3 g,en quantité modérée,-1%,-9%,+31%,-66%,-66%,24,-0%,E,-0%,,,,"['E492 - Tristéarate de sorbitane', '', 'Risque élevé de sur-exposition', 'E322 - Lécithines', 'E170 - Carbonates de calcium', 'E450 - Diphosphates', '', 'Risque élevé de sur-exposition', 'E500 - Carbonates de sodium', 'E160b - Rocou', 'E330 - Acide citrique']",['Œufs'],,['Huile de palme'],,,,,
803,Balance Stevia Pâte De Chocolat 12X250G,5412860000635,,['France'],[],[],?,496,2075 kj(496 kcal),45,"9,3","13,2","3,6",5,"0,1","0,04",D,"['Produits à tartiner', 'Petit-déjeuners', 'Produits à tartiner sucrés', 'Pâtes à tartiner', 'Pâtes à tartiner aux noisettes', 'Pâtes à tartiner au chocolat', 'Pâtes à tartiner aux noisettes et au cacao']",,-10%,+32%,-74%,-27%,82.7%,11.5%,2.8%,2.4%,0.6%,0.0%,40,,['Balance'],,,45 g,en quantité élevée,9.3 g,en quantité élevée,3.6 g,en faible quantité,0.1 g,en faible quantité,-10%,+21%,-92%,-3%,-3%,15,-28%,D,-28%,,,,,,,,,,,,
804,Chocolat - Chocolates from Heaven,5412860001229,"['Bio', 'Bio européen', 'Commerce équitable', 'BE-BIO-02', 'Fairtrade International']",['France'],[],[],?,554,2318 kj(554 kcal),41,25,34,29,8,"0,01","0,004",B,"['Snacks', 'Snacks sucrés', 'Cacao et dérivés', 'Chocolats', 'Chocolats noirs', ""Chocolats noirs à l'orange""]",,+5%,+19%,-21%,+19%,74.2%,16.2%,3.8%,4.7%,1.1%,0.0%,62,,['Chocolates from Heaven'],,,41 g,en quantité élevée,25 g,en quantité élevée,29 g,en quantité élevée,0.01 g,en faible quantité,+5%,+21%,-22%,-74%,-74%,22,+3%,E,+3%,,,,,,,,,,,,
805,Biskids morceaux de chocolat,5412916990583,"['Bio', 'Bio européen', 'BE-BIO-01', 'Agriculture UE/Non UE', 'Fabriqué en Belgique']",['France'],[],[],?,447,1870 kj(447 kcal),18,"8,6","60,8",32,"7,5","0,3","0,12",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
806,Lait au chocolat - Pur Natur,5412971117185,['Bio'],"['Belgique', 'France']",[],[],?,75,314 kj(75 kcal),"1,6",1,"11,7","11,6","3,4","0,1","0,04",,,,,,,,,,,,,,,,['Pur Natur'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
807,Broccolispread - Hobbit,5412982055001,"['Bio', 'Bio européen', 'BE-BIO-01', 'Agriculture UE/Non UE', 'FR-BIO-01', 'AB Agriculture Biologique']","['France', 'Pays-Bas']","['40% ', 'graines de soja*', 'eau', 'nigari', 'chlorure de calcium', 'brocoli* 34%', 'huile de tournesol*', 'oignon*', 'filtrat de soja* ', 'soja*', 'eau', 'sel marin', ""persil'"", 'vinaigre de blé* C=agriculture biologique', ',']",[],?,167,699 kj(167 kcal),"14,3","1,8","1,7","0,8","6,8","1,1","0,44",,,,,,,,,,,,,,,,['Hobbit'],,,,,,,,,,,,,,,,,,,,,,['Ekoplaza'],,['Soja'],,,,,,,
808,Wok nouilles - Isali,5413110012651,,['France'],"['Eau', 'nouilles ', '27%', 'poulet ', '13%', 'oignons ', '13%', 'Œufs', 'germes de soja ', '6,6%', 'carottes ', '4,4%', 'vrons rouges ', '4,4%', 'sauce soja ', 'sucre', 'mélasse', 'eau', 'soja', 'blé', 'sel', 'vinaigre', 'amidon de riz', 'arôme naturel', 'oignons verts ', '2/2%', '/ oignons secs', 'choux de Milan ', '1,6%', 'poireaux ', '1,6%', 'sel', 'sucre', 'sauce huitre ', 'contient: mollusques', 'soja', 'blé', '/ huile de sésame', 'huile de scia', 'fécule de pomme de terre', 'poivre', 'aro - mates ', 'contient: céleri', 'extrait de levure', 'curcuma']","['Non végétalien', 'Non végétarien']",?,145,607 kj(145 kcal),"4,6","0,9","19,4","3,8","6,5","1,3","0,52",,,,,,,,,,,,,,,,['Isali'],,4,,,,,,,,,,,,,,,,,,,['400g'],['Carrefour'],['E100 - Curcumine'],"['Céleri', 'Œufs', 'Gluten', 'Mollusques', 'Graines de sésame', 'Soja']",,,,,,,
809,Kyoto boeuf et nouilles - Isali - 300g,5413110069556,,['France'],"['Viande et sauce 60% : légumes ', '35%', ' ', 'champignons de Paris', 'oignons', 'pois gourmands', 'poivrons rouges', 'sauce Kyoto au soja ', '35%', ' ', 'eau', 'sauce soja ', '28%', ' ', 'contient gluten de blé et soja', 'sucre', 'vin de riz', 'aromates', 'miel', 'huile de tournesol', 'graines de sésame', ""émulsifiant : sucroesters d'acide gras"", 'viande de bœuf ', '30%', 'Œufs', 'fécule de pomme de terre', 'stabilisants : gomme guar', 'gomme xanthane', 'sel', 'amidon de maïs', '\rAccompagnement 40% : nouilles sauce au soja ', 'eau', 'blé', 'sel', 'huile de soja', 'sauce soja ', '2%', ' ', 'contient gluten de blé et soja']","['Non végétalien', 'Non végétarien']",?,157,657 kj(157 kcal),"7,1","2,5","18,9","2,4","5,4","0,9","0,36",,"['Plats préparés', 'Produits à la viande', 'Plats préparés à la viande', 'Plats au bœuf']",,+15%,+19%,+101%,-39%,,,,,,,,300 g,['Isali'],,4,7.1 g,en quantité modérée,2.5 g,en quantité modérée,2.4 g,en faible quantité,0.9 g,en quantité modérée,+16%,+15%,+33%,+6%,+6%,3,+31%,C,+31%,,"['barquette plastique', 'Carton']","['Géant Casino', 'Carrefour']","['E473 - Sucroester', '', 'Risque élevé de sur-exposition', 'E412 - Gomme de guar', 'E415 - Gomme xanthane']","['Œufs', 'Gluten', 'Graines de sésame', 'Soja']",['Belgique'],,https://isali.com,['BE B912 EC'],,,
810,Choco light - Rabeko - 150g,5413285000668,,['France'],"['Graisses végétales ', 'palme', 'huiles végétales ', 'coco', 'colza', 'édulcorant: maltitol', 'fromage blanc maigre', 'chocolat avec édulcorant ', 'masse de cacao', 'édulcorant: maltitol', 'beurre de cacao', 'émulsifiant: lécithine de soja', 'arôme naturel de vanille', 'oeufs', 'lait écrémé', 'acide alimentaire: acide citrique', ' Conservateur: potassium sorbate']","['Huile de palme', 'Non végétalien']",1353,324,1353 kj(324 kcal),"26,58","17,32","21,53","2,7","4,68","0,008","0,003",,"['Produits à tartiner', 'Petit-déjeuners', 'Produits à tartiner sucrés', 'Pâtes à tartiner', 'Pâtes à tartiner au chocolat']",-40%,-40%,-22%,-58%,-29%,,,,,,,,150 g,['Rabeko'],,4,26.6 g,en quantité élevée,17.3 g,en quantité élevée,2.7 g,en faible quantité,0.00775 g,en faible quantité,-40%,+122%,-94%,-93%,-93%,10,-51%,C,-51%,,,,"['E965 - Maltitol', 'E322i - Lécithine', 'E330 - Acide citrique', 'E202 - Sorbate de potassium', '', 'Risque élevé de sur-exposition']","['Œufs', 'Lait', 'Fruits à coque']",,,,,,,
811,Zero calorie sauce curry - Rabeko Products - 425ml,5413285002198,,['France'],[],[],?,32,134 kj(32 kcal),"0,29","0,02","5,8","0,09","0,61","1,35","0,54",B,"['Aliments et boissons à base de végétaux', ""Aliments d'origine végétale"", 'Epicerie', 'Condiments', 'Epices', 'Sauces', 'Curry', 'Sauces au curry']",,-82%,-95%,-71%,-91%,21.5%,33.8%,17.7%,14.0%,7.6%,5.3%,96,425 ml,['Rabeko Products'],,,0.29 g,en faible quantité,0.02 g,en faible quantité,0.09 g,en faible quantité,1.35 g,en quantité modérée,-83%,-99%,-97%,-62%,-62%,,,,,,['Plastique'],['nutri shape'],,,,,,,,,
812,Chocolat Au Lait Au Caramel Et Beurre Salé - Dolfin - 70g,5413415905900,,['France'],"['SUCRE', 'MASSE DE CACAO', 'BEURRE DE CACAO', 'POUDRE DE LAIT ENTIER', 'CARAMEL AU BEURRE SALÉ 4% ', 'SUCRE', 'GLUCOSE', 'LAIT CONCENTRÉ', 'BEURRE', 'SEL DE GUÉRANDE', 'ÉMULSIFIANT : LÉCITHINE DE SOJA', 'ARÔME NATUREL DE VANILLE', 'ARÔME NATUREL', 'CARAMEL']","['Sans huile de palme', 'Non végétalien']",?,544,2276 kj(544 kcal),33,20,53,50,7,"0,2","0,08",E,"['Snacks', 'Snacks sucrés', 'Cacao et dérivés', 'Chocolats', 'Chocolats au lait', 'Chocolats au caramel', 'Chocolats au lait au caramel']",,-1%,-2%,-1%,+6%,84.1%,11.8%,1.2%,2.5%,0.4%,0.0%,24,70 g,['Dolfin'],,4,33 g,en quantité élevée,20 g,en quantité élevée,50 g,en quantité élevée,0.2 g,en faible quantité,-1%,-2%,-2%,-49%,-49%,23,-14%,E,-14%,,,,['E322i - Lécithine'],"['Œufs', 'Gluten', 'Lait', 'Soja']",,,,,,,
813,"Noir 70% Cacao Et Fleur De Sel, Dolfin - 70g",5413415912762,,['France'],['I MASSE POUDRE OE CACAO MINIMUM'],[],?,534,2234 kj(534 kcal),38,23,33,27,9,"0,21","0,084",,,,,,,,,,,,,,,70 g,['Dolfin'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
