,name,bar_code,labels,sales_countries,ingredients_list,ingredients_analysis,nutriment_energy-kj_tr,nutriment_energy-kcal_tr,nutriment_energy_tr,nutriment_fat_tr,nutriment_saturated-fat_tr,nutriment_carbohydrates_tr,nutriment_sugars_tr,nutriment_proteins_tr,nutriment_salt_tr,nutriment_sodium_tr,eco_score,categories,nutriment_energy-kj_tr_diff,nutriment_energy-kcal_tr_diff,nutriment_fat_tr_diff,nutriment_carbohydrates_tr_diff,nutriment_proteins_tr_diff,Agriculture,Transformation,Conditionnement,Transport,Distribution,Consommation,Score_ACV,quantity,brand,ingredients_origins,nova_score,fats_lipids_quantity,fats_lipids_comment,saturated_acids_quantity,saturated_acids_comment,sugar_quantity,sugar_comment,salt_quantity,salt_comment,nutriment_energy_tr_diff,nutriment_saturated-fat_tr_diff,nutriment_sugars_tr_diff,nutriment_salt_tr_diff,nutriment_sodium_tr_diff,nutriment_nutrition-score-fr_tr,nutriment_nutrition-score-fr_tr_diff,nutriment_nutriscore_tr,nutriment_nutriscore_tr_diff,generic_name,packaging,markets,additives,allergens,manufacturing,palm_ingredients,link,traceability_code,brand_owner,origin_detail,producer_info
20,"Potage aux lentilles corail - Natur Compagnie - 60g (0,5L)",4000345051923,"['Bio', 'Bio européen', 'CH-BIO-004', 'Agriculture UE/Non UE', 'Fabriqué en Suisse']","['France', 'Pays-Bas']","['Lentilles corail ', '71%', ""farine d'épeautre"", 'sel de mer', 'carottes', 'poireaux', 'oignons', 'huile de palme', 'curry', 'curcuma', 'ail', 'gingembre', 'coriandre']","['Huile de palme', 'Végétalien', 'Végétarien']",?,32,134 kj(32 kcal),"0,3","0,07","3,4","0,4","2,5","0,8","0,32",,"['Plats préparés', 'Produits déshydratés', 'Produits lyophilisés à reconstituer', 'Soupes', 'Plats préparés déshydratés', 'Soupes déshydratées', 'Potage', 'Potage déshydraté']",,-11%,-78%,-17%,+231%,,,,,,,,"60 g (0,5 L)",['Natur Compagnie'],,3,,,,,,,,,-9%,-87%,-73%,+21%,+21%,,,,,Potage déshydraté,['Sachet'],['Ekoplaza'],,['Gluten'],['Suisse'],['Huile de palme'],,,,,
21,"Snack Size Bars, Biscuit",4000415358303,,['France'],[],[],?,484,2025 kj(484 kcal),23,14,64,44,"5,3","0,5","0,2",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
22,Trolli Number One Sour 1KG Dose - 1kg,4000512015222,['Fabriqué en Allemagne'],['France'],"['carmine', 'curcumin', 'brillant blue FCF', ' Best before: see edge of can', ' Store away from heat and humidity', ' Made in Germany', '@@@ CONFISERIE GELIFIEE / CONFISERIE GELIFIEE AEREE / CONFISERIE AEREE • Ingrédients•', ' sucre', ' sirop de glucose•', 'gélatine', ' acidifiants: acide lactique', 'acide malique', 'acide citrique', ' amidon modifié de pomme de terre', ' agent humidifiant: sorbitol', "" correcteurs d'acidité: citrates de calcium"", 'malate de sodium', ' arômes', ' colorant: carmin', 'curcumine', 'bleu brillant FCF,']","['Non végétalien', 'Non végétarien']",?,333,1393 kj(333 kcal),0,0,77,59,"4,6","0,21","0,084",,,,,,,,,,,,,,,1 kg,['Trolli'],,4,,,,,,,,,,,,,,,,,,,,,"['E100 - Curcumine', 'E428 - Gélatine', 'E270 - Acide lactique', 'E296 - Acide malique', 'E330 - Acide citrique', 'E14XX - Amidons modifiés', 'E420 - Sorbitol', 'E333 - Citrates de calcium', 'E350i - Malate de sodium', 'E133 - Bleu brillant FCF', '', 'Risque modéré de sur-exposition']",,,,,,,,
23,"Dr. Oetker Schoko Tröpfchen, 75 G - 75g",4000521007225,,"['France', 'Allemagne', 'Suisse']",[],[],2111,?,2111 kj(505 kcal),28,17,51,47,"5,9","0,01","0,004",,,,,,,,,,,,,,,75g,['Dr Oetker'],,,,,,,,,,,,,,,,,,,,,['Karton'],,,,,,,,,,
24,Dr. Oetker Marmor,4000521007850,,"['France', 'Espagne']",[],[],?,455,1904 kj(455 kcal),24,"9,9",52,30,"6,5","0,4","0,16",,['es:pasteleria'],,,,,,,,,,,,,,['Dr.Oetker'],,,24 g,en quantité élevée,9.9 g,en quantité élevée,30 g,en quantité élevée,0.4 g,en quantité modérée,,,,,,21,,E,,,,,,,,,,,,,
25,Gelatine - Dr Oetker - 20g,4000521741020,['Fabriqué en Allemagne'],"['Belgique', 'France', 'Allemagne', 'Suisse']",[],[],?,?,,?,,?,,?,,,B,"['Additifs alimentaires', 'Gélifiants', 'Gélatine']",,,,,,74.1%,11.3%,5.9%,3.5%,5.2%,0.0%,83,20 g,['Dr Oetker'],['Allemagne'],,,,,,,,,,,,,,,,,,,,['stück'],['Delhaize'],,,,,,,,,
26,Lindt Williams,4000539003202,,['France'],"['Zucker', 'Kakaobutter', 'Vollmilchpulver', 'Williams-Birnenbranc ', '8%', 'Kakaomasse', 'Milchzucker', 'Invertzucker', 'Magermilchpulver Verdickungsmittel ', 'Gummi arabicum', 'Emulgator ', 'Sojalecithin', ' Gerstenmalzextrakt', 'Aroma Vanillin', ' Kann Haselnüsse und andere Schalenfrüchte enthaltem Diese Spezialitât enthâlt Alkohol']",['Non végétalien'],?,467,1954 kj(467 kcal),23,14,57,57,"4,5","0,12","0,048",E,"['Snacks', 'Snacks sucrés', 'Cacao et dérivés', 'Chocolats', 'Chocolats au lait', 'Chocolats fourrés', 'Chocolats au lait fourrés']",,-15%,-33%,+9%,-31%,84.1%,11.8%,1.2%,2.5%,0.4%,0.0%,24,,['Lindt'],,4,23 g,en quantité élevée,14 g,en quantité élevée,57 g,en quantité élevée,0.12 g,en faible quantité,-15%,-23%,+15%,-38%,-38%,25,-2%,E,-2%,,,,"[""E414 - Gomme d'acacia""]","['Gluten', 'Lait', 'Fruits à coque', 'Soja']",,,,,,,
27,Lindor,4000539101908,,['France'],"['UNENDE Vollmilch-Schokolade mit zartschmelzender Füllung ', '41%', ' Zutaten: Zucker', 'pflanzliches Fett ', 'Kokosnuss', 'Palmkern', 'Kakaobutter', 'Voll - milchpulver', 'Kakaomasse', 'Milchzucker', 'Magermilchpulver', 'Butterreinfett', 'Emulgator ', 'Sojalecithin', 'Gerstenmalzextrakt', 'Aromen', 'Kann Haselnüsse', 'Mandeln enthalten 09/2018']","['Huile de palme', 'Non végétalien']",?,606,2536 kj(606 kcal),44,33,46,45,"5,5","0,15","0,06",,"['Snacks', 'Snacks sucrés', 'Cacao et dérivés', 'Chocolats', 'Chocolats suisses']",,+9%,+24%,-6%,-17%,,,,,,,,,"['Lindor', 'Lindt']",,4,44 g,en quantité élevée,33 g,en quantité élevée,45 g,en quantité élevée,0.15 g,en faible quantité,+10%,+65%,-2%,+26%,+26%,26,+10%,E,+10%,,['Folie'],,,"['Gluten', 'Lait', 'Fruits à coque', 'Soja']",,,,,,,
28,Lindt Mini Pralinés á La Macaron 90G,4000539126802,,['France'],[],[],?,574,2402 kj(574 kcal),38,20,49,45,"7,7","0,12","0,048",,,,,,,,,,,,,,,,['Lindt'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
29,Oeufs à cacher - Lindt - 120g e,4000539607202,"['Point Vert', 'Fabriqué en Allemagne']",['France'],"['sucre', 'beurre de cacao', 'poudre de lait', 'pâte de cacao', 'lactose', 'poudre de lait écrémé', 'émulsifiant ', 'lécithine de soja', ""extrait de malt d'orge"", 'arôme vanilline']","['Sans huile de palme', 'Non végétalien', 'Peut-être végétarien']",?,568,2377 kj(568 kcal),37,22,51,41,"7,4","0,2","0,08",E,"['Snacks', 'Snacks sucrés', 'Cacao et dérivés', 'Chocolats', 'Moulages en chocolat', 'Chocolats au lait', 'Aliments de Pâques', 'Œufs de Pâques', 'Œufs en chocolat creux']",,+3%,+9%,-6%,+4%,84.1%,11.8%,1.2%,2.5%,0.4%,0.0%,24,120 g e,"['Lindt', 'Lindt & Sprüngli']",,4,37 g,en quantité élevée,22 g,en quantité élevée,41 g,en quantité élevée,0.2 g,en faible quantité,+3%,+1%,-22%,-15%,-15%,26,-2%,E,-2%,Œufs à Cacher en Chocolat au Lait,"['Plastique', 'Sachet', 'métal', 'Aluminium']",,['E322i - Lécithine'],"['Gluten', 'Lait', 'Soja']",['Allemagne'],,,,,,
