,name,bar_code,sales_countries,ingredients_list,ingredients_analysis,nutriment_energy-kj_tr,nutriment_energy-kcal_tr,nutriment_fat_tr,nutriment_carbohydrates_tr,nutriment_proteins_tr,labels,traceability_code,nutriment_energy_tr,nutriment_saturated-fat_tr,nutriment_sugars_tr,nutriment_salt_tr,nutriment_sodium_tr,eco_score,categories,nutriment_energy-kj_tr_diff,nutriment_energy-kcal_tr_diff,nutriment_fat_tr_diff,nutriment_carbohydrates_tr_diff,nutriment_proteins_tr_diff,Agriculture,Transformation,Conditionnement,Transport,Distribution,Consommation,Score_ACV,brand,quantity,markets,fats_lipids_quantity,fats_lipids_comment,saturated_acids_quantity,saturated_acids_comment,sugar_quantity,sugar_comment,salt_quantity,salt_comment,nutriment_energy_tr_diff,nutriment_saturated-fat_tr_diff,nutriment_sugars_tr_diff,nutriment_salt_tr_diff,nutriment_sodium_tr_diff,nutriment_nutrition-score-fr_tr,nutriment_nutrition-score-fr_tr_diff,nutriment_nutriscore_tr,nutriment_nutriscore_tr_diff,packaging,manufacturing,allergens,nova_score,ingredients_origins,additives,link,generic_name,brand_owner
54,Sucre vanillé à la vanille Bourbon - La pateliere - 1kg,3278587481018,['France'],[],[],?,400,0,100,0,,,1674 kj(400 kcal),0,95,0,0,,,,,,,,,,,,,,,['La pateliere'],1 kg,,,,,,,,,,,,,,,,,,,,,,,,,,,
55,Pâte à tartiner artisanale,9782910196530,['France'],[],[],?,472,34,29,"9,2",,,1975 kj(472 kcal),"5,1","24,6","0,1","0,04",,['Non alimentaire'],,+122%,+209%,+28%,+31%,,,,,,,,,,,34 g,en quantité élevée,5.1 g,en quantité élevée,24.6 g,en quantité élevée,0.1 g,en faible quantité,+121%,+47%,+169%,-89%,-89%,,,,,,,,,,,,,
56,Emerge,5000177477846,['France'],[],[],?,3,0,0,0,,,13 kj(3 kcal),0,0,"0,16","0,064",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
57,Hydrogold Whey - 900g,8436035247240,['France'],[],[],?,367,"0,46","1,22","89,68",,,1536 kj(367 kcal),"0,13",0,"0,5","0,2",,,,,,,,,,,,,,,,900 g,,,,,,,,,,,,,,,,,,,,,,,,,,,
58,Filet poulet,0279265043163,['France'],[],[],?,?,?,?,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
59,Saucisse piment d'espelette,3274822360216,['France'],[],[],?,420,41,"1,7",13,,,1757 kj(420 kcal),16,"1,4",2,"0,8",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
60,Tranci di Tonno - 3x 80g,8003950800456,['France'],[],[],?,192,"10,1",0,"25,2",,,803 kj(192 kcal),0,0,"0,8","0,32",,,,,,,,,,,,,,,,3 x 80 g,,,,,,,,,,,,,,,,,,,,,,,,,,,
61,Actimel systeme immunitaire,990530101000690944,['France'],[],[],?,47,"1,1","6,2","2,6",,,197 kj(47 kcal),"0,6",6,"0,09","0,036",,,,,,,,,,,,,,,['Actimel'],,,,,,,,,,,,,,,,,,,,,,,,,,,,
62,"Sangria Lierni 1, 5l 7% Vol.",8422288002224,['France'],[],[],?,?,?,?,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
63,Corn oil,8691375671005,['France'],[],[],?,820,92,0,0,,,3431 kj(820 kcal),13,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
64,Sirop kiwi hayward,3242611103023,['France'],[],[],?,315,0,78,0,,,1318 kj(315 kcal),0,78,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
65,100% natural snack,06644352,['France'],[],[],?,?,?,?,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
66,Biscuits,3760107470188,['France'],[],[],?,516,26,64,"5,6",,,2159 kj(516 kcal),18,21,"1,57","0,628",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
67,Tropico,3700271000453,['France'],[],[],?,43,"0,1","10,6","0,1",,,180 kj(43 kcal),"0,1","10,6","0,1","0,04",,,,,,,,,,,,,,,['Tropico'],,,,,,,,,,,,,,,,,,,,,,,,,,,,
