,name,bar_code,sales_countries,ingredients_list,ingredients_analysis,nutriment_energy-kj_tr,nutriment_energy-kcal_tr,nutriment_fat_tr,nutriment_carbohydrates_tr,nutriment_proteins_tr,labels,traceability_code,nutriment_energy_tr,nutriment_saturated-fat_tr,nutriment_sugars_tr,nutriment_salt_tr,nutriment_sodium_tr,eco_score,categories,nutriment_energy-kj_tr_diff,nutriment_energy-kcal_tr_diff,nutriment_fat_tr_diff,nutriment_carbohydrates_tr_diff,nutriment_proteins_tr_diff,Agriculture,Transformation,Conditionnement,Transport,Distribution,Consommation,Score_ACV,brand,quantity,markets,fats_lipids_quantity,fats_lipids_comment,saturated_acids_quantity,saturated_acids_comment,sugar_quantity,sugar_comment,salt_quantity,salt_comment,nutriment_energy_tr_diff,nutriment_saturated-fat_tr_diff,nutriment_sugars_tr_diff,nutriment_salt_tr_diff,nutriment_sodium_tr_diff,nutriment_nutrition-score-fr_tr,nutriment_nutrition-score-fr_tr_diff,nutriment_nutriscore_tr,nutriment_nutriscore_tr_diff,packaging,manufacturing,allergens,nova_score,ingredients_origins,additives,link,generic_name,brand_owner
573,shatter stone - SOVEX - 500ml,5603728305300,['France'],"['Hydrophilic Extract Alcohol free SHATTER STONE ', 'Phyllanthus nirur', ' COMPLEX SOVEX 500ml Food Supplement With sweetener Ingredients: Purified water', 'shatter stone/herb', 'liquid extract ', '1:3', ' ', 'Phyllanthus niruri', ' 2%', 'horsetail/aerial parts', 'liquid extract ', '1', '3', ' ', 'Equisetum arvense', ' 2%', 'maize/stigmas', 'iiqusd extract ', '1:3', ' ', 'Zea mays', ' 2%', 'common juniper/berries', 'liquid extract ', '1:3', ' uniper communis', ' 0,33%', 'radish noir/root', 'liquid extract ', '1:3', ' ', 'Raphanus sativus', ' 0,33 %', 'thyme/herb', 'liquid extract ', '1:3', ' ', 'Thymus vulgaris', ' 0,33%', 'meadowsweet/herb', 'liquid extract ', '1:3', ' ', 'Filipendula ulmaria', ' 0,33%', 'Java tea/leaves', 'liquid extract ', '1:3', ' ', 'Ortosiphon stamineus', ' 0,33%', 'silver birch/leaves', 'liquid extract ', '1:3', ' ', 'Betula pendula', ' 0,33%', 'common ash/leaves', 'liquid extract ', '1:3', ' ', 'Fraxinus excelsior', ' 0,33%', 'dandelion/root', 'dry extract ', '5:1', ' ', 'Taraxacum officinale', ' 0,33%', 'billberry/fruit', 'dry extract ', '5:1', ' ', 'Vaccinium myrtillus', ' 0,33%', 'black elderflower', 'dry extract ', '5:1', ' ', 'Sambucus nigra', ' 0,33%', 'passion flower/leaves and flower', 'dry extract ', '5:1', ' ', 'Passiflora incarnata', ' 0,33%', 'saw pameto/fruit', 'dry extract to 45% fat acids ', 'Serenoa repens', ' 0,33%', 'antioxidant: L - ascorbic acid', 'stabilizer: xanthan gum', 'preserving: potassium sorbate', 'sweetener: saccharin', "" Directions: Take 15ml twice a day mixed in a 1/2 glass of water Don't exceed the stated recommended daily dose"", ' The safety of use of this product in pregnancy and nursing has not been determinate', ""therefore we don't recommend its intake in these conditions"", ' Store in a cool ', '< 25°C', ' dry place and away from direct light', "" The product shouldn't be used in case of hypersensitivity or allergy to any of the constituents of the formulation"", ' Keep out of reach and vision of children', "" This product shouldn't be used as a substitute for a varied diet"", "" It's important to maintain a varied diet"", 'and a balanced and healthy lifestyle']",[],?,?,?,?,?,,,,,,,,,,,,,,,,,,,,,,['SOVEX'],500ml,,,,,,,,,,,,,,,,,,,['Bouteille'],,,4,,"['E300 - Acide ascorbique', 'E415 - Gomme xanthane', 'E202 - Sorbate de potassium', '', 'Risque élevé de sur-exposition', 'E954 - Saccharine et ses sels']",,,
574,8 P'tits Pains - 280g,3662444003336,['France'],[],[],?,325,"8,1",53,"9,2","['Kascher', 'Fabriqué en France']",,1360 kj(325 kcal),"2,5",12,"1,2","0,48",,,,,,,,,,,,,,,,280 g,,,,,,,,,,,,,,,,,,,,,,,,,,,
575,Vin,3330620008856,['France'],[],[],?,?,?,?,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
576,Jambon sup ac fe 4tr pp,2245699020535,['France'],[],[],?,155,8,"0,8",20,"['Viande Française', 'Viande Porcine Française']","['EMB 14752B', 'Villers-Bocage (Calvados, France)', 'FR 14.752.020 CE', 'Villers-Bocage (Calvados, France)']",649 kj(155 kcal),"3,5","0,8",2,"0,8",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
577,Dani Sal Gruesa (thick Marine Salt),8410721000876,['France'],[],[],?,?,?,?,?,,,,,,,,,,,,,,,,,,,,,,['Dani'],,,,,,,,,,,,,,,,,,,,,,,,,,,,
578,Alioli - Spar,8480013061519,"['France', 'Espagne']",[],[],?,399,"41,9","4,4","1,1","['Sans gluten', 'Sans lactose']",,1669 kj(399 kcal),"5,6","3,3",1,"0,4",D,"['Epicerie', 'Sauces', 'Aïolis']",,-35%,-36%,+23%,-23%,81.4%,9.6%,3.6%,3.4%,1.6%,0.4%,47,['Spar'],,,41.9 g,en quantité élevée,5.6 g,en quantité élevée,3.3 g,en faible quantité,1 g,en quantité modérée,-34%,-18%,+177%,-21%,-21%,13,-29%,D,-29%,,,,,,,,,
579,Ribs de boeuf à la Texane,0212277067833,['France'],[],[],?,229,17,2,18,,,958 kj(229 kcal),"8,4","0,7","2,3","0,92",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
580,Strawberry white chocolate,7350000151282,['France'],[],[],?,373,15,34,33,,,1561 kj(373 kcal),"8,3","3,3","0,19","0,076",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
581,Broeder Jacob Beiaardbier Amber 33 CL Fles,5425028290793,['France'],[],[],?,?,?,?,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
582,Bâtonnets saveur crabe - U - 500g,3256220172332,['France'],[],[],?,?,?,?,?,,,,,,,,B,"['Produits de la mer', 'Poissons', 'Préparations de poisson', 'Surimi']",,,,,,52.0%,22.5%,10.3%,8.6%,5.2%,1.4%,92,['U'],500 g,,,,,,,,,,,,,,,,,,,,,,,,,,,
583,Grand padano AOP,2441851026708,['France'],[],[],?,384,28,0,33,,,1607 kj(384 kcal),18,0,"1,6","0,64",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
584,Chocolate Con Azafrán Eco,8437010184871,['France'],[],[],?,561,"35,9","47,6","11,8",,,2347 kj(561 kcal),23,"27,1","0,01","0,004",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
585,Matcha Green tea - Häagen-Dazs,3415580703444,['France'],[],[],?,237,"13,5","24,2","4,3",,,992 kj(237 kcal),"7,7","16,1","0,19","0,076",,,,,,,,,,,,,,,['Häagen-Dazs'],,,,,,,,,,,,,,,,,,,,,,,,,,,,
586,Jambon cuit supérieur 10 tranches,3482001722193,['France'],[],[],?,146,"6,1","0,5","21,2",,"['FR 21.464.002 CE', ""Nuits-Saint-Georges (Côte-d'Or, France)""]",611 kj(146 kcal),"2,4","0,5","1,5","0,6",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
587,Véritable cassoulet de castelnaudary au canard,3288961027510,['France'],[],[],?,154,"7,8","10,7","10,1",,,644 kj(154 kcal),3,"0,2","0,84","0,336",C,"['Plats préparés', 'Produits à la viande', 'Plats préparés à la viande', 'Plats à la volaille', 'Plats à base de haricots', 'Plats au canard', 'Cassoulets', 'Cassoulets au confit de canard', 'Cassoulet de castelnaudary', 'Cassoulet de castelnaudary au canard']",,+4%,+8%,+33%,-4%,66.0%,17.7%,6.2%,5.5%,2.7%,2.0%,72,,,,7.8 g,en quantité modérée,3 g,en quantité modérée,0.2 g,en faible quantité,0.84 g,en quantité modérée,+4%,+9%,-60%,+6%,+6%,1,,B,,,,,,,,,,
588,Confiture rhubarbe orange - André Guépratte,3278930000095,['France'],[],[],?,?,?,?,?,,,,,,,,D,"['Aliments et boissons à base de végétaux', ""Aliments d'origine végétale"", 'Produits à tartiner', 'Petit-déjeuners', 'Pâtes à tartiner végétales', 'Produits à tartiner sucrés', 'Confitures et marmelades', 'Confitures', 'Confitures de rhubarbe']",,,,,,75.0%,7.5%,10.3%,5.1%,1.7%,0.4%,50,['André Guépratte'],,,,,,,,,,,,,,,,,,,,,,,,,,,,
589,Cousous Mitjã  1KG - 1kg,3760105896744,['France'],[],[],?,?,?,?,?,,,,,,,,,,,,,,,,,,,,,,,1 kg,,,,,,,,,,,,,,,,,,,,,,,,,,,
590,Grand jasmin dao ren mao feng - Palais des Thés,3700256728433,['France'],[],[],?,?,?,?,?,,,,,,,,,,,,,,,,,,,,,,['Palais des Thés'],,,,,,,,,,,,,,,,,,,,,,,,,,,,
591,Jambon Le p'tit Saintongeais,2497667026630,['France'],[],[],?,114,"2,8","0,5","21,5",,"['FR 87.168.001 CE', 'Saint-Mathieu (Haute-Vienne, France)']",477 kj(114 kcal),"1,1","0,5","1,9","0,76",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
592,Escargots aux Pépites de chocolat,2010000013779,['France'],[],[],?,?,?,?,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
593,Poitrine fumée,0286066041069,['France'],[],[],?,266,21,"0,5","19,3",,,1113 kj(266 kcal),"8,8","0,5","3,3","1,32",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
594,Lait pistache - Nestlé - 0.25kg,2090000010442,['France'],[],[],?,?,?,?,?,,,,,,,,,,,,,,,,,,,,,,['Nestlé'],0.25 kg,,,,,,,,,,,,,,,,,,,['Pot'],,,,,,,,
595,Beurre de chocolat blanc - 0.2599999904632568kg,8384000005985,['France'],[],[],?,?,?,?,?,,,,,,,,,,,,,,,,,,,,,,,0.2599999904632568 kg,,,,,,,,,,,,,,,,,,,['Pot'],,,,,,,,
596,Court-bouillon aux algues - Groix & Nature - 100g,3760056418576,['France'],[],[],?,162,"3,1",17,"7,1",,,678 kj(162 kcal),"0,4",13,"14,2","5,68",,"['Epicerie', 'Produits déshydratés', 'Produits lyophilisés à reconstituer', 'Bouillons', 'Bouillons déshydratés']",,+1%,-45%,-17%,+35%,,,,,,,,['Groix & Nature'],100 g,,,,,,,,,,-3%,-85%,+131%,-43%,-43%,,,,,,,,,,,,,
597,Mahi-Mahi,6091315900103,['France'],[],[],?,84,"0,7",0,"18,5",,,351 kj(84 kcal),"0,2",0,"0,88","0,352",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
598,Noix de savoie sechee fumee,2309614005066,['France'],[],[],?,196,"9,1","1,8","26,6",,,820 kj(196 kcal),"3,3","0,3","6,08","2,432",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
599,Bagel nature,2681301000012,['France'],[],[],?,?,?,?,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
600,Tortellonis Espinacas Y Piñones (vegano) 250G - Natursoy,8428159006797,"['France', 'Espagne']",[],"['Végétalien', 'Végétarien']",?,164,"2,2","41,1","3,9","['Végétarien', 'Végétalien']",,686 kj(164 kcal),"0,2","0,7","0,7","0,28",,"['Aliments et boissons à base de végétaux', ""Aliments d'origine végétale"", 'Céréales et pommes de terre', 'Céréales et dérivés', 'Pâtes alimentaires']",,-51%,-15%,-33%,-66%,,,,,,,,['Natursoy'],,,2.2 g,en faible quantité,0.2 g,en faible quantité,0.7 g,en faible quantité,0.7 g,en quantité modérée,-51%,-71%,-75%,+230%,+230%,3,,C,,,,,,,,,,
601,Gnocchi,3760275810878,['France'],[],"['Végétalien', 'Végétarien']",?,136,"0,31","31,43","1,91","['Bio', 'Végétarien', 'Bio européen', 'en:gluten-free', 'Végétalien', 'IT-BIO-009']",,569 kj(136 kcal),"0,07","0,16","1,17","0,468",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
602,Haricots verts extra-fins - U - 1kg,3256224871309,['France'],['HARICOTS VERTS EXTRA FINS'],"['Sans huile de palme', 'Végétalien', 'Végétarien']",159,38,"< 0,5","3,7","2,1",,,159 kj(38 kcal),"< 0,1","1,3","0,12","0,048",B,"['Aliments et boissons à base de végétaux', ""Aliments d'origine végétale"", 'Légumineuses et dérivés', 'Aliments à base de fruits et de légumes', 'Légumineuses', 'Surgelés', 'Légumes et dérivés', 'Aliments à base de plantes surgelés', 'Légumineuses surgelées', 'Légumes surgelés', 'Haricots verts', 'Haricots verts surgelés']",+10%,+9%,+68%,-14%,+9%,71.3%,0.0%,0.0%,9.8%,14.0%,4.9%,95,['U'],1 kg,,0.5 g,en faible quantité,0.1 g,en faible quantité,1.3 g,en faible quantité,0.12 g,en faible quantité,+11%,+84%,-15%,+474%,+474%,-10,,A,,['Surgelé'],,,1,,,,,
603,Chouquettes,0201161022966,['France'],[],[],?,265,13,31,6,,,1109 kj(265 kcal),"8,4",15,"0,62","0,248",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
604,Sirop 0% sucre Menthe verte bouteille - Teisseire,3092718597818,['France'],[],[],?,10,0,1,"0,1",,,42 kj(10 kcal),0,1,"0,03","0,012",B,"['Boissons', 'Sirops', 'Sirops aromatisés', 'Sirops de menthe']",,-96%,-100%,-98%,-12%,58.3%,8.5%,16.3%,7.9%,7.3%,1.6%,100,['Teisseire'],,,,,,,,,,,-96%,-100%,-98%,+36%,+36%,,,,,,,,,,,,,
605,Canistrelli Amande,3770012260101,['France'],[],[],?,362,21,31,"9,5","['Sans colorants', 'Sans conservateurs']",,1515 kj(362 kcal),"2,2","1,3","0,46","0,184",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
606,Jus de pomme framboise,3760069350054,['France'],[],[],?,42,"0,03","9,8","0,2",,"['EMB 42271B', 'Saint-Paul-en-Jarez (Loire, France)']",176 kj(42 kcal),"0,001","9,2","0,009","0,004",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
607,Saucisson,2452140044679,['France'],[],[],?,428,33,"2,7",29,,,1791 kj(428 kcal),13,"1,8","4,7","1,88",,"['Viandes', 'Charcuteries', 'Saucissons']",,+11%,+7%,+25%,+15%,,,,,,,,,,,33 g,en quantité élevée,13 g,en quantité élevée,1.8 g,en faible quantité,4.7 g,en quantité élevée,+11%,+9%,+35%,+12%,+12%,25,+7%,E,+7%,,,,,,,,,
608,Saucisse aux pommes de terres,2468512037781,['France'],[],[],?,160,"8,7","8,2",12,,,669 kj(160 kcal),"3,3","0,9","1,5","0,6",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
609,Der süße Knabberhanf,4030414000446,['France'],[],[],?,442,"20,2",1,"14,2",['Bio'],,1849 kj(442 kcal),1,1,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
610,Nectar de mirabelle,3760125980812,['France'],[],[],?,48,"0,5",12,"0,5",,,201 kj(48 kcal),"0,1",11,"0,01","0,004",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
611,Coeurs de pêche,0108412147003981109131,['France'],[],[],?,335,0,78,"4,1",,,1402 kj(335 kcal),0,62,"0,13","0,052",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
612,Andouillette panée,3384110001407,['France'],[],[],?,204,14,"4,5",16,,,854 kj(204 kcal),"6,1","0,8","1,3","0,52",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
613,250 Bonbons Coeurs Guimauve Bleu 1.5KG,3608580733751,['France'],[],[],?,348,"0,5",84,"2,6",,,1456 kj(348 kcal),"0,1",78,"0,018","0,007",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
614,Tagliatellines à la spiruline,3467740095470,['France'],[],[],?,339,"2,5","70,7","14,1",,,1418 kj(339 kcal),"0,46","0,03","0,03","0,012",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
615,M&M Peanut Brand Candiesbl 150.00 GR - Mars,0040000017325,['France'],[],[],?,140,7,"25,4",3,,,586 kj(140 kcal),3,15,"0,15","0,06",,,,,,,,,,,,,,,['Mars'],,,,,,,,,,,,,,,,,,,,,,,,,,,,
616,Poulet fermier label rouge,2209341007213,['France'],[],[],?,117,"2,5","0,5",23,['Label Rouge'],,490 kj(117 kcal),"0,8","0,5","0,1","0,04",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
617,Bavaria Biere sans alcol,8714800034418,['France'],[],[],?,?,?,?,?,,,,,,,,,,,,,,,,,,,,,,['Bavaria'],,,,,,,,,,,,,,,,,,,,,,,,,,,,
618,Terrine de canard au magret fumé,3700697800200,['France'],[],[],?,222,"16,8","0,6","17,2",,,929 kj(222 kcal),"6,5","0,2","1,48","0,592",E,"['Viandes', 'Charcuteries', 'Produits à la viande', 'Terrines', 'Terrines de volailles', 'Terrines de canard']",,-27%,-36%,-65%,+21%,77.8%,15.8%,3.0%,2.2%,1.0%,0.3%,33,,,,16.8 g,en quantité modérée,6.5 g,en quantité élevée,0.2 g,en faible quantité,1.48 g,en quantité modérée,-27%,-32%,-68%,-3%,-3%,14,-22%,D,-22%,,,,,,,,,
619,Mignon fumé,2700000003800,['France'],[],[],?,139,"3,8","0,5","25,7",,"['FR 72.267.001 CE', 'Saint-Aubin-des-Coudrais (Sarthe, France)']",582 kj(139 kcal),"1,5","0,5","4,4","1,76",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
620,Confiture de figues,3859891515011,['France'],[],[],?,289,0,72,1,,,1209 kj(289 kcal),0,66,"0,2","0,08",D,"['Aliments et boissons à base de végétaux', ""Aliments d'origine végétale"", 'Produits à tartiner', 'Petit-déjeuners', 'Pâtes à tartiner végétales', 'Produits à tartiner sucrés', 'Confitures et marmelades', 'Confitures', 'Confitures de figues']",,+25%,-100%,+30%,+36%,75.0%,7.5%,10.3%,5.1%,1.7%,0.4%,50,,,,0 g,en faible quantité,0 g,en faible quantité,66 g,en quantité élevée,0.2 g,en faible quantité,+24%,-100%,+24%,+975%,+975%,12,+27%,D,+27%,,,,,,,,,
621,Bicarbonate de sodium,8718503381404,['France'],[],[],?,0,0,0,0,,,0 kj(0 kcal),0,0,27,"10,8",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
622,Pizza Savoyarde,0206007045598,['France'],[],[],?,260,16,15,14,,,1088 kj(260 kcal),"9,1","0,9","1,9","0,76",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
623,Mochis Glacés thé matcha - 210g,3364699129433,['France'],[],[],?,212,"3,3",44,"1,6",['Fabriqué en France'],,887 kj(212 kcal),"2,7",23,"0,04","0,016",,"['Desserts', 'Surgelés', 'Desserts glacés', 'Mochi glacés']",,-10%,-49%,+5%,-23%,,,,,,,,,210 g,,3.3 g,en quantité modérée,2.7 g,en quantité modérée,23 g,en quantité élevée,0.04 g,en faible quantité,-10%,-37%,-15%,-52%,-52%,9,-20%,C,-20%,,,,,,,,,
624,Champignons ail et fines herbes,3342281508217,['France'],[],[],?,130,12,"2,5","1,9",,,544 kj(130 kcal),"0,9","1,8","1,3","0,52",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
625,Saucisson cuit a l'ail,0246147031686,['France'],[],[],?,179,"12,5","1,5",16,,,749 kj(179 kcal),"4,4","1,1",3,"1,2",E,"['Viandes', 'Charcuteries', 'Saucissons', ""Saucissons à l'ail""]",,-34%,-44%,+36%,0%,80.5%,12.7%,2.9%,1.1%,0.6%,2.3%,21,,,,12.5 g,en quantité modérée,4.4 g,en quantité modérée,1.1 g,en faible quantité,3 g,en quantité élevée,-35%,-49%,+54%,+42%,+42%,16,-17%,D,-17%,,,,,,,,,
626,Gewurztraminer Vendanges Tardives Moltes,3760079260190,['France'],[],[],?,?,?,?,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
627,Pomme de terre Princesse Amandine,3700013202190,['France'],[],[],?,319,"0,22","15,8",2,,,1335 kj(319 kcal),"0,03","0,51","0,098","0,039",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
628,Poulet au curry - 200g,3339230002223,['France'],[],[],?,160,"9,14","2,75","16,4",,"['FR 94.081.006 CE', 'Vitry-sur-Seine (Val-de-Marne, France)']",669 kj(160 kcal),"3,3","1,86","0,64","0,256",,,,,,,,,,,,,,,,200 g,,,,,,,,,,,,,,,,,,,,,,,,,,,
629,Schnitzer pasta spaghetti,4022993045147,['France'],[],[],?,360,"1,5",78,"7,5",,,1506 kj(360 kcal),"0,4",2,"0,45","0,18",,,,,,,,,,,,,,,['Schnitzer'],,,,,,,,,,,,,,,,,,,,,,,,,,,,
630,Salade bretonne - Leclerc,0209024014967,['France'],[],[],?,131,"8,6","3,1","9,7",,,548 kj(131 kcal),"4,1","0,8","2,2","0,88",,"['Plats préparés', 'Salades', 'Salades composées']",,-14%,-4%,-69%,+75%,,,,,,,,['Leclerc'],,,8.6 g,en quantité modérée,4.1 g,en quantité modérée,0.8 g,en faible quantité,2.2 g,en quantité élevée,-13%,+204%,-65%,+150%,+150%,14,+821%,D,+821%,,,,,,,,,
631,Filets de Poulets - Carrefour,0219966033193,['France'],[],[],?,?,?,?,?,"['Viande Française', 'Volaille-francaise']","['FR 85.084.001 CE', 'Essarts (Vendée, France)']",,,,,,D,"['Viandes', 'Volailles', 'Poulets', 'Filets de poulet']",,,,,,83.4%,9.5%,2.7%,2.7%,1.4%,0.4%,44,['Carrefour'],,['Carrefour'],,,,,,,,,,,,,,,,,,"['Frais', 'Sous vide']",['France'],,,,,,,
632,8 Pains au lait BIO Pur Beurre,990530101003654190,['France'],[],[],?,372,14,53,9,"['Bio', 'Bio européen', 'Agriculture UE/Non UE', 'FR-BIO-09', 'AB Agriculture Biologique']",,1556 kj(372 kcal),"8,8",12,"1,14","0,456",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
633,Bizcocho - 235g,8413908500138,['France'],[],[],?,429,21,56,"5,1",,,1795 kj(429 kcal),3,36,"0,65","0,26",,,,,,,,,,,,,,,,235 g,,,,,,,,,,,,,,,,,,,,,,,,,,,
634,Sauce bearnaise - Heinz - 260g,3660603445775,['France'],[],[],?,477,"50,9",4,"0,5",,,1996 kj(477 kcal),"3,8","1,8","2,1","0,84",D,"['Epicerie', 'Sauces', 'Sauces béarnaises']",,+8%,+16%,-17%,-57%,82.5%,9.1%,4.3%,2.2%,1.2%,0.8%,39,['Heinz'],260 g,,50.9 g,en quantité élevée,3.8 g,en quantité modérée,1.8 g,en faible quantité,2.1 g,en quantité élevée,+12%,-33%,-25%,+30%,+30%,17,+4%,D,+4%,,,,,,,,,
635,Smarties llama édition - Nestlé,7613036967556,['France'],[],[],?,480,"19,6","69,9","5,2",,,2008 kj(480 kcal),"11,3","64,4","0,1","0,04",,,,,,,,,,,,,,,['Nestlé'],,,,,,,,,,,,,,,,,,,,,,,,,,,,
636,dry roast peanuts,5390575100423,['France'],[],[],?,608,"46,9","18,2","28,4",,,2544 kj(608 kcal),"7,4","1,4","1,2","0,48",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
637,Mousse pur canard - Carrefour,2227152014305,['France'],[],[],?,375,36,"4,2",9,['Fabriqué en France'],"['EMB 22272F', ""Saint-Agathon (Côtes-d'Armor, France)""]",1569 kj(375 kcal),12,"4,2","1,7","0,68",,,,,,,,,,,,,,,['Carrefour'],,['Carrefour'],,,,,,,,,,,,,,,,,,,,,,,,,,
638,Volvic matcha thé vert,2057634525568,['France'],[],[],?,10,"0,5","2,3","0,5","['Bio', 'Bio européen', 'AB Agriculture Biologique']",,42 kj(10 kcal),0,"2,3","0,01","0,004",,,,,,,,,,,,,,,['Volvic'],,,,,,,,,,,,,,,,,,,,,,,,,,,,
639,Saveur Court-bouillon,3346904020476,['France'],[],[],?,?,?,?,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
640,Crevette cuite,0205330026441,['France'],[],[],?,?,?,?,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
641,Krautsalat - Gustoria,24898812,"['France', 'Allemagne']",[],[],?,?,?,?,?,,,,,,,,B,"['Plats préparés', 'Salades', 'Salades composées', 'Entrées', 'Coleslaw']",,,,,,37.1%,36.0%,10.3%,10.1%,5.2%,1.4%,92,['Gustoria'],,,,,,,,,,,,,,,,,,,,['Kunststoff'],,,,,,,,
642,Massa,6949235700917,['France'],[],[],?,?,?,?,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
643,Graines de courge bio,2218437001974,['France'],[],[],?,?,?,?,?,['Bio'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
644,Confiture de Mûre - Le Pressoir des Gourmands,3760027744598,['France'],[],[],?,274,"0,7",63,"1,2",,,1146 kj(274 kcal),"0,1",63,"0,01","0,004",D,"['Aliments et boissons à base de végétaux', ""Aliments d'origine végétale"", 'Produits à tartiner', 'Petit-déjeuners', 'Pâtes à tartiner végétales', 'Produits à tartiner sucrés', 'Confitures et marmelades', 'Gelées de fruits', 'Gelées de mûres']",,+13%,+105%,+6%,+169%,75.0%,7.5%,10.3%,5.1%,1.7%,0.4%,50,['Le Pressoir des Gourmands'],,,0.7 g,en faible quantité,0.1 g,en faible quantité,63 g,en quantité élevée,0.01 g,en faible quantité,+12%,+32%,+10%,+6%,+6%,13,+11%,D,+11%,,,,,,,,,
645,Sugo all'arrabbiata,8032035196085,['France'],[],[],?,92,"3,7","14,1","1,9","['en:gluten-free', 'Sans colorants', 'Sans conservateurs']",,385 kj(92 kcal),"0,5","8,6","1,72","0,688",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
646,Pickles em vinagre,5604253034932,['France'],[],[],?,?,?,?,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
647,Pomme de table - 2kg,3760108790407,['France'],[],[],?,?,?,?,?,,,,,,,,,,,,,,,,,,,,,,,2 kg,,,,,,,,,,,,,,,,,,,,,,,,,,,
648,Perfection bar - Body&fit - 60g,8718774007331,['France'],[],[],?,336,"12,6","24,5","33,7",,,1406 kj(336 kcal),"6,8","3,4","0,27","0,108",,"['Snacks', 'Snacks sucrés', 'Barres']",,-25%,-39%,-56%,+302%,,,,,,,,['Body&fit'],60 g,,12.6 g,en quantité modérée,6.8 g,en quantité élevée,3.4 g,en faible quantité,0.27 g,en faible quantité,-26%,-24%,-90%,-22%,-22%,11,-36%,D,-36%,,,,,,,,,
649,Dulce de leche - los nietitos,7730124384511,"['France', 'Espagne']",[],[],?,310,7,55,6,['Sans conservateurs'],,1297 kj(310 kcal),"4,5",48,"0,35","0,14",B,"['Produits à tartiner', 'Petit-déjeuners', 'Produits à tartiner sucrés', 'Confitures de lait']",,+4%,+26%,-0%,-8%,46.2%,16.3%,23.6%,9.1%,3.8%,1.0%,85,['los nietitos'],,,7 g,en quantité modérée,4.5 g,en quantité modérée,48 g,en quantité élevée,0.35 g,en quantité modérée,+5%,+39%,-6%,+4%,+4%,18,+8%,D,+8%,,,,,,,,,
