,name,bar_code,eco_score,quantity,packaging,brand,categories,labels,manufacturing,link,sales_countries,ingredients_list,allergens,ingredients_analysis,nova_score,nutriment_energy-kj_tr,nutriment_energy-kj_tr_diff,nutriment_energy-kcal_tr,nutriment_energy-kcal_tr_diff,nutriment_fat_tr,nutriment_fat_tr_diff,nutriment_carbohydrates_tr,nutriment_carbohydrates_tr_diff,nutriment_proteins_tr,nutriment_proteins_tr_diff,Agriculture,Transformation,Conditionnement,Transport,Distribution,Consommation,Score_ACV,fats_lipids_quantity,fats_lipids_comment,saturated_acids_quantity,saturated_acids_comment,sugar_quantity,sugar_comment,salt_quantity,salt_comment,nutriment_energy_tr,nutriment_energy_tr_diff,nutriment_saturated-fat_tr,nutriment_saturated-fat_tr_diff,nutriment_sugars_tr,nutriment_sugars_tr_diff,nutriment_salt_tr,nutriment_salt_tr_diff,nutriment_sodium_tr,nutriment_sodium_tr_diff,nutriment_nutrition-score-fr_tr,nutriment_nutrition-score-fr_tr_diff,nutriment_nutriscore_tr,nutriment_nutriscore_tr_diff,generic_name,ingredients_origins,traceability_code,additives,markets,palm_ingredients,brand_owner
1718,Cacauets Amb Closca Torrats Frit Ravich,8410564002143,,,,['Frit ravich'],"['Aliments et boissons à base de végétaux', ""Aliments d'origine végétale"", 'Fruits à coques et dérivés']",,,,"['France', 'Espagne']",['Arachides en coque'],,[],,?,,8.5,-98%,11,-75%,10,-47%,27,+69%,,,,,,,,11 g,en quantité modérée,8.5 g,en quantité élevée,4.2 g,en faible quantité,0 g,en faible quantité,36 kj(8 kcal),-98%,"8,5",+53%,"4,2",-54%,0,-100%,0,-100%,-2,-131%,A,-131%,,,,,,,
1719,Pipes Pelades 150G Frit Ravich (Sense Gluten),8410564008305,,,,['Frit ravich'],['Matières grasses'],,,,['France'],"['GRRINES DE TOURNESOL ', '!ngrédients', ' Graines de tournesol décortiquées', 'graisse végétate de palme', 'sel huile de tournesol', ""Peut contenir des traces d'arachides et de fruits à coque,""]",,[],,?,,659,-18%,59,-33%,"2,6",+1061%,26,+14589%,,,,,,,,59 g,en quantité élevée,8.1 g,en quantité élevée,2.6 g,en faible quantité,0.83 g,en quantité modérée,2757 kj(659 kcal),-18%,"8,1",-64%,"2,6",+1505%,"0,83",+326%,"0,332",+326%,7,-38%,C,-38%,,,,,,,
1720,Cocteleo Curry 140 G. - Frit Ravich,8410564012074,,,,['Frit Ravich'],"['Snacks', 'Snacks salés']",,,,"['France', 'Espagne']",[],,[],,?,,529,+15%,30,+24%,47,-1%,14,+65%,,,,,,,,30 g,en quantité élevée,4.5 g,en quantité modérée,3.5 g,en faible quantité,1.5 g,en quantité modérée,2213 kj(529 kcal),+15%,"4,5",+6%,"3,5",+7%,"1,5",-3%,"0,6",-3%,16,+31%,D,+31%,,,,,,,
1721,Frit Ravich - Pignon De Pain China,8410564021113,,,,['Pignon De Pain China'],,,,,['France'],"['et de à coque', ' PINONES']",,"['Non végétalien', 'Non végétarien']",,?,,626,,54,,"4,9",,29,,,,,,,,,,,,,,,,,2619 kj(626 kcal),,"5,5",,"4,9",,0,,0,,,,,,,,,,,,
1722,Puntazos - Aspil - 48g,8410573023702,B,48g,['Plastic'],['Aspil'],"['Snacks', 'Snacks salés', 'Apéritif', 'Biscuits apéritifs', 'Biscuits apéritifs soufflés', 'Biscuits apéritifs soufflés à base de maïs']","['en:gluten-free', ""À l'huile de tournesol""]",,,['France'],"[""'IJZ€ PRODUŒSOUFFLÉÀ BASE DE BARBECUE ln rédientss Semoule de mils"", 'semoule de riz', 'huile tournesol ', '19%', 'babecue ', 'préparations et arômes artificiels', 'de fumée', 'maltodextrine', 'sel', 'épices', 'exhau$,etr,: goûtE*621', 'E-631', 'E-627 et colorant E-16Cclz des traces de Jactose/dérivés', ' À dans un >ndmitfrais et sec à rab ri de la']",,[],4,?,,451,-10%,17,-33%,66,+16%,"5,8",-35%,60.4%,21.2%,8.3%,6.3%,3.8%,0.0%,82,17 g,en quantité modérée,2.1 g,en quantité modérée,4.9 g,en faible quantité,2.2 g,en quantité élevée,1887 kj(451 kcal),-10%,"2,1",-40%,"4,9",+40%,"2,2",+16%,"0,88",+16%,15,+1%,D,+1%,Puntazos sabor Explosivo,,,"['E631 - Inosinate disodique', 'E627 - Guanylate disodique']",,,
1723,Mosto - Castillo de Salobreña,8410577119029,,,,['Castillo de Salobreña'],,,,,['France'],[],,[],,?,,15,,"0,05",,"3,8",,"0,05",,,,,,,,,,,,,,,,,63 kj(15 kcal),,"0,01",,"2,7",,"0,02",,"0,008",,,,,,,,,,,,
1724,Bebida Refrescante Aromatizada,8410600003035,,,,,['es:refresco'],,,,"['France', 'Espagne']",[],,[],,?,,42,+56%,0,-100%,"10,4",+76%,0,-100%,,,,,,,,0 g,en faible quantité,0 g,en faible quantité,10.4 g,en quantité modérée,0.03 g,en faible quantité,176 kj(42 kcal),+64%,0,-100%,"10,4",+120%,"0,03",-31%,"0,012",-31%,2,-10%,B,-10%,,,,,,,
1725,Mantecado de Canela - Manzano Gamiti Hnos,8410609102487,,,,"['Manzano Gamiti Hnos', 'el-santi.com']",,,,,['France'],"['Produkt aus Spanien', 'Zimtpulver', 'Schweineschmalz', 'Sesam', '0', '706', 'Schmalzgebäck mit Zimt', 'Rosmarin', 'Zucker', 'Weizenmehl', 'RECICLA Al Azul RECICLA Al Amarillo', 'Antioxidant']","['Gluten', 'Graines de sésame']",[],,?,,504,,"23,8",,66,,"5,4",,,,,,,,,,,,,,,,,2109 kj(504 kcal),,"9,85",,"20,6",,0,,0,,,,,,,,,,,,
1726,Surtido especial Azul - El Patriarca,8410611421668,,,,['El Patriarca'],"['Snacks', 'Snacks sucrés', 'Confiseries', 'Aliments et boissons de Noël', 'Confiseries de Noël']",['Concours International des Vins et Spiritueux VINUS'],,,"['France', 'Espagne']","['HARINA DE TRIGO', 'azücar', 'grasa animal', 'ALMENDRA ', '3%', 'grasa vegetal ', 'girasol', 'coco', ' en proporción variable', 'mantea de cacao', 'LECHE', 'coco', 'cacao', 'arroz inflado', 'pasta de cacao', 'VINO', 'AVELIANA ', '1%', 'AJONJ0Li', 'canela', 'galleta', 'maiz', 'obleas', 'sal', 'ALBÜMINA aromas', 'Emulgentes', 'LECITINA DE SOJA y E-420i', 'Antioxidantes ', 'E-304', 'E-306 y E-320', ' y Conservantes ', 'E-200 y E-202', ' En esta fibrica se utiliza: cereales con gluten', 'huevos', 'cacahuetes', 'soja', 'leche', 'frutos de cascara', 'sésamo y sulfitos']","['Œufs', 'Gluten', 'Lait', 'Fruits à coque', 'Arachides', 'Graines de sésame', 'Soja', 'Anhydride sulfureux et sulfites']","[""Pourrait contenir de l'huile de palme"", 'Non végétalien']",4,?,,489,-4%,"26,41",-11%,"57,21",+21%,"5,78",-47%,,,,,,,,26.4 g,en quantité élevée,11.2 g,en quantité élevée,24.8 g,en quantité élevée,0.075 g,en faible quantité,2046 kj(489 kcal),-4%,"11,16",+99%,"24,81",-38%,"0,075",+1%,"0,03",+1%,21,+25%,E,+25%,,,,"['E420i - D-glucitol', 'E304 - Acide palmityle-6-L-ascorbique', 'E306 - Extrait riche en tocophérols', 'E320 - Butylhydroxyanisol', 'E200 - Acide sorbique', '', 'Risque élevé de sur-exposition', 'E202 - Sorbate de potassium', '', 'Risque élevé de sur-exposition']",,"[""E304 - Palmitate d'ascorbyle""]",
1727,Formatge Sabanitas Classic 150G Especial Per Fondre,8410634080088,,,,,,,,,['France'],[],,[],,?,,237,,17,,8,,13,,,,,,,,,,,,,,,,,992 kj(237 kcal),,11,,4,,"3,1",,"1,24",,,,,,,,,,,,
1728,Olives vertes farcis aux anchois -,8410667005805,B,,,,"['Aliments et boissons à base de végétaux', ""Aliments d'origine végétale"", 'Pickles', ""Produits de l'olivier"", ""Pickles d'origine végétale"", 'Olives', 'Olives vertes', 'Olives farcies', 'Olives vertes farcies', ""Olives vertes farcies à l'anchois""]",,,,['France'],"['eau', 'olives GREEN MANE ANILL OLIVES STUFFED WITH ANCHOVT AS VERDES ANCHOA Stanzanilla Fina', ' s trituradas 6% vertes ', 'Manzanilla Fina', 'anchois triturées 6% green olives Mamle Fina', 'minced andhoie ablicante alginato ', 'anchois', 'stabilisant: alginate 6% ', 'anchovy,stale de sodium', 'exhausteur de goût ', 'glutamate monosodique', 'sel', 'acidifiant ', 'acide citrique et acide lactique', 'antioxydant ', 'acide ascorbique', ' PASTEURISE', ' A PREFERENTEMENTE CONSOMMER DE PRÉFÉERENCE AVANT FIN/LOT/CALIBRE: VOIR COUVERCLE', ' ALLERGENES: Contient des ALLERGENS Con POISSONS ', 'Anchois', ' sodium alginate a enhancer ', 'monosi glutamate', ',acr ', 'citric acid andk acid', 'antioiden ', 'ascorbicad PASTEURIZED E CONSUMED BEFORE SIZE: PRINTED ON patenciador del sabor tes facido citrice tca', ',antioxidante ascorbico', ' ASTEURIZADO OE/LOTE/CALIBRE: VERLA TAPA ENOS: Contiene ESLIDO ', 'Anchoa', ' FISH ', 'Anchonyp PHODUCTO DE ESPAÑA ESPAGNE /PRODUCT OF SPAIN PESO ESOU PESO NETO POIDS NET: NET WEIGHT NET DRAINED PRIMERA WFORMACIÓN NUTRICIONAL NITRITIONELLES/NUTRITIONAL VALUES s pea 100 de producto/Pour 100 g /Per 100 g 292g 120% 641 k ']",['Poisson'],"['Non végétalien', 'Non végétarien']",4,?,,156,+3%,"16,2",+7%,0,-100%,"1,3",-3%,33.7%,0.2%,40.3%,17.4%,6.7%,1.8%,95,16.2 g,en quantité modérée,3 g,en quantité modérée,0 g,en faible quantité,3.7 g,en quantité élevée,653 kj(156 kcal),+3%,3,+9%,0,-100%,"3,7",+19%,"1,48",+19%,13,+7%,D,+7%,,,,"['E400 - Acide alginique', 'E621 - Glutamate monosodique', '', 'Risque élevé de sur-exposition', 'E330 - Acide citrique', 'E270 - Acide lactique', 'E300 - Acide ascorbique', 'E401 - Alginate de sodium']",,,
1729,Galets - Auchan,8410693800658,,,,['Auchan'],,,,,['France'],[],,[],,?,,349,,"1,5",,70,,12,,,,,,,,,,,,,,,,,1460 kj(349 kcal),,"0,3",,"2,9",,,,,,,,,,,,,,['Auchan'],,
1730,Churros,8410705023983,,,,,,['Sans conservateurs'],,,['France'],[],,[],,?,,342,,16,,42,,"5,9",,,,,,,,,,,,,,,,,1431 kj(342 kcal),,"2,1",,"2,4",,"1,5",,"0,6",,,,,,,,,,,,
