,name,bar_code,eco_score,quantity,packaging,brand,categories,labels,manufacturing,link,sales_countries,ingredients_list,allergens,ingredients_analysis,nova_score,nutriment_energy-kj_tr,nutriment_energy-kj_tr_diff,nutriment_energy-kcal_tr,nutriment_energy-kcal_tr_diff,nutriment_fat_tr,nutriment_fat_tr_diff,nutriment_carbohydrates_tr,nutriment_carbohydrates_tr_diff,nutriment_proteins_tr,nutriment_proteins_tr_diff,Agriculture,Transformation,Conditionnement,Transport,Distribution,Consommation,Score_ACV,fats_lipids_quantity,fats_lipids_comment,saturated_acids_quantity,saturated_acids_comment,sugar_quantity,sugar_comment,salt_quantity,salt_comment,nutriment_energy_tr,nutriment_energy_tr_diff,nutriment_saturated-fat_tr,nutriment_saturated-fat_tr_diff,nutriment_sugars_tr,nutriment_sugars_tr_diff,nutriment_salt_tr,nutriment_salt_tr_diff,nutriment_sodium_tr,nutriment_sodium_tr_diff,nutriment_nutrition-score-fr_tr,nutriment_nutrition-score-fr_tr_diff,nutriment_nutriscore_tr,nutriment_nutriscore_tr_diff,generic_name,ingredients_origins,traceability_code,additives,markets,palm_ingredients,brand_owner
95,Ginko Mini Sticks édulcorant Cristal 100 sticks 80 g,3760079410175,,,,['Ginko'],,['en:gluten-free'],,,['France'],['Edulcorant de table à base de sucralose'],,[],,?,,0,,0,,"97,5",,0,,,,,,,,,,,,,,,,,0 kj(0 kcal),,0,,"97,5",,0,,0,,,,,,,,,,,,
96,Flageolet,3760080430315,B,,['Barquette'],,"['Aliments et boissons à base de végétaux', ""Aliments d'origine végétale"", 'Légumineuses et dérivés', 'Conserves', 'Légumineuses', 'Aliments à base de plantes en conserve', 'Légumineuses en conserve', 'Haricots en conserve', 'Flageolets en conserve']",,,,['France'],[],,[],,?,,84,-2%,"0,4",-44%,"11,2",-5%,"6,3",+20%,21.5%,38.3%,18.4%,8.4%,5.2%,8.2%,92,0.4 g,en faible quantité,0.1 g,en faible quantité,0.8 g,en faible quantité,1 g,en quantité modérée,351 kj(84 kcal),-3%,"0,1",-32%,"0,8",+45%,1,+35%,"0,4",+35%,2,,B,,,,,,,,
97,Jus de pomme clair,3760080520061,,,,,,"['Sans sucre ajouté', 'Sans colorants', 'Sans conservateurs']",,,['France'],[],,[],,?,,42,,0,,10,,"0,27",,,,,,,,,,,,,,,,,176 kj(42 kcal),,0,,"9,5",,0,,0,,,,,,,,,,,,
98,Armoric Emincés de saumon fumé BIO la barquette de 100 g,3760083782015,E,,,['Armoric'],"['Produits de la mer', 'Poissons', 'Saumons', 'Poissons fumés', 'Saumons fumés']",['Bio'],,,['France'],"['Saumon Atlantique* ', 'Salmo salar', "" issu d'animaux nourris sans 0GM "", '<0,9%', ' conformément à la règlementation relative à la production biologique ', '97,2 %', 'sel ', '2,8%', "" *produit issu de l'agriculture biologique""]",,"['Non végétalien', 'Non végétarien']",3,?,,195,+5%,12,+14%,"0,6",+21%,22,-0%,96.2%,0.0%,1.6%,1.4%,0.7%,0.2%,24,12 g,en quantité modérée,2.5 g,en quantité modérée,0.5 g,en faible quantité,2.95 g,en quantité élevée,816 kj(195 kcal),+6%,"2,5",+21%,"0,5",+50%,"2,95",+5%,"1,18",+5%,14,+7%,D,+7%,,,,,,,
99,Mexicaines - Pralus,3760085326866,,,,['Pralus'],,['Fabriqué en France'],,,['France'],[],,[],,?,,607,,50,,19,,16,,,,,,,,,,,,,,,,,2540 kj(607 kcal),,21,,19,,0,,0,,,,,,,,,,,,
100,4 superfruits croquants - Ethnoscience,3760087362084,,,,"['Ethnoscience', 'Ecoidées']",,"['Bio', 'Bio européen', 'FR-BIO-01']",,,['France'],"['Mulberries*', 'éclats de fèves de cacao*', 'aronia* chips de coco* ', 'chair de noix de coco séchée* sucre de canne complet type muscovado* 20%', 'sel', "" *Produits issus de l'agriculture biologique""]",,[],,?,,435,,24,,"39,5",,"6,6",,,,,,,,,,,,,,,,,1820 kj(435 kcal),,"18,9",,28,,"0,175",,"0,07",,,,,,,,,,,,
101,Jus pétillant pomme cassis,3760089000045,,,,,,,,,['France'],[],,[],,?,,52,,0,,"12,1",,"0,15",,,,,,,,,,,,,,,,,218 kj(52 kcal),,0,,"0,2",,0,,0,,,,,,,,,,,,
102,Salade de seiches - Palais Des Mets,3760089330081,,,,['Palais Des Mets'],,,['IT3034 CE ITALIE'],,['France'],[],,[],,?,,364,,"33,8",,"5,1",,"9,9",,,,,,,,,,,,,,,,,1523 kj(364 kcal),,4,,"4,7",,"1,1",,"0,44",,,,,,,,,,,,
103,Crevette extra premium 150g - Palais Des Mets,3760089332900,,,,['Palais Des Mets'],,,,,['France'],"['Crevettes ', 'Penaeus vannamei élevé en Inde et au Viêt - nam', ' sel', 'acidifiants : acide acétique', 'acide lactique et citrates de sodiums A conserver entre OOC et +40C', ' A consommer']",['Crustacés'],"['Non végétalien', 'Non végétarien']",,?,,69,,"0,8",,0,,"15,5",,,,,,,,,,,,,,,,,289 kj(69 kcal),,"0,3",,0,,"1,8",,"0,72",,,,,,,,,"['E260 - Acide acétique', 'E270 - Acide lactique']",,,
104,Salade thon cocktail - Palais Des Mets - 120g,3760089333303,,120 g,,['Palais Des Mets'],"['Plats préparés', 'Salades', 'Plats préparés au poisson', 'Salades composées', 'Salades au thon']",,,,['France'],"['Thon 33%', 'huile de colza', 'oeufs', 'eau', 'lieu noir 4%', 'sucre', 'concentré de tomate', 'vinaigre', 'céleri', 'carotte', 'poivron', 'sel', ""jaune d'oeuf"", 'moutarde ', 'vinaigre', 'graines de moutarde', 'sel', 'épices', 'whisky', ""extrait d'épices"", 'amidon modifié', 'fibre alimentaire', 'maltodextrine', 'graisse de palme', 'protéine de lait', 'lactose', 'poivre', 'arôme', 'conservateurs ', 'E202', 'E211', 'stabilisants ', 'E412', 'E415', 'colorant ', 'E160c', ""correcteurs d'acidité "", 'E260', 'E262', 'E330']","['Céleri', 'Œufs', 'Poisson', 'Lait', 'Moutarde']","['Huile de palme', 'Non végétalien', 'Non végétarien']",4,?,,327,+117%,29,+249%,"4,8",-39%,12,+50%,,,,,,,,29 g,en quantité élevée,2.5 g,en quantité modérée,1.3 g,en faible quantité,1.5 g,en quantité modérée,1368 kj(327 kcal),+124%,"2,5",+178%,"1,3",-35%,"1,5",+54%,"0,6",+54%,12,+2885%,D,+2885%,,,,"['E14XX - Amidons modifiés', 'E202 - Sorbate de potassium', '', 'Risque élevé de sur-exposition', 'E211 - Benzoate de sodium', '', 'Risque élevé de sur-exposition', 'E412 - Gomme de guar', 'E415 - Gomme xanthane', 'E160c - Extrait de paprika', 'E260 - Acide acétique', 'E262 - Acétates de sodium', 'E330 - Acide citrique']",,['Huile de palme'],
105,Pate de farine de ble chinois - Chee-luc,3760089702055,,,,['Chee-luc'],,,,,['France'],"['Farine de blé', 'eau', 'gluten', 'oeufs', 'amidon de maïs', 'sel', 'bicarbonate de soude', ' huile végétale de colza', 'antioxygene : e300 e301']","['Œufs', 'Gluten']","['Sans huile de palme', 'Non végétalien', 'Végétarien']",4,?,,198,,"3,6",,36,,10,,,,,,,,,,,,,,,,,828 kj(198 kcal),,"0,3",,1,,"0,5",,"0,2",,,,,,,,,"['E500ii - Carbonate acide de sodium', 'E300 - Acide ascorbique', 'E301 - Ascorbate de sodium']",,,
106,Chorizo artisanal - Père Et Fils,3760090371554,,,,['Père Et Fils'],,,,,['France'],[],,[],,?,,458,,37,,"3,8",,27,,,,,,,,,,,,,,,,,1916 kj(458 kcal),,15,,"2,2",,"4,57",,"1,828",,,,,,,,,,,,
107,Noisette - Manola,3760091572516,,,,['Manola'],,,,,['France'],[],,[],,?,,661,,62,,9,,13,,,,,,,,,,,,,,,,,2766 kj(661 kcal),,"4,6",,6,,"0,075",,"0,03",,,,,,,,,,,,
108,Mini figues séchées - Manola,3760091574022,,,,['Manola'],,,,,['France'],[],,[],,?,,267,,"0,7",,"60,2",,"6,1",,,,,,,,,,,,,,,,,1117 kj(267 kcal),,"0,3",,"13,4",,"0,2",,"0,08",,,,,,,,,,,,
109,Gingembre deshydraté sucré - Manola,3760091579010,,,,['Manola'],,,,,['France'],"['GINGEMBRE DESHYDRATE SUCRE IngredientsGingembre 50,05 sucre 49,95 A conserver dans un endroit frais', 'sec,à {labri de la lumière', 'Refermer après ouverture']",,[],,?,,365,,"0,5",,87,,"0,1",,,,,,,,,,,,,,,,,1527 kj(365 kcal),,"0,1",,82,,"0,075",,"0,03",,,,,,,,,,,,
110,Blanc manger passion - Creole Facile,3760091661623,,,,['Creole Facile'],,,,,['France'],"['Amidon de maïs ', 'sulfites', 'dextrose', 'arôme', 'gélatine de bœuf', 'jus concentré de fruit de la passion ', '2%', ' sur maltodextrine', 'colorant :']",['Anhydride sulfureux et sulfites'],"['Non végétalien', 'Non végétarien']",4,?,,358,,"0,37",,"79,9",,"8,81",,,,,,,,,,,,,,,,,1498 kj(358 kcal),,0,,"32,6",,"0,05",,"0,02",,,,,,,,,['E428 - Gélatine'],,,
111,Thym bio - Paysans d'ici - 25g,3760091727961,B,25 g,"['Pot', 'Plastique']","[""Paysans d'ici"", 'Ethiquable']","['Aliments et boissons à base de végétaux', ""Aliments d'origine végétale"", 'Epicerie', 'Condiments', 'Plantes condimentaires', 'Plantes aromatiques', 'Herbes aromatiques', 'Thym']","['Bio', 'Bio européen', 'Commerce équitable', 'FR-BIO-01', 'Point Vert', 'Fabriqué en France', 'Agriculture paysanne']",['France'],,['France'],['Thym bio'],,"['Sans huile de palme', 'Végétalien', 'Végétarien']",1,?,,?,,?,,?,,?,,63.0%,0.0%,17.1%,8.8%,8.2%,2.9%,94,,,,,,,,,,,,,,,,,,,,,,,,"['France', 'Ardèche']",,,['Leclerc'],,
112,moelleux fourré abricot,3760093910965,,,,,,,,,['France'],[],,[],,?,,401,,16,,60,,4,,,,,,,,,,,,,,,,,1678 kj(401 kcal),,"1,3",,"38,8",,"0,76",,"0,304",,,,,,,,,,,,
113,Moelleux fourre fraise - C’TRO BON,3760093910972,,,,['C’TRO BON'],"['Biscuits et gâteaux', 'Gâteaux']",,,,['France'],"['Gâteau 70% : farine de blé', 'sucre', 'huile de colza', 'œufs entiers pasteurisés', 'sirop de glucose', 'amidon de blé', 'eau', 'stabilisant : glycérine', 'dextrose', 'poudres à lever : diphosphate disodique carbonate de sodium', 'sel arôme', ' Fourrage fraise 30% : sirop de glucose-fructose de blé', 'purée de fraise 20%', 'sucre', ""gélifiant : pectines de fruits correcteurs d'acidité : acide citrique-citrate trisodique-citrate tricalcique"", 'jus concentré de carotte pourpre', 'conservateur : sorbate de potassium']","['Œufs', 'Gluten']",['Non végétalien'],4,?,,399,-1%,16,-18%,59,+19%,"3,8",-30%,,,,,,,,16 g,en quantité modérée,1.4 g,en faible quantité,38.9 g,en quantité élevée,0.8 g,en quantité modérée,1669 kj(399 kcal),-1%,"1,4",-82%,"38,9",+39%,"0,8",+32%,"0,32",+32%,15,-16%,D,-16%,,,,"['E422 - Glycérol', 'E450i - Pyrophosphate de sodium acide', 'E440 - Pectines', 'E330 - Acide citrique', 'E202 - Sorbate de potassium', '', 'Risque élevé de sur-exposition']",,,
114,Terrine de lievre a la fleur de sel,3760094102444,,,,,"['Terrines', 'Terrines de lièvre']",,,,['France'],[],,[],,?,,305,-1%,27,+2%,"1,5",+71%,16,+10%,,,,,,,,27 g,en quantité élevée,9.5 g,en quantité élevée,0.5 g,en faible quantité,1.6 g,en quantité élevée,1276 kj(305 kcal),-0%,"9,5",-5%,"0,5",+8%,"1,6",+7%,"0,64",+7%,19,+4%,E,+4%,,,,,,,
115,Filet d'Oie en civet - Lechef,3760094447446,,,,['Lechef'],"['Plats préparés', 'Produits à la viande', 'Plats préparés à la viande']",['Bio'],,,['France'],"[""Filet d'oie 52% "", 'Origine : UE', 'vin rouge 6,6% ', 'contient SULFITES', 'eau', 'champignon de Paris 5,2%', 'lardon fumé 5,1% ', 'poitrine de porc - origine France', 'eau', 'sel', ' conservateur : nitrite de sodium', 'oignon grelot', 'cèpe 4,3%', 'oignon', 'ČREME 2%', 'purée de groseille 1,8%', 'arômes naturels', 'sucre', 'sang de porc', 'fécule', 'concentré de tomate', 'farine de tapioca', 'BEURRE', 'sel', 'ail', 'vinaigre de Xérès', 'colorant : caramel ordinaire', 'fibres végétales', 'poivre', ' plantes aromatiques', ' Traces éventuelles de crustacés', 'poissons', 'mollusques', 'oeufs', 'soja', 'céleri', 'moutarde', 'graines de sésame']","['Lait', 'Anhydride sulfureux et sulfites']","['Non végétalien', 'Non végétarien']",4,?,,235,+47%,12,+62%,"7,8",-26%,23,+144%,,,,,,,,12 g,en quantité modérée,5 g,en quantité modérée,1.3 g,en faible quantité,1.15 g,en quantité modérée,983 kj(235 kcal),+49%,5,+98%,"1,3",-17%,"1,15",+22%,"0,46",+22%,11,+227%,D,+227%,,,,"['E250 - Nitrite de sodium', '', 'Risque élevé de sur-exposition', 'E150a - Caramel E150a']",,,
116,Gelée de pétales de roses,3760099519506,,,,,,['Bio'],,,['France'],[],,[],,?,,264,,"0,5",,66,,"0,5",,,,,,,,,,,,,,,,,1105 kj(264 kcal),,"0,1",,55,,"0,02",,"0,008",,,,,,,,,,,,
117,Pistaches Grillées Salées - Secrets d energie,3760099531027,C,,"['Sachet', 'Plastique']",['Secrets d energie'],"['Aliments et boissons à base de végétaux', ""Aliments d'origine végétale"", 'Snacks', 'Snacks salés', 'Fruits à coques et dérivés', 'Fruits à coques', 'Pistaches', 'Pistaches grillées', 'Fruits à coque salés', 'Pistaches salées']","['Bio', 'Bio européen', 'AB Agriculture Biologique']",,,['France'],"['PISTACHES* 98,3%', 'sel 1,7%', "" *ingrédients issus de l'agriculture biologique""]",['Fruits à coque'],"['Sans huile de palme', 'Végétalien', 'Végétarien']",3,?,,625,+3%,"58,8",+19%,9,-35%,"21,1",-7%,80.2%,0.0%,5.4%,8.3%,3.7%,2.3%,40,58.8 g,en quantité élevée,6.7 g,en quantité élevée,7.7 g,en quantité modérée,1.7 g,en quantité élevée,2615 kj(625 kcal),+3%,"6,7",-4%,"7,7",+13%,"1,7",+28%,"0,68",+28%,6,-1%,C,-1%,,,"['EMB 16242', 'Nanteuil-en-Vallée (Charente, France)', 'EMB 18242', 'Sancoins (Cher, France)']",,,,
118,Coulomier - Lait plaisirs - 350g,3760099532888,B,350 g,['Film en plastique'],['Lait plaisirs'],"['Produits laitiers', 'Produits fermentés', 'Produits laitiers fermentés', 'Fromages', 'Fromages de vache', 'Fromages à pâte molle à croûte fleurie', 'Fromages de France', 'Coulommiers']","['Bio', 'Bio européen', 'AB Agriculture Biologique', 'FR-BIO-10']",,,['France'],"['Lait cru de vache* ', 'origine France', 'sel', 'présure animale et ferments ', 'lait', "" *Ingrédient issu de l'agriculture biologique""]",['Lait'],"['Sans huile de palme', 'Non végétalien', 'Non végétarien']",3,?,,280,+1%,22,-1%,"0,5",-2%,20,+6%,84.0%,5.8%,4.0%,4.0%,1.8%,0.5%,54,22 g,en quantité élevée,17 g,en quantité élevée,0.5 g,en faible quantité,1.5 g,en quantité modérée,1172 kj(280 kcal),+1%,17,+10%,"0,5",+92%,"1,5",+1%,"0,6",+1%,14,-1%,D,-1%,,,"['FR 61.402.001 CE', 'Saint-Hilaire-de-Briouze (Orne, France)']",,,,
119,"Frais & Primeur / Fromages Bio / Chèvres, Brebis Et Bleus - Lait plaisirs",3760099533687,C,,,['Lait plaisirs'],"['Produits laitiers', 'Produits fermentés', 'Produits laitiers fermentés', 'Fromages', 'Fromages de France', 'Fromages de chèvre', 'Fromages à pâte molle à croûte naturelle', 'Pélardon']","['Bio', 'Bio européen', 'AB Agriculture Biologique', 'FR-BIO-01', 'AOP', 'en:Lait-francais-french-milk', 'Agriculture France']",,,['France'],"[""Pélardon AOP Fromage affiné à pâte molle et à croûte fleurie au lait cru de chèvre issu de l'agriculture biologique"", ' ngrédients : la it cru de chèvre *97% ', 'origine : lactiques sel,présure animale', ' Ingrédient issu de Itagriculture biologique']",,"['Non végétalien', 'Non végétarien']",,?,,298,0%,24,-0%,"1,8",+9%,19,-1%,91.6%,3.0%,2.1%,2.1%,0.9%,0.3%,33,24 g,en quantité élevée,18 g,en quantité élevée,0 g,en faible quantité,0.975 g,en quantité modérée,1247 kj(298 kcal),-0%,18,+5%,0,-100%,"0,975",-1%,"0,39",-1%,12,+3%,D,+3%,,['France'],,['E270 - Acide lactique'],,,
120,Rôtis de Porc bio - Bonval,3760099534097,D,,,['Bonval'],"['Viandes', 'Porc', 'Rôtis de porc']","['Bio', 'Bio européen', 'AB Agriculture Biologique']",,,['France'],"['Carré de porc*', 'saumure* ', 'tait*', 'sel', 'antioxydant : ascorbate de sodium', 'plantes aromatiques*', 'épices*', 'poivre noir*', 'sucre*', 'conservateur : nitrite de sodium', 'caramel*', 'ait*', 'noix de muscade*', 'poivre noir*', ' Ingrédients issus de VRgricuLture Biologique Porc origine France R consommer chaud ou froid', ' R consommer rapidement']",,"['Non végétalien', 'Non végétarien']",3,?,,155,+8%,"6,5",+29%,1,+22%,23,+3%,77.9%,17.0%,3.2%,1.1%,0.6%,0.2%,21,6.5 g,en quantité modérée,3 g,en quantité modérée,0.5 g,en faible quantité,1.8 g,en quantité élevée,649 kj(155 kcal),+9%,3,+44%,"0,5",-20%,"1,8",+5%,"0,72",+5%,5,-30%,C,-30%,,,"['FR 56.033.008 CE', 'Carentoir (Morbihan, France)']","['E301 - Ascorbate de sodium', 'E250 - Nitrite de sodium', '', 'Risque élevé de sur-exposition']",,,
121,A TABLE ! - LA PIZZA,3760099537142,,,,['LA PIZZA'],"['Plats préparés', 'Pizzas tartes salées et quiches', 'Pizzas']","['Bio', 'Bio européen', 'FR-BIO-01']",,,"['Afghanistan', 'France']","['Pâte* ', 'farine de blé*', 'eau', 'sel', 'levure*', 'sauce tomate* 17,5% ', 'purée de tomate*', 'basilic', 'sucre de canne*', 'ail*', 'sel', 'poivre*', 'emmental râpé* 16,7% ', 'emmental*', 'fécule de pomme de terre*', 'brousse de brebis* 12,5%', ""Bleu d'Auvergne* AOP 5%""]","['Gluten', 'Lait']",['Non végétalien'],3,?,,260,+14%,"8,9",+6%,22,-18%,11,+7%,,,,,,,,8.9 g,en quantité modérée,3 g,en quantité modérée,1.4 g,en faible quantité,1.1 g,en quantité modérée,1088 kj(260 kcal),+13%,3,-24%,"1,4",-52%,"1,1",-12%,"0,44",-12%,-1,-113%,A,-113%,,,,,,,
122,Focaccia - Via Bio - 170g,3760099537890,C,170 g,['Plastique'],['Via Bio'],"['Plats préparés', 'Focaccia']","['Bio', 'Bio européen', 'FR-BIO-01', 'Fabriqué en Italie']",,,['France'],"[""Semoule de blé dur'"", 'oignons* 27%', 'eau', 'levain* ', ' farine de blé*', 'eau', 'olive* 4%', ""huile d'olive vierge extra* 3%"", 'romarin* 2%', ""malt d'orge*"", 'levure', 'sel', 'origan*', "" *Ingrédients issus de l'agriculture biologique""]",['Gluten'],['Sans huile de palme'],3,?,,243,-7%,"4,8",-45%,42,+13%,"7,7",+7%,64.6%,14.6%,6.8%,4.1%,2.1%,7.8%,59,4.8 g,en quantité modérée,0.8 g,en faible quantité,3.6 g,en faible quantité,0.7 g,en quantité modérée,1017 kj(243 kcal),-8%,"0,8",-51%,"3,6",+27%,"0,7",-53%,"0,28",-53%,2,-76%,B,-76%,,,,,,,
123,Xylitol naturel de bouleau FLORE ALPES - 1kg,3760099603168,,1kg,,['Flore alpes'],,,,,['France'],[],,[],,?,,2,,0,,0,,0,,,,,,,,,,,,,,,,,8 kj(2 kcal),,0,,0,,0,,0,,,,,,,,,,,,
124,Jus de pommes reinette du Vigan - Trial,3760101720012,,,,['Trial'],['Boissons'],,,,['France'],[],,[],,?,,48,-14%,0,-100%,"11,9",+5%,"0,1",-80%,,,,,,,,0 g,en faible quantité,0 g,en faible quantité,11.3 g,en quantité élevée,0 g,en faible quantité,201 kj(48 kcal),-17%,0,-100%,"11,3",+20%,0,-100%,0,-100%,15,+96%,E,+96%,,,,,,,
125,Jus Canneberge - Couleurs vives,3760101800486,D,,,['Couleurs vives'],"['Aliments et boissons à base de végétaux', 'Boissons', 'Boissons à base de végétaux', 'Boissons aux fruits', 'Jus et nectars', 'Jus de fruits', 'Jus de canneberge']","['Bio', 'Sans colorants', 'Sans conservateurs']",,,['France'],"['colorant* ', 'ni de 100% pur jus de canneberge Ne contient ni conservateur', 'ni ntation sur le mode *conformément à la régleme de production biologique', ' Pressé à froid ', 'un léger dépôt est possible']",,[],4,?,,29,-9%,0,-100%,"7,9",-8%,0,-100%,58.5%,3.8%,10.1%,20.0%,6.0%,1.7%,51,0 g,en faible quantité,0 g,en faible quantité,0 g,en faible quantité,0 g,en faible quantité,121 kj(29 kcal),-12%,0,-100%,0,-100%,0,-100%,0,-100%,-5,-1419%,B,-1419%,,,,,,,
126,Oeufs de saumon,3760101946030,,,,,"['Conserves', 'Frais', 'Œufs de poisson', 'Semi-conserves', 'Oeufs de saumon']",,,,['France'],[],,[],,?,,240,+3%,13,+11%,"2,6",-16%,"29,7",-3%,,,,,,,,13 g,en quantité modérée,3.2 g,en quantité modérée,0.5 g,en faible quantité,3 g,en quantité élevée,1004 kj(240 kcal),+2%,"3,2",+24%,"0,5",-12%,3,+2%,"1,2",+2%,15,+5%,D,+5%,,,,,,,
127,Couscous au poulet - MX3,3760103000242,,,,['MX3'],,,,,['France'],"['Couscous au Poulet : Semoule de BLE 68%', 'matière grasse de palme ', 'lactose ', 'LAIT', ' et protéines de LAIT', 'poulet lyophilisé 6,8%', 'légumes 4,3% ', 'haricots verts', 'courgettes', 'carottes', 'oignons', 'ail', 'raisins 2,9% ', 'dont huile végétale de tournesol', 'arômes', 'épices']","['Gluten', 'Lait']","['Huile de palme', 'Non végétalien', 'Non végétarien']",4,?,,413,,12,,61,,16,,,,,,,,,,,,,,,,,1728 kj(413 kcal),,"6,4",,"8,7",,"1,2",,"0,48",,,,,,,,,,,['Huile de palme'],
128,Mix Drink - MX3,3760103006633,,,,['MX3'],,,,,['France'],[],,[],,?,,368,,"0,5",,92,,"0,5",,,,,,,,,,,,,,,,,1540 kj(368 kcal),,"0,1",,91,,"2,85",,"1,14",,,,,,,,,,,,
129,Vermicelles au riz thaï rouge - Autour du riz - 240g,3760103146933,,240 g,['Carton'],['Autour du riz'],"['Aliments et boissons à base de végétaux', ""Aliments d'origine végétale"", 'Céréales et pommes de terre', 'Céréales et dérivés', 'Nouilles', 'Vermicelle de riz']","['Bio', 'Bio européen', 'Sans gluten', 'FR-BIO-10', 'en:TH-BIO-132', 'en:TH-BIO-140', 'AB Agriculture Biologique']",,,['France'],"['Riz* complet à grains longs', 'riz* thaï rouge à grains longs ', '10%', "" *Issus de l'agriculture biologique""]",,[],,?,,355,+6%,"1,5",+134%,"77,2",+12%,"7,3",+50%,,,,,,,,1.5 g,en faible quantité,0.52 g,en faible quantité,0.28 g,en faible quantité,0 g,en faible quantité,1485 kj(355 kcal),+7%,"0,52",+103%,"0,28",-32%,0,-100%,0,-100%,-1,-151%,A,-151%,,,,,['Biocoop Caluire'],,
130,Riz Bio Et équitable - Autour du riz - 500g,3760103148067,,500 g,,['Autour du riz'],"['Aliments et boissons à base de végétaux', ""Aliments d'origine végétale"", 'Céréales et pommes de terre', 'Graines', 'Céréales et dérivés', 'Céréales en grains']","['Bio', 'Végétarien', 'Bio européen', 'Végétalien', 'AB Agriculture Biologique', 'Agriculture UE/Non UE', 'FR-BIO-10', 'IT-BIO-009']",,,['France'],"['Riz thai 85% ', 'riz thai* Hom Mali 1/2 complet étuvé', 'riz thai* rouge complet précuit origine Thailande', 'graines"" 15 % ', 'graines de tournesol*', 'graines de lin*']",,"['Végétalien', 'Végétarien']",1,?,,404,+20%,"11,9",+139%,"62,1",+8%,"10,4",+10%,,,,,,,,11.9 g,en quantité modérée,1.4 g,en faible quantité,0.4 g,en faible quantité,0 g,en faible quantité,1690 kj(404 kcal),+19%,"1,4",+104%,"0,4",-59%,0,-100%,0,-100%,1,,B,,,,,,,,
131,Tagliatelles thaï de riz curcuma - Autour Du Riz - 400g,3760103148951,,400g,,['Autour Du Riz'],"['Aliments et boissons à base de végétaux', ""Aliments d'origine végétale"", 'Céréales et pommes de terre', 'Céréales et dérivés', 'Pâtes alimentaires']","['Bio', 'Bio européen', 'Sans gluten', 'FR-BIO-10', 'en:TH-BIO-154', 'AB Agriculture Biologique']",,,['France'],"['Riz blanc thaïlandais 99,8 %*', 'poudre de curcuma 0,2 %*', "" * Issus de l'agriculture biologique""]",,"['Sans huile de palme', 'Végétalien', 'Végétarien']",1,?,,360,+8%,"0,5",-81%,81,+31%,7,-40%,,,,,,,,0.5 g,en faible quantité,0 g,en faible quantité,0 g,en faible quantité,0 g,en faible quantité,1506 kj(360 kcal),+8%,0,-100%,0,-100%,0,-100%,0,-100%,-2,,A,,,,,,['Biocoop Caluire'],,
132,Eau aromatisée fraise Matouba -,3760104810444,,,,,"['Boissons', 'Eaux', 'Eaux aromatisées']",,,,['France'],[],,[],,?,,22,+144%,0,-100%,"4,6",+116%,0,-100%,,,,,,,,0 g,en faible quantité,0 g,en faible quantité,4.4 g,en quantité modérée,0 g,en faible quantité,92 kj(22 kcal),+149%,0,-100%,"4,4",+122%,0,-100%,0,-100%,7,+106%,D,+106%,,,,,,,
133,Creme de vinaigre de banyuls - Pyrène,3760105201302,,,,['Pyrène'],"['Epicerie', 'Condiments', 'Crèmes de vinaigre']",,,,['France'],"['jus de raisin', 'vinaigre de Banyus', 'moût de raisin', 'amidon', 'contient des sulfites']",['Anhydride sulfureux et sulfites'],[],3,?,,209,-1%,0,-100%,49,-2%,"0,8",+20%,,,,,,,,0 g,en faible quantité,0 g,en faible quantité,0 g,en faible quantité,0.05 g,en faible quantité,874 kj(209 kcal),-2%,0,-100%,0,-100%,"0,05",-61%,"0,02",-61%,2,-82%,B,-82%,,,,,,,
134,"Petites coquilles Saint Jacques en sauce SPANICO, boîte de - 111g Net, 68g Net Egoutté",3760105561239,,"111 g Net, 68 g Net Egoutté","['Boîte clinquant métallique conservatrice', 'Boîte cartonnée']",['Spanico'],"['Produits de la mer', 'Plats préparés', 'Entrées', 'Coquilles Saint-Jacques', 'Coquillage', 'Fruits-de-mer-cuisines', 'Proteine-de-la-mer', 'Tapas-de-la-mer']",['Sans additifs'],['Espagne - Sélection Interpole 34670 Baillargues'],,['France'],"['Petites coquilles Saint Jacques', 'huile de tournesol', 'tomate', 'oignon', 'épices et sel', 'Scallops', 'suhflower oil', 'tomato', 'bnion', 'spices and salt']",['Mollusques'],[],,540,+12%,129,+8%,"6,5",+0%,3,-57%,15,+109%,,,,,,,,6.5 g,en quantité modérée,1.1 g,en faible quantité,0 g,en faible quantité,0.7 g,en quantité modérée,540 kj(129 kcal),+5%,"1,1",-74%,0,-100%,"0,7",-15%,"0,28",-15%,0,-100%,B,-100%,,['Espagne'],['ES 12.00610/PO CE'],,['CABESTO Brest'],,
135,Thon Albacore au naturel,3760105563158,E,,,,"['Produits de la mer', 'Poissons', 'Thons', 'Thons tropicaux', 'Thons albacore', 'Thons albacore au naturel']",,,,['France'],[],,[],,?,,108,-7%,"1,2",-21%,0,-100%,"24,4",-4%,71.8%,6.5%,14.0%,6.7%,0.4%,0.5%,24,1.2 g,en faible quantité,0.4 g,en faible quantité,0 g,en faible quantité,1.2 g,en quantité modérée,452 kj(108 kcal),-6%,"0,4",-15%,0,-100%,"1,2",+10%,"0,48",+10%,1,+162%,B,+162%,,,,,,,
136,Morue à la biscaienne,3760105565305,,,,,,,,,['France'],[],,[],,?,,236,,20,,2,,12,,,,,,,,,,,,,,,,,987 kj(236 kcal),,"2,5",,0,,"1,5",,"0,6",,,,,,,,,,,,
