,name,bar_code,sales_countries,ingredients_list,ingredients_analysis,nutriment_energy-kj_tr,nutriment_energy-kcal_tr,nutriment_fat_tr,nutriment_carbohydrates_tr,nutriment_proteins_tr,traceability_code,nutriment_energy_tr,nutriment_saturated-fat_tr,nutriment_sugars_tr,nutriment_salt_tr,nutriment_sodium_tr,packaging,labels,categories,fats_lipids_quantity,fats_lipids_comment,saturated_acids_quantity,saturated_acids_comment,sugar_quantity,sugar_comment,salt_quantity,salt_comment,nutriment_energy-kj_tr_diff,nutriment_energy-kcal_tr_diff,nutriment_energy_tr_diff,nutriment_fat_tr_diff,nutriment_saturated-fat_tr_diff,nutriment_carbohydrates_tr_diff,nutriment_sugars_tr_diff,nutriment_proteins_tr_diff,nutriment_salt_tr_diff,nutriment_sodium_tr_diff,nutriment_nutrition-score-fr_tr,nutriment_nutrition-score-fr_tr_diff,nutriment_nutriscore_tr,nutriment_nutriscore_tr_diff,eco_score,quantity,brand,markets,Agriculture,Transformation,Conditionnement,Transport,Distribution,Consommation,Score_ACV,ingredients_origins,manufacturing,allergens,nova_score,additives,link,generic_name,palm_ingredients
180,Sauce vinaigrette - Jean d'Audignac,3700238328682,['France'],[],[],?,467,50,"1,2","0,5",,1954 kj(467 kcal),"5,6","0,8","1,8","0,72",,,,,,,,,,,,,,,,,,,,,,,,,,,,"[""Jean d'Audignac""]",,,,,,,,,,,,,,,,
181,Sandwich Jambon Serrano,3399130021106,['France'],[],[],?,205,9,20,"9,5",,858 kj(205 kcal),"1,4","2,4","1,7","0,68",,"['Sans arômes artificiels', 'Sans colorants']",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
182,Poitrine fumée roulée - André Loussouarn,93362375,['France'],[],[],?,240,"18,1","0,6","18,7",,1004 kj(240 kcal),"6,4","0,6","1,38","0,552",,,,,,,,,,,,,,,,,,,,,,,,,,,,['André Loussouarn'],,,,,,,,,,,,,,,,
183,chocolat noir 63% Framboise - Limouzi Saveurs,3760268980335,['France'],[],[],?,531,34,51,"2,3",,2222 kj(531 kcal),21,40,0,0,,,"['Snacks', 'Snacks sucrés', 'Cacao et dérivés', 'Chocolats', 'Chocolats noirs']",34 g,en quantité élevée,21 g,en quantité élevée,40 g,en quantité élevée,0 g,en faible quantité,,-4%,-4%,-14%,-9%,+32%,+26%,-70%,-100%,-100%,24,+13%,E,+13%,E,,['Limouzi Saveurs'],,85.3%,9.9%,1.2%,3.2%,0.4%,0.0%,24,,,,,,,,
184,Muse de Guilhem,3331210000342,['France'],[],[],?,?,?,?,?,,,0,,,,,,"['Boissons', 'Boissons alcoolisées', 'Vins', 'Vins français']",,,,,,,,,,,,,-100%,,,,,,,,,,C,,,,46.9%,6.6%,27.8%,12.7%,4.8%,1.3%,43,['France'],,,,,,,
185,Junmai nigori,4901410015720,['France'],[],[],?,?,?,?,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
186,Diamanti Al Basilico Bio,7007305314231,['France'],[],[],?,210,"6,3",29,"7,6",,879 kj(210 kcal),"3,5",1,"0,43","0,172",,['Bio'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
187,Confit de foie de Porc a l'ancienne,3418470003082,['France'],[],[],?,?,?,?,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
188,Mangue prête à déguster,2868531021387,['France'],[],[],?,67,"0,5","15,3","0,7",,280 kj(67 kcal),"0,01","12,9",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
189,Faisselle gourmande,3540390000244,['France'],[],[],?,?,?,?,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
190,Lait cru,3373203546277,['France'],[],[],?,?,?,?,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
191,Petit pont l’évêque - 220g,3267031094058,['France'],[],[],?,293,23,"0,5",21,,1226 kj(293 kcal),17,"0,5","1,4","0,56",,['Point Vert'],"['Produits laitiers', 'Produits fermentés', 'Produits laitiers fermentés', 'Fromages', 'Fromages de vache', 'Fromages de France', 'Fromages à pâte molle à croûte lavée', ""Pont-l'évêque""]",23 g,en quantité élevée,17 g,en quantité élevée,0.5 g,en faible quantité,1.4 g,en quantité modérée,,-1%,-1%,-2%,+7%,+26%,+36%,-2%,-13%,-13%,14,-5%,D,-5%,D,220 g,,,84.0%,5.8%,4.0%,4.0%,1.8%,0.5%,54,,,,,,,,
192,Cumin moulu 150g,3550703010150,['France'],[],[],?,?,?,?,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
193,Chocolat noir,7610148445354,['France'],[],[],?,574,46,31,9,,2402 kj(574 kcal),28,17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
194,Ingrediental,5601273003955,['France'],[],[],?,530,"34,8","39,5","9,6",,2218 kj(530 kcal),"21,5","27,6",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
195,Grand beignet choco x4,0205958018378,['France'],[],[],?,371,17,46,"8,1",,1552 kj(371 kcal),"1,8",15,"0,81","0,324",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
196,Pinot noir,3760251400093,['France'],[],[],?,21,0,"5,3",0,,88 kj(21 kcal),0,"1,3",0,0,,"['Bio', 'Bio européen', 'FR-BIO-01', 'AB Agriculture Biologique']",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
197,Espresso crema - Bellarom,4056489089483,['France'],[],[],?,1,0,"0,3","0,2",,4 kj(1 kcal),0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,['Bellarom'],,,,,,,,,,,,,,,,
198,Miroshnik,0614143622113,['France'],[],[],?,203,11,10,2,,849 kj(203 kcal),6,5,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
199,Mais frit sale,3760197943326,['France'],[],[],?,439,12,77,"6,4",,1837 kj(439 kcal),"4,7","0,5",2,"0,8",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
200,Mais frit sale,3760197943326,['France'],[],[],?,439,12,77,"6,4",,1837 kj(439 kcal),"4,7","0,5",2,"0,8",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
201,3551720201743,3551720201743,['France'],[],[],?,?,?,?,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
202,Confiture Muroise,3372330308079,['France'],[],[],?,223,"0,5",53,"0,8",,933 kj(223 kcal),"0,1",53,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
