,name,bar_code,sales_countries,ingredients_list,ingredients_analysis,nutriment_energy-kj_tr,nutriment_energy-kcal_tr,nutriment_fat_tr,nutriment_carbohydrates_tr,nutriment_proteins_tr,traceability_code,nutriment_energy_tr,nutriment_saturated-fat_tr,nutriment_sugars_tr,nutriment_salt_tr,nutriment_sodium_tr,packaging,labels,categories,fats_lipids_quantity,fats_lipids_comment,saturated_acids_quantity,saturated_acids_comment,sugar_quantity,sugar_comment,salt_quantity,salt_comment,nutriment_energy-kj_tr_diff,nutriment_energy-kcal_tr_diff,nutriment_energy_tr_diff,nutriment_fat_tr_diff,nutriment_saturated-fat_tr_diff,nutriment_carbohydrates_tr_diff,nutriment_sugars_tr_diff,nutriment_proteins_tr_diff,nutriment_salt_tr_diff,nutriment_sodium_tr_diff,nutriment_nutrition-score-fr_tr,nutriment_nutrition-score-fr_tr_diff,nutriment_nutriscore_tr,nutriment_nutriscore_tr_diff,eco_score,quantity,brand,markets,Agriculture,Transformation,Conditionnement,Transport,Distribution,Consommation,Score_ACV,ingredients_origins,manufacturing,allergens,nova_score,additives,link,generic_name,palm_ingredients
1051,Bio pera,0024000106005,['France'],[],[],?,63,0,15,0,,264 kj(63 kcal),0,15,,,,['Bio'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1052,PÂTE DE FRUITS 4 FRUITS ROUGES,3760185000215,['France'],[],[],?,235,"0,08","57,05","0,24",,983 kj(235 kcal),0,"48,55","0,15","0,06",,,"['Aliments et boissons à base de végétaux', ""Aliments d'origine végétale"", 'Snacks', 'Aliments à base de fruits et de légumes', 'Snacks sucrés', 'Confiseries', 'Fruits et produits dérivés', 'Pâtes de fruits']",0.08 g,en faible quantité,0 g,en faible quantité,48.5 g,en quantité élevée,0.15 g,en faible quantité,,-25%,-26%,-76%,-100%,-25%,-27%,-63%,+25%,+25%,7,-15%,C,-15%,C,,,,82.2%,8.9%,4.6%,3.2%,1.0%,0.0%,58,,,,,,,,
1053,Escalopes de dinde,0217438014374,['France'],[],[],?,?,?,?,?,,,,,,,,,"['Viandes', 'Volailles', 'Dindes', 'Escalopes de dinde']",,,,,,,,,,,,,,,,,,,,,,,D,,,,84.3%,9.9%,2.2%,2.3%,1.1%,0.3%,37,,,,,,,,
1054,Brillette à Chaussures Incolore,8410033742303,['France'],[],[],?,?,?,?,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1055,Confit de porc cuit,2869461040011,['France'],[],[],?,174,"9,2","0,5","22,3",,728 kj(174 kcal),"3,9","0,5","1,43","0,572",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1056,Diego - Shneider's,0838948008235,['France'],[],[],?,465,39,"2,4",26,,1946 kj(465 kcal),27,"0,5","1,5","0,6",,,,,,,,,,,,,,,,,,,,,,,,,,,,"[""Shneider's""]",,,,,,,,,,,,,,,,
1057,Merguez,0201413041653,['France'],[],[],?,283,"22,6","2,15","19,8",,1184 kj(283 kcal),"11,2",1,"2,3","0,92",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1058,Dried strawberry,0819496023161,['France'],[],[],?,302,0,74,0,,1264 kj(302 kcal),0,60,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1059,Ratatouille à la provençale - Jean Martin,11317852,['France'],[],[],?,116,"9,5","5,2","1,1",,485 kj(116 kcal),"1,1","3,1","0,53","0,212",,,"['Plats préparés', 'Légumes préparés', 'Ratatouilles']",9.5 g,en quantité modérée,1.1 g,en faible quantité,3.1 g,en faible quantité,0.53 g,en quantité modérée,,+71%,+74%,+153%,+104%,+1%,-20%,-7%,-26%,-26%,4,+309%,C,+309%,B,,['Jean Martin'],,69.3%,12.8%,5.7%,6.8%,3.2%,2.3%,79,,,,,,,,
1060,Le poulet de ma région,2208446027683,['France'],[],[],?,?,?,?,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1061,Ribs de porc à la provençale,2245062047954,['France'],[],[],?,230,17,"1,3",18,,962 kj(230 kcal),"6,6","0,8","1,5","0,6",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1062,0208949039697,0208949039697,['France'],[],[],?,?,?,?,?,"['FR 53.121.001 CE', 'Javron-les-Chapelles (Mayenne, France)']",,,,,,,"['Bio', 'Bio européen', 'AB Agriculture Biologique', 'FR-BIO-09']",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1063,0212833042908,0212833042908,['France'],[],[],?,?,?,?,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1064,Pave d'espadon mariné tomate et huile d'olive,2416881049263,['France'],[],[],?,759,12,"0,7",17,,3176 kj(759 kcal),"0,5","0,5","0,62","0,248",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1065,Viande,0208246038058,['France'],[],[],?,?,?,?,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1066,Ourson,5701049113540,['France'],[],[],?,405,13,60,"4,6",,1695 kj(405 kcal),"7,4",59,"0,13","0,052",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1067,Palets de bretagne - Les Sens du Terroir,3437340069294,['France'],[],[],?,540,32,58,"5,4",,2259 kj(540 kcal),21,27,"0,9","0,36",,,"['Snacks', 'Snacks sucrés', 'Biscuits et gâteaux', 'Biscuits']",32 g,en quantité élevée,21 g,en quantité élevée,27 g,en quantité élevée,0.9 g,en quantité modérée,,+14%,+14%,+54%,+108%,-9%,-8%,-17%,+53%,+53%,24,+21%,E,+21%,C,,['Les Sens du Terroir'],,80.3%,11.4%,3.7%,2.4%,2.2%,0.0%,58,,,,,,,,
1068,Ribs de porc Mexicaine,0210999051895,['France'],[],[],?,235,18,"1,2",18,,983 kj(235 kcal),"6,9","0,5","1,6","0,64",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1069,Chipolatas persilles,2264704064685,['France'],[],[],?,205,15,"0,6",17,,858 kj(205 kcal),"5,8","0,6","1,8","0,72",,,"['Viandes', 'Charcuteries', 'Saucisses', 'Saucisses françaises', 'Chipolatas']",15 g,en quantité modérée,5.8 g,en quantité élevée,0.6 g,en faible quantité,1.8 g,en quantité élevée,,-14%,-14%,-21%,-20%,-49%,-5%,+10%,0%,0%,14,-16%,D,-16%,E,,,,86.2%,9.9%,1.8%,1.2%,0.7%,0.2%,24,,,,,,,,
1070,Découpe de poulet,2481623034241,['France'],[],[],?,?,?,?,?,"['FR 44.003.002 CE', 'Ancenis (Loire-Atlantique, France)']",,,,,,"['Barquette', 'Film en plastique']",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1071,Terrine au jambon - Costa,3428290001892,['France'],[],[],?,297,"24,1","3,9","16,2",['FR 2B.332.001 CE'],1243 kj(297 kcal),"9,5","1,1","1,6","0,64",,,['Terrines'],24.1 g,en quantité élevée,9.5 g,en quantité élevée,1.1 g,en faible quantité,1.6 g,en quantité élevée,,-1%,-1%,-6%,+0%,+80%,+41%,+16%,+5%,+5%,19,+7%,E,+7%,,,['Costa'],,,,,,,,,,,,,,,,
1072,Leerdammer,0285385018967,['France'],[],[],?,356,"27,5","0,5",27,,1490 kj(356 kcal),"18,5","0,5","1,5","0,6",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1073,Cuisses de poulet rôti - Le Gaulois,0217637036672,['France'],[],[],?,168,10,1,19,,703 kj(168 kcal),"2,6",0,"1,4","0,56",,,"['Viandes', 'Volailles', 'Poulets', 'Cuisses de poulet']",10 g,en quantité modérée,2.6 g,en quantité modérée,0 g,en faible quantité,1.4 g,en quantité modérée,,-12%,-12%,-19%,-22%,+214%,-100%,+3%,+84%,+84%,5,+42%,C,+42%,D,,['Le Gaulois'],,83.4%,9.5%,2.7%,2.7%,1.4%,0.4%,44,,,,,,,,
1074,Poulet : cuisse a/ dos a rotir / a griller,2616229069209,['France'],[],[],?,?,?,?,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1075,Maïs frits et salés,3502790457844,['France'],[],[],?,439,"11,7","76,7","6,4",,1837 kj(439 kcal),"4,7","0,5","2,9","1,16",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1076,Le Yaourt sur lit de fraises - Auchan - 2x 125g,3596710461523,['France'],[],[],?,111,"5,5",13,"2,5",,464 kj(111 kcal),"2,9",12,"0,1","0,04",,,"['Produits laitiers', 'Produits fermentés', 'Produits laitiers fermentés', 'Yaourts', 'Yaourts aux fruits']",5.5 g,en quantité modérée,2.9 g,en quantité modérée,12 g,en quantité modérée,0.1 g,en faible quantité,,+11%,+12%,+76%,+46%,-3%,-3%,-32%,-12%,-12%,4,+43%,C,+43%,C,2 x 125 g,['Auchan'],['Auchan'],79.1%,8.8%,4.4%,4.5%,2.5%,0.7%,69,,,,,,,,
1077,MMMMH!!!,3440630013075,['France'],[],[],?,466,19,59,13,,1950 kj(466 kcal),"0,8",5,"0,5","0,2",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1078,Tartin Apéro méditerranéenne,4008164730791,['France'],[],[],?,497,"47,4","8,1","7,5",,2079 kj(497 kcal),"3,8",2,"1,51","0,604",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1079,Axoa de porc au pilent d'espelette - 390g,3482970010345,['France'],[],[],?,117,"4,4",1,"18,9",,490 kj(117 kcal),2,0,"1,19","0,476",,,,,,,,,,,,,,,,,,,,,,,,,,,390 g,,,,,,,,,,,,,,,,,
1080,Pâté de foie pur porc,3576620002306,['France'],[],[],?,452,44,3,11,,1891 kj(452 kcal),18,"0,6","1,6","0,64",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1081,Farci du poitou artisanal,0212457028678,['France'],[],[],?,171,"13,7","6,2","6,15",,715 kj(171 kcal),"5,44","0,7","1,68","0,672",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1082,Saucisse seche,0208561056546,['France'],[],[],?,?,?,?,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1083,Lueur d’automne,3300943910020,['France'],[],[],?,?,?,?,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1084,Tete de moine,2481075020472,['France'],[],[],?,?,?,?,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1085,Andouillettes pur porc,0200111027815,['France'],[],[],?,150,10,"0,9",12,,628 kj(150 kcal),"4,3","0,6","2,5",1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1086,Emmental,2631733019151,['France'],[],[],?,376,"29,5","0,5",27,,1573 kj(376 kcal),21,"0,5","0,6","0,24",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1087,Flan caramel,3376180000121,['France'],[],[],?,?,?,?,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1088,Kippers,0240601016660,['France'],[],[],?,217,16,0,19,,908 kj(217 kcal),"3,7",0,"2,1","0,84",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1089,Terrine forestiere,3377440001629,['France'],[],[],?,333,"10,5","3,47","14,7",,1393 kj(333 kcal),"10,4",0,"2,98","1,192",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1090,Coeur de filet de saumon,2205959066123,['France'],[],[],?,?,?,?,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1091,Croustillant Muesli Triple Choc - Golden Bridge,07374504,['France'],[],[],?,440,15,61,11,,1841 kj(440 kcal),"5,6",18,"0,67","0,268",,,,,,,,,,,,,,,,,,,,,,,,,,,,['Golden Bridge'],,,,,,,,,,,,,,,,
1092,Dinde,2219283032013,['France'],[],[],?,?,?,?,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1093,Tendron,0229410045924,['France'],[],[],?,?,?,?,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1094,Saucisson sec,3268750009996,['France'],[],[],?,315,"21,9","2,8","26,7",,1318 kj(315 kcal),"7,1","2,8","4,23","1,692",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1095,Punch Rhum Planteur,3683080354705,['France'],[],[],?,?,?,?,?,,,,,,,,,['Punch planteur'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1096,Vinaigre,3250390176978,['France'],[],[],?,400,0,100,0,,1674 kj(400 kcal),0,100,"0,8","0,32",,,['Vinaigres'],0 g,en faible quantité,0 g,en faible quantité,100 g,en quantité élevée,0.8 g,en quantité modérée,,+376%,+381%,-100%,-100%,+513%,+594%,-100%,+880%,+880%,,,,,B,,,,39.4%,16.4%,33.5%,8.2%,2.4%,0.0%,91,,,,,,,,
1097,Cookie chocolat chunk,0208479022961,['France'],[],[],?,?,?,?,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1098,Craquant Charentais & Pineau des Charentes,3760243782466,['France'],[],[],?,366,0,87,4,['EMB 17000'],1531 kj(366 kcal),0,77,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1099,Multi-Vit,8710729044941,['France'],[],[],?,?,?,?,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1100,Cervelas - Frédéric Buchinger,2407557057200,['France'],[],[],?,225,"16,8","1,1","17,3",,941 kj(225 kcal),"7,4",1,"2,7","1,08",,,,,,,,,,,,,,,,,,,,,,,,,,,,['Frédéric Buchinger'],,,,,,,,,,,,,,,,
1101,Valfruité,3045710044200,['France'],[],[],?,?,?,?,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1102,Ballon de foot bubble gum,0200030226269,['France'],[],[],?,?,?,?,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1103,Confiture artisanal,3770000032079,['France'],[],[],?,0.40000000596046,"0,1",55,"0,4",,2 kj(0 kcal),0,55,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1104,Mentos Pure Fresh,80878087,['France'],[],[],?,?,?,?,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,['Mentos'],,,,,,,,,,,,,,,,
1105,Lonzo,2658913095842,['France'],[],[],?,222,"9,4","0,8",34,,929 kj(222 kcal),"3,8","0,4",6,"2,4",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1106,Bière EGUZKI INDIA PALE ALE,3760057370507,['France'],[],[],?,?,?,?,?,,,,,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1107,Indulgent Butter Chicken Cooking Sauce - By sainsbury's,01843484,['France'],[],[],?,101,"7,4",73,"0,8",,423 kj(101 kcal),"3,9",27,"0,4","0,16",,,,,,,,,,,,,,,,,,,,,,,,,,,,"[""By sainsbury's""]",,,,,,,,,,,,,,,,
1108,Pavés marinés aux 3 poivres,0211109024662,['France'],[],[],?,116,"3,6","0,5",20,,485 kj(116 kcal),1,"0,5","1,1","0,44",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1109,Cacao en poudre 100%,3595180280504,['France'],[],[],?,?,?,?,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1110,Verre,3700989700096,['France'],[],[],?,?,?,?,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1111,Arachides coque grillées,01531459,['France'],[],[],?,?,?,?,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1112,Saint albray,0209808031296,['France'],[],[],?,318,26,0,21,,1331 kj(318 kcal),18,0,"1,5","0,6",,,"['Produits laitiers', 'Produits fermentés', 'Produits laitiers fermentés', 'Fromages', 'Fromages de France']",26 g,en quantité élevée,18 g,en quantité élevée,0 g,en faible quantité,1.5 g,en quantité modérée,,-12%,-11%,-11%,-9%,-100%,-100%,-8%,+16%,+16%,14,-1%,D,-1%,D,,,,84.0%,5.8%,4.0%,4.0%,1.8%,0.5%,54,,,,,,,,
1113,Thé vert infusé saveur citron - Belle France - 1L,3258561301709,['France'],[],[],?,19,0,"4,7",0,,79 kj(19 kcal),0,"4,6",,,"['Bouchon en plastique', 'Bouteille en plastique']",,,,,,,,,,,,,,,,,,,,,,,,,,1 L,['Belle France'],,,,,,,,,,,,,,,,
1114,Cuisse de poulet fermier au paprika,0215903044673,['France'],[],[],?,693,10,1,18,,2900 kj(693 kcal),"2,8","0,7","1,5","0,6",,"['Bio', 'Bio européen', 'AB Agriculture Biologique']","['Viandes', 'Volailles', 'Poulets', 'Cuisses de poulet']",10 g,en quantité modérée,2.8 g,en quantité modérée,0.7 g,en faible quantité,1.5 g,en quantité modérée,,+263%,+262%,-19%,-16%,+214%,+352%,-2%,+97%,+97%,16,+353%,D,+353%,C,,,,83.4%,9.5%,2.7%,2.7%,1.4%,0.4%,44,,,,,,,,
1115,Saucisse aux herbes,0209819024270,['France'],[],[],?,208,16,"0,9",15,,870 kj(208 kcal),6,0,"1,7","0,68",,,"['Viandes', 'Charcuteries', 'Saucisses', 'Saucisses françaises', ""Saucisses d'herbe""]",16 g,en quantité modérée,6 g,en quantité élevée,0 g,en faible quantité,1.7 g,en quantité élevée,,-20%,-20%,-13%,-15%,+16%,-100%,-1%,-2%,-2%,14,-16%,D,-16%,,,,,,,,,,,,,,,,,,,
1116,Saucisse fine,0200931024667,['France'],[],[],?,208,16,"0,9",15,,870 kj(208 kcal),6,0,"1,6","0,64",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1117,Noisettes décortiquées et grillées,01611687,['France'],[],[],?,695,65,"6,8",18,,2908 kj(695 kcal),"4,3","3,9",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1118,Mallows Extrem,8437019566012,['France'],[],[],?,322,0,76,5,,1347 kj(322 kcal),0,70,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1119,Carrés d'auvergne,01631395,['France'],[],[],?,?,?,?,?,,,,,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1120,Tarte au fraises,1111111161623,['France'],[],[],?,175,"7,4",23,"2,9",,732 kj(175 kcal),"4,5","9,7","0,13","0,052",,,"['Tartes', 'Tartes sucrées', 'Tartes aux fruits', 'Tartelettes', 'Tartes aux fraises']",7.4 g,en quantité modérée,4.5 g,en quantité modérée,9.7 g,en quantité modérée,0.13 g,en faible quantité,,-8%,-8%,+7%,+21%,-23%,-39%,+1%,-44%,-44%,7,-12%,C,-12%,D,,,,83.8%,8.2%,3.7%,2.3%,2.0%,0.0%,53,,,,,,,,
1121,Testyuka,3760261180565,['France'],[],[],?,279,"23,4","1,1","15,9",,1167 kj(279 kcal),"3,6","0,82","1,3","0,52",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1122,Testyuka,3760261180589,['France'],[],[],?,174,10,4,18,,728 kj(174 kcal),3,3,"2,1","0,84",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1123,insta: gaspard_crre,3258543146519,['France'],[],[],?,?,?,?,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1124,Château de Gorrichon,3259862611986,['France'],[],[],?,?,?,?,?,,,,,,,,,"['Boissons', 'Boissons alcoolisées', 'Vins', 'Vins français']",,,,,,,,,,,,,,,,,,,,,,,C,,,,46.9%,6.6%,27.8%,12.7%,4.8%,1.3%,43,['France'],,,,,,,
1125,Huile d’olive - Lesieur,3265477922003,['France'],[],[],3700,900,100,0,0,,3700 kj(900 kcal),15,,0,0,,,"['Aliments et boissons à base de végétaux', ""Aliments d'origine végétale"", 'Matières grasses', 'Matières grasses végétales', ""Produits de l'olivier"", 'Huiles', ""Huiles d'olive""]",100 g,en quantité élevée,15 g,en quantité élevée,,,0 g,en faible quantité,+5%,+5%,+3%,+5%,+7%,,,,-100%,-100%,,,,,D,,['Lesieur'],,88.1%,4.5%,3.6%,2.0%,1.7%,0.0%,47,,,,,,,,
1126,Testyuka,3760261180954,['France'],[],[],?,177,9,"1,1",22,"['FR 62.160.011 CE', 'Boulogne-sur-Mer (Pas-de-Calais, France)']",741 kj(177 kcal),"2,1","0,5",3,"1,2",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1127,Testyuka,3760261180947,['France'],[],[],?,182,9,"2,6",22,,761 kj(182 kcal),"2,1",1,3,"1,2",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1128,Corn tortillas,7503008588295,['France'],[],[],?,209,1,0,5,,874 kj(209 kcal),0,0,"0,702","0,281",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1129,Yukatest,3760261181456,['France'],[],[],?,178,10,"1,6",20,,745 kj(178 kcal),"2,9","0,5",3,"1,2",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1130,Glassås Saltlakrits,7318690077312,['France'],[],[],?,330,9,63,0,,1381 kj(330 kcal),"4,5",40,"0,38","0,152",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1131,Ribs de porc à la provencale,2245001036544,['France'],[],[],?,?,?,?,?,"['FR 22.046.001 CE', ""Collinée (Côtes-d'Armor, France)""]",,,,,,['Film en plastique'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1132,Pain aux céréales,2644625008867,['France'],[],[],?,274,"4,7","43,5","11,4",,1146 kj(274 kcal),"0,5","2,5","1,57","0,628",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1133,POP iron spiderman,0889698451383,['France'],[],[],?,598,46,32,"9,2",,2502 kj(598 kcal),27,25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1134,Protein Whey Fraise,3760103006749,['France'],[],[],?,?,?,?,?,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1135,Allaitement optimal,3401560062816,['France'],[],[],?,?,?,?,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1136,Saveurs des coulisses,1682351111292,['France'],[],[],?,?,?,?,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1137,Testyuka,3760261180978,['France'],[],[],?,147,13,"2,4",14,"['FR 62.160.011 CE', 'Boulogne-sur-Mer (Pas-de-Calais, France)']",615 kj(147 kcal),"2,2","1,4","1,2","0,48",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1138,Mélange 5 fruits tropical,3325350500671,['France'],[],[],?,392,"12,48","64,5","2,2",,1640 kj(392 kcal),"10,73",50,"0,13","0,052",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1139,Testyuka,3760261180961,['France'],[],[],?,172,13,"3,2",10,"['FR 62.160.011 CE', 'Boulogne-sur-Mer (Pas-de-Calais, France)']",720 kj(172 kcal),"2,2","2,2","1,6","0,64",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1140,Bonbon,2600280007416,['France'],[],[],?,123,19,5,3,,515 kj(123 kcal),18,1,6,"2,4",,,"['Snacks', 'Snacks sucrés', 'Confiseries', 'Bonbons']",19 g,en quantité modérée,18 g,en quantité élevée,1 g,en faible quantité,6 g,en quantité élevée,,-65%,-66%,+922%,+1598%,-94%,-98%,+42%,+4859%,+4859%,21,+46%,E,+46%,E,,,,90.3%,5.0%,2.2%,2.0%,0.5%,0.0%,34,,,,,,,,
1141,Testyuka,3760261180299,['France'],[],[],?,279,"23,4","1,1","15,9",,1167 kj(279 kcal),"3,6","0,82","1,3","0,52",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1142,Testyuka,3760261180817,['France'],[],[],?,193,"15,2","1,5","12,5",,808 kj(193 kcal),"1,5","0,8","1,2","0,48",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1143,Testyuka,3760261180800,['France'],[],[],?,211,"16,8","1,3","13,8",,883 kj(211 kcal),"1,5","0,6","1,2","0,48",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1144,Rainbow fizz,8426617365011,['France'],[],[],?,?,?,?,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1145,Wasabi En Tube,6921929400037,['France'],[],[],?,325,"14,4","48,1",0,,1360 kj(325 kcal),0,0,"3,062","1,225",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1146,Sorbet plein fruit Délice des îles,3574107543120,['France'],[],[],?,130,"0,15",32,"0,35",,544 kj(130 kcal),"0,06",30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1147,Pain chocolat plaisir,0208714018377,['France'],[],[],?,?,?,?,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1148,Maasdam,0239919009846,['France'],[],[],?,358,28,"0,5",23,,1498 kj(358 kcal),18,"0,5","1,6","0,64",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1149,Pépins de tournesol,8696000013885,['France'],[],[],?,638,"5,3","5,3",30,,2669 kj(638 kcal),5,"4,7","0,36","0,144",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
