,name,bar_code,eco_score,quantity,brand,categories,labels,ingredients_origins,sales_countries,ingredients_list,ingredients_analysis,nova_score,fats_lipids_quantity,fats_lipids_comment,saturated_acids_quantity,saturated_acids_comment,sugar_quantity,sugar_comment,salt_quantity,salt_comment,nutriment_energy-kj_tr,nutriment_energy-kj_tr_diff,nutriment_energy-kcal_tr,nutriment_energy-kcal_tr_diff,nutriment_energy_tr,nutriment_energy_tr_diff,nutriment_fat_tr,nutriment_fat_tr_diff,nutriment_saturated-fat_tr,nutriment_saturated-fat_tr_diff,nutriment_carbohydrates_tr,nutriment_carbohydrates_tr_diff,nutriment_sugars_tr,nutriment_sugars_tr_diff,nutriment_proteins_tr,nutriment_proteins_tr_diff,nutriment_salt_tr,nutriment_salt_tr_diff,nutriment_sodium_tr,nutriment_sodium_tr_diff,nutriment_nutrition-score-fr_tr,nutriment_nutrition-score-fr_tr_diff,nutriment_nutriscore_tr,nutriment_nutriscore_tr_diff,Agriculture,Transformation,Conditionnement,Transport,Distribution,Consommation,Score_ACV,traceability_code,generic_name,packaging,manufacturing,additives,markets,allergens,link,palm_ingredients,producer_info
996,Saucisse Noire D'Alsace - TEMPÉ,3287241904008,,,['TEMPÉ'],,,,['France'],"['gras de porc', 'eau', 'couenne', 'protéines de sang', 'plasma de porc', 'sel', 'épices et aromates', 'oignons', 'arômes naturels', 'sirop de glucose', 'conservateur : nitrite de sodium', ' Boyau naturel de bœuf', ' Porc : origine Union Européenne']","['Non végétalien', 'Non végétarien']",4,,,,,,,,,?,,531,,2222 kj(531 kcal),,52,,19,,"0,7",,"0,4",,16,,"2,2",,"0,88",,,,,,,,,,,,,,,,,"['E250 - Nitrite de sodium', '', 'Risque élevé de sur-exposition']",,,,,
997,Véritable Knack D’Alsace - TEMPE,3287241904480,,,['TEMPE'],,,,['France'],"['viande et gras de porc ', '70%', 'eau', 'viande et gras de bœuf ', '14%', 'sel', 'épices et plantes aromatiques', 'dextrose', 'oignon', 'plasma de porc déshydraté', 'arômes naturels', ""correcteur d'acidité : citrates de sodium"", 'sirop de glucose', 'acidifiant : acide citrique', 'antioxydant : ascorbate de sodium', 'conservateur : nitrite de sodium', ' Boyau naturel de mouton', ' Porc : origine Union Européenne', ' Boeuf origine Union Européenne']","['Sans huile de palme', 'Non végétalien', 'Non végétarien']",4,,,,,,,,,?,,288,,1205 kj(288 kcal),,25,,9,,"1,3",,"0,8",,15,,"2,1",,"0,84",,,,,,,,,,,,,,,,,"['E331 - Citrates de sodium', 'E330 - Acide citrique', 'E301 - Ascorbate de sodium', 'E250 - Nitrite de sodium', '', 'Risque élevé de sur-exposition']",,,,,
998,Véritable Strasbourg rouge - Porc & Boeuf - Fumé au bois de hêtre - Tempé - 240g,3287241906170,E,240 g,['Tempé'],"['Viandes', 'Charcuteries', 'Saucisses', 'Saucisses françaises', 'Saucisses de Strasbourg']",['Point Vert'],['Union européenne'],['France'],"['viande et gras de porc ', '70%', 'viande et gras de bœuf ', '14%', 'eau', 'sel', 'protéines de porc', 'épices et plantes aromatiques', 'dextrose', 'oignons', 'stabilisants : diphosphates', 'polyphosphates', 'sirop de glucose', 'acidifiant : acide citrique', 'arômes', 'antioxydant : ascorbate de sodium', 'conservateur : nitrite de sodium', 'colorants : carmins', 'rocou', ' Boyau naturel de mouton']","['Sans huile de palme', 'Non végétalien', 'Non végétarien']",4,25 g,en quantité élevée,9 g,en quantité élevée,0.7 g,en faible quantité,2.3 g,en quantité élevée,1199,+6%,?,,1199 kj(287 kcal),+4%,25,+3%,9,-2%,"1,2",-16%,"0,7",-38%,15,+19%,"2,3",+19%,"0,92",+19%,21,+10%,E,+10%,87.6%,6.5%,1.9%,1.1%,0.6%,2.4%,22,"['FR 68.166.001 CE', 'Kingersheim (Haut-Rhin, France)']",Véritable Strasbourg rouge supérieure,"['Barquette', 'Film', 'Plastique', 'Frais']",,"['E450 - Diphosphates', '', 'Risque élevé de sur-exposition', 'E452 - Polyphosphates', '', 'Risque élevé de sur-exposition', 'E330 - Acide citrique', 'E301 - Ascorbate de sodium', 'E250 - Nitrite de sodium', '', 'Risque élevé de sur-exposition', 'E120 - Acide carminique', 'E160b - Rocou']",['Carrefour'],,,,
999,8 saucisses de Strasbourg rouges - La Cigogne Au Long Bec,3287241906200,E,,['La Cigogne Au Long Bec'],"['Viandes', 'Charcuteries', 'Saucisses', 'Saucisses françaises', 'Saucisses de Strasbourg']",,,['France'],"['gtdS et viande de porct eaut viande et gras de boeuft selt protéines de porq épices et plantes aromatiques dextroset Oignons stabilisants : E450i E452t sirop de glucoset acidifiant : E330t arômes antioxydant : E301t conservateur {2501 colorants : E1201 E160b', ' Boyau naturel de mouton', 'Porc', ' origine Union Européenne', ' Boeuf origine Union Européenne', 'Valaurs']","['Non végétalien', 'Non végétarien']",4,25 g,en quantité élevée,9 g,en quantité élevée,0.7 g,en faible quantité,2.3 g,en quantité élevée,?,,287,+5%,1201 kj(287 kcal),+4%,25,+3%,9,-2%,"1,2",-16%,"0,7",-38%,15,+19%,"2,3",+19%,"0,92",+19%,21,+10%,E,+10%,87.6%,6.5%,1.9%,1.1%,0.6%,2.4%,22,,,,,"['E450i - Pyrophosphate de sodium acide', 'E1201 - Poly vinyl pyrrolidone', 'E160b - Rocou']",,,,,
1000,Véritable Saucisse de Lyon de Qualité Supérieure - Tempé - 250g,3287241911204,,250 g,"['Tempé', 'Maurer-Tempé']","['Viandes', 'Charcuteries', 'Saucisses']","['Point Vert', 'Qualité supérieure']",['Union européenne'],['France'],"['viande et gras de porc', 'eau', 'sel', 'protéines de porc', 'épices et plantes aromatiques', 'oignons', 'dextrose', 'sirop de glucose', 'stabilisants : E450', 'E452', 'antioxydants : E301', 'E300', 'acidifiant : E330', 'conservateur : E250', ' Boyau non comestible']","['Non végétalien', 'Non végétarien']",4,30 g,en quantité élevée,11 g,en quantité élevée,0.5 g,en faible quantité,2.1 g,en quantité élevée,?,,319,+25%,1335 kj(319 kcal),+25%,30,+44%,11,+39%,"0,9",-37%,"0,5",-34%,11,-27%,"2,1",+7%,"0,84",+7%,22,+26%,E,+26%,,,,,,,,"['FR 68.166.001 CE', 'Kingersheim (Haut-Rhin, France)']",,"['Plastique', 'Frais']",['France'],"['E450 - Diphosphates', '', 'Risque élevé de sur-exposition', 'E452 - Polyphosphates', '', 'Risque élevé de sur-exposition', 'E301 - Ascorbate de sodium', 'E300 - Acide ascorbique', 'E330 - Acide citrique', 'E250 - Nitrite de sodium', '', 'Risque élevé de sur-exposition']",['Grand Frais'],,,,
1001,Veritable saucisse au jambon d'Alsace - Tempé,3287241913109,,,['Tempé'],,,,['France'],[],[],,,,,,,,,,?,,241,,1008 kj(241 kcal),,20,,"7,2",,"1,3",,"0,7",,14,,"2,3",,"0,92",,,,,,,,,,,,,,,,,,,,,,
1002,Saucisse Pistachée supérieure - Tempé - 250g,3287241914205,,250 g,"['Tempé', 'Maurer-Tempé']","['Viandes', 'Charcuteries', 'Saucisses']",['Boyau non comestible'],['Union européenne'],['France'],"['viande et gras de porc', 'eau', 'langue de porc', 'pistaches ', '2', '5 %', 'sel', 'protéines de porc', 'épices et plantes aromatiques', 'oignons', 'dextrose', 'sirop de glucose', 'stabilisants : diphosphate', 'polyphosphates', 'antioxydants : ascorbate de sodium', 'acide ascorbique', 'érythorbate de sodium', 'acidifiant : acide citrique', 'conservateur : nitrite de sodium']","['Sans huile de palme', 'Non végétalien', 'Non végétarien']",4,27 g,en quantité élevée,9.6 g,en quantité élevée,0.6 g,en faible quantité,2 g,en quantité élevée,1229,+15%,?,,1229 kj(294 kcal),+15%,27,+30%,"9,6",+21%,1,-30%,"0,6",-20%,12,-21%,2,+2%,"0,8",+2%,20,+14%,E,+14%,,,,,,,,"['FR 68.166.001 CE', 'Kingersheim (Haut-Rhin, France)']",,"['Plastique', 'Frais']",['France'],"['E450 - Diphosphates', '', 'Risque élevé de sur-exposition', 'E452 - Polyphosphates', '', 'Risque élevé de sur-exposition', 'E301 - Ascorbate de sodium', 'E300 - Acide ascorbique', 'E316 - Érythorbate de sodium', 'E330 - Acide citrique', 'E250 - Nitrite de sodium', '', 'Risque élevé de sur-exposition']",['Grand Frais'],['Fruits à coque'],,,
1003,Veritable Saucisse Aux Olives D'alsace Superieure - Tempé,3287241916247,,,['Tempé'],,,,['France'],[],[],,,,,,,,,,?,,224,,937 kj(224 kcal),,19,,"6,1",,"0,4",,"0,2",,14,,"2,1",,"0,84",,,,,,,,,,,,,"['FR 68.166.001 CE', 'Kingersheim (Haut-Rhin, France)']",,,,,,,,,
1004,Saucisses Maurer Foie + colmett,3287241920091,,,,"['Viandes', 'Charcuteries', 'Saucisses']",,,['France'],[],[],,47 g,en quantité élevée,10 g,en quantité élevée,0.3 g,en faible quantité,2.8 g,en quantité élevée,?,,479,+88%,2004 kj(479 kcal),+87%,47,+126%,10,+26%,"0,5",-65%,"0,3",-60%,13,-14%,"2,8",+43%,"1,12",+43%,24,+37%,E,+37%,,,,,,,,,,,,,,,,,
1005,"Fleischnacka, 2 Tranches",3287241954003,,,,,,,['France'],[],[],,,,,,,,,,?,,170,,711 kj(170 kcal),,"8,4",,"3,1",,11,,"1,4",,13,,"1,6",,"0,64",,,,,,,,,,,,,,,,,,,,,,
1006,500g,3287244007027,,500 g,,,,,['France'],[],[],,,,,,,,,,?,,?,,,,?,,,,?,,,,?,,,,,,,,,,,,,,,,,,,,,,,,,,
1007,"Pâté en croûte poulet et sa jardinière de légumes BOLARD, 1tranche - Michel BOLARD",3287360737921,,,['Michel BOLARD'],,,,['France'],"['Farce: Viande de poulet ', 'origine France', ' 69,7%', 'jardiniere de legumes 14,2% ', 'Carotte rouge', 'poireaux', 'carottes jaune', 'haricots verts', 'petits pois', 'CELERI', 'flageolet', '\rnavet', 'echalote', 'vinaigre de vin', 'poivrons', 'epices', 'sel', 'gelatine porcine', 'conservateur : E202', 'gelee ', 'bouillon ', 'eau', 'vin blanc', 'Madere', 'sel', 'conservateurs ', 'E250', 'E202', 'extraits \rde Legumes et de plantes aromatiques dont CELERI', 'arome naturel de volaille', 'gelifiant E407', 'gelatine porcine', 'echalote', 'eau', 'vin blanc', 'sel', 'plantes aromatiques', 'gelatine \rporcine', 'citron confit ', 'citron', 'eau', 'sel', 'sucre', 'vinaigre de Xeres', 'BEURRE', 'madere', 'epices', 'antioxydant E301', 'conservateur E250', 'aromes naturels de Legumes et de \rvolaille', ' Pate:Farine de BLE', 'eau', 'margarine', 'matiere grasse vegetale: palme,eau,huile vegetale:colza,emulsifiant E471,acidifiant E330', 'BEURRE', 'sel', 'colorant E160a', ' Decor: Jardiniere de Legumes ', 'Carotte rouge', 'poireaux', 'carottes jaune', 'haricots verts', 'petits pois', ' CELERI', 'flageolet', 'navet', 'echalote', 'vinaigre de vin', 'poivrons', 'epices', 'sel', 'gelatine porcine', 'conservateur : E202', 'Ail', 'Thym', ' \rPeut contenir des traces de MOUTARDE', ""d'OEUF et de fruits a coque""]","['Huile de palme', 'Non végétalien', 'Non végétarien']",4,,,,,,,,,?,,160,,669 kj(160 kcal),,"6,6",,"2,8",,"9,9",,"1,9",,15,,"1,6",,"0,64",,,,,,,,,,,,,"['FR 39.475.003 CE', 'Saint-Amour (Jura, France)']",,,,"['E428 - Gélatine', 'E202 - Sorbate de potassium', '', 'Risque élevé de sur-exposition', 'E250 - Nitrite de sodium', '', 'Risque élevé de sur-exposition', 'E407 - Carraghénanes', '', 'Risque élevé de sur-exposition', 'E301 - Ascorbate de sodium', ""E471 - Mono- et diglycérides d'acides gras alimentaires"", 'E330 - Acide citrique', 'E160a - Carotènes mélangés']",,"['Céleri', 'Œufs', 'Gluten', 'Lait', 'Moutarde']",,['Huile de palme'],
1008,Pâté en Croûte blanc de poulet,3287360739192,,,,,,,['France'],[],[],,,,,,,,,,?,,202,,845 kj(202 kcal),,11,,"5,6",,13,,"1,3",,12,,"1,6",,"0,64",,,,,,,,,,,,,,,,,,,,,,
1009,Pâtés croute - Michel bolard,3287360754065,,,['Michel bolard'],,,,['France'],[],[],,,,,,,,,,?,,?,,,,?,,,,?,,,,?,,,,,,,,,,,,,,,,,,,,,,,,,,
1010,Mini Croûte Lunch - La ronde des gourmands,3287360761940,,,['La ronde des gourmands'],,['Fabriqué en France'],,['France'],"[""vale çontenir des'taces de fruib à coqdes et dé moutar é"", ' *Origine France', ' Amffweffe00Cet+40C A consomwavant : voir date figurant sur Pernbaffage ou rapidement après Fabriquédlfrance Sel']",[],,,,,,,,,,?,,300,,1255 kj(300 kcal),,20,,"7,3",,20,,"1,4",,"8,7",,"1,8",,"0,72",,,,,,,,,,,,,"['EMB 39173A', 'Cousance (Jura, France)']",,,,,,,,,
1011,Mini Pâté en Croûte de volaille - Carrefour - 500g,3287360762114,E,500 g,['Carrefour'],"['Snacks', 'Viandes', 'Snacks salés', 'Apéritif', 'Plats préparés', 'Charcuteries', 'Frais', 'Produits à la viande', 'Plats préparés à la viande', 'Plats au porc', 'Plats à la volaille', 'Charcuteries cuites', 'Plats au poulet', 'Pâté en croûte']",,,['France'],"['Farine de blé', 'beurre', 'viande de porc 14%', 'filet de poulet 13%', 'eau', 'gelée ', 'eau', 'vin blanc', 'gélatine de porc', 'sel', 'Madère', 'céleri', 'carotte', 'oignon', 'échalote', 'ail', 'thym', 'laurier', 'persil', 'conservateur : nitrite de sodium', 'arôme naturel de volaille', 'Madère', 'foie de poulet 1', '9%', 'sel', 'oeuf entier', ""jaune d'oeuf"", 'gras de porc', 'épices et plantes aromatiques ', 'échalote', 'persil', 'poivre', 'muscade', 'cannelle', 'girofle', 'vin blanc', 'trompette de la mort', 'sirop de glucose', 'Brandy', 'colorant : béta-carotène', 'antioxydants : ascorbate de sodium et acide ascorbique', 'conservateur : nitrite de sodium', "" Ce produit est composé d'environ 53% de pâte et de 38% de farce""]","[""Pourrait contenir de l'huile de palme"", 'Non végétalien', 'Non végétarien']",4,15 g,en quantité modérée,8.7 g,en quantité élevée,1.3 g,en faible quantité,1.7 g,en quantité élevée,1158,-7%,?,,1158 kj(277 kcal),-5%,15,-18%,"8,7",+10%,24,+17%,"1,3",+18%,11,+3%,"1,7",+1%,"0,68",+1%,17,-1%,D,-1%,84.3%,11.4%,2.7%,1.0%,0.5%,0.1%,17,"['FR 39.475.003 CE', 'Saint-Amour (Jura, France)']",,"['Sachet', 'Plastique', 'Sous atmosphère protectrice']",['France'],"['E428 - Gélatine', 'E250 - Nitrite de sodium', '', 'Risque élevé de sur-exposition', 'E160ai - Bêta-carotène', 'E301 - Ascorbate de sodium', 'E300 - Acide ascorbique']",['Carrefour'],"['Céleri', 'Œufs', 'Gluten', 'Lait']",,,
1012,Terrine de poulet au citron et terrine de poulet au chorizo -  - 256g,3287360769069,,256 g,,"['Viandes', 'Charcuteries', 'Produits à la viande', 'Terrines', 'Terrines de poulet']",,,['France'],[],[],,8.5 g,en quantité modérée,3.7 g,en quantité modérée,2.1 g,en faible quantité,2 g,en quantité élevée,?,,165,-39%,690 kj(165 kcal),-38%,"8,5",-61%,"3,7",-53%,"2,8",+27%,"2,1",+133%,"19,3",+36%,2,+22%,"0,8",+22%,12,-27%,D,-27%,,,,,,,,"['FR 39.475.003 CE', 'Saint-Amour (Jura, France)', 'EMB 39173A', 'Cousance (Jura, France)']",,,,,,,,,
1013,Petits pates en croute JEAN BRIENT,3287360770515,,,,,,,['France'],[],[],,,,,,,,,,?,,321,,1343 kj(321 kcal),,23,,"8,5",,20,,"1,2",,"8,8",,2,,"0,8",,,,,,,,,,,,,,,,,,,,,,
1014,Pate en croute - Le P’tit Bloc,3287360770546,,,['Le P’tit Bloc'],,['Fabriqué en France'],,['France'],"['Farce 57%: Viande de pore', 'gras de porc', 'eau', 'gelée 14% ', 'bouillon ', 'eau', 'vin blanc', 'Madère', 'sel', 'conservateurs ', 'E250', 'E202', 'extraits de légumes et de plantes aromatiques dont céleri', 'arôme naturel de volaille', 'gélifiant E407', 'gélatine porcine', 'farine de blé', 'foie de porc', 'fécule', 'viande de dinde * ', 'blanc dtœuf', 'vin blanc', 'protéine de blé', 'Macardan ', 'bases viniques', ""alcool aromatisantes d'origine agricole"", 'préparations naturelles', 'sel', 'sirop de glucose', 'oignons rissolés ', 'oignon', 'huile de tournesol', 'stabilisants ', 'E450', 'E451', 'plantes aromatiques', 'saindoux', 'conjonctif de porc', 'Brandy', 'colorants ', 'E120', 'E150a', 'épices', 'dextrose E301f conservateur E250', 'arômes naturels Pâte 43%: Farine de blé', 'eau', 'saindoux', 'sel', 'curcuma Décor', ' Eau', 'colorant El 50a', ' Peut contenir des traces df lait', 'de fruits à coque et de moutarde', ' *Origine France']","['Non végétalien', 'Non végétarien']",4,,,,,,,,,?,,321,,1343 kj(321 kcal),,23,,"8,5",,20,,"1,2",,"8,8",,2,,"0,8",,,,,,,,,,,,,"['FR 39.475.003 CE', 'Saint-Amour (Jura, France)', 'EMB 39173A', 'Cousance (Jura, France)']",,,,"['E250 - Nitrite de sodium', '', 'Risque élevé de sur-exposition', 'E202 - Sorbate de potassium', '', 'Risque élevé de sur-exposition', 'E407 - Carraghénanes', '', 'Risque élevé de sur-exposition', 'E428 - Gélatine', 'E450 - Diphosphates', '', 'Risque élevé de sur-exposition', 'E451 - Triphosphates', '', 'Risque élevé de sur-exposition', 'E120 - Acide carminique', 'E150a - Caramel E150a']",,['Gluten'],,,
1015,Tranche de pâté en croûte de jambon - Michel Bolard - 130g,3287360771918,E,130 g,['Michel Bolard'],"['Viandes', 'Charcuteries', 'Charcuteries cuites', 'Pâté en croûte']",,,['France'],"['Farce : viande de jambon 53%', 'gorge de porc', 'gelée ', 'bouillon ', 'eau', 'vin blanc', 'madere', 'sel', 'conservateurs ', 'E250', 'E202', 'extraits de légumes et de plantes aromatiques dont céleri', 'arôme naturel de volaille', 'gélifiant : E407', 'gélatine de porc', 'foie de porc', 'amidon de riz', 'vin blanc', 'oeuf entier', 'pistaches 2%', 'conjonctif de porc', 'oignon', 'gras de porc', 'oignon', 'gras de porc', 'sel', 'sirop de glucose', 'échalotes', 'plantes aromatiques', 'dextrose de blé', 'protéines de lait', 'épices', 'huile de tournesol', 'madère', 'antioxydants ', 'E301', 'E300', 'conservateur : E250', ' Pâte : farine de blé', 'eau', 'beurre', 'saindoux', 'sel', 'colorant : E160a']","[""Pourrait contenir de l'huile de palme"", 'Non végétalien', 'Non végétarien']",4,,,,,,,,,?,,?,,,,?,,,,?,,,,?,,,,,,,,,,84.3%,11.4%,2.7%,1.0%,0.5%,0.1%,17,"['EMB 39173A', 'Cousance (Jura, France)', 'FR 39.475.003 CE', 'Saint-Amour (Jura, France)']",pâté en croûte de jambon,"['Plastique', 'Frais']",,"['E250 - Nitrite de sodium', '', 'Risque élevé de sur-exposition', 'E202 - Sorbate de potassium', '', 'Risque élevé de sur-exposition', 'E407 - Carraghénanes', '', 'Risque élevé de sur-exposition', 'E428 - Gélatine', 'E301 - Ascorbate de sodium', 'E300 - Acide ascorbique', 'E160a - Carotènes mélangés']",['Auchan'],"['Céleri', 'Œufs', 'Gluten', 'Lait', 'Fruits à coque']",,,
1016,Pâté en croûte de Jambon pistache -,3287360771956,E,,,"['Viandes', 'Charcuteries', 'Charcuteries diverses', 'Pâté', 'Pâtés de porc', 'Charcuteries cuites', 'Pâtés de campagne', 'Pâté en croûte']",,['Porc origine France'],['France'],[],[],,17 g,en quantité modérée,7.1 g,en quantité élevée,0.8 g,en faible quantité,1.5 g,en quantité modérée,?,,265,-10%,1109 kj(265 kcal),-9%,17,-7%,"7,1",-10%,13,-37%,"0,8",-27%,14,+31%,"1,5",-11%,"0,6",-11%,16,-6%,D,-6%,84.3%,11.4%,2.7%,1.0%,0.5%,0.1%,17,"['FR 39.475.003 CE', 'Saint-Amour (Jura, France)']",,"['Sous atmosphère protectrice', 'Frais']",,,,,,,
1017,Pate en croute,3287360771963,,,,,,,['France'],[],[],,,,,,,,,,?,,279,,1167 kj(279 kcal),,18,,7,,15,,"0,7",,13,,"1,6",,"0,64",,,,,,,,,,,,,,,,,,,,,,
1018,Pâté en croûte de canard pistache,3287360776029,,,,,,,['France'],[],[],,,,,,,,,,?,,246,,1029 kj(246 kcal),,15,,"5,9",,13,,"0,5",,14,,"1,8",,"0,72",,,,,,,,,,,,,,,,,,,,,,
1019,Pâté en croute BRESSAN - Auchan - 100g,3287360776036,,100 g,['Auchan'],,,,['France'],"['Farce 62%: Viande de porc*', 'viande de dinde*', 'gelee ', 'eau', 'vin bLanc', 'Madere', 'sel', 'conservateurs ', 'E250', 'E202', 'extraits de legumes et de plantes aromatiques dont CELERI', 'arome naturel de volaille', 'gelifiant ', 'E407', 'gelatine porcine', 'foie de poulet', 'vin blanc', 'OEUF entier', 'amidon de riz', 'sel', 'sirop de glucose', 'Marc de Bourgogne', 'farine de BLE', 'Brandy', 'eau', 'epices', 'colorants ', 'E 120', 'E160a', 'BEURRE', 'saindoux', 'antioxydants ', 'E300', 'E301', 'conservateur ', 'E250', ""jaune d'OEUF"", 'sucre', 'aromes naturels', ' \r* Origine France', ' \rPate 38%: Farine de BLE', 'eau', 'BEURRE', 'saindoux', 'sel', 'colorant ', 'E160a', ' \rPeut contenir des traces de FRUITS A COQUE et de MOUTARDE']","[""Pourrait contenir de l'huile de palme"", 'Non végétalien', 'Non végétarien']",4,,,,,,,,,?,,255,,1067 kj(255 kcal),,17,,"7,5",,12,,"0,5",,13,,"1,6",,"0,64",,,,,,,,,,,,,"['EMB 39173A', 'Cousance (Jura, France)', 'FR 39.475.003 CE', 'Saint-Amour (Jura, France)']",,,,"['E250 - Nitrite de sodium', '', 'Risque élevé de sur-exposition', 'E202 - Sorbate de potassium', '', 'Risque élevé de sur-exposition', 'E407 - Carraghénanes', '', 'Risque élevé de sur-exposition', 'E428 - Gélatine', 'E120 - Acide carminique', 'E160a - Carotènes mélangés', 'E300 - Acide ascorbique', 'E301 - Ascorbate de sodium']",['Auchan'],"['Céleri', 'Œufs', 'Gluten', 'Lait']",,,
1020,Gateau Basque surgelée - Bernadet - 660g,3287370002439,,660g,['Bernadet'],"['Snacks', 'Snacks sucrés', 'Surgelés', 'Biscuits et gâteaux', 'Gâteaux', 'Gâteaux et pâtisseries surgelés']",,"['France', 'Landes', 'Saint Martin de Hinx', 'Saint Vincent de Tyrosse']",['France'],"['Pate 55% : farine de blé', 'sucre', 'beurre 10%', 'eau', 'œufs', 'poudre à lever ', 'stabilisant :E450', 'acidifiant : E500', 'sel', ' Garniture 45% : crème patissiere ', 'eau', 'sucre,amidon modîfë', 'lait entier en poudre,lait écrémé en poudre', 'creme déshydratée', 'lactose', 'protéines du lait', 'lactosérum', 'dextroxe', 'apaississant : E450', 'émulsifiant : E472a et E472B', 'sirop de glucose déshydraté', 'sel', 'colorants : E160 et E101', ""arôme d'amande amere"", 'coonservateur : E202']","[""Pourrait contenir de l'huile de palme"", 'Non végétalien']",4,8.9 g,en quantité modérée,,,,,,,1178,-18%,?,,1178 kj(282 kcal),-16%,"8,9",-48%,,,"46,4",+20%,,,"3,5",-31%,,,,,,,,,,,,,,,,"['EMB 40272', 'Saint-Martin-de-Hinx (Landes, France)']",,"['Carton', 'surgelé']",['France'],"['E450 - Diphosphates', '', 'Risque élevé de sur-exposition', 'E500 - Carbonates de sodium', ""E472a - Ester diacétyl-acétique d'acides gras"", ""E472b - Ester diacétyl-lactique de mono- et diglycérides d'acides gras"", 'E160 - Caroténoïdes', 'E101 - Riboflavine', 'E202 - Sorbate de potassium', '', 'Risque élevé de sur-exposition']",['Carrefour'],"['Œufs', 'Lait']",,,
1021,Soupe Ttoro marmite du pêcheur - Toupargel - 750g,3287370002484,,750 g,['Toupargel'],,,,['France'],"['notre plajstr', 'nous conti11U011S a perpetuer fidèl INGRÉDIENTS ', '0% mis œuvre', ' : 60% FOND DE SAUCE : cati', 'tomates', 'vin blanc', 'farine de blé', 'matië1V grasse ', 'huile et graisse végétale', 'émulsifLU1t : lécithine ', 'soja', 'acide gras', 'acidifiant: acide citrique', ': sorbate de smusium', 'aromates ', 'herbes de Pmvcnce', 'thym', 'laurier', 'piment de caycnnc', 'exhausteur de goût : E621', ' 40% GARNITURE : QUALITÉ SANS ARÊTE : malgré tout te win apporté à la préparation de nos poissons', ""la présence exceptionnelle d'arête n'est jamais exclue""]","[""Pourrait contenir de l'huile de palme""]",4,,,,,,,,,?,,39,,163 kj(39 kcal),,"0,64",,"0,22",,"2,84",,"0,66",,"4,94",,"0,97",,"0,388",,,,,,,,,,,,,,,,,"['E322i - Lécithine', 'E570 - Acide stéarique', 'E330 - Acide citrique', 'E621 - Glutamate monosodique', '', 'Risque élevé de sur-exposition']",,"['Gluten', 'Soja']",,,
1022,Gratin de saint Jacques aux fruits de mer -,3287390060174,,,,"['Plats préparés', 'Gratins']",,,['France'],[],[],,7.3 g,en quantité modérée,5.4 g,en quantité élevée,3.2 g,en faible quantité,0.48 g,en quantité modérée,?,,131,+2%,548 kj(131 kcal),+3%,"7,3",+5%,"5,4",+40%,"6,9",-31%,"3,2",+67%,"8,8",+84%,"0,48",-32%,"0,192",-32%,3,-29%,C,-29%,,,,,,,,,,,,,,,,,
