,name,bar_code,eco_score,quantity,brand,categories,labels,ingredients_origins,sales_countries,ingredients_list,ingredients_analysis,nova_score,fats_lipids_quantity,fats_lipids_comment,saturated_acids_quantity,saturated_acids_comment,sugar_quantity,sugar_comment,salt_quantity,salt_comment,nutriment_energy-kj_tr,nutriment_energy-kj_tr_diff,nutriment_energy-kcal_tr,nutriment_energy-kcal_tr_diff,nutriment_energy_tr,nutriment_energy_tr_diff,nutriment_fat_tr,nutriment_fat_tr_diff,nutriment_saturated-fat_tr,nutriment_saturated-fat_tr_diff,nutriment_carbohydrates_tr,nutriment_carbohydrates_tr_diff,nutriment_sugars_tr,nutriment_sugars_tr_diff,nutriment_proteins_tr,nutriment_proteins_tr_diff,nutriment_salt_tr,nutriment_salt_tr_diff,nutriment_sodium_tr,nutriment_sodium_tr_diff,nutriment_nutrition-score-fr_tr,nutriment_nutrition-score-fr_tr_diff,nutriment_nutriscore_tr,nutriment_nutriscore_tr_diff,Agriculture,Transformation,Conditionnement,Transport,Distribution,Consommation,Score_ACV,traceability_code,generic_name,packaging,manufacturing,additives,markets,allergens,link,palm_ingredients,producer_info
20,Cake à la truite fumée poireaux et ciboulette,3276770233444,,,,,,,['France'],[],[],,,,,,,,,,?,,334,,1397 kj(334 kcal),,24,,"5,1",,16,,"2,6",,12,,"1,4",,"0,56",,,,,,,,,,,,,,,,,,,,,,
21,Rillettes de la mer - Lidl,3276770233475,,,['Lidl'],,,,['France'],"['thon ', '33,5%', 'chair de poissons', 'eau', 'huile de de pousses de bambou', 'jus de citron', 'double concentré de tomates', 'de blé', 'protéines de lait', 'sel', 'poivre vert ', '0,5%', 'épaississant deftose', 'échalote', 'poivre', ' ', ' céleri', 'crustacés', 'fruits à coques', 'éventuelles de mollusques', 'moutarde', 'œuf', 'graines de sésame', 'soja', 'sulfites,']","['Non végétalien', 'Non végétarien']",4,,,,,,,,,?,,217,,908 kj(217 kcal),,17,,"1,2",,0,,0,,16,,"1,11",,"0,444",,,,,,,,,,,,,,,,,,['Lidl'],"['Céleri', 'Crustacés', 'Œufs', 'Poisson', 'Gluten', 'Lait', 'Mollusques', 'Moutarde', 'Fruits à coque', 'Graines de sésame', 'Soja', 'Anhydride sulfureux et sulfites']",,,
22,Rillettes de truite à la moutarde - Deluxe,3276770233482,E,,['Deluxe'],"['Viandes', 'Produits de la mer', 'Produits à tartiner', 'Poissons', 'Plats préparés', 'Charcuteries', 'Produits à tartiner salés', 'Rillettes', 'Préparations de poisson', 'Plats préparés au poisson', 'Rillettes de poissons', 'Rillettes de saumon', 'Rillettes de truite', 'en:Preparations-made-from-fish-meat']",,,['France'],"['Truite ', '52,5%', 'chair de poissons', 'eau', 'huile de colza ', 'eau', 'graines de moutarde', 'vinaigre', 'sel', ' jus de citron pousses de bambou', 'double concentré de tomates', 'dextrose protéines de lait', 'sel', 'épaississant : E415', 'zestes de citron', 'poivre', 'choulete', 'lîceséventuelles de : céleri', 'céréales contenant du gluten', 'crustacés', 'à coques', 'lupin', 'mollusques', 'œuf', 'graines de sésame', 'soja', 'GIGRueKeroch - F-29510 Landrévarzec etcouverde / 150g eter poids net :']","['Non végétalien', 'Non végétarien']",4,15 g,en quantité modérée,1.7 g,en quantité modérée,0.8 g,en faible quantité,0.86 g,en quantité modérée,?,,200,-7%,837 kj(200 kcal),-6%,15,-6%,"1,7",-69%,"2,6",+16%,"0,8",-7%,14,-1%,"0,86",-17%,"0,344",-17%,0,-100%,B,-100%,88.2%,4.1%,1.6%,5.2%,0.7%,0.2%,25,,,,,['E415 - Gomme xanthane'],['Lidl'],"['Crustacés', 'Œufs', 'Poisson', 'Gluten', 'Lupin', 'Mollusques', 'Moutarde', 'Graines de sésame', 'Soja']",,,
23,Cake chorizo & poivron rouge - Guyader,3276770241562,,,['Guyader'],,,,['France'],[],[],,,,,,,,,,?,,311,,1301 kj(311 kcal),,22,,"6,3",,18,,"3,2",,11,,2,,"0,8",,,,,,,,,,,,,,,,,,,,,,
24,Cake Chèvre & courgettes - Guyader,3276770241586,,,['Guyader'],"['Snacks', 'Snacks salés', 'Cake aux legumes']",,,['France'],[],[],,19 g,en quantité modérée,5.8 g,en quantité élevée,3.9 g,en faible quantité,1.5 g,en quantité modérée,?,,271,+0%,1134 kj(271 kcal),+1%,19,+5%,"5,8",+35%,14,-15%,"3,9",+13%,"9,5",+9%,"1,5",+9%,"0,6",+9%,14,+28%,D,+28%,,,,,,,,,,,,,,,,,
25,Cake poulet au curry - Guyader,3276770241708,,,['Guyader'],,,,['France'],[],[],,,,,,,,,,?,,262,,1096 kj(262 kcal),,16,,"3,5",,15,,"3,1",,14,,"1,8",,"0,72",,,,,,,,,,,,,,,,,,,,,,
26,Mini cakes foie gras et figue - Guyader,3276770241937,,,['Guyader'],,,,['France'],"['ngrédients : OEUFS', 'farine de BLE', 'LAIT', 'foie gras de canard', '13%', 'huile de colza', 'figues ', 'figues séches', 'farine de riz', '12%', 'EMMENTAL', 'fibres de pousses de bambou', 'sucre', 'poudre à lever:E450i-E500ii', 'sel', 'persil', 'poivre', ' Traces éventuelles de céleri', 'crustacés', 'fruits à coques', 'lupin', 'mollusques', 'moutarde', 'poisson', 'sésame', 'soja', 'sulfites', ' Origine foie gras • Europe']","['Non végétalien', 'Non végétarien']",4,,,,,,,,,?,,343,,1435 kj(343 kcal),,22,,"6,6",,24,,"9,6",,"9,3",,"1,4",,"0,56",,,,,,,,,,,,,,,,,"['E450i - Pyrophosphate de sodium acide', 'E500ii - Carbonate acide de sodium']",,"['Œufs', 'Gluten', 'Lait']",,,
27,Cake Foie Gras & Figues - Guyader,3276770241968,,,['Guyader'],"['Plats préparés', 'Tartes', 'Pizzas tartes salées et quiches', 'Tartes salées', 'Réfrigérés', 'Plats préparés réfrigérés', 'en:savoury-cake-with-cheese-vegetables-meat-fish-poultry']",,,['France'],[],[],,22 g,en quantité élevée,6.6 g,en quantité élevée,9.6 g,en quantité modérée,1.4 g,en quantité modérée,?,,343,+16%,1435 kj(343 kcal),+17%,22,+12%,"6,6",+40%,24,+52%,"9,6",+262%,"9,3",-15%,"1,4",-7%,"0,56",-7%,14,+24%,D,+24%,,,,,,,,,,"['Frais', 'Plastique']",,,,,,,
28,Cake au saumon et crevettes - Guyader - 160g,3276770242569,,160 g,['Guyader'],"['Plats préparés', 'Plats préparés au poisson', 'en:Galette salée', 'en:Salmon cake', 'en:Savory cake']",,,['France'],"['SAUMON ', '24%', ' ', 'dont 4,5% de SAUMON fumé', 'OEUFS', 'farine de BLE', 'huile de colza', 'LAIT', 'CREVETTES ', '9,5%', 'EMMENTAL', 'fibres de pousses de bambou', 'sucre', 'poudre à lever : diphosphate disodique', 'bicarbonate de sodium', 'sel', 'oignons ', 'SULFITES', 'ciboulette', 'wakamé', 'poivre', ' Traces éventuelles de : céleri', 'fruits à coques', 'graines de sésame', 'lupin', 'mollusques', 'moutarde', 'soja']","['Non végétalien', 'Non végétarien']",4,16.4 g,en quantité modérée,3.3 g,en quantité modérée,2.6 g,en faible quantité,1.3 g,en quantité modérée,1126,+77%,269,+51%,1126 kj(269 kcal),+56%,"16,4",+58%,"3,3",+22%,"12,4",+49%,"2,6",+73%,"16,2",+73%,"1,3",+26%,"0,52",+26%,11,+133%,D,+133%,,,,,,,,,,,,"['E450i - Pyrophosphate de sodium acide', 'E500ii - Carbonate acide de sodium']",,"['Crustacés', 'Œufs', 'Poisson', 'Gluten', 'Lait', 'Anhydride sulfureux et sulfites']",,,
29,Thon - Guyader,3276770243221,,,['Guyader'],,['en:produced-in-bretagne'],,['France'],[],[],,,,,,,,,,?,,204,,854 kj(204 kcal),,15,,10,,"3,1",,"1,5",,"14,6",,"0,9",,"0,36",,,,,,,,,,,,,,,,"['Bretagne', 'France']",,,,,,
30,Oeufs de truite - Guyader,3276770243320,,,['Guyader'],"['en:Trout eggs', 'Oeufs de truite']",['Sans colorants'],,['France'],"['œufs de TRUITE ', '96%', 'sel', ' Traces éventuelles de céleri', 'céréales contenant du gluten', 'crustacés', 'fruits à coque', 'lait', 'lupin', 'mollusques', 'moutarde', 'œufs', 'graines de sésame', 'soja', 'sulfites']",[],3,9.9 g,en quantité modérée,2.1 g,en quantité modérée,0.4 g,en faible quantité,0.2 g,en faible quantité,?,,204,+11%,854 kj(204 kcal),+11%,"9,9",+25%,"2,1",+59%,"2,7",+18%,"0,4",+25%,26,-3%,"0,2",-93%,"0,08",-93%,-1,-108%,A,-108%,,,,,,,,,,,,,,['Poisson'],,,
