,name,bar_code,sales_countries,ingredients_list,ingredients_analysis,nutriment_energy-kj_tr,nutriment_energy-kcal_tr,nutriment_fat_tr,nutriment_carbohydrates_tr,nutriment_proteins_tr,eco_score,categories,labels,fats_lipids_quantity,fats_lipids_comment,saturated_acids_quantity,saturated_acids_comment,sugar_quantity,sugar_comment,salt_quantity,salt_comment,nutriment_energy-kj_tr_diff,nutriment_energy-kcal_tr_diff,nutriment_energy_tr,nutriment_energy_tr_diff,nutriment_fat_tr_diff,nutriment_saturated-fat_tr,nutriment_saturated-fat_tr_diff,nutriment_carbohydrates_tr_diff,nutriment_sugars_tr,nutriment_sugars_tr_diff,nutriment_proteins_tr_diff,nutriment_salt_tr,nutriment_salt_tr_diff,nutriment_sodium_tr,nutriment_sodium_tr_diff,nutriment_nutrition-score-fr_tr,nutriment_nutrition-score-fr_tr_diff,nutriment_nutriscore_tr,nutriment_nutriscore_tr_diff,Agriculture,Transformation,Conditionnement,Transport,Distribution,Consommation,Score_ACV,traceability_code,brand,quantity,markets,generic_name,packaging,nova_score,allergens,brand_owner,additives,manufacturing,ingredients_origins,palm_ingredients,link
1186,Pastete Paprika-chili,4010355277251,['France'],[],"['Végétalien', 'Végétarien']",?,195,16,7,"4,2",,,"['Végétarien', 'Végétalien']",,,,,,,,,,,816 kj(195 kcal),,,11,,,"0,5",,,"1,4",,"0,56",,,,,,,,,,,,,,,,,,,,,,,,,,
1187,Chocolat au lait entier - 30g,4043651160842,['France'],[],[],?,543,"31,9","55,6","7,1",,,"['Bio', 'Bio européen', 'DE-ÖKO-013', 'Agriculture UE/Non UE', 'Fabriqué en Allemagne']",,,,,,,,,,,2272 kj(543 kcal),,,20,,,"54,9",,,"0,2",,"0,08",,,,,,,,,,,,,,,30 g,,,,,,,,,,,
1188,Jambon cru emmental pain suedois,3250392765736,['France'],[],[],?,255,"7,6",31,"14,5",,,,,,,,,,,,,,1067 kj(255 kcal),,,"3,5",,,6,,,"1,5",,"0,6",,,,,,,,,,,,,,,,,,,,,,,,,,
1189,Saumon fumé,0205240060351,['France'],[],[],?,222,"14,4","0,5","22,1",E,"['Produits de la mer', 'Poissons', 'Saumons', 'Poissons fumés', 'Saumons fumés']",,14.4 g,en quantité modérée,2.8 g,en quantité modérée,0.5 g,en faible quantité,1.8 g,en quantité élevée,,+20%,929 kj(222 kcal),+20%,+37%,"2,8",+36%,+1%,"0,5",+50%,0%,"1,8",-36%,"0,72",-36%,11,-16%,D,-16%,96.2%,0.0%,1.6%,1.4%,0.7%,0.2%,24,,,,,,,,,,,,,,
1190,Mergesse,2296580208662,['France'],[],[],?,86,"6,5","3,3","15,5",,,,,,,,,,,,,,360 kj(86 kcal),,,"6,5",,,"0,7",,,"0,7",,"0,28",,,,,,,,,,,,,,,,,,,,,,,,,,
1191,Reblochon de Savoie,2489474024800,['France'],[],[],?,325,27,"0,5",21,D,"['Produits laitiers', 'Produits fermentés', 'Produits laitiers fermentés', 'Fromages', 'Fromages de vache', 'Fromages de France', 'Fromages à pâte pressée non cuite', 'Reblochons']",,27 g,en quantité élevée,18 g,en quantité élevée,0 g,en faible quantité,1 g,en quantité modérée,,+0%,1360 kj(325 kcal),+1%,+1%,18,-4%,+36%,0,-100%,+5%,1,-25%,"0,4",-25%,13,-9%,D,-9%,84.0%,5.8%,4.0%,4.0%,1.8%,0.5%,54,,,,,,,,,,,,,,
1192,Soba - Nissin,5997523642105,['France'],[],[],?,220,"10,7","24,9","4,6",,,,,,,,,,,,,,920 kj(220 kcal),,,"4,8",,,"4,3",,,"1,9",,"0,76",,,,,,,,,,,,,,['Nissin'],,,,,,,,,,,,
1193,Pates ardechoises DI GIROLAMO,3770005322045,['France'],[],[],?,?,?,?,?,,,"['Bio', 'Bio européen', 'FR-BIO-01', 'AB Agriculture Biologique']",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1194,Jambon Le Torchonay,0211719015357,['France'],[],[],?,137,"6,2","0,7","19,8",,,,,,,,,,,,,,573 kj(137 kcal),,,"2,8",,,"0,7",,,"1,91",,"0,764",,,,,,,,,,,,,,,,,,,,,,,,,,
1195,Turkish Delight,8697217002044,['France'],[],[],?,375,"2,5","87,5",2,,"['Snacks', 'Snacks sucrés', 'Confiseries', 'Loukoums']",,2.5 g,en faible quantité,1 g,en faible quantité,77.5 g,en quantité élevée,7.5 g,en quantité élevée,,+6%,1569 kj(375 kcal),+6%,+27%,1,+101%,+7%,"77,5",+23%,+108%,"7,5",+3669%,3,+3669%,24,+79%,E,+79%,,,,,,,,,,,,,,,,,,,,,
1196,Crochoc - Mandul,8423915001849,"['France', 'Espagne']",[],[],?,424,"21,6","55,2","5,2",,"['Biscuits et gâteaux', 'Pâtisseries']",['Fabriqué en Espagne'],21.6 g,en quantité élevée,3 g,en quantité modérée,25.5 g,en quantité élevée,0.5 g,en quantité modérée,,+12%,1774 kj(424 kcal),+13%,+29%,3,-63%,+15%,"25,5",-13%,-3%,"0,5",+21%,"0,2",+21%,14,-18%,D,-18%,,,,,,,,,['Mandul'],,,,,,,,,,,,
1197,Plat préparation,3401562647929,['France'],[],[],?,415,16,"9,4","58,1",,,,,,,,,,,,,,1736 kj(415 kcal),,,6,,,1,,,6,,"2,4",,,,,,,,,,,,,,,,,,,,,,,,,,
1198,Pain pavé bio.,0288869010143,['France'],[],[],?,278,"1,1","56,7",9,,,['Bio'],,,,,,,,,,,1163 kj(278 kcal),,,"0,2",,,"2,3",,,"1,83",,"0,732",,,,,,,,,,,,,,,,,,,,,,,,,,
1199,Spring Roll Concombre Tzatziki 6 pièces,3357190081157,['France'],[],[],?,209,"1,5",46,"4,8",,,,,,,,,,,,,,874 kj(209 kcal),,,"0,3",,,"4,1",,,"0,8",,"0,32",,,,,,,,,,,,,,,,,,,,,,,,,,
1200,Bod&fit - Body&fit,8718774027087,['France'],[],[],?,109,1,"1,5","22,8",,,,,,,,,,,,,,456 kj(109 kcal),,,"0,7",,,"0,9",,,"0,2",,"0,08",,,,,,,,,,,,,,['Body&fit'],,,,,,,,,,,,
1201,Youart brassé au lait entier - Ferme Collet - 150g,3413160013365,['France'],[],[],?,92,"3,3",12,4,,"['Produits laitiers', 'Produits fermentés', 'Produits laitiers fermentés', 'Yaourts']",,3.3 g,en quantité modérée,2.4 g,en quantité modérée,9.6 g,en quantité modérée,0.12 g,en faible quantité,,0%,385 kj(92 kcal),+0%,+1%,"2,4",+17%,+9%,"9,6",-5%,+6%,"0,12",+4%,"0,048",+4%,3,-2%,C,-2%,,,,,,,,,['Ferme Collet'],150 g,,,,,,,,,,,
1202,Madeleines natures,3537983589743,['France'],[],[],?,454,23,55,6,,,,,,,,,,,,,,1900 kj(454 kcal),,,"2,5",,,26,,,"0,68",,"0,272",,,,,,,,,,,,,,,,,,,,,,,,,,
1203,really fresh orange juice,5391515570382,['France'],[],[],?,40,"0,2","8,7","0,5",,,,,,,,,,,,,,167 kj(40 kcal),,,0,,,"8,7",,,0,,0,,,,,,,,,,,,,,,,,,,,,,,,,,
1204,Lamb rogan josh,160919,['France'],[],[],?,125,"5,4","6,2","12,1",,,,,,,,,,,,,,523 kj(125 kcal),,,1,,,"3,5",,,"0,5",,"0,2",,,,,,,,,,,,,,,,,,,,,,,,,,
1205,Biscuits feuilletés aux olives noires,3760255170190,['France'],[],[],?,0,"26,4","54,2","10,3",,,,,,,,,,,,,,0 kj(0 kcal),,,"17,3",,,"1,6",,,"3,2",,"1,28",,,,,,,,,,,,,,,,,,,,,,,,,,
1206,Cocktail champignon forestier,3193840018155,['France'],[],[],?,15,"0,5","1,3","0,9",,,,,,,,,,,,,,63 kj(15 kcal),,,"0,1",,,"0,5",,,"0,97",,"0,388",,,,,,,,,,,,,,,,,,,,,,,,,,
1207,Drages - 1kg,3340390000240,['France'],[],[],?,503,"24,8","60,3","8,75",,,,,,,,,,,,,,2105 kj(503 kcal),,,"2,4",,,"52,7",,,"0,012",,"0,005",,,,,,,,,,,,,,,1 kg,,,,,,,,,,,
1208,Puree de fruit framboise,3276188016721,['France'],[],[],?,?,?,?,?,,,"['Sans colorants', 'Sans conservateurs', 'Fabriqué en France']",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1209,Coquillette,3252979444898,['France'],[],[],?,360,2,72,12,,,,,,,,,,,,,,1506 kj(360 kcal),,,"0,3",,,2,,,"0,01",,"0,004",,,,,,,,,,,,,,,,,,,,,,,,,,
1210,Bio Kürbiskernöl,4160112622319,['France'],[],[],?,900,100,0,0,,,"['Bio', 'Sans additifs']",,,,,,,,,,,3766 kj(900 kcal),,,18,,,0,,,0,,0,,,,,,,,,,,,,,,,,,,,,,,,,,
1211,Baguette tradition 3+1,0252460015746,['France'],[],[],?,?,?,?,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1212,2 pavés en tournedos - Charal,2444975047888,['France'],[],[],?,113,"2,3",0,23,,"['Viandes', 'Bœuf', 'Tournedos de boeuf']",,2.3 g,en faible quantité,0.8 g,en faible quantité,0 g,en faible quantité,0.17 g,en faible quantité,,-37%,473 kj(113 kcal),-37%,-76%,"0,8",-80%,-100%,0,-100%,+14%,"0,17",-85%,"0,068",-85%,-4,-176%,A,-176%,,,,,,,,,['Charal'],,,,,,,,,,,,
1213,Lard payson d'alsace,0252873037854,['France'],[],[],?,512,40,"1,9",35,,,,,,,,,,,,,,2142 kj(512 kcal),,,13,,,"0,5",,,"7,6",,"3,04",,,,,,,,,,,,,,,,,,,,,,,,,,
1214,Kitkat goût  thé  vert,4901360333844,['France'],[],[],?,54,"3,1","6,1","0,2",,,,,,,,,,,,,,226 kj(54 kcal),,,"0,5",,,"1,6",,,"0,04",,"0,016",,,,,,,,,,,,,,,,,,,,,,,,,,
1215,Thé slim bio,3700803900329,['France'],[],[],?,?,?,?,?,,,"['Bio', 'Bio européen', 'FR-BIO-10', 'en:VN-BIO-154']",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1216,Cuisses de Poulet Rôti - Le Gaulois,0217637037266,['France'],[],[],?,168,10,"0,01",19,D,"['Viandes', 'Volailles', 'Poulets', 'Cuisses de poulet']",,10 g,en quantité modérée,2.6 g,en quantité modérée,0.01 g,en faible quantité,1.4 g,en quantité modérée,,-12%,703 kj(168 kcal),-12%,-19%,"2,6",-22%,-97%,"0,01",-94%,+3%,"1,4",+84%,"0,56",+84%,5,+42%,C,+42%,83.4%,9.5%,2.7%,2.7%,1.4%,0.4%,44,,['Le Gaulois'],,,,,,,,,,,,
1217,Salade grecque,2600461032145,['France'],[],[],?,?,?,?,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1218,Rouleau pâte à sucre,3700392472641,['France'],[],[],?,399,"5,3","87,5",0,,,,,,,,,,,,,,1669 kj(399 kcal),,,"3,7",,,"85,2",,,"0,03",,"0,012",,,,,,,,,,,,,,,,,,,,,,,,,,
1219,Poulet fermier,2209337007302,['France'],[],[],?,183,11,"0,5",21,D,"['Viandes', 'Volailles', 'Poulets', 'Poulets fermiers']",['Label Rouge'],11 g,en quantité modérée,3.7 g,en quantité modérée,0.5 g,en faible quantité,0.17 g,en faible quantité,,+32%,766 kj(183 kcal),+33%,+78%,"3,7",+128%,+34%,"0,5",+64%,+2%,"0,17",+6%,"0,068",+6%,0,,B,,83.4%,9.5%,2.7%,2.7%,1.4%,0.4%,44,,,,,,,,,,,,,,
1220,SNACKING SAIN - Nature - Tomates Séchées,3701026303676,['France'],[],[],?,470,"26,5","15,1","33,5",,,,,,,,,,,,,,1966 kj(470 kcal),,,"4,3",,,"8,8",,,"2,8",,"1,12",,,,,,,,,,,,,,,,,,,,,,,,,,
1221,Noix Coco Rapee 250G Philippines Bio - 250g,3378730205055,['France'],[],[],?,690,"66,3","8,56","7,8",,,['Bio'],,,,,,,,,,,2887 kj(690 kcal),,,"57,7",,,"6,64",,,"0,088",,"0,035",,,,,,,,,,,,,,,250 g,,,,,,,,,,,
1222,Baguette royal sésame,0200064006301,['France'],[],[],?,275,2,53,"9,6",,,,,,,,,,,,,,1151 kj(275 kcal),,,"0,5",,,"1,6",,,"1,4",,"0,56",,,,,,,,,,,,,,,,,,,,,,,,,,
1223,Biscuits au Beurre Biscuits au Chocolat - 454g,0077330332439,['France'],[],[],?,?,?,?,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,454 g,,,,,,,,,,,
1224,Marshmallow - Elodie,62612234,['France'],[],[],?,?,?,?,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,['Elodie'],,,,,,,,,,,,
1225,Crème glacée café - L'Artisan Givré,3328859701501,['France'],"['Creme fraiche ', 'LAIT', 'lait écrémé reconstitué ', 'LAIT', 'eau', 'sucre', ""jaune d'oeuf 8% "", 'EUFS', 'lactose ', 'LAIT', 'sirop de glucose', 'proteines de lait ', 'LAIT', 'café moulu du Guatemala 3%', 'café soluble atomisé 1,4%', 'stabilisants: farine de graines de caroube', 'farine de graines de guar', ' Contient du lait', 'œufs', ' Fabriqué dans un atelier manipulant également du soja', 'fruits à coques']","['Sans huile de palme', 'Non végétalien']",?,197,12,20,"3,2",B,"['Desserts', 'Surgelés', 'Desserts glacés', 'Glaces et sorbets', 'Glaces', 'Crèmes glacées en pot', 'Glaces au café']","['en:gluten-free', 'Sans colorants', 'Sans conservateurs', 'en:palm-oil-free']",12 g,en quantité modérée,6.8 g,en quantité élevée,19 g,en quantité élevée,0.06 g,en faible quantité,,-3%,824 kj(197 kcal),-4%,+29%,"6,8",+7%,-26%,19,-18%,+7%,"0,06",-51%,"0,024",-51%,12,0%,D,0%,60.7%,19.6%,5.6%,5.1%,5.7%,3.3%,80,,"[""L'Artisan Givré""]",,,,,4,"['Œufs', 'Lait', 'Fruits à coque']",,"['E410 - Gomme de caroube', 'E412 - Gomme de guar']",,,,
1226,Carte D'or les authentiques fraises,3013520017318,['France'],[],[],?,200,8,30,"2,5",,,,,,,,,,,,,,837 kj(200 kcal),,,5,,,26,,,"0,1",,"0,04",,,,,,,,,,,,,,"[""Carte d'Or""]",,,,,,,,,,,,
1227,SNACKING SAIN - Nature,3701026304598,['France'],[],[],?,516,34,"9,1",38,,,,,,,,,,,,,,2159 kj(516 kcal),,,"5,2",,,"2,5",,,3,,"1,2",,,,,,,,,,,,,,,,,,,,,,,,,,
1228,Essence Kewra,8964000379073,['France'],[],[],?,?,?,?,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1229,Pesto alla genovese - Fairway,0758940620078,['France'],[],[],?,251,25,1,1,C,"['Epicerie', 'Sauces', 'Sauces Pesto', 'Pestos au basilic']",,25 g,en quantité élevée,4 g,en quantité modérée,1 g,en faible quantité,0.512 g,en quantité modérée,,-44%,1050 kj(251 kcal),-44%,-43%,4,-39%,-83%,1,-56%,-79%,"0,512",-79%,"0,205",-79%,8,-59%,C,-59%,77.0%,10.9%,4.6%,4.2%,2.0%,1.4%,56,,['Fairway'],,,,,,,,,,,,
1230,Filet de poulet rotis - Leader Price,0217437029195,['France'],[],[],?,146,"5,6","0,7","23,3",D,"['Viandes', 'Volailles', 'Poulets', 'Filets de poulet', 'Filets de poulet rotis']",,5.6 g,en quantité modérée,1.5 g,en quantité modérée,0.6 g,en faible quantité,1.3 g,en quantité modérée,,+1%,611 kj(146 kcal),+0%,+4%,"1,5",+10%,+21%,"0,6",+39%,-1%,"1,3",-3%,"0,52",-3%,2,-22%,B,-22%,83.4%,9.5%,2.7%,2.7%,1.4%,0.4%,44,,['Leader Price'],,['Leader Price'],,,,,,,,,,
1231,Sauce olive & balsamique,3701138160440,['France'],[],[],?,?,?,?,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1232,Café Arabica moulu Colombie - Grain de Sail,3760226260561,['France'],[],[],?,?,?,?,?,,"['Aliments et boissons à base de végétaux', ""Aliments d'origine végétale"", 'Cafés', 'Café de Colombie']","['Bio', 'Bio européen', 'AB Agriculture Biologique']",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,['Grain de Sail'],,,,,,,,,,,,
1233,Les terasses de bastidon,3343380023885,['France'],[],[],?,?,?,?,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1234,Amino 5600 - Scitec nutrition - 400g,5999100001268,['France'],[],[],?,?,?,?,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,['Scitec nutrition'],400 g,,,,,,,,,,,
1235,Saucisse,8437005347298,['France'],[],[],?,232,16,"1,1",16,,,,,,,,,,,,,,971 kj(232 kcal),,,"7,4",,,0,,,"3,7",,"1,48",,,,,,,,,,,,,,,,,,,,,,,,,,
1236,Banane bio équitable,2228463026117,['France'],[],[],?,?,?,?,?,,,['Bio'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1237,Gateau banane,3290970000019,['France'],[],[],?,?,?,?,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1238,Mexicain spécial barbecue,0238433000001,['France'],[],[],?,221,17,1,16,,,"['Viande-francaise', 'Viande-porcine-francaise']",,,,,,,,,,,925 kj(221 kcal),,,"6,7",,,"0,5",,,"1,1",,"0,44",,,,,,,,,,,,,,,,,,,,,,,,,,
1239,Teriyaki Jerky,0770953887989,['France'],[],[],?,297,4,3,"61,3",,,,,,,,,,,,,,1243 kj(297 kcal),,,2,,,2,,,"4,6",,"1,84",,,,,,,,,,,,,,,,,,,,,,,,,,
1240,Organic sweat chili sauce - 260g,5060005461300,['France'],[],[],?,80,"0,5",19,"0,5",,,,,,,,,,,,,,335 kj(80 kcal),,,"0,2",,,17,,,"1,5",,"0,6",,,,,,,,,,,,,,,260 g,,,,,,,,,,,
1241,Brochettes de porc,3263858656813,['France'],[],[],?,200,15,"0,8",15,,,,,,,,,,,,,,837 kj(200 kcal),,,"5,6",,,0,,,"0,11",,"0,044",,,,,,,,,,,,,,,,,,,,,,,,,,
1242,Seve de bouleau -,0701197960329,['France'],[],[],?,?,?,?,?,,"['Boissons', 'Boissons sans sucre ajouté', 'Sèves de bouleau']","['Bio', 'Bio européen', 'FR-BIO-01', 'Fabriqué en France', 'AB Agriculture Biologique']",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1243,Flintstones Lolly´s 180x10g Dose Boogie,9002859049330,['France'],[],[],?,?,?,?,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1244,Crouton original,4000534031545,['France'],[],[],?,453,17,62,13,D,"['Aliments et boissons à base de végétaux', ""Aliments d'origine végétale"", 'Céréales et pommes de terre', 'Pains', 'Croûtons']",,17 g,en quantité modérée,1.5 g,en quantité modérée,2.8 g,en faible quantité,2.8 g,en quantité élevée,,-4%,1895 kj(453 kcal),-4%,-17%,"1,5",-50%,+5%,"2,8",-24%,+38%,"2,8",+44%,"1,12",+44%,16,+10%,D,+10%,87.8%,8.3%,1.9%,1.8%,0.2%,0.0%,35,,,,,,,,,,,,,,
1245,Beurre de ferme,3760117950014,['France'],[],[],?,?,?,?,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1246,Pavés de truites des côtes normandes - Reflets de France - 440g,3560071003319,['France'],[],[],?,158,9,0,19,,,,,,,,,,,,,,661 kj(158 kcal),,,"1,5",,,0,,,"0,1",,"0,04",,,,,,,,,,,,,,"['Reflets de France', 'Carrefour']",440 g,['Carrefour'],,,,,,,,,,
1247,Pate a tartiner maison - 240g,,['France'],[],[],?,?,?,?,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,240 g,,,,,,,,,,,
1248,Biere du canigou,3770000897210,['France'],[],[],?,?,?,?,?,,,,,,,,,,,,,,,,,,,,,,,0,,0,,,,,,,,,,,,,,,,,,,,,,,,,,
1249,Petites Pommes super fondantes,3770006059865,['France'],[],[],?,57,"0,1",14,"0,3",,,"['Bio', 'Bio européen', 'AB Agriculture Biologique', 'Agriculture UE', 'FR-BIO-01', 'Sans colorants', 'Sans conservateurs']",,,,,,,,,,,238 kj(57 kcal),,,0,,,14,,,"0,07",,"0,028",,,,,,,,,,,,,,,,,,,,,,,,,,
1250,Petit Pot de Crème Biscuit Clean,3271598508798,['France'],[],[],?,184,"10,3","18,9","4,6",,,,,,,,,,,,,,770 kj(184 kcal),,,"6,2",,,"16,1",,,"0,15",,"0,06",,,,,,,,,,,,,,,,,,,,,,,,,,
1251,Petit Pot de Crème Pistache clean,3271598508804,['France'],[],[],?,184,"10,3","18,8","4,6",,,,,,,,,,,,,,770 kj(184 kcal),,,"6,2",,,16,,,"0,14",,"0,056",,,,,,,,,,,,,,,,,,,,,,,,,,
1252,Beignets chocolat - noisette - 300g,0283158013126,['France'],[],['Sans huile de palme'],?,385,18,47,"6,5",,"['Snacks', 'Snacks sucrés', 'Beignets sucrés']",['en:palm-oil-free'],18 g,en quantité modérée,2 g,en quantité modérée,19 g,en quantité élevée,0.71 g,en quantité modérée,,+8%,1611 kj(385 kcal),+8%,+14%,2,-42%,+4%,19,+17%,+3%,"0,71",-4%,"0,284",-4%,12,0%,D,0%,,,,,,,,,,300 g,,,,,,,,,,,
1253,9782253187851,9782253187851,['France'],[],[],?,?,?,?,?,,['Non alimentaire'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1254,Fudge caramel fraise,5906874505533,['France'],[],"['Végétalien', 'Végétarien']",?,?,?,?,?,,,"['Végétarien', 'Végétalien', 'en:gluten-free']",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1255,un extrait d’artichaut biologique - Biosens - 48gélules,3456300010756,"['France', 'Pologne']",[],"['Végétalien', 'Végétarien']",?,?,?,?,?,,['pl:Supplément diététique'],"['Bio', 'Végétarien', 'Bio européen', 'Végétalien', 'Fabriqué en France', 'AB Agriculture Biologique']",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,['Biosens'],48 gélules,,,['PAP'],,,,,['France'],,,
1256,Saucisson à cuire,2687210038771,['France'],[],[],?,?,?,?,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1257,Brins de chococaramel,6671736513689,['France'],[],[],?,466,16,75,5,,,,,,,,,,,,,,1950 kj(466 kcal),,,"9,5",,,50,,,"0,28",,"0,112",,,,,,,,,,,,,,,,,,,,,,,,,,
1258,"Butter Biscuits , Strawberry",0604619923820,['France'],[],[],?,540,"30,6",64,"5,1",,,,,,,,,,,,,,2259 kj(540 kcal),,,"19,8",,,"21,2",,,"0,6",,"0,24",,,,,,,,,,,,,,,,,,,,,,,,,,
1259,Spiruline 1500,3700225605611,['France'],[],"['Végétalien', 'Végétarien']",?,?,?,?,?,E,"['Compléments alimentaires', 'Spiruline']","['Végétarien', 'Végétalien']",,,,,,,,,,,,,,,,,,,,,,,,,,,,53.3%,42.5%,1.8%,1.6%,0.8%,0.0%,25,,,,,,,,,,,,,,
1260,Galettes bretonnes - La Trinitaine,3260260033768,['France'],[],[],?,?,?,?,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,['La Trinitaine'],,,,,,,,,,,,
1261,Queen of hearts biscuits - Whittard,5022032126744,['France'],[],[],?,463,24,59,4,,,,,,,,,,,,,,1937 kj(463 kcal),,,15,,,17,,,"0,2",,"0,08",,,,,,,,,,,,,,['Whittard'],,,,,,,,,,,,
1262,Clever Latte Macchiato - 250ml,9010158003007,"['Autriche', 'France']",[],[],?,?,?,?,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,250 ml,,,['Stück'],,,,,,,,
1263,Maelke chokolade karamelknas - 100g,7340011449409,['France'],[],[],?,522,28,60,"6,7",,,,,,,,,,,,,,2184 kj(522 kcal),,,17,,,59,,,"0,5",,"0,2",,,,,,,,,,,,,,,100 g,,,,,,,,,,,
1264,Saveur Orange,33125701,['France'],[],[],?,?,?,?,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1265,Cote de porc,2052815026445,['France'],[],[],?,?,?,?,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1266,Glace de la ferme vanille noix de pécan,8718531515567,['France'],[],[],?,?,?,?,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,['Glace de la Ferme'],,,,,,,,,,,,
1267,Burro - 250g,8013781000017,"['France', 'Suisse']",[],[],?,?,?,?,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,250 g,,,,,,,,,,,
1268,Burro - 250g,8000415417204,"['France', 'Suisse']",[],[],?,?,?,?,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,250 g,,,,,,,,,,,
1269,Joker pamplemousse,93938839,['France'],[],[],?,37,0,"7,6","0,5",,,,,,,,,,,,,,155 kj(37 kcal),,,0,,,"7,6",,,0,,0,,,,,,,,,,,,,,['Joker'],,,,,,,,,,,,
1270,Sundy,3033745555884,['France'],[],[],?,494,"23,2","65,6","4,7",,,,,,,,,,,,,,2067 kj(494 kcal),,,"17,9",,,"38,7",,,"0,83",,"0,332",,,,,,,,,,,,,,,,,,,,,,,,,,
1271,Sunwave Japanese Style Mochi Green Tea Flavour 6 Pieces - 180g,4712929160968,['France'],[],[],?,198,1,"46,2","1,2",B,"['Aliments et boissons à base de végétaux', 'Boissons', 'Boissons chaudes', 'Boissons à base de végétaux', 'Thés', 'Thés verts', 'Thés verts japonais']",,,,,,,,,,,+2729%,828 kj(198 kcal),+2857%,+986%,"0,1",+533%,+2525%,"36,1",+3152%,+776%,0,-100%,0,-100%,20,+400%,E,+400%,66.6%,0.0%,1.4%,1.6%,0.3%,30.1%,100,,,180 g,,,,,,,,,,,
1272,Caviar oscietre,3700189510877,['France'],[],[],?,242,15,"1,7",25,,,,,,,,,,,,,,1013 kj(242 kcal),,,"3,7",,,0,,,"3,1",,"1,24",,,,,,,,,,,,,,,,,,,,,,,,,,
1273,Meat flavour stock,8412164008105,['France'],[],[],?,184,"5,7","27,1","6,1",,,['Halal'],,,,,,,,,,,770 kj(184 kcal),,,"3,5",,,"9,2",,,"5,17",,"2,068",,,,,,,,,,,,,,,,,,,,,,,,,,
1274,Bananes tendres - Delhaize - 125g,5400112317310,['France'],[],[],?,308,1,69,3,E,"['Aliments et boissons à base de végétaux', ""Aliments d'origine végétale"", 'Aliments à base de fruits et de légumes', 'Fruits et produits dérivés', 'Produits déshydratés', 'Aliments à base de plantes séchées', 'Fruits secs', 'Bananes séchées']",,1 g,en faible quantité,0.1 g,en faible quantité,56 g,en quantité élevée,0.02 g,en faible quantité,,-37%,1289 kj(308 kcal),-37%,-96%,"0,1",-99%,+14%,56,+169%,+61%,"0,02",-84%,"0,008",-84%,7,-41%,C,-41%,59.6%,25.6%,2.0%,11.4%,1.4%,0.0%,29,,['Delhaize'],125 g,['Delhaize'],,['Barquette'],,,,,,,,
1275,Muffins fruits du jardin,0200008026174,['France'],[],[],?,?,?,?,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
