,name,bar_code,sales_countries,ingredients_list,ingredients_analysis,nutriment_energy-kj_tr,nutriment_energy-kcal_tr,nutriment_fat_tr,nutriment_carbohydrates_tr,nutriment_proteins_tr,eco_score,categories,labels,fats_lipids_quantity,fats_lipids_comment,saturated_acids_quantity,saturated_acids_comment,sugar_quantity,sugar_comment,salt_quantity,salt_comment,nutriment_energy-kj_tr_diff,nutriment_energy-kcal_tr_diff,nutriment_energy_tr,nutriment_energy_tr_diff,nutriment_fat_tr_diff,nutriment_saturated-fat_tr,nutriment_saturated-fat_tr_diff,nutriment_carbohydrates_tr_diff,nutriment_sugars_tr,nutriment_sugars_tr_diff,nutriment_proteins_tr_diff,nutriment_salt_tr,nutriment_salt_tr_diff,nutriment_sodium_tr,nutriment_sodium_tr_diff,nutriment_nutrition-score-fr_tr,nutriment_nutrition-score-fr_tr_diff,nutriment_nutriscore_tr,nutriment_nutriscore_tr_diff,Agriculture,Transformation,Conditionnement,Transport,Distribution,Consommation,Score_ACV,traceability_code,brand,quantity,markets,generic_name,packaging,nova_score,allergens,brand_owner,additives,manufacturing,ingredients_origins,palm_ingredients,link
543,5 sapori,8056746900656,['France'],[],[],?,368,"0,18","77,5",12,,,,,,,,,,,,,,1540 kj(368 kcal),,,"0,07",,,"2,7",,,"0,08",,"0,032",,,,,,,,,,,,,,,,,,,,,,,,,,
544,The original spéculoos à tartiner,5410126996951,['France'],[],[],?,584,"38,1",57,"2,9",,,,,,,,,,,,,,2443 kj(584 kcal),,,"7,6",,,"36,8",,,"0,54",,"0,216",,,,,,,,,,,,,,,,,,,,,,,,,,
545,Pain maïs et tournesol,0260084010504,['France'],[],[],?,282,"4,6","47,6","10,3",,,,,,,,,,,,,,1180 kj(282 kcal),,,"0,5",,,"6,6",,,"1,23",,"0,492",,,,,,,,,,,,,,,,,,,,,,,,,,
546,Rigottes,3770000994049,['France'],[],[],?,?,?,?,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"['FR 01.299.051 CE', 'Plantay (Ain, France)']",,,,,,,,,,,,,
547,Chocolats,3595181919472,['France'],[],[],?,548,"36,2","44,7","8,8",,,,,,,,,,,,,,2293 kj(548 kcal),,,"17,1",,,"41,7",,,"0,1",,"0,04",,,,,,,,,,,,,,,,,,,,,,,,,,
548,Asperges la divine,3420820016277,['France'],[],[],?,?,?,?,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"['EMB 40075', 'Castets (Landes, France)', 'EMB 40320', 'Uchacq-et-Parentis (Landes, France)']",,,,,,,,,,,,,
549,Spotted Dick sponge pudding - Asda,5054781669302,['France'],[],[],?,418,23,45,"4,4",,,,,,,,,,,,,,1749 kj(418 kcal),,,"7,7",,,29,,,"0,33",,"0,132",,,,,,,,,,,,,,['Asda'],,,,,,,,,,,,
550,Pattes d'ours,0203259014433,['France'],[],[],?,?,?,?,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
551,Farine blé T80,03139356,['France'],[],[],?,344,"1,8",71,"9,5",,,"['Bio', 'Bio européen', 'FR-BIO-01', 'AB Agriculture Biologique']",,,,,,,,,,,1439 kj(344 kcal),,,"0,01",,,"1,7",,,"0,01",,"0,004",,,,,,,,,,,,,,,,,,,,,,,,,,
552,Tukas Hot Ketchup,8690508103468,['France'],[],[],?,96,0,23,1,,,,,,,,,,,,,,402 kj(96 kcal),,,0,,,16,,,2,,"0,8",,,,,,,,,,,,,,,,,,,,,,,,,,
553,tomates séchées - Aux Délices de Dany - 1kg,3770006741036,['France'],[],[],481,?,0,25,?,,['Aromates séchées'],['Sans conservateurs'],0 g,en faible quantité,0 g,en faible quantité,21 g,en quantité élevée,10.3 g,en quantité élevée,,,481 kj(115 kcal),,,0,,,21,,,"10,287",,"4,115",,,,,,,,,,,,,,['Aux Délices de Dany'],1kg,,,['sac plastique'],,,,,,,,
554,P'tit déj - Fruima,36939893,['France'],[],[],?,54,0,13,"0,3",,,,,,,,,,,,,,226 kj(54 kcal),,,0,,,13,,,0,,0,,,,,,,,,,,,,,['Fruima'],,,,,,,,,,,,
555,Escalopes de dinde,2454154036602,['France'],[],[],?,?,?,?,?,D,"['Viandes', 'Volailles', 'Dindes', 'Escalopes de dinde']",,,,,,,,,,,,,,,,,,,,,,,,,,,,,84.3%,9.9%,2.2%,2.3%,1.1%,0.3%,37,"['FR 72.264.002 CE', 'Sablé-sur-Sarthe (Sarthe, France)']",,,,,,,,,,,,,
556,Confirure peches nectarines,2203542019358,['France'],[],[],?,?,?,?,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
557,Sirop d'agave citron vert -,15758590,['France'],"[""Sirop d'agave"", 'jus concentré de citron', 'arômes naturels citron-citron vert']","['Sans huile de palme', 'Peut-être végétalien', 'Peut-être végétarien']",1172,276,"0,5",66,"0,6",B,"['Boissons', 'Sirops', 'Sirops aromatisés', 'Sirops de citron vert']",,,,,,,,,,+21%,+33%,1172 kj(276 kcal),+33%,+790%,"0,1",+567%,+23%,63,+32%,+815%,"0,41",+2915%,"0,164",+2915%,,,,,58.3%,8.5%,16.3%,7.9%,7.3%,1.6%,100,,,,,,,4,,,,,,,
558,Cancoillotte à l'ail - Leader Price,2263859031719,['France'],[],[],?,129,9,0,12,D,"['Produits laitiers', 'Produits fermentés', 'Produits laitiers fermentés', 'Fromages', 'Fromages de France', 'Fromages à pâte fondue', 'Cancoillottes']",,9 g,en quantité modérée,6 g,en quantité élevée,0 g,en faible quantité,1.6 g,en quantité élevée,,-15%,540 kj(129 kcal),-15%,-11%,6,-9%,-100%,0,-100%,-17%,"1,6",+15%,"0,64",+15%,8,+2%,C,+2%,78.1%,12.8%,3.1%,3.8%,1.7%,0.5%,52,,['Leader Price'],,['Leader Price'],,,,,,,,,,
559,Le poulet du rotisseur - Maître Coq,0215175039292,['France'],[],[],?,181,9,1,24,,,['Sans conservateurs'],,,,,,,,,,,757 kj(181 kcal),,,"2,5",,,0,,,1,,"0,4",,,,,,,,,,,,,,['Maître Coq'],,,,,,,,,,,,
560,Gelée de fleurs de sureau,3770007761170,['France'],[],[],?,?,?,?,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
561,Popcorn,3760036253005,['France'],[],[],?,?,?,?,?,B,"['Snacks', 'Popcorn']",,,,,,,,,,,,,,,,,,,,,,,,,,,,,57.3%,1.4%,8.6%,4.7%,11.7%,16.3%,90,,,,,,,,,,,,,,
562,Patte d'ours,0220185019615,['France'],[],[],?,?,?,?,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
563,"Thé aux épices - girofle, gingembre, cannelle et orange",3760166260782,['France'],[],[],?,?,?,?,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
564,PhosphoMag,3760191460720,['France'],[],[],?,?,?,?,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
