,name,bar_code,eco_score,generic_name,quantity,packaging,brand,categories,labels,traceability_code,markets,sales_countries,ingredients_list,allergens,ingredients_analysis,nova_score,fats_lipids_quantity,fats_lipids_comment,saturated_acids_quantity,saturated_acids_comment,sugar_quantity,sugar_comment,salt_quantity,salt_comment,nutriment_energy-kj_tr,nutriment_energy-kj_tr_diff,nutriment_energy-kcal_tr,nutriment_energy-kcal_tr_diff,nutriment_energy_tr,nutriment_energy_tr_diff,nutriment_fat_tr,nutriment_fat_tr_diff,nutriment_saturated-fat_tr,nutriment_saturated-fat_tr_diff,nutriment_carbohydrates_tr,nutriment_carbohydrates_tr_diff,nutriment_sugars_tr,nutriment_sugars_tr_diff,nutriment_proteins_tr,nutriment_proteins_tr_diff,nutriment_salt_tr,nutriment_salt_tr_diff,nutriment_sodium_tr,nutriment_sodium_tr_diff,nutriment_nutrition-score-fr_tr,nutriment_nutrition-score-fr_tr_diff,nutriment_nutriscore_tr,nutriment_nutriscore_tr_diff,Agriculture,Transformation,Conditionnement,Transport,Distribution,Consommation,Score_ACV,additives,manufacturing,link,ingredients_origins,origin_detail,producer_info,palm_ingredients,brand_owner
92,Huile vierge de lin - La Tourangelle - 250ml,3245270001426,E,Huile de Lin,250 ml,['Fer'],['La Tourangelle'],"['Aliments et boissons à base de végétaux', ""Aliments d'origine végétale"", 'Céréales et pommes de terre', 'Matières grasses', 'Céréales et dérivés', 'Matières grasses végétales', 'Huiles', 'Huiles de céréales', 'Huiles de lin']",,,"['Monoprix', 'Magasins U']",['France'],"['huile vierge de lin ', '100 %']",,[],,100 g,en quantité élevée,10 g,en quantité élevée,0 g,en faible quantité,0 g,en faible quantité,?,,900,+6%,3766 kj(900 kcal),+6%,100,+6%,10,+0%,0,,0,,0,,0,-100%,0,-100%,11,+2%,D,+2%,95.3%,1.2%,1.7%,0.9%,0.9%,0.0%,26,,,,,,,,
93,Coquillette au jambon et fromage - La Belle Chaurienne - 300g,3245360001114,,,300 g,,['La Belle Chaurienne'],"['Plats préparés', 'Plats à base de pâtes', 'Plats préparés à réchauffer au micro-ondes']",['Sans conservateurs'],,,['France'],"['Pâtes précuites 56,6% : eau', 'pâtes ', 'semoule de blé dur', "" poudre de blanc d'œuf]- Eau - crème liquide '1'1% "", 'crème de Laz', 'stabl!lsants : camaghénanes', ' - Emlncés de jambon cut supérieur fumé 10,2%: jambon de porc 92% origine France', ' eau', ' sel', ' sirop de glucose', 'arômes naturels', ' de légumes ', 'blette', ' carotte', ' ferments - Fromage 6', '7% - Farine de - Sel - Poivre', ' ', '% exprimés à remboitage']",['Lait'],['Non végétalien'],4,8.6 g,en quantité modérée,5.3 g,en quantité élevée,0.3 g,en faible quantité,0.68 g,en quantité modérée,?,,163,+23%,682 kj(163 kcal),+23%,"8,6",+58%,"5,3",+157%,12,-7%,"0,3",-83%,"8,6",+29%,"0,68",-12%,"0,272",-12%,5,+255%,C,+255%,,,,,,,,,,,,,,,
94,Émietté de canard cuisiné - La Belle Chaurienne - 400g,3245361742016,D,,400 g,['Conserve'],['La Belle Chaurienne'],"['Conserves', 'Plats préparés', 'Produits à la viande', 'Plats préparés à la viande', 'Plats à la volaille', 'Plats préparés en conserve', 'Plats au canard']",,"['FR 11.076.006 CE', 'Castelnaudary (Aude, France)']",['Casino'],['France'],"['Viande de canard émiettée 33 % ', 'viande de canard', 'sel', 'gésiers de canard émincés 19 % ', 'gésiers de canard', 'sel', 'eau', 'poivrons verts et rouges', 'oignons', 'carottes', 'ail', ""huile d'olive"", 'sel', 'poivre']",,"['Non végétalien', 'Non végétarien']",3,6.9 g,en quantité modérée,2.1 g,en quantité modérée,1.4 g,en faible quantité,1.1 g,en quantité modérée,596,-29%,?,,596 kj(142 kcal),-40%,"6,9",-60%,"2,1",-65%,"3,8",-10%,"1,4",+89%,"16,1",+9%,"1,1",-4%,"0,44",-4%,2,-80%,B,-80%,80.1%,13.0%,2.0%,3.0%,1.1%,0.8%,38,,['France'],,,,,,
95,Lingot Beans Cooked In Goose Fat - La belle chaurienne - 420g,3245364002247,,,420g,,['La belle chaurienne'],,,,,['France'],"['sauce cuisinée : eau', ""graisse d'oie 4%"", 'concentré de tomate', 'sel', 'ail', 'poivreHaricots lingots 43%']",,"['Non végétalien', 'Non végétarien']",,,,,,,,,,?,,112,,469 kj(112 kcal),,"4,8",,"1,7",,"7,9",,"0,7",,"5,3",,"0,9",,"0,36",,,,,,,,,,,,,,,,,,,,
96,Tripes sauce à la catalane et pommes de terre vapeur - La Belle Chaurienne - 300g,3245366332014,,Tripes Sauce à la Catalane et Pommes de Terre Vapeur,300 g,"['Carton', 'Plastique']",['La Belle Chaurienne'],"['Plats préparés', 'Poissons et viandes et oeufs', 'Abats', 'Plats préparés à réchauffer au micro-ondes', 'Produits tripiers', 'Tripes']","['Viande-francaise', 'Point Vert', 'Sans conservateurs']",,,['France'],"['Tripes de beuf 38 % origine France', 'pommes de terre rondes vapeur 23 %', 'eau', 'jambon sec de porc origine France', 'oignons émincés 2 %', 'carottes 2 %', 'concentré de tomate 1,6 %', 'viande de porc origine France', 'farine de blé', 'sel', 'cornichons ', 'moutarde', 'arôme ', 'soja', 'vinaigre', 'couennes origine France', 'huile de tournesol', 'poivre', 'céleri', 'ail 0,05 %', 'colorant : caramel ordinaire', 'laurier', 'thym', 'clous de girofle']","['Céleri', 'Gluten', 'Moutarde', 'Soja']","['Non végétalien', 'Non végétarien']",4,3.9 g,en quantité modérée,1.8 g,en quantité modérée,0.5 g,en faible quantité,0.95 g,en quantité modérée,?,,108,+8%,452 kj(108 kcal),+8%,"3,9",+18%,"1,8",+27%,"4,5",+506%,"0,5",+27%,"13,2",-20%,"0,95",-17%,"0,38",-17%,1,-24%,B,-24%,,,,,,,,['E150a - Caramel E150a'],,,,,,,
97,SUR CLUSTER 2 Pâtés de foie 2 Pâtés de campagne SUR BOITE IMPRIMÉE Pâté de foie OU Pâté de campagne - Carrefour - 320g,3245411815110,,SUR CLUSTER Pâté de foie de qualité supérieure. Pâté de campagne de qualité supérieure. SUR BOITE IMPRIMÉE Pâté de foie de qualité supérieure. OU Pâté de campagne de qualité supérieure.,320 g,"['Emballage', 'Carton', 'Boites', 'métal']",['Carrefour'],"['Aliments et boissons à base de végétaux', ""Aliments d'origine végétale"", 'Céréales et pommes de terre', 'Viandes', 'Céréales et dérivés', 'Charcuteries', 'Charcuteries diverses', 'Pâtes alimentaires']","['Viande Française', 'Viande Porcine Française', 'Point Vert', 'Fabriqué en France', 'Qualité supérieure']","['EMB 22225', ""Ploumagoar (Côtes-d'Armor, France)"", 'FR 22.225.001 CE', ""Ploumagoar (Côtes-d'Armor, France)""]","['Carrefour Market', 'Carrefour']",['France'],"['Pâté de foie de qualité supérieure : Gras de porc', 'foie de porc 30%', 'eau', 'couenne de porc', 'farine de blé', 'oignon', 'sel', 'arôme naturel', 'ail', 'muscade en poudre', 'antioxydant : acide ascorbique', 'conservateur : nitrite de sodium', ' Peut contenir des traces de lait', 'moutarde', 'œuf et céleri', 'Pâté de campagne de qualité supérieure : Foie de porc', 'gras de porc', 'gorge de porc', 'eau', 'couenne de porc', 'oignons panés ', 'oignons', 'huile de colza', 'farine de blé', 'sel', 'maltodextrine', 'farine de moutarde', 'arôme naturel', 'plasma de porc', 'protéines de lait', 'antioxydant ', ' acide ascorbique', 'conservateur : nitrite de sodium', ' Peut contenir des traces de céleri', 'œuf']","['Gluten', 'Lait', 'Moutarde']","[""Pourrait contenir de l'huile de palme"", 'Non végétalien', 'Non végétarien']",4,32 g,en quantité élevée,13 g,en quantité élevée,1.1 g,en faible quantité,1.4 g,en quantité modérée,1428,+29%,345,+17%,1428 kj(345 kcal),+18%,32,+31%,13,+41%,"3,4",+94%,"1,1",+40%,11,-27%,"1,4",-28%,"0,56",-28%,20,+6%,E,+6%,,,,,,,,"['E300 - Acide ascorbique', 'E250 - Nitrite de sodium', '', 'Risque élevé de sur-exposition']",['France'],,['France'],SUR CLUSTER,Fabriqué en France par EMB 22225 pour Interdis.,,
98,Museau de porc avec langue - Carrefour - 190g,3245412861833,B,,190 g,"['Barquette', 'Plastique', 'Frais']",['Carrefour'],"['Viandes', 'Charcuteries', 'Porc', 'Langue de porc', 'Museau de porc']",['Fabriqué en France'],"['EMB 35196', 'Mordelles (Ille-et-Vilaine, France)', 'FR 35.196.001 CE', 'Mordelles (Ille-et-Vilaine, France)']",['Carrefour'],['France'],"['Tête de porc 60,9 %', 'langues de porc 16,4 %', 'bouillon aromatique de cuisson ', 'eau', 'oignon', 'poireau', 'carotte', 'céleri', 'ail', 'clou de girofle', 'thym', 'laurier', 'barde reconstituée ', 'eau', 'gras et protéines de porc', 'gélifiant : alginate de sodium', 'sel', 'vinaigre', 'gélatine de porc', 'sel', 'dextrose', 'vinaigre de vin rouge', 'épices ', 'poivre', 'ail', 'piment doux', ""extrait d'épices "", 'oignon', 'coriandre', 'thym', 'ail', 'girofle', 'cannelle', 'laurier', 'poivre', ' arômes naturels', 'conservateur : nitrite de sodium', 'antioxydant : érythorbate de sodium']",['Céleri'],"['Non végétalien', 'Non végétarien']",4,19 g,en quantité modérée,6.8 g,en quantité élevée,0 g,en faible quantité,1.9 g,en quantité élevée,?,,241,+22%,1008 kj(241 kcal),+22%,19,+41%,"6,8",+36%,"0,5",-15%,0,-100%,16,-8%,"1,9",+24%,"0,76",+24%,17,+45%,D,+45%,72.6%,11.1%,6.7%,5.4%,3.4%,0.9%,81,"['E401 - Alginate de sodium', 'E428 - Gélatine', 'E250 - Nitrite de sodium', '', 'Risque élevé de sur-exposition', 'E316 - Érythorbate de sodium']",['France'],,['France'],,,,
99,"Steak haché (x 2), Pur Bœuf (5 % MG) - Chez Carrefour Sélectionné par nos Bouchers ! - 0,250kg",3245413750594,E,Steak haché pur bœuf,"0,250 kg","['Frais', 'Barquette', 'Plastique', 'Opercule', 'Film plastique', 'Sous atmosphère protectrice']","['Chez Carrefour Sélectionné par nos Bouchers !', 'CSF (Carrefour Supermarchés France)', 'Groupe Carrefour']","['Viandes', 'Bœuf', 'Frais', 'Steaks', 'Steaks de bœuf', 'Viandes fraîches', 'Steaks hachés', 'Steaks de bœuf hachés', 'Steaks hachés frais', 'Steaks hachés de bœuf frais']","['Viande Française', 'Point Vert', 'Fabriqué en France', 'Pur bœuf', 'Viande-bovine-francaise', '15\xa0% MG', 'Eco-Emballages', 'Elaboré en France']","['FR 72.080.002 CE', 'Cherré (Sarthe, France)']","['Carrefour market', 'Carrefour']",['France'],['Steak haché pur bœuf'],,"['Sans huile de palme', 'Non végétalien', 'Non végétarien']",1,15 g,en quantité modérée,,,,,,,?,,?,,,,< 15,+47%,,,?,,,,?,,,,,,,,,,98.0%,0.5%,0.6%,0.6%,0.3%,0.1%,3,,"['Socopa Viandes (Filiale Groupe Bigard) - Lieu dit Les Bordes - D323 - 72400 Cherré', 'Sarthe', 'Pays de la Loire', 'France']",,['France'],,,,
100,2X35G Rocamadour Fermier Eqc Aoc - Carrefour - 2x 35g,3245414506718,E,,2 x 35 g,['Barquette'],['Carrefour'],"['Produits laitiers', 'Produits fermentés', 'Produits laitiers fermentés', 'Fromages', 'Fromages de France', 'Fromages de chèvre', 'Fromages à pâte molle à croûte naturelle', 'Rocamadour']",,,['Carrefour'],['France'],"['lait cru entier de chèvre sel', 'présure ferments']",,[],,22.5 g,en quantité élevée,13.5 g,en quantité élevée,0 g,en faible quantité,1.48 g,en quantité modérée,?,,279,+2%,1167 kj(279 kcal),+1%,"22,5",+1%,"13,5",-15%,0,-100%,0,-100%,"15,8",-6%,"1,475",+29%,"0,59",+29%,14,+14%,D,+14%,91.6%,3.0%,2.1%,2.1%,0.9%,0.3%,33,,,,,,,,
101,Creamy cookies beurre de cacahuète - Myprotein,3245550080240,C,,,,"['Myprotein', 'My &you']","['Snacks', 'Snacks sucrés', 'Biscuits et gâteaux', 'Biscuits']",,,,['France'],"['fourrage beurre de cacahuète 45% ', 'beurre de cacahuète ', 'arachide', ' 70%', 'sucre', 'huile de tournesol', 'farine de blé ', 'contient du gluten', 'sucre', 'huile végétale ', 'huile de palme durable certifiée RSPO', 'miel', 'sucre brun', ' sirop de glucose?fructose', ""poudres à lever: bicarbonate de sodium ct bicarbonate d'ammonium"", 'sel', 'arômes', ' tes ingrédicnts en gros peuvent causet des réactions chez les personnes allergiques ou Peut contenir des traces de sésame et de noix', ' ? A ccr', ""ervet dans un er&t set et à l'abri de la lumière""]","['Gluten', 'Arachides', 'Graines de sésame']",['Non végétalien'],4,20 g,en quantité modérée,6.4 g,en quantité élevée,32.3 g,en quantité élevée,0.3 g,en quantité modérée,?,,435,-8%,1820 kj(435 kcal),-9%,20,-4%,"6,4",-37%,"66,7",+4%,"32,3",+9%,"8,1",+25%,"0,3",-49%,"0,12",-49%,17,-14%,D,-14%,80.3%,11.4%,3.7%,2.4%,2.2%,0.0%,58,['E500ii - Carbonate acide de sodium'],,,,,,['Huile de palme'],
102,Crème anglaise - Lait du forez - 25cl,3247330001445,B,,25 cl,"['Bouteille', 'Plastique', 'Bouteille en plastique']",['Lait du forez'],"['Epicerie', 'Produits laitiers', 'Sauces', 'Sauces dessert', 'Crèmes anglaises']",['Sans colorants'],,,['France'],"['lait pasteurisé 72% ', 'origine : France', ""jaune d'oeufs frais 14,4%"", 'sucre', 'gousses de vanille infusées']","['Œufs', 'Lait']",['Non végétalien'],3,5.1 g,en quantité modérée,2.2 g,en quantité modérée,17 g,en quantité élevée,0.1 g,en faible quantité,552,+28%,131,+27%,552 kj(131 kcal),+27%,"5,1",+68%,"2,2",+20%,17,+10%,17,+22%,"4,7",+43%,"0,1",-22%,"0,04",-22%,4,+22%,C,+22%,63.7%,15.6%,9.2%,6.6%,3.9%,1.0%,86,,,,,,,,
103,Quatre Quarts Pur Beurre Long - Le Guillou - 400g,3248250000051,D,,400 g,"['Sachet', 'Plastique']",['Le Guillou'],"['Snacks', 'Snacks sucrés', 'Biscuits et gâteaux', 'Gâteaux', 'Quatre-quarts']","['Fabriqué en France', 'Pur beurre']",,,['France'],"['Farine de blé', 'sucre ', 'œufs entiers - Beurre pâtissier 21 % - Stabilisants : glycérol sorbitols', ""Sel - émulsifiant : monos et diglycérides d'acides gras origine végétale"", ' - Poudres à lever : Phosphates', ""carbonates de sodium - Conservateur : sorbate de potassium - Correcteur d'acidité : acide citrique - Arôme "", 'contient alcool Colorant : caroténoïdes']","['Œufs', 'Gluten', 'Lait']",['Non végétalien'],4,27 g,en quantité élevée,15 g,en quantité élevée,26 g,en quantité élevée,1.5 g,en quantité modérée,?,,424,-0%,1774 kj(424 kcal),-0%,"27,01",+18%,15,+23%,"45,47",-7%,26,-8%,"5,77",+0%,"1,5",+47%,"0,6",+47%,26,+15%,E,+15%,83.1%,9.9%,3.4%,1.8%,1.8%,0.0%,50,"['E422 - Glycérol', ""E471 - Mono- et diglycérides d'acides gras alimentaires"", 'E500 - Carbonates de sodium', 'E202 - Sorbate de potassium', '', 'Risque élevé de sur-exposition', 'E330 - Acide citrique', 'E160 - Caroténoïdes']","['France', 'Loudéac', 'Derval']",,,,,,
104,100% pur jus de pomme trouble Bio - Leader Price - 1L e,3248340033013,B,Jus de pomme issu de l'agriculture biologique pasteurisé,1 L e,"['Frais', 'Bouteille plastique et son bouchon à recycler', 'Pasteurisé', 'Plastique']",['Leader Price'],"['Aliments et boissons à base de végétaux', 'Boissons', 'Boissons à base de végétaux', 'Frais', 'Boissons aux fruits', 'Jus et nectars', 'Jus de fruits', 'Jus de fruits pur jus', 'Jus de pomme', 'Jus de pommes pur jus']","['Bio', 'Ecocert', 'Bio européen', 'AB Agriculture Biologique', 'Agriculture UE', 'Agriculture UE/Non UE', 'FR-BIO-01', 'Point Vert', 'Tidy man', 'Info-Tri Point Vert']","['EMB 36229', 'Varennes-sur-Fouzon (Indre, France)', 'EMB 45273', ""Saint-Denis-de-l'Hôtel (Loiret, France)""]",['Leader Price'],['France'],"[""Jus de pomme issu de l'agriculture biologie"", ' 100 % pur fruit pressé']",,[],1,,,,,9.8 g,en quantité élevée,0.01 g,en faible quantité,?,,44,-4%,184 kj(44 kcal),-4%,?,,,,10,-9%,"9,8",-6%,?,,"0,01",-20%,"0,004",-20%,,,,,52.8%,9.4%,18.4%,14.0%,5.4%,0.0%,70,,"[""Laiterie de Varennes (Filiale Laiterie de Saint-Denis-de-l'Hôtel - LSDH) - 6 Rue de la Bordé - 36210 Val-Fouzon"", 'Indre', ""Laiterie de Saint-Denis-de-l'Hôtel (LSDH) - 10 Route de l'Aérodrome - Les Grandes Beaugines - 45550 Saint-Denis-de-l'Hôtel"", 'Loiret', 'Centre-Val de Loire', 'France']",,,,,,
105,Pur Jus ANANAS MANGUE CITRON vert,3248340056616,,,,,,,,,,['France'],[],,[],,,,,,,,,,?,,49,,205 kj(49 kcal),,"0,5",,"0,1",,12,,12,,"0,5",,"0,01",,"0,004",,,,,,,,,,,,,,,,,,,,
106,Haricots verts extra fins - d'aucy - 1Kg,3248451023064,B,,1 Kg,['surgelé'],"[""d'aucy""]","['Aliments et boissons à base de végétaux', ""Aliments d'origine végétale"", 'Légumineuses et dérivés', 'Aliments à base de fruits et de légumes', 'Légumineuses', 'Surgelés', 'Légumes et dérivés', 'Aliments à base de plantes surgelés', 'Légumineuses surgelées', 'Légumes surgelés', 'Haricots verts', 'Haricots verts surgelés']",['Cultivé en France'],,"['Magasins U', 'G20']",['France'],['Haricots verts 100%'],,"['Sans huile de palme', 'Végétalien', 'Végétarien']",1,0.2 g,en faible quantité,0 g,en faible quantité,1.3 g,en faible quantité,0.01 g,en faible quantité,?,,38,+9%,159 kj(38 kcal),+11%,"0,2",-33%,0,-100%,"4,3",+0%,"1,3",-15%,"2,3",+19%,"0,01",-52%,"0,004",-52%,-11,,A,,71.3%,0.0%,0.0%,9.8%,14.0%,4.9%,95,,['France'],,['France'],,,,
107,Olives noires à la grecque - Monoprix - 250g,3248650018427,A,Olives noires à la grecque,250 g,['bocal en verre'],['Monoprix'],"['Aliments et boissons à base de végétaux', ""Aliments d'origine végétale"", 'Pickles', ""Produits de l'olivier"", ""Pickles d'origine végétale"", 'Olives', 'Olives noires']",,"['EMB 06033A', 'Carros (Alpes-Maritimes, France)']",['Monoprix'],['France'],"['olives noires - 92%', 'sel', 'huile de tournesol']",,"['Sans huile de palme', 'Végétalien', 'Végétarien']",3,35 g,en quantité élevée,4.4 g,en quantité modérée,1 g,en faible quantité,8.2 g,en quantité élevée,1431,+30%,348,+33%,1431 kj(348 kcal),+31%,35,+37%,"4,4",+31%,1,-69%,1,+147%,"1,8",+24%,"8,2",+96%,"3,28",+96%,13,+1%,D,+1%,33.7%,0.2%,40.3%,17.4%,6.7%,1.8%,95,,['France'],,,,,,
108,8 Nems Poulet avec Sauce (maxi format) - Traditions d'Asie - 560g,3248830073963,C,,560 g,"['Barquette', 'Plastique']","[""Traditions d'Asie"", 'Tradition']","['Plats préparés', 'Produits à la viande', 'Plats préparés à la viande', 'Plats à la volaille', 'Réfrigérés', 'Plats au poulet', 'Nems', 'Plats préparés réfrigérés', 'Nems au poulet']",['Sans conservateurs'],,,"['France', 'Suisse']","['Nems au poulet 8x60 g : Galette de riz 38 % ', 'eau', 'farine de riz', 'sel', 'vermicelle réhydraté ', 'eau', 'amidon de pois', 'viande de poulet origine France 11,4%', 'carottes', 'peau de poulet rôtie et gras 6,8 % ', 'peau de poulet', 'miel', 'oignons préfrits ', 'dont huile de tournesol', 'huile de tournesol', 'oignons', 'farine de soja', 'champignons noirs réhydratés', 'sauce poisson ', 'poisson', 'sel', 'eau', 'sel', '\r Sauce nuoc-mâm 2x40 g : eau', 'sucre', ""vinaigre d'alcool sel"", 'nuoc-mâm 1,6% ', 'poisson sel', 'eau', 'sauce soja ', 'eau', 'graines de soja', 'sel', 'farine de blé']","['Poisson', 'Gluten', 'Soja']","['Non végétalien', 'Non végétarien']",3,9.8 g,en quantité modérée,1.7 g,en quantité modérée,1.6 g,en faible quantité,0.9 g,en quantité modérée,868,+7%,207,+4%,868 kj(207 kcal),+5%,"9,8",+24%,"1,7",+34%,21,-8%,"1,6",-39%,"7,5",+5%,"0,9",-29%,"0,36",-29%,0,-100%,B,-100%,62.8%,18.1%,4.7%,5.0%,2.0%,7.4%,57,,,,,,,,
109,Crousti Moelleuse Originale Bolognaise - Marie - 1200g,3248830117797,,,1200 g,"['Surgelé', 'Surgelés', 'Carton', 'Plastique']",['Marie'],"['Plats préparés', 'Produits à la viande', 'Pizzas tartes salées et quiches', 'Plats préparés à la viande', 'Plats au bœuf', 'Pizzas']","['Viande Française', 'Viande Bovine Française', 'Sans additif ajouté']","['FR 86.160.002 CE', 'Mirebeau (Vienne, France)']",['LECLERC'],['France'],"['Pâte moelleuse 56,5% : farine de blé', 'eau', 'huile de colza', 'levure boulangère', 'sel', 'sucre', '\r Garniture 43,5% : eau', 'mozzarella 10,2%', 'viande de boeuf origine France 9,7%', 'concentré de tomates 5,1%', 'oignons préfrits ', 'dont huile de tournesol', 'carottes', 'oignons', 'miel', 'amidon de maïs', ""huile d'olive vierge"", 'fond de boeuf ', 'viande et jus de cuisson de viande de boeuf', 'sel', 'ail', 'sel', 'basilic', 'tomate en poudre', ""vinaigre d'alcool"", 'persil', ""purée d'ail"", 'origan', 'thym', 'oignon en poudre', 'herbes de Provence', 'cumin', 'laurier']","['Gluten', 'Lait']","['Non végétalien', 'Non végétarien']",3,6.3 g,en quantité modérée,1.9 g,en quantité modérée,2.5 g,en faible quantité,0.83 g,en quantité modérée,914,-4%,217,-5%,914 kj(217 kcal),-5%,"6,3",-25%,"1,9",-52%,30,+12%,"2,5",-15%,"9,1",-12%,"0,83",-34%,"0,332",-34%,-1,-113%,A,-113%,,,,,,,,,,,"['Mozzarella UE', 'Tomate france', 'Viande france']",,MARIE MIREBEAU Surgeles,,
110,Riz cantonnais - Traditions d’Asie - 230g,3248830690429,B,Riz Cantonais,230 g,"['Frais', 'Carton', 'Plastique']",['Traditions d’Asie'],"['Plats préparés', 'Réfrigérés', 'Céréales préparées', 'Plats préparés à réchauffer au micro-ondes', 'Plats préparés réfrigérés', 'Riz préparés', 'Riz cantonais']",,,,['France'],"['Riz cuit 54,5 %', 'épaule cuite standard 13 % ', 'épaule de porc origine France', 'eau', 'dextrose', 'sel', 'arômes naturels', 'antioxydant : E301', 'conservateur : E250', 'petits pois 9,5%', 'omelette 8', '5% ', 'œufs entiers', 'eau', 'farine de blé', 'jus de citron concentré', 'sel', 'épaississant : gomme xanthane', 'curcuma', 'poivre blanc', 'oignons', 'carottes', 'huile de colza', 'arôme naturel', 'vinaigre de Xérès miel', ""extrait d'épice""]","['Œufs', 'Gluten']",['Non végétalien'],4,4.8 g,en quantité modérée,0.8 g,en faible quantité,1.5 g,en faible quantité,0.95 g,en quantité modérée,?,,145,-7%,607 kj(145 kcal),-7%,"4,8",+21%,"0,8",+17%,20,-16%,"1,5",+19%,5,-5%,"0,95",-3%,"0,38",-3%,1,-56%,B,-56%,69.5%,13.6%,6.2%,6.3%,2.6%,1.8%,69,"['E301 - Ascorbate de sodium', 'E250 - Nitrite de sodium', '', 'Risque élevé de sur-exposition', 'E415 - Gomme xanthane']",['France'],,['France'],,,,
111,CroustiMoelleuse EXTREME la Tartiflette - Marie - 550g,3248830721628,B,,550 g,"['Carton', 'surgelé', 'Surgelés']",['Marie'],"['Surgelés', 'Plats préparés', 'Pizzas tartes salées et quiches', 'Pizzas', 'Pizzas au fromage', 'Pizzas et tartes surgelées', 'Pizzas surgelées']","['Viande Française', 'Viande Porcine Française', 'Sans additifs', 'Sans additif ajouté']",,['Magasins U'],['France'],"['Garniture 52% : mozzarella 13,4%', 'sauce crème 12,3% ', 'fromage blanc', 'crème fraîche 4,9%', 'eau', 'amidon de maïs', 'sel', ""purée d'ail"", 'muscade', 'pommes de terre préfrites 12% ', 'pommes de terre', 'huile de tournesol', 'dextrose', 'lardons cuits fumés 7,2% ', 'poitrine de porc origine France', 'sel', 'arômes naturels*', 'antioxydant : acide ascorbique', 'fromage à raclette 5%', 'oignons préfrits 1,8% ', 'oignons', 'huile de tournesol', ""*Contient naturellement des polyphénols qui contribuent à la préservation de l'oxydationPâte Moelleuse 48% : farine de blé"", 'eau', 'huile de colza', 'levure boulangère', 'sel', 'sucre']","['Gluten', 'Lait']","['Non végétalien', 'Non végétarien']",4,9.7 g,en quantité modérée,3.9 g,en quantité modérée,1.6 g,en faible quantité,0.91 g,en quantité modérée,988,-1%,236,-3%,988 kj(236 kcal),-3%,"9,7",+2%,"3,9",-21%,27,-0%,"1,6",-44%,"9,2",-17%,"0,91",-26%,"0,364",-26%,3,-70%,C,-70%,52.9%,15.6%,6.3%,7.9%,3.6%,13.7%,84,['E300 - Acide ascorbique'],,,,,MARIE MIREBEAU Surgeles,,
112,Alphabet 500 g - Fiorini,3250390000310,C,Pâtes alimentaires,500 g,['Plastique'],"['Fiorini', 'Intermarché']","['Aliments et boissons à base de végétaux', ""Aliments d'origine végétale"", 'Céréales et pommes de terre', 'Céréales et dérivés', 'Pâtes alimentaires', 'Pâtes sèches', 'Pâtes de blé dur', 'Nouilles de blé dur']",,,['Intermarché'],"['France', 'Suisse']",['Semoule de blé  dur de qualité supérieure'],"['Œufs', 'Gluten']","['Sans huile de palme', 'Végétalien', 'Végétarien']",1,1.7 g,en faible quantité,0.3 g,en faible quantité,3.7 g,en faible quantité,0.04 g,en faible quantité,1521,+1%,?,,1521 kj(364 kcal),+1%,"1,7",-6%,"0,3",-21%,"71,9",+2%,"3,7",+7%,"12,2",+4%,"0,04",-9%,"0,016",-9%,-4,,A,,65.0%,21.6%,6.8%,3.5%,3.1%,0.0%,74,,['Espagne'],http://www.intermarche.com,,,,,
113,Cheveux d´ange 1Kg - Fiorini - 1000g,3250390000419,C,Pâtes alimentaires au blé dur de qualité supérieure,1000 g,['Sachet plastique'],['Fiorini'],"['Aliments et boissons à base de végétaux', ""Aliments d'origine végétale"", 'Céréales et pommes de terre', 'Céréales et dérivés', 'Pâtes alimentaires', 'Pâtes sèches', ""Cheveux d'ange""]","['Labels de distributeurs', 'Sélection Intermarché']",,['Intermarché'],['France'],['Semoule de blé  dur de qualité supérieure'],"['Œufs', 'Gluten']","['Sans huile de palme', 'Végétalien', 'Végétarien']",1,1.7 g,en faible quantité,0.3 g,en faible quantité,3.6 g,en faible quantité,0.01 g,en faible quantité,1484,,?,,1484 kj(355 kcal),-2%,"1,7",-6%,"0,3",-16%,"70,4",-2%,"3,6",+2%,"11,9",+2%,"0,01",-12%,"0,004",-12%,-4,,A,,65.0%,21.6%,6.8%,3.5%,3.1%,0.0%,74,,,,,,,,
