,name,bar_code,eco_score,brand,categories,sales_countries,ingredients_list,additives,allergens,ingredients_analysis,nova_score,fats_lipids_quantity,fats_lipids_comment,saturated_acids_quantity,saturated_acids_comment,sugar_quantity,sugar_comment,salt_quantity,salt_comment,nutriment_energy-kj_tr,nutriment_energy-kj_tr_diff,nutriment_energy-kcal_tr,nutriment_energy-kcal_tr_diff,nutriment_energy_tr,nutriment_energy_tr_diff,nutriment_fat_tr,nutriment_fat_tr_diff,nutriment_saturated-fat_tr,nutriment_saturated-fat_tr_diff,nutriment_carbohydrates_tr,nutriment_carbohydrates_tr_diff,nutriment_sugars_tr,nutriment_sugars_tr_diff,nutriment_proteins_tr,nutriment_proteins_tr_diff,nutriment_salt_tr,nutriment_salt_tr_diff,nutriment_sodium_tr,nutriment_sodium_tr_diff,nutriment_nutrition-score-fr_tr,nutriment_nutrition-score-fr_tr_diff,nutriment_nutriscore_tr,nutriment_nutriscore_tr_diff,Agriculture,Transformation,Conditionnement,Transport,Distribution,Consommation,Score_ACV,labels,traceability_code,quantity,markets,packaging,brand_owner,generic_name,ingredients_origins,manufacturing,link,palm_ingredients,producer_info,origin_detail
1786,Mélange de noix -,5420036400158,,,"['Aliments et boissons à base de végétaux', ""Aliments d'origine végétale"", 'Fruits à coques et dérivés']",['France'],[],,,[],,60 g,en quantité élevée,4.25 g,en quantité modérée,3.91 g,en faible quantité,0.01 g,en faible quantité,?,,608,+9%,2544 kj(608 kcal),+9%,"60,03",+39%,"4,25",-24%,"11,09",-42%,"3,91",-57%,"17,34",+8%,"0,01",-97%,"0,004",-97%,11,+71%,D,+71%,,,,,,,,,,,,,,,,,,,,
1787,Saumon fumée,5060081733285,E,,"['Produits de la mer', 'Poissons', 'Saumons', 'Poissons fumés', 'Saumons fumés']",['France'],[],,,[],,10 g,en quantité modérée,2.2 g,en quantité modérée,0 g,en faible quantité,2.8 g,en quantité élevée,?,,182,-2%,761 kj(182 kcal),-2%,10,-5%,"2,2",+7%,0,-100%,0,-100%,23,+4%,"2,8",-1%,"1,12",-1%,14,+7%,D,+7%,96.2%,0.0%,1.6%,1.4%,0.7%,0.2%,24,"['Sans colorants', 'Sans conservateurs']",,,,,,,,,,,,
1788,Rhum - Flor de Caña - 70cl,7431008104002,C,['Flor de Caña'],"['Boissons', 'Boissons alcoolisées', 'Alcools forts', 'Eaux-de-vie', 'Rhums']","['France', 'Espagne']",[],,,[],,,,,,,,,,?,,?,,,,?,,,,?,,,,?,,,,,,,,,,0.0%,41.3%,42.0%,11.2%,3.5%,2.0%,57,,,70 cl,,,,,,,,,,
1789,De Bardo Tonidej Chi / Banane Bio Sans Gluten 500G,3760036488209,,,,['France'],[],,,[],,,,,,,,,,?,,?,,,,?,,,,?,,,,?,,,,,,,,,,,,,,,,,"['Bio', 'en:gluten-free', 'Sans arômes artificiels', 'Sans colorants', 'Sans lactose', 'Sans conservateurs']",,,,,,,,,,,,
1790,Thé vert longue vie,3770002521717,,,,['France'],[],,,[],,,,,,,,,,?,,?,,,,?,,,,?,,,,?,,,,,,,,,,,,,,,,,"['Bio', 'Point Vert']",,,,,,,,,,,,
1791,Ravioli aux crevettes,3661945812171,,,"['Plats préparés', 'Plats à base de pâtes', 'Pâtes farcies', 'Ravioli', 'Ravioli chinois', 'Ravioli à la crevette']",['France'],[],,,[],,7.7 g,en quantité modérée,2.6 g,en quantité modérée,2.6 g,en faible quantité,0.4 g,en quantité modérée,?,,281,+57%,1176 kj(281 kcal),+58%,"7,7",+31%,"2,6",+84%,"39,1",+68%,"2,6",+34%,"29,4",+243%,"0,4",-59%,"0,16",-59%,1,-60%,B,-60%,,,,,,,,,,,,['Portions'],,,,,,,,
1792,Miel des pyrénées Tilleul - Pascal Verrière,3760055160322,B,['Pascal Verrière'],"['Produits à tartiner', 'Petit-déjeuners', 'Produits de la ruche', ""Produits d'élevages"", 'Produits à tartiner sucrés', 'Édulcorants', 'Miels', 'Miels de tilleul']",['France'],[],,,[],,,,,,,,,,?,,?,,,,?,,,,?,,,,?,,,,,,,,,,87.9%,0.0%,7.7%,3.1%,1.3%,0.0%,82,,,,,,,,['France'],,,,,
1793,Nutribén innova,3664893000010,,,,['France'],[],,,['Sans huile de palme'],,,,,,,,,,?,,?,,,,?,,,,?,,,,?,,,,,,,,,,,,,,,,,['en:palm-oil-free'],,,,,,,,,,,,
1794,Vacqueras,3506707043311,,,,['France'],[],,,[],,,,,,,,,,?,,?,,,,?,,,,?,,,,?,,,,,,,,,,,,,,,,,"['Bio', 'Bio européen', 'AB Agriculture Biologique']",,,,,,,,,,,,
1795,Pain d'épices pur miel Nature - Rayon d'Or,3301510200117,B,"[""Rayon d'Or""]","['Biscuits et gâteaux', ""Pains d'épices""]",['France'],[],,,[],,,,,,,,,,?,,?,,,,?,,,,?,,,,?,,,,,,,,,,61.5%,18.9%,9.5%,5.0%,5.0%,0.0%,90,,,,,,,,,,,,,
