,name,bar_code,sales_countries,ingredients_list,ingredients_analysis,nutriment_energy-kj_tr,nutriment_energy-kcal_tr,nutriment_energy_tr,nutriment_fat_tr,nutriment_saturated-fat_tr,nutriment_carbohydrates_tr,nutriment_sugars_tr,nutriment_proteins_tr,nutriment_salt_tr,nutriment_sodium_tr,brand,additives,palm_ingredients,allergens,nova_score,categories,labels,nutriment_energy-kj_tr_diff,nutriment_energy-kcal_tr_diff,nutriment_energy_tr_diff,nutriment_fat_tr_diff,nutriment_saturated-fat_tr_diff,nutriment_carbohydrates_tr_diff,nutriment_sugars_tr_diff,nutriment_proteins_tr_diff,nutriment_salt_tr_diff,nutriment_sodium_tr_diff,fats_lipids_quantity,fats_lipids_comment,saturated_acids_quantity,saturated_acids_comment,sugar_quantity,sugar_comment,salt_quantity,salt_comment,nutriment_nutrition-score-fr_tr,nutriment_nutrition-score-fr_tr_diff,nutriment_nutriscore_tr,nutriment_nutriscore_tr_diff,generic_name,quantity,packaging,eco_score,Agriculture,Transformation,Conditionnement,Transport,Distribution,Consommation,Score_ACV,manufacturing,ingredients_origins,markets,link,traceability_code,brand_owner
414,Krachtige ontbijtkoek,8710432851935,['France'],[],[],?,309,1293 kj(309 kcal),1,1,"70,9",39,"2,6","0,48","0,192",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
415,Original Dutch Cookies - Lotus - 196g,8710434091094,['France'],"['Farine de blé', 'sucre', 'huiles végétales ', 'palme', 'colza', 'œufs de poules élevées au sol', 'sel', 'dextrose', 'poudre à lever ', 'carbonate acide de sodium', 'orthophosphate monocalcique', 'purée de citron', 'émulsifiant ', 'E471', 'arôme']","['Huile de palme', 'Non végétalien', 'Peut-être végétarien']",2109,?,2109 kj(504 kcal),"24,8","11,7",65,"28,2","4,4","0,89","0,356",['Lotus'],"['E500ii - Carbonate acide de sodium', 'E341i - Phosphate monocalcique', ""E471 - Mono- et diglycérides d'acides gras alimentaires""]",['Huile de palme'],"['Œufs', 'Gluten']",4,"['Snacks', 'Snacks sucrés', 'Biscuits et gâteaux', 'Biscuits']",,+5%,,+6%,+19%,+16%,+2%,-4%,-32%,+51%,+51%,24.8 g,en quantité élevée,11.7 g,en quantité élevée,28.2 g,en quantité élevée,0.89 g,en quantité modérée,24,+21%,E,+21%,,196 g,['boîte'],D,80.3%,11.4%,3.7%,2.4%,2.2%,0.0%,58,['Pays-Bas'],,['Action'],,,
416,Rooibos,8710435136725,['France'],[],[],?,1,4 kj(1 kcal),"0,1","0,1","0,1","0,1","0,1","0,1","0,04",,,,,,"['Aliments et boissons à base de végétaux', 'Boissons', 'Boissons chaudes', 'Boissons à base de végétaux', 'Infusions', 'Rooibos']","['Commerce équitable', 'Max Havelaar']",,-50%,-43%,+408%,+3497%,+22%,+76%,+240%,+1937%,+1937%,0.1 g,en faible quantité,0.1 g,en faible quantité,0.1 g,en faible quantité,0.1 g,en faible quantité,,,,,,,,B,66.6%,0.0%,1.4%,1.6%,0.3%,30.1%,100,,,,,,
417,Karamelsauce - Van Gilse,8710437000253,['France'],[],[],?,320,1339 kj(320 kcal),0,0,80,80,0,"0,4","0,16",['Van Gilse'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
418,Sucre - Van Gilse,8710437001472,['France'],[],[],?,400,1674 kj(400 kcal),0,0,100,100,0,0,0,['Van Gilse'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
419,Slimmetjes - Van Gilse,8710437005845,['France'],[],[],?,384,1607 kj(384 kcal),0,0,98,96,0,0,0,['Van Gilse'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
420,Rösti,8710438012132,"['France', 'Allemagne']",[],[],?,?,,?,,?,,?,,,,,,,,"['Aliments et boissons à base de végétaux', ""Aliments d'origine végétale"", 'Céréales et pommes de terre', 'Surgelés', 'Plats préparés', 'Pommes de terre préfrites surgelées', 'Préparations à base de pommes de terre', 'Légumes préparés', 'Rostis', 'Röstis de pommes de terre surgelés']",,,,,,,,,,,,,,,,,,,,,,,,,,"['stück', 'stück']",B,40.8%,16.8%,10.8%,9.2%,4.7%,17.7%,91,,,,,,
421,"Frites Tradition - McCain - 1,150kg",8710438014556,['France'],"['Pommes de terre ', '96 %', 'huile de tournesol ', '4 %']","['Sans huile de palme', 'Végétalien', 'Végétarien']",?,148,619 kj(148 kcal),"4,3","0,4","24,8","0,5","2,6",,,['McCain'],,,,3,"['Chips et frites', 'Surgelés', 'Pommes de terre préfrites surgelées', 'Frites', 'Frites surgelées']","['Sans conservateurs', 'en:peanut-free']",,-3%,-3%,-13%,-39%,+8%,+1%,+4%,,,4.3 g,en quantité modérée,0.4 g,en faible quantité,0.5 g,en faible quantité,,,,,,,Frites surgelées. - Frites Tradition,"1,150 kg","['Sachet', 'Plastique', 'surgelé']",B,21.9%,0.0%,23.0%,18.3%,27.1%,9.8%,97,,,,,,
422,Steakhouse Frites - McCain,8710438046243,['France'],[],[],?,135,565 kj(135 kcal),?,"3,5",?,"0,5","2,5","0,1","0,04",['McCain'],,,,,"['Chips et frites', 'Surgelés', 'Pommes de terre préfrites surgelées', 'Frites', 'Frites surgelées']",,,-11%,-12%,,+435%,,+1%,0%,-65%,-65%,,,3.5 g,en quantité modérée,0.5 g,en faible quantité,0.1 g,en faible quantité,,,,,,,,B,21.9%,0.0%,23.0%,18.3%,27.1%,9.8%,97,,,,,,
423,Tradition frites - McCain - 1kg,8710438051315,['France'],"['pommes de terre', 'huile de tournesol ', '4%']","['Sans huile de palme', 'Végétalien', 'Végétarien']",559,?,559 kj(134 kcal),4,"0,4","20,5","0,5","2,5","0,102","0,041",['McCain'],,,,3,"['Chips et frites', 'Surgelés', 'Pommes de terre préfrites surgelées', 'Frites', 'Frites surgelées']","['Sans conservateurs', ""Non fabriqué à l'huile d'arachide""]",-10%,,-13%,-19%,-39%,-10%,+1%,0%,-65%,-65%,4 g,en quantité modérée,0.4 g,en faible quantité,0.5 g,en faible quantité,0.102 g,en faible quantité,-2,,A,,,1kg,"['Plastique', 'surgelé']",B,21.9%,0.0%,23.0%,18.3%,27.1%,9.8%,97,,['France'],,,"['EMB 62413', 'Harnes (Pas-de-Calais, France)']",
424,Just au four - McCain - 1.5kg,8710438060430,['France'],"['Pommes de terre ', '87,5%', 'huile de tournesol ', '6,5%', 'enrobage ', '6%', ' : farine de blé,farine de riz', 'amidon de maïs', 'sel', 'dextrine de pompe de terre', 'poudre à lever: carbonates de sodium', 'colorants: curcumine', 'extrait de paprika']",[],698,?,698 kj(167 kcal),"6,5","0,7","22,5","0,5",3,"1,524","0,61",['McCain'],"['E1400 - Dextrines', 'E500 - Carbonates de sodium', 'E100 - Curcumine', 'E160c - Extrait de paprika']",,['Gluten'],4,"['Chips et frites', 'Surgelés', 'Pommes de terre préfrites surgelées', 'Frites', 'Frites surgelées']","['Sans conservateurs', ""Non fabriqué à l'huile d'arachide""]",+12%,,+9%,+31%,+7%,-2%,+1%,+20%,+429%,+429%,6.5 g,en quantité modérée,0.7 g,en faible quantité,0.5 g,en faible quantité,1.52 g,en quantité élevée,4,,C,,Frite au four,1.5 kg,"['Sachet', 'surgelé']",A,21.9%,0.0%,23.0%,18.3%,27.1%,9.8%,97,,,,,,
425,Just au Four FriStyle - McCain - 600g,8710438067026,['France'],"['Pomme de terre 94', '5%', 'huile de tournesol 5', '5%']","['Sans huile de palme', 'Végétalien', 'Végétarien']",674,?,674 kj(161 kcal),"5,5","0,6","24,5","0,2",2,1,"0,4",['McCain'],,,,3,"['Chips et frites', 'Surgelés', 'Pommes de terre préfrites surgelées', 'Frites', 'Frites surgelées']",,+9%,,+5%,+11%,-8%,+7%,-59%,-20%,+247%,+247%,5.5 g,en quantité modérée,0.6 g,en faible quantité,0.2 g,en faible quantité,1 g,en quantité modérée,3,,C,,,600 g,"['Sachet', 'Plastique']",B,21.9%,0.0%,23.0%,18.3%,27.1%,9.8%,97,,,['Franprix'],,,
426,Winter Smile,8710438085914,['France'],[],[],?,195,816 kj(195 kcal),"8,5","0,9","25,5","0,5","0,52","0,52","0,208",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
427,Pom' Crisp aux Herbes - McCain,8710438090741,['France'],[],[],?,153,640 kj(153 kcal),8,"0,9",19,"0,5","2,5","0,9","0,36",['McCain'],,,,,"['Surgelés', 'Pommes de terre préfrites surgelées']","['Sans conservateurs', 'en:peanut-free', ""À l'huile de tournesol""]",,-4%,-4%,+37%,+5%,-14%,-23%,-3%,+79%,+79%,8 g,en quantité modérée,0.9 g,en faible quantité,0.5 g,en faible quantité,0.9 g,en quantité modérée,0,-100%,B,-100%,Pom' Crisp aux Herbes,,"['Sachet', 'Plastique', 'surgelé']",B,21.9%,0.0%,23.0%,18.3%,27.1%,9.8%,97,,,,,,
428,Rösti de Pommes de Terre aux Légumes - McCain,8710438097252,['France'],"['Pommes de terre ', '65 %', ' ', 'légumes ', '25 %', ' : carottes', 'haricots ,petits pois', 'huile de tournesol ', '5%', 'pommes de terre déshydratées', 'sel', 'arôme naturel', 'stabilisant E461', ""extrait d'épices"", 'farine de blé', 'poudre de lait', 'céleri']","['Sans huile de palme', 'Non végétalien', 'Peut-être végétarien']",?,120,502 kj(120 kcal),5,"0,6","15,5","1,5",2,"0,9","0,36",['McCain'],['E461 - Méthylcellulose'],,"['Céleri', 'Gluten', 'Lait']",4,"['Aliments et boissons à base de végétaux', ""Aliments d'origine végétale"", 'Céréales et pommes de terre', 'Surgelés', 'Pommes de terre préfrites surgelées', 'Préparations à base de pommes de terre', 'Rostis', 'Röstis de pommes de terre surgelés']","[""Fabriqué dans l'UE"", 'Sans conservateurs', 'en:peanut-free', ""À l'huile de tournesol""]",,-27%,-26%,-31%,-55%,-19%,+90%,-36%,-8%,-8%,5 g,en quantité modérée,0.6 g,en faible quantité,1.5 g,en faible quantité,0.9 g,en quantité modérée,1,-71%,B,-71%,Rösti de Pommes de Terre aux Légumes,,"['Sachet', 'Plastique', 'surgelé']",B,40.8%,16.8%,10.8%,9.2%,4.7%,17.7%,91,['Union Européenne'],,,,,
429,Frites Tradition - McCain,8710438098280,['France'],"['** % des Apports moyens de Référence journaliers pour un adulte ', 'avec un apport moyen de']",[],?,160,669 kj(160 kcal),7,"0,4","20,5","0,5","2,5","0,1","0,04",['McCain'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
430,La Noisette,8710438099560,['France'],[],[],?,194,812 kj(194 kcal),"7,33","0,9","19,93","0,5","3,5","0,6","0,24",,,,,,,['Sans conservateurs'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
431,Just Au Four classique - McCain,8710438100020,['France'],"['Pommes de terre ', '89%', 'huile de tournesol ', '5556', ' : farine de blé', 'farine de de maïs sel', 'dextrine de noudre à lever carbonates pommes Ce terre te sodium', 'co!orants extratt paprika Contient du GLUTEN Non /,7frrique à ', ""/hui/o d'arachfdeq Sans conservateur"", 'conformement àsanes pratiques de production', ' POIDS NET : 700ge']",[],?,164,686 kj(164 kcal),"5,5","0,6","24,5","0,5","2,5","0,52","0,208",['McCain'],['E1400 - Dextrines'],,['Gluten'],4,,"['Sans conservateurs', 'Entrepreneurs + Engagés']",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
432,Just au Four Steakhouse - McCain,8710438100082,['France'],"['Pommes de terre ', '90,5 %', 'huile de tournesol ', '5 %', 'enrobage ', '4,5 %', ' : farine de blé', 'farine de riz', 'amidon de maïs', 'sel', 'dextrine de pommes de terre poudre à lever : carbonates de sodium', 'colorants : curcumine', 'extrait de paprika']",[],?,166,695 kj(166 kcal),6,"0,7",24,1,3,"0,4","0,16",['McCain'],"['E1400 - Dextrines', 'E100 - Curcumine', 'E160c - Extrait de paprika']",,['Gluten'],4,"['Chips et frites', 'Surgelés', 'Pommes de terre préfrites surgelées', 'Frites', 'Frites surgelées']","['Sans conservateurs', 'en:peanut-free', ""À l'huile de tournesol""]",,+9%,+9%,+21%,+7%,+5%,+103%,+20%,+39%,+39%,6 g,en quantité modérée,0.7 g,en faible quantité,1 g,en faible quantité,0.4 g,en quantité modérée,0,,B,,Frites surgelées. Just au Four Steakhouse,,"['Sachet', 'Plastique', 'surgelé']",B,21.9%,0.0%,23.0%,18.3%,27.1%,9.8%,97,,,,,,
433,Just au Four Allumettes - McCain - 625g e,8710438100112,['France'],"['Pommes de terre ', '89 %', 'huile de tournesol ', '5,5 %', 'enrobage ', '5,5 %', ' [amidon modifié de pommes de terre', 'farine de riz', 'dextrine', 'fibre de pois', 'poudres à lever ', 'E450', 'E500', 'épaississant ', 'E415', ']']","['Sans huile de palme', 'Végétalien', 'Végétarien']",?,169,707 kj(169 kcal),"5,5","0,6",25,"0,5",3,"0,6","0,24",['McCain'],"['E14XX - Amidons modifiés', 'E1400 - Dextrines', 'E450 - Diphosphates', '', 'Risque élevé de sur-exposition', 'E500 - Carbonates de sodium', 'E415 - Gomme xanthane']",,,4,"['Chips et frites', 'Surgelés', 'Pommes de terre préfrites surgelées', 'Frites', 'Frites surgelées']","['Sans conservateurs', 'en:peanut-free', ""À l'huile de tournesol""]",,+11%,+10%,+11%,-8%,+9%,+1%,+20%,+108%,+108%,5.5 g,en quantité modérée,0.6 g,en faible quantité,0.5 g,en faible quantité,0.6 g,en quantité modérée,0,,B,,Frites surgelées. Just au Four Allumettes,625 g e,"['Sachet', 'Plastique', 'surgelé']",B,21.9%,0.0%,23.0%,18.3%,27.1%,9.8%,97,,,,https://www.mccain.fr/frites-au-four/just-au-four-allumettes,,
434,Just au Four Allumette - McCain,8710438100198,['France'],"['Pommes de terre ', '87,5 %', 'huile de tournesol ', '6,5 %', 'enrobage pommes de terre', 'poudre à lever : carbonates de sodium', 'enrobage ', '6 %', ' : farine de blé', 'farine de riz', 'amidon de maïs', 'sel', 'dextrine de pommes de terre', 'colorants: curcumine', 'extrait de paprika']",[],?,167,699 kj(167 kcal),"6,5","0,7","22,5","0,5",3,"0,6","0,24",['McCain'],"['E500 - Carbonates de sodium', 'E1400 - Dextrines', 'E100 - Curcumine', 'E160c - Extrait de paprika']",,['Gluten'],4,"['Chips et frites', 'Surgelés', 'Pommes de terre préfrites surgelées', 'Frites', 'Frites surgelées']","['Sans conservateurs', 'en:peanut-free', ""À l'huile de tournesol""]",,+10%,+9%,+31%,+7%,-2%,+1%,+20%,+108%,+108%,6.5 g,en quantité modérée,0.7 g,en faible quantité,0.5 g,en faible quantité,0.6 g,en quantité modérée,3,,C,,Frites surgelées. - Just au Four Allumette,,,B,21.9%,0.0%,23.0%,18.3%,27.1%,9.8%,97,,,,,,
435,"Just au Four Classiques - McCain - 1,8kg e",8710438100228,['France'],"['Pommes de terre ', '89 %', 'huile de tournesol ', '5,5 %', 'enrobage ', '5,5 %', ' : farine de blé', 'farine de riz', 'amidon de maïs', 'sel', 'dextrine de pommes de terre', 'poudre à lever: carbonates de sodium', 'colorants: curcumine', 'extrait de paprika']",[],?,164,686 kj(164 kcal),"5,5","0,6","24,5","0,5","2,5","0,5","0,2",['McCain'],"['E1400 - Dextrines', 'E500 - Carbonates de sodium', 'E100 - Curcumine', 'E160c - Extrait de paprika']",,['Gluten'],4,"['Chips et frites', 'Surgelés', 'Pommes de terre préfrites surgelées', 'Frites', 'Frites surgelées']","['en:peanut-free', ""À l'huile de tournesol""]",,+8%,+7%,+11%,-8%,+7%,+1%,0%,+74%,+74%,5.5 g,en quantité modérée,0.6 g,en faible quantité,0.5 g,en faible quantité,0.5 g,en quantité modérée,3,,C,,Just au Four Classiques,"1,8 kg e","['Sachet', 'Plastique', 'surgelé']",B,21.9%,0.0%,23.0%,18.3%,27.1%,9.8%,97,,,,,,
436,Pom'Romarin - McCain,8710438101317,['France'],[],[],582,?,582 kj(139 kcal),3,"0,4",24,"2,2","2,5","0,85","0,34",['McCain'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"['Surgelé', '700 g']",,,,,,,,,,,,,,
437,Camembert bites - McCain,8710438103373,['France'],[],[],?,371,1552 kj(371 kcal),25,"9,5","23,5","1,5","12,5","1,3","0,52",['McCain'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
438,Original Bun's Poulet Forestier - McCain - 400g e (4 * 100g),8710438104233,['France'],"['Farine de blé', 'eau', 'viande de poulet ', '12 %', ' ', 'poulet', 'eau', 'amidon', 'sel', 'dextrose', 'sirop de glucose', 'champignons ', '9 %', 'margarine ', 'huiles de palme et de colza', 'sel', 'colorant : bêta-carotène', 'préparation fromagère ', 'fromage allégé', 'huile de palme', 'eau', 'amidon', 'sel', 'mozzarella', 'œufs', 'crème', 'carottes', 'poireaux', 'oignons nouveaux', ""farine d'avoine"", 'sucre', 'lactose', 'protéines de lait', 'amidon', 'levures', 'extrait de levures', 'sel', 'graisse de poulet ', 'avec antioxydant : extraits de romarin', 'poudre de lait', 'fibres de pommes de terre', 'huile de tournesol', 'stabilisant ', 'E461', 'bouillon de légumes [sel', 'amidon', 'maltodextrine', 'sucre', 'levures', 'arômes naturels', 'huile de maïs', 'légumes ', 'oignons', 'poireaux', 'herbes et épices', 'céleri', 'curcuma', 'macis', 'poivre', 'origan', 'romarin', 'aneth', 'thym', 'sucre caramélisé', 'extrait de livèche]', 'épaississant : gomme xanthane', 'extrait de malt', 'farine de blé fermenté', 'jus de citron concentré', 'poivre', 'agent de traitement de la farine ', 'cystéine', 'antioxydants ', 'acide ascorbique']","['Huile de palme', 'Non végétalien', 'Non végétarien']",?,247,1033 kj(247 kcal),11,"5,5",25,3,11,"1,2","0,48",['McCain'],"['E160ai - Bêta-carotène', 'E392 - Extrait de romarin', 'E461 - Méthylcellulose', 'E415 - Gomme xanthane', 'E920 - L-Cystéine et ses chlorhydrates', 'E300 - Acide ascorbique']",['Huile de palme'],"['Céleri', 'Œufs', 'Gluten', 'Lait', 'Avoine', 'Fromagère']",4,"['Surgelés', 'Plats préparés', 'Produits à la viande', 'Plats préparés à la viande', 'Plats à la volaille', 'Plats préparés surgelés', 'Plats au poulet', 'Plats préparés à réchauffer au micro-ondes']",,,+66%,+68%,+86%,+227%,+82%,+54%,+37%,+42%,+42%,11 g,en quantité modérée,5.5 g,en quantité élevée,3 g,en faible quantité,1.2 g,en quantité modérée,11,+669%,D,+669%,Original Bun's Poulet Forestier,400 g e (4 * 100 g),"['Carton', 'Plastique', 'surgelé']",E,78.2%,13.6%,2.4%,3.4%,1.4%,1.0%,44,,,,https://www.mccain.fr/snacking/original-buns-poulet-forestier,,
439,Country Potatoes - McCain - 600g,8710438104455,['France'],[],[],?,?,,?,,?,,?,,,['McCain'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,600 g,['Beutel'],,,,,,,,,,,,,,
440,Puree - Mamie Gourmande,8710438104554,['France'],[],[],?,371,1552 kj(371 kcal),"2,6","1,8",75,"3,7","8,5","0,25","0,1",['Mamie Gourmande'],,,,,"['Plats préparés', 'Purées']",,,+126%,+125%,+15%,+49%,+174%,+55%,+110%,-52%,-52%,2.6 g,en faible quantité,1.8 g,en quantité modérée,3.7 g,en faible quantité,0.25 g,en faible quantité,-4,-1544%,A,-1544%,,,,,,,,,,,,,,,,,
441,Purée,8710438104585,['France'],[],[],?,221,925 kj(221 kcal),"2,6","1,8",75,"3,7","8,5","0,25","0,1",,,,,,"['Plats préparés', 'Purées']",,,+35%,+34%,+15%,+49%,+174%,+55%,+110%,-52%,-52%,2.6 g,en faible quantité,1.8 g,en quantité modérée,3.7 g,en faible quantité,0.25 g,en faible quantité,-1,-461%,A,-461%,,,,,,,,,,,,,,,,,
442,purée - Mamie Gourmande,8710438104615,['France'],"['pommes de teme déshydratées ', '89%', 'Lait en poudre ', '10%', ""émulsifiant : mono-et-diglycérides d'acides gras"", 'Stabilisant : diphosphate disodique', 'Colorant : curcumine', 'Acidifiant : acide citrique', 'Antioxydants : extrait de romarin', 'acide ascorbique', ' Traces éventuelles de sulfites']",['Non végétalien'],?,371,1552 kj(371 kcal),"2,6","1,8",75,"3,7","8,5","0,25","0,1",['Mamie Gourmande'],"['E450i - Pyrophosphate de sodium acide', 'E100 - Curcumine', 'E330 - Acide citrique', 'E392 - Extrait de romarin', 'E300 - Acide ascorbique']",,,4,"['Plats préparés', 'Purées']",,,+126%,+125%,+15%,+49%,+174%,+55%,+110%,-52%,-52%,2.6 g,en faible quantité,1.8 g,en quantité modérée,3.7 g,en faible quantité,0.25 g,en faible quantité,-4,-1544%,A,-1544%,,,,,,,,,,,,,,,,,
443,4 Bun's Poulet Fromage Frais - McCain - 400g e (4 * 100g),8710438105643,['France'],"['Farine de blé', 'eau', 'légumes ', '12 %', ' ', 'carottes', 'haricots mange tout', 'oignons', 'courgettes', 'viande de poulet marinée ', '7 %', ' [viande de poulet', 'eau', 'amidon', 'sel', 'dextrose', 'sirop de glucose]', 'mozzarella', 'margarine ', 'huiles de palme et de colza', 'sel', 'colorant: beta carotène', 'fromage frais ', '4,5%', 'préparation fromagère ', 'fromage allégé', 'huile de palme', 'eau ', 'amidon', 'sel', 'crème', 'crème acide', 'œufs', 'farine d’avoine', 'sucre', 'amidons modifiés', 'lactose', 'protéine de  lait', 'persil', 'basilic', 'levures', 'sel', 'jus de citron concentré', 'ciboulette', 'extrait de levures', 'bouillon de légumes ', 'sel', 'amidon', 'maltodextrine', 'sucre', 'extrait de levures', 'arômes naturels', 'huile', 'amidon de maïs', 'légumes ', 'oignons', 'poireaux', 'herbe et épices ', 'céleri', 'curcuma', 'macis', 'poivre', 'origan', 'romarin', 'aneth', 'thym', 'sucre caramélisé', 'extrait de livèche]', 'stabilisant ', 'E461', 'épaississant ', 'gomme xanthane', 'arôme naturel ', 'contient poudre de lactosérum', 'extrait de malt', 'farine de blé fermenté', 'extrait de poivre', 'marjolaine', 'poivre de Cayenne', 'assaisonnement ', 'sel', 'maltodextrine', 'sucre', 'oignons', 'épices', 'ail', ""extraits d'épices"", 'agent de traitement de la farine ', 'cystéine', 'antioxydant ', 'acide ascorbique']","['Huile de palme', 'Non végétalien', 'Non végétarien']",?,259,1084 kj(259 kcal),?,"7,4",?,4,9,"1,5","0,6",['McCain'],"['E160ai - Bêta-carotène', 'E14XX - Amidons modifiés', 'E461 - Méthylcellulose', 'E415 - Gomme xanthane', 'E920 - L-Cystéine et ses chlorhydrates', 'E300 - Acide ascorbique']",['Huile de palme'],"['Céleri', 'Œufs', 'Gluten', 'Lait', 'Avoine', 'Préparation fromagère']",4,"['Surgelés', 'Plats préparés', 'Produits à la viande', 'Plats préparés à la viande', 'Plats à la volaille', 'Plats préparés surgelés', 'Plats au poulet', 'Plats préparés à réchauffer au micro-ondes']",,,+74%,+77%,,+340%,,+105%,+12%,+78%,+78%,,,7.4 g,en quantité élevée,4 g,en faible quantité,1.5 g,en quantité modérée,,,,,4 Bun's Poulet Fromage Frais,400 g e (4 * 100 g),"['Carton', 'boîte', 'surgelé']",D,78.2%,13.6%,2.4%,3.4%,1.4%,1.0%,44,['Belgique'],,,https://www.mccain.fr/snacking/original-buns-poulet-fromage,,
444,Original Bun's recette italia - McCain,8710438105827,['France'],"['Farine de blé', 'tomates ', '15%', 'eau', ""huile d'olive "", '7%', 'préparation fromagère ', 'fromage allégé', 'huile de palme', 'eau', 'amidon', 'sel', 'pecorino ', '5%', 'jambon fumé ', '4,5%', ' [viande de porc', 'eau', 'sel', 'sirop de glucose', 'dextrose', 'antioxydants ', 'E331', 'E301', 'extraits de romarin', 'conservateur ', 'E250', 'fumée]', 'concentré de tomates', 'oeufs', 'mozzarella ', '2%', 'beurre', 'ail', 'basilic', 'gluten', ""farine d'avoine"", 'sucre', 'lactose', 'protéines de lait', 'crème', 'levures', 'herbes', 'romarin', 'amidons modifiés', 'sel', 'enzymes', 'stabilisant ', 'E461', 'extrait de levures', 'épaississant ', 'gomme xanthane', 'poivre', 'poivre de Cayenne', 'agent de traitement de la farine ', 'cystéine', 'antioxydant ', 'acide ascorbique', ' Information sur les allergènes : contient du gluten', 'des produits laitiers', 'des oeufs', 'peut contenir des traces de soya et de céleri']","['Huile de palme', 'Non végétalien', 'Non végétarien']",?,284,1188 kj(284 kcal),"15,5","6,2",25,10,10,"1,2","0,48",['McCain'],"['E331 - Citrates de sodium', 'E301 - Ascorbate de sodium', 'E392 - Extrait de romarin', 'E250 - Nitrite de sodium', '', 'Risque élevé de sur-exposition', 'E14XX - Amidons modifiés', 'E461 - Méthylcellulose', 'E415 - Gomme xanthane', 'E920 - L-Cystéine et ses chlorhydrates', 'E300 - Acide ascorbique']",['Huile de palme'],"['Œufs', 'Gluten', 'Lait', 'Avoine']",4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
445,Chicken kicks - McCain,8710438107623,['France'],[],[],?,275,1151 kj(275 kcal),17,"5,9",17,"2,2",12,"1,6","0,64",['McCain'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
446,"Just au Four Classiques - McCain - 1, 787kg",8710438109740,['France'],"['Pommes de terre ', '90', '%', 'huile de tournesol ', '4,5 %', 'enrobage ', '5,5 %', ' ', 'amidon modifié de pommes de terre', 'farine de riz', 'dextrine', 'fibre de pois', 'poudres à lever ', 'E450', 'E500', 'épaississant ', 'E415', 'sel ', '0', '5 %']",[],?,166,695 kj(166 kcal),"4,5","0,5",27,"0,5","2,5","0,5","0,2",['McCain'],"['E14XX - Amidons modifiés', 'E1400 - Dextrines', 'E450 - Diphosphates', '', 'Risque élevé de sur-exposition', 'E500 - Carbonates de sodium', 'E415 - Gomme xanthane']",,,4,"['Chips et frites', 'Surgelés', 'Pommes de terre préfrites surgelées', 'Frites', 'Frites surgelées']","['Sans conservateurs', 'en:peanut-free', ""À l'huile de tournesol""]",,+9%,+9%,-9%,-24%,+18%,+1%,0%,+74%,+74%,4.5 g,en quantité modérée,0.5 g,en faible quantité,0.5 g,en faible quantité,0.5 g,en quantité modérée,3,,C,,Just au Four Classiques,"1, 787 kg","['Sachet', 'Plastique', 'surgelé']",B,21.9%,0.0%,23.0%,18.3%,27.1%,9.8%,97,,,,,,
447,Frites tradition - McCain,8710438109757,['France'],"['Pommes de terre ', '96%', 'huile de tournesol ', '4%']","['Sans huile de palme', 'Végétalien', 'Végétarien']",?,133,556 kj(133 kcal),4,"0,4","20,5","0,5","2,5","0,1","0,04",['McCain'],,,,3,"['Chips et frites', 'Frites']",['Sans conservateurs'],,-15%,-17%,-25%,-45%,-13%,-12%,-2%,-66%,-66%,4 g,en quantité modérée,0.4 g,en faible quantité,0.5 g,en faible quantité,0.1 g,en faible quantité,0,,B,,,,,,,,,,,,,,,,,,
448,Frites Tradition - McCain,8710438109986,['France'],"['Pommes de terre ', '96%', 'huile de tournesol ', '4%', "" Non fabriqué à l'huile d'arachide"", ' Sans conservateur']",[],?,133,556 kj(133 kcal),4,"0,4","20,5","0,5","2,5","0,1","0,04",['McCain'],,,,3,"['Chips et frites', 'Surgelés', 'Pommes de terre préfrites surgelées', 'Frites', 'Frites surgelées']","['Sans conservateurs', 'en:peanut-free', ""À l'huile de tournesol""]",,-12%,-13%,-19%,-39%,-10%,+1%,0%,-65%,-65%,4 g,en quantité modérée,0.4 g,en faible quantité,0.5 g,en faible quantité,0.1 g,en faible quantité,0,,B,,,,"['Sachet', 'Plastique', 'surgelé']",B,21.9%,0.0%,23.0%,18.3%,27.1%,9.8%,97,,,,,,
